number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9914234513782534,-0.9929897532303756,-1000000000.0,0.9929897532303756,-0.9914234513782534,-0.9929897532303756,3524.0,breakout,1,"{""adx_thresh"": 26.369298986249714, ""atr_max_pct"": 0.028702744331688596, ""atr_min_pct"": 0.02378100135089557, ""bb_std_mult"": 0.9277479699128001, ""edge_cap"": 0.7118945332100296, ""edge_k"": 1.9995880283315026, ""ema1"": 26, ""ema2"": 21, ""p_adx"": 8, ""p_atr"": 9, ""p_sma"": 43, ""p_std"": 35, ""rsi_ob"": 61, ""rsi_os"": 30, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.0022128763103313187, ""slip_spread_k"": 0.55187866878537, ""spread_hl_frac"": 0.013352716123268993, ""strategy"": ""breakout"", ""time_stop"": 45, ""tp_mult"": 2.0144108615708163, ""tsl_mult"": 0.9565227271481366, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23214220109505992}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.732969880446955, ""atr_max_pct"": 0.027216281014750987, ""atr_min_pct"": 0.0003301250102603703, ""bb_std_mult"": 0.9050759562718322, ""edge_cap"": 0.6012158351954444, ""edge_k"": 0.769245734249028, ""ema1"": 18, ""ema2"": 29, ""p_adx"": 17, ""p_atr"": 29, ""p_sma"": 32, ""p_std"": 10, ""rsi_ob"": 52, ""rsi_os"": 51, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.04025805566420709, ""slip_spread_k"": 0.5691787947179837, ""spread_hl_frac"": 0.018401035326758224, ""strategy"": ""mean_reversion"", ""time_stop"": 294, ""tp_mult"": 1.4538104073955702, ""tsl_mult"": 0.8254693752325354, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0584848243601723}"
2,-0.9999376270272489,-0.9999374807873986,-1000000000.0,0.9999374807873986,-0.9999376270272489,-0.9999374807873986,2774.0,breakout,1,"{""adx_thresh"": 31.119561582199044, ""atr_max_pct"": 0.11701907064383162, ""atr_min_pct"": 0.02027510460339234, ""bb_std_mult"": 0.5432641421400208, ""edge_cap"": 0.7158069958997864, ""edge_k"": 1.6724988345905019, ""ema1"": 15, ""ema2"": 60, ""p_adx"": 25, ""p_atr"": 9, ""p_sma"": 58, ""p_std"": 5, ""rsi_ob"": 53, ""rsi_os"": 15, ""rsi_period"": 43, ""rsi_required"": false, ""slip_atr_k"": 0.23901835448709305, ""slip_spread_k"": 0.9443319883655688, ""spread_hl_frac"": 0.02358721232145496, ""strategy"": ""breakout"", ""time_stop"": 244, ""tp_mult"": 1.5133594266371915, ""tsl_mult"": 0.4118384856918609, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1489281804436855}"
3,-0.999936666307652,-0.9999368023858499,-1000000000.0,0.9999368023858499,-0.999936666307652,-0.9999368023858499,3198.0,breakout,1,"{""adx_thresh"": 17.917561583073972, ""atr_max_pct"": 0.08577372117418992, ""atr_min_pct"": 0.01228609252197151, ""bb_std_mult"": 2.000410174224979, ""edge_cap"": 0.6504634364846428, ""edge_k"": 0.9775958419326229, ""ema1"": 17, ""ema2"": 18, ""p_adx"": 12, ""p_atr"": 21, ""p_sma"": 28, ""p_std"": 15, ""rsi_ob"": 45, ""rsi_os"": 25, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.21758566207464844, ""slip_spread_k"": 0.05277051636349239, ""spread_hl_frac"": 0.00351496994052824, ""strategy"": ""breakout"", ""time_stop"": 52, ""tp_mult"": 2.8689709486779194, ""tsl_mult"": 0.21556043955748394, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19863472592800033}"
4,-0.9956366399328975,-0.9956346748760347,-1000000000.0,0.9956346748760347,-0.9956366399328975,-0.9956346748760347,2921.0,breakout,1,"{""adx_thresh"": 17.198182444969202, ""atr_max_pct"": 0.06658183798244896, ""atr_min_pct"": 0.024806133967707804, ""bb_std_mult"": 0.5674908852346234, ""edge_cap"": 0.06030839271065412, ""edge_k"": 0.17551095900642322, ""ema1"": 17, ""ema2"": 42, ""p_adx"": 23, ""p_atr"": 24, ""p_sma"": 29, ""p_std"": 59, ""rsi_ob"": 95, ""rsi_os"": 55, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.0663955195192924, ""slip_spread_k"": 0.5080867124088713, ""spread_hl_frac"": 0.01564550559153739, ""strategy"": ""breakout"", ""time_stop"": 151, ""tp_mult"": 2.6664885504045115, ""tsl_mult"": 0.5089959285263304, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11301201581921802}"
5,-0.9987894012841478,-0.9987840297735346,-1000000000.0,0.9987840297735346,-0.9987894012841478,-0.9987840297735346,2262.0,breakout,1,"{""adx_thresh"": 10.686587504727761, ""atr_max_pct"": 0.0502030920913603, ""atr_min_pct"": 0.02764832762112629, ""bb_std_mult"": 0.9471985920414879, ""edge_cap"": 0.5052682847151815, ""edge_k"": 1.0230322869337718, ""ema1"": 8, ""ema2"": 53, ""p_adx"": 15, ""p_atr"": 9, ""p_sma"": 10, ""p_std"": 57, ""rsi_ob"": 90, ""rsi_os"": 23, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.22192752960812093, ""slip_spread_k"": 0.6434816869920952, ""spread_hl_frac"": 0.028138207293489786, ""strategy"": ""breakout"", ""time_stop"": 215, ""tp_mult"": 1.420140374893209, ""tsl_mult"": 0.1915265069244313, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.10789596026418301}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 9.222274269021232, ""atr_max_pct"": 0.05883205425873186, ""atr_min_pct"": 0.021678557070250622, ""bb_std_mult"": 2.1023296932454145, ""edge_cap"": 0.2407286238141122, ""edge_k"": 1.3972611086526652, ""ema1"": 22, ""ema2"": 49, ""p_adx"": 22, ""p_atr"": 27, ""p_sma"": 37, ""p_std"": 7, ""rsi_ob"": 50, ""rsi_os"": 40, ""rsi_period"": 81, ""rsi_required"": false, ""slip_atr_k"": 0.16462942792228102, ""slip_spread_k"": 0.5013007682261748, ""spread_hl_frac"": 0.022052851340371, ""strategy"": ""mean_reversion"", ""time_stop"": 193, ""tp_mult"": 2.7280939537129125, ""tsl_mult"": 0.629816848505716, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2575362454418198}"
7,-0.9999373962762553,-0.9999371615595115,-1000000000.0,0.9999371615595115,-0.9999373962762553,-0.9999371615595115,3263.0,mean_reversion,1,"{""adx_thresh"": 15.358020587450715, ""atr_max_pct"": 0.03309993052524201, ""atr_min_pct"": 0.027270040415253657, ""bb_std_mult"": 1.1628743754785789, ""edge_cap"": 0.7775729153972625, ""edge_k"": 1.9600838382609993, ""ema1"": 13, ""ema2"": 51, ""p_adx"": 22, ""p_atr"": 19, ""p_sma"": 17, ""p_std"": 15, ""rsi_ob"": 95, ""rsi_os"": 19, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.19901710389311847, ""slip_spread_k"": 0.15182097879359535, ""spread_hl_frac"": 0.04112075817680526, ""strategy"": ""mean_reversion"", ""time_stop"": 109, ""tp_mult"": 1.6041904465460668, ""tsl_mult"": 0.5665959516560455, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15214644345505823}"
8,-0.9979329614219948,-0.9982421970623275,-1000000000.0,0.9982421970623275,-0.9979329614219948,-0.9982421970623275,3941.0,breakout,1,"{""adx_thresh"": 31.462011520306834, ""atr_max_pct"": 0.14661801020895152, ""atr_min_pct"": 0.009950161833586062, ""bb_std_mult"": 0.5532240665768408, ""edge_cap"": 0.14309161806600226, ""edge_k"": 0.6536131445936142, ""ema1"": 12, ""ema2"": 58, ""p_adx"": 20, ""p_atr"": 12, ""p_sma"": 22, ""p_std"": 11, ""rsi_ob"": 84, ""rsi_os"": 44, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.010522207468593281, ""slip_spread_k"": 0.295025685676936, ""spread_hl_frac"": 0.030571168055692752, ""strategy"": ""breakout"", ""time_stop"": 33, ""tp_mult"": 1.9373746308348705, ""tsl_mult"": 0.2000287437778946, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.22657077187629332}"
9,-0.9980245500912013,-0.9980171688234987,-1000000000.0,0.9980171688234987,-0.9980245500912013,-0.9980171688234987,2706.0,breakout,1,"{""adx_thresh"": 27.660382269812267, ""atr_max_pct"": 0.06030144137454967, ""atr_min_pct"": 0.020315249731628727, ""bb_std_mult"": 3.411526960315624, ""edge_cap"": 0.3550324500025953, ""edge_k"": 0.5328161384806036, ""ema1"": 5, ""ema2"": 59, ""p_adx"": 9, ""p_atr"": 28, ""p_sma"": 11, ""p_std"": 47, ""rsi_ob"": 58, ""rsi_os"": 45, ""rsi_period"": 32, ""rsi_required"": false, ""slip_atr_k"": 0.13957133307835104, ""slip_spread_k"": 0.1286624555480418, ""spread_hl_frac"": 0.029576317643373453, ""strategy"": ""breakout"", ""time_stop"": 51, ""tp_mult"": 2.2573440088050205, ""tsl_mult"": 0.13350366922785195, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11066948577119136}"
