dir,ret%,maxDD%,trades,geo_monthly%,months,mdd_from_trades%,dd_used%,score
p39_seed131_dd04_broadhours_strict_open_short_mc_dd06_fee2x_slip0,18391.413642739804,-9.06155541255587,6071,34.05695965965836,14,6.072195874477626,9.06155541255587,18210.182534488686
p39_seed131_dd04_open_short_FINAL_fee4e-4_slip6e-4,18117.44232795117,-18.720934894829032,2752,32.303401280690224,14,7.668538906762723,18.720934894829032,17743.023630054588
p39_seed131_dd04_broadhours_strict_trades,6619.932170277026,-17.13418935630294,591,27.867244266102947,14,13.059324589273958,17.13418935630294,6277.248383150967
p39_seed131_dd04_broadhours_strict_open_short_mc_fee2x_fix,3526.8144170671717,-8.548123547988851,4807,24.30652323141142,14,3.7097714713123175,8.548123547988851,3355.8519461073947
p39_seed131_dd04_broadhours_strict_short_s73,3959.592631359512,-38.326564071862975,1162,62.097146035140106,7,10.549581953122534,38.326564071862975,3193.0613499222522
p39_dd06_open_long_SPOT_fee5e-4_slip4e-4_s131,1567.542812230956,-12.3829831847279,3395,21.87698280893083,14,6.04687669110564,12.3829831847279,1319.883148536398
p39_fee0.0005_slip0.0006_s43_wide_strict_open_longshort_reopt,1092.781425191714,-18.70751773649183,2792,19.379358803671547,13,3.5325403297665203,18.70751773649183,718.6310704618775
p39_r05_dd0.08_mcl5_lock0_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl5_lock10_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl5_lock20_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock20_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock10_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock0_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl0_lock20_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl0_lock10_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl0_lock0_s43,99.62507857813829,-3.2199376879328203,21,11.90577891497145,5,4.748933475382422,3.2199376879328203,35.226324819481874
p39_seed99_fee0004_slip0008,54.498147232072384,-2.81299467606609,101,12.967961023429423,4,21.362630361366563,2.81299467606609,-1.761746289249416
p39_r05_dd08_fee0.0006_slip0.0006_s43,139.39652588014718,-8.03589540279795,8,42.54277682179611,3,20.79267161492654,8.03589540279795,-21.321382175811806
p39_seed131_dd04_broadhours_strict_long,268.50685156027424,-20.83481847440051,492,14.586664567524474,9,2.8922201466476727,20.83481847440051,-148.18951792773595
p39_r03_dd0.06_s43,148.586326302707,-16.5617027161655,40,27.227720117272696,7,130.89152372862125,16.5617027161655,-182.64772802060298
p39_seed131_dd04_broadhours_strict_open_short,375.4755351788651,-33.60923050972161,593,11.487931205193243,13,3.7463701999452925,33.60923050972161,-296.7090750155672
p39_seed131_dd04_broadhours_strict_open_short_mc_dd06_fix_seed303,1528.7442674422837,-94.84736699859843,6258,14.329529276282225,14,3.6769145209978205,94.84736699859843,-368.20307252968496
p39_r05_dd0.12_s43,33.74768158715375,-22.33771202897939,148,10.232705677990209,3,18.284274307877425,22.33771202897939,-413.006558992434
