2025-08-31 09:54:43,689 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-31 09:54:43,698] A new study created in memory with name: no-name-661fe8d0-3b24-4525-ba0c-c3e10d87477e
[I 2025-08-31 09:54:43,704] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 57, 'p_std': 52, 'p_atr': 23, 'p_adx': 23, 'rsi_period': 38, 'ema1': 14, 'ema2': 21, 'slip_atr_k': 0.07285918511417935, 'slip_spread_k': 0.07482934959170962, 'spread_hl_frac': 0.016812803340321147, 'bb_std_mult': 1.647828566156482, 'rsi_os': 54, 'rsi_ob': 76, 'vol_spike': 0.0013074513746074933, 'adx_thresh': 34.3738790382091, 'atr_min_pct': 0.025268603996839358, 'atr_max_pct': 0.05933298554524303, 'tp_mult': 2.887448341245094, 'tsl_mult': 0.07593266673403565, 'strategy': 'mean_reversion', 'time_stop': 254, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.7396213118837869, 'edge_cap': 0.47488876761271537, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.4437230176844484, 'bull_rsi_os': 51, 'bull_rsi_ob': 79, 'bull_adx_thresh': 9.44609239930174, 'bull_atr_min_pct': 0.013105658826239439, 'bull_atr_max_pct': 0.14699041861255618, 'bull_tp_mult': 2.808719965243417, 'bull_tsl_mult': 0.14584081536972104, 'bull_time_stop': 164, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.5233376367951053, 'bear_rsi_os': 6, 'bear_rsi_ob': 89, 'bear_adx_thresh': 8.776172218117294, 'bear_atr_min_pct': 0.016516000791795285, 'bear_atr_max_pct': 0.060890440688312564, 'bear_tp_mult': 2.02212682002372, 'bear_tsl_mult': 0.6666265936700793, 'bear_time_stop': 25, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.8023728746769236, 'sideways_rsi_os': 11, 'sideways_rsi_ob': 79, 'sideways_adx_thresh': 34.221703630281766, 'sideways_atr_min_pct': 0.004472258087771461, 'sideways_atr_max_pct': 0.13698705234049216, 'sideways_tp_mult': 2.2731332710139522, 'sideways_tsl_mult': 0.821636359849012, 'sideways_time_stop': 227, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 09:55:19,788] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 45, 'p_atr': 26, 'p_adx': 14, 'rsi_period': 35, 'ema1': 7, 'ema2': 31, 'slip_atr_k': 0.15390477773183184, 'slip_spread_k': 0.647465903819518, 'spread_hl_frac': 0.047458932184517494, 'bb_std_mult': 3.214985816147382, 'rsi_os': 22, 'rsi_ob': 86, 'vol_spike': 0.18810571183366873, 'adx_thresh': 22.59208049873301, 'atr_min_pct': 0.002535445859264632, 'atr_max_pct': 0.013985962558410754, 'tp_mult': 1.4186730545980273, 'tsl_mult': 0.7657124088060046, 'strategy': 'breakout', 'time_stop': 223, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.34031136933229744, 'edge_cap': 0.5519346734548293, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.211521260275925, 'bull_rsi_os': 45, 'bull_rsi_ob': 93, 'bull_adx_thresh': 27.910354608447307, 'bull_atr_min_pct': 0.023406506609444367, 'bull_atr_max_pct': 0.06505931945105917, 'bull_tp_mult': 2.0660361059428216, 'bull_tsl_mult': 0.03641614732010778, 'bull_time_stop': 232, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5868439387446605, 'bear_rsi_os': 10, 'bear_rsi_ob': 80, 'bear_adx_thresh': 19.59052885929217, 'bear_atr_min_pct': 0.02690833817651261, 'bear_atr_max_pct': 0.07661328572479179, 'bear_tp_mult': 2.4360746361740295, 'bear_tsl_mult': 0.2523840550245515, 'bear_time_stop': 161, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.8844130148315803, 'sideways_rsi_os': 51, 'sideways_rsi_ob': 78, 'sideways_adx_thresh': 18.82633734796592, 'sideways_atr_min_pct': 0.0069587422849771334, 'sideways_atr_max_pct': 0.04252476526616639, 'sideways_tp_mult': 2.584462301813798, 'sideways_tsl_mult': 0.8574871301168026, 'sideways_time_stop': 243, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 09:55:19,866] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 51, 'p_atr': 8, 'p_adx': 26, 'rsi_period': 65, 'ema1': 27, 'ema2': 13, 'slip_atr_k': 0.0217327064871351, 'slip_spread_k': 0.7731783239879932, 'spread_hl_frac': 0.04064788848869046, 'bb_std_mult': 2.5294109172764245, 'rsi_os': 7, 'rsi_ob': 92, 'vol_spike': 0.10223848444932371, 'adx_thresh': 32.67746708163194, 'atr_min_pct': 0.012057857504820853, 'atr_max_pct': 0.011056489740316358, 'tp_mult': 1.1513239743417512, 'tsl_mult': 0.828898095447869, 'strategy': 'breakout', 'time_stop': 239, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.8478429753298833, 'edge_cap': 0.785655193447157, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.7666694210190914, 'bull_rsi_os': 24, 'bull_rsi_ob': 67, 'bull_adx_thresh': 24.683208341303825, 'bull_atr_min_pct': 0.02573409279675924, 'bull_atr_max_pct': 0.10550469204502079, 'bull_tp_mult': 2.77869053102419, 'bull_tsl_mult': 0.5966208822493547, 'bull_time_stop': 217, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.202207270883781, 'bear_rsi_os': 37, 'bear_rsi_ob': 68, 'bear_adx_thresh': 20.60970439499347, 'bear_atr_min_pct': 0.009960378377291005, 'bear_atr_max_pct': 0.1224530691588889, 'bear_tp_mult': 2.2431411398268186, 'bear_tsl_mult': 0.14795032498294125, 'bear_time_stop': 229, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.604510308444769, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 26.406338248694837, 'sideways_atr_min_pct': 0.02464092978334357, 'sideways_atr_max_pct': 0.014535451632320997, 'sideways_tp_mult': 2.815855513409378, 'sideways_tsl_mult': 0.006496647428171465, 'sideways_time_stop': 278, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 09:55:20,583] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 59, 'p_std': 51, 'p_atr': 23, 'p_adx': 7, 'rsi_period': 21, 'ema1': 19, 'ema2': 10, 'slip_atr_k': 0.07778312341647697, 'slip_spread_k': 0.8851568157928741, 'spread_hl_frac': 0.041470489107928235, 'bb_std_mult': 3.0871232296582902, 'rsi_os': 28, 'rsi_ob': 59, 'vol_spike': 0.12277309329470182, 'adx_thresh': 15.667298268904199, 'atr_min_pct': 0.004717154519929042, 'atr_max_pct': 0.032562993394823395, 'tp_mult': 1.0100070412313047, 'tsl_mult': 0.8407699201078536, 'strategy': 'breakout', 'time_stop': 258, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.796123459044203, 'edge_cap': 0.9305985812348531, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.1032433016318546, 'bull_rsi_os': 20, 'bull_rsi_ob': 55, 'bull_adx_thresh': 23.511694981186853, 'bull_atr_min_pct': 0.013848890589881924, 'bull_atr_max_pct': 0.1072173657244625, 'bull_tp_mult': 2.1484698453993385, 'bull_tsl_mult': 0.068886647236857, 'bull_time_stop': 266, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.954982439206965, 'bear_rsi_os': 11, 'bear_rsi_ob': 77, 'bear_adx_thresh': 17.228655270446897, 'bear_atr_min_pct': 0.029865695882462656, 'bear_atr_max_pct': 0.03964871728880342, 'bear_tp_mult': 1.0413219832223164, 'bear_tsl_mult': 0.6165004687050185, 'bear_time_stop': 170, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.9037344754846643, 'sideways_rsi_os': 29, 'sideways_rsi_ob': 94, 'sideways_adx_thresh': 26.92014779319228, 'sideways_atr_min_pct': 0.014114477015536852, 'sideways_atr_max_pct': 0.09497235174923985, 'sideways_tp_mult': 1.1383334218427419, 'sideways_tsl_mult': 0.7331690608825323, 'sideways_time_stop': 10, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 09:55:21,096] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 46, 'p_atr': 8, 'p_adx': 7, 'rsi_period': 71, 'ema1': 12, 'ema2': 16, 'slip_atr_k': 0.18946450128749906, 'slip_spread_k': 0.9003258814465531, 'spread_hl_frac': 0.02380286598565838, 'bb_std_mult': 2.9798214174019084, 'rsi_os': 38, 'rsi_ob': 59, 'vol_spike': 0.12465925563257418, 'adx_thresh': 32.342054092146476, 'atr_min_pct': 0.008470900146169679, 'atr_max_pct': 0.06775097877003636, 'tp_mult': 2.279817041006299, 'tsl_mult': 0.3654942528650962, 'strategy': 'mean_reversion', 'time_stop': 61, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.45724365069767026, 'edge_cap': 0.9302054208296899, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.8462099816386012, 'bull_rsi_os': 40, 'bull_rsi_ob': 95, 'bull_adx_thresh': 33.75858268596799, 'bull_atr_min_pct': 0.016411640209692782, 'bull_atr_max_pct': 0.12879217205756271, 'bull_tp_mult': 2.088277971133162, 'bull_tsl_mult': 0.8233182477367585, 'bull_time_stop': 292, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.6151141744337933, 'bear_rsi_os': 37, 'bear_rsi_ob': 70, 'bear_adx_thresh': 28.116165022765937, 'bear_atr_min_pct': 0.008540918609466056, 'bear_atr_max_pct': 0.046960801545739096, 'bear_tp_mult': 2.802296577014896, 'bear_tsl_mult': 0.9560379654889232, 'bear_time_stop': 133, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.9579181205930083, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 87, 'sideways_adx_thresh': 34.07347093144711, 'sideways_atr_min_pct': 0.00511505747922007, 'sideways_atr_max_pct': 0.06903462001134401, 'sideways_tp_mult': 1.1533857633817644, 'sideways_tsl_mult': 0.6183458844382251, 'sideways_time_stop': 79, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 09:55:21,122] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 41, 'p_atr': 18, 'p_adx': 25, 'rsi_period': 69, 'ema1': 10, 'ema2': 38, 'slip_atr_k': 0.052362668474240204, 'slip_spread_k': 0.6643159425834656, 'spread_hl_frac': 0.0041171733828757, 'bb_std_mult': 3.08738149038576, 'rsi_os': 43, 'rsi_ob': 48, 'vol_spike': 0.04304483726715389, 'adx_thresh': 22.96288024083098, 'atr_min_pct': 0.017374613083060254, 'atr_max_pct': 0.10286256342612306, 'tp_mult': 1.0842569169760128, 'tsl_mult': 0.08864482571570031, 'strategy': 'mean_reversion', 'time_stop': 234, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.403992882915267, 'edge_cap': 0.8929608801161101, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.5010557969769859, 'bull_rsi_os': 42, 'bull_rsi_ob': 72, 'bull_adx_thresh': 26.9949398160514, 'bull_atr_min_pct': 0.009112264709650481, 'bull_atr_max_pct': 0.13689631949755157, 'bull_tp_mult': 2.4231421257805827, 'bull_tsl_mult': 0.278634297188602, 'bull_time_stop': 265, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.8135708480224548, 'bear_rsi_os': 15, 'bear_rsi_ob': 67, 'bear_adx_thresh': 9.385919991704375, 'bear_atr_min_pct': 0.019957202794744056, 'bear_atr_max_pct': 0.05638179139663017, 'bear_tp_mult': 2.2027972440671646, 'bear_tsl_mult': 0.6448487795336794, 'bear_time_stop': 295, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.0700502272061008, 'sideways_rsi_os': 50, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 12.103107473651582, 'sideways_atr_min_pct': 0.0027131039245520848, 'sideways_atr_max_pct': 0.07104162505317747, 'sideways_tp_mult': 2.8700090895926866, 'sideways_tsl_mult': 0.7060823546493438, 'sideways_time_stop': 162, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 09:55:21,154] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 20, 'p_std': 19, 'p_atr': 15, 'p_adx': 18, 'rsi_period': 77, 'ema1': 19, 'ema2': 50, 'slip_atr_k': 0.03573423198083414, 'slip_spread_k': 0.44950380472546925, 'spread_hl_frac': 0.03927951724069322, 'bb_std_mult': 2.0231144087647586, 'rsi_os': 48, 'rsi_ob': 48, 'vol_spike': 0.2990900364289351, 'adx_thresh': 20.057441023965644, 'atr_min_pct': 0.028197667009875697, 'atr_max_pct': 0.08659709212303045, 'tp_mult': 2.0230264033555523, 'tsl_mult': 0.10703731311032028, 'strategy': 'mean_reversion', 'time_stop': 94, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7361011346625008, 'edge_cap': 0.994381347385987, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.3002079968747187, 'bull_rsi_os': 47, 'bull_rsi_ob': 85, 'bull_adx_thresh': 22.084260274338277, 'bull_atr_min_pct': 0.026795980549214133, 'bull_atr_max_pct': 0.10418579644334762, 'bull_tp_mult': 1.098706621868082, 'bull_tsl_mult': 0.41568694851857146, 'bull_time_stop': 172, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.013939281885604, 'bear_rsi_os': 42, 'bear_rsi_ob': 46, 'bear_adx_thresh': 18.64744746392264, 'bear_atr_min_pct': 0.0005275476545975733, 'bear_atr_max_pct': 0.01036888553458879, 'bear_tp_mult': 1.748811988495194, 'bear_tsl_mult': 0.5982217015203888, 'bear_time_stop': 36, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.419071722505664, 'sideways_rsi_os': 45, 'sideways_rsi_ob': 94, 'sideways_adx_thresh': 31.635121674355396, 'sideways_atr_min_pct': 0.02150751708524174, 'sideways_atr_max_pct': 0.06389289482889512, 'sideways_tp_mult': 2.10125640813675, 'sideways_tsl_mult': 0.05998713480920859, 'sideways_time_stop': 291, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 09:55:21,850] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 16, 'p_std': 11, 'p_atr': 16, 'p_adx': 29, 'rsi_period': 84, 'ema1': 27, 'ema2': 29, 'slip_atr_k': 0.1962378651212598, 'slip_spread_k': 0.8757584240569293, 'spread_hl_frac': 0.015554347605797852, 'bb_std_mult': 1.6348956747932801, 'rsi_os': 22, 'rsi_ob': 48, 'vol_spike': 0.13793465255951579, 'adx_thresh': 20.573147622724754, 'atr_min_pct': 0.018270102207432616, 'atr_max_pct': 0.12893902951467884, 'tp_mult': 2.0882031812489683, 'tsl_mult': 0.0009048432776628257, 'strategy': 'breakout', 'time_stop': 165, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.3815504650548611, 'edge_cap': 0.06978629616101677, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.6326784515225983, 'bull_rsi_os': 5, 'bull_rsi_ob': 46, 'bull_adx_thresh': 15.317419918867817, 'bull_atr_min_pct': 0.006718611865733932, 'bull_atr_max_pct': 0.1183425492226833, 'bull_tp_mult': 2.850510664787518, 'bull_tsl_mult': 0.5992109351852307, 'bull_time_stop': 74, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5311136062347062, 'bear_rsi_os': 10, 'bear_rsi_ob': 67, 'bear_adx_thresh': 29.189864817751914, 'bear_atr_min_pct': 0.003533307252033243, 'bear_atr_max_pct': 0.09512886000621859, 'bear_tp_mult': 2.2864169640906242, 'bear_tsl_mult': 0.6372846478372919, 'bear_time_stop': 129, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.6218441499400464, 'sideways_rsi_os': 12, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 14.770819408367728, 'sideways_atr_min_pct': 0.026892874597441118, 'sideways_atr_max_pct': 0.14515738974708856, 'sideways_tp_mult': 1.9483420377431075, 'sideways_tsl_mult': 0.14694595823659995, 'sideways_time_stop': 196, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 09:55:54,035] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 56, 'p_std': 54, 'p_atr': 17, 'p_adx': 25, 'rsi_period': 41, 'ema1': 22, 'ema2': 60, 'slip_atr_k': 0.20064195932780865, 'slip_spread_k': 0.29240470204702285, 'spread_hl_frac': 0.02916893239847722, 'bb_std_mult': 0.9746692669245606, 'rsi_os': 38, 'rsi_ob': 46, 'vol_spike': 0.27368093594324133, 'adx_thresh': 25.698423893094574, 'atr_min_pct': 0.024942256220379797, 'atr_max_pct': 0.12175484589284985, 'tp_mult': 1.4895167959754745, 'tsl_mult': 0.638074739183395, 'strategy': 'breakout', 'time_stop': 134, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.14192855850728647, 'edge_cap': 0.9925139704108921, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.1456731923631847, 'bull_rsi_os': 46, 'bull_rsi_ob': 90, 'bull_adx_thresh': 5.986863838372355, 'bull_atr_min_pct': 0.009111888329342614, 'bull_atr_max_pct': 0.04616904388565795, 'bull_tp_mult': 1.1043055680229577, 'bull_tsl_mult': 0.25660379747274087, 'bull_time_stop': 235, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.0146461800438717, 'bear_rsi_os': 51, 'bear_rsi_ob': 51, 'bear_adx_thresh': 21.414834991558756, 'bear_atr_min_pct': 0.0006206750139019224, 'bear_atr_max_pct': 0.07648776937195426, 'bear_tp_mult': 1.670995936759757, 'bear_tsl_mult': 0.6164309577704089, 'bear_time_stop': 90, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.6606478189740235, 'sideways_rsi_os': 27, 'sideways_rsi_ob': 86, 'sideways_adx_thresh': 32.74635374144559, 'sideways_atr_min_pct': 0.015366932161803749, 'sideways_atr_max_pct': 0.029428791691716076, 'sideways_tp_mult': 1.0247429195704596, 'sideways_tsl_mult': 0.6911456287654602, 'sideways_time_stop': 136, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 09:55:54,680] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 9, 'p_std': 19, 'p_atr': 30, 'p_adx': 19, 'rsi_period': 66, 'ema1': 9, 'ema2': 28, 'slip_atr_k': 0.22716989302439308, 'slip_spread_k': 0.9850461846539017, 'spread_hl_frac': 0.03268033919367585, 'bb_std_mult': 1.7187882324624477, 'rsi_os': 13, 'rsi_ob': 85, 'vol_spike': 0.07676466741870663, 'adx_thresh': 27.624547004507384, 'atr_min_pct': 0.010412867303424667, 'atr_max_pct': 0.03430860223176508, 'tp_mult': 1.062564467290724, 'tsl_mult': 0.8034255429675431, 'strategy': 'breakout', 'time_stop': 116, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.3314746415776517, 'edge_cap': 0.36490584970378365, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.515294341830331, 'bull_rsi_os': 28, 'bull_rsi_ob': 86, 'bull_adx_thresh': 34.8577910743769, 'bull_atr_min_pct': 0.025887119148641412, 'bull_atr_max_pct': 0.14980207170749393, 'bull_tp_mult': 2.4349451154160544, 'bull_tsl_mult': 0.11940961050021714, 'bull_time_stop': 160, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.755397592933755, 'bear_rsi_os': 32, 'bear_rsi_ob': 73, 'bear_adx_thresh': 11.178435666871252, 'bear_atr_min_pct': 0.027485363873479978, 'bear_atr_max_pct': 0.037876056850751676, 'bear_tp_mult': 2.327775533641755, 'bear_tsl_mult': 0.12656134351918547, 'bear_time_stop': 298, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.4281925635858295, 'sideways_rsi_os': 21, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 14.765100829341703, 'sideways_atr_min_pct': 0.007614494779399855, 'sideways_atr_max_pct': 0.08023702670549603, 'sideways_tp_mult': 2.9363355536237257, 'sideways_tsl_mult': 0.1455863807359895, 'sideways_time_stop': 289, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 09:55:55,055] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 40, 'p_atr': 13, 'p_adx': 11, 'rsi_period': 72, 'ema1': 29, 'ema2': 44, 'slip_atr_k': 0.09600883200858637, 'slip_spread_k': 0.3158819746969296, 'spread_hl_frac': 0.03964465507616758, 'bb_std_mult': 1.9942476579598103, 'rsi_os': 54, 'rsi_ob': 68, 'vol_spike': 0.24116304252488996, 'adx_thresh': 15.845908327396073, 'atr_min_pct': 0.019538950517002295, 'atr_max_pct': 0.04593360769427466, 'tp_mult': 1.3501048537352873, 'tsl_mult': 0.535207839475748, 'strategy': 'breakout', 'time_stop': 97, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.0772608481883221, 'edge_cap': 0.7402848301120927, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.4832056151471757, 'bull_rsi_os': 16, 'bull_rsi_ob': 79, 'bull_adx_thresh': 16.555984387674442, 'bull_atr_min_pct': 0.015969418285656675, 'bull_atr_max_pct': 0.0633640904170734, 'bull_tp_mult': 1.9513945256426866, 'bull_tsl_mult': 0.1469914806773993, 'bull_time_stop': 106, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.9675318153145093, 'bear_rsi_os': 45, 'bear_rsi_ob': 92, 'bear_adx_thresh': 24.58208054906087, 'bear_atr_min_pct': 0.005114572132326168, 'bear_atr_max_pct': 0.1221226547634242, 'bear_tp_mult': 2.118359891948921, 'bear_tsl_mult': 0.14943212934125982, 'bear_time_stop': 35, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.9953515440791736, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 65, 'sideways_adx_thresh': 12.019554826125596, 'sideways_atr_min_pct': 0.0016316068555619222, 'sideways_atr_max_pct': 0.14582412504698689, 'sideways_tp_mult': 1.5680184968003705, 'sideways_tsl_mult': 0.9523166180171238, 'sideways_time_stop': 54, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
