2025-09-01 13:02:20,058 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 13:02:20,079] A new study created in memory with name: no-name-ad8d2a97-6ebd-439e-a4e1-6906499d89f8
[I 2025-09-01 13:02:20,104] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 54, 'p_std': 42, 'p_atr': 13, 'p_adx': 13, 'rsi_period': 53, 'ema1': 13, 'ema2': 23, 'slip_atr_k': 0.15324626986807174, 'slip_spread_k': 0.9723271277734152, 'spread_hl_frac': 0.01863818130165369, 'bb_std_mult': 0.5798656667600924, 'rsi_os': 32, 'rsi_ob': 48, 'vol_spike': 0.11183929566762361, 'adx_thresh': 7.682215797565232, 'atr_min_pct': 0.01100099483289572, 'atr_max_pct': 0.0985316210795193, 'tp_mult': 1.6749406332400048, 'tsl_mult': 0.8000165173461974, 'strategy': 'mean_reversion', 'time_stop': 188, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.034963908994757, 'edge_cap': 0.8111822946305215, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.0038799002861831, 'bull_rsi_os': 10, 'bull_rsi_ob': 50, 'bull_adx_thresh': 23.417446112323933, 'bull_atr_min_pct': 0.02228756649559754, 'bull_atr_max_pct': 0.1184457486964051, 'bull_tp_mult': 1.2861127304037412, 'bull_tsl_mult': 0.76994388761436, 'bull_time_stop': 269, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.6779845077246441, 'bear_rsi_os': 48, 'bear_rsi_ob': 49, 'bear_adx_thresh': 10.71909914689678, 'bear_atr_min_pct': 0.011328035598460804, 'bear_atr_max_pct': 0.092787082556305, 'bear_tp_mult': 1.0798876707512446, 'bear_tsl_mult': 0.4758212184834073, 'bear_time_stop': 252, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.285997140427952, 'sideways_rsi_os': 16, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 16.633509310225307, 'sideways_atr_min_pct': 0.015861161019038977, 'sideways_atr_max_pct': 0.06416922254651576, 'sideways_tp_mult': 2.1572475342559705, 'sideways_tsl_mult': 0.43903674872337795, 'sideways_time_stop': 95, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:02:55,773] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 44, 'p_std': 28, 'p_atr': 22, 'p_adx': 23, 'rsi_period': 31, 'ema1': 6, 'ema2': 56, 'slip_atr_k': 0.2466698677511785, 'slip_spread_k': 0.5997390743149984, 'spread_hl_frac': 0.0007980058107107391, 'bb_std_mult': 1.987711748704379, 'rsi_os': 5, 'rsi_ob': 86, 'vol_spike': 0.13709420548320092, 'adx_thresh': 7.8742626131006155, 'atr_min_pct': 0.006673935463589282, 'atr_max_pct': 0.06650675992822558, 'tp_mult': 2.8895339860193268, 'tsl_mult': 0.06578871886362758, 'strategy': 'mean_reversion', 'time_stop': 244, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.8486843358871259, 'edge_cap': 0.06399320008430874, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.57890834217485, 'bull_rsi_os': 11, 'bull_rsi_ob': 66, 'bull_adx_thresh': 30.816341140813677, 'bull_atr_min_pct': 0.011007774932900798, 'bull_atr_max_pct': 0.019994338760725348, 'bull_tp_mult': 1.8315251188562869, 'bull_tsl_mult': 0.6196013970655201, 'bull_time_stop': 86, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.505527189355689, 'bear_rsi_os': 13, 'bear_rsi_ob': 84, 'bear_adx_thresh': 9.166257244228253, 'bear_atr_min_pct': 0.015394047601993859, 'bear_atr_max_pct': 0.11576605869531446, 'bear_tp_mult': 1.10293426992861, 'bear_tsl_mult': 0.1572067084584231, 'bear_time_stop': 70, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.5148460187881934, 'sideways_rsi_os': 20, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 15.243864104642157, 'sideways_atr_min_pct': 0.007737220055723217, 'sideways_atr_max_pct': 0.13021119350306093, 'sideways_tp_mult': 2.047051612555429, 'sideways_tsl_mult': 0.0435599236455555, 'sideways_time_stop': 110, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:02:58,243] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 8, 'p_std': 46, 'p_atr': 28, 'p_adx': 12, 'rsi_period': 54, 'ema1': 28, 'ema2': 37, 'slip_atr_k': 0.22146988546013993, 'slip_spread_k': 0.4066841974963715, 'spread_hl_frac': 0.017239094739421625, 'bb_std_mult': 3.554100357160006, 'rsi_os': 33, 'rsi_ob': 48, 'vol_spike': 0.01988142249047702, 'adx_thresh': 6.156967548394353, 'atr_min_pct': 0.026644736211608424, 'atr_max_pct': 0.14943698467940925, 'tp_mult': 2.005758672730133, 'tsl_mult': 0.8920180638871165, 'strategy': 'breakout', 'time_stop': 207, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4908510865434053, 'edge_cap': 0.564825526849573, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.478917269646023, 'bull_rsi_os': 29, 'bull_rsi_ob': 61, 'bull_adx_thresh': 13.528962365976476, 'bull_atr_min_pct': 0.023769874214335455, 'bull_atr_max_pct': 0.04025800748418208, 'bull_tp_mult': 1.2674115397301209, 'bull_tsl_mult': 0.7064121127188715, 'bull_time_stop': 101, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.5835076333653513, 'bear_rsi_os': 9, 'bear_rsi_ob': 49, 'bear_adx_thresh': 16.454690202155994, 'bear_atr_min_pct': 0.0046350868976333445, 'bear_atr_max_pct': 0.05978488563958685, 'bear_tp_mult': 2.281638994481779, 'bear_tsl_mult': 0.08692813204759164, 'bear_time_stop': 78, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.7687200949988964, 'sideways_rsi_os': 41, 'sideways_rsi_ob': 47, 'sideways_adx_thresh': 10.343186286333147, 'sideways_atr_min_pct': 0.004251634472919921, 'sideways_atr_max_pct': 0.149333417946906, 'sideways_tp_mult': 1.5145156372690773, 'sideways_tsl_mult': 0.2324485629297014, 'sideways_time_stop': 21, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:02:58,268] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 13, 'p_std': 49, 'p_atr': 11, 'p_adx': 11, 'rsi_period': 49, 'ema1': 29, 'ema2': 10, 'slip_atr_k': 0.139005854857462, 'slip_spread_k': 0.0846386014370557, 'spread_hl_frac': 0.04495726558291494, 'bb_std_mult': 2.1460182528679237, 'rsi_os': 16, 'rsi_ob': 68, 'vol_spike': 0.11437308441543302, 'adx_thresh': 27.586189141205317, 'atr_min_pct': 0.010392070314467842, 'atr_max_pct': 0.04917568367754439, 'tp_mult': 2.1341888473695056, 'tsl_mult': 0.6399887144928562, 'strategy': 'breakout', 'time_stop': 153, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.7801126884955638, 'edge_cap': 0.298377746323987, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.191863811289068, 'bull_rsi_os': 40, 'bull_rsi_ob': 81, 'bull_adx_thresh': 17.05163826303987, 'bull_atr_min_pct': 0.0210784391704119, 'bull_atr_max_pct': 0.14261787654878952, 'bull_tp_mult': 1.5846758086327328, 'bull_tsl_mult': 0.6435803624850887, 'bull_time_stop': 277, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.9711504191700929, 'bear_rsi_os': 46, 'bear_rsi_ob': 57, 'bear_adx_thresh': 5.909284771481532, 'bear_atr_min_pct': 0.01075243828763939, 'bear_atr_max_pct': 0.05046990985399615, 'bear_tp_mult': 2.271873138738679, 'bear_tsl_mult': 0.17391034490610158, 'bear_time_stop': 190, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.8026199565853274, 'sideways_rsi_os': 54, 'sideways_rsi_ob': 65, 'sideways_adx_thresh': 29.694922053236397, 'sideways_atr_min_pct': 0.010334428382910401, 'sideways_atr_max_pct': 0.10591630209210628, 'sideways_tp_mult': 2.5702780612736995, 'sideways_tsl_mult': 0.625659723497238, 'sideways_time_stop': 138, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 13:02:58,268] Trial 1 finished with values: [-0.12300388392849149, 0.12322673468816937] and parameters: {'p_sma': 38, 'p_std': 7, 'p_atr': 30, 'p_adx': 10, 'rsi_period': 78, 'ema1': 24, 'ema2': 42, 'slip_atr_k': 0.029816539959487853, 'slip_spread_k': 0.22314188782706024, 'spread_hl_frac': 0.014358204150605803, 'bb_std_mult': 2.3858639670238166, 'rsi_os': 5, 'rsi_ob': 79, 'vol_spike': 0.12351363116959796, 'adx_thresh': 27.27999098071648, 'atr_min_pct': 0.029888375891863453, 'atr_max_pct': 0.07702970897951653, 'tp_mult': 1.4314642398410133, 'tsl_mult': 0.6333263831110256, 'strategy': 'mean_reversion', 'time_stop': 28, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.1924287560550193, 'edge_cap': 0.5104242851753857, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.5051453523711286, 'bull_rsi_os': 10, 'bull_rsi_ob': 90, 'bull_adx_thresh': 17.772114345817073, 'bull_atr_min_pct': 0.02086617501922529, 'bull_atr_max_pct': 0.1109173379914273, 'bull_tp_mult': 1.6200819060392393, 'bull_tsl_mult': 0.7788917449173927, 'bull_time_stop': 19, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.2061307601689786, 'bear_rsi_os': 43, 'bear_rsi_ob': 46, 'bear_adx_thresh': 8.421903550096573, 'bear_atr_min_pct': 0.0013188767899606302, 'bear_atr_max_pct': 0.13128246192457266, 'bear_tp_mult': 2.721584277633629, 'bear_tsl_mult': 0.4667963604374933, 'bear_time_stop': 160, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.355032070359853, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 64, 'sideways_adx_thresh': 9.462045276424051, 'sideways_atr_min_pct': 0.028040879844038618, 'sideways_atr_max_pct': 0.13542376534761763, 'sideways_tp_mult': 2.2324338211823402, 'sideways_tsl_mult': 0.751482864331227, 'sideways_time_stop': 255, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:02:58,273] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 25, 'p_atr': 9, 'p_adx': 16, 'rsi_period': 19, 'ema1': 5, 'ema2': 52, 'slip_atr_k': 0.11287874271522924, 'slip_spread_k': 0.04873100297983557, 'spread_hl_frac': 0.005817629421650328, 'bb_std_mult': 2.5773296476611876, 'rsi_os': 31, 'rsi_ob': 47, 'vol_spike': 0.011047249298265093, 'adx_thresh': 17.37492917964795, 'atr_min_pct': 0.02801238363283604, 'atr_max_pct': 0.015194083843727169, 'tp_mult': 1.9083742783041249, 'tsl_mult': 0.27916823466576, 'strategy': 'breakout', 'time_stop': 74, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.6634574295809748, 'edge_cap': 0.5539451022359801, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.2173392601604114, 'bull_rsi_os': 35, 'bull_rsi_ob': 68, 'bull_adx_thresh': 20.99745296962622, 'bull_atr_min_pct': 0.01634926319296112, 'bull_atr_max_pct': 0.04380684652146077, 'bull_tp_mult': 2.0896346711003986, 'bull_tsl_mult': 0.8444471867625061, 'bull_time_stop': 264, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.4801784068340895, 'bear_rsi_os': 13, 'bear_rsi_ob': 72, 'bear_adx_thresh': 20.279200271385452, 'bear_atr_min_pct': 0.019475038859509554, 'bear_atr_max_pct': 0.14057696282531199, 'bear_tp_mult': 2.309706539568929, 'bear_tsl_mult': 0.5711736317256244, 'bear_time_stop': 182, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.27083176250496, 'sideways_rsi_os': 50, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 14.25211138062533, 'sideways_atr_min_pct': 0.024111458864729724, 'sideways_atr_max_pct': 0.11937439674972986, 'sideways_tp_mult': 1.2805785716761826, 'sideways_tsl_mult': 0.30738861083873215, 'sideways_time_stop': 219, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:03:32,278] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 22, 'p_atr': 25, 'p_adx': 23, 'rsi_period': 8, 'ema1': 11, 'ema2': 35, 'slip_atr_k': 0.026051094749866832, 'slip_spread_k': 0.9282472924568187, 'spread_hl_frac': 0.039178721037688935, 'bb_std_mult': 2.6523052650262695, 'rsi_os': 18, 'rsi_ob': 61, 'vol_spike': 0.22690662705545755, 'adx_thresh': 34.01672843238308, 'atr_min_pct': 0.022473713801117932, 'atr_max_pct': 0.14385639492483746, 'tp_mult': 2.9522583559069298, 'tsl_mult': 0.6960166643029431, 'strategy': 'breakout', 'time_stop': 47, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.027272911792136867, 'edge_cap': 0.5202443962823431, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.0238415553274893, 'bull_rsi_os': 17, 'bull_rsi_ob': 45, 'bull_adx_thresh': 33.29054939761858, 'bull_atr_min_pct': 0.020286029349128903, 'bull_atr_max_pct': 0.10007283553389486, 'bull_tp_mult': 1.7810830069183654, 'bull_tsl_mult': 0.11532530829348442, 'bull_time_stop': 57, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.3820129112355086, 'bear_rsi_os': 18, 'bear_rsi_ob': 54, 'bear_adx_thresh': 34.484084091543345, 'bear_atr_min_pct': 0.008229992585204638, 'bear_atr_max_pct': 0.07387526484282096, 'bear_tp_mult': 2.17115888440963, 'bear_tsl_mult': 0.3169316499817928, 'bear_time_stop': 258, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.7090444320028717, 'sideways_rsi_os': 42, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 15.784119048988556, 'sideways_atr_min_pct': 0.004290130806903589, 'sideways_atr_max_pct': 0.06926936811060122, 'sideways_tp_mult': 2.274847033558818, 'sideways_tsl_mult': 0.5133314906437061, 'sideways_time_stop': 66, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:03:32,679] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 13, 'p_std': 14, 'p_atr': 25, 'p_adx': 12, 'rsi_period': 47, 'ema1': 16, 'ema2': 60, 'slip_atr_k': 0.15360100675605415, 'slip_spread_k': 0.329891358915409, 'spread_hl_frac': 0.02737615515334936, 'bb_std_mult': 0.5015105753979228, 'rsi_os': 6, 'rsi_ob': 75, 'vol_spike': 0.1308327798246373, 'adx_thresh': 14.227700391057583, 'atr_min_pct': 0.004764885107047193, 'atr_max_pct': 0.05877218564362307, 'tp_mult': 2.6433197344498893, 'tsl_mult': 0.8404494269481058, 'strategy': 'breakout', 'time_stop': 35, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2927752013443283, 'edge_cap': 0.979845024946613, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.9852061863722765, 'bull_rsi_os': 46, 'bull_rsi_ob': 90, 'bull_adx_thresh': 14.050133495623331, 'bull_atr_min_pct': 0.002516186481844689, 'bull_atr_max_pct': 0.1444145211779774, 'bull_tp_mult': 2.9428126873242872, 'bull_tsl_mult': 0.4603811045346722, 'bull_time_stop': 116, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.9539527090407462, 'bear_rsi_os': 46, 'bear_rsi_ob': 64, 'bear_adx_thresh': 31.7630892933543, 'bear_atr_min_pct': 0.013804988548587136, 'bear_atr_max_pct': 0.0385184608025139, 'bear_tp_mult': 2.570180859949554, 'bear_tsl_mult': 0.49942890173191756, 'bear_time_stop': 182, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.1172534388234805, 'sideways_rsi_os': 11, 'sideways_rsi_ob': 53, 'sideways_adx_thresh': 31.648254037878896, 'sideways_atr_min_pct': 0.02998402816473691, 'sideways_atr_max_pct': 0.020975655438192162, 'sideways_tp_mult': 2.030181632100632, 'sideways_tsl_mult': 0.4243149511946459, 'sideways_time_stop': 150, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:03:33,071] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 33, 'p_atr': 13, 'p_adx': 7, 'rsi_period': 65, 'ema1': 26, 'ema2': 10, 'slip_atr_k': 0.01273349077199415, 'slip_spread_k': 0.08684291866832716, 'spread_hl_frac': 0.03385074948399802, 'bb_std_mult': 2.4745685093855108, 'rsi_os': 44, 'rsi_ob': 79, 'vol_spike': 0.21963000419179093, 'adx_thresh': 20.698032824831028, 'atr_min_pct': 0.029722443301637144, 'atr_max_pct': 0.07396863852132748, 'tp_mult': 2.074982946165382, 'tsl_mult': 0.18353890718650412, 'strategy': 'mean_reversion', 'time_stop': 53, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.02507021861768277, 'edge_cap': 0.1811531127007428, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.1659548215875257, 'bull_rsi_os': 49, 'bull_rsi_ob': 83, 'bull_adx_thresh': 22.343722662415896, 'bull_atr_min_pct': 0.01647046867023789, 'bull_atr_max_pct': 0.1228209742655657, 'bull_tp_mult': 2.178170298817666, 'bull_tsl_mult': 0.458489139583658, 'bull_time_stop': 14, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.732107664058021, 'bear_rsi_os': 26, 'bear_rsi_ob': 67, 'bear_adx_thresh': 26.583406500545678, 'bear_atr_min_pct': 0.01916371198854043, 'bear_atr_max_pct': 0.13958884408738373, 'bear_tp_mult': 2.0682176462468864, 'bear_tsl_mult': 0.7209597477456181, 'bear_time_stop': 279, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.3129249299936743, 'sideways_rsi_os': 24, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 18.229654794694785, 'sideways_atr_min_pct': 0.027687068159733017, 'sideways_atr_max_pct': 0.041800591389779464, 'sideways_tp_mult': 2.0722102427881612, 'sideways_tsl_mult': 0.8874027533638704, 'sideways_time_stop': 99, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:03:33,734] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 13, 'p_atr': 19, 'p_adx': 14, 'rsi_period': 34, 'ema1': 24, 'ema2': 40, 'slip_atr_k': 0.0704387112145766, 'slip_spread_k': 0.4780363653110934, 'spread_hl_frac': 0.019116897043950188, 'bb_std_mult': 0.7546283742000318, 'rsi_os': 22, 'rsi_ob': 65, 'vol_spike': 0.19034997846223553, 'adx_thresh': 15.46357563279486, 'atr_min_pct': 0.0015475401247476105, 'atr_max_pct': 0.12741541761007116, 'tp_mult': 1.0483123792645879, 'tsl_mult': 0.8637185653977235, 'strategy': 'breakout', 'time_stop': 109, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.0586061739878885, 'edge_cap': 0.4171133595183507, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.507806465905751, 'bull_rsi_os': 44, 'bull_rsi_ob': 89, 'bull_adx_thresh': 5.541895043389998, 'bull_atr_min_pct': 0.01083984403551595, 'bull_atr_max_pct': 0.0750843983806787, 'bull_tp_mult': 1.0155365283363065, 'bull_tsl_mult': 0.5600458977194941, 'bull_time_stop': 67, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.863942665538707, 'bear_rsi_os': 12, 'bear_rsi_ob': 71, 'bear_adx_thresh': 18.033652543650643, 'bear_atr_min_pct': 0.021288779894616326, 'bear_atr_max_pct': 0.11671079881150262, 'bear_tp_mult': 2.767243221468063, 'bear_tsl_mult': 0.756841832849681, 'bear_time_stop': 150, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.8805743487962423, 'sideways_rsi_os': 40, 'sideways_rsi_ob': 51, 'sideways_adx_thresh': 12.483060311474617, 'sideways_atr_min_pct': 0.01490703175424063, 'sideways_atr_max_pct': 0.03334603946595461, 'sideways_tp_mult': 2.497595558330193, 'sideways_tsl_mult': 0.3615853789550726, 'sideways_time_stop': 286, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:03:34,040] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 5, 'p_atr': 29, 'p_adx': 29, 'rsi_period': 83, 'ema1': 21, 'ema2': 47, 'slip_atr_k': 0.0693048172816361, 'slip_spread_k': 0.704108399998067, 'spread_hl_frac': 0.008938847563450307, 'bb_std_mult': 1.4334945373027619, 'rsi_os': 51, 'rsi_ob': 95, 'vol_spike': 0.2964144643080465, 'adx_thresh': 25.938136201807417, 'atr_min_pct': 0.01950020061937347, 'atr_max_pct': 0.10305150551323906, 'tp_mult': 1.1357055637603115, 'tsl_mult': 0.4155094997477018, 'strategy': 'mean_reversion', 'time_stop': 5, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.5047180538110325, 'edge_cap': 0.708819046663101, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.5629005623163346, 'bull_rsi_os': 24, 'bull_rsi_ob': 76, 'bull_adx_thresh': 8.147980844484016, 'bull_atr_min_pct': 0.027278463613669125, 'bull_atr_max_pct': 0.08153960195572511, 'bull_tp_mult': 2.5532679856617455, 'bull_tsl_mult': 0.948786231554822, 'bull_time_stop': 191, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.6384189423891333, 'bear_rsi_os': 35, 'bear_rsi_ob': 93, 'bear_adx_thresh': 13.675236691065091, 'bear_atr_min_pct': 0.00010065617059301624, 'bear_atr_max_pct': 0.018383585809092766, 'bear_tp_mult': 1.764353245758493, 'bear_tsl_mult': 0.8912930258529614, 'bear_time_stop': 7, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.299218302439533, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 61, 'sideways_adx_thresh': 5.117096626845683, 'sideways_atr_min_pct': 0.02095202009419545, 'sideways_atr_max_pct': 0.08765579988722375, 'sideways_tp_mult': 2.981176207456759, 'sideways_tsl_mult': 0.9761474960180092, 'sideways_time_stop': 228, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
