2025-08-30 03:32:19,900 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 03:32:19,913] A new study created in memory with name: no-name-3544159c-3a5b-4d89-a8d6-a9c1faa36a6e
[I 2025-08-30 03:33:06,405] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 16, 'p_std': 21, 'p_atr': 29, 'p_adx': 9, 'rsi_period': 48, 'ema1': 10, 'ema2': 59, 'slip_atr_k': 0.24819253013101766, 'slip_spread_k': 0.1637934486764402, 'spread_hl_frac': 0.021440250131245422, 'bb_std_mult': 3.0195815517052527, 'rsi_os': 43, 'rsi_ob': 89, 'vol_spike': 0.11311431863752802, 'adx_thresh': 17.855413767360304, 'atr_min_pct': 0.014799991932521989, 'atr_max_pct': 0.14338067218543307, 'tp_mult': 2.865253714413056, 'tsl_mult': 0.44054743296145615, 'strategy': 'mean_reversion', 'time_stop': 20, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3003837063126138, 'edge_cap': 0.9463943694875521}.
[I 2025-08-30 03:33:06,804] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 53, 'p_std': 56, 'p_atr': 10, 'p_adx': 13, 'rsi_period': 34, 'ema1': 7, 'ema2': 10, 'slip_atr_k': 0.15136508885170827, 'slip_spread_k': 0.8767093953435631, 'spread_hl_frac': 0.042505673191406156, 'bb_std_mult': 3.400350297854609, 'rsi_os': 51, 'rsi_ob': 52, 'vol_spike': 0.05268613169804976, 'adx_thresh': 11.55404321006131, 'atr_min_pct': 0.019970810102991943, 'atr_max_pct': 0.07234631175963549, 'tp_mult': 2.7000106361848744, 'tsl_mult': 0.3078463162547356, 'strategy': 'mean_reversion', 'time_stop': 51, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.3849942378336322, 'edge_cap': 0.10035797928941177}.
[I 2025-08-30 03:33:06,832] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 59, 'p_std': 47, 'p_atr': 27, 'p_adx': 11, 'rsi_period': 29, 'ema1': 13, 'ema2': 19, 'slip_atr_k': 0.2338829736699124, 'slip_spread_k': 0.6963545773217852, 'spread_hl_frac': 0.015003428576050405, 'bb_std_mult': 0.615297287599638, 'rsi_os': 54, 'rsi_ob': 45, 'vol_spike': 0.14159379319170115, 'adx_thresh': 13.844286030108284, 'atr_min_pct': 0.010541349930334794, 'atr_max_pct': 0.1070961960713272, 'tp_mult': 2.321938129175056, 'tsl_mult': 0.8469285681130831, 'strategy': 'breakout', 'time_stop': 198, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.9025757874970934, 'edge_cap': 0.9220928805101555}.
[I 2025-08-30 03:33:07,572] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 14, 'p_atr': 21, 'p_adx': 25, 'rsi_period': 20, 'ema1': 16, 'ema2': 11, 'slip_atr_k': 0.04173763619069762, 'slip_spread_k': 0.8999287751810419, 'spread_hl_frac': 0.04284870662500542, 'bb_std_mult': 1.4158287006011132, 'rsi_os': 45, 'rsi_ob': 82, 'vol_spike': 0.03565487787009205, 'adx_thresh': 34.10162473980322, 'atr_min_pct': 0.01277665250348231, 'atr_max_pct': 0.016111784947492686, 'tp_mult': 2.5532681746178407, 'tsl_mult': 0.27371445210634415, 'strategy': 'mean_reversion', 'time_stop': 258, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.9268364404799387, 'edge_cap': 0.5116722378483524}.
[I 2025-08-30 03:33:08,448] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 51, 'p_atr': 29, 'p_adx': 9, 'rsi_period': 62, 'ema1': 15, 'ema2': 16, 'slip_atr_k': 0.0026302450279204748, 'slip_spread_k': 0.6960935714711102, 'spread_hl_frac': 0.030217169315981035, 'bb_std_mult': 2.7895689563488495, 'rsi_os': 49, 'rsi_ob': 76, 'vol_spike': 0.13277923655157362, 'adx_thresh': 5.852449713698436, 'atr_min_pct': 0.011649991675631905, 'atr_max_pct': 0.12741401208005232, 'tp_mult': 1.4849757836384412, 'tsl_mult': 0.7354597840386092, 'strategy': 'breakout', 'time_stop': 19, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.26728806965141394, 'edge_cap': 0.4923262442547441}.
[I 2025-08-30 03:33:55,956] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 40, 'p_std': 36, 'p_atr': 12, 'p_adx': 24, 'rsi_period': 30, 'ema1': 13, 'ema2': 44, 'slip_atr_k': 0.03334233395034522, 'slip_spread_k': 0.31634729663668737, 'spread_hl_frac': 0.025914121860909474, 'bb_std_mult': 0.7843795491274026, 'rsi_os': 36, 'rsi_ob': 81, 'vol_spike': 0.18302240680338677, 'adx_thresh': 11.53651338642348, 'atr_min_pct': 0.02122346479247471, 'atr_max_pct': 0.1201179547593177, 'tp_mult': 1.1974334430686757, 'tsl_mult': 0.9545244528350911, 'strategy': 'breakout', 'time_stop': 45, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.0839792865450133, 'edge_cap': 0.77190916429262}.
[I 2025-08-30 03:33:57,758] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 12, 'p_atr': 7, 'p_adx': 14, 'rsi_period': 14, 'ema1': 17, 'ema2': 18, 'slip_atr_k': 0.12692669342080148, 'slip_spread_k': 0.4539243299532302, 'spread_hl_frac': 0.025816624160139565, 'bb_std_mult': 2.707325790704997, 'rsi_os': 7, 'rsi_ob': 60, 'vol_spike': 0.1700486200954722, 'adx_thresh': 6.313978076793588, 'atr_min_pct': 0.008073947868033286, 'atr_max_pct': 0.07071401195088822, 'tp_mult': 1.123957543920496, 'tsl_mult': 0.7201090322857375, 'strategy': 'breakout', 'time_stop': 172, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.7026965918393757, 'edge_cap': 0.351579451467791}.
[I 2025-08-30 03:33:58,700] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 23, 'p_atr': 16, 'p_adx': 9, 'rsi_period': 32, 'ema1': 26, 'ema2': 17, 'slip_atr_k': 0.08720705591916536, 'slip_spread_k': 0.9863016434259729, 'spread_hl_frac': 0.04991840878494225, 'bb_std_mult': 3.343030720097175, 'rsi_os': 18, 'rsi_ob': 95, 'vol_spike': 0.23444910154576498, 'adx_thresh': 31.58126356243824, 'atr_min_pct': 0.022977828823470513, 'atr_max_pct': 0.10890049989135187, 'tp_mult': 2.007485082415032, 'tsl_mult': 0.730026546989097, 'strategy': 'mean_reversion', 'time_stop': 244, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.7868045784761581, 'edge_cap': 0.4554217598006151}.
[I 2025-08-30 03:33:59,547] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 42, 'p_std': 9, 'p_atr': 9, 'p_adx': 27, 'rsi_period': 16, 'ema1': 29, 'ema2': 24, 'slip_atr_k': 0.2062488198815281, 'slip_spread_k': 0.8306984243867065, 'spread_hl_frac': 0.019274526706624773, 'bb_std_mult': 1.5887192132265973, 'rsi_os': 46, 'rsi_ob': 64, 'vol_spike': 0.22191392817582606, 'adx_thresh': 31.229865645740066, 'atr_min_pct': 0.017360225786740898, 'atr_max_pct': 0.04114627336960326, 'tp_mult': 1.2367853949183405, 'tsl_mult': 0.30192097757836556, 'strategy': 'mean_reversion', 'time_stop': 42, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9597017412758835, 'edge_cap': 0.7990918132344208}.
[I 2025-08-30 03:34:52,059] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 60, 'p_std': 35, 'p_atr': 28, 'p_adx': 16, 'rsi_period': 60, 'ema1': 18, 'ema2': 18, 'slip_atr_k': 0.17361659565385884, 'slip_spread_k': 0.9939312388576188, 'spread_hl_frac': 0.036256858733243184, 'bb_std_mult': 2.9300580436324895, 'rsi_os': 12, 'rsi_ob': 70, 'vol_spike': 0.2770190117100733, 'adx_thresh': 19.031423254152482, 'atr_min_pct': 0.02383302087301461, 'atr_max_pct': 0.06051955643135957, 'tp_mult': 1.1690428793518788, 'tsl_mult': 0.6235143403504149, 'strategy': 'mean_reversion', 'time_stop': 56, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.8259138618510509, 'edge_cap': 0.37979014396339783}.
[I 2025-08-30 03:34:55,239] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 8, 'p_atr': 19, 'p_adx': 23, 'rsi_period': 62, 'ema1': 16, 'ema2': 49, 'slip_atr_k': 0.09288152356745946, 'slip_spread_k': 0.5601010835582271, 'spread_hl_frac': 0.03751832460305949, 'bb_std_mult': 3.581225673493095, 'rsi_os': 24, 'rsi_ob': 78, 'vol_spike': 0.021546741806870193, 'adx_thresh': 14.603665335951645, 'atr_min_pct': 0.022817663448906907, 'atr_max_pct': 0.13026005818955194, 'tp_mult': 1.4732972219176943, 'tsl_mult': 0.9997212157382446, 'strategy': 'breakout', 'time_stop': 198, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.6446559736825708, 'edge_cap': 0.49528041037436665}.
