number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 5.852449713698436, ""atr_max_pct"": 0.12741401208005232, ""atr_min_pct"": 0.011649991675631905, ""bb_std_mult"": 2.7895689563488495, ""edge_cap"": 0.4923262442547441, ""edge_k"": 0.26728806965141394, ""ema1"": 15, ""ema2"": 16, ""p_adx"": 9, ""p_atr"": 29, ""p_sma"": 18, ""p_std"": 51, ""rsi_ob"": 76, ""rsi_os"": 49, ""rsi_period"": 62, ""rsi_required"": false, ""slip_atr_k"": 0.0026302450279204748, ""slip_spread_k"": 0.6960935714711102, ""spread_hl_frac"": 0.030217169315981035, ""strategy"": ""breakout"", ""time_stop"": 19, ""tp_mult"": 1.4849757836384412, ""tsl_mult"": 0.7354597840386092, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.13277923655157362}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 34.10162473980322, ""atr_max_pct"": 0.016111784947492686, ""atr_min_pct"": 0.01277665250348231, ""bb_std_mult"": 1.4158287006011132, ""edge_cap"": 0.5116722378483524, ""edge_k"": 0.9268364404799387, ""ema1"": 16, ""ema2"": 11, ""p_adx"": 25, ""p_atr"": 21, ""p_sma"": 34, ""p_std"": 14, ""rsi_ob"": 82, ""rsi_os"": 45, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.04173763619069762, ""slip_spread_k"": 0.8999287751810419, ""spread_hl_frac"": 0.04284870662500542, ""strategy"": ""mean_reversion"", ""time_stop"": 258, ""tp_mult"": 2.5532681746178407, ""tsl_mult"": 0.27371445210634415, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.03565487787009205}"
2,-0.0005009997448247594,-0.00025928890532876686,-1000000000.0,1000000000.0,-0.0005009997448247594,-0.00025928890532876686,2.0,breakout,1,"{""adx_thresh"": 13.844286030108284, ""atr_max_pct"": 0.1070961960713272, ""atr_min_pct"": 0.010541349930334794, ""bb_std_mult"": 0.615297287599638, ""edge_cap"": 0.9220928805101555, ""edge_k"": 0.9025757874970934, ""ema1"": 13, ""ema2"": 19, ""p_adx"": 11, ""p_atr"": 27, ""p_sma"": 59, ""p_std"": 47, ""rsi_ob"": 45, ""rsi_os"": 54, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.2338829736699124, ""slip_spread_k"": 0.6963545773217852, ""spread_hl_frac"": 0.015003428576050405, ""strategy"": ""breakout"", ""time_stop"": 198, ""tp_mult"": 2.321938129175056, ""tsl_mult"": 0.8469285681130831, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14159379319170115}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 17.855413767360304, ""atr_max_pct"": 0.14338067218543307, ""atr_min_pct"": 0.014799991932521989, ""bb_std_mult"": 3.0195815517052527, ""edge_cap"": 0.9463943694875521, ""edge_k"": 1.3003837063126138, ""ema1"": 10, ""ema2"": 59, ""p_adx"": 9, ""p_atr"": 29, ""p_sma"": 16, ""p_std"": 21, ""rsi_ob"": 89, ""rsi_os"": 43, ""rsi_period"": 48, ""rsi_required"": false, ""slip_atr_k"": 0.24819253013101766, ""slip_spread_k"": 0.1637934486764402, ""spread_hl_frac"": 0.021440250131245422, ""strategy"": ""mean_reversion"", ""time_stop"": 20, ""tp_mult"": 2.865253714413056, ""tsl_mult"": 0.44054743296145615, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11311431863752802}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 11.55404321006131, ""atr_max_pct"": 0.07234631175963549, ""atr_min_pct"": 0.019970810102991943, ""bb_std_mult"": 3.400350297854609, ""edge_cap"": 0.10035797928941177, ""edge_k"": 0.3849942378336322, ""ema1"": 7, ""ema2"": 10, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 53, ""p_std"": 56, ""rsi_ob"": 52, ""rsi_os"": 51, ""rsi_period"": 34, ""rsi_required"": true, ""slip_atr_k"": 0.15136508885170827, ""slip_spread_k"": 0.8767093953435631, ""spread_hl_frac"": 0.042505673191406156, ""strategy"": ""mean_reversion"", ""time_stop"": 51, ""tp_mult"": 2.7000106361848744, ""tsl_mult"": 0.3078463162547356, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05268613169804976}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 11.53651338642348, ""atr_max_pct"": 0.1201179547593177, ""atr_min_pct"": 0.02122346479247471, ""bb_std_mult"": 0.7843795491274026, ""edge_cap"": 0.77190916429262, ""edge_k"": 1.0839792865450133, ""ema1"": 13, ""ema2"": 44, ""p_adx"": 24, ""p_atr"": 12, ""p_sma"": 40, ""p_std"": 36, ""rsi_ob"": 81, ""rsi_os"": 36, ""rsi_period"": 30, ""rsi_required"": false, ""slip_atr_k"": 0.03334233395034522, ""slip_spread_k"": 0.31634729663668737, ""spread_hl_frac"": 0.025914121860909474, ""strategy"": ""breakout"", ""time_stop"": 45, ""tp_mult"": 1.1974334430686757, ""tsl_mult"": 0.9545244528350911, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18302240680338677}"
6,-0.0015626268946631328,-0.0015044058528153,-1000000000.0,1000000000.0,-0.0015626268946631328,-0.0015044058528153,24.0,breakout,1,"{""adx_thresh"": 6.313978076793588, ""atr_max_pct"": 0.07071401195088822, ""atr_min_pct"": 0.008073947868033286, ""bb_std_mult"": 2.707325790704997, ""edge_cap"": 0.351579451467791, ""edge_k"": 0.7026965918393757, ""ema1"": 17, ""ema2"": 18, ""p_adx"": 14, ""p_atr"": 7, ""p_sma"": 31, ""p_std"": 12, ""rsi_ob"": 60, ""rsi_os"": 7, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.12692669342080148, ""slip_spread_k"": 0.4539243299532302, ""spread_hl_frac"": 0.025816624160139565, ""strategy"": ""breakout"", ""time_stop"": 172, ""tp_mult"": 1.123957543920496, ""tsl_mult"": 0.7201090322857375, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1700486200954722}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 31.58126356243824, ""atr_max_pct"": 0.10890049989135187, ""atr_min_pct"": 0.022977828823470513, ""bb_std_mult"": 3.343030720097175, ""edge_cap"": 0.4554217598006151, ""edge_k"": 1.7868045784761581, ""ema1"": 26, ""ema2"": 17, ""p_adx"": 9, ""p_atr"": 16, ""p_sma"": 19, ""p_std"": 23, ""rsi_ob"": 95, ""rsi_os"": 18, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.08720705591916536, ""slip_spread_k"": 0.9863016434259729, ""spread_hl_frac"": 0.04991840878494225, ""strategy"": ""mean_reversion"", ""time_stop"": 244, ""tp_mult"": 2.007485082415032, ""tsl_mult"": 0.730026546989097, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23444910154576498}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 31.229865645740066, ""atr_max_pct"": 0.04114627336960326, ""atr_min_pct"": 0.017360225786740898, ""bb_std_mult"": 1.5887192132265973, ""edge_cap"": 0.7990918132344208, ""edge_k"": 1.9597017412758835, ""ema1"": 29, ""ema2"": 24, ""p_adx"": 27, ""p_atr"": 9, ""p_sma"": 42, ""p_std"": 9, ""rsi_ob"": 64, ""rsi_os"": 46, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.2062488198815281, ""slip_spread_k"": 0.8306984243867065, ""spread_hl_frac"": 0.019274526706624773, ""strategy"": ""mean_reversion"", ""time_stop"": 42, ""tp_mult"": 1.2367853949183405, ""tsl_mult"": 0.30192097757836556, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.22191392817582606}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 19.031423254152482, ""atr_max_pct"": 0.06051955643135957, ""atr_min_pct"": 0.02383302087301461, ""bb_std_mult"": 2.9300580436324895, ""edge_cap"": 0.37979014396339783, ""edge_k"": 1.8259138618510509, ""ema1"": 18, ""ema2"": 18, ""p_adx"": 16, ""p_atr"": 28, ""p_sma"": 60, ""p_std"": 35, ""rsi_ob"": 70, ""rsi_os"": 12, ""rsi_period"": 60, ""rsi_required"": true, ""slip_atr_k"": 0.17361659565385884, ""slip_spread_k"": 0.9939312388576188, ""spread_hl_frac"": 0.036256858733243184, ""strategy"": ""mean_reversion"", ""time_stop"": 56, ""tp_mult"": 1.1690428793518788, ""tsl_mult"": 0.6235143403504149, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2770190117100733}"
