number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 27.59685307717746, ""atr_max_pct"": 0.12085366317763949, ""atr_min_pct"": 0.017229688805826638, ""bb_std_mult"": 1.3896401435932288, ""edge_cap"": 0.6523378198521089, ""edge_k"": 1.951727597584821, ""ema1"": 6, ""ema2"": 40, ""p_adx"": 20, ""p_atr"": 15, ""p_sma"": 60, ""p_std"": 44, ""rsi_ob"": 68, ""rsi_os"": 54, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.1832769893996113, ""slip_spread_k"": 0.7785115856337359, ""spread_hl_frac"": 0.029278062683330885, ""strategy"": ""breakout"", ""time_stop"": 284, ""tp_mult"": 2.35054397681048, ""tsl_mult"": 0.2859882904474901, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2994190216359653}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 31.79677818709624, ""atr_max_pct"": 0.043291822913682054, ""atr_min_pct"": 0.012494563605747015, ""bb_std_mult"": 1.2673419531820878, ""edge_cap"": 0.538735232472106, ""edge_k"": 1.037732246933413, ""ema1"": 19, ""ema2"": 33, ""p_adx"": 27, ""p_atr"": 24, ""p_sma"": 37, ""p_std"": 45, ""rsi_ob"": 50, ""rsi_os"": 48, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.15084292234580915, ""slip_spread_k"": 0.22058182205771726, ""spread_hl_frac"": 0.03183813339412913, ""strategy"": ""breakout"", ""time_stop"": 204, ""tp_mult"": 2.943103435669922, ""tsl_mult"": 0.47909632253841883, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13364394742967164}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.5302065327279, ""atr_max_pct"": 0.14094894605842212, ""atr_min_pct"": 0.022060220225521766, ""bb_std_mult"": 2.527635543405023, ""edge_cap"": 0.5581268438771667, ""edge_k"": 1.1713011431479907, ""ema1"": 20, ""ema2"": 49, ""p_adx"": 21, ""p_atr"": 16, ""p_sma"": 29, ""p_std"": 32, ""rsi_ob"": 62, ""rsi_os"": 26, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.14241862285808846, ""slip_spread_k"": 0.23394415157539739, ""spread_hl_frac"": 0.0499615942069376, ""strategy"": ""mean_reversion"", ""time_stop"": 60, ""tp_mult"": 2.861892326837012, ""tsl_mult"": 0.4440619592206295, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.014924922678102569}"
3,0.00015372842349248295,-0.00027042372369776507,-1000000000.0,1000000000.0,0.00015372842349248295,-0.00027042372369776507,10.0,mean_reversion,1,"{""adx_thresh"": 25.74512014363953, ""atr_max_pct"": 0.136524687202874, ""atr_min_pct"": 0.009984372537263224, ""bb_std_mult"": 0.5453273203913287, ""edge_cap"": 0.9872053372541775, ""edge_k"": 0.12354333792762207, ""ema1"": 20, ""ema2"": 15, ""p_adx"": 24, ""p_atr"": 26, ""p_sma"": 40, ""p_std"": 25, ""rsi_ob"": 62, ""rsi_os"": 33, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.0699727332539031, ""slip_spread_k"": 0.6098792639640083, ""spread_hl_frac"": 0.04973335322528251, ""strategy"": ""mean_reversion"", ""time_stop"": 55, ""tp_mult"": 1.9628998402435422, ""tsl_mult"": 0.20512489983951343, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04767951951006547}"
4,-0.012170859464490258,-0.012200133843730926,-1000000000.0,1000000000.0,-0.012170859464490258,-0.012200133843730926,242.0,breakout,1,"{""adx_thresh"": 32.07561490400139, ""atr_max_pct"": 0.07729964041155996, ""atr_min_pct"": 0.004298047486613198, ""bb_std_mult"": 2.463342575948118, ""edge_cap"": 0.24689017000807353, ""edge_k"": 1.4370217911814949, ""ema1"": 18, ""ema2"": 52, ""p_adx"": 25, ""p_atr"": 8, ""p_sma"": 37, ""p_std"": 8, ""rsi_ob"": 86, ""rsi_os"": 36, ""rsi_period"": 72, ""rsi_required"": true, ""slip_atr_k"": 0.1323554002034911, ""slip_spread_k"": 0.5674771202151201, ""spread_hl_frac"": 0.04848691094381397, ""strategy"": ""breakout"", ""time_stop"": 24, ""tp_mult"": 2.158402895975923, ""tsl_mult"": 0.3808380726807794, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06039552129544279}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 14.889029194968037, ""atr_max_pct"": 0.12646834688082614, ""atr_min_pct"": 0.01848612777478633, ""bb_std_mult"": 1.1359334780073256, ""edge_cap"": 0.2621617941085437, ""edge_k"": 0.6746295278537999, ""ema1"": 7, ""ema2"": 48, ""p_adx"": 15, ""p_atr"": 30, ""p_sma"": 52, ""p_std"": 32, ""rsi_ob"": 64, ""rsi_os"": 39, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.16619371073763592, ""slip_spread_k"": 0.8375273416887764, ""spread_hl_frac"": 0.018297201585676177, ""strategy"": ""mean_reversion"", ""time_stop"": 189, ""tp_mult"": 2.0261635417520285, ""tsl_mult"": 0.6490307475494397, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1302405684627533}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.064815114415673, ""atr_max_pct"": 0.08145278204880135, ""atr_min_pct"": 0.01545237733809881, ""bb_std_mult"": 2.3292684073306806, ""edge_cap"": 0.8712905242772411, ""edge_k"": 0.16421315538934467, ""ema1"": 20, ""ema2"": 15, ""p_adx"": 16, ""p_atr"": 30, ""p_sma"": 11, ""p_std"": 11, ""rsi_ob"": 49, ""rsi_os"": 54, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.1308678561378902, ""slip_spread_k"": 0.5962691967685136, ""spread_hl_frac"": 0.005636944335077199, ""strategy"": ""mean_reversion"", ""time_stop"": 225, ""tp_mult"": 2.1394779954553287, ""tsl_mult"": 0.274372222387276, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.09910724533389625}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 18.798284333081103, ""atr_max_pct"": 0.11171447482894724, ""atr_min_pct"": 0.019281762227307528, ""bb_std_mult"": 3.2354991090278165, ""edge_cap"": 0.613698774778458, ""edge_k"": 0.012989377261063195, ""ema1"": 7, ""ema2"": 30, ""p_adx"": 13, ""p_atr"": 29, ""p_sma"": 30, ""p_std"": 26, ""rsi_ob"": 83, ""rsi_os"": 7, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.0051363129991705, ""slip_spread_k"": 0.8006445106693435, ""spread_hl_frac"": 0.03429066449959985, ""strategy"": ""breakout"", ""time_stop"": 220, ""tp_mult"": 2.2075636600514223, ""tsl_mult"": 0.4647325039428567, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.29894674393544735}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 24.980086912396175, ""atr_max_pct"": 0.14918554363553133, ""atr_min_pct"": 0.026204945060329325, ""bb_std_mult"": 1.7110987594670093, ""edge_cap"": 0.6801845013808628, ""edge_k"": 0.03693425354534008, ""ema1"": 12, ""ema2"": 16, ""p_adx"": 11, ""p_atr"": 20, ""p_sma"": 12, ""p_std"": 50, ""rsi_ob"": 78, ""rsi_os"": 33, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.1433507267966642, ""slip_spread_k"": 0.5596146223286789, ""spread_hl_frac"": 0.026493132294801297, ""strategy"": ""mean_reversion"", ""time_stop"": 208, ""tp_mult"": 2.4216638621786526, ""tsl_mult"": 0.9393517600187398, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2788022542583167}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 28.809015734140743, ""atr_max_pct"": 0.06047471738858494, ""atr_min_pct"": 0.02096066771880954, ""bb_std_mult"": 3.5381652493459357, ""edge_cap"": 0.6502560502256587, ""edge_k"": 1.004523141616374, ""ema1"": 28, ""ema2"": 26, ""p_adx"": 10, ""p_atr"": 20, ""p_sma"": 30, ""p_std"": 60, ""rsi_ob"": 60, ""rsi_os"": 28, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.22754917832619753, ""slip_spread_k"": 0.10014316467371775, ""spread_hl_frac"": 0.012887319266953646, ""strategy"": ""breakout"", ""time_stop"": 293, ""tp_mult"": 2.445234598025663, ""tsl_mult"": 0.5491998986192056, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18068162071186802}"
