2025-08-29 16:20:27,587 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 16:20:27,597] A new study created in memory with name: no-name-3d81513a-89d3-4a57-adcd-7893758b4917
[I 2025-08-29 16:20:31,800] Trial 0 finished with values: [-1000000000.0, 0.7798940660753907] and parameters: {'p_sma': 11, 'p_std': 39, 'p_atr': 10, 'p_adx': 12, 'rsi_period': 32, 'ema1': 27, 'ema2': 43, 'slip_atr_k': 0.13529055307085094, 'slip_spread_k': 0.0290138244243604, 'spread_hl_frac': 0.03668741481401415, 'bb_std_mult': 1.7243450571361183, 'rsi_os': 45, 'rsi_ob': 57, 'vol_spike': 0.01706548099534554, 'adx_thresh': 30.999459226976008, 'atr_min_pct': 0.006630869876531139, 'atr_max_pct': 0.06669852272661635, 'tp_mult': 1.6390319773262354, 'tsl_mult': 0.07666269999644726, 'strategy': 'mean_reversion', 'time_stop': 292, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9564082681640123, 'edge_cap': 0.9132296199395333}.
[I 2025-08-29 16:20:36,504] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 34, 'p_atr': 9, 'p_adx': 11, 'rsi_period': 81, 'ema1': 15, 'ema2': 54, 'slip_atr_k': 0.16804431986904403, 'slip_spread_k': 0.6287857958821612, 'spread_hl_frac': 0.013777938832447607, 'bb_std_mult': 3.2799165361966742, 'rsi_os': 15, 'rsi_ob': 65, 'vol_spike': 0.29807174771823103, 'adx_thresh': 27.071812445213624, 'atr_min_pct': 0.01335184237469048, 'atr_max_pct': 0.08849284372212289, 'tp_mult': 1.8283984232824042, 'tsl_mult': 0.7269879919679885, 'strategy': 'mean_reversion', 'time_stop': 213, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.1762080853167522, 'edge_cap': 0.2830760903151918}.
[I 2025-08-29 16:20:36,507] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 46, 'p_std': 45, 'p_atr': 23, 'p_adx': 9, 'rsi_period': 80, 'ema1': 18, 'ema2': 55, 'slip_atr_k': 0.04964497110907848, 'slip_spread_k': 0.5944491868184307, 'spread_hl_frac': 0.04827042908386317, 'bb_std_mult': 3.59596456227973, 'rsi_os': 6, 'rsi_ob': 69, 'vol_spike': 0.08742680690208239, 'adx_thresh': 6.911617049519436, 'atr_min_pct': 0.01708873196829177, 'atr_max_pct': 0.010711659857889966, 'tp_mult': 2.226442403443343, 'tsl_mult': 0.8701814770345895, 'strategy': 'mean_reversion', 'time_stop': 223, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.883108487516634, 'edge_cap': 0.7880505983733309}.
[I 2025-08-29 16:20:40,608] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 17, 'p_std': 55, 'p_atr': 20, 'p_adx': 27, 'rsi_period': 78, 'ema1': 26, 'ema2': 30, 'slip_atr_k': 0.14954703414553167, 'slip_spread_k': 0.4326980795636002, 'spread_hl_frac': 0.03470735678734754, 'bb_std_mult': 2.002528117771242, 'rsi_os': 11, 'rsi_ob': 77, 'vol_spike': 0.06141186485119656, 'adx_thresh': 27.348713765966888, 'atr_min_pct': 0.0031685161920774795, 'atr_max_pct': 0.011023329121349465, 'tp_mult': 1.6756330931903354, 'tsl_mult': 0.9692555038310559, 'strategy': 'breakout', 'time_stop': 40, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.9738123524641726, 'edge_cap': 0.49478421076642887}.
[I 2025-08-29 16:20:44,696] Trial 4 finished with values: [-1000000000.0, 0.9416439918701415] and parameters: {'p_sma': 15, 'p_std': 8, 'p_atr': 19, 'p_adx': 14, 'rsi_period': 23, 'ema1': 7, 'ema2': 52, 'slip_atr_k': 0.08877811760019111, 'slip_spread_k': 0.8267850722224132, 'spread_hl_frac': 0.00129811346159725, 'bb_std_mult': 0.5069426891753946, 'rsi_os': 52, 'rsi_ob': 79, 'vol_spike': 0.2984443740318625, 'adx_thresh': 19.385150643220037, 'atr_min_pct': 0.00477412489661944, 'atr_max_pct': 0.14331962738897547, 'tp_mult': 1.3404796453535486, 'tsl_mult': 0.3692853070430535, 'strategy': 'breakout', 'time_stop': 139, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.2521426552600843, 'edge_cap': 0.6871172817006882}.
[I 2025-08-29 16:20:48,483] Trial 5 finished with values: [-1000000000.0, 0.10847036544071555] and parameters: {'p_sma': 59, 'p_std': 42, 'p_atr': 9, 'p_adx': 21, 'rsi_period': 23, 'ema1': 25, 'ema2': 27, 'slip_atr_k': 0.1256091194107891, 'slip_spread_k': 0.703539146131592, 'spread_hl_frac': 0.008581383795896924, 'bb_std_mult': 2.3632842675097825, 'rsi_os': 13, 'rsi_ob': 87, 'vol_spike': 0.09981048854775544, 'adx_thresh': 21.400915598497793, 'atr_min_pct': 0.024921318139270142, 'atr_max_pct': 0.14566938869956828, 'tp_mult': 1.6617946056205273, 'tsl_mult': 0.08837381961170587, 'strategy': 'mean_reversion', 'time_stop': 277, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.6535794100495649, 'edge_cap': 0.38800470499686773}.
[I 2025-08-29 16:20:52,747] Trial 6 finished with values: [-1000000000.0, 0.555796246636249] and parameters: {'p_sma': 31, 'p_std': 41, 'p_atr': 9, 'p_adx': 14, 'rsi_period': 22, 'ema1': 21, 'ema2': 39, 'slip_atr_k': 0.17045053410379826, 'slip_spread_k': 0.21692997122187097, 'spread_hl_frac': 0.0011134874170117826, 'bb_std_mult': 0.6208199391357543, 'rsi_os': 28, 'rsi_ob': 89, 'vol_spike': 0.16174715576505233, 'adx_thresh': 20.764798495010538, 'atr_min_pct': 0.016326788271266542, 'atr_max_pct': 0.08229865688911356, 'tp_mult': 2.7738411954520767, 'tsl_mult': 0.4101943985665063, 'strategy': 'mean_reversion', 'time_stop': 180, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4060215605309718, 'edge_cap': 0.7290177914283619}.
[I 2025-08-29 16:20:57,090] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 28, 'p_atr': 13, 'p_adx': 29, 'rsi_period': 68, 'ema1': 30, 'ema2': 56, 'slip_atr_k': 0.10185713366461041, 'slip_spread_k': 0.4367643858478628, 'spread_hl_frac': 0.03117826897828015, 'bb_std_mult': 1.5052923825843847, 'rsi_os': 6, 'rsi_ob': 53, 'vol_spike': 0.1668904796510214, 'adx_thresh': 21.111347124906832, 'atr_min_pct': 0.02915429086701243, 'atr_max_pct': 0.08442505895678913, 'tp_mult': 2.3382672595435823, 'tsl_mult': 0.2712645315363219, 'strategy': 'breakout', 'time_stop': 136, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.1661410631328728, 'edge_cap': 0.7943262832497078}.
[I 2025-08-29 16:21:01,576] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 33, 'p_std': 37, 'p_atr': 12, 'p_adx': 17, 'rsi_period': 57, 'ema1': 12, 'ema2': 32, 'slip_atr_k': 0.23622564865697435, 'slip_spread_k': 0.10689029607493195, 'spread_hl_frac': 0.02003126365853246, 'bb_std_mult': 2.963966469739961, 'rsi_os': 10, 'rsi_ob': 73, 'vol_spike': 0.10526982043605244, 'adx_thresh': 20.855722135398022, 'atr_min_pct': 0.009852020787783208, 'atr_max_pct': 0.020725263837673244, 'tp_mult': 2.790500917035744, 'tsl_mult': 0.9835750694534877, 'strategy': 'mean_reversion', 'time_stop': 129, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.9582355911472922, 'edge_cap': 0.6029517845447065}.
[I 2025-08-29 16:21:06,057] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 10, 'p_std': 24, 'p_atr': 29, 'p_adx': 22, 'rsi_period': 40, 'ema1': 29, 'ema2': 48, 'slip_atr_k': 0.041034298524753154, 'slip_spread_k': 0.14357901685861363, 'spread_hl_frac': 0.032775664285935285, 'bb_std_mult': 3.5371952302522223, 'rsi_os': 46, 'rsi_ob': 81, 'vol_spike': 0.2309222247468605, 'adx_thresh': 9.887476377970678, 'atr_min_pct': 0.01466244039819749, 'atr_max_pct': 0.09556205067563865, 'tp_mult': 1.3868194506285878, 'tsl_mult': 0.053970145435644046, 'strategy': 'mean_reversion', 'time_stop': 17, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.727900030909701, 'edge_cap': 0.4389393524529006}.
[I 2025-08-29 16:21:10,129] Trial 10 finished with values: [-1000000000.0, 0.2469651282995537] and parameters: {'p_sma': 60, 'p_std': 60, 'p_atr': 14, 'p_adx': 22, 'rsi_period': 8, 'ema1': 23, 'ema2': 15, 'slip_atr_k': 0.22015452006275593, 'slip_spread_k': 0.9846427639665182, 'spread_hl_frac': 0.012427653471496672, 'bb_std_mult': 2.6307041682259813, 'rsi_os': 25, 'rsi_ob': 94, 'vol_spike': 0.008550990587072038, 'adx_thresh': 13.572385136631492, 'atr_min_pct': 0.026360822993359036, 'atr_max_pct': 0.14686226995281737, 'tp_mult': 1.0221661034733698, 'tsl_mult': 0.6342037514915125, 'strategy': 'breakout', 'time_stop': 294, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.15793275822344066, 'edge_cap': 0.05212734106394745}.
