number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.389269332929878, ""atr_max_pct"": 0.06106169546257397, ""atr_min_pct"": 0.003751581446443296, ""bb_std_mult"": 2.795962364476758, ""edge_cap"": 0.13761308688327922, ""edge_k"": 0.16928007160353364, ""ema1"": 26, ""ema2"": 50, ""p_adx"": 11, ""p_atr"": 9, ""p_sma"": 52, ""p_std"": 13, ""rsi_ob"": 50, ""rsi_os"": 30, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.12538534280006097, ""slip_spread_k"": 0.40609572628910606, ""spread_hl_frac"": 0.04949367585835449, ""strategy"": ""mean_reversion"", ""time_stop"": 18, ""tp_mult"": 2.761323741554073, ""tsl_mult"": 0.6887677627675469, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2876445425762006}"
1,-0.00013446862091315293,-0.0003030160243450327,-1000000000.0,1000000000.0,-0.00013446862091315293,-0.0003030160243450327,11.0,breakout,1,"{""adx_thresh"": 31.89163485822183, ""atr_max_pct"": 0.040151486519164205, ""atr_min_pct"": 0.005082196915693694, ""bb_std_mult"": 1.685448949536301, ""edge_cap"": 0.47792566432785205, ""edge_k"": 1.3489652880146779, ""ema1"": 10, ""ema2"": 59, ""p_adx"": 19, ""p_atr"": 16, ""p_sma"": 6, ""p_std"": 24, ""rsi_ob"": 95, ""rsi_os"": 11, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.16285171248814492, ""slip_spread_k"": 0.4495125432496643, ""spread_hl_frac"": 0.024662726655486425, ""strategy"": ""breakout"", ""time_stop"": 66, ""tp_mult"": 2.5586168051898754, ""tsl_mult"": 0.2081513378872909, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1310992608074975}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 22.74765862451923, ""atr_max_pct"": 0.03249978487587127, ""atr_min_pct"": 0.014289516248429394, ""bb_std_mult"": 2.9599041467620744, ""edge_cap"": 0.313607751749393, ""edge_k"": 0.061803172946431895, ""ema1"": 30, ""ema2"": 26, ""p_adx"": 7, ""p_atr"": 29, ""p_sma"": 8, ""p_std"": 60, ""rsi_ob"": 84, ""rsi_os"": 50, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.10561520287193779, ""slip_spread_k"": 0.3679201725685144, ""spread_hl_frac"": 0.0011917702303564648, ""strategy"": ""breakout"", ""time_stop"": 119, ""tp_mult"": 1.1563437053368733, ""tsl_mult"": 0.6279539043597937, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17144177210792058}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 6.94181286011684, ""atr_max_pct"": 0.05460670586378951, ""atr_min_pct"": 0.011652858891065907, ""bb_std_mult"": 1.9898168197338724, ""edge_cap"": 0.40795159405225234, ""edge_k"": 1.1893813616880793, ""ema1"": 8, ""ema2"": 31, ""p_adx"": 17, ""p_atr"": 14, ""p_sma"": 7, ""p_std"": 39, ""rsi_ob"": 70, ""rsi_os"": 5, ""rsi_period"": 70, ""rsi_required"": false, ""slip_atr_k"": 0.17126453396517302, ""slip_spread_k"": 0.6153035192997259, ""spread_hl_frac"": 0.030246738930908304, ""strategy"": ""breakout"", ""time_stop"": 162, ""tp_mult"": 1.9743484085772325, ""tsl_mult"": 0.8461965667719756, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17868240335069635}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 28.821076887606853, ""atr_max_pct"": 0.0909803346191366, ""atr_min_pct"": 0.021356076786152832, ""bb_std_mult"": 3.5684009464587074, ""edge_cap"": 0.9061895413345744, ""edge_k"": 1.1488401656095735, ""ema1"": 17, ""ema2"": 10, ""p_adx"": 7, ""p_atr"": 11, ""p_sma"": 18, ""p_std"": 8, ""rsi_ob"": 73, ""rsi_os"": 14, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.2363972668886129, ""slip_spread_k"": 0.5092489827942298, ""spread_hl_frac"": 0.039954051673417396, ""strategy"": ""breakout"", ""time_stop"": 173, ""tp_mult"": 1.2898120329015574, ""tsl_mult"": 0.8630858961994373, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.07492009690627051}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 29.126259765018368, ""atr_max_pct"": 0.048902538110567106, ""atr_min_pct"": 0.02528070949881719, ""bb_std_mult"": 1.6715092647182965, ""edge_cap"": 0.14826874510600968, ""edge_k"": 1.53704123068135, ""ema1"": 29, ""ema2"": 31, ""p_adx"": 23, ""p_atr"": 14, ""p_sma"": 37, ""p_std"": 24, ""rsi_ob"": 51, ""rsi_os"": 14, ""rsi_period"": 58, ""rsi_required"": false, ""slip_atr_k"": 0.12302122093173651, ""slip_spread_k"": 0.46556542398400125, ""spread_hl_frac"": 0.027090671309488598, ""strategy"": ""mean_reversion"", ""time_stop"": 299, ""tp_mult"": 1.8188280655005198, ""tsl_mult"": 0.8272508341048306, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17360875897437603}"
6,-0.0016727369897556743,-0.0016286909305382577,-1000000000.0,1000000000.0,-0.0016727369897556743,-0.0016286909305382577,43.0,mean_reversion,1,"{""adx_thresh"": 20.356433334065933, ""atr_max_pct"": 0.11868977087272999, ""atr_min_pct"": 0.00472428959417441, ""bb_std_mult"": 2.0328746932857418, ""edge_cap"": 0.6841963499853266, ""edge_k"": 0.9725443047891427, ""ema1"": 15, ""ema2"": 11, ""p_adx"": 22, ""p_atr"": 9, ""p_sma"": 18, ""p_std"": 31, ""rsi_ob"": 95, ""rsi_os"": 37, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.2241046198548497, ""slip_spread_k"": 0.16470401566231863, ""spread_hl_frac"": 0.007542496068718963, ""strategy"": ""mean_reversion"", ""time_stop"": 66, ""tp_mult"": 1.0133238910343945, ""tsl_mult"": 0.579548722737179, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15144356168751286}"
7,-0.01828687151445707,-0.018270998662251386,-0.01828687151445707,0.018270998662251386,-0.01828687151445707,-0.018270998662251386,1017.0,breakout,1,"{""adx_thresh"": 28.472933991016667, ""atr_max_pct"": 0.028891896451125904, ""atr_min_pct"": 0.002897914508652559, ""bb_std_mult"": 3.4455230692191345, ""edge_cap"": 0.6727749764549597, ""edge_k"": 1.8880445303290168, ""ema1"": 19, ""ema2"": 17, ""p_adx"": 10, ""p_atr"": 15, ""p_sma"": 56, ""p_std"": 42, ""rsi_ob"": 85, ""rsi_os"": 33, ""rsi_period"": 20, ""rsi_required"": false, ""slip_atr_k"": 0.008374392318940244, ""slip_spread_k"": 0.9031388539117855, ""spread_hl_frac"": 0.005598420730795229, ""strategy"": ""breakout"", ""time_stop"": 269, ""tp_mult"": 2.5613903491959165, ""tsl_mult"": 0.11282738903642509, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2909939047859416}"
8,-0.004536091346968529,-0.004497151304076454,-0.004536091346968529,0.004497151304076454,-0.004536091346968529,-0.004497151304076454,221.0,mean_reversion,1,"{""adx_thresh"": 24.61208331693739, ""atr_max_pct"": 0.14282300710529786, ""atr_min_pct"": 0.002491633919925774, ""bb_std_mult"": 1.4890005828861788, ""edge_cap"": 0.08856530889385057, ""edge_k"": 1.3154260188413902, ""ema1"": 5, ""ema2"": 26, ""p_adx"": 25, ""p_atr"": 10, ""p_sma"": 29, ""p_std"": 54, ""rsi_ob"": 70, ""rsi_os"": 49, ""rsi_period"": 40, ""rsi_required"": false, ""slip_atr_k"": 0.05535140832086169, ""slip_spread_k"": 0.5677584778073069, ""spread_hl_frac"": 0.017166760170887346, ""strategy"": ""mean_reversion"", ""time_stop"": 95, ""tp_mult"": 2.2779759897994665, ""tsl_mult"": 0.4887324431442138, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.01532419186160584}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 26.063347733422486, ""atr_max_pct"": 0.021509538946994904, ""atr_min_pct"": 0.028348115590609648, ""bb_std_mult"": 3.0528313685915958, ""edge_cap"": 0.2521293334525349, ""edge_k"": 1.6120156458769606, ""ema1"": 13, ""ema2"": 18, ""p_adx"": 30, ""p_atr"": 19, ""p_sma"": 33, ""p_std"": 7, ""rsi_ob"": 87, ""rsi_os"": 24, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.1397127320337136, ""slip_spread_k"": 0.7427372474409549, ""spread_hl_frac"": 0.02079085486544608, ""strategy"": ""breakout"", ""time_stop"": 38, ""tp_mult"": 1.035796058649217, ""tsl_mult"": 0.326555366549551, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2724309044525959}"
