2025-08-29 19:36:38,553 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 19:36:38,562] A new study created in memory with name: no-name-e847a2f4-2634-4a93-afd9-7944ef3e3e8b
[I 2025-08-29 19:36:38,576] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 41, 'p_atr': 13, 'p_adx': 26, 'rsi_period': 15, 'ema1': 12, 'ema2': 56, 'slip_atr_k': 0.1655448602251665, 'slip_spread_k': 0.214656330067718, 'spread_hl_frac': 0.023364812183837964, 'bb_std_mult': 2.146363919736605, 'rsi_os': 42, 'rsi_ob': 49, 'vol_spike': 0.19732047415813767, 'adx_thresh': 11.999706238056312, 'atr_min_pct': 0.02828969263362606, 'atr_max_pct': 0.10091581434995979, 'tp_mult': 2.240870221280387, 'tsl_mult': 0.34612480273872537, 'strategy': 'mean_reversion', 'time_stop': 118, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.8570292488945819, 'edge_cap': 0.42326688874449814, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.6584693330035891, 'bull_rsi_os': 47, 'bull_rsi_ob': 69, 'bull_adx_thresh': 10.302218974081606, 'bull_atr_min_pct': 0.016255365455868098, 'bull_atr_max_pct': 0.038413960711577474, 'bull_tp_mult': 2.896799909819314, 'bull_tsl_mult': 0.9620347529998586, 'bull_time_stop': 280, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.3978228985972034, 'bear_rsi_os': 53, 'bear_rsi_ob': 47, 'bear_adx_thresh': 32.537927601818545, 'bear_atr_min_pct': 0.0118220776174621, 'bear_atr_max_pct': 0.04463215316801363, 'bear_tp_mult': 1.0939832529425115, 'bear_tsl_mult': 0.7840188462790523, 'bear_time_stop': 20, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.9401211535344287, 'sideways_rsi_os': 27, 'sideways_rsi_ob': 74, 'sideways_adx_thresh': 10.127179852900227, 'sideways_atr_min_pct': 0.003189695833050181, 'sideways_atr_max_pct': 0.06454200975092513, 'sideways_tp_mult': 2.0834906296735967, 'sideways_tsl_mult': 0.2737604300552079, 'sideways_time_stop': 97, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:09,394] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 47, 'p_atr': 20, 'p_adx': 26, 'rsi_period': 81, 'ema1': 14, 'ema2': 56, 'slip_atr_k': 0.07440806361955352, 'slip_spread_k': 0.3540797103892884, 'spread_hl_frac': 0.019206552080802297, 'bb_std_mult': 3.459722083636576, 'rsi_os': 47, 'rsi_ob': 93, 'vol_spike': 0.11269378530231856, 'adx_thresh': 26.650006106630897, 'atr_min_pct': 0.0039013910831920172, 'atr_max_pct': 0.0666113422576353, 'tp_mult': 1.2813824063258341, 'tsl_mult': 0.2580799534088042, 'strategy': 'mean_reversion', 'time_stop': 260, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.6852619259917831, 'edge_cap': 0.7635806100945486, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.4262161745704804, 'bull_rsi_os': 26, 'bull_rsi_ob': 75, 'bull_adx_thresh': 22.742342782104583, 'bull_atr_min_pct': 0.02227427437951497, 'bull_atr_max_pct': 0.03866894312451637, 'bull_tp_mult': 2.364878038629961, 'bull_tsl_mult': 0.7869901990728844, 'bull_time_stop': 58, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.716166703654449, 'bear_rsi_os': 16, 'bear_rsi_ob': 82, 'bear_adx_thresh': 31.031999730421013, 'bear_atr_min_pct': 0.0008238918957679298, 'bear_atr_max_pct': 0.04770198783560557, 'bear_tp_mult': 2.3816247433680684, 'bear_tsl_mult': 0.6342183312448407, 'bear_time_stop': 130, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.2446721420149505, 'sideways_rsi_os': 54, 'sideways_rsi_ob': 76, 'sideways_adx_thresh': 17.06899193374164, 'sideways_atr_min_pct': 0.004658011552516324, 'sideways_atr_max_pct': 0.07258015429434977, 'sideways_tp_mult': 2.633938427328614, 'sideways_tsl_mult': 0.17757090516691243, 'sideways_time_stop': 242, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:09,710] Trial 3 finished with values: [-0.019438887482465028, 0.019376016071321098] and parameters: {'p_sma': 39, 'p_std': 18, 'p_atr': 8, 'p_adx': 10, 'rsi_period': 26, 'ema1': 30, 'ema2': 57, 'slip_atr_k': 0.11479595268249818, 'slip_spread_k': 0.659773878371549, 'spread_hl_frac': 0.04462832304467274, 'bb_std_mult': 1.8443137716964584, 'rsi_os': 53, 'rsi_ob': 74, 'vol_spike': 0.14456899491646022, 'adx_thresh': 32.94567064749918, 'atr_min_pct': 0.018709741007533334, 'atr_max_pct': 0.14194486208382318, 'tp_mult': 1.7554313321789468, 'tsl_mult': 0.320134057748081, 'strategy': 'breakout', 'time_stop': 122, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.35144206576737735, 'edge_cap': 0.7924427186102974, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.5691799175232155, 'bull_rsi_os': 9, 'bull_rsi_ob': 67, 'bull_adx_thresh': 6.052260529463624, 'bull_atr_min_pct': 0.0073527807201053405, 'bull_atr_max_pct': 0.13013431742346313, 'bull_tp_mult': 2.7814236918493216, 'bull_tsl_mult': 0.5421985769635125, 'bull_time_stop': 104, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.4376865614914318, 'bear_rsi_os': 17, 'bear_rsi_ob': 64, 'bear_adx_thresh': 26.499920732546215, 'bear_atr_min_pct': 0.026464461340425353, 'bear_atr_max_pct': 0.13902775935656195, 'bear_tp_mult': 2.399943600076835, 'bear_tsl_mult': 0.1848827591955361, 'bear_time_stop': 202, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.1127277385156633, 'sideways_rsi_os': 28, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 9.835236817785898, 'sideways_atr_min_pct': 0.0027321999243985484, 'sideways_atr_max_pct': 0.07907668134151148, 'sideways_tp_mult': 2.790936949767625, 'sideways_tsl_mult': 0.40014324882191876, 'sideways_time_stop': 76, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:09,881] Trial 2 finished with values: [-1000000000.0, 0.10768559806765952] and parameters: {'p_sma': 56, 'p_std': 47, 'p_atr': 24, 'p_adx': 7, 'rsi_period': 44, 'ema1': 30, 'ema2': 57, 'slip_atr_k': 0.22824442936610945, 'slip_spread_k': 0.9972434017237095, 'spread_hl_frac': 0.016787194225865144, 'bb_std_mult': 3.4804378282411856, 'rsi_os': 16, 'rsi_ob': 58, 'vol_spike': 0.1981665096844524, 'adx_thresh': 24.42152415759348, 'atr_min_pct': 0.012128175747867988, 'atr_max_pct': 0.13538219635240706, 'tp_mult': 2.975100341024582, 'tsl_mult': 0.5900927873758632, 'strategy': 'mean_reversion', 'time_stop': 231, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.6639121713774854, 'edge_cap': 0.14331159180022468, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.1662143947383665, 'bull_rsi_os': 49, 'bull_rsi_ob': 77, 'bull_adx_thresh': 11.62320049769454, 'bull_atr_min_pct': 0.02491635078843971, 'bull_atr_max_pct': 0.027278986745543403, 'bull_tp_mult': 1.4680135192157413, 'bull_tsl_mult': 0.4417105807229299, 'bull_time_stop': 234, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.2418514067207864, 'bear_rsi_os': 12, 'bear_rsi_ob': 46, 'bear_adx_thresh': 28.1426356377244, 'bear_atr_min_pct': 0.0008924614601657443, 'bear_atr_max_pct': 0.03380974172586554, 'bear_tp_mult': 1.0299440653830862, 'bear_tsl_mult': 0.4161354124421588, 'bear_time_stop': 148, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.2459112538293637, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 69, 'sideways_adx_thresh': 16.603106558134883, 'sideways_atr_min_pct': 0.016869804176768408, 'sideways_atr_max_pct': 0.016839302125762685, 'sideways_tp_mult': 1.6183130775641281, 'sideways_tsl_mult': 0.42801583824561684, 'sideways_time_stop': 153, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:09,899] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 44, 'p_std': 58, 'p_atr': 25, 'p_adx': 30, 'rsi_period': 26, 'ema1': 16, 'ema2': 38, 'slip_atr_k': 0.16704472462152453, 'slip_spread_k': 0.46846528501341045, 'spread_hl_frac': 0.0325717577324864, 'bb_std_mult': 1.8727398251640384, 'rsi_os': 50, 'rsi_ob': 55, 'vol_spike': 0.042421251739493446, 'adx_thresh': 5.2568617192518365, 'atr_min_pct': 0.02565694778189457, 'atr_max_pct': 0.11180069598838464, 'tp_mult': 2.213927299088713, 'tsl_mult': 0.7133708273858942, 'strategy': 'mean_reversion', 'time_stop': 18, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2498837458767702, 'edge_cap': 0.22972870630149778, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.3759977750798031, 'bull_rsi_os': 21, 'bull_rsi_ob': 83, 'bull_adx_thresh': 26.86603266533368, 'bull_atr_min_pct': 0.0008090271392558701, 'bull_atr_max_pct': 0.08591080909349798, 'bull_tp_mult': 2.786686295932137, 'bull_tsl_mult': 0.6731856992315102, 'bull_time_stop': 235, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.7735483612221918, 'bear_rsi_os': 52, 'bear_rsi_ob': 50, 'bear_adx_thresh': 19.290042038908492, 'bear_atr_min_pct': 0.007507506881012526, 'bear_atr_max_pct': 0.01819912183577087, 'bear_tp_mult': 1.444161558104703, 'bear_tsl_mult': 0.8151887205037616, 'bear_time_stop': 19, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.9501183880620943, 'sideways_rsi_os': 53, 'sideways_rsi_ob': 78, 'sideways_adx_thresh': 10.945026223687313, 'sideways_atr_min_pct': 0.020838401333804712, 'sideways_atr_max_pct': 0.055064418584078734, 'sideways_tp_mult': 1.9042655585809771, 'sideways_tsl_mult': 0.38607485757469295, 'sideways_time_stop': 102, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-29 19:37:10,171] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 60, 'p_std': 17, 'p_atr': 15, 'p_adx': 23, 'rsi_period': 58, 'ema1': 9, 'ema2': 49, 'slip_atr_k': 0.002106428643493169, 'slip_spread_k': 0.011082981199664332, 'spread_hl_frac': 0.029790212291653698, 'bb_std_mult': 1.358280379392232, 'rsi_os': 42, 'rsi_ob': 84, 'vol_spike': 0.2962653202690344, 'adx_thresh': 11.32689390950171, 'atr_min_pct': 0.023678958055711897, 'atr_max_pct': 0.1022623912517001, 'tp_mult': 1.7071130312162648, 'tsl_mult': 0.6515257072952801, 'strategy': 'mean_reversion', 'time_stop': 112, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.291980531527318, 'edge_cap': 0.8769118780568484, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.6648186180867552, 'bull_rsi_os': 50, 'bull_rsi_ob': 65, 'bull_adx_thresh': 8.547650482337962, 'bull_atr_min_pct': 0.007699780926092539, 'bull_atr_max_pct': 0.05323563350183992, 'bull_tp_mult': 1.2482386529915286, 'bull_tsl_mult': 0.93104036185605, 'bull_time_stop': 217, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.5013501117313597, 'bear_rsi_os': 29, 'bear_rsi_ob': 69, 'bear_adx_thresh': 19.32138920896976, 'bear_atr_min_pct': 0.0031614386412352822, 'bear_atr_max_pct': 0.09437429380319035, 'bear_tp_mult': 2.20588698528976, 'bear_tsl_mult': 0.4702943895593481, 'bear_time_stop': 39, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.079684907133694, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 63, 'sideways_adx_thresh': 26.87250959476296, 'sideways_atr_min_pct': 0.00014888117238326726, 'sideways_atr_max_pct': 0.01409560609319587, 'sideways_tp_mult': 2.2893888573607044, 'sideways_tsl_mult': 0.13226020519966786, 'sideways_time_stop': 95, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:39,591] Trial 6 finished with values: [-0.0005440977338559971, 0.0017006141192089964] and parameters: {'p_sma': 42, 'p_std': 48, 'p_atr': 12, 'p_adx': 22, 'rsi_period': 15, 'ema1': 11, 'ema2': 42, 'slip_atr_k': 0.03597206718451326, 'slip_spread_k': 0.6318676513842273, 'spread_hl_frac': 0.047846272364918535, 'bb_std_mult': 1.0924957482606072, 'rsi_os': 25, 'rsi_ob': 84, 'vol_spike': 0.15418622065296594, 'adx_thresh': 15.833755930007655, 'atr_min_pct': 0.0009423902457747012, 'atr_max_pct': 0.08622768588812958, 'tp_mult': 2.415055822737294, 'tsl_mult': 0.44985061178296926, 'strategy': 'breakout', 'time_stop': 201, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.896274194251136, 'edge_cap': 0.5632000057043287, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.112982354227023, 'bull_rsi_os': 41, 'bull_rsi_ob': 93, 'bull_adx_thresh': 18.21866092465014, 'bull_atr_min_pct': 0.020523167328549658, 'bull_atr_max_pct': 0.07155431020725146, 'bull_tp_mult': 2.9482913939324624, 'bull_tsl_mult': 0.3882498617420156, 'bull_time_stop': 265, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.0688384131635793, 'bear_rsi_os': 13, 'bear_rsi_ob': 67, 'bear_adx_thresh': 6.462120037591216, 'bear_atr_min_pct': 0.004168441656513096, 'bear_atr_max_pct': 0.11168827178539185, 'bear_tp_mult': 2.8234216356881197, 'bear_tsl_mult': 0.6011915201995984, 'bear_time_stop': 158, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3545622868737777, 'sideways_rsi_os': 18, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 27.67943720085954, 'sideways_atr_min_pct': 0.01901681400136306, 'sideways_atr_max_pct': 0.1276444775473767, 'sideways_tp_mult': 2.6056608157274104, 'sideways_tsl_mult': 0.21895212662103714, 'sideways_time_stop': 82, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:39,874] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 39, 'p_atr': 23, 'p_adx': 19, 'rsi_period': 23, 'ema1': 8, 'ema2': 25, 'slip_atr_k': 0.1449059335134686, 'slip_spread_k': 0.9235187817305613, 'spread_hl_frac': 0.01724545315714329, 'bb_std_mult': 2.348434378145552, 'rsi_os': 32, 'rsi_ob': 51, 'vol_spike': 0.13494651680354192, 'adx_thresh': 30.7858144505101, 'atr_min_pct': 0.005747742036953053, 'atr_max_pct': 0.11003157441255633, 'tp_mult': 2.877433680832654, 'tsl_mult': 0.5055797341459211, 'strategy': 'breakout', 'time_stop': 127, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.3285471829488529, 'edge_cap': 0.20586404883900178, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.2151721757471141, 'bull_rsi_os': 28, 'bull_rsi_ob': 58, 'bull_adx_thresh': 23.641977784738426, 'bull_atr_min_pct': 0.00577716169269374, 'bull_atr_max_pct': 0.016648625679532934, 'bull_tp_mult': 1.4200376631405454, 'bull_tsl_mult': 0.29277713087378854, 'bull_time_stop': 46, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.0910637142932598, 'bear_rsi_os': 5, 'bear_rsi_ob': 88, 'bear_adx_thresh': 34.61586172917783, 'bear_atr_min_pct': 0.014183831088793921, 'bear_atr_max_pct': 0.12004573245878955, 'bear_tp_mult': 1.2170958555706273, 'bear_tsl_mult': 0.7561800644426883, 'bear_time_stop': 254, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.7450809185989309, 'sideways_rsi_os': 46, 'sideways_rsi_ob': 88, 'sideways_adx_thresh': 24.39200606889616, 'sideways_atr_min_pct': 0.005480238953267462, 'sideways_atr_max_pct': 0.1449299503729247, 'sideways_tp_mult': 1.5062926435680732, 'sideways_tsl_mult': 0.9073984549289218, 'sideways_time_stop': 275, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:40,251] Trial 5 finished with values: [-0.02363155033951647, 0.023628377370312016] and parameters: {'p_sma': 45, 'p_std': 37, 'p_atr': 9, 'p_adx': 13, 'rsi_period': 44, 'ema1': 25, 'ema2': 27, 'slip_atr_k': 0.24676473570184454, 'slip_spread_k': 0.09879130996462926, 'spread_hl_frac': 0.01583928437440781, 'bb_std_mult': 1.345850048209594, 'rsi_os': 25, 'rsi_ob': 66, 'vol_spike': 0.24317051712069648, 'adx_thresh': 25.74797113922608, 'atr_min_pct': 0.02708219661594363, 'atr_max_pct': 0.12454421613220772, 'tp_mult': 1.2023745220051705, 'tsl_mult': 0.4218116810023138, 'strategy': 'breakout', 'time_stop': 240, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.0068414203909035, 'edge_cap': 0.2896540350860928, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.875361383171049, 'bull_rsi_os': 10, 'bull_rsi_ob': 93, 'bull_adx_thresh': 24.081509434611384, 'bull_atr_min_pct': 0.01932081189833818, 'bull_atr_max_pct': 0.060042223820253045, 'bull_tp_mult': 1.7387626273001533, 'bull_tsl_mult': 0.2836802639274365, 'bull_time_stop': 161, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.6952225208313068, 'bear_rsi_os': 29, 'bear_rsi_ob': 88, 'bear_adx_thresh': 23.714658576711184, 'bear_atr_min_pct': 4.443600784554968e-05, 'bear_atr_max_pct': 0.13513399737576656, 'bear_tp_mult': 2.8315931763258453, 'bear_tsl_mult': 0.8847702644903268, 'bear_time_stop': 16, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.482375225224024, 'sideways_rsi_os': 8, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 14.730334396611642, 'sideways_atr_min_pct': 0.020622372089465126, 'sideways_atr_max_pct': 0.022979474223207973, 'sideways_tp_mult': 2.8703522417689555, 'sideways_tsl_mult': 0.06640211656607042, 'sideways_time_stop': 164, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-29 19:37:40,297] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 15, 'p_atr': 16, 'p_adx': 10, 'rsi_period': 57, 'ema1': 27, 'ema2': 34, 'slip_atr_k': 0.22839173378845823, 'slip_spread_k': 0.352796092833094, 'spread_hl_frac': 0.0403136107751438, 'bb_std_mult': 1.136478832325073, 'rsi_os': 31, 'rsi_ob': 74, 'vol_spike': 0.12702410050301619, 'adx_thresh': 33.86531387778577, 'atr_min_pct': 0.023169759275386954, 'atr_max_pct': 0.022518014319619736, 'tp_mult': 1.6139532551389735, 'tsl_mult': 0.5196829510808283, 'strategy': 'mean_reversion', 'time_stop': 295, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.0950133376352258, 'edge_cap': 0.3786959928098187, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.911185357878204, 'bull_rsi_os': 52, 'bull_rsi_ob': 95, 'bull_adx_thresh': 17.471788857716838, 'bull_atr_min_pct': 0.024667691187945595, 'bull_atr_max_pct': 0.010976659385123938, 'bull_tp_mult': 1.809072451522669, 'bull_tsl_mult': 0.11105488733729585, 'bull_time_stop': 109, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.447874175827377, 'bear_rsi_os': 15, 'bear_rsi_ob': 63, 'bear_adx_thresh': 30.346576980503905, 'bear_atr_min_pct': 0.027399516564170997, 'bear_atr_max_pct': 0.10734606593501292, 'bear_tp_mult': 1.0696704393439795, 'bear_tsl_mult': 0.7895203327993413, 'bear_time_stop': 21, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.7284937206959377, 'sideways_rsi_os': 22, 'sideways_rsi_ob': 63, 'sideways_adx_thresh': 24.72263206696302, 'sideways_atr_min_pct': 0.007881953498233337, 'sideways_atr_max_pct': 0.0931153121591786, 'sideways_tp_mult': 2.3318647108674924, 'sideways_tsl_mult': 0.11323252912363935, 'sideways_time_stop': 127, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-29 19:37:40,441] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 59, 'p_atr': 24, 'p_adx': 7, 'rsi_period': 32, 'ema1': 22, 'ema2': 42, 'slip_atr_k': 0.01583430251466264, 'slip_spread_k': 0.3488294659617499, 'spread_hl_frac': 0.020678646395715268, 'bb_std_mult': 3.5373171314476224, 'rsi_os': 23, 'rsi_ob': 92, 'vol_spike': 0.01828817271530626, 'adx_thresh': 20.20264045029729, 'atr_min_pct': 0.013711829750861194, 'atr_max_pct': 0.03070204658742029, 'tp_mult': 2.7282006274272397, 'tsl_mult': 0.6213246689332033, 'strategy': 'breakout', 'time_stop': 163, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.48637815826097097, 'edge_cap': 0.5672298837876899, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.7147442115979263, 'bull_rsi_os': 13, 'bull_rsi_ob': 66, 'bull_adx_thresh': 9.813404160890292, 'bull_atr_min_pct': 0.022783982281231265, 'bull_atr_max_pct': 0.012930868782439013, 'bull_tp_mult': 1.5282543929985137, 'bull_tsl_mult': 0.8180299667575299, 'bull_time_stop': 7, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.297965143732371, 'bear_rsi_os': 26, 'bear_rsi_ob': 62, 'bear_adx_thresh': 13.616828969928562, 'bear_atr_min_pct': 0.005609368646173313, 'bear_atr_max_pct': 0.016486180090407542, 'bear_tp_mult': 2.639027442180165, 'bear_tsl_mult': 0.6106478647174971, 'bear_time_stop': 249, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.5799346397823912, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 46, 'sideways_adx_thresh': 34.54995016209008, 'sideways_atr_min_pct': 0.006270041992805495, 'sideways_atr_max_pct': 0.04079408904940278, 'sideways_tp_mult': 1.9432555860505505, 'sideways_tsl_mult': 0.5232898223336105, 'sideways_time_stop': 33, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
