2025-08-29 16:46:13,565 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 16:46:13,575] A new study created in memory with name: no-name-27a115df-8736-47a0-8f41-4613aa649fab
[I 2025-08-29 16:46:42,732] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 47, 'p_atr': 14, 'p_adx': 27, 'rsi_period': 40, 'ema1': 6, 'ema2': 16, 'slip_atr_k': 0.03797441362498272, 'slip_spread_k': 0.36085043448809817, 'spread_hl_frac': 0.022620259290847294, 'bb_std_mult': 0.5376873860725195, 'rsi_os': 13, 'rsi_ob': 69, 'vol_spike': 0.04357442652375617, 'adx_thresh': 8.529048826689916, 'atr_min_pct': 0.00644304190364546, 'atr_max_pct': 0.1436829957554314, 'tp_mult': 2.3828135183036316, 'tsl_mult': 0.7366471158337905, 'strategy': 'mean_reversion', 'time_stop': 22, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.16366748362758687, 'edge_cap': 0.5085420292834235}.
[I 2025-08-29 16:46:43,612] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 30, 'p_atr': 30, 'p_adx': 10, 'rsi_period': 19, 'ema1': 9, 'ema2': 40, 'slip_atr_k': 0.07016434470190777, 'slip_spread_k': 0.8224712532761403, 'spread_hl_frac': 0.03942282490124206, 'bb_std_mult': 0.8846857664007467, 'rsi_os': 33, 'rsi_ob': 50, 'vol_spike': 0.04794180045775663, 'adx_thresh': 28.59944420557865, 'atr_min_pct': 0.0250504765913752, 'atr_max_pct': 0.05487404569770933, 'tp_mult': 1.9595704475783797, 'tsl_mult': 0.3128617166386518, 'strategy': 'breakout', 'time_stop': 271, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.9795162003303923, 'edge_cap': 0.8289439145946348}.
[I 2025-08-29 16:46:43,632] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 10, 'p_atr': 25, 'p_adx': 20, 'rsi_period': 66, 'ema1': 12, 'ema2': 58, 'slip_atr_k': 0.10022233154409063, 'slip_spread_k': 0.6739765888463279, 'spread_hl_frac': 0.002707465628870665, 'bb_std_mult': 3.4401346546556533, 'rsi_os': 54, 'rsi_ob': 49, 'vol_spike': 0.26143321825252747, 'adx_thresh': 30.630698611684792, 'atr_min_pct': 0.016353256466493542, 'atr_max_pct': 0.07040769393355117, 'tp_mult': 1.18287028846668, 'tsl_mult': 0.04524445626736129, 'strategy': 'mean_reversion', 'time_stop': 17, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.9816104843015439, 'edge_cap': 0.9977924196304125}.
[I 2025-08-29 16:46:44,044] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 37, 'p_std': 9, 'p_atr': 14, 'p_adx': 27, 'rsi_period': 8, 'ema1': 20, 'ema2': 49, 'slip_atr_k': 0.15454061123953178, 'slip_spread_k': 0.49665798777014625, 'spread_hl_frac': 0.002944219720734337, 'bb_std_mult': 2.068771301855455, 'rsi_os': 30, 'rsi_ob': 86, 'vol_spike': 0.020360007612828922, 'adx_thresh': 7.313133717987281, 'atr_min_pct': 0.011449485600184701, 'atr_max_pct': 0.0750810578935333, 'tp_mult': 2.219064803930393, 'tsl_mult': 0.6612504412240772, 'strategy': 'mean_reversion', 'time_stop': 199, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2592448167906765, 'edge_cap': 0.1655220863282998}.
[I 2025-08-29 16:46:44,225] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 10, 'p_std': 58, 'p_atr': 23, 'p_adx': 8, 'rsi_period': 84, 'ema1': 26, 'ema2': 34, 'slip_atr_k': 0.08986808615429667, 'slip_spread_k': 0.31363296102932947, 'spread_hl_frac': 0.021195513518921367, 'bb_std_mult': 3.425448251331674, 'rsi_os': 31, 'rsi_ob': 94, 'vol_spike': 0.11221386355631714, 'adx_thresh': 24.44726374417989, 'atr_min_pct': 0.00780071848677759, 'atr_max_pct': 0.0581304284818982, 'tp_mult': 2.1921057055302655, 'tsl_mult': 0.20348337119120086, 'strategy': 'mean_reversion', 'time_stop': 203, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.8879340714552775, 'edge_cap': 0.662190001160089}.
[I 2025-08-29 16:47:10,102] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 32, 'p_std': 10, 'p_atr': 14, 'p_adx': 30, 'rsi_period': 45, 'ema1': 22, 'ema2': 11, 'slip_atr_k': 0.19570519633970915, 'slip_spread_k': 0.419586133188107, 'spread_hl_frac': 0.0203713087992165, 'bb_std_mult': 0.5123363443655857, 'rsi_os': 43, 'rsi_ob': 58, 'vol_spike': 0.17661008633007777, 'adx_thresh': 20.61640077598217, 'atr_min_pct': 0.010055988766067024, 'atr_max_pct': 0.02449891266453184, 'tp_mult': 2.7002458788458257, 'tsl_mult': 0.2999152627751954, 'strategy': 'mean_reversion', 'time_stop': 16, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.0163137337389119, 'edge_cap': 0.2316770931798493}.
[I 2025-08-29 16:47:11,883] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 39, 'p_atr': 9, 'p_adx': 19, 'rsi_period': 31, 'ema1': 6, 'ema2': 48, 'slip_atr_k': 0.16237754271189853, 'slip_spread_k': 0.2699831402299788, 'spread_hl_frac': 0.009061388870669656, 'bb_std_mult': 1.6683815398401136, 'rsi_os': 17, 'rsi_ob': 85, 'vol_spike': 0.007506218421488541, 'adx_thresh': 23.340218270497896, 'atr_min_pct': 0.01306956933777512, 'atr_max_pct': 0.08729569420717039, 'tp_mult': 1.0736044933828344, 'tsl_mult': 0.11693289162631249, 'strategy': 'mean_reversion', 'time_stop': 112, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9062404758826823, 'edge_cap': 0.7421333978082746}.
[I 2025-08-29 16:47:11,935] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 51, 'p_std': 38, 'p_atr': 29, 'p_adx': 8, 'rsi_period': 21, 'ema1': 30, 'ema2': 18, 'slip_atr_k': 0.17546829688093557, 'slip_spread_k': 0.5485403228101935, 'spread_hl_frac': 0.04371383143105942, 'bb_std_mult': 2.85091757674321, 'rsi_os': 55, 'rsi_ob': 90, 'vol_spike': 0.25828047739053733, 'adx_thresh': 30.92936052376787, 'atr_min_pct': 0.025850639994877817, 'atr_max_pct': 0.013163589783857378, 'tp_mult': 1.6822780350045679, 'tsl_mult': 0.501142752218819, 'strategy': 'mean_reversion', 'time_stop': 15, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.9998618574473563, 'edge_cap': 0.9438955810800612}.
[I 2025-08-29 16:47:12,785] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 51, 'p_std': 55, 'p_atr': 30, 'p_adx': 10, 'rsi_period': 33, 'ema1': 12, 'ema2': 36, 'slip_atr_k': 0.2060853376437718, 'slip_spread_k': 0.40573137272561943, 'spread_hl_frac': 0.035580364303671244, 'bb_std_mult': 0.647645916464209, 'rsi_os': 27, 'rsi_ob': 81, 'vol_spike': 0.2085945730761474, 'adx_thresh': 23.251136084154805, 'atr_min_pct': 0.013721528979521893, 'atr_max_pct': 0.11474915805592069, 'tp_mult': 2.693100046597684, 'tsl_mult': 0.8938911968860737, 'strategy': 'breakout', 'time_stop': 281, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.6626661767892463, 'edge_cap': 0.9591549012321352}.
[I 2025-08-29 16:47:12,900] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 41, 'p_atr': 7, 'p_adx': 15, 'rsi_period': 76, 'ema1': 29, 'ema2': 30, 'slip_atr_k': 0.20979786119931165, 'slip_spread_k': 0.8975751986023253, 'spread_hl_frac': 0.03226786424590022, 'bb_std_mult': 1.0465529652587167, 'rsi_os': 20, 'rsi_ob': 85, 'vol_spike': 0.29927962303034655, 'adx_thresh': 14.088237823982885, 'atr_min_pct': 0.02047403307568361, 'atr_max_pct': 0.13687704238523526, 'tp_mult': 2.637361241150636, 'tsl_mult': 0.16717298400173597, 'strategy': 'breakout', 'time_stop': 17, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.21820752428733758, 'edge_cap': 0.7935021269278644}.
[I 2025-08-29 16:47:38,138] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 39, 'p_atr': 8, 'p_adx': 19, 'rsi_period': 56, 'ema1': 15, 'ema2': 38, 'slip_atr_k': 0.21146911304033883, 'slip_spread_k': 0.30911134343312263, 'spread_hl_frac': 0.021550338937954994, 'bb_std_mult': 1.9718820821030685, 'rsi_os': 19, 'rsi_ob': 89, 'vol_spike': 0.039255476869344386, 'adx_thresh': 5.0752314703710155, 'atr_min_pct': 0.012599445470146714, 'atr_max_pct': 0.05855452181675208, 'tp_mult': 2.404427750460792, 'tsl_mult': 0.38700292011560045, 'strategy': 'mean_reversion', 'time_stop': 16, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.990833311437077, 'edge_cap': 0.1696022773967215}.
