2025-08-29 18:29:03,447 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 18:29:03,458] A new study created in memory with name: no-name-496bd27f-722d-4a62-8aa0-1769b4472c58
[I 2025-08-29 18:29:33,445] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 37, 'p_std': 34, 'p_atr': 29, 'p_adx': 9, 'rsi_period': 80, 'ema1': 19, 'ema2': 16, 'slip_atr_k': 0.05282785165067869, 'slip_spread_k': 0.5034041039355558, 'spread_hl_frac': 0.008458527866210664, 'bb_std_mult': 2.6726467631467106, 'rsi_os': 39, 'rsi_ob': 65, 'vol_spike': 0.238723201652316, 'adx_thresh': 23.644650112088588, 'atr_min_pct': 0.01731514538173455, 'atr_max_pct': 0.09974461238655548, 'tp_mult': 1.5385640656667012, 'tsl_mult': 0.8716561496187144, 'strategy': 'breakout', 'time_stop': 169, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.8604599630092522, 'edge_cap': 0.9544884704934028}.
[I 2025-08-29 18:29:33,643] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 20, 'p_atr': 10, 'p_adx': 14, 'rsi_period': 82, 'ema1': 10, 'ema2': 23, 'slip_atr_k': 0.1599599278732056, 'slip_spread_k': 0.6189436991854317, 'spread_hl_frac': 0.027923911837682187, 'bb_std_mult': 1.7306259021137935, 'rsi_os': 44, 'rsi_ob': 79, 'vol_spike': 0.1704573137969201, 'adx_thresh': 34.26485177020535, 'atr_min_pct': 0.016370761005545718, 'atr_max_pct': 0.11070754574213539, 'tp_mult': 1.778635211929069, 'tsl_mult': 0.07760317171992981, 'strategy': 'mean_reversion', 'time_stop': 48, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.569738810498065, 'edge_cap': 0.06493979899515763}.
[I 2025-08-29 18:29:33,652] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 18, 'p_atr': 12, 'p_adx': 29, 'rsi_period': 13, 'ema1': 21, 'ema2': 17, 'slip_atr_k': 0.08440608767680247, 'slip_spread_k': 0.4981672918521275, 'spread_hl_frac': 0.04782505513819489, 'bb_std_mult': 1.066172923198313, 'rsi_os': 55, 'rsi_ob': 80, 'vol_spike': 0.16748479097541516, 'adx_thresh': 23.363504009354617, 'atr_min_pct': 0.013118439572495416, 'atr_max_pct': 0.07108174676984412, 'tp_mult': 2.017250245445528, 'tsl_mult': 0.34140043257495223, 'strategy': 'mean_reversion', 'time_stop': 181, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.5070881378121455, 'edge_cap': 0.7587835995309876}.
[I 2025-08-29 18:29:33,851] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 43, 'p_atr': 26, 'p_adx': 29, 'rsi_period': 83, 'ema1': 30, 'ema2': 50, 'slip_atr_k': 0.21832252941354718, 'slip_spread_k': 0.009631363851249186, 'spread_hl_frac': 0.01878032760813741, 'bb_std_mult': 3.0060811161787244, 'rsi_os': 15, 'rsi_ob': 51, 'vol_spike': 0.24507399952397085, 'adx_thresh': 16.651129550675673, 'atr_min_pct': 0.012462002950237527, 'atr_max_pct': 0.03317281101223438, 'tp_mult': 1.9907039605398784, 'tsl_mult': 0.14004417204092678, 'strategy': 'breakout', 'time_stop': 145, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.660689237808612, 'edge_cap': 0.3305960759729235}.
[I 2025-08-29 18:29:34,125] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 24, 'p_std': 25, 'p_atr': 14, 'p_adx': 28, 'rsi_period': 18, 'ema1': 27, 'ema2': 58, 'slip_atr_k': 0.1205618959978817, 'slip_spread_k': 0.28104164529529463, 'spread_hl_frac': 0.031493858728122784, 'bb_std_mult': 2.9963092546389296, 'rsi_os': 36, 'rsi_ob': 66, 'vol_spike': 0.17997259239384805, 'adx_thresh': 29.65054088625243, 'atr_min_pct': 0.017890391742972894, 'atr_max_pct': 0.1041296600839009, 'tp_mult': 2.1191724779691943, 'tsl_mult': 0.8504058853395908, 'strategy': 'breakout', 'time_stop': 250, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.3202775340632602, 'edge_cap': 0.49403722596541755}.
[I 2025-08-29 18:30:02,217] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 20, 'p_std': 53, 'p_atr': 25, 'p_adx': 20, 'rsi_period': 68, 'ema1': 7, 'ema2': 49, 'slip_atr_k': 0.21715127349143643, 'slip_spread_k': 0.6870762379245361, 'spread_hl_frac': 0.01903183290325705, 'bb_std_mult': 0.6772035434833492, 'rsi_os': 42, 'rsi_ob': 65, 'vol_spike': 0.283459077148935, 'adx_thresh': 34.6579150901843, 'atr_min_pct': 0.028992773843968454, 'atr_max_pct': 0.14003468048536213, 'tp_mult': 2.02603977045576, 'tsl_mult': 0.30455762877620884, 'strategy': 'breakout', 'time_stop': 185, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.0856249515789607, 'edge_cap': 0.38396414049482397}.
[I 2025-08-29 18:30:02,242] Trial 5 finished with values: [-1000000000.0, 0.12168800788008828] and parameters: {'p_sma': 55, 'p_std': 8, 'p_atr': 26, 'p_adx': 9, 'rsi_period': 7, 'ema1': 20, 'ema2': 55, 'slip_atr_k': 0.24394219790872904, 'slip_spread_k': 0.3192397016128351, 'spread_hl_frac': 0.01778669247820195, 'bb_std_mult': 1.3193738165059137, 'rsi_os': 41, 'rsi_ob': 85, 'vol_spike': 0.2991255105200223, 'adx_thresh': 9.499217091108427, 'atr_min_pct': 0.0016118057160737752, 'atr_max_pct': 0.07894538828783818, 'tp_mult': 2.7858173964099477, 'tsl_mult': 0.47598831060862146, 'strategy': 'breakout', 'time_stop': 188, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.2077600066328782, 'edge_cap': 0.9814064161560541}.
[I 2025-08-29 18:30:02,245] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 54, 'p_std': 29, 'p_atr': 10, 'p_adx': 24, 'rsi_period': 31, 'ema1': 7, 'ema2': 35, 'slip_atr_k': 0.015514984389097403, 'slip_spread_k': 0.8118525654238086, 'spread_hl_frac': 0.00921984987868953, 'bb_std_mult': 2.7867265884662724, 'rsi_os': 52, 'rsi_ob': 88, 'vol_spike': 0.16557141239298687, 'adx_thresh': 10.650996908509876, 'atr_min_pct': 0.015130321823790295, 'atr_max_pct': 0.04334676362790871, 'tp_mult': 1.7333974992749945, 'tsl_mult': 0.23820198015560712, 'strategy': 'mean_reversion', 'time_stop': 35, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.5232334129655216, 'edge_cap': 0.24732140084188073}.
[I 2025-08-29 18:30:02,308] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 13, 'p_std': 38, 'p_atr': 10, 'p_adx': 30, 'rsi_period': 14, 'ema1': 15, 'ema2': 52, 'slip_atr_k': 0.18518437661600404, 'slip_spread_k': 0.3263477327352722, 'spread_hl_frac': 0.0031078321097050225, 'bb_std_mult': 1.3994087115833596, 'rsi_os': 51, 'rsi_ob': 75, 'vol_spike': 0.2146350733645852, 'adx_thresh': 13.79570456539134, 'atr_min_pct': 0.015723144240802872, 'atr_max_pct': 0.05871006807476155, 'tp_mult': 2.4268324916454658, 'tsl_mult': 0.7859090984585935, 'strategy': 'mean_reversion', 'time_stop': 147, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.3152123471737802, 'edge_cap': 0.4016657625762154}.
[I 2025-08-29 18:30:02,815] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 59, 'p_std': 20, 'p_atr': 8, 'p_adx': 23, 'rsi_period': 7, 'ema1': 22, 'ema2': 20, 'slip_atr_k': 0.12879197825410837, 'slip_spread_k': 0.41961042326095277, 'spread_hl_frac': 0.013637476374265756, 'bb_std_mult': 3.572190401192019, 'rsi_os': 55, 'rsi_ob': 68, 'vol_spike': 0.16619034705523322, 'adx_thresh': 9.169572783678058, 'atr_min_pct': 0.01762386710789826, 'atr_max_pct': 0.05357948468453221, 'tp_mult': 2.4532708172954654, 'tsl_mult': 0.8359248626743383, 'strategy': 'breakout', 'time_stop': 292, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.4417413056325552, 'edge_cap': 0.7893941865955905}.
[I 2025-08-29 18:30:02,932] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 27, 'p_atr': 29, 'p_adx': 12, 'rsi_period': 80, 'ema1': 18, 'ema2': 36, 'slip_atr_k': 0.17908629316707322, 'slip_spread_k': 0.8791501184764103, 'spread_hl_frac': 0.03882698889616837, 'bb_std_mult': 2.517993835597866, 'rsi_os': 45, 'rsi_ob': 75, 'vol_spike': 0.19584187300887493, 'adx_thresh': 23.595554827377633, 'atr_min_pct': 0.017508188670188517, 'atr_max_pct': 0.041477798581362926, 'tp_mult': 1.8044907516613227, 'tsl_mult': 0.1110701768092569, 'strategy': 'mean_reversion', 'time_stop': 169, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.6260559557729688, 'edge_cap': 0.3539461442350304}.
