number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 16.651129550675673, ""atr_max_pct"": 0.03317281101223438, ""atr_min_pct"": 0.012462002950237527, ""bb_std_mult"": 3.0060811161787244, ""edge_cap"": 0.3305960759729235, ""edge_k"": 0.660689237808612, ""ema1"": 30, ""ema2"": 50, ""p_adx"": 29, ""p_atr"": 26, ""p_sma"": 30, ""p_std"": 43, ""rsi_ob"": 51, ""rsi_os"": 15, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.21832252941354718, ""slip_spread_k"": 0.009631363851249186, ""spread_hl_frac"": 0.01878032760813741, ""strategy"": ""breakout"", ""time_stop"": 145, ""tp_mult"": 1.9907039605398784, ""tsl_mult"": 0.14004417204092678, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24507399952397085}"
1,3.667707686005883e-05,0.0,-1000000000.0,1000000000.0,3.667707686005883e-05,0.0,1.0,breakout,1,"{""adx_thresh"": 23.644650112088588, ""atr_max_pct"": 0.09974461238655548, ""atr_min_pct"": 0.01731514538173455, ""bb_std_mult"": 2.6726467631467106, ""edge_cap"": 0.9544884704934028, ""edge_k"": 1.8604599630092522, ""ema1"": 19, ""ema2"": 16, ""p_adx"": 9, ""p_atr"": 29, ""p_sma"": 37, ""p_std"": 34, ""rsi_ob"": 65, ""rsi_os"": 39, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.05282785165067869, ""slip_spread_k"": 0.5034041039355558, ""spread_hl_frac"": 0.008458527866210664, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 1.5385640656667012, ""tsl_mult"": 0.8716561496187144, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.238723201652316}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 34.26485177020535, ""atr_max_pct"": 0.11070754574213539, ""atr_min_pct"": 0.016370761005545718, ""bb_std_mult"": 1.7306259021137935, ""edge_cap"": 0.06493979899515763, ""edge_k"": 0.569738810498065, ""ema1"": 10, ""ema2"": 23, ""p_adx"": 14, ""p_atr"": 10, ""p_sma"": 12, ""p_std"": 20, ""rsi_ob"": 79, ""rsi_os"": 44, ""rsi_period"": 82, ""rsi_required"": false, ""slip_atr_k"": 0.1599599278732056, ""slip_spread_k"": 0.6189436991854317, ""spread_hl_frac"": 0.027923911837682187, ""strategy"": ""mean_reversion"", ""time_stop"": 48, ""tp_mult"": 1.778635211929069, ""tsl_mult"": 0.07760317171992981, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1704573137969201}"
3,-6.884289034547741e-05,0.0,-1000000000.0,1000000000.0,-6.884289034547741e-05,0.0,1.0,breakout,1,"{""adx_thresh"": 29.65054088625243, ""atr_max_pct"": 0.1041296600839009, ""atr_min_pct"": 0.017890391742972894, ""bb_std_mult"": 2.9963092546389296, ""edge_cap"": 0.49403722596541755, ""edge_k"": 0.3202775340632602, ""ema1"": 27, ""ema2"": 58, ""p_adx"": 28, ""p_atr"": 14, ""p_sma"": 24, ""p_std"": 25, ""rsi_ob"": 66, ""rsi_os"": 36, ""rsi_period"": 18, ""rsi_required"": true, ""slip_atr_k"": 0.1205618959978817, ""slip_spread_k"": 0.28104164529529463, ""spread_hl_frac"": 0.031493858728122784, ""strategy"": ""breakout"", ""time_stop"": 250, ""tp_mult"": 2.1191724779691943, ""tsl_mult"": 0.8504058853395908, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.17997259239384805}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.363504009354617, ""atr_max_pct"": 0.07108174676984412, ""atr_min_pct"": 0.013118439572495416, ""bb_std_mult"": 1.066172923198313, ""edge_cap"": 0.7587835995309876, ""edge_k"": 1.5070881378121455, ""ema1"": 21, ""ema2"": 17, ""p_adx"": 29, ""p_atr"": 12, ""p_sma"": 38, ""p_std"": 18, ""rsi_ob"": 80, ""rsi_os"": 55, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.08440608767680247, ""slip_spread_k"": 0.4981672918521275, ""spread_hl_frac"": 0.04782505513819489, ""strategy"": ""mean_reversion"", ""time_stop"": 181, ""tp_mult"": 2.017250245445528, ""tsl_mult"": 0.34140043257495223, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.16748479097541516}"
5,-0.1217037750036517,-0.12168800788008828,-1000000000.0,0.12168800788008828,-0.1217037750036517,-0.12168800788008828,5566.0,breakout,1,"{""adx_thresh"": 9.499217091108427, ""atr_max_pct"": 0.07894538828783818, ""atr_min_pct"": 0.0016118057160737752, ""bb_std_mult"": 1.3193738165059137, ""edge_cap"": 0.9814064161560541, ""edge_k"": 1.2077600066328782, ""ema1"": 20, ""ema2"": 55, ""p_adx"": 9, ""p_atr"": 26, ""p_sma"": 55, ""p_std"": 8, ""rsi_ob"": 85, ""rsi_os"": 41, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.24394219790872904, ""slip_spread_k"": 0.3192397016128351, ""spread_hl_frac"": 0.01778669247820195, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 2.7858173964099477, ""tsl_mult"": 0.47598831060862146, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2991255105200223}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 34.6579150901843, ""atr_max_pct"": 0.14003468048536213, ""atr_min_pct"": 0.028992773843968454, ""bb_std_mult"": 0.6772035434833492, ""edge_cap"": 0.38396414049482397, ""edge_k"": 1.0856249515789607, ""ema1"": 7, ""ema2"": 49, ""p_adx"": 20, ""p_atr"": 25, ""p_sma"": 20, ""p_std"": 53, ""rsi_ob"": 65, ""rsi_os"": 42, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.21715127349143643, ""slip_spread_k"": 0.6870762379245361, ""spread_hl_frac"": 0.01903183290325705, ""strategy"": ""breakout"", ""time_stop"": 185, ""tp_mult"": 2.02603977045576, ""tsl_mult"": 0.30455762877620884, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.283459077148935}"
7,9.613023716159574e-05,-0.00010984984133383764,-1000000000.0,1000000000.0,9.613023716159574e-05,-0.00010984984133383764,7.0,breakout,1,"{""adx_thresh"": 9.169572783678058, ""atr_max_pct"": 0.05357948468453221, ""atr_min_pct"": 0.01762386710789826, ""bb_std_mult"": 3.572190401192019, ""edge_cap"": 0.7893941865955905, ""edge_k"": 1.4417413056325552, ""ema1"": 22, ""ema2"": 20, ""p_adx"": 23, ""p_atr"": 8, ""p_sma"": 59, ""p_std"": 20, ""rsi_ob"": 68, ""rsi_os"": 55, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.12879197825410837, ""slip_spread_k"": 0.41961042326095277, ""spread_hl_frac"": 0.013637476374265756, ""strategy"": ""breakout"", ""time_stop"": 292, ""tp_mult"": 2.4532708172954654, ""tsl_mult"": 0.8359248626743383, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16619034705523322}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 23.595554827377633, ""atr_max_pct"": 0.041477798581362926, ""atr_min_pct"": 0.017508188670188517, ""bb_std_mult"": 2.517993835597866, ""edge_cap"": 0.3539461442350304, ""edge_k"": 1.6260559557729688, ""ema1"": 18, ""ema2"": 36, ""p_adx"": 12, ""p_atr"": 29, ""p_sma"": 34, ""p_std"": 27, ""rsi_ob"": 75, ""rsi_os"": 45, ""rsi_period"": 80, ""rsi_required"": false, ""slip_atr_k"": 0.17908629316707322, ""slip_spread_k"": 0.8791501184764103, ""spread_hl_frac"": 0.03882698889616837, ""strategy"": ""mean_reversion"", ""time_stop"": 169, ""tp_mult"": 1.8044907516613227, ""tsl_mult"": 0.1110701768092569, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.19584187300887493}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.650996908509876, ""atr_max_pct"": 0.04334676362790871, ""atr_min_pct"": 0.015130321823790295, ""bb_std_mult"": 2.7867265884662724, ""edge_cap"": 0.24732140084188073, ""edge_k"": 0.5232334129655216, ""ema1"": 7, ""ema2"": 35, ""p_adx"": 24, ""p_atr"": 10, ""p_sma"": 54, ""p_std"": 29, ""rsi_ob"": 88, ""rsi_os"": 52, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.015514984389097403, ""slip_spread_k"": 0.8118525654238086, ""spread_hl_frac"": 0.00921984987868953, ""strategy"": ""mean_reversion"", ""time_stop"": 35, ""tp_mult"": 1.7333974992749945, ""tsl_mult"": 0.23820198015560712, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16557141239298687}"
