2025-08-31 03:34:08,980 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-31 03:34:08,988] A new study created in memory with name: no-name-4d11955c-25f8-486a-a734-aa012edca3be
[I 2025-08-31 03:34:08,995] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 23, 'p_atr': 11, 'p_adx': 17, 'rsi_period': 25, 'ema1': 6, 'ema2': 53, 'slip_atr_k': 0.10095797230255427, 'slip_spread_k': 0.472277176451653, 'spread_hl_frac': 0.024656560286989666, 'bb_std_mult': 1.9243227697633292, 'rsi_os': 55, 'rsi_ob': 46, 'vol_spike': 0.13720251007086207, 'adx_thresh': 32.77873886066677, 'atr_min_pct': 0.007705220525093396, 'atr_max_pct': 0.11765427510315521, 'tp_mult': 1.2816340573981586, 'tsl_mult': 0.798959395616005, 'strategy': 'mean_reversion', 'time_stop': 154, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.9457063425855137, 'edge_cap': 0.7422936147959411, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.9790589229378377, 'bull_rsi_os': 42, 'bull_rsi_ob': 55, 'bull_adx_thresh': 18.738972608216425, 'bull_atr_min_pct': 0.0169827987779672, 'bull_atr_max_pct': 0.040467386255350395, 'bull_tp_mult': 1.0906034811613836, 'bull_tsl_mult': 0.19689797016110133, 'bull_time_stop': 75, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.256091065519708, 'bear_rsi_os': 43, 'bear_rsi_ob': 48, 'bear_adx_thresh': 21.300245292704748, 'bear_atr_min_pct': 0.018986970333629834, 'bear_atr_max_pct': 0.010206190372647098, 'bear_tp_mult': 2.376927883808371, 'bear_tsl_mult': 0.47723484912652314, 'bear_time_stop': 25, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.9000344508982518, 'sideways_rsi_os': 37, 'sideways_rsi_ob': 78, 'sideways_adx_thresh': 20.019803803769328, 'sideways_atr_min_pct': 0.0029669544114638434, 'sideways_atr_max_pct': 0.05238371231064166, 'sideways_tp_mult': 2.9465413808642476, 'sideways_tsl_mult': 0.48138882722333953, 'sideways_time_stop': 97, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:34:36,891] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 51, 'p_atr': 24, 'p_adx': 23, 'rsi_period': 83, 'ema1': 17, 'ema2': 50, 'slip_atr_k': 0.2336413960431881, 'slip_spread_k': 0.8728508938224949, 'spread_hl_frac': 0.008742396329316882, 'bb_std_mult': 1.4566004269372361, 'rsi_os': 15, 'rsi_ob': 74, 'vol_spike': 0.25285948412080544, 'adx_thresh': 20.987585910388066, 'atr_min_pct': 0.0006148225073017566, 'atr_max_pct': 0.018051344467597666, 'tp_mult': 2.177621817896293, 'tsl_mult': 0.4512344855225332, 'strategy': 'mean_reversion', 'time_stop': 150, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.1436879989009094, 'edge_cap': 0.9080999511059743, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.6036005318705155, 'bull_rsi_os': 40, 'bull_rsi_ob': 85, 'bull_adx_thresh': 33.83609287258323, 'bull_atr_min_pct': 0.011083769455054054, 'bull_atr_max_pct': 0.10335058126117694, 'bull_tp_mult': 1.7619488551415323, 'bull_tsl_mult': 0.3982781113297711, 'bull_time_stop': 261, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.540882005530712, 'bear_rsi_os': 51, 'bear_rsi_ob': 58, 'bear_adx_thresh': 27.7176527020882, 'bear_atr_min_pct': 0.02740030947905466, 'bear_atr_max_pct': 0.08606050511311437, 'bear_tp_mult': 1.3417765358673008, 'bear_tsl_mult': 0.1717649389532141, 'bear_time_stop': 260, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.7625290239245617, 'sideways_rsi_os': 48, 'sideways_rsi_ob': 86, 'sideways_adx_thresh': 29.99660377153244, 'sideways_atr_min_pct': 0.023356376715691473, 'sideways_atr_max_pct': 0.04253509255570436, 'sideways_tp_mult': 1.5406824392805594, 'sideways_tsl_mult': 0.9225077026239112, 'sideways_time_stop': 41, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 03:34:37,040] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 49, 'p_std': 41, 'p_atr': 23, 'p_adx': 14, 'rsi_period': 24, 'ema1': 22, 'ema2': 57, 'slip_atr_k': 0.23609503174232255, 'slip_spread_k': 0.4841390119814818, 'spread_hl_frac': 0.043002076798973526, 'bb_std_mult': 1.2324522588928954, 'rsi_os': 53, 'rsi_ob': 59, 'vol_spike': 0.05376388839868557, 'adx_thresh': 15.004674204619334, 'atr_min_pct': 0.0020347075117698697, 'atr_max_pct': 0.144154877150602, 'tp_mult': 1.5471168671810225, 'tsl_mult': 0.835914813629124, 'strategy': 'mean_reversion', 'time_stop': 184, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.10342285680467689, 'edge_cap': 0.9903738431090425, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.9186382968351652, 'bull_rsi_os': 28, 'bull_rsi_ob': 49, 'bull_adx_thresh': 21.0612409229896, 'bull_atr_min_pct': 0.017156676980778492, 'bull_atr_max_pct': 0.14390041297206693, 'bull_tp_mult': 2.7446080633798142, 'bull_tsl_mult': 0.41248103293182103, 'bull_time_stop': 33, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.7279673276896703, 'bear_rsi_os': 14, 'bear_rsi_ob': 91, 'bear_adx_thresh': 25.198747481393482, 'bear_atr_min_pct': 0.00952604508195926, 'bear_atr_max_pct': 0.1350859194082562, 'bear_tp_mult': 1.9075597653424585, 'bear_tsl_mult': 0.8987749764731405, 'bear_time_stop': 273, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.5003094198874827, 'sideways_rsi_os': 7, 'sideways_rsi_ob': 89, 'sideways_adx_thresh': 32.87075601711745, 'sideways_atr_min_pct': 0.006621103933342832, 'sideways_atr_max_pct': 0.04469402079466343, 'sideways_tp_mult': 1.4399981230781624, 'sideways_tsl_mult': 0.023621195558965136, 'sideways_time_stop': 167, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 03:34:37,113] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 14, 'p_atr': 24, 'p_adx': 7, 'rsi_period': 61, 'ema1': 21, 'ema2': 12, 'slip_atr_k': 0.11563127466787221, 'slip_spread_k': 0.834662526423545, 'spread_hl_frac': 0.02703881584942255, 'bb_std_mult': 0.840175699063627, 'rsi_os': 54, 'rsi_ob': 70, 'vol_spike': 0.03734035285711168, 'adx_thresh': 19.254516029822774, 'atr_min_pct': 0.0014242892523947891, 'atr_max_pct': 0.1440224259020273, 'tp_mult': 2.851701445374047, 'tsl_mult': 0.9715537042824013, 'strategy': 'mean_reversion', 'time_stop': 148, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.1402634561665175, 'edge_cap': 0.4606928616508307, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.6384125973686763, 'bull_rsi_os': 42, 'bull_rsi_ob': 57, 'bull_adx_thresh': 12.125512342192739, 'bull_atr_min_pct': 0.0057247769715116975, 'bull_atr_max_pct': 0.08484536475658983, 'bull_tp_mult': 1.986462277806349, 'bull_tsl_mult': 0.13671334418287906, 'bull_time_stop': 263, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.77022310167905, 'bear_rsi_os': 16, 'bear_rsi_ob': 46, 'bear_adx_thresh': 27.25728507788807, 'bear_atr_min_pct': 0.022275497971025935, 'bear_atr_max_pct': 0.14504486573498548, 'bear_tp_mult': 1.8564798436168308, 'bear_tsl_mult': 0.50507377713935, 'bear_time_stop': 255, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.738289398362013, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 72, 'sideways_adx_thresh': 10.370408263805293, 'sideways_atr_min_pct': 0.028707239750002944, 'sideways_atr_max_pct': 0.04391480148664297, 'sideways_tp_mult': 1.323533443985054, 'sideways_tsl_mult': 0.8895775175244649, 'sideways_time_stop': 226, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:34:38,581] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 57, 'p_atr': 26, 'p_adx': 30, 'rsi_period': 56, 'ema1': 14, 'ema2': 38, 'slip_atr_k': 0.1861498177313662, 'slip_spread_k': 0.3553227840354195, 'spread_hl_frac': 0.014917681298739256, 'bb_std_mult': 2.030323087791273, 'rsi_os': 20, 'rsi_ob': 93, 'vol_spike': 0.06036675749864296, 'adx_thresh': 13.609222237073741, 'atr_min_pct': 0.02011499838710284, 'atr_max_pct': 0.04734200461891631, 'tp_mult': 2.0884792954229745, 'tsl_mult': 0.5942215272747499, 'strategy': 'breakout', 'time_stop': 136, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.7510605328256474, 'edge_cap': 0.4222544666658492, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.3966620446390339, 'bull_rsi_os': 5, 'bull_rsi_ob': 86, 'bull_adx_thresh': 26.617764877741525, 'bull_atr_min_pct': 0.02610095504653925, 'bull_atr_max_pct': 0.11789800611569647, 'bull_tp_mult': 2.464676517447273, 'bull_tsl_mult': 0.3238153108578611, 'bull_time_stop': 74, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.823496582287658, 'bear_rsi_os': 18, 'bear_rsi_ob': 87, 'bear_adx_thresh': 9.847710371386576, 'bear_atr_min_pct': 0.02164513239730955, 'bear_atr_max_pct': 0.11500224624423433, 'bear_tp_mult': 2.92996063608925, 'bear_tsl_mult': 0.6510538250906828, 'bear_time_stop': 54, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.06146243248514, 'sideways_rsi_os': 25, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 28.50479588948138, 'sideways_atr_min_pct': 0.021370361845553968, 'sideways_atr_max_pct': 0.04144446856284758, 'sideways_tp_mult': 1.8625353052420361, 'sideways_tsl_mult': 0.06071144249999261, 'sideways_time_stop': 234, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 03:34:38,677] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 7, 'p_std': 31, 'p_atr': 12, 'p_adx': 14, 'rsi_period': 24, 'ema1': 14, 'ema2': 48, 'slip_atr_k': 0.15974595221370425, 'slip_spread_k': 0.6824288553278188, 'spread_hl_frac': 0.03489880721516026, 'bb_std_mult': 2.8615776113472515, 'rsi_os': 17, 'rsi_ob': 53, 'vol_spike': 0.012523404642876311, 'adx_thresh': 21.68449476193115, 'atr_min_pct': 0.028820856164955486, 'atr_max_pct': 0.13098251690309548, 'tp_mult': 2.884250554208306, 'tsl_mult': 0.03157118889348276, 'strategy': 'breakout', 'time_stop': 179, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4254105380201632, 'edge_cap': 0.9407571528894513, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.203685128558007, 'bull_rsi_os': 33, 'bull_rsi_ob': 74, 'bull_adx_thresh': 11.574645344344468, 'bull_atr_min_pct': 0.018391459577491262, 'bull_atr_max_pct': 0.1095828537557598, 'bull_tp_mult': 1.1991870454696687, 'bull_tsl_mult': 0.46347108092125167, 'bull_time_stop': 255, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.4768135864728644, 'bear_rsi_os': 51, 'bear_rsi_ob': 59, 'bear_adx_thresh': 31.07419423392615, 'bear_atr_min_pct': 0.02272032025667039, 'bear_atr_max_pct': 0.10655140893846647, 'bear_tp_mult': 1.4411541959621392, 'bear_tsl_mult': 0.05855180997285614, 'bear_time_stop': 296, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.4557008913393563, 'sideways_rsi_os': 53, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 6.4323600244155354, 'sideways_atr_min_pct': 0.00843841762844917, 'sideways_atr_max_pct': 0.10775974467488758, 'sideways_tp_mult': 2.7827454194257064, 'sideways_tsl_mult': 0.18326158164029183, 'sideways_time_stop': 284, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 03:34:38,888] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 33, 'p_std': 12, 'p_atr': 12, 'p_adx': 8, 'rsi_period': 22, 'ema1': 17, 'ema2': 14, 'slip_atr_k': 0.1185114079773639, 'slip_spread_k': 0.029044960389249752, 'spread_hl_frac': 0.006628998562696747, 'bb_std_mult': 2.7574386811816054, 'rsi_os': 17, 'rsi_ob': 68, 'vol_spike': 0.2786303338448489, 'adx_thresh': 29.653346828567255, 'atr_min_pct': 0.027551845337985843, 'atr_max_pct': 0.12443071416506214, 'tp_mult': 1.7355503353573358, 'tsl_mult': 0.9353179809395854, 'strategy': 'mean_reversion', 'time_stop': 17, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.6281840008065915, 'edge_cap': 0.7106494775719334, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.5871529729728118, 'bull_rsi_os': 11, 'bull_rsi_ob': 86, 'bull_adx_thresh': 30.211043339746123, 'bull_atr_min_pct': 0.028923502310508685, 'bull_atr_max_pct': 0.13906860820989336, 'bull_tp_mult': 2.249125491801447, 'bull_tsl_mult': 0.837981809369223, 'bull_time_stop': 45, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.5471448761351416, 'bear_rsi_os': 22, 'bear_rsi_ob': 66, 'bear_adx_thresh': 24.638967872167388, 'bear_atr_min_pct': 0.01169591166449242, 'bear_atr_max_pct': 0.11971879125706651, 'bear_tp_mult': 2.10402793817031, 'bear_tsl_mult': 0.6927741848194299, 'bear_time_stop': 254, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.2499530290855008, 'sideways_rsi_os': 7, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 34.95407646646138, 'sideways_atr_min_pct': 0.02684274442088609, 'sideways_atr_max_pct': 0.13379591950519598, 'sideways_tp_mult': 1.7854818221518958, 'sideways_tsl_mult': 0.5490914595778161, 'sideways_time_stop': 30, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 03:35:05,919] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 16, 'p_std': 22, 'p_atr': 11, 'p_adx': 21, 'rsi_period': 63, 'ema1': 23, 'ema2': 10, 'slip_atr_k': 0.24375705542781087, 'slip_spread_k': 0.8529622818006488, 'spread_hl_frac': 0.004201672338830481, 'bb_std_mult': 1.390794474009945, 'rsi_os': 20, 'rsi_ob': 75, 'vol_spike': 0.08907619581441767, 'adx_thresh': 20.046338189827402, 'atr_min_pct': 0.007323450558102137, 'atr_max_pct': 0.1354344990770757, 'tp_mult': 1.3656801058619794, 'tsl_mult': 0.9364335776525604, 'strategy': 'breakout', 'time_stop': 109, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.5402893813514318, 'edge_cap': 0.9586377871937559, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.0247190170454834, 'bull_rsi_os': 16, 'bull_rsi_ob': 69, 'bull_adx_thresh': 23.087155271816727, 'bull_atr_min_pct': 0.017748610215908553, 'bull_atr_max_pct': 0.044221089752342076, 'bull_tp_mult': 1.301277724663571, 'bull_tsl_mult': 0.3357831318519623, 'bull_time_stop': 24, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.391665685755214, 'bear_rsi_os': 37, 'bear_rsi_ob': 64, 'bear_adx_thresh': 26.39300585347658, 'bear_atr_min_pct': 0.028288816497394793, 'bear_atr_max_pct': 0.12875378505262317, 'bear_tp_mult': 1.1658027546388008, 'bear_tsl_mult': 0.32065343751605724, 'bear_time_stop': 65, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.6800785015612547, 'sideways_rsi_os': 32, 'sideways_rsi_ob': 47, 'sideways_adx_thresh': 25.175608770012012, 'sideways_atr_min_pct': 0.02503194028713312, 'sideways_atr_max_pct': 0.12323584054823739, 'sideways_tp_mult': 2.599818126302455, 'sideways_tsl_mult': 0.8338266320822532, 'sideways_time_stop': 145, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:35:08,118] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 17, 'p_std': 47, 'p_atr': 21, 'p_adx': 20, 'rsi_period': 76, 'ema1': 28, 'ema2': 41, 'slip_atr_k': 0.002738435905220271, 'slip_spread_k': 0.44487944278332114, 'spread_hl_frac': 0.039697829696586286, 'bb_std_mult': 0.971502760554397, 'rsi_os': 39, 'rsi_ob': 64, 'vol_spike': 0.11055323899536469, 'adx_thresh': 28.59335562681246, 'atr_min_pct': 0.008058041086958491, 'atr_max_pct': 0.06316089360065154, 'tp_mult': 2.8882017946810237, 'tsl_mult': 0.32134938775523414, 'strategy': 'mean_reversion', 'time_stop': 228, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.0469930835614358, 'edge_cap': 0.33008613268403947, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.9627095786206904, 'bull_rsi_os': 9, 'bull_rsi_ob': 83, 'bull_adx_thresh': 6.359674041643304, 'bull_atr_min_pct': 0.01649841229001891, 'bull_atr_max_pct': 0.04526186696865713, 'bull_tp_mult': 1.1457600481352976, 'bull_tsl_mult': 0.45198978296595926, 'bull_time_stop': 37, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.7002950546652174, 'bear_rsi_os': 44, 'bear_rsi_ob': 90, 'bear_adx_thresh': 23.831654337537902, 'bear_atr_min_pct': 0.005181424397087805, 'bear_atr_max_pct': 0.05580977542024102, 'bear_tp_mult': 1.6532090999689382, 'bear_tsl_mult': 0.6303322729537866, 'bear_time_stop': 146, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.576164095804567, 'sideways_rsi_os': 44, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 5.285433409384547, 'sideways_atr_min_pct': 0.020253011008913857, 'sideways_atr_max_pct': 0.1313486066726625, 'sideways_tp_mult': 2.219234163882854, 'sideways_tsl_mult': 0.2329800896700921, 'sideways_time_stop': 121, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:35:08,232] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 53, 'p_atr': 26, 'p_adx': 28, 'rsi_period': 69, 'ema1': 27, 'ema2': 51, 'slip_atr_k': 0.05642041186278113, 'slip_spread_k': 0.4766034471206404, 'spread_hl_frac': 0.031456297637162525, 'bb_std_mult': 2.2658650378252796, 'rsi_os': 9, 'rsi_ob': 71, 'vol_spike': 0.22520350245651233, 'adx_thresh': 23.490586225730322, 'atr_min_pct': 0.00116614094718262, 'atr_max_pct': 0.10366591156308189, 'tp_mult': 1.5509943198894727, 'tsl_mult': 0.8436918220963274, 'strategy': 'breakout', 'time_stop': 102, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4478513589515443, 'edge_cap': 0.9775688219400077, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.2530680343917675, 'bull_rsi_os': 35, 'bull_rsi_ob': 74, 'bull_adx_thresh': 5.806847678328689, 'bull_atr_min_pct': 0.014550447385177367, 'bull_atr_max_pct': 0.09926058442206923, 'bull_tp_mult': 2.789810149605745, 'bull_tsl_mult': 0.40006030027192774, 'bull_time_stop': 213, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.9700545160275356, 'bear_rsi_os': 28, 'bear_rsi_ob': 54, 'bear_adx_thresh': 23.223793116930814, 'bear_atr_min_pct': 0.023125803468987533, 'bear_atr_max_pct': 0.13420942435473504, 'bear_tp_mult': 2.0497230675665197, 'bear_tsl_mult': 0.8388839588840512, 'bear_time_stop': 140, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.0111729409129786, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 85, 'sideways_adx_thresh': 31.009051476314948, 'sideways_atr_min_pct': 0.0023047847284852385, 'sideways_atr_max_pct': 0.10400942950918526, 'sideways_tp_mult': 2.287108454183449, 'sideways_tsl_mult': 0.46491470284535674, 'sideways_time_stop': 79, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:35:08,362] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 48, 'p_atr': 15, 'p_adx': 7, 'rsi_period': 77, 'ema1': 22, 'ema2': 42, 'slip_atr_k': 0.002180567137490985, 'slip_spread_k': 0.3255617452190729, 'spread_hl_frac': 0.023923343182875475, 'bb_std_mult': 1.139570090348485, 'rsi_os': 31, 'rsi_ob': 72, 'vol_spike': 0.2394434542569761, 'adx_thresh': 5.832814677818271, 'atr_min_pct': 0.0008712339326896002, 'atr_max_pct': 0.055837609975496354, 'tp_mult': 2.7765729094571077, 'tsl_mult': 0.22468748245164982, 'strategy': 'breakout', 'time_stop': 170, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.6694933706699764, 'edge_cap': 0.16284114393016133, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7617325511082356, 'bull_rsi_os': 49, 'bull_rsi_ob': 45, 'bull_adx_thresh': 11.920356002940057, 'bull_atr_min_pct': 0.02508214840728858, 'bull_atr_max_pct': 0.12228475194158485, 'bull_tp_mult': 1.0779061796615694, 'bull_tsl_mult': 0.07890604983992211, 'bull_time_stop': 121, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.1040496305769225, 'bear_rsi_os': 14, 'bear_rsi_ob': 60, 'bear_adx_thresh': 6.248582614300057, 'bear_atr_min_pct': 0.020818434547508587, 'bear_atr_max_pct': 0.13851247137792075, 'bear_tp_mult': 1.0391693211800006, 'bear_tsl_mult': 0.8248406746050585, 'bear_time_stop': 188, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.5846609004318215, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 61, 'sideways_adx_thresh': 27.901251000013115, 'sideways_atr_min_pct': 0.01844801935235895, 'sideways_atr_max_pct': 0.03336227023193585, 'sideways_tp_mult': 1.9319327109154578, 'sideways_tsl_mult': 0.39485925628384244, 'sideways_time_stop': 218, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
