2025-08-31 03:03:18,871 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-31 03:03:18,881] A new study created in memory with name: no-name-7d806ef5-1496-4991-b14f-7168d3299ef8
[I 2025-08-31 03:03:18,896] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 24, 'p_std': 37, 'p_atr': 19, 'p_adx': 19, 'rsi_period': 8, 'ema1': 27, 'ema2': 29, 'slip_atr_k': 0.02644203093092007, 'slip_spread_k': 0.26287985220862653, 'spread_hl_frac': 0.03251780329998247, 'bb_std_mult': 2.0655147509399807, 'rsi_os': 22, 'rsi_ob': 50, 'vol_spike': 0.26359938832159646, 'adx_thresh': 6.981024730607464, 'atr_min_pct': 0.003835639764354487, 'atr_max_pct': 0.12474473737744278, 'tp_mult': 1.4949456038067324, 'tsl_mult': 0.4832079961747112, 'strategy': 'mean_reversion', 'time_stop': 160, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.9762401824258189, 'edge_cap': 0.8002953247111915, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.285672970616765, 'bull_rsi_os': 55, 'bull_rsi_ob': 81, 'bull_adx_thresh': 16.68264440106843, 'bull_atr_min_pct': 0.004130324571625537, 'bull_atr_max_pct': 0.025106228864737012, 'bull_tp_mult': 2.082754100403964, 'bull_tsl_mult': 0.7975421793929821, 'bull_time_stop': 25, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.2542044765466125, 'bear_rsi_os': 34, 'bear_rsi_ob': 83, 'bear_adx_thresh': 12.90490236259689, 'bear_atr_min_pct': 0.02703662161698341, 'bear_atr_max_pct': 0.09206932784665099, 'bear_tp_mult': 1.2795142938109278, 'bear_tsl_mult': 0.4177233169575383, 'bear_time_stop': 12, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.309657209536728, 'sideways_rsi_os': 46, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 24.522156136659746, 'sideways_atr_min_pct': 0.023685792757790435, 'sideways_atr_max_pct': 0.10373656212068749, 'sideways_tp_mult': 2.1027742343785008, 'sideways_tsl_mult': 0.6702941414749847, 'sideways_time_stop': 239, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 03:03:49,315] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 50, 'p_std': 31, 'p_atr': 8, 'p_adx': 9, 'rsi_period': 14, 'ema1': 17, 'ema2': 50, 'slip_atr_k': 0.09583729916207903, 'slip_spread_k': 0.12280243669587243, 'spread_hl_frac': 0.027329121586215095, 'bb_std_mult': 1.294260012286209, 'rsi_os': 39, 'rsi_ob': 54, 'vol_spike': 0.03785211725453832, 'adx_thresh': 27.913562832767248, 'atr_min_pct': 0.0121014740933714, 'atr_max_pct': 0.08329002967671498, 'tp_mult': 1.2882362663961135, 'tsl_mult': 0.4217010659279774, 'strategy': 'breakout', 'time_stop': 49, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.47853314269741154, 'edge_cap': 0.12163393653249517, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.968628689913971, 'bull_rsi_os': 45, 'bull_rsi_ob': 62, 'bull_adx_thresh': 21.746545560678467, 'bull_atr_min_pct': 0.009344898330401323, 'bull_atr_max_pct': 0.14941686591819248, 'bull_tp_mult': 2.5633184563647347, 'bull_tsl_mult': 0.5314642950051264, 'bull_time_stop': 57, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.3292456580322853, 'bear_rsi_os': 41, 'bear_rsi_ob': 91, 'bear_adx_thresh': 25.167053056929063, 'bear_atr_min_pct': 0.00798320004678638, 'bear_atr_max_pct': 0.06664741234122806, 'bear_tp_mult': 2.626439790125051, 'bear_tsl_mult': 0.5224066444824622, 'bear_time_stop': 84, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.6123454869104734, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 52, 'sideways_adx_thresh': 24.236742051623846, 'sideways_atr_min_pct': 0.01354044431268788, 'sideways_atr_max_pct': 0.11273005736574547, 'sideways_tp_mult': 1.3312162788610833, 'sideways_tsl_mult': 0.13317094656528872, 'sideways_time_stop': 73, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:03:49,706] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 16, 'p_std': 53, 'p_atr': 13, 'p_adx': 18, 'rsi_period': 12, 'ema1': 30, 'ema2': 49, 'slip_atr_k': 0.0775929721803269, 'slip_spread_k': 0.9418759619118132, 'spread_hl_frac': 0.001058405205926205, 'bb_std_mult': 3.263760869895617, 'rsi_os': 27, 'rsi_ob': 89, 'vol_spike': 0.27440411379656354, 'adx_thresh': 25.19663010241149, 'atr_min_pct': 0.016241218379727702, 'atr_max_pct': 0.06625236828788576, 'tp_mult': 1.6306362292059329, 'tsl_mult': 0.8648387070185356, 'strategy': 'breakout', 'time_stop': 273, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.3369548226656662, 'edge_cap': 0.5815222661289472, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.5849181128090737, 'bull_rsi_os': 44, 'bull_rsi_ob': 80, 'bull_adx_thresh': 10.251431397465735, 'bull_atr_min_pct': 0.026955704867414273, 'bull_atr_max_pct': 0.05598938226410225, 'bull_tp_mult': 2.357501020263564, 'bull_tsl_mult': 0.22791338921005466, 'bull_time_stop': 71, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.794874577379567, 'bear_rsi_os': 44, 'bear_rsi_ob': 48, 'bear_adx_thresh': 22.198244422777325, 'bear_atr_min_pct': 0.014092115498177352, 'bear_atr_max_pct': 0.024221180873573767, 'bear_tp_mult': 2.659187673432258, 'bear_tsl_mult': 0.6939893522065365, 'bear_time_stop': 74, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.0616472262597418, 'sideways_rsi_os': 7, 'sideways_rsi_ob': 68, 'sideways_adx_thresh': 30.23903793689368, 'sideways_atr_min_pct': 0.02119934406674546, 'sideways_atr_max_pct': 0.07453913212408207, 'sideways_tp_mult': 2.134939312258256, 'sideways_tsl_mult': 0.07383831410602215, 'sideways_time_stop': 109, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:03:50,376] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 16, 'p_atr': 18, 'p_adx': 8, 'rsi_period': 7, 'ema1': 28, 'ema2': 47, 'slip_atr_k': 0.10758717950296709, 'slip_spread_k': 0.8680245109992755, 'spread_hl_frac': 0.008089876859638679, 'bb_std_mult': 2.454230574692504, 'rsi_os': 39, 'rsi_ob': 56, 'vol_spike': 0.07936888365927286, 'adx_thresh': 9.34834335785126, 'atr_min_pct': 0.005951252962210918, 'atr_max_pct': 0.08519416460381476, 'tp_mult': 2.3126356199522484, 'tsl_mult': 0.0978224820616036, 'strategy': 'mean_reversion', 'time_stop': 30, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.6380431557947193, 'edge_cap': 0.3112159107044244, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.895534369723456, 'bull_rsi_os': 35, 'bull_rsi_ob': 64, 'bull_adx_thresh': 14.045826584888825, 'bull_atr_min_pct': 0.0043646832257724566, 'bull_atr_max_pct': 0.06269278579757885, 'bull_tp_mult': 1.2151681670964634, 'bull_tsl_mult': 0.8378229740782098, 'bull_time_stop': 57, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.554244055875801, 'bear_rsi_os': 53, 'bear_rsi_ob': 65, 'bear_adx_thresh': 6.161051800929148, 'bear_atr_min_pct': 0.010948394249542411, 'bear_atr_max_pct': 0.029426306002491267, 'bear_tp_mult': 1.2040258495711254, 'bear_tsl_mult': 0.7477551154050472, 'bear_time_stop': 190, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.0269572047764053, 'sideways_rsi_os': 53, 'sideways_rsi_ob': 86, 'sideways_adx_thresh': 6.6391147688445376, 'sideways_atr_min_pct': 0.020259073241089245, 'sideways_atr_max_pct': 0.08177330388840913, 'sideways_tp_mult': 1.7005189815499109, 'sideways_tsl_mult': 0.9710395559677475, 'sideways_time_stop': 256, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:03:50,991] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 27, 'p_atr': 10, 'p_adx': 20, 'rsi_period': 82, 'ema1': 15, 'ema2': 47, 'slip_atr_k': 0.1909930668053987, 'slip_spread_k': 0.6516971539641703, 'spread_hl_frac': 0.011006824460134146, 'bb_std_mult': 2.4833614855431456, 'rsi_os': 11, 'rsi_ob': 67, 'vol_spike': 0.23743904970138185, 'adx_thresh': 20.463757257906785, 'atr_min_pct': 0.014914716343087386, 'atr_max_pct': 0.020147387383483643, 'tp_mult': 1.6337700047197694, 'tsl_mult': 0.24026584425835418, 'strategy': 'breakout', 'time_stop': 204, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.6545787621704888, 'edge_cap': 0.842202269343519, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7524344860917986, 'bull_rsi_os': 22, 'bull_rsi_ob': 85, 'bull_adx_thresh': 24.123580056195923, 'bull_atr_min_pct': 0.02260071740096998, 'bull_atr_max_pct': 0.04678980428866949, 'bull_tp_mult': 2.4386834287629835, 'bull_tsl_mult': 0.1814105248187755, 'bull_time_stop': 279, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.6343334840449061, 'bear_rsi_os': 48, 'bear_rsi_ob': 80, 'bear_adx_thresh': 32.8368313583114, 'bear_atr_min_pct': 0.01774827163285987, 'bear_atr_max_pct': 0.10225892285098016, 'bear_tp_mult': 2.5502986206250466, 'bear_tsl_mult': 0.7913571005453556, 'bear_time_stop': 212, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.9656988796293953, 'sideways_rsi_os': 52, 'sideways_rsi_ob': 79, 'sideways_adx_thresh': 16.9171243976992, 'sideways_atr_min_pct': 0.00828419580794302, 'sideways_atr_max_pct': 0.07617738312115907, 'sideways_tp_mult': 1.366808906869796, 'sideways_tsl_mult': 0.9802596855844126, 'sideways_time_stop': 279, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 03:04:19,390] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 53, 'p_atr': 8, 'p_adx': 26, 'rsi_period': 61, 'ema1': 11, 'ema2': 33, 'slip_atr_k': 0.09574148784101119, 'slip_spread_k': 0.7723496742380312, 'spread_hl_frac': 0.025827628364261376, 'bb_std_mult': 1.3989148036556553, 'rsi_os': 41, 'rsi_ob': 82, 'vol_spike': 0.11912863433746507, 'adx_thresh': 29.533356594106547, 'atr_min_pct': 0.015936638483670693, 'atr_max_pct': 0.06260943084086741, 'tp_mult': 2.1497859666786763, 'tsl_mult': 0.6528214580614763, 'strategy': 'breakout', 'time_stop': 214, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.2550703902032623, 'edge_cap': 0.3721214829131715, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.4947198474453978, 'bull_rsi_os': 26, 'bull_rsi_ob': 52, 'bull_adx_thresh': 24.95120243411503, 'bull_atr_min_pct': 0.022955136876700505, 'bull_atr_max_pct': 0.06465185261419477, 'bull_tp_mult': 2.76625401195906, 'bull_tsl_mult': 0.548388385864311, 'bull_time_stop': 238, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.593021262030521, 'bear_rsi_os': 23, 'bear_rsi_ob': 92, 'bear_adx_thresh': 23.979801576435438, 'bear_atr_min_pct': 0.015773012833912442, 'bear_atr_max_pct': 0.05469949731259602, 'bear_tp_mult': 2.826228953936765, 'bear_tsl_mult': 0.0007954538369960851, 'bear_time_stop': 92, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.8750813547622315, 'sideways_rsi_os': 55, 'sideways_rsi_ob': 64, 'sideways_adx_thresh': 12.662940787317222, 'sideways_atr_min_pct': 0.012057662514696884, 'sideways_atr_max_pct': 0.13622052210563412, 'sideways_tp_mult': 2.4996257646519293, 'sideways_tsl_mult': 0.5672234587883099, 'sideways_time_stop': 132, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:04:19,738] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 39, 'p_std': 42, 'p_atr': 25, 'p_adx': 22, 'rsi_period': 56, 'ema1': 24, 'ema2': 30, 'slip_atr_k': 0.038253967013062246, 'slip_spread_k': 0.8699410334457053, 'spread_hl_frac': 0.04885094153157747, 'bb_std_mult': 3.52302411768631, 'rsi_os': 27, 'rsi_ob': 57, 'vol_spike': 0.29887227642412406, 'adx_thresh': 11.696292762235013, 'atr_min_pct': 0.01384266555965387, 'atr_max_pct': 0.08885564216539599, 'tp_mult': 2.682402625578155, 'tsl_mult': 0.34581501105621226, 'strategy': 'breakout', 'time_stop': 75, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.6842139220208237, 'edge_cap': 0.23743659243693915, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.3337322950570103, 'bull_rsi_os': 55, 'bull_rsi_ob': 64, 'bull_adx_thresh': 24.278242839425513, 'bull_atr_min_pct': 0.00022996929375345253, 'bull_atr_max_pct': 0.01889188544506793, 'bull_tp_mult': 2.632323874137916, 'bull_tsl_mult': 0.32465119289808353, 'bull_time_stop': 15, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.0263006097066547, 'bear_rsi_os': 26, 'bear_rsi_ob': 92, 'bear_adx_thresh': 24.38501295519077, 'bear_atr_min_pct': 0.02469088848069996, 'bear_atr_max_pct': 0.09369190315402993, 'bear_tp_mult': 1.3984095666700667, 'bear_tsl_mult': 0.4580642744193839, 'bear_time_stop': 169, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.0084233837878687, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 26.18292110743834, 'sideways_atr_min_pct': 0.00455688075146225, 'sideways_atr_max_pct': 0.11372535638837324, 'sideways_tp_mult': 1.9432419730083146, 'sideways_tsl_mult': 0.07375627548783126, 'sideways_time_stop': 223, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 03:04:20,383] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 38, 'p_atr': 23, 'p_adx': 9, 'rsi_period': 30, 'ema1': 12, 'ema2': 23, 'slip_atr_k': 0.15667330922481057, 'slip_spread_k': 0.6191867637299665, 'spread_hl_frac': 0.026501676388194242, 'bb_std_mult': 3.280977734976334, 'rsi_os': 14, 'rsi_ob': 65, 'vol_spike': 0.2932979328542276, 'adx_thresh': 32.47115844044213, 'atr_min_pct': 0.008203530321786827, 'atr_max_pct': 0.12607299901637628, 'tp_mult': 2.5626107825513302, 'tsl_mult': 0.545421715897811, 'strategy': 'breakout', 'time_stop': 38, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.4895518884218062, 'edge_cap': 0.16387557920146728, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7396703567270142, 'bull_rsi_os': 6, 'bull_rsi_ob': 92, 'bull_adx_thresh': 28.047836560838377, 'bull_atr_min_pct': 0.012435698921452142, 'bull_atr_max_pct': 0.0860988084536138, 'bull_tp_mult': 1.2804482287341705, 'bull_tsl_mult': 0.8226728444211769, 'bull_time_stop': 34, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.4043618545419503, 'bear_rsi_os': 40, 'bear_rsi_ob': 53, 'bear_adx_thresh': 29.00279269141294, 'bear_atr_min_pct': 0.020585540527418306, 'bear_atr_max_pct': 0.12316318660902681, 'bear_tp_mult': 1.2324594263591424, 'bear_tsl_mult': 0.5677760473453533, 'bear_time_stop': 148, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.3671156055445812, 'sideways_rsi_os': 28, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 30.645686716327518, 'sideways_atr_min_pct': 0.023390335544662178, 'sideways_atr_max_pct': 0.026166384614500635, 'sideways_tp_mult': 1.8532422636162758, 'sideways_tsl_mult': 0.2196760707444907, 'sideways_time_stop': 62, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 03:04:20,916] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 59, 'p_atr': 23, 'p_adx': 18, 'rsi_period': 76, 'ema1': 22, 'ema2': 58, 'slip_atr_k': 0.21973927764125614, 'slip_spread_k': 0.8108687299981068, 'spread_hl_frac': 0.01816040098583493, 'bb_std_mult': 1.1209514271953787, 'rsi_os': 19, 'rsi_ob': 79, 'vol_spike': 0.09099606137651971, 'adx_thresh': 30.770457760358934, 'atr_min_pct': 0.018236849139414802, 'atr_max_pct': 0.036788062318862724, 'tp_mult': 2.5394070708508036, 'tsl_mult': 0.4225207458248942, 'strategy': 'mean_reversion', 'time_stop': 134, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.925382699492949, 'edge_cap': 0.1426014986073415, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.5457294676539246, 'bull_rsi_os': 10, 'bull_rsi_ob': 62, 'bull_adx_thresh': 10.801329828588651, 'bull_atr_min_pct': 0.0144718443914083, 'bull_atr_max_pct': 0.028403794915993076, 'bull_tp_mult': 2.190938096786356, 'bull_tsl_mult': 0.5251167789003793, 'bull_time_stop': 63, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.8991147286681667, 'bear_rsi_os': 17, 'bear_rsi_ob': 49, 'bear_adx_thresh': 32.9531391278079, 'bear_atr_min_pct': 0.029850259932692486, 'bear_atr_max_pct': 0.0757411998073609, 'bear_tp_mult': 2.18178698289257, 'bear_tsl_mult': 0.15617786725244442, 'bear_time_stop': 51, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.2451359085290217, 'sideways_rsi_os': 51, 'sideways_rsi_ob': 59, 'sideways_adx_thresh': 6.825565533231344, 'sideways_atr_min_pct': 0.005553596135480038, 'sideways_atr_max_pct': 0.13807601512761952, 'sideways_tp_mult': 1.4086399067716124, 'sideways_tsl_mult': 0.3003023993638597, 'sideways_time_stop': 296, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:04:50,460] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 16, 'p_std': 5, 'p_atr': 21, 'p_adx': 25, 'rsi_period': 54, 'ema1': 18, 'ema2': 13, 'slip_atr_k': 0.06516171348001196, 'slip_spread_k': 0.3060823360785916, 'spread_hl_frac': 0.005888530971162065, 'bb_std_mult': 0.7173339433258504, 'rsi_os': 43, 'rsi_ob': 52, 'vol_spike': 0.034410270971697285, 'adx_thresh': 33.71838866352592, 'atr_min_pct': 0.022190543229024372, 'atr_max_pct': 0.03460576182453492, 'tp_mult': 2.4907309067557817, 'tsl_mult': 0.724526593291376, 'strategy': 'mean_reversion', 'time_stop': 70, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.14518205768990833, 'edge_cap': 0.24176217494969035, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7534557517864409, 'bull_rsi_os': 7, 'bull_rsi_ob': 61, 'bull_adx_thresh': 26.8733105083083, 'bull_atr_min_pct': 0.02965565718872678, 'bull_atr_max_pct': 0.0775570073384087, 'bull_tp_mult': 1.7508138467285919, 'bull_tsl_mult': 0.30617531117806374, 'bull_time_stop': 268, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.4106770241477515, 'bear_rsi_os': 23, 'bear_rsi_ob': 68, 'bear_adx_thresh': 32.854883970043524, 'bear_atr_min_pct': 0.0240360240755118, 'bear_atr_max_pct': 0.06237411689523488, 'bear_tp_mult': 2.4710280132471736, 'bear_tsl_mult': 0.29213684238424453, 'bear_time_stop': 15, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8143630465122299, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 88, 'sideways_adx_thresh': 34.264496156177024, 'sideways_atr_min_pct': 0.01593468151940773, 'sideways_atr_max_pct': 0.027275166985940673, 'sideways_tp_mult': 2.848451436930535, 'sideways_tsl_mult': 0.338705445723008, 'sideways_time_stop': 125, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-31 03:04:51,579] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 39, 'p_std': 43, 'p_atr': 12, 'p_adx': 30, 'rsi_period': 24, 'ema1': 9, 'ema2': 44, 'slip_atr_k': 0.24750811464502895, 'slip_spread_k': 0.3403720440627863, 'spread_hl_frac': 0.001316215887503458, 'bb_std_mult': 2.168413340052113, 'rsi_os': 21, 'rsi_ob': 87, 'vol_spike': 0.09672658199740518, 'adx_thresh': 29.47213662986816, 'atr_min_pct': 0.0027837722886334235, 'atr_max_pct': 0.03940988646606293, 'tp_mult': 2.230887784612819, 'tsl_mult': 0.10891142161140155, 'strategy': 'breakout', 'time_stop': 261, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.04534546318903332, 'edge_cap': 0.3480613193428471, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.9308494951260555, 'bull_rsi_os': 11, 'bull_rsi_ob': 66, 'bull_adx_thresh': 9.463413482229008, 'bull_atr_min_pct': 0.012222528587351025, 'bull_atr_max_pct': 0.08179982654859405, 'bull_tp_mult': 2.9338666551214696, 'bull_tsl_mult': 0.2418007303956884, 'bull_time_stop': 224, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.0765600480321216, 'bear_rsi_os': 49, 'bear_rsi_ob': 66, 'bear_adx_thresh': 13.224365509565079, 'bear_atr_min_pct': 0.015967017528120367, 'bear_atr_max_pct': 0.0729291147557213, 'bear_tp_mult': 2.0889770163043795, 'bear_tsl_mult': 0.18757311920676167, 'bear_time_stop': 65, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.1064114629531883, 'sideways_rsi_os': 6, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 32.54533193554912, 'sideways_atr_min_pct': 0.004760665256150689, 'sideways_atr_max_pct': 0.1252582780796167, 'sideways_tp_mult': 2.3746482668466684, 'sideways_tsl_mult': 0.45042097300257167, 'sideways_time_stop': 269, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
