2025-08-30 18:27:52,220 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 18:27:52,231] A new study created in memory with name: no-name-4f6e3348-6f4e-4040-b033-6f556f1b16c8
[I 2025-08-30 18:28:25,732] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 52, 'p_std': 29, 'p_atr': 30, 'p_adx': 11, 'rsi_period': 46, 'ema1': 20, 'ema2': 15, 'slip_atr_k': 0.03701664386601544, 'slip_spread_k': 0.4325180090244748, 'spread_hl_frac': 0.04324130670102732, 'bb_std_mult': 0.9604975033976553, 'rsi_os': 5, 'rsi_ob': 61, 'vol_spike': 0.18547564051789767, 'adx_thresh': 31.99334239319083, 'atr_min_pct': 0.007031939027572352, 'atr_max_pct': 0.14072870439830612, 'tp_mult': 1.8097218473786185, 'tsl_mult': 0.6830679881475833, 'strategy': 'breakout', 'time_stop': 139, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.3577786440072708, 'edge_cap': 0.7846217086735857, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.9571022625861552, 'bull_rsi_os': 52, 'bull_rsi_ob': 84, 'bull_adx_thresh': 8.26991967863515, 'bull_atr_min_pct': 0.019570296088046096, 'bull_atr_max_pct': 0.10912659496780526, 'bull_tp_mult': 2.4018671829746863, 'bull_tsl_mult': 0.8543442495268833, 'bull_time_stop': 62, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.267920341872204, 'bear_rsi_os': 42, 'bear_rsi_ob': 86, 'bear_adx_thresh': 26.294844235879324, 'bear_atr_min_pct': 0.026916358961874838, 'bear_atr_max_pct': 0.033809796531182434, 'bear_tp_mult': 2.692472252583564, 'bear_tsl_mult': 0.6775876970152712, 'bear_time_stop': 300, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.703913062044099, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 9.434287459865686, 'sideways_atr_min_pct': 0.008026657012961737, 'sideways_atr_max_pct': 0.06192679337759234, 'sideways_tp_mult': 2.974518578862435, 'sideways_tsl_mult': 0.9418582839471393, 'sideways_time_stop': 125, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:28:25,963] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 57, 'p_std': 15, 'p_atr': 10, 'p_adx': 25, 'rsi_period': 73, 'ema1': 7, 'ema2': 30, 'slip_atr_k': 0.06697940866686183, 'slip_spread_k': 0.048128356060401556, 'spread_hl_frac': 0.02830833237283616, 'bb_std_mult': 2.090566962750138, 'rsi_os': 29, 'rsi_ob': 85, 'vol_spike': 0.050985165602907764, 'adx_thresh': 29.94021467905903, 'atr_min_pct': 0.005351571167711317, 'atr_max_pct': 0.14466396200298592, 'tp_mult': 1.8452866915318202, 'tsl_mult': 0.32812117067699065, 'strategy': 'mean_reversion', 'time_stop': 68, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.1312659539164263, 'edge_cap': 0.4959800746487848, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.4252646418966148, 'bull_rsi_os': 15, 'bull_rsi_ob': 45, 'bull_adx_thresh': 6.165162347363351, 'bull_atr_min_pct': 0.005810972977157509, 'bull_atr_max_pct': 0.07090677878150552, 'bull_tp_mult': 1.903416051027669, 'bull_tsl_mult': 0.4310562291238017, 'bull_time_stop': 169, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.4100055021151476, 'bear_rsi_os': 49, 'bear_rsi_ob': 68, 'bear_adx_thresh': 27.390072008204825, 'bear_atr_min_pct': 0.004851587329539858, 'bear_atr_max_pct': 0.07443378151206201, 'bear_tp_mult': 1.262029403224867, 'bear_tsl_mult': 0.39553595661781327, 'bear_time_stop': 11, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.8256701509967748, 'sideways_rsi_os': 50, 'sideways_rsi_ob': 68, 'sideways_adx_thresh': 8.626894533252308, 'sideways_atr_min_pct': 0.018466017319530712, 'sideways_atr_max_pct': 0.12072025937074947, 'sideways_tp_mult': 1.2419938537295905, 'sideways_tsl_mult': 0.20676586387276064, 'sideways_time_stop': 140, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:28:26,107] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 43, 'p_std': 48, 'p_atr': 21, 'p_adx': 22, 'rsi_period': 32, 'ema1': 10, 'ema2': 53, 'slip_atr_k': 0.14025611916381073, 'slip_spread_k': 0.24644188795042143, 'spread_hl_frac': 0.026605509739390867, 'bb_std_mult': 2.81328933774864, 'rsi_os': 10, 'rsi_ob': 53, 'vol_spike': 0.2017056417663246, 'adx_thresh': 10.663419299471403, 'atr_min_pct': 0.018651482209297694, 'atr_max_pct': 0.0239654331068338, 'tp_mult': 2.4707022098611864, 'tsl_mult': 0.2960937758524729, 'strategy': 'mean_reversion', 'time_stop': 208, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.5504024605788813, 'edge_cap': 0.2161742485822038, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.8626482821989976, 'bull_rsi_os': 18, 'bull_rsi_ob': 77, 'bull_adx_thresh': 31.13136563019148, 'bull_atr_min_pct': 0.028903475824241243, 'bull_atr_max_pct': 0.07358478559426598, 'bull_tp_mult': 1.5508012999268024, 'bull_tsl_mult': 0.0009593036253465748, 'bull_time_stop': 296, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.7572185617689984, 'bear_rsi_os': 51, 'bear_rsi_ob': 94, 'bear_adx_thresh': 16.02221774188197, 'bear_atr_min_pct': 0.029937168953116336, 'bear_atr_max_pct': 0.06444271775832777, 'bear_tp_mult': 1.7893284112873227, 'bear_tsl_mult': 0.3641745961378561, 'bear_time_stop': 10, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.2553138028166504, 'sideways_rsi_os': 41, 'sideways_rsi_ob': 90, 'sideways_adx_thresh': 15.665960015476932, 'sideways_atr_min_pct': 0.018442776372991, 'sideways_atr_max_pct': 0.14497650757138467, 'sideways_tp_mult': 2.9961876563233547, 'sideways_tsl_mult': 0.43465615424664106, 'sideways_time_stop': 191, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 18:28:26,763] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 37, 'p_atr': 22, 'p_adx': 23, 'rsi_period': 40, 'ema1': 12, 'ema2': 14, 'slip_atr_k': 0.1422803479119486, 'slip_spread_k': 0.24442493075622929, 'spread_hl_frac': 0.04391086587052153, 'bb_std_mult': 3.503008481025093, 'rsi_os': 31, 'rsi_ob': 49, 'vol_spike': 0.08729245189546234, 'adx_thresh': 24.66747335490388, 'atr_min_pct': 0.009662306567514066, 'atr_max_pct': 0.029550910400747227, 'tp_mult': 2.6128746362462447, 'tsl_mult': 0.6413146496986768, 'strategy': 'breakout', 'time_stop': 146, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.1525264162283253, 'edge_cap': 0.598597793550239, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.503307968130744, 'bull_rsi_os': 41, 'bull_rsi_ob': 75, 'bull_adx_thresh': 21.82291075202345, 'bull_atr_min_pct': 0.012342703095594838, 'bull_atr_max_pct': 0.10160066623811537, 'bull_tp_mult': 2.151043338233133, 'bull_tsl_mult': 0.1740528910736766, 'bull_time_stop': 237, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.448596106378279, 'bear_rsi_os': 32, 'bear_rsi_ob': 81, 'bear_adx_thresh': 9.606706772971235, 'bear_atr_min_pct': 0.013789551329364646, 'bear_atr_max_pct': 0.03322278815070776, 'bear_tp_mult': 2.0628099016845933, 'bear_tsl_mult': 0.2798931452816529, 'bear_time_stop': 211, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.349431270695548, 'sideways_rsi_os': 34, 'sideways_rsi_ob': 83, 'sideways_adx_thresh': 30.002039852590183, 'sideways_atr_min_pct': 0.019607264440221525, 'sideways_atr_max_pct': 0.07197409838894754, 'sideways_tp_mult': 1.2363292623840607, 'sideways_tsl_mult': 0.980188633761422, 'sideways_time_stop': 196, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:28:57,891] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 21, 'p_std': 20, 'p_atr': 11, 'p_adx': 25, 'rsi_period': 75, 'ema1': 27, 'ema2': 48, 'slip_atr_k': 0.18062360931606566, 'slip_spread_k': 0.10524029930785395, 'spread_hl_frac': 0.025575945398114752, 'bb_std_mult': 2.0607762696992413, 'rsi_os': 31, 'rsi_ob': 62, 'vol_spike': 0.04779037061374806, 'adx_thresh': 21.99508969386727, 'atr_min_pct': 0.008555886788731759, 'atr_max_pct': 0.1196961359932274, 'tp_mult': 2.05024400939442, 'tsl_mult': 0.0507416775793883, 'strategy': 'mean_reversion', 'time_stop': 51, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.6724166664255684, 'edge_cap': 0.1680832106004826, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.013539325365269, 'bull_rsi_os': 7, 'bull_rsi_ob': 59, 'bull_adx_thresh': 34.954667977098985, 'bull_atr_min_pct': 0.0051326792073201405, 'bull_atr_max_pct': 0.11460157861133329, 'bull_tp_mult': 2.994362558928433, 'bull_tsl_mult': 0.7031786662843674, 'bull_time_stop': 82, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.8747809496654617, 'bear_rsi_os': 46, 'bear_rsi_ob': 74, 'bear_adx_thresh': 24.404577773313598, 'bear_atr_min_pct': 0.0030379787400964106, 'bear_atr_max_pct': 0.022862787753262982, 'bear_tp_mult': 1.823034138833725, 'bear_tsl_mult': 0.15493269293526435, 'bear_time_stop': 258, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.53798194081812, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 50, 'sideways_adx_thresh': 23.20669331335604, 'sideways_atr_min_pct': 0.02348706878147209, 'sideways_atr_max_pct': 0.1013460276698962, 'sideways_tp_mult': 2.538705742078443, 'sideways_tsl_mult': 0.41085963827084016, 'sideways_time_stop': 225, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:28:58,188] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 54, 'p_std': 15, 'p_atr': 29, 'p_adx': 13, 'rsi_period': 67, 'ema1': 30, 'ema2': 50, 'slip_atr_k': 0.16319401148937165, 'slip_spread_k': 0.3641603401813587, 'spread_hl_frac': 0.008885384663419815, 'bb_std_mult': 2.4617033676905606, 'rsi_os': 39, 'rsi_ob': 53, 'vol_spike': 0.0949083849349098, 'adx_thresh': 21.208790447617716, 'atr_min_pct': 0.021714623390541195, 'atr_max_pct': 0.1290318002787123, 'tp_mult': 1.5472096914149849, 'tsl_mult': 0.9192804408934818, 'strategy': 'breakout', 'time_stop': 261, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.9966422221367242, 'edge_cap': 0.784461472117818, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.9311944037235799, 'bull_rsi_os': 49, 'bull_rsi_ob': 72, 'bull_adx_thresh': 30.711036453025653, 'bull_atr_min_pct': 0.02519999889901039, 'bull_atr_max_pct': 0.10266915736554791, 'bull_tp_mult': 2.0750990422852587, 'bull_tsl_mult': 0.3254946941015985, 'bull_time_stop': 163, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.6616021331147497, 'bear_rsi_os': 31, 'bear_rsi_ob': 93, 'bear_adx_thresh': 32.3637814730888, 'bear_atr_min_pct': 0.022372895718308257, 'bear_atr_max_pct': 0.05963564776662423, 'bear_tp_mult': 2.088224679827617, 'bear_tsl_mult': 0.2526975507114686, 'bear_time_stop': 195, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.1537344341612497, 'sideways_rsi_os': 14, 'sideways_rsi_ob': 80, 'sideways_adx_thresh': 31.90676155708326, 'sideways_atr_min_pct': 0.009497336148659897, 'sideways_atr_max_pct': 0.09364251901226114, 'sideways_tp_mult': 1.2220770560493948, 'sideways_tsl_mult': 0.2961589341572679, 'sideways_time_stop': 104, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:28:58,204] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 40, 'p_std': 10, 'p_atr': 15, 'p_adx': 7, 'rsi_period': 83, 'ema1': 12, 'ema2': 37, 'slip_atr_k': 0.24354788866907787, 'slip_spread_k': 0.8464551362349644, 'spread_hl_frac': 0.02599220668245482, 'bb_std_mult': 2.9049368209949344, 'rsi_os': 54, 'rsi_ob': 73, 'vol_spike': 0.22947262735549762, 'adx_thresh': 28.561258102097646, 'atr_min_pct': 0.005264192781478054, 'atr_max_pct': 0.044139342159150774, 'tp_mult': 2.8945733389808463, 'tsl_mult': 0.20506059388722264, 'strategy': 'mean_reversion', 'time_stop': 155, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.1871987516511593, 'edge_cap': 0.9509346093477173, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.345856201987782, 'bull_rsi_os': 51, 'bull_rsi_ob': 69, 'bull_adx_thresh': 15.902856440629913, 'bull_atr_min_pct': 0.017244592529524372, 'bull_atr_max_pct': 0.11363830471801487, 'bull_tp_mult': 1.5919952935129686, 'bull_tsl_mult': 0.8881256902143934, 'bull_time_stop': 148, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.770093343952985, 'bear_rsi_os': 46, 'bear_rsi_ob': 78, 'bear_adx_thresh': 14.363737272645192, 'bear_atr_min_pct': 0.022452061567390873, 'bear_atr_max_pct': 0.1003356771379466, 'bear_tp_mult': 2.2097323142520393, 'bear_tsl_mult': 0.007441490222749536, 'bear_time_stop': 236, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.3285800737370574, 'sideways_rsi_os': 32, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 15.03152716722038, 'sideways_atr_min_pct': 0.028135705532148277, 'sideways_atr_max_pct': 0.09527129547996344, 'sideways_tp_mult': 1.4329016449910832, 'sideways_tsl_mult': 0.29660792759726495, 'sideways_time_stop': 114, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 18:28:58,780] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 17, 'p_atr': 9, 'p_adx': 13, 'rsi_period': 16, 'ema1': 18, 'ema2': 35, 'slip_atr_k': 0.2268286661972431, 'slip_spread_k': 0.9298433894928231, 'spread_hl_frac': 0.048692870986019314, 'bb_std_mult': 2.9384860234321, 'rsi_os': 39, 'rsi_ob': 60, 'vol_spike': 0.0651128711759165, 'adx_thresh': 18.585608083017725, 'atr_min_pct': 0.009989193912985684, 'atr_max_pct': 0.02793291130960173, 'tp_mult': 1.4952930744538695, 'tsl_mult': 0.44281429372124437, 'strategy': 'mean_reversion', 'time_stop': 187, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.7023066152066604, 'edge_cap': 0.26797611010110484, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.4059188386730725, 'bull_rsi_os': 46, 'bull_rsi_ob': 65, 'bull_adx_thresh': 11.406269115809573, 'bull_atr_min_pct': 0.008191836920726834, 'bull_atr_max_pct': 0.11366226371718492, 'bull_tp_mult': 2.6631830738951523, 'bull_tsl_mult': 0.701892058361662, 'bull_time_stop': 52, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.30539224291145, 'bear_rsi_os': 12, 'bear_rsi_ob': 60, 'bear_adx_thresh': 30.72183514707799, 'bear_atr_min_pct': 0.005631719176063331, 'bear_atr_max_pct': 0.14868301980686008, 'bear_tp_mult': 1.640793255114226, 'bear_tsl_mult': 0.07265166315821037, 'bear_time_stop': 45, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.862486530589371, 'sideways_rsi_os': 34, 'sideways_rsi_ob': 51, 'sideways_adx_thresh': 23.248479661573345, 'sideways_atr_min_pct': 0.011799525285555649, 'sideways_atr_max_pct': 0.10648456034832525, 'sideways_tp_mult': 2.843710770046355, 'sideways_tsl_mult': 0.8188715630830175, 'sideways_time_stop': 108, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:28:59,179] Trial 6 finished with values: [-0.0607159447591592, 0.06058061415267586] and parameters: {'p_sma': 26, 'p_std': 19, 'p_atr': 13, 'p_adx': 8, 'rsi_period': 66, 'ema1': 19, 'ema2': 60, 'slip_atr_k': 0.1805067657846468, 'slip_spread_k': 0.9264698138506358, 'spread_hl_frac': 0.02019139760522323, 'bb_std_mult': 1.5662902849964662, 'rsi_os': 14, 'rsi_ob': 75, 'vol_spike': 0.13734082859251306, 'adx_thresh': 25.77741147399607, 'atr_min_pct': 0.022751342420688485, 'atr_max_pct': 0.02641093904605663, 'tp_mult': 1.3409350404426708, 'tsl_mult': 0.8921194742895764, 'strategy': 'breakout', 'time_stop': 107, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9321800936079847, 'edge_cap': 0.22879115441012918, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.743990929605868, 'bull_rsi_os': 13, 'bull_rsi_ob': 52, 'bull_adx_thresh': 5.086782064936618, 'bull_atr_min_pct': 0.025786162910739725, 'bull_atr_max_pct': 0.13028898395863348, 'bull_tp_mult': 2.102320219435077, 'bull_tsl_mult': 0.7121483377327656, 'bull_time_stop': 109, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.566750364674426, 'bear_rsi_os': 46, 'bear_rsi_ob': 61, 'bear_adx_thresh': 16.781370939598414, 'bear_atr_min_pct': 0.0025233855062876706, 'bear_atr_max_pct': 0.14900163799685154, 'bear_tp_mult': 2.6507486420568487, 'bear_tsl_mult': 0.5517692642400412, 'bear_time_stop': 59, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.2815656165574296, 'sideways_rsi_os': 25, 'sideways_rsi_ob': 73, 'sideways_adx_thresh': 10.229602990121958, 'sideways_atr_min_pct': 0.029603479937993837, 'sideways_atr_max_pct': 0.01106828566386455, 'sideways_tp_mult': 1.0553508246787184, 'sideways_tsl_mult': 0.5688091955944852, 'sideways_time_stop': 296, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 18:29:29,442] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 40, 'p_std': 37, 'p_atr': 22, 'p_adx': 13, 'rsi_period': 9, 'ema1': 28, 'ema2': 18, 'slip_atr_k': 0.0009436089286849747, 'slip_spread_k': 0.23652778552016196, 'spread_hl_frac': 0.004436218024330496, 'bb_std_mult': 1.2963578534902895, 'rsi_os': 53, 'rsi_ob': 59, 'vol_spike': 0.15058763536861247, 'adx_thresh': 11.079925355880155, 'atr_min_pct': 0.019923493113355065, 'atr_max_pct': 0.08442616752305787, 'tp_mult': 1.5589312757817881, 'tsl_mult': 0.7423008053446597, 'strategy': 'breakout', 'time_stop': 19, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.07255982147293172, 'edge_cap': 0.5523925149462837, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.6524608536372476, 'bull_rsi_os': 14, 'bull_rsi_ob': 45, 'bull_adx_thresh': 24.81872097978756, 'bull_atr_min_pct': 0.027678407133575056, 'bull_atr_max_pct': 0.10112189185527662, 'bull_tp_mult': 1.7544331053051911, 'bull_tsl_mult': 0.2353406907527501, 'bull_time_stop': 242, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.0236744700273874, 'bear_rsi_os': 37, 'bear_rsi_ob': 91, 'bear_adx_thresh': 28.008266771355895, 'bear_atr_min_pct': 0.013774037318538605, 'bear_atr_max_pct': 0.11453105040508688, 'bear_tp_mult': 1.2344062620138228, 'bear_tsl_mult': 0.16382073428467192, 'bear_time_stop': 86, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.122018886412162, 'sideways_rsi_os': 43, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 33.10776815893385, 'sideways_atr_min_pct': 0.028848313759372947, 'sideways_atr_max_pct': 0.0662987823342624, 'sideways_tp_mult': 2.5008084732456237, 'sideways_tsl_mult': 0.03462224951435422, 'sideways_time_stop': 243, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:29:30,267] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 21, 'p_atr': 7, 'p_adx': 27, 'rsi_period': 70, 'ema1': 13, 'ema2': 59, 'slip_atr_k': 0.22226217835293657, 'slip_spread_k': 0.6432452468994758, 'spread_hl_frac': 0.04742152323111721, 'bb_std_mult': 3.403123067532414, 'rsi_os': 8, 'rsi_ob': 80, 'vol_spike': 0.1042528798393348, 'adx_thresh': 26.469987766809, 'atr_min_pct': 0.028145689317655976, 'atr_max_pct': 0.1376177897920733, 'tp_mult': 2.856560765799293, 'tsl_mult': 0.33182711043020785, 'strategy': 'mean_reversion', 'time_stop': 66, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.7318635901135035, 'edge_cap': 0.19224368372498826, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.2666082197707254, 'bull_rsi_os': 43, 'bull_rsi_ob': 92, 'bull_adx_thresh': 21.283669984751047, 'bull_atr_min_pct': 0.014708123760370386, 'bull_atr_max_pct': 0.12672460255449927, 'bull_tp_mult': 2.554737908248065, 'bull_tsl_mult': 0.7524639271717062, 'bull_time_stop': 8, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.5353557849607653, 'bear_rsi_os': 42, 'bear_rsi_ob': 78, 'bear_adx_thresh': 30.566606132757247, 'bear_atr_min_pct': 0.0167742570204811, 'bear_atr_max_pct': 0.02126460481676922, 'bear_tp_mult': 2.617169677218922, 'bear_tsl_mult': 0.7908558517961911, 'bear_time_stop': 108, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.54514832672374, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 91, 'sideways_adx_thresh': 12.695447153204126, 'sideways_atr_min_pct': 0.003980947815603447, 'sideways_atr_max_pct': 0.1267225962300446, 'sideways_tp_mult': 1.8014807518040443, 'sideways_tsl_mult': 0.6945917053553764, 'sideways_time_stop': 144, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
