2025-08-30 18:35:29,598 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 18:35:29,609] A new study created in memory with name: no-name-34f502e4-0af1-4937-97c7-7ecc878f8dac
[I 2025-08-30 18:36:02,180] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 37, 'p_std': 32, 'p_atr': 13, 'p_adx': 11, 'rsi_period': 80, 'ema1': 11, 'ema2': 31, 'slip_atr_k': 0.23779183037292478, 'slip_spread_k': 0.9414344421998478, 'spread_hl_frac': 0.049608509536839665, 'bb_std_mult': 2.524111960794119, 'rsi_os': 21, 'rsi_ob': 86, 'vol_spike': 0.015533453474140313, 'adx_thresh': 22.05527253796727, 'atr_min_pct': 0.0059830329764195755, 'atr_max_pct': 0.11386915607682241, 'tp_mult': 1.422538129710464, 'tsl_mult': 0.5490541466491415, 'strategy': 'mean_reversion', 'time_stop': 19, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.4533548352202763, 'edge_cap': 0.36646002104712544, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.3533426480964055, 'bull_rsi_os': 7, 'bull_rsi_ob': 84, 'bull_adx_thresh': 34.28524794945697, 'bull_atr_min_pct': 0.010396147793109108, 'bull_atr_max_pct': 0.08671947237590463, 'bull_tp_mult': 2.5429901555033125, 'bull_tsl_mult': 0.7432185234170292, 'bull_time_stop': 115, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.1308408864032387, 'bear_rsi_os': 7, 'bear_rsi_ob': 79, 'bear_adx_thresh': 15.214862525540156, 'bear_atr_min_pct': 0.021696540709132964, 'bear_atr_max_pct': 0.09397007953565148, 'bear_tp_mult': 1.4051944079286718, 'bear_tsl_mult': 0.07109013496932404, 'bear_time_stop': 212, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.044622024737644, 'sideways_rsi_os': 23, 'sideways_rsi_ob': 74, 'sideways_adx_thresh': 18.271664186117203, 'sideways_atr_min_pct': 0.026248145717105285, 'sideways_atr_max_pct': 0.13905239404997696, 'sideways_tp_mult': 2.9161711607398586, 'sideways_tsl_mult': 0.2635013260523661, 'sideways_time_stop': 178, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:36:02,293] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 13, 'p_std': 58, 'p_atr': 20, 'p_adx': 25, 'rsi_period': 21, 'ema1': 21, 'ema2': 13, 'slip_atr_k': 0.05955928808962771, 'slip_spread_k': 0.1839913698938198, 'spread_hl_frac': 0.01838973835690092, 'bb_std_mult': 2.911941642979272, 'rsi_os': 5, 'rsi_ob': 49, 'vol_spike': 0.01195037342697226, 'adx_thresh': 10.268358039359454, 'atr_min_pct': 0.007293143029580912, 'atr_max_pct': 0.0477865323306211, 'tp_mult': 2.412042683653421, 'tsl_mult': 0.1351883060229967, 'strategy': 'mean_reversion', 'time_stop': 40, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.844495360091659, 'edge_cap': 0.3559762784230187, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.5675128412458832, 'bull_rsi_os': 31, 'bull_rsi_ob': 46, 'bull_adx_thresh': 25.20164544103722, 'bull_atr_min_pct': 0.007725788633816965, 'bull_atr_max_pct': 0.05678839354471389, 'bull_tp_mult': 1.598897032422701, 'bull_tsl_mult': 0.5384140807061613, 'bull_time_stop': 186, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.9058278452880317, 'bear_rsi_os': 24, 'bear_rsi_ob': 49, 'bear_adx_thresh': 34.24993109369395, 'bear_atr_min_pct': 0.015232630382404444, 'bear_atr_max_pct': 0.07962914785318936, 'bear_tp_mult': 2.363670424506781, 'bear_tsl_mult': 0.021396730600133584, 'bear_time_stop': 28, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.140509834757003, 'sideways_rsi_os': 50, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 32.29258595011744, 'sideways_atr_min_pct': 0.006116703770440813, 'sideways_atr_max_pct': 0.036375895063664225, 'sideways_tp_mult': 1.717709296397574, 'sideways_tsl_mult': 0.04366239666825389, 'sideways_time_stop': 124, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 18:36:02,678] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 49, 'p_atr': 26, 'p_adx': 25, 'rsi_period': 42, 'ema1': 21, 'ema2': 22, 'slip_atr_k': 0.06483644980477193, 'slip_spread_k': 0.5740674208184421, 'spread_hl_frac': 0.02787178209148365, 'bb_std_mult': 2.7276957909033253, 'rsi_os': 19, 'rsi_ob': 56, 'vol_spike': 0.23654170279972767, 'adx_thresh': 25.024543416106493, 'atr_min_pct': 0.027636333461009324, 'atr_max_pct': 0.034945217956755745, 'tp_mult': 2.368635430569476, 'tsl_mult': 0.4255353046253857, 'strategy': 'mean_reversion', 'time_stop': 289, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.5659761001691053, 'edge_cap': 0.6258198043763038, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.8093148185776828, 'bull_rsi_os': 7, 'bull_rsi_ob': 66, 'bull_adx_thresh': 29.921850373132422, 'bull_atr_min_pct': 0.013298637425020637, 'bull_atr_max_pct': 0.04396936367286066, 'bull_tp_mult': 2.008041141921609, 'bull_tsl_mult': 0.5373936804143856, 'bull_time_stop': 167, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.656509301323109, 'bear_rsi_os': 7, 'bear_rsi_ob': 84, 'bear_adx_thresh': 20.720177877226238, 'bear_atr_min_pct': 0.022259492975188023, 'bear_atr_max_pct': 0.053120036933148866, 'bear_tp_mult': 2.425635955925672, 'bear_tsl_mult': 0.4958478407689344, 'bear_time_stop': 241, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.5881205992045877, 'sideways_rsi_os': 21, 'sideways_rsi_ob': 52, 'sideways_adx_thresh': 8.552012482779745, 'sideways_atr_min_pct': 0.01037892255902537, 'sideways_atr_max_pct': 0.01212471915219273, 'sideways_tp_mult': 2.87880514180128, 'sideways_tsl_mult': 0.23918096055689808, 'sideways_time_stop': 127, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 18:36:02,777] Trial 3 finished with values: [-0.018996131687742834, 0.01891773935212651] and parameters: {'p_sma': 40, 'p_std': 21, 'p_atr': 9, 'p_adx': 8, 'rsi_period': 37, 'ema1': 15, 'ema2': 26, 'slip_atr_k': 0.0735709272009421, 'slip_spread_k': 0.5135743135062003, 'spread_hl_frac': 0.026692024294783703, 'bb_std_mult': 0.9951440003480075, 'rsi_os': 39, 'rsi_ob': 61, 'vol_spike': 0.0026263786599838856, 'adx_thresh': 22.343400290054156, 'atr_min_pct': 0.012916108984569715, 'atr_max_pct': 0.13031165931918784, 'tp_mult': 2.408234337824733, 'tsl_mult': 0.17264339395062067, 'strategy': 'breakout', 'time_stop': 122, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.19572237692514283, 'edge_cap': 0.2907526183544805, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.0223156939438085, 'bull_rsi_os': 17, 'bull_rsi_ob': 77, 'bull_adx_thresh': 27.22686447706878, 'bull_atr_min_pct': 0.0023711018618606384, 'bull_atr_max_pct': 0.14290885365545475, 'bull_tp_mult': 2.073901498095824, 'bull_tsl_mult': 0.9652426255852639, 'bull_time_stop': 51, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.4442444548306947, 'bear_rsi_os': 52, 'bear_rsi_ob': 75, 'bear_adx_thresh': 26.840334204767284, 'bear_atr_min_pct': 0.016850775635260194, 'bear_atr_max_pct': 0.13807536338386095, 'bear_tp_mult': 1.8658331703962976, 'bear_tsl_mult': 0.31280197999921655, 'bear_time_stop': 22, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.7303756169786375, 'sideways_rsi_os': 20, 'sideways_rsi_ob': 60, 'sideways_adx_thresh': 9.357277979761363, 'sideways_atr_min_pct': 0.015795965611947946, 'sideways_atr_max_pct': 0.12457745366689493, 'sideways_tp_mult': 1.7255526752384325, 'sideways_tsl_mult': 0.41545747110660236, 'sideways_time_stop': 239, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:36:03,221] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 58, 'p_atr': 9, 'p_adx': 16, 'rsi_period': 70, 'ema1': 14, 'ema2': 59, 'slip_atr_k': 0.2106485026826635, 'slip_spread_k': 0.9456724073531356, 'spread_hl_frac': 0.04229152849306838, 'bb_std_mult': 2.9724921488708773, 'rsi_os': 15, 'rsi_ob': 53, 'vol_spike': 0.21169819520871577, 'adx_thresh': 10.185289660810422, 'atr_min_pct': 0.021344345340617132, 'atr_max_pct': 0.021420804934486372, 'tp_mult': 2.6236902463774316, 'tsl_mult': 0.023490787721212936, 'strategy': 'mean_reversion', 'time_stop': 68, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.1417248858216946, 'edge_cap': 0.7864042953811518, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.7056480276855326, 'bull_rsi_os': 41, 'bull_rsi_ob': 50, 'bull_adx_thresh': 29.236991028181453, 'bull_atr_min_pct': 0.02218960284841141, 'bull_atr_max_pct': 0.029062367127675636, 'bull_tp_mult': 1.9159400066382073, 'bull_tsl_mult': 0.8016355768573444, 'bull_time_stop': 236, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.0346579570104613, 'bear_rsi_os': 5, 'bear_rsi_ob': 49, 'bear_adx_thresh': 16.207991570784024, 'bear_atr_min_pct': 0.017164675053740416, 'bear_atr_max_pct': 0.13818811088279473, 'bear_tp_mult': 2.9567465122459407, 'bear_tsl_mult': 0.0173551934779137, 'bear_time_stop': 8, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.0082709228440971, 'sideways_rsi_os': 7, 'sideways_rsi_ob': 87, 'sideways_adx_thresh': 34.95133015624181, 'sideways_atr_min_pct': 0.01055866041695701, 'sideways_atr_max_pct': 0.07776986008140811, 'sideways_tp_mult': 2.5717172250502607, 'sideways_tsl_mult': 0.19528737492497716, 'sideways_time_stop': 217, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:36:34,488] Trial 7 finished with values: [-0.043491049412806015, 0.04332974949853699] and parameters: {'p_sma': 54, 'p_std': 5, 'p_atr': 25, 'p_adx': 30, 'rsi_period': 8, 'ema1': 26, 'ema2': 46, 'slip_atr_k': 0.17588667612090264, 'slip_spread_k': 0.19665913035425386, 'spread_hl_frac': 0.04920318382857767, 'bb_std_mult': 3.551583592323124, 'rsi_os': 36, 'rsi_ob': 89, 'vol_spike': 0.27749274301765653, 'adx_thresh': 10.375651506843246, 'atr_min_pct': 0.0012502761120978046, 'atr_max_pct': 0.09230837443581208, 'tp_mult': 2.2299617600265016, 'tsl_mult': 0.33206401607905345, 'strategy': 'mean_reversion', 'time_stop': 119, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.0959861836388096, 'edge_cap': 0.4329967321812381, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.7636274158724289, 'bull_rsi_os': 36, 'bull_rsi_ob': 49, 'bull_adx_thresh': 20.670326852355004, 'bull_atr_min_pct': 0.014427682549946967, 'bull_atr_max_pct': 0.11476478468383504, 'bull_tp_mult': 2.247637188969082, 'bull_tsl_mult': 0.5495888761911204, 'bull_time_stop': 211, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.88303938194847, 'bear_rsi_os': 14, 'bear_rsi_ob': 57, 'bear_adx_thresh': 10.502517918965479, 'bear_atr_min_pct': 0.0004290462242138027, 'bear_atr_max_pct': 0.08370011916749938, 'bear_tp_mult': 2.9363948645071245, 'bear_tsl_mult': 0.9684733704781827, 'bear_time_stop': 106, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.0143983837870225, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 90, 'sideways_adx_thresh': 10.340845060956942, 'sideways_atr_min_pct': 0.02912152959448224, 'sideways_atr_max_pct': 0.054114010453761296, 'sideways_tp_mult': 2.248397173714124, 'sideways_tsl_mult': 0.06875762937619201, 'sideways_time_stop': 234, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 18:36:35,375] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 42, 'p_atr': 22, 'p_adx': 26, 'rsi_period': 38, 'ema1': 14, 'ema2': 57, 'slip_atr_k': 0.2147134171971968, 'slip_spread_k': 0.5805639277050649, 'spread_hl_frac': 0.0165516620597415, 'bb_std_mult': 1.99645520772146, 'rsi_os': 31, 'rsi_ob': 60, 'vol_spike': 0.20856470206972463, 'adx_thresh': 6.756442152268734, 'atr_min_pct': 0.009995080724214591, 'atr_max_pct': 0.048816061258200906, 'tp_mult': 2.30705918480105, 'tsl_mult': 0.09640488324774699, 'strategy': 'breakout', 'time_stop': 21, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.883631023103269, 'edge_cap': 0.32853864614583783, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.7966648802560936, 'bull_rsi_os': 36, 'bull_rsi_ob': 47, 'bull_adx_thresh': 30.751003631041566, 'bull_atr_min_pct': 0.01648931308432525, 'bull_atr_max_pct': 0.02303519356326761, 'bull_tp_mult': 2.8558001293627857, 'bull_tsl_mult': 0.19010170752580902, 'bull_time_stop': 67, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.7282714198142473, 'bear_rsi_os': 44, 'bear_rsi_ob': 91, 'bear_adx_thresh': 17.981592825538144, 'bear_atr_min_pct': 0.021859791907839255, 'bear_atr_max_pct': 0.03970149227025481, 'bear_tp_mult': 1.4916291985352583, 'bear_tsl_mult': 0.9150337853647575, 'bear_time_stop': 194, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.4804113455400871, 'sideways_rsi_os': 26, 'sideways_rsi_ob': 51, 'sideways_adx_thresh': 13.150468061018639, 'sideways_atr_min_pct': 0.02816244170836094, 'sideways_atr_max_pct': 0.0831204564868051, 'sideways_tp_mult': 1.103639166120239, 'sideways_tsl_mult': 0.5028749090987041, 'sideways_time_stop': 179, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 18:36:35,419] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 52, 'p_atr': 17, 'p_adx': 28, 'rsi_period': 16, 'ema1': 9, 'ema2': 28, 'slip_atr_k': 0.11335066646898093, 'slip_spread_k': 0.7518079990317021, 'spread_hl_frac': 0.023389025183299453, 'bb_std_mult': 1.5744864284817606, 'rsi_os': 53, 'rsi_ob': 74, 'vol_spike': 0.03139799256677789, 'adx_thresh': 32.167296999398694, 'atr_min_pct': 0.024761802146370217, 'atr_max_pct': 0.08827293419997823, 'tp_mult': 1.4302388259122112, 'tsl_mult': 0.8240191792028679, 'strategy': 'mean_reversion', 'time_stop': 242, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9637452647478841, 'edge_cap': 0.6340607347807365, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.7754071022129965, 'bull_rsi_os': 21, 'bull_rsi_ob': 81, 'bull_adx_thresh': 8.111618028952378, 'bull_atr_min_pct': 0.003567348983158162, 'bull_atr_max_pct': 0.07090385662262746, 'bull_tp_mult': 1.692353403841758, 'bull_tsl_mult': 0.9574056774224783, 'bull_time_stop': 192, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5353251207198141, 'bear_rsi_os': 28, 'bear_rsi_ob': 59, 'bear_adx_thresh': 8.00188233196557, 'bear_atr_min_pct': 0.019980141900000307, 'bear_atr_max_pct': 0.09401729512567625, 'bear_tp_mult': 2.5928344283753737, 'bear_tsl_mult': 0.2128328526691402, 'bear_time_stop': 166, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.4845905505582433, 'sideways_rsi_os': 29, 'sideways_rsi_ob': 49, 'sideways_adx_thresh': 33.26007079943166, 'sideways_atr_min_pct': 0.010775827082959303, 'sideways_atr_max_pct': 0.1402258387110977, 'sideways_tp_mult': 2.4723221451650557, 'sideways_tsl_mult': 0.6985424021184096, 'sideways_time_stop': 266, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:36:35,660] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 11, 'p_std': 37, 'p_atr': 18, 'p_adx': 12, 'rsi_period': 9, 'ema1': 18, 'ema2': 33, 'slip_atr_k': 0.0583855119140288, 'slip_spread_k': 0.9388615498542422, 'spread_hl_frac': 0.02848601836113493, 'bb_std_mult': 2.802404193644046, 'rsi_os': 12, 'rsi_ob': 86, 'vol_spike': 0.04390276288653892, 'adx_thresh': 27.870006896149775, 'atr_min_pct': 0.01789527957566431, 'atr_max_pct': 0.019823064937631807, 'tp_mult': 1.794617804576948, 'tsl_mult': 0.04662768695439912, 'strategy': 'breakout', 'time_stop': 90, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7134697796078282, 'edge_cap': 0.26903137430776036, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.6675964266932854, 'bull_rsi_os': 8, 'bull_rsi_ob': 82, 'bull_adx_thresh': 7.209455324307465, 'bull_atr_min_pct': 0.00014495888169742453, 'bull_atr_max_pct': 0.12588750686677716, 'bull_tp_mult': 2.294909465679311, 'bull_tsl_mult': 0.2569608907406984, 'bull_time_stop': 9, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.563593769233068, 'bear_rsi_os': 29, 'bear_rsi_ob': 57, 'bear_adx_thresh': 31.493621136415413, 'bear_atr_min_pct': 0.006676375926436721, 'bear_atr_max_pct': 0.025981002610384704, 'bear_tp_mult': 2.8400890675019057, 'bear_tsl_mult': 0.6778586882358227, 'bear_time_stop': 298, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.1253699790071314, 'sideways_rsi_os': 16, 'sideways_rsi_ob': 88, 'sideways_adx_thresh': 31.00585569159969, 'sideways_atr_min_pct': 0.009713583463676862, 'sideways_atr_max_pct': 0.08887217825542913, 'sideways_tp_mult': 2.240961343472545, 'sideways_tsl_mult': 0.23488731567868548, 'sideways_time_stop': 260, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:36:35,680] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 51, 'p_atr': 30, 'p_adx': 17, 'rsi_period': 36, 'ema1': 18, 'ema2': 43, 'slip_atr_k': 0.03653300103433843, 'slip_spread_k': 0.04222528365757516, 'spread_hl_frac': 0.01929133713766587, 'bb_std_mult': 2.7843519002359867, 'rsi_os': 39, 'rsi_ob': 75, 'vol_spike': 0.09541846360870745, 'adx_thresh': 22.614569256095127, 'atr_min_pct': 0.003692401064071876, 'atr_max_pct': 0.08170272678176728, 'tp_mult': 1.0500489251432532, 'tsl_mult': 0.9173547033063909, 'strategy': 'breakout', 'time_stop': 106, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4383530635569568, 'edge_cap': 0.4498412489206893, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.419875173558743, 'bull_rsi_os': 28, 'bull_rsi_ob': 94, 'bull_adx_thresh': 28.60229806799099, 'bull_atr_min_pct': 0.0105210503499515, 'bull_atr_max_pct': 0.11104752323556853, 'bull_tp_mult': 1.9861538814827089, 'bull_tsl_mult': 0.32114808034604014, 'bull_time_stop': 52, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.5673249278562196, 'bear_rsi_os': 45, 'bear_rsi_ob': 67, 'bear_adx_thresh': 31.77775312980829, 'bear_atr_min_pct': 0.0017771912206268402, 'bear_atr_max_pct': 0.025810463741751423, 'bear_tp_mult': 2.20523342038902, 'bear_tsl_mult': 0.9931615739053468, 'bear_time_stop': 33, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.3347373198304346, 'sideways_rsi_os': 32, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 17.858051933857222, 'sideways_atr_min_pct': 0.02926264564874388, 'sideways_atr_max_pct': 0.12384496095642666, 'sideways_tp_mult': 2.598264431811578, 'sideways_tsl_mult': 0.47349421115145607, 'sideways_time_stop': 249, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 18:37:08,900] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 49, 'p_std': 45, 'p_atr': 16, 'p_adx': 12, 'rsi_period': 57, 'ema1': 7, 'ema2': 57, 'slip_atr_k': 0.0014631238082511155, 'slip_spread_k': 0.760844370242011, 'spread_hl_frac': 0.0003069535779178789, 'bb_std_mult': 3.0191032744991766, 'rsi_os': 51, 'rsi_ob': 69, 'vol_spike': 0.15136046007144657, 'adx_thresh': 23.238311473829974, 'atr_min_pct': 0.023425356792346044, 'atr_max_pct': 0.13080878435792073, 'tp_mult': 1.9932563773444536, 'tsl_mult': 0.38958206316101796, 'strategy': 'breakout', 'time_stop': 222, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.2614771379499718, 'edge_cap': 0.576443251290035, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.0820580996820963, 'bull_rsi_os': 37, 'bull_rsi_ob': 75, 'bull_adx_thresh': 19.762022556062536, 'bull_atr_min_pct': 0.020116620717838447, 'bull_atr_max_pct': 0.10282726189135753, 'bull_tp_mult': 2.5137552558579648, 'bull_tsl_mult': 0.14227205916704144, 'bull_time_stop': 101, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.7981334229805681, 'bear_rsi_os': 31, 'bear_rsi_ob': 94, 'bear_adx_thresh': 11.107579853825156, 'bear_atr_min_pct': 0.01791550300628715, 'bear_atr_max_pct': 0.14299590379106888, 'bear_tp_mult': 1.0526327321981737, 'bear_tsl_mult': 0.15836247347484134, 'bear_time_stop': 246, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.2175501816692367, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 69, 'sideways_adx_thresh': 10.006337480501935, 'sideways_atr_min_pct': 0.02984865326351333, 'sideways_atr_max_pct': 0.14343269047990673, 'sideways_tp_mult': 1.0577604367326798, 'sideways_tsl_mult': 0.7859793576253369, 'sideways_time_stop': 206, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
