2025-08-30 15:09:24,087 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 15:09:24,097] A new study created in memory with name: no-name-3bd3bc27-495a-411f-8180-c53fefe8061e
[I 2025-08-30 15:10:14,975] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 41, 'p_atr': 27, 'p_adx': 29, 'rsi_period': 21, 'ema1': 6, 'ema2': 34, 'slip_atr_k': 0.018086897286737985, 'slip_spread_k': 0.7602094417690546, 'spread_hl_frac': 0.01056233951344609, 'bb_std_mult': 3.5843926185767128, 'rsi_os': 44, 'rsi_ob': 92, 'vol_spike': 0.12117083066774773, 'adx_thresh': 5.642805955769125, 'atr_min_pct': 0.001007968508335243, 'atr_max_pct': 0.016012084465711774, 'tp_mult': 1.8110171080081958, 'tsl_mult': 0.10248122767143752, 'strategy': 'mean_reversion', 'time_stop': 69, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3687704562139769, 'edge_cap': 0.374824548941379, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.9768416579706731, 'bull_rsi_os': 49, 'bull_rsi_ob': 62, 'bull_adx_thresh': 32.704842023191894, 'bull_atr_min_pct': 0.02077739044979702, 'bull_atr_max_pct': 0.05455144733366815, 'bull_tp_mult': 2.162902041531866, 'bull_tsl_mult': 0.031199801191840848, 'bull_time_stop': 80, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.9685118979921494, 'bear_rsi_os': 8, 'bear_rsi_ob': 72, 'bear_adx_thresh': 8.864579936293325, 'bear_atr_min_pct': 0.02716462068795887, 'bear_atr_max_pct': 0.11143051741494761, 'bear_tp_mult': 1.0888048188605766, 'bear_tsl_mult': 0.3419527158150819, 'bear_time_stop': 120, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.2496308343105924, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 48, 'sideways_adx_thresh': 10.637075923511789, 'sideways_atr_min_pct': 0.013216279493302514, 'sideways_atr_max_pct': 0.11674000318133734, 'sideways_tp_mult': 1.3297757960402947, 'sideways_tsl_mult': 0.9188347318542925, 'sideways_time_stop': 76, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 15:10:15,142] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 55, 'p_atr': 16, 'p_adx': 28, 'rsi_period': 59, 'ema1': 8, 'ema2': 14, 'slip_atr_k': 0.0016141507004185929, 'slip_spread_k': 0.24139109818364046, 'spread_hl_frac': 0.04597700924289623, 'bb_std_mult': 2.8151249308570163, 'rsi_os': 53, 'rsi_ob': 67, 'vol_spike': 0.2384988110483491, 'adx_thresh': 10.043813402011237, 'atr_min_pct': 0.0064636448164645775, 'atr_max_pct': 0.01667163762149936, 'tp_mult': 1.7636916434500434, 'tsl_mult': 0.8276006803793196, 'strategy': 'mean_reversion', 'time_stop': 129, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.1786378966680882, 'edge_cap': 0.3816114919407063, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.979326616654134, 'bull_rsi_os': 48, 'bull_rsi_ob': 66, 'bull_adx_thresh': 14.092783782347526, 'bull_atr_min_pct': 0.018641591084203546, 'bull_atr_max_pct': 0.05161123578827682, 'bull_tp_mult': 1.4451441363513633, 'bull_tsl_mult': 0.03864736553637815, 'bull_time_stop': 208, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.243709080652742, 'bear_rsi_os': 48, 'bear_rsi_ob': 68, 'bear_adx_thresh': 28.35230365282805, 'bear_atr_min_pct': 0.006670161544853666, 'bear_atr_max_pct': 0.08665335804988124, 'bear_tp_mult': 1.3873806625587215, 'bear_tsl_mult': 0.23159332330979365, 'bear_time_stop': 193, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.1649819991655437, 'sideways_rsi_os': 24, 'sideways_rsi_ob': 76, 'sideways_adx_thresh': 8.324916055596972, 'sideways_atr_min_pct': 0.013268157232595437, 'sideways_atr_max_pct': 0.0650136240866896, 'sideways_tp_mult': 1.9479110044658998, 'sideways_tsl_mult': 0.7916154897864831, 'sideways_time_stop': 258, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 15:10:17,614] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 59, 'p_atr': 18, 'p_adx': 14, 'rsi_period': 54, 'ema1': 15, 'ema2': 50, 'slip_atr_k': 0.022206214448309447, 'slip_spread_k': 0.8988550870662285, 'spread_hl_frac': 0.03416214890929994, 'bb_std_mult': 2.7576910417232487, 'rsi_os': 32, 'rsi_ob': 77, 'vol_spike': 0.2980068546535528, 'adx_thresh': 15.088961764886154, 'atr_min_pct': 0.026437106636759154, 'atr_max_pct': 0.05372412440381147, 'tp_mult': 2.5113072100861378, 'tsl_mult': 0.9184622872103118, 'strategy': 'breakout', 'time_stop': 185, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.0552442218738223, 'edge_cap': 0.7099629257685423, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.2033196705156333, 'bull_rsi_os': 26, 'bull_rsi_ob': 64, 'bull_adx_thresh': 8.441319441763655, 'bull_atr_min_pct': 0.01473740737220097, 'bull_atr_max_pct': 0.1050691036943156, 'bull_tp_mult': 2.5355180995887943, 'bull_tsl_mult': 0.3018393203917883, 'bull_time_stop': 223, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.3297743146439702, 'bear_rsi_os': 8, 'bear_rsi_ob': 86, 'bear_adx_thresh': 9.279897405489745, 'bear_atr_min_pct': 0.016330129758334134, 'bear_atr_max_pct': 0.06761411161514, 'bear_tp_mult': 1.3325060830037438, 'bear_tsl_mult': 0.22773628931380707, 'bear_time_stop': 67, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.7251464109692187, 'sideways_rsi_os': 52, 'sideways_rsi_ob': 66, 'sideways_adx_thresh': 29.14119784436886, 'sideways_atr_min_pct': 0.003212142074599528, 'sideways_atr_max_pct': 0.08433600366068668, 'sideways_tp_mult': 1.7822111901068798, 'sideways_tsl_mult': 0.19762634574720472, 'sideways_time_stop': 175, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 15:10:17,631] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 36, 'p_atr': 21, 'p_adx': 14, 'rsi_period': 27, 'ema1': 22, 'ema2': 60, 'slip_atr_k': 0.09726929214625005, 'slip_spread_k': 0.6778741006211589, 'spread_hl_frac': 0.0012245418896490391, 'bb_std_mult': 3.3401810320646623, 'rsi_os': 29, 'rsi_ob': 57, 'vol_spike': 0.2781474228886831, 'adx_thresh': 20.478965644536004, 'atr_min_pct': 0.003130605216361285, 'atr_max_pct': 0.03187819776679385, 'tp_mult': 2.489912053734428, 'tsl_mult': 0.5532325213996001, 'strategy': 'breakout', 'time_stop': 142, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.90806280574218, 'edge_cap': 0.3527024367160928, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.5243588495258296, 'bull_rsi_os': 20, 'bull_rsi_ob': 77, 'bull_adx_thresh': 28.870720824021824, 'bull_atr_min_pct': 0.018044475768001982, 'bull_atr_max_pct': 0.0888489987554032, 'bull_tp_mult': 2.054106809384352, 'bull_tsl_mult': 0.2782723178744132, 'bull_time_stop': 258, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.954943237760799, 'bear_rsi_os': 43, 'bear_rsi_ob': 82, 'bear_adx_thresh': 26.9046316859692, 'bear_atr_min_pct': 0.014586877897446504, 'bear_atr_max_pct': 0.019244759170338598, 'bear_tp_mult': 2.6393058398505156, 'bear_tsl_mult': 0.7892171278657748, 'bear_time_stop': 40, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.4255027319926508, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 46, 'sideways_adx_thresh': 26.54501643246944, 'sideways_atr_min_pct': 0.005988686038349182, 'sideways_atr_max_pct': 0.12416544932039032, 'sideways_tp_mult': 2.071237949205211, 'sideways_tsl_mult': 0.6113873096767768, 'sideways_time_stop': 61, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 15:10:18,091] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 19, 'p_atr': 26, 'p_adx': 14, 'rsi_period': 19, 'ema1': 21, 'ema2': 44, 'slip_atr_k': 0.034717892531425515, 'slip_spread_k': 0.7080365949827858, 'spread_hl_frac': 0.03775755738040816, 'bb_std_mult': 2.613498615777075, 'rsi_os': 21, 'rsi_ob': 88, 'vol_spike': 0.21281378946575838, 'adx_thresh': 28.555112222541624, 'atr_min_pct': 0.010714669383687125, 'atr_max_pct': 0.05700590691311518, 'tp_mult': 2.608310947344003, 'tsl_mult': 0.7876869460750443, 'strategy': 'mean_reversion', 'time_stop': 258, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.01779732287916458, 'edge_cap': 0.7018089892135843, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.4813820269494564, 'bull_rsi_os': 32, 'bull_rsi_ob': 64, 'bull_adx_thresh': 8.054042737163964, 'bull_atr_min_pct': 0.011330259872768814, 'bull_atr_max_pct': 0.02766154196404194, 'bull_tp_mult': 2.9054671166058683, 'bull_tsl_mult': 0.9963266261215149, 'bull_time_stop': 58, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.464529018078345, 'bear_rsi_os': 40, 'bear_rsi_ob': 91, 'bear_adx_thresh': 21.121639135848234, 'bear_atr_min_pct': 0.029910141302434592, 'bear_atr_max_pct': 0.06914196834355164, 'bear_tp_mult': 2.107361540590543, 'bear_tsl_mult': 0.5236742719011114, 'bear_time_stop': 145, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.7428065116174716, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 62, 'sideways_adx_thresh': 8.699836771599243, 'sideways_atr_min_pct': 0.023459426708729542, 'sideways_atr_max_pct': 0.07125872982141125, 'sideways_tp_mult': 1.711588654101594, 'sideways_tsl_mult': 0.6819369351784687, 'sideways_time_stop': 275, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 15:11:03,315] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 53, 'p_std': 59, 'p_atr': 14, 'p_adx': 19, 'rsi_period': 81, 'ema1': 23, 'ema2': 29, 'slip_atr_k': 0.04370981917078587, 'slip_spread_k': 0.4467620905658365, 'spread_hl_frac': 0.0031066189837499814, 'bb_std_mult': 0.5851807723261147, 'rsi_os': 29, 'rsi_ob': 65, 'vol_spike': 0.0029283265969534456, 'adx_thresh': 7.905125010832393, 'atr_min_pct': 0.018334462662736313, 'atr_max_pct': 0.12046655096111285, 'tp_mult': 2.03469641977092, 'tsl_mult': 0.2872885247642504, 'strategy': 'mean_reversion', 'time_stop': 177, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.7030325967700588, 'edge_cap': 0.8912797805108132, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.9711829649296243, 'bull_rsi_os': 27, 'bull_rsi_ob': 66, 'bull_adx_thresh': 34.19172765512948, 'bull_atr_min_pct': 0.024243745652050584, 'bull_atr_max_pct': 0.13894812245665125, 'bull_tp_mult': 2.27515366403867, 'bull_tsl_mult': 0.917747644234236, 'bull_time_stop': 36, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.9977065000842529, 'bear_rsi_os': 28, 'bear_rsi_ob': 45, 'bear_adx_thresh': 27.587912430140673, 'bear_atr_min_pct': 0.010242848036702149, 'bear_atr_max_pct': 0.05869105837414761, 'bear_tp_mult': 2.0951547237797326, 'bear_tsl_mult': 0.5078957106693456, 'bear_time_stop': 91, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.0072589660924711, 'sideways_rsi_os': 47, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 26.360508017137555, 'sideways_atr_min_pct': 0.005164826853779063, 'sideways_atr_max_pct': 0.06460405726609193, 'sideways_tp_mult': 2.713552759769661, 'sideways_tsl_mult': 0.882240911220898, 'sideways_time_stop': 55, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 15:11:04,612] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 7, 'p_atr': 13, 'p_adx': 7, 'rsi_period': 52, 'ema1': 8, 'ema2': 59, 'slip_atr_k': 0.05029907319607499, 'slip_spread_k': 0.19069358509847578, 'spread_hl_frac': 0.013438485916360704, 'bb_std_mult': 3.2372648891776064, 'rsi_os': 14, 'rsi_ob': 63, 'vol_spike': 0.026650395212320998, 'adx_thresh': 14.680835484518862, 'atr_min_pct': 0.027756187810186968, 'atr_max_pct': 0.12689193668386578, 'tp_mult': 1.2157017870996913, 'tsl_mult': 0.030543546300619506, 'strategy': 'breakout', 'time_stop': 155, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.8282573684932366, 'edge_cap': 0.6860061534194765, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.740910851883626, 'bull_rsi_os': 28, 'bull_rsi_ob': 86, 'bull_adx_thresh': 8.13045353474711, 'bull_atr_min_pct': 0.004734478488990844, 'bull_atr_max_pct': 0.10406399972873784, 'bull_tp_mult': 1.338316942565256, 'bull_tsl_mult': 0.8274919862957314, 'bull_time_stop': 5, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.6453833691753326, 'bear_rsi_os': 24, 'bear_rsi_ob': 69, 'bear_adx_thresh': 6.107862082703738, 'bear_atr_min_pct': 0.02379530763306402, 'bear_atr_max_pct': 0.13895817855795273, 'bear_tp_mult': 2.5761850708458396, 'bear_tsl_mult': 0.3812493995783506, 'bear_time_stop': 160, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3775319876001373, 'sideways_rsi_os': 45, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 26.778911830402667, 'sideways_atr_min_pct': 0.010468036863317121, 'sideways_atr_max_pct': 0.029618879918924767, 'sideways_tp_mult': 1.4382972983333209, 'sideways_tsl_mult': 0.8270000638914126, 'sideways_time_stop': 127, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 15:11:07,088] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 44, 'p_atr': 14, 'p_adx': 24, 'rsi_period': 60, 'ema1': 20, 'ema2': 17, 'slip_atr_k': 0.12458425202825008, 'slip_spread_k': 0.38397280148806756, 'spread_hl_frac': 0.04777083325700036, 'bb_std_mult': 2.5168762933947706, 'rsi_os': 55, 'rsi_ob': 79, 'vol_spike': 0.002596315862059628, 'adx_thresh': 14.920378247097906, 'atr_min_pct': 0.020902412186953684, 'atr_max_pct': 0.12903105394828054, 'tp_mult': 1.1891557545538336, 'tsl_mult': 0.4903509589063526, 'strategy': 'breakout', 'time_stop': 268, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.4577671088976392, 'edge_cap': 0.7844546880901185, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.7088202334637544, 'bull_rsi_os': 29, 'bull_rsi_ob': 83, 'bull_adx_thresh': 26.62515624579019, 'bull_atr_min_pct': 0.023729306016198715, 'bull_atr_max_pct': 0.12758842347950117, 'bull_tp_mult': 1.955652469735283, 'bull_tsl_mult': 0.29152202813224415, 'bull_time_stop': 246, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.7104035541870781, 'bear_rsi_os': 17, 'bear_rsi_ob': 46, 'bear_adx_thresh': 12.80862578050593, 'bear_atr_min_pct': 0.022621266623520316, 'bear_atr_max_pct': 0.06550462961043949, 'bear_tp_mult': 1.9527237786868328, 'bear_tsl_mult': 0.5612243838997405, 'bear_time_stop': 115, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.8001365818536312, 'sideways_rsi_os': 20, 'sideways_rsi_ob': 95, 'sideways_adx_thresh': 19.64143941996442, 'sideways_atr_min_pct': 0.013731208910559598, 'sideways_atr_max_pct': 0.11090711221289531, 'sideways_tp_mult': 1.5604898437329486, 'sideways_tsl_mult': 0.271802100626214, 'sideways_time_stop': 155, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 15:11:08,009] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 8, 'p_std': 41, 'p_atr': 8, 'p_adx': 21, 'rsi_period': 24, 'ema1': 6, 'ema2': 46, 'slip_atr_k': 0.14993709157362073, 'slip_spread_k': 0.4940749437309575, 'spread_hl_frac': 0.028682543308781012, 'bb_std_mult': 2.3426050050037626, 'rsi_os': 54, 'rsi_ob': 50, 'vol_spike': 0.06444885196997026, 'adx_thresh': 29.236864784606823, 'atr_min_pct': 0.0030381636674427434, 'atr_max_pct': 0.13865103847485014, 'tp_mult': 1.0964637371327144, 'tsl_mult': 0.5663363189657521, 'strategy': 'breakout', 'time_stop': 159, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.10671011168968048, 'edge_cap': 0.1833253544618422, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.010908124677825, 'bull_rsi_os': 22, 'bull_rsi_ob': 62, 'bull_adx_thresh': 18.360521697392517, 'bull_atr_min_pct': 0.021853971915115077, 'bull_atr_max_pct': 0.06620192851950915, 'bull_tp_mult': 2.280066014919155, 'bull_tsl_mult': 0.7093235072251353, 'bull_time_stop': 197, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.255838466835199, 'bear_rsi_os': 6, 'bear_rsi_ob': 70, 'bear_adx_thresh': 28.375319008280385, 'bear_atr_min_pct': 0.002424603253116413, 'bear_atr_max_pct': 0.08992780592367303, 'bear_tp_mult': 1.8784948767779606, 'bear_tsl_mult': 0.6204203256607586, 'bear_time_stop': 259, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.8702916338105281, 'sideways_rsi_os': 51, 'sideways_rsi_ob': 83, 'sideways_adx_thresh': 28.77828834926226, 'sideways_atr_min_pct': 0.025943888266279018, 'sideways_atr_max_pct': 0.029932219385349585, 'sideways_tp_mult': 2.707406444208958, 'sideways_tsl_mult': 0.3687497331939117, 'sideways_time_stop': 267, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 15:11:49,014] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 44, 'p_std': 29, 'p_atr': 13, 'p_adx': 28, 'rsi_period': 72, 'ema1': 21, 'ema2': 16, 'slip_atr_k': 0.022106905606543076, 'slip_spread_k': 0.947074682330608, 'spread_hl_frac': 0.03479122437454149, 'bb_std_mult': 2.290462556980888, 'rsi_os': 27, 'rsi_ob': 67, 'vol_spike': 0.02412077167556079, 'adx_thresh': 6.64831910773329, 'atr_min_pct': 0.015861183809504045, 'atr_max_pct': 0.13808141352643669, 'tp_mult': 1.3077873899920736, 'tsl_mult': 0.5961739767927757, 'strategy': 'mean_reversion', 'time_stop': 36, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.8629178727447984, 'edge_cap': 0.0622843271629567, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.8021797550418002, 'bull_rsi_os': 18, 'bull_rsi_ob': 46, 'bull_adx_thresh': 12.100840130134134, 'bull_atr_min_pct': 0.003479649650618164, 'bull_atr_max_pct': 0.042200087739113455, 'bull_tp_mult': 2.0051051488923197, 'bull_tsl_mult': 0.8311789547470798, 'bull_time_stop': 239, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.093075948672636, 'bear_rsi_os': 43, 'bear_rsi_ob': 59, 'bear_adx_thresh': 29.048233101119642, 'bear_atr_min_pct': 0.027856460207308503, 'bear_atr_max_pct': 0.09325191851625377, 'bear_tp_mult': 1.624303360241437, 'bear_tsl_mult': 0.09932300362664992, 'bear_time_stop': 255, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.597670621289229, 'sideways_rsi_os': 47, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 27.01760063284875, 'sideways_atr_min_pct': 0.008390134472944557, 'sideways_atr_max_pct': 0.038205346782781244, 'sideways_tp_mult': 1.371035465989525, 'sideways_tsl_mult': 0.8583480480529894, 'sideways_time_stop': 232, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 15:11:50,813] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 55, 'p_std': 56, 'p_atr': 27, 'p_adx': 16, 'rsi_period': 29, 'ema1': 18, 'ema2': 33, 'slip_atr_k': 0.052739991958642374, 'slip_spread_k': 0.3939053362567747, 'spread_hl_frac': 0.0368532850973257, 'bb_std_mult': 3.0156685395353877, 'rsi_os': 18, 'rsi_ob': 68, 'vol_spike': 0.07095815478959487, 'adx_thresh': 10.321895681989105, 'atr_min_pct': 0.025620254596023035, 'atr_max_pct': 0.10429409430937896, 'tp_mult': 1.7960073171809061, 'tsl_mult': 0.8180973040363991, 'strategy': 'breakout', 'time_stop': 110, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2886100971077583, 'edge_cap': 0.12458055818137445, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.371672131506381, 'bull_rsi_os': 14, 'bull_rsi_ob': 49, 'bull_adx_thresh': 27.85579117474774, 'bull_atr_min_pct': 0.026445488882319842, 'bull_atr_max_pct': 0.049062111978622994, 'bull_tp_mult': 2.438779259325044, 'bull_tsl_mult': 0.6960836029320584, 'bull_time_stop': 251, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.880595666235308, 'bear_rsi_os': 41, 'bear_rsi_ob': 72, 'bear_adx_thresh': 23.742056111599037, 'bear_atr_min_pct': 0.028655704683542577, 'bear_atr_max_pct': 0.07127094887265009, 'bear_tp_mult': 1.03136248041195, 'bear_tsl_mult': 0.4816844495787965, 'bear_time_stop': 110, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.8344652280406804, 'sideways_rsi_os': 26, 'sideways_rsi_ob': 62, 'sideways_adx_thresh': 31.683209214485004, 'sideways_atr_min_pct': 0.0247821228151871, 'sideways_atr_max_pct': 0.12722262025262823, 'sideways_tp_mult': 2.980450837840961, 'sideways_tsl_mult': 0.5054787713441516, 'sideways_time_stop': 141, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
