number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 18.175674512064635, ""atr_max_pct"": 0.12959232581779576, ""atr_min_pct"": 0.010662291507250163, ""bb_std_mult"": 1.203149010198929, ""bear_adx_thresh"": 34.10753501412211, ""bear_atr_max_pct"": 0.07279770819417113, ""bear_atr_min_pct"": 0.018510049997277626, ""bear_bb_std_mult"": 2.7208120044868247, ""bear_rsi_ob"": 79, ""bear_rsi_os"": 54, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 239, ""bear_tp_mult"": 2.854013654681838, ""bear_tsl_mult"": 0.8207554568436449, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 30.504488835118572, ""bull_atr_max_pct"": 0.031136651244717276, ""bull_atr_min_pct"": 0.024144448228085258, ""bull_bb_std_mult"": 2.557023497041557, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 46, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 185, ""bull_tp_mult"": 1.3500220700285108, ""bull_tsl_mult"": 0.8119796928533859, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.20648160916098, ""edge_k"": 1.2558934692834625, ""ema1"": 22, ""ema2"": 53, ""p_adx"": 22, ""p_atr"": 7, ""p_sma"": 59, ""p_std"": 40, ""rsi_ob"": 69, ""rsi_os"": 25, ""rsi_period"": 47, ""rsi_required"": false, ""sideways_adx_thresh"": 5.600172874604359, ""sideways_atr_max_pct"": 0.13503986868269172, ""sideways_atr_min_pct"": 0.026384300633212187, ""sideways_bb_std_mult"": 3.1007279339583955, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 8, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 289, ""sideways_tp_mult"": 2.7768679926492816, ""sideways_tsl_mult"": 0.7787487854109423, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20918462093596327, ""slip_spread_k"": 0.9023495682526032, ""spread_hl_frac"": 0.031108889749824627, ""strategy"": ""mean_reversion"", ""time_stop"": 150, ""tp_mult"": 2.702072543913006, ""tsl_mult"": 0.45952487659751784, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.023271243448278543}"
1,0.000308696684878651,0.0,-1000000000.0,1000000000.0,0.000308696684878651,0.0,1.0,breakout,1,"{""adx_thresh"": 26.108650032012306, ""atr_max_pct"": 0.12161716016187159, ""atr_min_pct"": 0.015081729715474326, ""bb_std_mult"": 1.1458384513922057, ""bear_adx_thresh"": 31.242266868831006, ""bear_atr_max_pct"": 0.03754423424871434, ""bear_atr_min_pct"": 0.004193964428966319, ""bear_bb_std_mult"": 2.5555429404349606, ""bear_rsi_ob"": 77, ""bear_rsi_os"": 6, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 69, ""bear_tp_mult"": 1.2659369225120491, ""bear_tsl_mult"": 0.7185061991992433, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 29.220701012499884, ""bull_atr_max_pct"": 0.061315792863312686, ""bull_atr_min_pct"": 0.012865192727089463, ""bull_bb_std_mult"": 3.2116816632482363, ""bull_rsi_ob"": 74, ""bull_rsi_os"": 28, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 287, ""bull_tp_mult"": 1.2408534919528071, ""bull_tsl_mult"": 0.7651320521877171, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.9443069770947756, ""edge_k"": 0.6050327708340857, ""ema1"": 13, ""ema2"": 34, ""p_adx"": 11, ""p_atr"": 12, ""p_sma"": 40, ""p_std"": 17, ""rsi_ob"": 90, ""rsi_os"": 9, ""rsi_period"": 27, ""rsi_required"": false, ""sideways_adx_thresh"": 9.828233923291036, ""sideways_atr_max_pct"": 0.12668207121591427, ""sideways_atr_min_pct"": 0.002636963407621442, ""sideways_bb_std_mult"": 1.5899344212370425, ""sideways_rsi_ob"": 92, ""sideways_rsi_os"": 13, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 81, ""sideways_tp_mult"": 1.4495123160447476, ""sideways_tsl_mult"": 0.7707575690681407, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.07092189756981465, ""slip_spread_k"": 0.9640169648591415, ""spread_hl_frac"": 0.00991660736315906, ""strategy"": ""breakout"", ""time_stop"": 129, ""tp_mult"": 2.20052201434732, ""tsl_mult"": 0.04490710850367152, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25331830017668466}"
2,0.0017302578160183213,-0.0006704336312697742,-1000000000.0,1000000000.0,0.0017302578160183213,-0.0006704336312697742,13.0,mean_reversion,1,"{""adx_thresh"": 34.25201761813897, ""atr_max_pct"": 0.045839666288942156, ""atr_min_pct"": 0.019217375964755087, ""bb_std_mult"": 0.8299129478273347, ""bear_adx_thresh"": 9.038673683732064, ""bear_atr_max_pct"": 0.07969926660207695, ""bear_atr_min_pct"": 0.004221143945919769, ""bear_bb_std_mult"": 2.274500076512293, ""bear_rsi_ob"": 69, ""bear_rsi_os"": 23, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 22, ""bear_tp_mult"": 2.6085410940090745, ""bear_tsl_mult"": 0.2572080890544308, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.135556249685784, ""bull_atr_max_pct"": 0.016474313886451094, ""bull_atr_min_pct"": 0.007891366374266915, ""bull_bb_std_mult"": 1.7675213700358072, ""bull_rsi_ob"": 67, ""bull_rsi_os"": 48, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 100, ""bull_tp_mult"": 2.137731244407181, ""bull_tsl_mult"": 0.43331804681382224, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8588309822100668, ""edge_k"": 1.6221877312985766, ""ema1"": 17, ""ema2"": 45, ""p_adx"": 12, ""p_atr"": 24, ""p_sma"": 17, ""p_std"": 24, ""rsi_ob"": 95, ""rsi_os"": 32, ""rsi_period"": 43, ""rsi_required"": false, ""sideways_adx_thresh"": 25.47253375234969, ""sideways_atr_max_pct"": 0.06642056054894661, ""sideways_atr_min_pct"": 0.00558516688823383, ""sideways_bb_std_mult"": 1.145175311801116, ""sideways_rsi_ob"": 77, ""sideways_rsi_os"": 44, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 280, ""sideways_tp_mult"": 1.5059756541220586, ""sideways_tsl_mult"": 0.695678970888516, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.10511464728706824, ""slip_spread_k"": 0.7627515115191782, ""spread_hl_frac"": 0.04292111799348154, ""strategy"": ""mean_reversion"", ""time_stop"": 211, ""tp_mult"": 1.6724856191931046, ""tsl_mult"": 0.024815840424204594, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18956091731797825}"
3,-4.5306824661417444e-05,-0.000348859843483876,-1000000000.0,1000000000.0,-4.5306824661417444e-05,-0.000348859843483876,4.0,breakout,1,"{""adx_thresh"": 8.108498890165423, ""atr_max_pct"": 0.08781688466836202, ""atr_min_pct"": 0.01205928666402701, ""bb_std_mult"": 1.6554793740688363, ""bear_adx_thresh"": 8.396912569768727, ""bear_atr_max_pct"": 0.07486696173690463, ""bear_atr_min_pct"": 0.023766117957503385, ""bear_bb_std_mult"": 3.4402550582402562, ""bear_rsi_ob"": 90, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 188, ""bear_tp_mult"": 1.140825588545478, ""bear_tsl_mult"": 0.7946204750256862, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.467939530482823, ""bull_atr_max_pct"": 0.13643159936764257, ""bull_atr_min_pct"": 0.0068745161645760895, ""bull_bb_std_mult"": 1.6986860404875024, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 53, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 16, ""bull_tp_mult"": 2.525165361289094, ""bull_tsl_mult"": 0.7962842637992497, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.38504379231892866, ""edge_k"": 1.824008707905393, ""ema1"": 18, ""ema2"": 59, ""p_adx"": 15, ""p_atr"": 27, ""p_sma"": 26, ""p_std"": 39, ""rsi_ob"": 55, ""rsi_os"": 43, ""rsi_period"": 16, ""rsi_required"": false, ""sideways_adx_thresh"": 10.453237668063046, ""sideways_atr_max_pct"": 0.03449004157887398, ""sideways_atr_min_pct"": 0.029137733781891637, ""sideways_bb_std_mult"": 2.311223192543726, ""sideways_rsi_ob"": 80, ""sideways_rsi_os"": 33, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 175, ""sideways_tp_mult"": 1.5278156966751486, ""sideways_tsl_mult"": 0.29849249035044256, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.0980001889455884, ""slip_spread_k"": 0.9912917483240685, ""spread_hl_frac"": 0.04797025037624156, ""strategy"": ""breakout"", ""time_stop"": 157, ""tp_mult"": 2.9770607765484094, ""tsl_mult"": 0.6738465582710695, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.26466824481135454}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 29.698647087464074, ""atr_max_pct"": 0.08501502008404699, ""atr_min_pct"": 0.013148488699663853, ""bb_std_mult"": 1.530480143253994, ""bear_adx_thresh"": 31.368180585991922, ""bear_atr_max_pct"": 0.06252605805895728, ""bear_atr_min_pct"": 0.02054986884186747, ""bear_bb_std_mult"": 1.3958570474962617, ""bear_rsi_ob"": 87, ""bear_rsi_os"": 48, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 74, ""bear_tp_mult"": 2.0338745854946545, ""bear_tsl_mult"": 0.6084305302326687, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 25.2387602162998, ""bull_atr_max_pct"": 0.06391706201424394, ""bull_atr_min_pct"": 0.021870717336391465, ""bull_bb_std_mult"": 1.081817896650324, ""bull_rsi_ob"": 48, ""bull_rsi_os"": 5, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 54, ""bull_tp_mult"": 1.37223760272644, ""bull_tsl_mult"": 0.25527189498904734, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.14033286236089457, ""edge_k"": 0.9230842554386747, ""ema1"": 11, ""ema2"": 27, ""p_adx"": 18, ""p_atr"": 17, ""p_sma"": 34, ""p_std"": 18, ""rsi_ob"": 49, ""rsi_os"": 39, ""rsi_period"": 64, ""rsi_required"": false, ""sideways_adx_thresh"": 21.6684568422918, ""sideways_atr_max_pct"": 0.06417570133201762, ""sideways_atr_min_pct"": 0.008303282271477919, ""sideways_bb_std_mult"": 2.6610341491132314, ""sideways_rsi_ob"": 58, ""sideways_rsi_os"": 24, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 34, ""sideways_tp_mult"": 2.9066383925615664, ""sideways_tsl_mult"": 0.3992269885250618, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.025762077444017373, ""slip_spread_k"": 0.9330302410812321, ""spread_hl_frac"": 0.027757191914474916, ""strategy"": ""mean_reversion"", ""time_stop"": 164, ""tp_mult"": 1.8881578372377255, ""tsl_mult"": 0.25360126265724914, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05964589751976676}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 12.769233339084282, ""atr_max_pct"": 0.11327252857314536, ""atr_min_pct"": 0.02852730845706488, ""bb_std_mult"": 3.5310620742428664, ""bear_adx_thresh"": 16.26671192054537, ""bear_atr_max_pct"": 0.09624610461139718, ""bear_atr_min_pct"": 0.02101937351597907, ""bear_bb_std_mult"": 1.9812821917036116, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 29, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 269, ""bear_tp_mult"": 1.0827563305746548, ""bear_tsl_mult"": 0.6235636779498825, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 21.702409245515124, ""bull_atr_max_pct"": 0.07638166990725291, ""bull_atr_min_pct"": 0.016620142796410307, ""bull_bb_std_mult"": 3.2450450881909556, ""bull_rsi_ob"": 86, ""bull_rsi_os"": 47, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 70, ""bull_tp_mult"": 2.2071222750789774, ""bull_tsl_mult"": 0.8216244008955534, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6422755690081801, ""edge_k"": 1.8802768335194413, ""ema1"": 7, ""ema2"": 46, ""p_adx"": 10, ""p_atr"": 29, ""p_sma"": 54, ""p_std"": 54, ""rsi_ob"": 74, ""rsi_os"": 30, ""rsi_period"": 50, ""rsi_required"": true, ""sideways_adx_thresh"": 13.52480623097808, ""sideways_atr_max_pct"": 0.1124950885176019, ""sideways_atr_min_pct"": 0.014872325822072293, ""sideways_bb_std_mult"": 2.1836565225878455, ""sideways_rsi_ob"": 45, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 200, ""sideways_tp_mult"": 2.370943189992893, ""sideways_tsl_mult"": 0.5507061023315075, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.04836839597426704, ""slip_spread_k"": 0.21301521574676285, ""spread_hl_frac"": 0.02736649417151022, ""strategy"": ""mean_reversion"", ""time_stop"": 62, ""tp_mult"": 2.798815206177863, ""tsl_mult"": 0.6209325260052848, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20224216715545115}"
6,0.0003378709728369955,-0.00020382349507919246,-1000000000.0,1000000000.0,0.0003378709728369955,-0.00020382349507919246,7.0,mean_reversion,1,"{""adx_thresh"": 19.144541534100718, ""atr_max_pct"": 0.07003059041257342, ""atr_min_pct"": 0.01686952758625764, ""bb_std_mult"": 2.3658058288663324, ""bear_adx_thresh"": 28.854854031331723, ""bear_atr_max_pct"": 0.07738442827066963, ""bear_atr_min_pct"": 0.01412385304193412, ""bear_bb_std_mult"": 1.0800437661254942, ""bear_rsi_ob"": 88, ""bear_rsi_os"": 8, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 186, ""bear_tp_mult"": 2.397554636651716, ""bear_tsl_mult"": 0.02989469159228142, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 8.863986361880574, ""bull_atr_max_pct"": 0.06436566737470725, ""bull_atr_min_pct"": 0.007201209614884489, ""bull_bb_std_mult"": 1.8021687784341505, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 27, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 295, ""bull_tp_mult"": 2.655557294872844, ""bull_tsl_mult"": 0.8749202396273605, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.06148134714132572, ""edge_k"": 1.1342510953113967, ""ema1"": 29, ""ema2"": 44, ""p_adx"": 15, ""p_atr"": 9, ""p_sma"": 43, ""p_std"": 40, ""rsi_ob"": 78, ""rsi_os"": 9, ""rsi_period"": 84, ""rsi_required"": true, ""sideways_adx_thresh"": 26.826473937958554, ""sideways_atr_max_pct"": 0.032310251366675126, ""sideways_atr_min_pct"": 0.026130135595611115, ""sideways_bb_std_mult"": 0.9222470992636631, ""sideways_rsi_ob"": 87, ""sideways_rsi_os"": 29, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 23, ""sideways_tp_mult"": 2.7758410653929637, ""sideways_tsl_mult"": 0.5304434950637307, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.17049349899846278, ""slip_spread_k"": 0.43076634642281897, ""spread_hl_frac"": 0.03449013913190534, ""strategy"": ""mean_reversion"", ""time_stop"": 115, ""tp_mult"": 2.5124825872197265, ""tsl_mult"": 0.5628729970931582, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0747323190011105}"
7,-0.012029266580066755,-0.011927929517491062,-1000000000.0,1000000000.0,-0.012029266580066755,-0.011927929517491062,160.0,breakout,1,"{""adx_thresh"": 17.49216880320151, ""atr_max_pct"": 0.036067863570566884, ""atr_min_pct"": 0.015755720121414563, ""bb_std_mult"": 2.1159340998817875, ""bear_adx_thresh"": 13.546113479248566, ""bear_atr_max_pct"": 0.07878263553410772, ""bear_atr_min_pct"": 0.012746948535984123, ""bear_bb_std_mult"": 2.291635157404736, ""bear_rsi_ob"": 64, ""bear_rsi_os"": 22, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 158, ""bear_tp_mult"": 1.9229159815395458, ""bear_tsl_mult"": 0.22027665827911924, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 26.693910932048556, ""bull_atr_max_pct"": 0.07084374939940631, ""bull_atr_min_pct"": 0.008131880178436765, ""bull_bb_std_mult"": 1.4679749368444064, ""bull_rsi_ob"": 64, ""bull_rsi_os"": 8, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 164, ""bull_tp_mult"": 2.9848894024771724, ""bull_tsl_mult"": 0.7892155343759493, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.2427927298257793, ""edge_k"": 1.7269242481208136, ""ema1"": 25, ""ema2"": 55, ""p_adx"": 29, ""p_atr"": 21, ""p_sma"": 15, ""p_std"": 56, ""rsi_ob"": 78, ""rsi_os"": 12, ""rsi_period"": 57, ""rsi_required"": true, ""sideways_adx_thresh"": 18.40107343744536, ""sideways_atr_max_pct"": 0.054592284482034396, ""sideways_atr_min_pct"": 0.0004515087311208332, ""sideways_bb_std_mult"": 2.963826059827908, ""sideways_rsi_ob"": 57, ""sideways_rsi_os"": 37, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 53, ""sideways_tp_mult"": 1.68148511903361, ""sideways_tsl_mult"": 0.5078542712865657, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20334169332217109, ""slip_spread_k"": 0.6581524193889795, ""spread_hl_frac"": 0.0478608654356092, ""strategy"": ""breakout"", ""time_stop"": 11, ""tp_mult"": 1.118391174121851, ""tsl_mult"": 0.9886476068639518, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1603879758188554}"
8,-9.787533384009173e-05,0.0,-1000000000.0,1000000000.0,-9.787533384009173e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 5.9586363390275485, ""atr_max_pct"": 0.14550963427278182, ""atr_min_pct"": 0.00503342921053288, ""bb_std_mult"": 0.6351761134028668, ""bear_adx_thresh"": 28.38557159924766, ""bear_atr_max_pct"": 0.026274929591114105, ""bear_atr_min_pct"": 0.02602334331677785, ""bear_bb_std_mult"": 3.371960925624515, ""bear_rsi_ob"": 86, ""bear_rsi_os"": 30, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 81, ""bear_tp_mult"": 2.6679704735905374, ""bear_tsl_mult"": 0.9354915242649523, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 16.316641194308232, ""bull_atr_max_pct"": 0.03527441518978018, ""bull_atr_min_pct"": 0.012026206074008061, ""bull_bb_std_mult"": 1.5739460559414113, ""bull_rsi_ob"": 73, ""bull_rsi_os"": 41, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 101, ""bull_tp_mult"": 2.8836015466559735, ""bull_tsl_mult"": 0.9240495065910564, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.9355079355501905, ""edge_k"": 1.8706686545668167, ""ema1"": 6, ""ema2"": 58, ""p_adx"": 30, ""p_atr"": 12, ""p_sma"": 29, ""p_std"": 16, ""rsi_ob"": 64, ""rsi_os"": 36, ""rsi_period"": 58, ""rsi_required"": true, ""sideways_adx_thresh"": 8.521640277395978, ""sideways_atr_max_pct"": 0.09533002503923649, ""sideways_atr_min_pct"": 0.029666147745936847, ""sideways_bb_std_mult"": 2.5745125775221642, ""sideways_rsi_ob"": 76, ""sideways_rsi_os"": 21, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 262, ""sideways_tp_mult"": 1.7309002522007724, ""sideways_tsl_mult"": 0.892373942698266, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.20295353369111443, ""slip_spread_k"": 0.1057918665923937, ""spread_hl_frac"": 0.03875044635972433, ""strategy"": ""mean_reversion"", ""time_stop"": 52, ""tp_mult"": 1.757685580345551, ""tsl_mult"": 0.8734601030724538, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12755827474494216}"
9,-0.0012290568973696292,-0.001181586649527232,-1000000000.0,1000000000.0,-0.0012290568973696292,-0.001181586649527232,12.0,breakout,1,"{""adx_thresh"": 7.287724889200646, ""atr_max_pct"": 0.105464374447117, ""atr_min_pct"": 0.010531420577344023, ""bb_std_mult"": 1.9910276289414435, ""bear_adx_thresh"": 14.282251688407705, ""bear_atr_max_pct"": 0.06467060523332253, ""bear_atr_min_pct"": 0.026732372155080054, ""bear_bb_std_mult"": 3.0368909516751903, ""bear_rsi_ob"": 60, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 78, ""bear_tp_mult"": 2.3386748879200745, ""bear_tsl_mult"": 0.5758746983478863, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 8.09677494463617, ""bull_atr_max_pct"": 0.1482285567273808, ""bull_atr_min_pct"": 0.005444829001640927, ""bull_bb_std_mult"": 1.6677927072961092, ""bull_rsi_ob"": 60, ""bull_rsi_os"": 6, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 199, ""bull_tp_mult"": 1.5679272863821159, ""bull_tsl_mult"": 0.12285829516193725, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.187189381525588, ""edge_k"": 0.32260088645096263, ""ema1"": 30, ""ema2"": 37, ""p_adx"": 18, ""p_atr"": 13, ""p_sma"": 44, ""p_std"": 54, ""rsi_ob"": 48, ""rsi_os"": 50, ""rsi_period"": 53, ""rsi_required"": false, ""sideways_adx_thresh"": 18.804572444968404, ""sideways_atr_max_pct"": 0.14795801943967424, ""sideways_atr_min_pct"": 0.015535355275397419, ""sideways_bb_std_mult"": 1.4273465595866088, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 55, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 81, ""sideways_tp_mult"": 1.4854855762913295, ""sideways_tsl_mult"": 0.0985439594625086, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.14568180105032785, ""slip_spread_k"": 0.994245406942682, ""spread_hl_frac"": 0.04895351727794319, ""strategy"": ""breakout"", ""time_stop"": 140, ""tp_mult"": 1.0312764689903544, ""tsl_mult"": 0.6460728721423055, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2465869516005095}"
