number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 18.471035841680578, ""atr_max_pct"": 0.1478055219274769, ""atr_min_pct"": 0.028461280254186178, ""bb_std_mult"": 1.7391807476945291, ""bear_adx_thresh"": 24.8767817949457, ""bear_atr_max_pct"": 0.13722948695060458, ""bear_atr_min_pct"": 0.012184523967242527, ""bear_bb_std_mult"": 2.6635781380983192, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 19, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 282, ""bear_tp_mult"": 2.883327180099209, ""bear_tsl_mult"": 0.47014896209924295, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 24.420552737252695, ""bull_atr_max_pct"": 0.06759304425033806, ""bull_atr_min_pct"": 0.021947091190848762, ""bull_bb_std_mult"": 1.9658763036613713, ""bull_rsi_ob"": 87, ""bull_rsi_os"": 26, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 85, ""bull_tp_mult"": 2.679628640960918, ""bull_tsl_mult"": 0.31356463458065853, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.19761651870296137, ""edge_k"": 0.37928150826925267, ""ema1"": 21, ""ema2"": 41, ""p_adx"": 26, ""p_atr"": 28, ""p_sma"": 26, ""p_std"": 52, ""rsi_ob"": 47, ""rsi_os"": 10, ""rsi_period"": 36, ""rsi_required"": true, ""sideways_adx_thresh"": 22.057194856713785, ""sideways_atr_max_pct"": 0.11270453382716791, ""sideways_atr_min_pct"": 0.02538399179033787, ""sideways_bb_std_mult"": 2.931500318868286, ""sideways_rsi_ob"": 86, ""sideways_rsi_os"": 55, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 224, ""sideways_tp_mult"": 1.0392263179695589, ""sideways_tsl_mult"": 0.3616445457671178, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.24603561686334718, ""slip_spread_k"": 0.9803922728316741, ""spread_hl_frac"": 0.001663100084822683, ""strategy"": ""breakout"", ""time_stop"": 24, ""tp_mult"": 2.0855616630959, ""tsl_mult"": 0.4503783577838901, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.029400179691235248}"
1,-0.004083295533213072,-0.0037696235263599753,-1000000000.0,1000000000.0,-0.004083295533213072,-0.0037696235263599753,26.0,mean_reversion,1,"{""adx_thresh"": 34.45494218934447, ""atr_max_pct"": 0.10686706334070784, ""atr_min_pct"": 0.008808047494674322, ""bb_std_mult"": 2.4247148216877084, ""bear_adx_thresh"": 24.772305327165515, ""bear_atr_max_pct"": 0.0446290872471029, ""bear_atr_min_pct"": 0.0056494670298711065, ""bear_bb_std_mult"": 1.1214234367057243, ""bear_rsi_ob"": 59, ""bear_rsi_os"": 36, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 117, ""bear_tp_mult"": 2.3244325398908137, ""bear_tsl_mult"": 0.32929116981982964, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 23.415729517983223, ""bull_atr_max_pct"": 0.05954265064325849, ""bull_atr_min_pct"": 0.02840191241785681, ""bull_bb_std_mult"": 3.581841521334354, ""bull_rsi_ob"": 66, ""bull_rsi_os"": 11, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 250, ""bull_tp_mult"": 1.3996115081407867, ""bull_tsl_mult"": 0.019949535074727076, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.30125863071585407, ""edge_k"": 1.2083171795289571, ""ema1"": 23, ""ema2"": 40, ""p_adx"": 10, ""p_atr"": 13, ""p_sma"": 48, ""p_std"": 35, ""rsi_ob"": 66, ""rsi_os"": 17, ""rsi_period"": 10, ""rsi_required"": false, ""sideways_adx_thresh"": 10.15533211479556, ""sideways_atr_max_pct"": 0.11860516914711063, ""sideways_atr_min_pct"": 0.025648294835832995, ""sideways_bb_std_mult"": 1.77984548305504, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 240, ""sideways_tp_mult"": 1.521894075147197, ""sideways_tsl_mult"": 0.08762915847902131, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.023834318982749403, ""slip_spread_k"": 0.0975021364614681, ""spread_hl_frac"": 0.016660294074586364, ""strategy"": ""mean_reversion"", ""time_stop"": 83, ""tp_mult"": 2.3614752574362488, ""tsl_mult"": 0.23559906127888075, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15324177778559114}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 9.525527101056534, ""atr_max_pct"": 0.08804096081468504, ""atr_min_pct"": 0.026519755889512574, ""bb_std_mult"": 1.9841287293346959, ""bear_adx_thresh"": 32.90976900176735, ""bear_atr_max_pct"": 0.08297981855978556, ""bear_atr_min_pct"": 0.008838407788174386, ""bear_bb_std_mult"": 3.491544066722843, ""bear_rsi_ob"": 68, ""bear_rsi_os"": 12, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 211, ""bear_tp_mult"": 1.2033511793865586, ""bear_tsl_mult"": 0.07179107568325949, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 15.22179190564776, ""bull_atr_max_pct"": 0.09560208820626186, ""bull_atr_min_pct"": 0.012746392955110958, ""bull_bb_std_mult"": 3.3698550364448105, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 20, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 46, ""bull_tp_mult"": 1.3736843717745868, ""bull_tsl_mult"": 0.6579483664182663, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.578874009776173, ""edge_k"": 0.9617916660668566, ""ema1"": 28, ""ema2"": 39, ""p_adx"": 9, ""p_atr"": 10, ""p_sma"": 13, ""p_std"": 47, ""rsi_ob"": 84, ""rsi_os"": 9, ""rsi_period"": 81, ""rsi_required"": true, ""sideways_adx_thresh"": 26.135461069338444, ""sideways_atr_max_pct"": 0.05610229518452385, ""sideways_atr_min_pct"": 0.015366182842387726, ""sideways_bb_std_mult"": 1.1839171306214544, ""sideways_rsi_ob"": 52, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 58, ""sideways_tp_mult"": 2.7326570982943865, ""sideways_tsl_mult"": 0.678430283179726, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.06770979996015855, ""slip_spread_k"": 0.3906702534894536, ""spread_hl_frac"": 0.035906292143314554, ""strategy"": ""breakout"", ""time_stop"": 247, ""tp_mult"": 2.759548301654419, ""tsl_mult"": 0.1408994387591045, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22683558049024877}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 13.53997054953455, ""atr_max_pct"": 0.1369493470977706, ""atr_min_pct"": 0.019619268191528025, ""bb_std_mult"": 1.910436024037429, ""bear_adx_thresh"": 7.357654174703501, ""bear_atr_max_pct"": 0.13349895182586835, ""bear_atr_min_pct"": 0.02452978127118864, ""bear_bb_std_mult"": 0.8566914050725425, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 40, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 209, ""bear_tp_mult"": 1.412140478862747, ""bear_tsl_mult"": 0.5895948875050585, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 10.093329346237095, ""bull_atr_max_pct"": 0.13548125541660064, ""bull_atr_min_pct"": 0.022187972292189904, ""bull_bb_std_mult"": 1.5670445211088395, ""bull_rsi_ob"": 68, ""bull_rsi_os"": 36, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 216, ""bull_tp_mult"": 1.2816633985149515, ""bull_tsl_mult"": 0.5683291971693387, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8515968324825107, ""edge_k"": 0.15075151736173753, ""ema1"": 17, ""ema2"": 53, ""p_adx"": 27, ""p_atr"": 21, ""p_sma"": 30, ""p_std"": 29, ""rsi_ob"": 87, ""rsi_os"": 24, ""rsi_period"": 25, ""rsi_required"": false, ""sideways_adx_thresh"": 22.41242255850764, ""sideways_atr_max_pct"": 0.09759865499267147, ""sideways_atr_min_pct"": 0.02381823585116618, ""sideways_bb_std_mult"": 1.0173276558556317, ""sideways_rsi_ob"": 59, ""sideways_rsi_os"": 28, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 19, ""sideways_tp_mult"": 1.0174763364228283, ""sideways_tsl_mult"": 0.6604352728597045, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.15157834780945809, ""slip_spread_k"": 0.08024402764249206, ""spread_hl_frac"": 0.016509889723032547, ""strategy"": ""mean_reversion"", ""time_stop"": 36, ""tp_mult"": 1.58323642023382, ""tsl_mult"": 0.5306696449602468, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.21016391835147627}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.34529198153348, ""atr_max_pct"": 0.08953640018343477, ""atr_min_pct"": 0.01603629879710083, ""bb_std_mult"": 3.2802911830471357, ""bear_adx_thresh"": 22.59523528258397, ""bear_atr_max_pct"": 0.12272821428627151, ""bear_atr_min_pct"": 0.0024554193060119544, ""bear_bb_std_mult"": 2.417393162095398, ""bear_rsi_ob"": 52, ""bear_rsi_os"": 43, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 46, ""bear_tp_mult"": 2.107270498130947, ""bear_tsl_mult"": 0.6787217304421631, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 33.32191975929801, ""bull_atr_max_pct"": 0.026257324193759105, ""bull_atr_min_pct"": 0.019698719359059893, ""bull_bb_std_mult"": 1.4842922824451164, ""bull_rsi_ob"": 56, ""bull_rsi_os"": 32, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 294, ""bull_tp_mult"": 2.029437162626943, ""bull_tsl_mult"": 0.3617973221163112, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.07538019050351275, ""edge_k"": 0.991873557238004, ""ema1"": 22, ""ema2"": 29, ""p_adx"": 7, ""p_atr"": 16, ""p_sma"": 26, ""p_std"": 40, ""rsi_ob"": 47, ""rsi_os"": 32, ""rsi_period"": 14, ""rsi_required"": false, ""sideways_adx_thresh"": 30.111130462851946, ""sideways_atr_max_pct"": 0.03364778160794636, ""sideways_atr_min_pct"": 0.018920054206913558, ""sideways_bb_std_mult"": 2.9349141646804022, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 16, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 157, ""sideways_tp_mult"": 2.0434097627052092, ""sideways_tsl_mult"": 0.6661962175241937, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1835366035136972, ""slip_spread_k"": 0.3058593567508894, ""spread_hl_frac"": 0.03881950114452318, ""strategy"": ""mean_reversion"", ""time_stop"": 135, ""tp_mult"": 2.893817360912299, ""tsl_mult"": 0.9841188450506556, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24620101747445866}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 13.318642456723763, ""atr_max_pct"": 0.09608721547261825, ""atr_min_pct"": 0.001993892238561291, ""bb_std_mult"": 2.883478756508003, ""bear_adx_thresh"": 10.786804755357306, ""bear_atr_max_pct"": 0.1441130523776534, ""bear_atr_min_pct"": 0.010642674907267733, ""bear_bb_std_mult"": 0.737219231464125, ""bear_rsi_ob"": 59, ""bear_rsi_os"": 6, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 297, ""bear_tp_mult"": 2.3147447902573175, ""bear_tsl_mult"": 0.8027780163592501, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 29.214900589725737, ""bull_atr_max_pct"": 0.0662829953327969, ""bull_atr_min_pct"": 0.018930153008654752, ""bull_bb_std_mult"": 1.5523698353660527, ""bull_rsi_ob"": 64, ""bull_rsi_os"": 13, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 231, ""bull_tp_mult"": 1.7569421898194078, ""bull_tsl_mult"": 0.1759893326265194, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.6568705723377628, ""edge_k"": 1.901215344343238, ""ema1"": 21, ""ema2"": 21, ""p_adx"": 15, ""p_atr"": 18, ""p_sma"": 26, ""p_std"": 27, ""rsi_ob"": 83, ""rsi_os"": 34, ""rsi_period"": 15, ""rsi_required"": true, ""sideways_adx_thresh"": 25.735725302116336, ""sideways_atr_max_pct"": 0.061670118546606895, ""sideways_atr_min_pct"": 0.007075552535273881, ""sideways_bb_std_mult"": 3.2725751992772283, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 13, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 267, ""sideways_tp_mult"": 2.7310342736714563, ""sideways_tsl_mult"": 0.674721180618152, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.0071394019407843845, ""slip_spread_k"": 0.2571427659457014, ""spread_hl_frac"": 0.04970235064250389, ""strategy"": ""mean_reversion"", ""time_stop"": 179, ""tp_mult"": 2.9560299215281822, ""tsl_mult"": 0.7074744519092097, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05625366703074942}"
6,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 7.346347989603218, ""atr_max_pct"": 0.010204956982792843, ""atr_min_pct"": 0.02308561309133495, ""bb_std_mult"": 3.106503200777968, ""bear_adx_thresh"": 5.181255974324653, ""bear_atr_max_pct"": 0.021382460734906985, ""bear_atr_min_pct"": 0.001464694808784166, ""bear_bb_std_mult"": 1.905796923789129, ""bear_rsi_ob"": 89, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 82, ""bear_tp_mult"": 2.663398446734763, ""bear_tsl_mult"": 0.9530602446104788, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 6.687550730880021, ""bull_atr_max_pct"": 0.1398873711255798, ""bull_atr_min_pct"": 0.020698303778314095, ""bull_bb_std_mult"": 3.169145817918192, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 32, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 256, ""bull_tp_mult"": 1.8624361456081706, ""bull_tsl_mult"": 0.09935501796196833, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8930824739957051, ""edge_k"": 1.4411508343227146, ""ema1"": 10, ""ema2"": 55, ""p_adx"": 7, ""p_atr"": 10, ""p_sma"": 18, ""p_std"": 47, ""rsi_ob"": 75, ""rsi_os"": 49, ""rsi_period"": 25, ""rsi_required"": false, ""sideways_adx_thresh"": 7.93191317710921, ""sideways_atr_max_pct"": 0.14552710280685802, ""sideways_atr_min_pct"": 0.024868647034154274, ""sideways_bb_std_mult"": 3.0013069232470158, ""sideways_rsi_ob"": 53, ""sideways_rsi_os"": 8, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 280, ""sideways_tp_mult"": 1.8357719438577604, ""sideways_tsl_mult"": 0.4241985201929781, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.20106313453973973, ""slip_spread_k"": 0.4199146347643161, ""spread_hl_frac"": 0.023517155007904897, ""strategy"": ""breakout"", ""time_stop"": 143, ""tp_mult"": 1.5316512385512044, ""tsl_mult"": 0.03915161668766065, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.01566850323055805}"
7,-0.012993471980135674,-0.01334277575933694,-1000000000.0,1000000000.0,-0.012993471980135674,-0.01334277575933694,144.0,breakout,1,"{""adx_thresh"": 29.230237678391855, ""atr_max_pct"": 0.01659589745303454, ""atr_min_pct"": 0.002778753778578189, ""bb_std_mult"": 2.1417324624188345, ""bear_adx_thresh"": 30.888755591300036, ""bear_atr_max_pct"": 0.10057737774170944, ""bear_atr_min_pct"": 0.0025994193705069246, ""bear_bb_std_mult"": 1.4252821074190938, ""bear_rsi_ob"": 69, ""bear_rsi_os"": 35, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 85, ""bear_tp_mult"": 2.2931274089207236, ""bear_tsl_mult"": 0.5682533495188543, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 5.810219914628664, ""bull_atr_max_pct"": 0.01598721582993125, ""bull_atr_min_pct"": 0.02574387460248896, ""bull_bb_std_mult"": 2.9885903707731916, ""bull_rsi_ob"": 56, ""bull_rsi_os"": 15, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 86, ""bull_tp_mult"": 1.051682341946913, ""bull_tsl_mult"": 0.17214267998911648, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.16825419542051523, ""edge_k"": 1.3733999745011405, ""ema1"": 21, ""ema2"": 33, ""p_adx"": 29, ""p_atr"": 17, ""p_sma"": 54, ""p_std"": 25, ""rsi_ob"": 53, ""rsi_os"": 48, ""rsi_period"": 38, ""rsi_required"": true, ""sideways_adx_thresh"": 15.424634396531046, ""sideways_atr_max_pct"": 0.060110754545794245, ""sideways_atr_min_pct"": 0.0297386750105753, ""sideways_bb_std_mult"": 2.4559622088980837, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 213, ""sideways_tp_mult"": 2.1646126285360197, ""sideways_tsl_mult"": 0.8941859713157757, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.031867429156841875, ""slip_spread_k"": 0.9294758649280568, ""spread_hl_frac"": 0.016130372305597336, ""strategy"": ""breakout"", ""time_stop"": 29, ""tp_mult"": 2.143434323958091, ""tsl_mult"": 0.5310097182536547, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07535445070228758}"
8,-0.0008041228095220232,-0.00038068280322414293,-1000000000.0,1000000000.0,-0.0008041228095220232,-0.00038068280322414293,4.0,mean_reversion,1,"{""adx_thresh"": 9.864608613535626, ""atr_max_pct"": 0.11157274492384503, ""atr_min_pct"": 0.0038767325073470046, ""bb_std_mult"": 2.573415200716711, ""bear_adx_thresh"": 17.28664866130004, ""bear_atr_max_pct"": 0.025812886378597195, ""bear_atr_min_pct"": 0.0053122872037712765, ""bear_bb_std_mult"": 1.11733519888341, ""bear_rsi_ob"": 72, ""bear_rsi_os"": 28, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 273, ""bear_tp_mult"": 2.811354364903374, ""bear_tsl_mult"": 0.5901881356511964, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 29.921094458420715, ""bull_atr_max_pct"": 0.10296926995562312, ""bull_atr_min_pct"": 0.004491466377310252, ""bull_bb_std_mult"": 1.3815998413075663, ""bull_rsi_ob"": 82, ""bull_rsi_os"": 34, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 275, ""bull_tp_mult"": 1.7545961398429455, ""bull_tsl_mult"": 0.1043554070634678, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.17143306050808765, ""edge_k"": 0.35637000500314353, ""ema1"": 19, ""ema2"": 35, ""p_adx"": 18, ""p_atr"": 27, ""p_sma"": 44, ""p_std"": 7, ""rsi_ob"": 88, ""rsi_os"": 18, ""rsi_period"": 33, ""rsi_required"": true, ""sideways_adx_thresh"": 7.431261893452743, ""sideways_atr_max_pct"": 0.11313060269498572, ""sideways_atr_min_pct"": 0.01699773777271937, ""sideways_bb_std_mult"": 2.631178235857924, ""sideways_rsi_ob"": 80, ""sideways_rsi_os"": 21, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 197, ""sideways_tp_mult"": 2.0877073917016835, ""sideways_tsl_mult"": 0.6239601286626139, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.18675067706780296, ""slip_spread_k"": 0.15385212983571628, ""spread_hl_frac"": 0.028694883286103673, ""strategy"": ""mean_reversion"", ""time_stop"": 280, ""tp_mult"": 2.2738652522665967, ""tsl_mult"": 0.8197565485164523, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.29635470720166146}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 15.407819238493609, ""atr_max_pct"": 0.010178293053955085, ""atr_min_pct"": 0.0285315904469397, ""bb_std_mult"": 1.0186838482694462, ""bear_adx_thresh"": 29.742750080588095, ""bear_atr_max_pct"": 0.04201489178723, ""bear_atr_min_pct"": 0.02326922794667127, ""bear_bb_std_mult"": 2.6049239775668576, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 11, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 88, ""bear_tp_mult"": 1.9133840256401937, ""bear_tsl_mult"": 0.7272873806567882, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 13.291936461863488, ""bull_atr_max_pct"": 0.060215504404313364, ""bull_atr_min_pct"": 0.011863432446143046, ""bull_bb_std_mult"": 1.103229615650862, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 27, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 82, ""bull_tp_mult"": 1.6403446290370858, ""bull_tsl_mult"": 0.5302166383302643, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.6634125951085122, ""edge_k"": 0.18240379537239404, ""ema1"": 30, ""ema2"": 57, ""p_adx"": 19, ""p_atr"": 11, ""p_sma"": 24, ""p_std"": 43, ""rsi_ob"": 65, ""rsi_os"": 55, ""rsi_period"": 82, ""rsi_required"": false, ""sideways_adx_thresh"": 8.055137127218586, ""sideways_atr_max_pct"": 0.011321411921640722, ""sideways_atr_min_pct"": 0.02042606758447946, ""sideways_bb_std_mult"": 1.5800270486668113, ""sideways_rsi_ob"": 51, ""sideways_rsi_os"": 17, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 166, ""sideways_tp_mult"": 2.068491813406672, ""sideways_tsl_mult"": 0.35210332102524355, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.06350842418461722, ""slip_spread_k"": 0.12170945396061394, ""spread_hl_frac"": 0.0048594622863222525, ""strategy"": ""breakout"", ""time_stop"": 91, ""tp_mult"": 2.5456206948292404, ""tsl_mult"": 0.22941273344667268, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07050819514383506}"
