2025-08-30 20:47:01,495 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 20:47:01,508] A new study created in memory with name: no-name-a921ef7a-7b24-4738-a85e-9ad0981ee21f
[I 2025-08-30 20:47:34,015] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 44, 'p_std': 27, 'p_atr': 21, 'p_adx': 13, 'rsi_period': 31, 'ema1': 14, 'ema2': 20, 'slip_atr_k': 0.20039644580066798, 'slip_spread_k': 0.5203326217406492, 'spread_hl_frac': 0.004998461450971431, 'bb_std_mult': 1.2790733210769596, 'rsi_os': 28, 'rsi_ob': 82, 'vol_spike': 0.2509460266192988, 'adx_thresh': 28.61292679047296, 'atr_min_pct': 0.004568634673546601, 'atr_max_pct': 0.07999243614343036, 'tp_mult': 1.4861875259993382, 'tsl_mult': 0.8812366656204936, 'strategy': 'breakout', 'time_stop': 203, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.4297902852991908, 'edge_cap': 0.28905141822320685, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.8786643322980963, 'bull_rsi_os': 14, 'bull_rsi_ob': 86, 'bull_adx_thresh': 33.775589375975194, 'bull_atr_min_pct': 0.012489290190897295, 'bull_atr_max_pct': 0.07024922407639984, 'bull_tp_mult': 2.155462153352123, 'bull_tsl_mult': 0.3235236641544462, 'bull_time_stop': 93, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.444387007947368, 'bear_rsi_os': 49, 'bear_rsi_ob': 47, 'bear_adx_thresh': 12.684394101147756, 'bear_atr_min_pct': 0.008289365754063195, 'bear_atr_max_pct': 0.10629009927352975, 'bear_tp_mult': 1.457932156092194, 'bear_tsl_mult': 0.7068459650831771, 'bear_time_stop': 25, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.0679305529258687, 'sideways_rsi_os': 11, 'sideways_rsi_ob': 90, 'sideways_adx_thresh': 10.528577695984113, 'sideways_atr_min_pct': 0.012945513634727833, 'sideways_atr_max_pct': 0.11430736679048871, 'sideways_tp_mult': 2.8998711278206803, 'sideways_tsl_mult': 0.0013432149189619436, 'sideways_time_stop': 95, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 20:47:34,701] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 27, 'p_std': 10, 'p_atr': 8, 'p_adx': 25, 'rsi_period': 72, 'ema1': 13, 'ema2': 36, 'slip_atr_k': 0.1995439314441177, 'slip_spread_k': 0.7862250198158425, 'spread_hl_frac': 0.020848330692057156, 'bb_std_mult': 1.6313868146619457, 'rsi_os': 11, 'rsi_ob': 54, 'vol_spike': 0.24293805635282853, 'adx_thresh': 17.387955749090423, 'atr_min_pct': 0.02652974483672212, 'atr_max_pct': 0.09339089601136563, 'tp_mult': 1.1812527427790487, 'tsl_mult': 0.9878749725008088, 'strategy': 'breakout', 'time_stop': 241, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.1749742668881027, 'edge_cap': 0.26496210858697156, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.3979356872117816, 'bull_rsi_os': 8, 'bull_rsi_ob': 58, 'bull_adx_thresh': 23.105902181572546, 'bull_atr_min_pct': 0.02751836666514761, 'bull_atr_max_pct': 0.09336191923106599, 'bull_tp_mult': 1.6596275028298142, 'bull_tsl_mult': 0.7012768731027822, 'bull_time_stop': 43, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.4146999794004491, 'bear_rsi_os': 7, 'bear_rsi_ob': 74, 'bear_adx_thresh': 20.963483711479157, 'bear_atr_min_pct': 0.011131225328393782, 'bear_atr_max_pct': 0.05223746024516365, 'bear_tp_mult': 2.0820821249357873, 'bear_tsl_mult': 0.31793791097067636, 'bear_time_stop': 23, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3382318889723104, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 66, 'sideways_adx_thresh': 23.113767266402423, 'sideways_atr_min_pct': 0.016439844881088045, 'sideways_atr_max_pct': 0.028204255374942613, 'sideways_tp_mult': 2.743942324856829, 'sideways_tsl_mult': 0.5185674018953031, 'sideways_time_stop': 200, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 20:47:36,012] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 46, 'p_std': 10, 'p_atr': 25, 'p_adx': 23, 'rsi_period': 54, 'ema1': 25, 'ema2': 59, 'slip_atr_k': 0.09052261054841063, 'slip_spread_k': 0.36417499876489967, 'spread_hl_frac': 0.04518906829912556, 'bb_std_mult': 1.0421933538761863, 'rsi_os': 48, 'rsi_ob': 77, 'vol_spike': 0.23212432767996286, 'adx_thresh': 7.6420937511664855, 'atr_min_pct': 0.027473235852202835, 'atr_max_pct': 0.06790694648695147, 'tp_mult': 2.2805230357960555, 'tsl_mult': 0.3887255933975572, 'strategy': 'mean_reversion', 'time_stop': 293, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.07267317643429116, 'edge_cap': 0.3317257215246264, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.5202361272403093, 'bull_rsi_os': 51, 'bull_rsi_ob': 67, 'bull_adx_thresh': 19.996674521868254, 'bull_atr_min_pct': 0.026485221428149127, 'bull_atr_max_pct': 0.05329583813879136, 'bull_tp_mult': 1.856668220003852, 'bull_tsl_mult': 0.40088191653149163, 'bull_time_stop': 193, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.6824483175061606, 'bear_rsi_os': 12, 'bear_rsi_ob': 83, 'bear_adx_thresh': 32.853616941212664, 'bear_atr_min_pct': 0.0004952571636857583, 'bear_atr_max_pct': 0.01596434362345914, 'bear_tp_mult': 1.6538504609755942, 'bear_tsl_mult': 0.4630012718941382, 'bear_time_stop': 87, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.59622310038085, 'sideways_rsi_os': 22, 'sideways_rsi_ob': 69, 'sideways_adx_thresh': 14.710535648923143, 'sideways_atr_min_pct': 0.02531652196163609, 'sideways_atr_max_pct': 0.13788315088907155, 'sideways_tp_mult': 2.6047020379326273, 'sideways_tsl_mult': 0.43132440068884237, 'sideways_time_stop': 184, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 20:47:36,667] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 34, 'p_atr': 7, 'p_adx': 29, 'rsi_period': 60, 'ema1': 24, 'ema2': 10, 'slip_atr_k': 0.007957104082895933, 'slip_spread_k': 0.6305861001214502, 'spread_hl_frac': 0.02327389617611212, 'bb_std_mult': 0.8183485421649737, 'rsi_os': 40, 'rsi_ob': 90, 'vol_spike': 0.1019488588671209, 'adx_thresh': 16.093168264837587, 'atr_min_pct': 0.01980133953606148, 'atr_max_pct': 0.07035816796991076, 'tp_mult': 2.3865660767243333, 'tsl_mult': 0.385906088556735, 'strategy': 'breakout', 'time_stop': 220, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.24183456836089445, 'edge_cap': 0.6434837614965103, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.224994882872096, 'bull_rsi_os': 26, 'bull_rsi_ob': 94, 'bull_adx_thresh': 20.920017853140344, 'bull_atr_min_pct': 0.01644623679965055, 'bull_atr_max_pct': 0.14153591641494537, 'bull_tp_mult': 2.715113481524435, 'bull_tsl_mult': 0.3155636608545115, 'bull_time_stop': 47, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.5377170637302955, 'bear_rsi_os': 37, 'bear_rsi_ob': 77, 'bear_adx_thresh': 14.290688004868127, 'bear_atr_min_pct': 0.01815572643493277, 'bear_atr_max_pct': 0.12361351068613835, 'bear_tp_mult': 1.8015710883403084, 'bear_tsl_mult': 0.4562150115892032, 'bear_time_stop': 66, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.070648919566, 'sideways_rsi_os': 25, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 24.470610377943977, 'sideways_atr_min_pct': 0.020565648515901605, 'sideways_atr_max_pct': 0.0447033980545767, 'sideways_tp_mult': 1.482530773729683, 'sideways_tsl_mult': 0.16623864952485756, 'sideways_time_stop': 249, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 20:48:08,398] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 23, 'p_atr': 9, 'p_adx': 27, 'rsi_period': 75, 'ema1': 22, 'ema2': 53, 'slip_atr_k': 0.2237761057448293, 'slip_spread_k': 0.22862019882835216, 'spread_hl_frac': 0.012757568953844911, 'bb_std_mult': 2.6804577102674165, 'rsi_os': 22, 'rsi_ob': 55, 'vol_spike': 0.22794489960523304, 'adx_thresh': 6.2011841981155715, 'atr_min_pct': 0.02440166472870751, 'atr_max_pct': 0.038835672960347914, 'tp_mult': 1.7052846309588163, 'tsl_mult': 0.3602385689009221, 'strategy': 'mean_reversion', 'time_stop': 155, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9812151119119976, 'edge_cap': 0.5652659854098323, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.378126093312716, 'bull_rsi_os': 24, 'bull_rsi_ob': 75, 'bull_adx_thresh': 20.19477980817753, 'bull_atr_min_pct': 0.018436559878831593, 'bull_atr_max_pct': 0.09687627525335907, 'bull_tp_mult': 1.0782547075381972, 'bull_tsl_mult': 0.41490904483294366, 'bull_time_stop': 134, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.6254495053174192, 'bear_rsi_os': 36, 'bear_rsi_ob': 72, 'bear_adx_thresh': 9.811011614492024, 'bear_atr_min_pct': 0.026815355600272317, 'bear_atr_max_pct': 0.0678350810967616, 'bear_tp_mult': 1.5595039912230424, 'bear_tsl_mult': 0.2687009865476687, 'bear_time_stop': 168, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.9855412680652575, 'sideways_rsi_os': 34, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 26.86210305051925, 'sideways_atr_min_pct': 0.009803092671339497, 'sideways_atr_max_pct': 0.049080980488804625, 'sideways_tp_mult': 2.5988702853250687, 'sideways_tsl_mult': 0.05366168403031457, 'sideways_time_stop': 194, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 20:48:08,863] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 20, 'p_atr': 28, 'p_adx': 8, 'rsi_period': 45, 'ema1': 12, 'ema2': 16, 'slip_atr_k': 0.19836510916128436, 'slip_spread_k': 0.2202522281390491, 'spread_hl_frac': 0.021053629406105237, 'bb_std_mult': 2.1067440225547, 'rsi_os': 44, 'rsi_ob': 75, 'vol_spike': 0.1102198439012413, 'adx_thresh': 15.455872490540006, 'atr_min_pct': 0.008836313384768448, 'atr_max_pct': 0.04938588222142254, 'tp_mult': 2.621814175175366, 'tsl_mult': 0.9442178209239366, 'strategy': 'breakout', 'time_stop': 108, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.7054231693246165, 'edge_cap': 0.5264028213407189, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.7169072321702346, 'bull_rsi_os': 14, 'bull_rsi_ob': 77, 'bull_adx_thresh': 24.285257157261476, 'bull_atr_min_pct': 0.025533202283791603, 'bull_atr_max_pct': 0.13816778348615388, 'bull_tp_mult': 1.2077303395123056, 'bull_tsl_mult': 0.4798433120613669, 'bull_time_stop': 276, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.369361983432956, 'bear_rsi_os': 34, 'bear_rsi_ob': 86, 'bear_adx_thresh': 26.80737453976109, 'bear_atr_min_pct': 0.008842039002267458, 'bear_atr_max_pct': 0.09194201569947047, 'bear_tp_mult': 2.5299493834840794, 'bear_tsl_mult': 0.3113305542150052, 'bear_time_stop': 297, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.1483472163445818, 'sideways_rsi_os': 20, 'sideways_rsi_ob': 68, 'sideways_adx_thresh': 19.456673290048766, 'sideways_atr_min_pct': 0.013290148753933173, 'sideways_atr_max_pct': 0.010826913712951344, 'sideways_tp_mult': 2.9130925664861476, 'sideways_tsl_mult': 0.23725868588979637, 'sideways_time_stop': 18, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 20:48:09,384] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 14, 'p_std': 28, 'p_atr': 20, 'p_adx': 22, 'rsi_period': 46, 'ema1': 22, 'ema2': 47, 'slip_atr_k': 0.08018213420346174, 'slip_spread_k': 0.1876998141777254, 'spread_hl_frac': 0.008243977295218464, 'bb_std_mult': 3.462947740611228, 'rsi_os': 32, 'rsi_ob': 75, 'vol_spike': 0.19615286443266436, 'adx_thresh': 12.141391537006266, 'atr_min_pct': 0.005497577771759457, 'atr_max_pct': 0.08528637012788, 'tp_mult': 2.2560255151758377, 'tsl_mult': 0.385210661720617, 'strategy': 'breakout', 'time_stop': 300, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.784461053701484, 'edge_cap': 0.1590800209685715, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.7902851982101193, 'bull_rsi_os': 26, 'bull_rsi_ob': 57, 'bull_adx_thresh': 25.645023347900036, 'bull_atr_min_pct': 0.0019550245077884164, 'bull_atr_max_pct': 0.03364437941025143, 'bull_tp_mult': 2.515201571528602, 'bull_tsl_mult': 0.6543087896819682, 'bull_time_stop': 268, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.8681522258648964, 'bear_rsi_os': 41, 'bear_rsi_ob': 70, 'bear_adx_thresh': 28.56874733855847, 'bear_atr_min_pct': 0.02896236250011075, 'bear_atr_max_pct': 0.0757706638679231, 'bear_tp_mult': 1.0307350741565078, 'bear_tsl_mult': 0.5736014992805131, 'bear_time_stop': 71, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.9473505235906701, 'sideways_rsi_os': 14, 'sideways_rsi_ob': 53, 'sideways_adx_thresh': 27.23756718815079, 'sideways_atr_min_pct': 0.02476506488904411, 'sideways_atr_max_pct': 0.03799348321389241, 'sideways_tp_mult': 2.4883455272572195, 'sideways_tsl_mult': 0.13303973583099715, 'sideways_time_stop': 265, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 20:48:10,822] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 45, 'p_atr': 23, 'p_adx': 17, 'rsi_period': 26, 'ema1': 15, 'ema2': 55, 'slip_atr_k': 0.24851895051275807, 'slip_spread_k': 0.17699209732660215, 'spread_hl_frac': 0.010781875712533763, 'bb_std_mult': 2.3086782288119343, 'rsi_os': 44, 'rsi_ob': 77, 'vol_spike': 0.2690102707341162, 'adx_thresh': 17.682343463708104, 'atr_min_pct': 0.0009350471581635411, 'atr_max_pct': 0.09735492518239838, 'tp_mult': 1.3992901520399534, 'tsl_mult': 0.49702648325633014, 'strategy': 'breakout', 'time_stop': 61, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.6039795911067007, 'edge_cap': 0.10789039563902658, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.5677669518586876, 'bull_rsi_os': 26, 'bull_rsi_ob': 61, 'bull_adx_thresh': 27.22585491945121, 'bull_atr_min_pct': 0.029578338190351234, 'bull_atr_max_pct': 0.10300526743888064, 'bull_tp_mult': 2.0880777637404706, 'bull_tsl_mult': 0.6437158554099675, 'bull_time_stop': 153, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.1578423908075215, 'bear_rsi_os': 53, 'bear_rsi_ob': 74, 'bear_adx_thresh': 6.57522811873685, 'bear_atr_min_pct': 0.02770622398554109, 'bear_atr_max_pct': 0.013404216885425821, 'bear_tp_mult': 2.2096757644254903, 'bear_tsl_mult': 0.22152408931885792, 'bear_time_stop': 219, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.2126221128906156, 'sideways_rsi_os': 42, 'sideways_rsi_ob': 88, 'sideways_adx_thresh': 14.309961195344718, 'sideways_atr_min_pct': 0.00667023562380744, 'sideways_atr_max_pct': 0.12410289030284845, 'sideways_tp_mult': 2.029499769097509, 'sideways_tsl_mult': 0.03291783858688602, 'sideways_time_stop': 124, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 20:48:39,613] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 49, 'p_std': 27, 'p_atr': 19, 'p_adx': 27, 'rsi_period': 48, 'ema1': 25, 'ema2': 43, 'slip_atr_k': 0.09493573339016054, 'slip_spread_k': 0.3788863143993896, 'spread_hl_frac': 0.004607873103009408, 'bb_std_mult': 2.339566126231232, 'rsi_os': 23, 'rsi_ob': 83, 'vol_spike': 0.17297461626668886, 'adx_thresh': 24.863377576654678, 'atr_min_pct': 0.008687013685738125, 'atr_max_pct': 0.11289122441923255, 'tp_mult': 1.5456647469275604, 'tsl_mult': 0.9550330831947383, 'strategy': 'mean_reversion', 'time_stop': 235, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.2255093766113438, 'edge_cap': 0.40729670223869346, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.1953301605270648, 'bull_rsi_os': 8, 'bull_rsi_ob': 47, 'bull_adx_thresh': 34.4645006918493, 'bull_atr_min_pct': 0.010498565024278678, 'bull_atr_max_pct': 0.04443308204109171, 'bull_tp_mult': 1.4792812819665044, 'bull_tsl_mult': 0.7258214396426412, 'bull_time_stop': 234, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.5814861156707691, 'bear_rsi_os': 25, 'bear_rsi_ob': 86, 'bear_adx_thresh': 31.681751741368437, 'bear_atr_min_pct': 0.012673538533321427, 'bear_atr_max_pct': 0.08254789960617678, 'bear_tp_mult': 2.4481669198409657, 'bear_tsl_mult': 0.04081159979743809, 'bear_time_stop': 121, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.1412469550897257, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 92, 'sideways_adx_thresh': 17.955223271112622, 'sideways_atr_min_pct': 0.011105218775193448, 'sideways_atr_max_pct': 0.09001967135781688, 'sideways_tp_mult': 1.1589847305091106, 'sideways_tsl_mult': 0.3691157197235576, 'sideways_time_stop': 287, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 20:48:41,042] Trial 10 finished with values: [-0.018976527724681946, 0.018874401609552654] and parameters: {'p_sma': 47, 'p_std': 41, 'p_atr': 28, 'p_adx': 20, 'rsi_period': 34, 'ema1': 13, 'ema2': 43, 'slip_atr_k': 0.1734706090541584, 'slip_spread_k': 0.45726960023913066, 'spread_hl_frac': 0.006977768045211302, 'bb_std_mult': 3.0946471288522135, 'rsi_os': 15, 'rsi_ob': 68, 'vol_spike': 0.03579693395415571, 'adx_thresh': 6.539393357664368, 'atr_min_pct': 0.014992105144565036, 'atr_max_pct': 0.05422832840171084, 'tp_mult': 1.4125413672937344, 'tsl_mult': 0.3108870315719342, 'strategy': 'mean_reversion', 'time_stop': 28, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.81776165847034, 'edge_cap': 0.7939841912941973, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.6623002225747041, 'bull_rsi_os': 29, 'bull_rsi_ob': 91, 'bull_adx_thresh': 8.999453693675072, 'bull_atr_min_pct': 0.00040580454889827867, 'bull_atr_max_pct': 0.04129729803419164, 'bull_tp_mult': 2.0711521394053407, 'bull_tsl_mult': 0.3242788951472476, 'bull_time_stop': 179, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5366259625171435, 'bear_rsi_os': 35, 'bear_rsi_ob': 77, 'bear_adx_thresh': 24.281494623713897, 'bear_atr_min_pct': 0.009995594869614655, 'bear_atr_max_pct': 0.06441645323554321, 'bear_tp_mult': 2.009756079977476, 'bear_tsl_mult': 0.0958953705466351, 'bear_time_stop': 83, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.4735972083533566, 'sideways_rsi_os': 15, 'sideways_rsi_ob': 55, 'sideways_adx_thresh': 25.914069051678556, 'sideways_atr_min_pct': 0.02453212307376925, 'sideways_atr_max_pct': 0.04499831420785886, 'sideways_tp_mult': 2.5299051736584603, 'sideways_tsl_mult': 0.3739654613636817, 'sideways_time_stop': 26, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 20:48:41,600] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 60, 'p_std': 59, 'p_atr': 14, 'p_adx': 17, 'rsi_period': 7, 'ema1': 6, 'ema2': 30, 'slip_atr_k': 0.15075290250425316, 'slip_spread_k': 0.9742349138661798, 'spread_hl_frac': 0.04296103831700752, 'bb_std_mult': 3.5956817482780528, 'rsi_os': 5, 'rsi_ob': 63, 'vol_spike': 0.0074143285547711435, 'adx_thresh': 33.50555407832773, 'atr_min_pct': 0.016105871653094718, 'atr_max_pct': 0.010456758352158854, 'tp_mult': 1.836408526875902, 'tsl_mult': 0.05680836626823432, 'strategy': 'mean_reversion', 'time_stop': 25, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.8708479245274193, 'edge_cap': 0.9377914170217444, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.6617403245461182, 'bull_rsi_os': 42, 'bull_rsi_ob': 94, 'bull_adx_thresh': 5.470053549073519, 'bull_atr_min_pct': 0.0008184081710288106, 'bull_atr_max_pct': 0.012417349332180375, 'bull_tp_mult': 2.389411301679966, 'bull_tsl_mult': 0.019313327883634546, 'bull_time_stop': 205, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.1586071474805424, 'bear_rsi_os': 24, 'bear_rsi_ob': 60, 'bear_adx_thresh': 21.08526779389046, 'bear_atr_min_pct': 0.02025445807460255, 'bear_atr_max_pct': 0.14868603221941706, 'bear_tp_mult': 2.9477170232207963, 'bear_tsl_mult': 0.87238008865991, 'bear_time_stop': 181, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.322173189931653, 'sideways_rsi_os': 55, 'sideways_rsi_ob': 47, 'sideways_adx_thresh': 34.88153070649949, 'sideways_atr_min_pct': 0.02954829943059939, 'sideways_atr_max_pct': 0.07702844346900944, 'sideways_tp_mult': 2.021829776248109, 'sideways_tsl_mult': 0.9076999096643923, 'sideways_time_stop': 17, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
