2025-08-31 00:01:47,311 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-31 00:01:47,325] A new study created in memory with name: no-name-fc0470ab-9c87-4df0-9c82-59807b0317b3
[I 2025-08-31 00:02:19,322] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 57, 'p_atr': 20, 'p_adx': 20, 'rsi_period': 73, 'ema1': 17, 'ema2': 27, 'slip_atr_k': 0.15067973123210027, 'slip_spread_k': 0.8973519096525175, 'spread_hl_frac': 0.01974249221775203, 'bb_std_mult': 1.5638980485963183, 'rsi_os': 18, 'rsi_ob': 58, 'vol_spike': 0.08657740478055144, 'adx_thresh': 11.14973045401524, 'atr_min_pct': 0.020834856464898674, 'atr_max_pct': 0.07469205025548853, 'tp_mult': 2.0622651045083593, 'tsl_mult': 0.050961541260527654, 'strategy': 'breakout', 'time_stop': 253, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.10668717630299573, 'edge_cap': 0.8861869534966047, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.937519718922065, 'bull_rsi_os': 45, 'bull_rsi_ob': 84, 'bull_adx_thresh': 8.526745839819679, 'bull_atr_min_pct': 0.026465787136857044, 'bull_atr_max_pct': 0.06540340027762065, 'bull_tp_mult': 2.4062497525966506, 'bull_tsl_mult': 0.33827205208210165, 'bull_time_stop': 209, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.1126457119049797, 'bear_rsi_os': 12, 'bear_rsi_ob': 89, 'bear_adx_thresh': 16.556267609608526, 'bear_atr_min_pct': 0.02530300050715124, 'bear_atr_max_pct': 0.13002026564737656, 'bear_tp_mult': 2.1364305752806922, 'bear_tsl_mult': 0.7076721616098678, 'bear_time_stop': 212, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.064190322761405, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 56, 'sideways_adx_thresh': 34.77603578883063, 'sideways_atr_min_pct': 0.02244684652304207, 'sideways_atr_max_pct': 0.14111854252524314, 'sideways_tp_mult': 2.957245326569638, 'sideways_tsl_mult': 0.0689460244118919, 'sideways_time_stop': 259, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 00:02:19,800] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 46, 'p_atr': 28, 'p_adx': 18, 'rsi_period': 83, 'ema1': 26, 'ema2': 25, 'slip_atr_k': 0.10494422874947912, 'slip_spread_k': 0.62429186032644, 'spread_hl_frac': 0.02847283269808415, 'bb_std_mult': 0.941878640625448, 'rsi_os': 28, 'rsi_ob': 85, 'vol_spike': 0.25114141724492656, 'adx_thresh': 26.56186062513624, 'atr_min_pct': 0.015110294348883807, 'atr_max_pct': 0.09949464167548777, 'tp_mult': 2.457335384510293, 'tsl_mult': 0.9317179578230989, 'strategy': 'breakout', 'time_stop': 253, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2795945937497932, 'edge_cap': 0.36285026072056203, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.2783249901796734, 'bull_rsi_os': 18, 'bull_rsi_ob': 95, 'bull_adx_thresh': 32.93458978282574, 'bull_atr_min_pct': 0.007358916362823674, 'bull_atr_max_pct': 0.1436235165048272, 'bull_tp_mult': 1.922205494066845, 'bull_tsl_mult': 0.552175937229142, 'bull_time_stop': 187, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.5638534927404425, 'bear_rsi_os': 22, 'bear_rsi_ob': 71, 'bear_adx_thresh': 24.69015195820166, 'bear_atr_min_pct': 0.028544345347716375, 'bear_atr_max_pct': 0.03672253287258518, 'bear_tp_mult': 1.527556326956801, 'bear_tsl_mult': 0.653997577976278, 'bear_time_stop': 261, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.367983951276469, 'sideways_rsi_os': 33, 'sideways_rsi_ob': 45, 'sideways_adx_thresh': 17.579714461644954, 'sideways_atr_min_pct': 0.004296771344214873, 'sideways_atr_max_pct': 0.1402028476121596, 'sideways_tp_mult': 1.3033600637627685, 'sideways_tsl_mult': 0.264368893188728, 'sideways_time_stop': 86, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 00:02:19,940] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 49, 'p_atr': 27, 'p_adx': 19, 'rsi_period': 76, 'ema1': 22, 'ema2': 34, 'slip_atr_k': 0.11499872715982404, 'slip_spread_k': 0.7418358940931373, 'spread_hl_frac': 0.01658979303194404, 'bb_std_mult': 1.712019468925963, 'rsi_os': 18, 'rsi_ob': 47, 'vol_spike': 0.09237319715150033, 'adx_thresh': 19.05101550577407, 'atr_min_pct': 0.027572671806132983, 'atr_max_pct': 0.08823254232892563, 'tp_mult': 1.794758994108875, 'tsl_mult': 0.4039504986037217, 'strategy': 'breakout', 'time_stop': 49, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.8328792787138306, 'edge_cap': 0.5271854636356436, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.4912470690544417, 'bull_rsi_os': 28, 'bull_rsi_ob': 95, 'bull_adx_thresh': 31.0153848385677, 'bull_atr_min_pct': 0.01591529543094221, 'bull_atr_max_pct': 0.02482197499609836, 'bull_tp_mult': 1.3397395541130106, 'bull_tsl_mult': 0.6327041409778899, 'bull_time_stop': 171, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.4110604800066169, 'bear_rsi_os': 12, 'bear_rsi_ob': 83, 'bear_adx_thresh': 16.48930285688189, 'bear_atr_min_pct': 0.026405253169172346, 'bear_atr_max_pct': 0.1159771751806796, 'bear_tp_mult': 2.0673474110569687, 'bear_tsl_mult': 0.5662574463155051, 'bear_time_stop': 121, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.2532004267322274, 'sideways_rsi_os': 44, 'sideways_rsi_ob': 46, 'sideways_adx_thresh': 22.106157769010046, 'sideways_atr_min_pct': 0.006128682655058559, 'sideways_atr_max_pct': 0.05270006950573482, 'sideways_tp_mult': 2.0409833027771977, 'sideways_tsl_mult': 0.33018090760962227, 'sideways_time_stop': 225, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 00:02:19,948] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 54, 'p_std': 46, 'p_atr': 28, 'p_adx': 27, 'rsi_period': 77, 'ema1': 17, 'ema2': 48, 'slip_atr_k': 0.006962923331903875, 'slip_spread_k': 0.29638828406642004, 'spread_hl_frac': 0.027707907962868428, 'bb_std_mult': 2.0268149668347593, 'rsi_os': 13, 'rsi_ob': 50, 'vol_spike': 0.1879255291812375, 'adx_thresh': 10.520152697263939, 'atr_min_pct': 0.014557840825594012, 'atr_max_pct': 0.0668003615982323, 'tp_mult': 2.5483382667583987, 'tsl_mult': 0.3109274873088852, 'strategy': 'mean_reversion', 'time_stop': 157, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.23722109313877726, 'edge_cap': 0.05950204371193497, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.031917432395142, 'bull_rsi_os': 35, 'bull_rsi_ob': 59, 'bull_adx_thresh': 24.64559001795709, 'bull_atr_min_pct': 0.00011064269654766589, 'bull_atr_max_pct': 0.1268051291038834, 'bull_tp_mult': 1.0245960388509296, 'bull_tsl_mult': 0.32340574959665513, 'bull_time_stop': 205, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.8803007230893147, 'bear_rsi_os': 20, 'bear_rsi_ob': 58, 'bear_adx_thresh': 7.153925550588021, 'bear_atr_min_pct': 0.007807084565229165, 'bear_atr_max_pct': 0.10747909912290346, 'bear_tp_mult': 1.9674373880118037, 'bear_tsl_mult': 0.11846955334973386, 'bear_time_stop': 257, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.5166231082814488, 'sideways_rsi_os': 24, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 12.783720798426337, 'sideways_atr_min_pct': 0.007215187234901834, 'sideways_atr_max_pct': 0.11093046163501037, 'sideways_tp_mult': 2.515413821279633, 'sideways_tsl_mult': 0.6900009508668662, 'sideways_time_stop': 5, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 00:02:20,053] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 40, 'p_std': 19, 'p_atr': 22, 'p_adx': 30, 'rsi_period': 53, 'ema1': 13, 'ema2': 33, 'slip_atr_k': 0.1462157036930868, 'slip_spread_k': 0.6332859129648805, 'spread_hl_frac': 0.020019074070734312, 'bb_std_mult': 1.2437235385949106, 'rsi_os': 49, 'rsi_ob': 58, 'vol_spike': 0.056865650954026875, 'adx_thresh': 13.977500596969078, 'atr_min_pct': 0.01429952788441596, 'atr_max_pct': 0.01775235000283803, 'tp_mult': 2.37669888867928, 'tsl_mult': 0.6111384547887926, 'strategy': 'breakout', 'time_stop': 199, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.470136337758807, 'edge_cap': 0.10491040892661113, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.5701202595800363, 'bull_rsi_os': 46, 'bull_rsi_ob': 89, 'bull_adx_thresh': 11.711371784398887, 'bull_atr_min_pct': 0.00197501966010833, 'bull_atr_max_pct': 0.039658562267977565, 'bull_tp_mult': 1.2092540082468177, 'bull_tsl_mult': 0.9886690352281132, 'bull_time_stop': 141, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.8452153070153815, 'bear_rsi_os': 30, 'bear_rsi_ob': 77, 'bear_adx_thresh': 24.993618564152694, 'bear_atr_min_pct': 0.017510511260923622, 'bear_atr_max_pct': 0.03922818577156209, 'bear_tp_mult': 2.838307201510325, 'bear_tsl_mult': 0.33925001990533665, 'bear_time_stop': 174, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.725861690839955, 'sideways_rsi_os': 52, 'sideways_rsi_ob': 80, 'sideways_adx_thresh': 20.565499762214127, 'sideways_atr_min_pct': 0.015425500541720042, 'sideways_atr_max_pct': 0.11651323466359804, 'sideways_tp_mult': 2.9647883258462264, 'sideways_tsl_mult': 0.8506978831771671, 'sideways_time_stop': 95, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 00:02:50,783] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 31, 'p_atr': 26, 'p_adx': 14, 'rsi_period': 84, 'ema1': 8, 'ema2': 45, 'slip_atr_k': 0.016192398635230726, 'slip_spread_k': 0.16413053251204368, 'spread_hl_frac': 0.043540977347140825, 'bb_std_mult': 3.3963413198270733, 'rsi_os': 5, 'rsi_ob': 86, 'vol_spike': 0.03187693537571527, 'adx_thresh': 21.431615251330655, 'atr_min_pct': 0.011542571423149989, 'atr_max_pct': 0.09705375471727694, 'tp_mult': 1.965584431547361, 'tsl_mult': 0.278213007400538, 'strategy': 'breakout', 'time_stop': 97, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.9540466667152792, 'edge_cap': 0.43468380104368, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.034994408622952, 'bull_rsi_os': 30, 'bull_rsi_ob': 92, 'bull_adx_thresh': 9.14130787863461, 'bull_atr_min_pct': 0.024839239897872154, 'bull_atr_max_pct': 0.04375906140867693, 'bull_tp_mult': 1.677316710088516, 'bull_tsl_mult': 0.2473812173539326, 'bull_time_stop': 296, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.9801995805326964, 'bear_rsi_os': 53, 'bear_rsi_ob': 87, 'bear_adx_thresh': 23.97491721778995, 'bear_atr_min_pct': 0.013192821738015078, 'bear_atr_max_pct': 0.02941408711674362, 'bear_tp_mult': 1.2309129506412881, 'bear_tsl_mult': 0.7843221598715755, 'bear_time_stop': 245, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.6774700682364525, 'sideways_rsi_os': 52, 'sideways_rsi_ob': 77, 'sideways_adx_thresh': 19.64839993156486, 'sideways_atr_min_pct': 0.0013396443379897593, 'sideways_atr_max_pct': 0.020354376479536567, 'sideways_tp_mult': 1.6691587568870172, 'sideways_tsl_mult': 0.3581610715939435, 'sideways_time_stop': 177, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 00:02:51,302] Trial 7 finished with values: [-0.018924248502165564, 0.018814469975764334] and parameters: {'p_sma': 42, 'p_std': 32, 'p_atr': 8, 'p_adx': 27, 'rsi_period': 9, 'ema1': 29, 'ema2': 13, 'slip_atr_k': 0.01167480206437202, 'slip_spread_k': 0.8910669641449711, 'spread_hl_frac': 0.005318730020777363, 'bb_std_mult': 2.490889498162571, 'rsi_os': 28, 'rsi_ob': 71, 'vol_spike': 0.07677014406552587, 'adx_thresh': 33.08941930180767, 'atr_min_pct': 0.015170913168634352, 'atr_max_pct': 0.12003811448997602, 'tp_mult': 2.7352910258051795, 'tsl_mult': 0.5806183611880292, 'strategy': 'mean_reversion', 'time_stop': 235, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.329042020983517, 'edge_cap': 0.36374216875828785, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.6191192481955886, 'bull_rsi_os': 44, 'bull_rsi_ob': 72, 'bull_adx_thresh': 5.171716627193648, 'bull_atr_min_pct': 0.0018869100930009363, 'bull_atr_max_pct': 0.043890929491920486, 'bull_tp_mult': 2.345152526112562, 'bull_tsl_mult': 0.9594881775753673, 'bull_time_stop': 135, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.8172254547644426, 'bear_rsi_os': 38, 'bear_rsi_ob': 57, 'bear_adx_thresh': 32.265194685752206, 'bear_atr_min_pct': 0.007557602181733448, 'bear_atr_max_pct': 0.06669181911895213, 'bear_tp_mult': 2.509996876399975, 'bear_tsl_mult': 0.5824930182934621, 'bear_time_stop': 262, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.0156798587905844, 'sideways_rsi_os': 14, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 31.131320577890957, 'sideways_atr_min_pct': 0.00873300971845114, 'sideways_atr_max_pct': 0.08195984513997677, 'sideways_tp_mult': 1.7805011273669722, 'sideways_tsl_mult': 0.669639474997559, 'sideways_time_stop': 126, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 00:02:51,536] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 53, 'p_std': 37, 'p_atr': 23, 'p_adx': 29, 'rsi_period': 58, 'ema1': 17, 'ema2': 37, 'slip_atr_k': 0.019132765102280763, 'slip_spread_k': 0.9590100325839354, 'spread_hl_frac': 0.017870417481792623, 'bb_std_mult': 3.1117806937116455, 'rsi_os': 23, 'rsi_ob': 79, 'vol_spike': 0.14916324324264138, 'adx_thresh': 27.921532783468248, 'atr_min_pct': 0.022087099943744297, 'atr_max_pct': 0.08425862845476385, 'tp_mult': 2.080241019119942, 'tsl_mult': 0.8215833770971928, 'strategy': 'breakout', 'time_stop': 134, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.09479942677171138, 'edge_cap': 0.23082077494119774, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.2565111384951448, 'bull_rsi_os': 11, 'bull_rsi_ob': 92, 'bull_adx_thresh': 20.252632132976498, 'bull_atr_min_pct': 0.004172892347887565, 'bull_atr_max_pct': 0.026983500525528056, 'bull_tp_mult': 1.8047220543193498, 'bull_tsl_mult': 0.5316586107301297, 'bull_time_stop': 61, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.0004340433210475, 'bear_rsi_os': 53, 'bear_rsi_ob': 69, 'bear_adx_thresh': 5.420222550783961, 'bear_atr_min_pct': 0.0050364264040791374, 'bear_atr_max_pct': 0.10889361915976072, 'bear_tp_mult': 1.022094637783189, 'bear_tsl_mult': 0.9398763533972285, 'bear_time_stop': 53, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.5592694887719705, 'sideways_rsi_os': 55, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 10.070721514074174, 'sideways_atr_min_pct': 0.010199817074356873, 'sideways_atr_max_pct': 0.056193485184892755, 'sideways_tp_mult': 1.1348769285773312, 'sideways_tsl_mult': 0.8970141661637777, 'sideways_time_stop': 55, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-31 00:02:51,620] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 56, 'p_std': 35, 'p_atr': 14, 'p_adx': 22, 'rsi_period': 80, 'ema1': 5, 'ema2': 18, 'slip_atr_k': 0.0815645786142501, 'slip_spread_k': 0.2618870862623779, 'spread_hl_frac': 0.0486364073336841, 'bb_std_mult': 0.9783034783226243, 'rsi_os': 32, 'rsi_ob': 51, 'vol_spike': 0.298604376832928, 'adx_thresh': 33.117613310276624, 'atr_min_pct': 0.004545415766995834, 'atr_max_pct': 0.12797947691600708, 'tp_mult': 2.494849391733309, 'tsl_mult': 0.8751342433502278, 'strategy': 'breakout', 'time_stop': 204, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9870744898418045, 'edge_cap': 0.610908338717891, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.1298175046554173, 'bull_rsi_os': 21, 'bull_rsi_ob': 51, 'bull_adx_thresh': 34.81103690404504, 'bull_atr_min_pct': 0.013486806064384673, 'bull_atr_max_pct': 0.01856735392994889, 'bull_tp_mult': 2.4594692921314167, 'bull_tsl_mult': 0.2641353828374361, 'bull_time_stop': 142, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.2470750468373555, 'bear_rsi_os': 31, 'bear_rsi_ob': 90, 'bear_adx_thresh': 22.989527252969587, 'bear_atr_min_pct': 0.0013403489551486458, 'bear_atr_max_pct': 0.13324305914571558, 'bear_tp_mult': 2.8085577793244596, 'bear_tsl_mult': 0.5802674386813039, 'bear_time_stop': 230, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.3863260843147605, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 17.140442429707687, 'sideways_atr_min_pct': 0.009263056508437414, 'sideways_atr_max_pct': 0.13330564604972364, 'sideways_tp_mult': 2.3320081804394115, 'sideways_tsl_mult': 0.0543495621306308, 'sideways_time_stop': 75, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-31 00:03:21,286] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 40, 'p_atr': 21, 'p_adx': 11, 'rsi_period': 21, 'ema1': 10, 'ema2': 40, 'slip_atr_k': 0.0049623705868858115, 'slip_spread_k': 0.6071987627248564, 'spread_hl_frac': 0.00855173051467919, 'bb_std_mult': 3.219437230548497, 'rsi_os': 44, 'rsi_ob': 93, 'vol_spike': 0.22918677328556922, 'adx_thresh': 18.57028112922106, 'atr_min_pct': 0.028613279564432565, 'atr_max_pct': 0.1396196517496018, 'tp_mult': 1.597813870233556, 'tsl_mult': 0.796726946416299, 'strategy': 'mean_reversion', 'time_stop': 189, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.7145039341468082, 'edge_cap': 0.8059435395404184, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.3550562759613434, 'bull_rsi_os': 25, 'bull_rsi_ob': 62, 'bull_adx_thresh': 10.170176557197848, 'bull_atr_min_pct': 0.014432601019635415, 'bull_atr_max_pct': 0.017636152303543807, 'bull_tp_mult': 1.4506570526850189, 'bull_tsl_mult': 0.2915493463190718, 'bull_time_stop': 109, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.421528314857225, 'bear_rsi_os': 46, 'bear_rsi_ob': 54, 'bear_adx_thresh': 21.979524292627023, 'bear_atr_min_pct': 0.023782015806374818, 'bear_atr_max_pct': 0.03123192853418533, 'bear_tp_mult': 2.0886014230283747, 'bear_tsl_mult': 0.6222198443185882, 'bear_time_stop': 7, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.7130692240593783, 'sideways_rsi_os': 53, 'sideways_rsi_ob': 80, 'sideways_adx_thresh': 25.72837630319201, 'sideways_atr_min_pct': 0.023953434951157915, 'sideways_atr_max_pct': 0.044623341691668206, 'sideways_tp_mult': 2.4129036230555774, 'sideways_tsl_mult': 0.4232287711037618, 'sideways_time_stop': 246, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-31 00:03:21,859] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 8, 'p_std': 60, 'p_atr': 27, 'p_adx': 27, 'rsi_period': 81, 'ema1': 16, 'ema2': 10, 'slip_atr_k': 0.22105082132717555, 'slip_spread_k': 0.4109345817190867, 'spread_hl_frac': 0.011606027241114814, 'bb_std_mult': 0.5827363067609257, 'rsi_os': 49, 'rsi_ob': 61, 'vol_spike': 0.04640604485713893, 'adx_thresh': 16.42858043115537, 'atr_min_pct': 0.009805320072085089, 'atr_max_pct': 0.0581184660631085, 'tp_mult': 1.6247144535793663, 'tsl_mult': 0.797750814375148, 'strategy': 'mean_reversion', 'time_stop': 14, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.6510473572244304, 'edge_cap': 0.868265808451095, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.0472384627850664, 'bull_rsi_os': 18, 'bull_rsi_ob': 52, 'bull_adx_thresh': 8.3032868998498, 'bull_atr_min_pct': 6.0668825874253814e-05, 'bull_atr_max_pct': 0.07794693735401216, 'bull_tp_mult': 1.4116917078372657, 'bull_tsl_mult': 0.6420785002108492, 'bull_time_stop': 295, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.8086652628995574, 'bear_rsi_os': 36, 'bear_rsi_ob': 91, 'bear_adx_thresh': 5.017888755711374, 'bear_atr_min_pct': 0.029661728026467937, 'bear_atr_max_pct': 0.10261823038337049, 'bear_tp_mult': 2.897297988495724, 'bear_tsl_mult': 0.9540232478774846, 'bear_time_stop': 124, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.078478585490601, 'sideways_rsi_os': 27, 'sideways_rsi_ob': 89, 'sideways_adx_thresh': 25.687742038194642, 'sideways_atr_min_pct': 0.025457133140452212, 'sideways_atr_max_pct': 0.02421941953564697, 'sideways_tp_mult': 1.390660196116802, 'sideways_tsl_mult': 0.12447204924318245, 'sideways_time_stop': 194, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
