number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0017048535199981618,-0.0011479511500236729,-1000000000.0,1000000000.0,0.0017048535199981618,-0.0011479511500236729,4.0,breakout,1,"{""adx_thresh"": 34.60291342975855, ""atr_max_pct"": 0.06016614587733821, ""atr_min_pct"": 0.017713295858069744, ""bb_std_mult"": 0.940353069164672, ""bear_adx_thresh"": 27.027942724005985, ""bear_atr_max_pct"": 0.06563298573007552, ""bear_atr_min_pct"": 0.014422186451844244, ""bear_bb_std_mult"": 3.036228716065439, ""bear_rsi_ob"": 55, ""bear_rsi_os"": 18, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 146, ""bear_tp_mult"": 1.0162047890081594, ""bear_tsl_mult"": 0.05673274190492217, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.75029720010686, ""bull_atr_max_pct"": 0.06407174406099427, ""bull_atr_min_pct"": 0.018760991718829275, ""bull_bb_std_mult"": 1.674167836168077, ""bull_rsi_ob"": 88, ""bull_rsi_os"": 13, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 287, ""bull_tp_mult"": 1.2162568414382535, ""bull_tsl_mult"": 0.9098114825063348, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.9833792867171223, ""edge_k"": 1.8499456979702775, ""ema1"": 27, ""ema2"": 33, ""p_adx"": 26, ""p_atr"": 8, ""p_sma"": 47, ""p_std"": 11, ""rsi_ob"": 66, ""rsi_os"": 8, ""rsi_period"": 25, ""rsi_required"": true, ""sideways_adx_thresh"": 26.04301888942998, ""sideways_atr_max_pct"": 0.11721209919128345, ""sideways_atr_min_pct"": 0.012265946533551942, ""sideways_bb_std_mult"": 2.4047437531550733, ""sideways_rsi_ob"": 82, ""sideways_rsi_os"": 40, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 211, ""sideways_tp_mult"": 2.8505690750132664, ""sideways_tsl_mult"": 0.9060971983426176, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.14178366177457002, ""slip_spread_k"": 0.5347901073395629, ""spread_hl_frac"": 0.011336523642976805, ""strategy"": ""breakout"", ""time_stop"": 55, ""tp_mult"": 1.9238277747937427, ""tsl_mult"": 0.015718980725687448, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11424978088199626}"
1,-0.014114087500639694,-0.013754256095752409,-1000000000.0,1000000000.0,-0.014114087500639694,-0.013754256095752409,56.0,breakout,1,"{""adx_thresh"": 22.499294920867662, ""atr_max_pct"": 0.0362137531136819, ""atr_min_pct"": 0.006636420012904718, ""bb_std_mult"": 2.646721176391612, ""bear_adx_thresh"": 29.97996616414121, ""bear_atr_max_pct"": 0.10240541114539044, ""bear_atr_min_pct"": 0.023180323064672485, ""bear_bb_std_mult"": 1.8168257436280473, ""bear_rsi_ob"": 94, ""bear_rsi_os"": 40, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 194, ""bear_tp_mult"": 2.9996805942719322, ""bear_tsl_mult"": 0.563667944994366, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 12.019606907104311, ""bull_atr_max_pct"": 0.14920667596627066, ""bull_atr_min_pct"": 0.0074125256126775785, ""bull_bb_std_mult"": 2.893049807349802, ""bull_rsi_ob"": 59, ""bull_rsi_os"": 27, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 66, ""bull_tp_mult"": 2.2463869071522526, ""bull_tsl_mult"": 0.3353684059670664, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.5518887599215381, ""edge_k"": 0.8357668357872283, ""ema1"": 25, ""ema2"": 41, ""p_adx"": 29, ""p_atr"": 15, ""p_sma"": 60, ""p_std"": 19, ""rsi_ob"": 75, ""rsi_os"": 45, ""rsi_period"": 28, ""rsi_required"": false, ""sideways_adx_thresh"": 9.959632328095534, ""sideways_atr_max_pct"": 0.1171590445392882, ""sideways_atr_min_pct"": 0.00449829778729941, ""sideways_bb_std_mult"": 2.0718612033255512, ""sideways_rsi_ob"": 95, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 130, ""sideways_tp_mult"": 2.6870044087373772, ""sideways_tsl_mult"": 0.11789568109725512, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.20307567828337578, ""slip_spread_k"": 0.5863880623825424, ""spread_hl_frac"": 0.0412839878911009, ""strategy"": ""breakout"", ""time_stop"": 246, ""tp_mult"": 1.9907542200905262, ""tsl_mult"": 0.931557786776251, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08382562576154025}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 18.92435837539244, ""atr_max_pct"": 0.09048946902578509, ""atr_min_pct"": 0.012910516017114501, ""bb_std_mult"": 1.7970361149861058, ""bear_adx_thresh"": 25.834592762373997, ""bear_atr_max_pct"": 0.1004073274873236, ""bear_atr_min_pct"": 0.02623931037771262, ""bear_bb_std_mult"": 0.7819905276276053, ""bear_rsi_ob"": 67, ""bear_rsi_os"": 22, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 254, ""bear_tp_mult"": 2.662899282408067, ""bear_tsl_mult"": 0.6872698579777594, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 21.094025422954253, ""bull_atr_max_pct"": 0.047590736243977604, ""bull_atr_min_pct"": 0.014752099233234166, ""bull_bb_std_mult"": 2.5115409563047053, ""bull_rsi_ob"": 75, ""bull_rsi_os"": 23, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 193, ""bull_tp_mult"": 1.539226489742779, ""bull_tsl_mult"": 0.043191636921340204, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.37859829130275935, ""edge_k"": 0.4960403353428746, ""ema1"": 10, ""ema2"": 43, ""p_adx"": 9, ""p_atr"": 24, ""p_sma"": 46, ""p_std"": 27, ""rsi_ob"": 55, ""rsi_os"": 24, ""rsi_period"": 58, ""rsi_required"": false, ""sideways_adx_thresh"": 27.14084781072334, ""sideways_atr_max_pct"": 0.12850148699428826, ""sideways_atr_min_pct"": 0.009976724230504094, ""sideways_bb_std_mult"": 1.7571801498373227, ""sideways_rsi_ob"": 47, ""sideways_rsi_os"": 45, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 136, ""sideways_tp_mult"": 1.7589812425577631, ""sideways_tsl_mult"": 0.5983856642992781, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.059351775907896726, ""slip_spread_k"": 0.866464454980447, ""spread_hl_frac"": 0.04647482451294126, ""strategy"": ""breakout"", ""time_stop"": 184, ""tp_mult"": 1.4856863179259625, ""tsl_mult"": 0.47961892673332596, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1101964969660991}"
3,-0.17426800446946167,-0.17360848057525222,-0.17426800446946167,0.17360848057525222,-0.17426800446946167,-0.17360848057525222,385.0,breakout,1,"{""adx_thresh"": 11.867755114165442, ""atr_max_pct"": 0.0827817608621488, ""atr_min_pct"": 0.008713894409981224, ""bb_std_mult"": 3.420116775770311, ""bear_adx_thresh"": 16.703311837811274, ""bear_atr_max_pct"": 0.03540171118445653, ""bear_atr_min_pct"": 0.0019282443715976415, ""bear_bb_std_mult"": 3.5317474098722945, ""bear_rsi_ob"": 72, ""bear_rsi_os"": 51, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 103, ""bear_tp_mult"": 2.9809763179871407, ""bear_tsl_mult"": 0.48294557938840643, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 28.6749080861045, ""bull_atr_max_pct"": 0.0467208673468515, ""bull_atr_min_pct"": 0.0030196413058139835, ""bull_bb_std_mult"": 2.619691027148774, ""bull_rsi_ob"": 95, ""bull_rsi_os"": 13, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 255, ""bull_tp_mult"": 2.2327997637733596, ""bull_tsl_mult"": 0.29387693978282226, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.9011028482249624, ""edge_k"": 1.3845657667211249, ""ema1"": 23, ""ema2"": 41, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 14, ""p_std"": 8, ""rsi_ob"": 54, ""rsi_os"": 53, ""rsi_period"": 84, ""rsi_required"": true, ""sideways_adx_thresh"": 21.935148006495428, ""sideways_atr_max_pct"": 0.05811696004377963, ""sideways_atr_min_pct"": 0.01279067649440975, ""sideways_bb_std_mult"": 1.4881394843339735, ""sideways_rsi_ob"": 90, ""sideways_rsi_os"": 5, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 241, ""sideways_tp_mult"": 1.0544455292463222, ""sideways_tsl_mult"": 0.5911577934576291, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.2369191868506318, ""slip_spread_k"": 0.9212288027221748, ""spread_hl_frac"": 0.030602654778565497, ""strategy"": ""breakout"", ""time_stop"": 130, ""tp_mult"": 1.7380068006154588, ""tsl_mult"": 0.9228901725141138, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.060013403482837145}"
4,-0.013772554922098945,-0.013405133251409455,-1000000000.0,1000000000.0,-0.013772554922098945,-0.013405133251409455,33.0,mean_reversion,1,"{""adx_thresh"": 12.324775478040715, ""atr_max_pct"": 0.012466677124644205, ""atr_min_pct"": 0.0004362890809283371, ""bb_std_mult"": 2.7324830093458776, ""bear_adx_thresh"": 7.2148246139882755, ""bear_atr_max_pct"": 0.027001236376779727, ""bear_atr_min_pct"": 0.004603687006357988, ""bear_bb_std_mult"": 1.9759241483939334, ""bear_rsi_ob"": 54, ""bear_rsi_os"": 27, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 65, ""bear_tp_mult"": 2.0889327351456366, ""bear_tsl_mult"": 0.219026994030748, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 34.748886265638255, ""bull_atr_max_pct"": 0.1356495596389746, ""bull_atr_min_pct"": 0.013906068384189165, ""bull_bb_std_mult"": 2.2897759256494203, ""bull_rsi_ob"": 69, ""bull_rsi_os"": 26, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 133, ""bull_tp_mult"": 2.026906526048532, ""bull_tsl_mult"": 0.14264813462949755, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.07624152470377478, ""edge_k"": 1.757002523129198, ""ema1"": 18, ""ema2"": 60, ""p_adx"": 29, ""p_atr"": 14, ""p_sma"": 8, ""p_std"": 24, ""rsi_ob"": 52, ""rsi_os"": 33, ""rsi_period"": 23, ""rsi_required"": true, ""sideways_adx_thresh"": 14.674230127205519, ""sideways_atr_max_pct"": 0.1180574183621268, ""sideways_atr_min_pct"": 0.006994942366039641, ""sideways_bb_std_mult"": 2.3368307055338864, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 8, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 110, ""sideways_tp_mult"": 2.4187778867503957, ""sideways_tsl_mult"": 0.8561491715159181, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.12566801488539742, ""slip_spread_k"": 0.27635253220993705, ""spread_hl_frac"": 0.04934207829054497, ""strategy"": ""mean_reversion"", ""time_stop"": 277, ""tp_mult"": 1.9599628748847162, ""tsl_mult"": 0.29031293428963456, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1067600014572323}"
5,0.0013951021648799244,-0.00042619749006892453,-1000000000.0,1000000000.0,0.0013951021648799244,-0.00042619749006892453,9.0,breakout,1,"{""adx_thresh"": 34.06876062248691, ""atr_max_pct"": 0.11989799469270071, ""atr_min_pct"": 0.017033068021306823, ""bb_std_mult"": 2.6232915184879766, ""bear_adx_thresh"": 7.676799659251578, ""bear_atr_max_pct"": 0.10559325837846971, ""bear_atr_min_pct"": 0.0024232800216628836, ""bear_bb_std_mult"": 3.252812005651174, ""bear_rsi_ob"": 93, ""bear_rsi_os"": 17, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 63, ""bear_tp_mult"": 1.1651608798592954, ""bear_tsl_mult"": 0.23581951489763475, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 9.02638903297932, ""bull_atr_max_pct"": 0.04477119723465164, ""bull_atr_min_pct"": 0.016118406746906982, ""bull_bb_std_mult"": 1.0569562684873257, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 46, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 99, ""bull_tp_mult"": 1.2115995666556465, ""bull_tsl_mult"": 0.8323802436159369, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.9231022351945772, ""edge_k"": 0.6244404729909998, ""ema1"": 10, ""ema2"": 20, ""p_adx"": 11, ""p_atr"": 12, ""p_sma"": 53, ""p_std"": 44, ""rsi_ob"": 67, ""rsi_os"": 47, ""rsi_period"": 51, ""rsi_required"": true, ""sideways_adx_thresh"": 17.582021430833148, ""sideways_atr_max_pct"": 0.014831768537466915, ""sideways_atr_min_pct"": 0.008614079553998066, ""sideways_bb_std_mult"": 1.8537120190099377, ""sideways_rsi_ob"": 89, ""sideways_rsi_os"": 36, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 196, ""sideways_tp_mult"": 1.580795345735732, ""sideways_tsl_mult"": 0.8199845801672764, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.01584510172697562, ""slip_spread_k"": 0.01678962879137802, ""spread_hl_frac"": 0.0063143592051984505, ""strategy"": ""breakout"", ""time_stop"": 176, ""tp_mult"": 2.3430111253257784, ""tsl_mult"": 0.48641679413147987, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09763625551127758}"
6,-0.0012455751730799935,0.0,-1000000000.0,1000000000.0,-0.0012455751730799935,0.0,1.0,breakout,1,"{""adx_thresh"": 25.58998117763513, ""atr_max_pct"": 0.0621798731046256, ""atr_min_pct"": 0.02792033840622855, ""bb_std_mult"": 3.4059124338812765, ""bear_adx_thresh"": 29.247072209981823, ""bear_atr_max_pct"": 0.08920140023092155, ""bear_atr_min_pct"": 0.005209904894564542, ""bear_bb_std_mult"": 2.404924308997195, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 16, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 130, ""bear_tp_mult"": 2.205443223532503, ""bear_tsl_mult"": 0.5509762629397439, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.8131492832872, ""bull_atr_max_pct"": 0.10772219947505493, ""bull_atr_min_pct"": 0.00474924341770783, ""bull_bb_std_mult"": 2.309476366862672, ""bull_rsi_ob"": 48, ""bull_rsi_os"": 45, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 70, ""bull_tp_mult"": 2.1063738100641514, ""bull_tsl_mult"": 0.7993514075275022, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.7927176842307643, ""edge_k"": 1.5498595852175954, ""ema1"": 14, ""ema2"": 43, ""p_adx"": 21, ""p_atr"": 14, ""p_sma"": 28, ""p_std"": 53, ""rsi_ob"": 92, ""rsi_os"": 12, ""rsi_period"": 23, ""rsi_required"": false, ""sideways_adx_thresh"": 24.539794682854122, ""sideways_atr_max_pct"": 0.10821544187222079, ""sideways_atr_min_pct"": 0.004801155576293296, ""sideways_bb_std_mult"": 2.724744249738558, ""sideways_rsi_ob"": 52, ""sideways_rsi_os"": 6, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 271, ""sideways_tp_mult"": 2.443604604001157, ""sideways_tsl_mult"": 0.5453023933632176, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20194978102419472, ""slip_spread_k"": 0.20371584548072874, ""spread_hl_frac"": 0.013958455848403023, ""strategy"": ""breakout"", ""time_stop"": 57, ""tp_mult"": 1.691081969430346, ""tsl_mult"": 0.09157283144626471, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12814702198954214}"
7,-0.16225628261210512,-0.16244902143522136,-0.16225628261210512,0.16244902143522136,-0.16225628261210512,-0.16244902143522136,304.0,breakout,1,"{""adx_thresh"": 14.190613091214374, ""atr_max_pct"": 0.1386420375937379, ""atr_min_pct"": 0.004229410567389537, ""bb_std_mult"": 1.1548068066850263, ""bear_adx_thresh"": 24.676222823481297, ""bear_atr_max_pct"": 0.04463212820977703, ""bear_atr_min_pct"": 4.990822870112099e-05, ""bear_bb_std_mult"": 1.0695892271208496, ""bear_rsi_ob"": 58, ""bear_rsi_os"": 24, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 150, ""bear_tp_mult"": 1.8340378614008026, ""bear_tsl_mult"": 0.14766310413479156, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 6.473576199947779, ""bull_atr_max_pct"": 0.12174500033830504, ""bull_atr_min_pct"": 0.016869165403054165, ""bull_bb_std_mult"": 2.4840596328579663, ""bull_rsi_ob"": 84, ""bull_rsi_os"": 33, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 109, ""bull_tp_mult"": 1.7057309711927056, ""bull_tsl_mult"": 0.7109182219407112, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.34295376587939835, ""edge_k"": 0.8593933050619547, ""ema1"": 16, ""ema2"": 50, ""p_adx"": 14, ""p_atr"": 17, ""p_sma"": 24, ""p_std"": 37, ""rsi_ob"": 49, ""rsi_os"": 9, ""rsi_period"": 16, ""rsi_required"": false, ""sideways_adx_thresh"": 5.769117013329854, ""sideways_atr_max_pct"": 0.13770745493460582, ""sideways_atr_min_pct"": 0.01214277429698528, ""sideways_bb_std_mult"": 2.412868384759113, ""sideways_rsi_ob"": 81, ""sideways_rsi_os"": 37, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 66, ""sideways_tp_mult"": 1.0513534728859837, ""sideways_tsl_mult"": 0.6109497049486307, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.24779257901467097, ""slip_spread_k"": 0.22761443167792605, ""spread_hl_frac"": 0.04371903530001111, ""strategy"": ""breakout"", ""time_stop"": 151, ""tp_mult"": 1.642689557558495, ""tsl_mult"": 0.423612762339441, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.096043749860194}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 21.008696444922915, ""atr_max_pct"": 0.13202554710754094, ""atr_min_pct"": 0.007390701790902492, ""bb_std_mult"": 1.6424315591435195, ""bear_adx_thresh"": 17.929334423455025, ""bear_atr_max_pct"": 0.12377180022085091, ""bear_atr_min_pct"": 0.023056673637917257, ""bear_bb_std_mult"": 3.006853131072084, ""bear_rsi_ob"": 77, ""bear_rsi_os"": 31, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 271, ""bear_tp_mult"": 1.2819210531469694, ""bear_tsl_mult"": 0.5760943707698656, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.07891109228448, ""bull_atr_max_pct"": 0.08831980392246655, ""bull_atr_min_pct"": 0.011369282477073408, ""bull_bb_std_mult"": 0.6066090132473066, ""bull_rsi_ob"": 57, ""bull_rsi_os"": 55, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 162, ""bull_tp_mult"": 1.7738198884196257, ""bull_tsl_mult"": 0.5995805258630392, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.3473235674278295, ""edge_k"": 1.218018275959228, ""ema1"": 22, ""ema2"": 58, ""p_adx"": 27, ""p_atr"": 30, ""p_sma"": 31, ""p_std"": 21, ""rsi_ob"": 93, ""rsi_os"": 17, ""rsi_period"": 13, ""rsi_required"": false, ""sideways_adx_thresh"": 25.8566108923922, ""sideways_atr_max_pct"": 0.14186627716111444, ""sideways_atr_min_pct"": 0.014904785160239156, ""sideways_bb_std_mult"": 1.984961859832358, ""sideways_rsi_ob"": 58, ""sideways_rsi_os"": 16, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 125, ""sideways_tp_mult"": 1.1899077604208155, ""sideways_tsl_mult"": 0.42473682156093906, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.12269020038021658, ""slip_spread_k"": 0.9971570305422957, ""spread_hl_frac"": 0.014521109301513808, ""strategy"": ""breakout"", ""time_stop"": 180, ""tp_mult"": 1.3641536855502672, ""tsl_mult"": 0.11437026368312864, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19060303690840416}"
9,-0.01724536948641675,-0.01715669433284042,-1000000000.0,1000000000.0,-0.01724536948641675,-0.01715669433284042,66.0,breakout,1,"{""adx_thresh"": 29.538742999232753, ""atr_max_pct"": 0.1297814410775408, ""atr_min_pct"": 0.006959843752981829, ""bb_std_mult"": 2.5043838920066066, ""bear_adx_thresh"": 34.40208077101067, ""bear_atr_max_pct"": 0.10108651122980443, ""bear_atr_min_pct"": 0.004809894608563609, ""bear_bb_std_mult"": 2.827353993914377, ""bear_rsi_ob"": 67, ""bear_rsi_os"": 44, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 213, ""bear_tp_mult"": 1.7873760976442878, ""bear_tsl_mult"": 0.1542242802450955, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 11.112131810247845, ""bull_atr_max_pct"": 0.13950156164166772, ""bull_atr_min_pct"": 0.0022746829349593735, ""bull_bb_std_mult"": 0.9843838561250704, ""bull_rsi_ob"": 60, ""bull_rsi_os"": 9, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 109, ""bull_tp_mult"": 2.780168736323067, ""bull_tsl_mult"": 0.12971826211849047, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9863629832856947, ""edge_k"": 1.5061769612987246, ""ema1"": 23, ""ema2"": 19, ""p_adx"": 22, ""p_atr"": 7, ""p_sma"": 11, ""p_std"": 52, ""rsi_ob"": 58, ""rsi_os"": 37, ""rsi_period"": 83, ""rsi_required"": false, ""sideways_adx_thresh"": 31.90731619312249, ""sideways_atr_max_pct"": 0.14304483168033338, ""sideways_atr_min_pct"": 0.024772020814083043, ""sideways_bb_std_mult"": 0.6980257433146096, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 47, ""sideways_tp_mult"": 1.856877703949995, ""sideways_tsl_mult"": 0.09714133999068919, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11181188182315224, ""slip_spread_k"": 0.7998477868876339, ""spread_hl_frac"": 0.038336190482091435, ""strategy"": ""breakout"", ""time_stop"": 168, ""tp_mult"": 2.190981982579102, ""tsl_mult"": 0.6959660577282709, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.02767987531071635}"
