number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 13.552334079346299, ""atr_max_pct"": 0.07917233667250491, ""atr_min_pct"": 0.022161228858961043, ""bb_std_mult"": 1.7491022987099774, ""bear_adx_thresh"": 32.80557900223364, ""bear_atr_max_pct"": 0.012293724213612406, ""bear_atr_min_pct"": 0.02775972964120203, ""bear_bb_std_mult"": 2.5180826215675074, ""bear_rsi_ob"": 53, ""bear_rsi_os"": 38, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 89, ""bear_tp_mult"": 2.24817083470542, ""bear_tsl_mult"": 0.3135915991870356, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 5.04393161270356, ""bull_atr_max_pct"": 0.10226613190434522, ""bull_atr_min_pct"": 0.015553643064111342, ""bull_bb_std_mult"": 3.3810625559091294, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 44, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 60, ""bull_tp_mult"": 2.0995106812151705, ""bull_tsl_mult"": 0.3721254421414556, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.4246217346187274, ""edge_k"": 0.6852484015820868, ""ema1"": 19, ""ema2"": 23, ""p_adx"": 15, ""p_atr"": 9, ""p_sma"": 41, ""p_std"": 21, ""rsi_ob"": 83, ""rsi_os"": 35, ""rsi_period"": 54, ""rsi_required"": true, ""sideways_adx_thresh"": 32.86787155760316, ""sideways_atr_max_pct"": 0.10695185411403622, ""sideways_atr_min_pct"": 0.02351976754816667, ""sideways_bb_std_mult"": 2.915660164941871, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 48, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 167, ""sideways_tp_mult"": 2.922902458767505, ""sideways_tsl_mult"": 0.12438217599266732, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.041051834296297246, ""slip_spread_k"": 0.3988633454254309, ""spread_hl_frac"": 0.029567554321821718, ""strategy"": ""mean_reversion"", ""time_stop"": 265, ""tp_mult"": 1.0952002176896773, ""tsl_mult"": 0.43946595319151616, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2733856500249245}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 6.172780486006761, ""atr_max_pct"": 0.06045967413916256, ""atr_min_pct"": 0.002884597676215178, ""bb_std_mult"": 1.6331882498703847, ""bear_adx_thresh"": 9.204647273709138, ""bear_atr_max_pct"": 0.07868337786700919, ""bear_atr_min_pct"": 0.015641308689857653, ""bear_bb_std_mult"": 0.8957468859940751, ""bear_rsi_ob"": 77, ""bear_rsi_os"": 44, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 80, ""bear_tp_mult"": 2.825697337177375, ""bear_tsl_mult"": 0.14836473860337407, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 20.17808515712377, ""bull_atr_max_pct"": 0.10374070166158773, ""bull_atr_min_pct"": 0.020762261421783154, ""bull_bb_std_mult"": 3.2817445312817046, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 27, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 205, ""bull_tp_mult"": 1.9052273450550854, ""bull_tsl_mult"": 0.9541328834279424, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.3147789855706233, ""edge_k"": 1.6740135944876129, ""ema1"": 26, ""ema2"": 53, ""p_adx"": 18, ""p_atr"": 23, ""p_sma"": 18, ""p_std"": 59, ""rsi_ob"": 53, ""rsi_os"": 9, ""rsi_period"": 17, ""rsi_required"": true, ""sideways_adx_thresh"": 10.958110492283936, ""sideways_atr_max_pct"": 0.07334334574753328, ""sideways_atr_min_pct"": 0.028996473205224048, ""sideways_bb_std_mult"": 3.580645274315658, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 22, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 60, ""sideways_tp_mult"": 1.1383170472842796, ""sideways_tsl_mult"": 0.3276060026243378, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.17996765609503843, ""slip_spread_k"": 0.22841246341528787, ""spread_hl_frac"": 0.03306317045193752, ""strategy"": ""mean_reversion"", ""time_stop"": 12, ""tp_mult"": 2.6925526678450526, ""tsl_mult"": 0.7226193986159769, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0692297105631286}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 5.067460142023796, ""atr_max_pct"": 0.026166257913790663, ""atr_min_pct"": 0.02347495764671149, ""bb_std_mult"": 2.6405871275063184, ""bear_adx_thresh"": 13.806602479964686, ""bear_atr_max_pct"": 0.06664804557898218, ""bear_atr_min_pct"": 0.01935108420410837, ""bear_bb_std_mult"": 1.603925067896223, ""bear_rsi_ob"": 79, ""bear_rsi_os"": 14, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 70, ""bear_tp_mult"": 1.8481576048833626, ""bear_tsl_mult"": 0.307665856352632, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 21.38267319066542, ""bull_atr_max_pct"": 0.02365397297480735, ""bull_atr_min_pct"": 0.025280597899597225, ""bull_bb_std_mult"": 1.0186066788947628, ""bull_rsi_ob"": 75, ""bull_rsi_os"": 32, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 144, ""bull_tp_mult"": 2.550945924859847, ""bull_tsl_mult"": 0.7856571411986157, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.39488754196431375, ""edge_k"": 1.173341373535192, ""ema1"": 5, ""ema2"": 52, ""p_adx"": 7, ""p_atr"": 11, ""p_sma"": 23, ""p_std"": 26, ""rsi_ob"": 76, ""rsi_os"": 42, ""rsi_period"": 81, ""rsi_required"": false, ""sideways_adx_thresh"": 14.347290950077127, ""sideways_atr_max_pct"": 0.053712219595639626, ""sideways_atr_min_pct"": 0.0056847871222704995, ""sideways_bb_std_mult"": 1.5494335130225816, ""sideways_rsi_ob"": 87, ""sideways_rsi_os"": 53, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 133, ""sideways_tp_mult"": 2.4370368749126508, ""sideways_tsl_mult"": 0.03611120661319556, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.2326718432874501, ""slip_spread_k"": 0.6876203448303647, ""spread_hl_frac"": 0.04428582855092011, ""strategy"": ""breakout"", ""time_stop"": 242, ""tp_mult"": 2.9506816743000064, ""tsl_mult"": 0.6980534324784519, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1446242713536078}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 12.267339624444247, ""atr_max_pct"": 0.08981075193177519, ""atr_min_pct"": 0.015398386028676013, ""bb_std_mult"": 2.3151690162098286, ""bear_adx_thresh"": 29.322186802314352, ""bear_atr_max_pct"": 0.01418689924693816, ""bear_atr_min_pct"": 0.0270355030392684, ""bear_bb_std_mult"": 1.4772176020910441, ""bear_rsi_ob"": 49, ""bear_rsi_os"": 19, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 142, ""bear_tp_mult"": 1.469782247344193, ""bear_tsl_mult"": 0.020869735853826454, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.316750902198276, ""bull_atr_max_pct"": 0.09888768170497668, ""bull_atr_min_pct"": 0.02669161089239917, ""bull_bb_std_mult"": 2.3261850844652767, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 45, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 138, ""bull_tp_mult"": 2.8373088888173976, ""bull_tsl_mult"": 0.05348583687212782, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.47775788587968837, ""edge_k"": 0.501718702287103, ""ema1"": 10, ""ema2"": 14, ""p_adx"": 30, ""p_atr"": 8, ""p_sma"": 20, ""p_std"": 30, ""rsi_ob"": 59, ""rsi_os"": 43, ""rsi_period"": 41, ""rsi_required"": false, ""sideways_adx_thresh"": 18.481384340477348, ""sideways_atr_max_pct"": 0.061949603614648935, ""sideways_atr_min_pct"": 0.024909656361902007, ""sideways_bb_std_mult"": 3.3931924126171196, ""sideways_rsi_ob"": 85, ""sideways_rsi_os"": 30, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 196, ""sideways_tp_mult"": 2.54609265752285, ""sideways_tsl_mult"": 0.45459402173291064, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07698354397333529, ""slip_spread_k"": 0.9429144131120337, ""spread_hl_frac"": 0.03436213107956599, ""strategy"": ""mean_reversion"", ""time_stop"": 273, ""tp_mult"": 2.517900172356002, ""tsl_mult"": 0.41704118259245526, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.04984484112456376}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 17.45088888011459, ""atr_max_pct"": 0.09121236510062194, ""atr_min_pct"": 0.02310369395219403, ""bb_std_mult"": 2.4082002979343553, ""bear_adx_thresh"": 14.603849641731472, ""bear_atr_max_pct"": 0.049742915708333134, ""bear_atr_min_pct"": 0.024404625084982975, ""bear_bb_std_mult"": 2.645294451941513, ""bear_rsi_ob"": 53, ""bear_rsi_os"": 19, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 178, ""bear_tp_mult"": 2.6031205525580354, ""bear_tsl_mult"": 0.1933091037471416, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 31.929754306560262, ""bull_atr_max_pct"": 0.03920026647250409, ""bull_atr_min_pct"": 0.021177199374804796, ""bull_bb_std_mult"": 3.5870635831965205, ""bull_rsi_ob"": 47, ""bull_rsi_os"": 13, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 116, ""bull_tp_mult"": 2.4676423040487654, ""bull_tsl_mult"": 0.16081942810505878, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.2594203600160466, ""edge_k"": 1.7187531940027583, ""ema1"": 19, ""ema2"": 34, ""p_adx"": 22, ""p_atr"": 7, ""p_sma"": 38, ""p_std"": 34, ""rsi_ob"": 88, ""rsi_os"": 55, ""rsi_period"": 42, ""rsi_required"": false, ""sideways_adx_thresh"": 6.392740855142234, ""sideways_atr_max_pct"": 0.04631268580996776, ""sideways_atr_min_pct"": 0.01837598945705673, ""sideways_bb_std_mult"": 1.800855022975965, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 26, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 11, ""sideways_tp_mult"": 1.2336732990966428, ""sideways_tsl_mult"": 0.5574301445744987, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.16712185121997997, ""slip_spread_k"": 0.2661960659269833, ""spread_hl_frac"": 0.042088006141914484, ""strategy"": ""mean_reversion"", ""time_stop"": 36, ""tp_mult"": 1.2096668370348769, ""tsl_mult"": 0.17684795782375629, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.17249534656046633}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.26409016112664, ""atr_max_pct"": 0.11027863399194458, ""atr_min_pct"": 0.012441263633836746, ""bb_std_mult"": 2.1163634639777666, ""bear_adx_thresh"": 16.38964432214264, ""bear_atr_max_pct"": 0.038687492680918326, ""bear_atr_min_pct"": 0.020393751240814044, ""bear_bb_std_mult"": 0.8744444452272121, ""bear_rsi_ob"": 49, ""bear_rsi_os"": 13, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 146, ""bear_tp_mult"": 1.1776717515224984, ""bear_tsl_mult"": 0.11257666878925077, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 17.379086024936015, ""bull_atr_max_pct"": 0.011960248827255295, ""bull_atr_min_pct"": 0.02299812655406134, ""bull_bb_std_mult"": 2.5500761149679465, ""bull_rsi_ob"": 84, ""bull_rsi_os"": 39, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 222, ""bull_tp_mult"": 2.8030350409051095, ""bull_tsl_mult"": 0.027645967983668807, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.5048903304026873, ""edge_k"": 1.5332156328339113, ""ema1"": 20, ""ema2"": 20, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 13, ""p_std"": 7, ""rsi_ob"": 82, ""rsi_os"": 55, ""rsi_period"": 61, ""rsi_required"": true, ""sideways_adx_thresh"": 22.31545526102716, ""sideways_atr_max_pct"": 0.026138028235203486, ""sideways_atr_min_pct"": 0.00035250630360602497, ""sideways_bb_std_mult"": 0.9021620385020548, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 42, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 215, ""sideways_tp_mult"": 2.7714246242524583, ""sideways_tsl_mult"": 0.7350688613220638, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.049450234765606976, ""slip_spread_k"": 0.3971742122370384, ""spread_hl_frac"": 0.0455905597441683, ""strategy"": ""mean_reversion"", ""time_stop"": 210, ""tp_mult"": 1.9041946349458148, ""tsl_mult"": 0.47055030990646074, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2067120475427348}"
6,-0.0012433019356996589,-0.0014989137596486768,-1000000000.0,1000000000.0,-0.0012433019356996589,-0.0014989137596486768,34.0,breakout,1,"{""adx_thresh"": 22.510971553549833, ""atr_max_pct"": 0.046737498794025174, ""atr_min_pct"": 0.024467899888351918, ""bb_std_mult"": 2.948169639989838, ""bear_adx_thresh"": 33.05218429230409, ""bear_atr_max_pct"": 0.0825272003378922, ""bear_atr_min_pct"": 0.019902098166802055, ""bear_bb_std_mult"": 2.886019134430063, ""bear_rsi_ob"": 72, ""bear_rsi_os"": 24, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 6, ""bear_tp_mult"": 1.7412232583400886, ""bear_tsl_mult"": 0.546471522587403, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 16.833486438010457, ""bull_atr_max_pct"": 0.06607969234310095, ""bull_atr_min_pct"": 0.0038383318248860453, ""bull_bb_std_mult"": 2.290125809145679, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 33, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 274, ""bull_tp_mult"": 1.493485070231574, ""bull_tsl_mult"": 0.054528967579538956, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.31454680655572953, ""edge_k"": 1.9606285219867596, ""ema1"": 20, ""ema2"": 34, ""p_adx"": 29, ""p_atr"": 15, ""p_sma"": 12, ""p_std"": 29, ""rsi_ob"": 83, ""rsi_os"": 13, ""rsi_period"": 9, ""rsi_required"": true, ""sideways_adx_thresh"": 14.14511026616193, ""sideways_atr_max_pct"": 0.1332693245042963, ""sideways_atr_min_pct"": 0.007234623458867695, ""sideways_bb_std_mult"": 0.7276635346083155, ""sideways_rsi_ob"": 72, ""sideways_rsi_os"": 22, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 153, ""sideways_tp_mult"": 2.9656456643312006, ""sideways_tsl_mult"": 0.8339107331717249, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.09864016912532195, ""slip_spread_k"": 0.03049819404633214, ""spread_hl_frac"": 0.041295904815756734, ""strategy"": ""breakout"", ""time_stop"": 267, ""tp_mult"": 1.893446979678597, ""tsl_mult"": 0.700626936072128, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.036611647185009255}"
7,4.9806627645310186e-05,0.0,-1000000000.0,1000000000.0,4.9806627645310186e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 13.079703334446537, ""atr_max_pct"": 0.14717285882448003, ""atr_min_pct"": 0.028875877250360314, ""bb_std_mult"": 1.4092956319882723, ""bear_adx_thresh"": 14.854026268338368, ""bear_atr_max_pct"": 0.03160112218426073, ""bear_atr_min_pct"": 0.029478271666954516, ""bear_bb_std_mult"": 3.455972536124822, ""bear_rsi_ob"": 57, ""bear_rsi_os"": 35, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 153, ""bear_tp_mult"": 2.902256796175105, ""bear_tsl_mult"": 0.21264109013052523, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 6.805767910393035, ""bull_atr_max_pct"": 0.07588939228445835, ""bull_atr_min_pct"": 0.013073595177704879, ""bull_bb_std_mult"": 1.2059653062346698, ""bull_rsi_ob"": 47, ""bull_rsi_os"": 28, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 120, ""bull_tp_mult"": 1.4915558740369128, ""bull_tsl_mult"": 0.8259220155976141, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.8772173314067657, ""edge_k"": 0.0910462076792018, ""ema1"": 13, ""ema2"": 57, ""p_adx"": 20, ""p_atr"": 23, ""p_sma"": 51, ""p_std"": 33, ""rsi_ob"": 65, ""rsi_os"": 31, ""rsi_period"": 63, ""rsi_required"": true, ""sideways_adx_thresh"": 33.415664691693856, ""sideways_atr_max_pct"": 0.010702455933126446, ""sideways_atr_min_pct"": 0.00817857661818266, ""sideways_bb_std_mult"": 2.9191702619616495, ""sideways_rsi_ob"": 49, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 222, ""sideways_tp_mult"": 2.821862016496827, ""sideways_tsl_mult"": 0.8312918072719725, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.019471395780665257, ""slip_spread_k"": 0.6584178070085633, ""spread_hl_frac"": 0.01943765733068987, ""strategy"": ""mean_reversion"", ""time_stop"": 122, ""tp_mult"": 1.1186133255105999, ""tsl_mult"": 0.6054789814681127, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21757068853791936}"
8,-0.023733681735049528,-0.023615068082500787,-0.023733681735049528,0.023615068082500787,-0.023733681735049528,-0.023615068082500787,251.0,mean_reversion,1,"{""adx_thresh"": 32.532098151900854, ""atr_max_pct"": 0.07553276633095468, ""atr_min_pct"": 0.004354426473191771, ""bb_std_mult"": 2.2672942924722856, ""bear_adx_thresh"": 19.23771960842119, ""bear_atr_max_pct"": 0.08038871597572018, ""bear_atr_min_pct"": 0.0025117535603087393, ""bear_bb_std_mult"": 2.0804659867806357, ""bear_rsi_ob"": 50, ""bear_rsi_os"": 39, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 86, ""bear_tp_mult"": 2.7247315088920088, ""bear_tsl_mult"": 0.4121973289637051, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 30.02357460808101, ""bull_atr_max_pct"": 0.043443028173225415, ""bull_atr_min_pct"": 0.019181134806847206, ""bull_bb_std_mult"": 1.2116887832583696, ""bull_rsi_ob"": 51, ""bull_rsi_os"": 31, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 121, ""bull_tp_mult"": 1.4758468017921418, ""bull_tsl_mult"": 0.04750755368105386, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.38776987260858453, ""edge_k"": 1.0939847869831925, ""ema1"": 23, ""ema2"": 51, ""p_adx"": 21, ""p_atr"": 12, ""p_sma"": 14, ""p_std"": 24, ""rsi_ob"": 92, ""rsi_os"": 5, ""rsi_period"": 72, ""rsi_required"": true, ""sideways_adx_thresh"": 10.017746238438736, ""sideways_atr_max_pct"": 0.03045160929333956, ""sideways_atr_min_pct"": 0.00138753775164962, ""sideways_bb_std_mult"": 3.4414074096999494, ""sideways_rsi_ob"": 71, ""sideways_rsi_os"": 9, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 37, ""sideways_tp_mult"": 2.2239346058755824, ""sideways_tsl_mult"": 0.7923384685199252, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07926834696578355, ""slip_spread_k"": 0.8885300776274827, ""spread_hl_frac"": 0.0336245249652558, ""strategy"": ""mean_reversion"", ""time_stop"": 157, ""tp_mult"": 2.1336225290356516, ""tsl_mult"": 0.2201805078821124, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.16998686399572444}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.90923556663813, ""atr_max_pct"": 0.07678548637130461, ""atr_min_pct"": 0.00779277266205283, ""bb_std_mult"": 0.5054627397926296, ""bear_adx_thresh"": 13.730787445559706, ""bear_atr_max_pct"": 0.02123091901453007, ""bear_atr_min_pct"": 0.019522884981290945, ""bear_bb_std_mult"": 1.1825533028141777, ""bear_rsi_ob"": 71, ""bear_rsi_os"": 36, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 244, ""bear_tp_mult"": 2.8051826694908906, ""bear_tsl_mult"": 0.03381019835206733, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 28.726822381305823, ""bull_atr_max_pct"": 0.05112530795999875, ""bull_atr_min_pct"": 0.014473475114518476, ""bull_bb_std_mult"": 0.8131416350547171, ""bull_rsi_ob"": 72, ""bull_rsi_os"": 21, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 82, ""bull_tp_mult"": 1.6321797322971123, ""bull_tsl_mult"": 0.7271032607108355, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.4480021466480069, ""edge_k"": 1.0379218216177313, ""ema1"": 19, ""ema2"": 44, ""p_adx"": 11, ""p_atr"": 24, ""p_sma"": 12, ""p_std"": 19, ""rsi_ob"": 58, ""rsi_os"": 24, ""rsi_period"": 75, ""rsi_required"": false, ""sideways_adx_thresh"": 23.851977350420537, ""sideways_atr_max_pct"": 0.08819996096440685, ""sideways_atr_min_pct"": 0.029009766564356932, ""sideways_bb_std_mult"": 1.5737404402669926, ""sideways_rsi_ob"": 95, ""sideways_rsi_os"": 15, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 281, ""sideways_tp_mult"": 2.1088801383788955, ""sideways_tsl_mult"": 0.6305872288169031, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.03786330538442967, ""slip_spread_k"": 0.25467229812609393, ""spread_hl_frac"": 0.03682688111808307, ""strategy"": ""mean_reversion"", ""time_stop"": 51, ""tp_mult"": 1.2085252549975485, ""tsl_mult"": 0.07431297444157225, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1293729159991575}"
