number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 17.770040334794803, ""atr_max_pct"": 0.07548259279071748, ""atr_min_pct"": 0.006243424939240597, ""bb_std_mult"": 2.119878837762499, ""bear_adx_thresh"": 33.88743510765298, ""bear_atr_max_pct"": 0.0551167967275965, ""bear_atr_min_pct"": 0.028071891087487564, ""bear_bb_std_mult"": 1.382719745022409, ""bear_rsi_ob"": 78, ""bear_rsi_os"": 32, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 286, ""bear_tp_mult"": 2.9545479112498647, ""bear_tsl_mult"": 0.743927368580098, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 7.519048475261347, ""bull_atr_max_pct"": 0.14924933660260717, ""bull_atr_min_pct"": 0.02562642713134331, ""bull_bb_std_mult"": 0.8859293318841793, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 42, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 165, ""bull_tp_mult"": 2.1174310106880982, ""bull_tsl_mult"": 0.1909842875227844, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.6460435728511511, ""edge_k"": 0.7214229599739537, ""ema1"": 13, ""ema2"": 17, ""p_adx"": 10, ""p_atr"": 27, ""p_sma"": 31, ""p_std"": 7, ""rsi_ob"": 66, ""rsi_os"": 44, ""rsi_period"": 38, ""rsi_required"": true, ""sideways_adx_thresh"": 23.935932456746425, ""sideways_atr_max_pct"": 0.13220260915808274, ""sideways_atr_min_pct"": 0.0178787501557808, ""sideways_bb_std_mult"": 1.1319267455304798, ""sideways_rsi_ob"": 54, ""sideways_rsi_os"": 22, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 171, ""sideways_tp_mult"": 1.341876790669652, ""sideways_tsl_mult"": 0.35073959493758, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.22689070808454712, ""slip_spread_k"": 0.3833165241755866, ""spread_hl_frac"": 0.01173047823744492, ""strategy"": ""breakout"", ""time_stop"": 43, ""tp_mult"": 2.1932547427612583, ""tsl_mult"": 0.5820511704106044, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.02309124368244998}"
1,0.0002353319281087618,-6.212329759098017e-06,-1000000000.0,1000000000.0,0.0002353319281087618,-6.212329759098017e-06,5.0,mean_reversion,1,"{""adx_thresh"": 22.75584669204358, ""atr_max_pct"": 0.12434622989104789, ""atr_min_pct"": 0.02700724148264413, ""bb_std_mult"": 3.5227382039751807, ""bear_adx_thresh"": 25.898118417247503, ""bear_atr_max_pct"": 0.02175853496684176, ""bear_atr_min_pct"": 0.029779379130898252, ""bear_bb_std_mult"": 3.0776443730486385, ""bear_rsi_ob"": 83, ""bear_rsi_os"": 37, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 75, ""bear_tp_mult"": 2.8044409831303643, ""bear_tsl_mult"": 0.10715751015295116, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.19974646713801, ""bull_atr_max_pct"": 0.03611137287132049, ""bull_atr_min_pct"": 0.009411445481792867, ""bull_bb_std_mult"": 0.6505284111697995, ""bull_rsi_ob"": 50, ""bull_rsi_os"": 6, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 278, ""bull_tp_mult"": 1.911033022104286, ""bull_tsl_mult"": 0.032975066293415844, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.512566542097267, ""edge_k"": 0.5299455471335854, ""ema1"": 23, ""ema2"": 25, ""p_adx"": 9, ""p_atr"": 25, ""p_sma"": 54, ""p_std"": 38, ""rsi_ob"": 56, ""rsi_os"": 20, ""rsi_period"": 46, ""rsi_required"": false, ""sideways_adx_thresh"": 13.868629545106169, ""sideways_atr_max_pct"": 0.0664741299548062, ""sideways_atr_min_pct"": 0.004885410707794818, ""sideways_bb_std_mult"": 2.272228650274634, ""sideways_rsi_ob"": 50, ""sideways_rsi_os"": 41, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 232, ""sideways_tp_mult"": 1.3320532119441926, ""sideways_tsl_mult"": 0.0871342796893233, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.02236966590572595, ""slip_spread_k"": 0.028078674454759422, ""spread_hl_frac"": 0.04291829095320282, ""strategy"": ""mean_reversion"", ""time_stop"": 210, ""tp_mult"": 1.299614445829914, ""tsl_mult"": 0.9550100637268409, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11794249834649817}"
2,-4.601166075479668e-05,-0.00013926187309445053,-1000000000.0,1000000000.0,-4.601166075479668e-05,-0.00013926187309445053,2.0,breakout,1,"{""adx_thresh"": 18.98655904452629, ""atr_max_pct"": 0.13703855745729884, ""atr_min_pct"": 0.023761246726803277, ""bb_std_mult"": 3.2745662072229487, ""bear_adx_thresh"": 25.461466541143253, ""bear_atr_max_pct"": 0.03147657885298484, ""bear_atr_min_pct"": 0.006793493257790484, ""bear_bb_std_mult"": 2.983367295315492, ""bear_rsi_ob"": 72, ""bear_rsi_os"": 9, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 14, ""bear_tp_mult"": 1.7117441918546312, ""bear_tsl_mult"": 0.3944515525190807, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 6.207296580874912, ""bull_atr_max_pct"": 0.01083337817064681, ""bull_atr_min_pct"": 0.02653599865564427, ""bull_bb_std_mult"": 0.6187196014832239, ""bull_rsi_ob"": 79, ""bull_rsi_os"": 13, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 114, ""bull_tp_mult"": 2.71824976191712, ""bull_tsl_mult"": 0.030226182915936373, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.4956569659512972, ""edge_k"": 1.7516431922039268, ""ema1"": 29, ""ema2"": 52, ""p_adx"": 25, ""p_atr"": 9, ""p_sma"": 57, ""p_std"": 12, ""rsi_ob"": 55, ""rsi_os"": 48, ""rsi_period"": 78, ""rsi_required"": true, ""sideways_adx_thresh"": 32.645747369429436, ""sideways_atr_max_pct"": 0.061163512716893735, ""sideways_atr_min_pct"": 0.010653854713800402, ""sideways_bb_std_mult"": 0.876330526851499, ""sideways_rsi_ob"": 67, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 144, ""sideways_tp_mult"": 2.383045891022681, ""sideways_tsl_mult"": 0.2365523728211556, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.024939224047992065, ""slip_spread_k"": 0.6215319537633243, ""spread_hl_frac"": 0.006929019853363217, ""strategy"": ""breakout"", ""time_stop"": 14, ""tp_mult"": 2.972390156789559, ""tsl_mult"": 0.6947210485182342, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.040650439302109743}"
3,-0.00029710993017229015,-0.00023803960611853012,-1000000000.0,1000000000.0,-0.00029710993017229015,-0.00023803960611853012,19.0,mean_reversion,1,"{""adx_thresh"": 14.183210771318034, ""atr_max_pct"": 0.05712977748433567, ""atr_min_pct"": 0.028425695043626988, ""bb_std_mult"": 1.9234815573037467, ""bear_adx_thresh"": 6.32655181896882, ""bear_atr_max_pct"": 0.01854969177882742, ""bear_atr_min_pct"": 0.02181200126331832, ""bear_bb_std_mult"": 3.1572465398871525, ""bear_rsi_ob"": 60, ""bear_rsi_os"": 37, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 17, ""bear_tp_mult"": 1.4329545734888878, ""bear_tsl_mult"": 0.6854648922993956, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 29.173719281137984, ""bull_atr_max_pct"": 0.1170946107678095, ""bull_atr_min_pct"": 0.006368634846785732, ""bull_bb_std_mult"": 2.610521971761587, ""bull_rsi_ob"": 79, ""bull_rsi_os"": 50, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 114, ""bull_tp_mult"": 1.8697501460409618, ""bull_tsl_mult"": 0.9347398976726284, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8897617109552395, ""edge_k"": 1.956013249424716, ""ema1"": 19, ""ema2"": 59, ""p_adx"": 27, ""p_atr"": 7, ""p_sma"": 39, ""p_std"": 22, ""rsi_ob"": 89, ""rsi_os"": 11, ""rsi_period"": 77, ""rsi_required"": false, ""sideways_adx_thresh"": 15.66436662717338, ""sideways_atr_max_pct"": 0.08992749465614763, ""sideways_atr_min_pct"": 0.025743085914808377, ""sideways_bb_std_mult"": 0.603394524664763, ""sideways_rsi_ob"": 63, ""sideways_rsi_os"": 5, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 267, ""sideways_tp_mult"": 2.269286041403229, ""sideways_tsl_mult"": 0.6576321699286193, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.011216312255387384, ""slip_spread_k"": 0.5436496007712729, ""spread_hl_frac"": 0.023154278056655615, ""strategy"": ""mean_reversion"", ""time_stop"": 169, ""tp_mult"": 1.6400296838676187, ""tsl_mult"": 0.8441773729754919, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04016072868331796}"
4,-0.01711196544206872,-0.017671000900922093,-0.01711196544206872,0.017671000900922093,-0.01711196544206872,-0.017671000900922093,658.0,mean_reversion,1,"{""adx_thresh"": 20.387057079639458, ""atr_max_pct"": 0.14786786195625, ""atr_min_pct"": 0.029335894592690013, ""bb_std_mult"": 2.9280031252988783, ""bear_adx_thresh"": 15.736355551760367, ""bear_atr_max_pct"": 0.1370204409459862, ""bear_atr_min_pct"": 0.005450138776353701, ""bear_bb_std_mult"": 1.2779767311386188, ""bear_rsi_ob"": 64, ""bear_rsi_os"": 28, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 262, ""bear_tp_mult"": 2.63282058248615, ""bear_tsl_mult"": 0.9268021835695127, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 9.625857637298958, ""bull_atr_max_pct"": 0.11905480316736111, ""bull_atr_min_pct"": 0.00041391690927773504, ""bull_bb_std_mult"": 1.0428208475342575, ""bull_rsi_ob"": 52, ""bull_rsi_os"": 53, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 144, ""bull_tp_mult"": 2.503282531853783, ""bull_tsl_mult"": 0.3304337903673964, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.686532425835973, ""edge_k"": 1.872951971424722, ""ema1"": 30, ""ema2"": 46, ""p_adx"": 20, ""p_atr"": 18, ""p_sma"": 20, ""p_std"": 16, ""rsi_ob"": 52, ""rsi_os"": 49, ""rsi_period"": 28, ""rsi_required"": false, ""sideways_adx_thresh"": 15.115184549170117, ""sideways_atr_max_pct"": 0.06433720256878472, ""sideways_atr_min_pct"": 0.026238927887950892, ""sideways_bb_std_mult"": 3.3531743067594437, ""sideways_rsi_ob"": 76, ""sideways_rsi_os"": 25, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 278, ""sideways_tp_mult"": 1.7889291234834857, ""sideways_tsl_mult"": 0.23938307655145274, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.18343844023574002, ""slip_spread_k"": 0.624524568179586, ""spread_hl_frac"": 0.004961106569035673, ""strategy"": ""mean_reversion"", ""time_stop"": 68, ""tp_mult"": 1.8809324988543168, ""tsl_mult"": 0.8096936840900945, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17547002874911088}"
5,-0.00026678198620333493,-0.00015355388542926695,-1000000000.0,1000000000.0,-0.00026678198620333493,-0.00015355388542926695,3.0,breakout,1,"{""adx_thresh"": 10.552210394204707, ""atr_max_pct"": 0.038181527782653, ""atr_min_pct"": 0.00032222590923352445, ""bb_std_mult"": 1.666552431563588, ""bear_adx_thresh"": 14.464957446700433, ""bear_atr_max_pct"": 0.10909895243578036, ""bear_atr_min_pct"": 0.01810859164695302, ""bear_bb_std_mult"": 2.3571313889836114, ""bear_rsi_ob"": 76, ""bear_rsi_os"": 34, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 104, ""bear_tp_mult"": 1.049823481231911, ""bear_tsl_mult"": 0.41256596283836633, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 7.467351518032976, ""bull_atr_max_pct"": 0.14048001338440488, ""bull_atr_min_pct"": 0.004681087542060385, ""bull_bb_std_mult"": 0.9436586072571993, ""bull_rsi_ob"": 72, ""bull_rsi_os"": 42, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 245, ""bull_tp_mult"": 2.7448922151287585, ""bull_tsl_mult"": 0.42699409416548517, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.6839509327546528, ""edge_k"": 0.8333824204206275, ""ema1"": 7, ""ema2"": 28, ""p_adx"": 17, ""p_atr"": 13, ""p_sma"": 10, ""p_std"": 28, ""rsi_ob"": 48, ""rsi_os"": 45, ""rsi_period"": 34, ""rsi_required"": false, ""sideways_adx_thresh"": 21.926973429378325, ""sideways_atr_max_pct"": 0.1162870010267112, ""sideways_atr_min_pct"": 0.011054022239708815, ""sideways_bb_std_mult"": 1.43376959121243, ""sideways_rsi_ob"": 90, ""sideways_rsi_os"": 51, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 119, ""sideways_tp_mult"": 2.2260833695983937, ""sideways_tsl_mult"": 0.1351059427653899, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.17319913536133613, ""slip_spread_k"": 0.06321859882508707, ""spread_hl_frac"": 0.014260706121001538, ""strategy"": ""breakout"", ""time_stop"": 39, ""tp_mult"": 2.7337476386515442, ""tsl_mult"": 0.8470191115684782, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2000147786025451}"
6,-0.0008037708895198836,-0.0011689728870977704,-1000000000.0,1000000000.0,-0.0008037708895198836,-0.0011689728870977704,10.0,mean_reversion,1,"{""adx_thresh"": 23.354854073219443, ""atr_max_pct"": 0.1212537547219872, ""atr_min_pct"": 0.001644861339732464, ""bb_std_mult"": 3.031178455474228, ""bear_adx_thresh"": 22.036472401599095, ""bear_atr_max_pct"": 0.04967598931842123, ""bear_atr_min_pct"": 0.001659421791794685, ""bear_bb_std_mult"": 2.174200606937174, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 22, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 41, ""bear_tp_mult"": 2.2171971078741626, ""bear_tsl_mult"": 0.627252503489297, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.8961869125625, ""bull_atr_max_pct"": 0.13427163608768847, ""bull_atr_min_pct"": 0.026076613815997966, ""bull_bb_std_mult"": 0.947833088303418, ""bull_rsi_ob"": 59, ""bull_rsi_os"": 27, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 293, ""bull_tp_mult"": 2.532842735153996, ""bull_tsl_mult"": 0.3819446273458016, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.441284248335473, ""edge_k"": 0.9193734616113751, ""ema1"": 30, ""ema2"": 28, ""p_adx"": 29, ""p_atr"": 7, ""p_sma"": 10, ""p_std"": 48, ""rsi_ob"": 55, ""rsi_os"": 31, ""rsi_period"": 46, ""rsi_required"": true, ""sideways_adx_thresh"": 21.479101753121682, ""sideways_atr_max_pct"": 0.10505303425295291, ""sideways_atr_min_pct"": 0.012808936320460337, ""sideways_bb_std_mult"": 3.1767333349399745, ""sideways_rsi_ob"": 86, ""sideways_rsi_os"": 25, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 159, ""sideways_tp_mult"": 2.0831153447574127, ""sideways_tsl_mult"": 0.6239466114390972, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.19827614181555844, ""slip_spread_k"": 0.7611866008075262, ""spread_hl_frac"": 0.008458422397644582, ""strategy"": ""mean_reversion"", ""time_stop"": 283, ""tp_mult"": 2.822873462368991, ""tsl_mult"": 0.29306364223706727, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.04532275908843053}"
7,-0.011298621194668734,-0.011277970810336579,-0.011298621194668734,0.011277970810336579,-0.011298621194668734,-0.011277970810336579,371.0,breakout,1,"{""adx_thresh"": 8.195174172315788, ""atr_max_pct"": 0.13505715248189898, ""atr_min_pct"": 0.025227311038432124, ""bb_std_mult"": 1.4676698293243922, ""bear_adx_thresh"": 22.73387631551435, ""bear_atr_max_pct"": 0.0970243983090012, ""bear_atr_min_pct"": 0.024045043160234165, ""bear_bb_std_mult"": 1.8814858756850203, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 25, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 37, ""bear_tp_mult"": 2.36765995229814, ""bear_tsl_mult"": 0.8997363098085057, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 33.0948233843867, ""bull_atr_max_pct"": 0.09404071188193625, ""bull_atr_min_pct"": 0.0007871255647092267, ""bull_bb_std_mult"": 2.9058578992057846, ""bull_rsi_ob"": 49, ""bull_rsi_os"": 53, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 169, ""bull_tp_mult"": 2.4263348457917293, ""bull_tsl_mult"": 0.25276962401964487, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.1302154370547061, ""edge_k"": 1.2992083586740475, ""ema1"": 13, ""ema2"": 59, ""p_adx"": 8, ""p_atr"": 8, ""p_sma"": 19, ""p_std"": 35, ""rsi_ob"": 89, ""rsi_os"": 52, ""rsi_period"": 68, ""rsi_required"": true, ""sideways_adx_thresh"": 30.275079238268038, ""sideways_atr_max_pct"": 0.06499139765477822, ""sideways_atr_min_pct"": 0.02774105909658368, ""sideways_bb_std_mult"": 3.0387533868802, ""sideways_rsi_ob"": 69, ""sideways_rsi_os"": 32, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 29, ""sideways_tp_mult"": 2.563839432357478, ""sideways_tsl_mult"": 0.3038605811447004, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1731196614749209, ""slip_spread_k"": 0.7602954840904701, ""spread_hl_frac"": 0.022109710215578483, ""strategy"": ""breakout"", ""time_stop"": 298, ""tp_mult"": 1.9647452481511, ""tsl_mult"": 0.8073815841492041, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0632616266093652}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 5.007913131333329, ""atr_max_pct"": 0.03193522956308215, ""atr_min_pct"": 0.025521004188640697, ""bb_std_mult"": 2.466648974221336, ""bear_adx_thresh"": 33.83039780287444, ""bear_atr_max_pct"": 0.12430219592372219, ""bear_atr_min_pct"": 0.014332686977906597, ""bear_bb_std_mult"": 3.2792773668640858, ""bear_rsi_ob"": 54, ""bear_rsi_os"": 17, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 44, ""bear_tp_mult"": 2.1333070016729425, ""bear_tsl_mult"": 0.5601685896543436, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 22.669578843187107, ""bull_atr_max_pct"": 0.054480003798658944, ""bull_atr_min_pct"": 0.009237387159487787, ""bull_bb_std_mult"": 3.5016693837621515, ""bull_rsi_ob"": 45, ""bull_rsi_os"": 26, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 141, ""bull_tp_mult"": 1.9119099569126472, ""bull_tsl_mult"": 0.7296596025042483, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.7681541573664615, ""edge_k"": 0.2150848071049054, ""ema1"": 27, ""ema2"": 17, ""p_adx"": 20, ""p_atr"": 18, ""p_sma"": 14, ""p_std"": 40, ""rsi_ob"": 48, ""rsi_os"": 41, ""rsi_period"": 9, ""rsi_required"": true, ""sideways_adx_thresh"": 34.31236912063188, ""sideways_atr_max_pct"": 0.029506934630327324, ""sideways_atr_min_pct"": 0.013679083847223156, ""sideways_bb_std_mult"": 3.5516282781761426, ""sideways_rsi_ob"": 54, ""sideways_rsi_os"": 48, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 220, ""sideways_tp_mult"": 1.918194052108375, ""sideways_tsl_mult"": 0.07591260896226026, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.025501134868120945, ""slip_spread_k"": 0.5159718173915858, ""spread_hl_frac"": 0.04743108305062436, ""strategy"": ""breakout"", ""time_stop"": 115, ""tp_mult"": 2.2563066436427617, ""tsl_mult"": 0.27154878879694455, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1541072918542415}"
9,-5.182216932753114e-05,0.0,-1000000000.0,1000000000.0,-5.182216932753114e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 17.044383727163037, ""atr_max_pct"": 0.06507252038128279, ""atr_min_pct"": 0.019654953435212983, ""bb_std_mult"": 0.6592689361590589, ""bear_adx_thresh"": 17.730278753114096, ""bear_atr_max_pct"": 0.13902007808531677, ""bear_atr_min_pct"": 0.023351220309691986, ""bear_bb_std_mult"": 0.907723276315666, ""bear_rsi_ob"": 92, ""bear_rsi_os"": 32, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 146, ""bear_tp_mult"": 1.283004138491658, ""bear_tsl_mult"": 0.33742737524669375, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 27.098992810360738, ""bull_atr_max_pct"": 0.08705377793235126, ""bull_atr_min_pct"": 0.02512390059990783, ""bull_bb_std_mult"": 1.7594246445979893, ""bull_rsi_ob"": 70, ""bull_rsi_os"": 15, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 192, ""bull_tp_mult"": 2.032209953389994, ""bull_tsl_mult"": 0.9890732626070722, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.67198454131407, ""edge_k"": 1.8097904546967807, ""ema1"": 17, ""ema2"": 54, ""p_adx"": 7, ""p_atr"": 26, ""p_sma"": 53, ""p_std"": 8, ""rsi_ob"": 58, ""rsi_os"": 38, ""rsi_period"": 35, ""rsi_required"": false, ""sideways_adx_thresh"": 25.466590032622207, ""sideways_atr_max_pct"": 0.13080339212715283, ""sideways_atr_min_pct"": 0.0013392992451996088, ""sideways_bb_std_mult"": 1.2639661294821085, ""sideways_rsi_ob"": 48, ""sideways_rsi_os"": 33, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 168, ""sideways_tp_mult"": 2.948120394889489, ""sideways_tsl_mult"": 0.00988867578176622, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.12016896998571627, ""slip_spread_k"": 0.13792083781535958, ""spread_hl_frac"": 0.022929686469363903, ""strategy"": ""mean_reversion"", ""time_stop"": 151, ""tp_mult"": 1.2964160216667628, ""tsl_mult"": 0.3863506070483286, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0747427735666927}"
