number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 11.919502250413123, ""atr_max_pct"": 0.05966755815440106, ""atr_min_pct"": 0.025537998070284382, ""bb_std_mult"": 2.1083890202530537, ""bear_adx_thresh"": 32.285502932105935, ""bear_atr_max_pct"": 0.13995651103456466, ""bear_atr_min_pct"": 0.015387505484506332, ""bear_bb_std_mult"": 0.9163635735077341, ""bear_rsi_ob"": 55, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 277, ""bear_tp_mult"": 1.8610488585707414, ""bear_tsl_mult"": 0.8626613712892097, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.40769016275576, ""bull_atr_max_pct"": 0.019622984392764366, ""bull_atr_min_pct"": 0.02043842295709113, ""bull_bb_std_mult"": 1.837960862431961, ""bull_rsi_ob"": 58, ""bull_rsi_os"": 20, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 201, ""bull_tp_mult"": 1.1195281741647147, ""bull_tsl_mult"": 0.8853512210197533, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.39963848374392463, ""edge_k"": 0.058135175202082, ""ema1"": 13, ""ema2"": 33, ""p_adx"": 27, ""p_atr"": 23, ""p_sma"": 38, ""p_std"": 47, ""rsi_ob"": 90, ""rsi_os"": 53, ""rsi_period"": 82, ""rsi_required"": false, ""sideways_adx_thresh"": 14.843981730925039, ""sideways_atr_max_pct"": 0.05566175470878219, ""sideways_atr_min_pct"": 0.004880324654096361, ""sideways_bb_std_mult"": 1.5876701407473122, ""sideways_rsi_ob"": 87, ""sideways_rsi_os"": 27, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 234, ""sideways_tp_mult"": 1.7684540228998131, ""sideways_tsl_mult"": 0.1988790141580109, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.027679088561684773, ""slip_spread_k"": 0.9755625268426034, ""spread_hl_frac"": 0.01356775619938539, ""strategy"": ""breakout"", ""time_stop"": 248, ""tp_mult"": 2.312306341496289, ""tsl_mult"": 0.1717151602464898, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.08960024039700526}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 26.05066355318471, ""atr_max_pct"": 0.1415616203647152, ""atr_min_pct"": 0.020726244126701453, ""bb_std_mult"": 2.7656397873828515, ""bear_adx_thresh"": 15.046226567306036, ""bear_atr_max_pct"": 0.14095455893104103, ""bear_atr_min_pct"": 0.0077920436799303935, ""bear_bb_std_mult"": 2.4303416309318453, ""bear_rsi_ob"": 65, ""bear_rsi_os"": 5, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 7, ""bear_tp_mult"": 1.725430653389218, ""bear_tsl_mult"": 0.35370127797426054, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 17.454997557036968, ""bull_atr_max_pct"": 0.05981183198000269, ""bull_atr_min_pct"": 0.028995171064325396, ""bull_bb_std_mult"": 1.8106335930039739, ""bull_rsi_ob"": 84, ""bull_rsi_os"": 30, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 120, ""bull_tp_mult"": 2.783076850894644, ""bull_tsl_mult"": 0.5639823208755201, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.07973212367839334, ""edge_k"": 1.736357612536669, ""ema1"": 19, ""ema2"": 46, ""p_adx"": 17, ""p_atr"": 30, ""p_sma"": 32, ""p_std"": 55, ""rsi_ob"": 47, ""rsi_os"": 19, ""rsi_period"": 81, ""rsi_required"": true, ""sideways_adx_thresh"": 23.37542578774527, ""sideways_atr_max_pct"": 0.03482704877242193, ""sideways_atr_min_pct"": 0.01815438834128382, ""sideways_bb_std_mult"": 2.388140308426295, ""sideways_rsi_ob"": 74, ""sideways_rsi_os"": 19, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 102, ""sideways_tp_mult"": 1.1094309152717694, ""sideways_tsl_mult"": 0.3807157408179447, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1500222488217561, ""slip_spread_k"": 0.7764109350330057, ""spread_hl_frac"": 0.011472918369290503, ""strategy"": ""breakout"", ""time_stop"": 22, ""tp_mult"": 1.979625517730354, ""tsl_mult"": 0.08000367839024713, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09821367189133463}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 24.493211363748387, ""atr_max_pct"": 0.13141863143267937, ""atr_min_pct"": 0.024484589087523163, ""bb_std_mult"": 2.070074831794251, ""bear_adx_thresh"": 34.918351256349986, ""bear_atr_max_pct"": 0.08905328110683809, ""bear_atr_min_pct"": 0.013739726933825547, ""bear_bb_std_mult"": 1.107536352957161, ""bear_rsi_ob"": 69, ""bear_rsi_os"": 31, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 95, ""bear_tp_mult"": 2.448908038881231, ""bear_tsl_mult"": 0.07292354272217194, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 11.947748443971786, ""bull_atr_max_pct"": 0.06867874706339001, ""bull_atr_min_pct"": 0.018035604565763284, ""bull_bb_std_mult"": 2.204466126717086, ""bull_rsi_ob"": 66, ""bull_rsi_os"": 55, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 298, ""bull_tp_mult"": 1.8438512211478537, ""bull_tsl_mult"": 0.6831411100789341, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.28568479105097905, ""edge_k"": 0.9433138134803765, ""ema1"": 7, ""ema2"": 30, ""p_adx"": 14, ""p_atr"": 21, ""p_sma"": 59, ""p_std"": 20, ""rsi_ob"": 61, ""rsi_os"": 35, ""rsi_period"": 66, ""rsi_required"": false, ""sideways_adx_thresh"": 9.403292784656607, ""sideways_atr_max_pct"": 0.08631457809275073, ""sideways_atr_min_pct"": 0.009997082249570589, ""sideways_bb_std_mult"": 1.3785881824399484, ""sideways_rsi_ob"": 50, ""sideways_rsi_os"": 25, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 85, ""sideways_tp_mult"": 1.5212849581586088, ""sideways_tsl_mult"": 0.6388617837342336, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.014990004023012232, ""slip_spread_k"": 0.16579199733142458, ""spread_hl_frac"": 0.03947762937646791, ""strategy"": ""mean_reversion"", ""time_stop"": 109, ""tp_mult"": 1.744212772510327, ""tsl_mult"": 0.42584329881176475, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.27952426079313564}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 14.3838277885896, ""atr_max_pct"": 0.09362249663194129, ""atr_min_pct"": 0.004736677664439082, ""bb_std_mult"": 3.449693936967374, ""bear_adx_thresh"": 32.499377461414916, ""bear_atr_max_pct"": 0.035962195171842064, ""bear_atr_min_pct"": 0.017790968168752575, ""bear_bb_std_mult"": 1.141357109526436, ""bear_rsi_ob"": 93, ""bear_rsi_os"": 43, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 51, ""bear_tp_mult"": 2.341175200543213, ""bear_tsl_mult"": 0.2907331531286721, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 25.998559329973475, ""bull_atr_max_pct"": 0.10120086064463636, ""bull_atr_min_pct"": 0.01386264339350552, ""bull_bb_std_mult"": 2.283571172065562, ""bull_rsi_ob"": 85, ""bull_rsi_os"": 32, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 95, ""bull_tp_mult"": 1.8284736307033347, ""bull_tsl_mult"": 0.6603898434085179, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.6753448662046925, ""edge_k"": 1.5291297459191011, ""ema1"": 9, ""ema2"": 32, ""p_adx"": 25, ""p_atr"": 27, ""p_sma"": 23, ""p_std"": 8, ""rsi_ob"": 53, ""rsi_os"": 18, ""rsi_period"": 20, ""rsi_required"": true, ""sideways_adx_thresh"": 20.322262109304827, ""sideways_atr_max_pct"": 0.13812453730964303, ""sideways_atr_min_pct"": 0.018660026292573482, ""sideways_bb_std_mult"": 0.6288138743745517, ""sideways_rsi_ob"": 47, ""sideways_rsi_os"": 28, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 228, ""sideways_tp_mult"": 2.4540245260415205, ""sideways_tsl_mult"": 0.7119940983805315, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.029249631881335864, ""slip_spread_k"": 0.019469736208769794, ""spread_hl_frac"": 0.02635401227590303, ""strategy"": ""breakout"", ""time_stop"": 195, ""tp_mult"": 1.9781569311527434, ""tsl_mult"": 0.542625557331517, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.05670163432567031}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.70223265590656, ""atr_max_pct"": 0.03067420857729719, ""atr_min_pct"": 0.006492480319424158, ""bb_std_mult"": 0.7602181796364303, ""bear_adx_thresh"": 19.98386323652408, ""bear_atr_max_pct"": 0.03279659128938582, ""bear_atr_min_pct"": 0.021399286578010362, ""bear_bb_std_mult"": 3.0128567788240845, ""bear_rsi_ob"": 63, ""bear_rsi_os"": 7, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 66, ""bear_tp_mult"": 2.2926232959249218, ""bear_tsl_mult"": 0.8494415017883168, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 15.88911100664412, ""bull_atr_max_pct"": 0.11024167557341169, ""bull_atr_min_pct"": 0.0021111083088257055, ""bull_bb_std_mult"": 2.041206961326823, ""bull_rsi_ob"": 54, ""bull_rsi_os"": 13, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 139, ""bull_tp_mult"": 2.703673374736029, ""bull_tsl_mult"": 0.2745295822496453, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.3868403324406322, ""edge_k"": 1.8986322089008125, ""ema1"": 21, ""ema2"": 20, ""p_adx"": 29, ""p_atr"": 13, ""p_sma"": 9, ""p_std"": 60, ""rsi_ob"": 91, ""rsi_os"": 55, ""rsi_period"": 63, ""rsi_required"": true, ""sideways_adx_thresh"": 19.799984200803017, ""sideways_atr_max_pct"": 0.13351965846122255, ""sideways_atr_min_pct"": 0.0071043909057493335, ""sideways_bb_std_mult"": 2.2351860922565474, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 49, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 27, ""sideways_tp_mult"": 2.1027588802787838, ""sideways_tsl_mult"": 0.5006587857354999, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.124083739237481, ""slip_spread_k"": 0.5000008415478058, ""spread_hl_frac"": 0.030382561468851245, ""strategy"": ""mean_reversion"", ""time_stop"": 90, ""tp_mult"": 1.43419154664864, ""tsl_mult"": 0.23930979433293198, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2488136025197515}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.051568588371932, ""atr_max_pct"": 0.10892995866848709, ""atr_min_pct"": 0.028132060476576348, ""bb_std_mult"": 0.7155280356617054, ""bear_adx_thresh"": 14.635979723264464, ""bear_atr_max_pct"": 0.05746344038186287, ""bear_atr_min_pct"": 0.023686230972950882, ""bear_bb_std_mult"": 2.650202180304772, ""bear_rsi_ob"": 83, ""bear_rsi_os"": 14, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 254, ""bear_tp_mult"": 1.3363884310840828, ""bear_tsl_mult"": 0.5337236637458301, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 21.4763845158692, ""bull_atr_max_pct"": 0.040800866103615226, ""bull_atr_min_pct"": 0.005636417522726415, ""bull_bb_std_mult"": 1.7206494347363517, ""bull_rsi_ob"": 69, ""bull_rsi_os"": 46, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 166, ""bull_tp_mult"": 1.274946226930616, ""bull_tsl_mult"": 0.3891217091331698, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.08241035915859428, ""edge_k"": 1.855621215087169, ""ema1"": 20, ""ema2"": 48, ""p_adx"": 9, ""p_atr"": 12, ""p_sma"": 32, ""p_std"": 59, ""rsi_ob"": 48, ""rsi_os"": 54, ""rsi_period"": 67, ""rsi_required"": true, ""sideways_adx_thresh"": 18.31987926603464, ""sideways_atr_max_pct"": 0.06637817511457442, ""sideways_atr_min_pct"": 0.0014324375034932223, ""sideways_bb_std_mult"": 0.9628446199710028, ""sideways_rsi_ob"": 54, ""sideways_rsi_os"": 35, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 78, ""sideways_tp_mult"": 2.953872575764098, ""sideways_tsl_mult"": 0.3074516433811765, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.007963944650368093, ""slip_spread_k"": 0.5509801080723562, ""spread_hl_frac"": 0.03413772314955493, ""strategy"": ""mean_reversion"", ""time_stop"": 71, ""tp_mult"": 1.5288405331580333, ""tsl_mult"": 0.13156668016492035, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.11487501406416922}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 34.810161815698756, ""atr_max_pct"": 0.11189082963079859, ""atr_min_pct"": 0.008819588649483165, ""bb_std_mult"": 2.0820321868578477, ""bear_adx_thresh"": 22.109839259743307, ""bear_atr_max_pct"": 0.04441516804192929, ""bear_atr_min_pct"": 0.01418014878973231, ""bear_bb_std_mult"": 3.381047995424059, ""bear_rsi_ob"": 84, ""bear_rsi_os"": 49, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 66, ""bear_tp_mult"": 1.5981992186623004, ""bear_tsl_mult"": 0.3992011749050728, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 14.416031787664986, ""bull_atr_max_pct"": 0.13140339772436374, ""bull_atr_min_pct"": 0.014183289914211824, ""bull_bb_std_mult"": 1.208941342638727, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 31, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 110, ""bull_tp_mult"": 1.1640783302194015, ""bull_tsl_mult"": 0.20595041600924546, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8592704183828332, ""edge_k"": 0.8570210347252565, ""ema1"": 12, ""ema2"": 55, ""p_adx"": 10, ""p_atr"": 12, ""p_sma"": 15, ""p_std"": 31, ""rsi_ob"": 70, ""rsi_os"": 15, ""rsi_period"": 81, ""rsi_required"": true, ""sideways_adx_thresh"": 27.198153834694335, ""sideways_atr_max_pct"": 0.09382073975845244, ""sideways_atr_min_pct"": 0.013888425200458021, ""sideways_bb_std_mult"": 0.7493704330643576, ""sideways_rsi_ob"": 90, ""sideways_rsi_os"": 9, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 197, ""sideways_tp_mult"": 1.5730718139523947, ""sideways_tsl_mult"": 0.5926312277245286, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.10888293192406742, ""slip_spread_k"": 0.0009949402641326044, ""spread_hl_frac"": 0.011429600627961056, ""strategy"": ""breakout"", ""time_stop"": 156, ""tp_mult"": 2.518113757665312, ""tsl_mult"": 0.6359124473234851, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07655779805629236}"
7,-1.4676592135054456e-05,-0.00021652141879978165,-1000000000.0,1000000000.0,-1.4676592135054456e-05,-0.00021652141879978165,8.0,breakout,1,"{""adx_thresh"": 33.760659172675545, ""atr_max_pct"": 0.13141909261653073, ""atr_min_pct"": 0.0078365172189153, ""bb_std_mult"": 1.8172005181232862, ""bear_adx_thresh"": 5.490592457717485, ""bear_atr_max_pct"": 0.13599039756483336, ""bear_atr_min_pct"": 0.01940825391072676, ""bear_bb_std_mult"": 3.107488972362857, ""bear_rsi_ob"": 56, ""bear_rsi_os"": 47, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 114, ""bear_tp_mult"": 1.07785011740368, ""bear_tsl_mult"": 0.099736628246062, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 5.963755156824986, ""bull_atr_max_pct"": 0.02249955239726154, ""bull_atr_min_pct"": 0.003558388117262533, ""bull_bb_std_mult"": 1.6474718080117607, ""bull_rsi_ob"": 94, ""bull_rsi_os"": 18, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 84, ""bull_tp_mult"": 1.2063927392102394, ""bull_tsl_mult"": 0.46310293300601635, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.5081336295695215, ""edge_k"": 0.9768572068765071, ""ema1"": 12, ""ema2"": 60, ""p_adx"": 22, ""p_atr"": 19, ""p_sma"": 6, ""p_std"": 53, ""rsi_ob"": 83, ""rsi_os"": 5, ""rsi_period"": 7, ""rsi_required"": false, ""sideways_adx_thresh"": 12.97521831423524, ""sideways_atr_max_pct"": 0.09833842138332297, ""sideways_atr_min_pct"": 0.008580433649112776, ""sideways_bb_std_mult"": 1.80326378670546, ""sideways_rsi_ob"": 94, ""sideways_rsi_os"": 53, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 89, ""sideways_tp_mult"": 1.5024290654582255, ""sideways_tsl_mult"": 0.9255957222736618, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.2458212557080603, ""slip_spread_k"": 0.3634274906947257, ""spread_hl_frac"": 0.011934471361270644, ""strategy"": ""breakout"", ""time_stop"": 258, ""tp_mult"": 1.8858327302485307, ""tsl_mult"": 0.19041831220045613, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26990435296755144}"
8,0.002133987268082782,-0.0012491371352741836,0.002133987268082782,0.0012491371352741836,0.002133987268082782,-0.0012491371352741836,127.0,mean_reversion,1,"{""adx_thresh"": 20.60849652640777, ""atr_max_pct"": 0.03555742165905307, ""atr_min_pct"": 0.029184830950860555, ""bb_std_mult"": 1.2124892292890546, ""bear_adx_thresh"": 22.45642087629841, ""bear_atr_max_pct"": 0.026876562546730078, ""bear_atr_min_pct"": 0.006283143640316112, ""bear_bb_std_mult"": 1.8204844763914332, ""bear_rsi_ob"": 86, ""bear_rsi_os"": 51, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 143, ""bear_tp_mult"": 1.1417299298639225, ""bear_tsl_mult"": 0.29148062749382964, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 26.15160607451373, ""bull_atr_max_pct"": 0.0471395722303514, ""bull_atr_min_pct"": 0.014530555904372989, ""bull_bb_std_mult"": 3.024556137511773, ""bull_rsi_ob"": 58, ""bull_rsi_os"": 35, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 210, ""bull_tp_mult"": 1.3332423368068633, ""bull_tsl_mult"": 0.07421942819291882, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.49989700651153485, ""edge_k"": 1.7149155950360115, ""ema1"": 14, ""ema2"": 58, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 54, ""p_std"": 38, ""rsi_ob"": 85, ""rsi_os"": 13, ""rsi_period"": 60, ""rsi_required"": false, ""sideways_adx_thresh"": 13.936558150502869, ""sideways_atr_max_pct"": 0.04399783222245488, ""sideways_atr_min_pct"": 0.017930193104529733, ""sideways_bb_std_mult"": 2.0184416446884774, ""sideways_rsi_ob"": 65, ""sideways_rsi_os"": 11, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 236, ""sideways_tp_mult"": 1.984956372907842, ""sideways_tsl_mult"": 0.20785724274121453, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.005587273451733793, ""slip_spread_k"": 0.7924261435945823, ""spread_hl_frac"": 0.0006217558545532576, ""strategy"": ""mean_reversion"", ""time_stop"": 84, ""tp_mult"": 1.1925906445599983, ""tsl_mult"": 0.424511105454464, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07136465949691224}"
9,-0.0005057693375914996,-0.0004882610642989816,-1000000000.0,1000000000.0,-0.0005057693375914996,-0.0004882610642989816,9.0,breakout,1,"{""adx_thresh"": 22.696809081878268, ""atr_max_pct"": 0.09564718241988623, ""atr_min_pct"": 0.00014510815351128747, ""bb_std_mult"": 1.7059792116829176, ""bear_adx_thresh"": 8.879458672238489, ""bear_atr_max_pct"": 0.06562268578438418, ""bear_atr_min_pct"": 0.025988992259758786, ""bear_bb_std_mult"": 2.6850096805040646, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 51, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 256, ""bear_tp_mult"": 2.7520864860097656, ""bear_tsl_mult"": 0.6810339271045714, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.13167803682282, ""bull_atr_max_pct"": 0.10548471052945285, ""bull_atr_min_pct"": 0.008056043141038593, ""bull_bb_std_mult"": 3.2685936150830694, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 6, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 23, ""bull_tp_mult"": 2.099128298391019, ""bull_tsl_mult"": 0.7965503217246025, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.06150136096828679, ""edge_k"": 0.5411942229288245, ""ema1"": 13, ""ema2"": 35, ""p_adx"": 12, ""p_atr"": 12, ""p_sma"": 51, ""p_std"": 57, ""rsi_ob"": 66, ""rsi_os"": 53, ""rsi_period"": 38, ""rsi_required"": true, ""sideways_adx_thresh"": 18.597319207160194, ""sideways_atr_max_pct"": 0.12717410567351084, ""sideways_atr_min_pct"": 0.01198474683183128, ""sideways_bb_std_mult"": 3.000691857675459, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 51, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 205, ""sideways_tp_mult"": 1.8560685825316363, ""sideways_tsl_mult"": 0.5144138608898361, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.2076048379724542, ""slip_spread_k"": 0.6037903013022915, ""spread_hl_frac"": 0.018644592812573992, ""strategy"": ""breakout"", ""time_stop"": 27, ""tp_mult"": 2.613036076743765, ""tsl_mult"": 0.16018301990505568, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1899537425304644}"
