2025-09-01 04:04:23,198 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 04:04:23,216] A new study created in memory with name: no-name-53b789ec-806f-409d-994b-b685ce1c9baa
[I 2025-09-01 04:05:01,689] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 22, 'p_std': 34, 'p_atr': 16, 'p_adx': 29, 'rsi_period': 10, 'ema1': 13, 'ema2': 34, 'slip_atr_k': 0.15592951590652912, 'slip_spread_k': 0.04869735387738616, 'spread_hl_frac': 0.007756963501055536, 'bb_std_mult': 2.9100762949954833, 'rsi_os': 12, 'rsi_ob': 56, 'vol_spike': 0.12458477311704691, 'adx_thresh': 19.89259612864041, 'atr_min_pct': 0.0017147604959022033, 'atr_max_pct': 0.016247619370366735, 'tp_mult': 2.0051958300259027, 'tsl_mult': 0.9280808270219797, 'strategy': 'breakout', 'time_stop': 98, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.5646562421586618, 'edge_cap': 0.9716451551214287, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.7203883665750581, 'bull_rsi_os': 23, 'bull_rsi_ob': 92, 'bull_adx_thresh': 29.932758899228265, 'bull_atr_min_pct': 0.0141548191838526, 'bull_atr_max_pct': 0.09761129147998696, 'bull_tp_mult': 1.193863037259415, 'bull_tsl_mult': 0.7517981517902931, 'bull_time_stop': 94, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.5772589497041952, 'bear_rsi_os': 25, 'bear_rsi_ob': 46, 'bear_adx_thresh': 5.530496273024453, 'bear_atr_min_pct': 0.0177851818673571, 'bear_atr_max_pct': 0.026751417628648758, 'bear_tp_mult': 2.3326384489279772, 'bear_tsl_mult': 0.17856287773983848, 'bear_time_stop': 148, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.598543031727033, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 45, 'sideways_adx_thresh': 10.660767862450543, 'sideways_atr_min_pct': 0.009792358532201688, 'sideways_atr_max_pct': 0.018372713000550305, 'sideways_tp_mult': 2.1249004064309585, 'sideways_tsl_mult': 0.24922684436973086, 'sideways_time_stop': 96, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:03,794] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 54, 'p_std': 28, 'p_atr': 16, 'p_adx': 13, 'rsi_period': 31, 'ema1': 19, 'ema2': 45, 'slip_atr_k': 0.0886604707045768, 'slip_spread_k': 0.9733337225002344, 'spread_hl_frac': 0.04642104407303538, 'bb_std_mult': 0.7603163655170653, 'rsi_os': 24, 'rsi_ob': 95, 'vol_spike': 0.03802418383118664, 'adx_thresh': 21.43253572496686, 'atr_min_pct': 0.023577839180241207, 'atr_max_pct': 0.14472011618185812, 'tp_mult': 2.349099711760535, 'tsl_mult': 0.45198751533715775, 'strategy': 'breakout', 'time_stop': 99, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.6655125328588367, 'edge_cap': 0.5900169500548007, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7045181658344297, 'bull_rsi_os': 50, 'bull_rsi_ob': 86, 'bull_adx_thresh': 13.827222263216276, 'bull_atr_min_pct': 0.01570427565038993, 'bull_atr_max_pct': 0.06451650494226889, 'bull_tp_mult': 1.3482314985085517, 'bull_tsl_mult': 0.5918256219642459, 'bull_time_stop': 141, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.6132749715324848, 'bear_rsi_os': 15, 'bear_rsi_ob': 50, 'bear_adx_thresh': 21.40409944915423, 'bear_atr_min_pct': 0.014784977858652957, 'bear_atr_max_pct': 0.10290049506874678, 'bear_tp_mult': 1.5026771764510172, 'bear_tsl_mult': 0.42088197471739597, 'bear_time_stop': 243, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.9714333558691751, 'sideways_rsi_os': 29, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 5.358289773139631, 'sideways_atr_min_pct': 0.0008924753141426967, 'sideways_atr_max_pct': 0.12807294542474637, 'sideways_tp_mult': 2.2158921377990954, 'sideways_tsl_mult': 0.2762660034258797, 'sideways_time_stop': 237, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 04:05:03,815] Trial 2 finished with values: [-0.08886953805067699, 0.08868495501443792] and parameters: {'p_sma': 19, 'p_std': 58, 'p_atr': 16, 'p_adx': 8, 'rsi_period': 32, 'ema1': 14, 'ema2': 30, 'slip_atr_k': 0.15057313057534663, 'slip_spread_k': 0.840767770366482, 'spread_hl_frac': 0.017589413324178634, 'bb_std_mult': 1.1204694294825794, 'rsi_os': 45, 'rsi_ob': 68, 'vol_spike': 0.21149159842366289, 'adx_thresh': 27.77966674361863, 'atr_min_pct': 0.0009665287567080582, 'atr_max_pct': 0.07261552212525607, 'tp_mult': 1.865468636939648, 'tsl_mult': 0.3711331561255635, 'strategy': 'mean_reversion', 'time_stop': 229, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.8470909675544942, 'edge_cap': 0.19889320271389033, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.7421532751679998, 'bull_rsi_os': 22, 'bull_rsi_ob': 72, 'bull_adx_thresh': 14.64471404228541, 'bull_atr_min_pct': 0.01050053714446984, 'bull_atr_max_pct': 0.12524579657517831, 'bull_tp_mult': 1.7298234731200661, 'bull_tsl_mult': 0.5764042088538668, 'bull_time_stop': 200, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.2130688557590332, 'bear_rsi_os': 48, 'bear_rsi_ob': 47, 'bear_adx_thresh': 20.93788495061737, 'bear_atr_min_pct': 0.00011940273166482384, 'bear_atr_max_pct': 0.10117799367589694, 'bear_tp_mult': 1.8843330429538423, 'bear_tsl_mult': 0.3941569491685576, 'bear_time_stop': 97, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.781926163029163, 'sideways_rsi_os': 44, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 22.798546751562267, 'sideways_atr_min_pct': 0.022648776464425927, 'sideways_atr_max_pct': 0.103765140584171, 'sideways_tp_mult': 1.519037402402197, 'sideways_tsl_mult': 0.7648609117958189, 'sideways_time_stop': 42, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:04,367] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 60, 'p_std': 9, 'p_atr': 16, 'p_adx': 10, 'rsi_period': 21, 'ema1': 7, 'ema2': 59, 'slip_atr_k': 0.17185973229426696, 'slip_spread_k': 0.9336730476964309, 'spread_hl_frac': 0.00038078984470279467, 'bb_std_mult': 2.3459224563315715, 'rsi_os': 23, 'rsi_ob': 56, 'vol_spike': 0.004697373021308937, 'adx_thresh': 29.834649542010126, 'atr_min_pct': 0.010574248782264973, 'atr_max_pct': 0.1074010821479068, 'tp_mult': 1.3256806473870921, 'tsl_mult': 0.614134150641528, 'strategy': 'breakout', 'time_stop': 9, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.863976476949306, 'edge_cap': 0.41293891713761743, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.9215501578524115, 'bull_rsi_os': 43, 'bull_rsi_ob': 88, 'bull_adx_thresh': 10.146365099650499, 'bull_atr_min_pct': 0.005124175050519911, 'bull_atr_max_pct': 0.11325184364772908, 'bull_tp_mult': 2.796724974734083, 'bull_tsl_mult': 0.8783453446581309, 'bull_time_stop': 51, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.610505418559543, 'bear_rsi_os': 7, 'bear_rsi_ob': 49, 'bear_adx_thresh': 27.86909321515314, 'bear_atr_min_pct': 0.01987798199136836, 'bear_atr_max_pct': 0.043457069524988345, 'bear_tp_mult': 2.8193721899696595, 'bear_tsl_mult': 0.2755881351246532, 'bear_time_stop': 105, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.6514883435408234, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 53, 'sideways_adx_thresh': 18.63733478201857, 'sideways_atr_min_pct': 0.027719235823777055, 'sideways_atr_max_pct': 0.06897534384035202, 'sideways_tp_mult': 2.6559821921671283, 'sideways_tsl_mult': 0.9146898879195607, 'sideways_time_stop': 268, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:40,230] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 28, 'p_atr': 21, 'p_adx': 12, 'rsi_period': 55, 'ema1': 9, 'ema2': 46, 'slip_atr_k': 0.08558241729493254, 'slip_spread_k': 0.7334597625820635, 'spread_hl_frac': 0.04565405596603016, 'bb_std_mult': 2.3547737373813793, 'rsi_os': 39, 'rsi_ob': 86, 'vol_spike': 0.16637726794245158, 'adx_thresh': 27.514834450406042, 'atr_min_pct': 0.027436527097096562, 'atr_max_pct': 0.07948042808159062, 'tp_mult': 2.486046052721825, 'tsl_mult': 0.671213561092206, 'strategy': 'mean_reversion', 'time_stop': 204, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.5128284205953715, 'edge_cap': 0.47881561104488224, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.912663606845285, 'bull_rsi_os': 11, 'bull_rsi_ob': 88, 'bull_adx_thresh': 33.78046814282647, 'bull_atr_min_pct': 0.007557089985548629, 'bull_atr_max_pct': 0.09956279618402832, 'bull_tp_mult': 2.021404655034678, 'bull_tsl_mult': 0.2536240738028125, 'bull_time_stop': 71, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.263559756830643, 'bear_rsi_os': 5, 'bear_rsi_ob': 56, 'bear_adx_thresh': 17.86619510726532, 'bear_atr_min_pct': 0.01460387375189981, 'bear_atr_max_pct': 0.13044737782728436, 'bear_tp_mult': 1.8015030843728148, 'bear_tsl_mult': 0.5770885989305052, 'bear_time_stop': 176, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8112425916003464, 'sideways_rsi_os': 34, 'sideways_rsi_ob': 48, 'sideways_adx_thresh': 34.37356449690472, 'sideways_atr_min_pct': 0.020147267813547576, 'sideways_atr_max_pct': 0.057171150323762805, 'sideways_tp_mult': 1.9219834753044427, 'sideways_tsl_mult': 0.7930160430514266, 'sideways_time_stop': 227, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 04:05:40,353] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 48, 'p_atr': 9, 'p_adx': 12, 'rsi_period': 32, 'ema1': 26, 'ema2': 47, 'slip_atr_k': 0.1508750050935073, 'slip_spread_k': 0.8036631519978291, 'spread_hl_frac': 0.04233044368438786, 'bb_std_mult': 1.2249584846773292, 'rsi_os': 5, 'rsi_ob': 80, 'vol_spike': 0.21608828616996653, 'adx_thresh': 17.660165996556167, 'atr_min_pct': 0.02752377249836952, 'atr_max_pct': 0.021588907860664294, 'tp_mult': 1.391048773715619, 'tsl_mult': 0.5034951370758293, 'strategy': 'breakout', 'time_stop': 263, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.9169021057388678, 'edge_cap': 0.7290146551030159, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.3474688384543754, 'bull_rsi_os': 31, 'bull_rsi_ob': 48, 'bull_adx_thresh': 31.23711115198903, 'bull_atr_min_pct': 0.028826944801289906, 'bull_atr_max_pct': 0.034415974972564586, 'bull_tp_mult': 2.1464604436162316, 'bull_tsl_mult': 0.8422945323412168, 'bull_time_stop': 173, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.8906733170934122, 'bear_rsi_os': 44, 'bear_rsi_ob': 73, 'bear_adx_thresh': 24.527452510476415, 'bear_atr_min_pct': 0.028967757740584858, 'bear_atr_max_pct': 0.14221588570166235, 'bear_tp_mult': 1.0565568207418259, 'bear_tsl_mult': 0.770389905842675, 'bear_time_stop': 116, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.164150937909645, 'sideways_rsi_os': 36, 'sideways_rsi_ob': 48, 'sideways_adx_thresh': 30.007061820550607, 'sideways_atr_min_pct': 0.029787088001436302, 'sideways_atr_max_pct': 0.08951578172193672, 'sideways_tp_mult': 2.8203930907222334, 'sideways_tsl_mult': 0.8076302063602465, 'sideways_time_stop': 74, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:40,790] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 59, 'p_std': 32, 'p_atr': 26, 'p_adx': 25, 'rsi_period': 52, 'ema1': 28, 'ema2': 55, 'slip_atr_k': 0.14933025300956548, 'slip_spread_k': 0.1911047231783326, 'spread_hl_frac': 0.04221555592298264, 'bb_std_mult': 3.2296493444111594, 'rsi_os': 19, 'rsi_ob': 91, 'vol_spike': 0.1973962884579253, 'adx_thresh': 29.937501461864475, 'atr_min_pct': 0.026874864323973905, 'atr_max_pct': 0.05171424146664227, 'tp_mult': 2.9498230002966617, 'tsl_mult': 0.8305748657901341, 'strategy': 'mean_reversion', 'time_stop': 97, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.6535629299042482, 'edge_cap': 0.5725160010761329, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.3548423855924088, 'bull_rsi_os': 47, 'bull_rsi_ob': 52, 'bull_adx_thresh': 9.618408336426427, 'bull_atr_min_pct': 0.006489394545987302, 'bull_atr_max_pct': 0.06953490260841912, 'bull_tp_mult': 1.9313121103102875, 'bull_tsl_mult': 0.9561203649030969, 'bull_time_stop': 278, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.6844003529704223, 'bear_rsi_os': 28, 'bear_rsi_ob': 92, 'bear_adx_thresh': 17.600389065448216, 'bear_atr_min_pct': 0.0021180649477877543, 'bear_atr_max_pct': 0.03398869181576254, 'bear_tp_mult': 2.196507434286156, 'bear_tsl_mult': 0.3509538581424646, 'bear_time_stop': 58, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.558313828597006, 'sideways_rsi_os': 38, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 14.767783314671576, 'sideways_atr_min_pct': 0.027355664195407466, 'sideways_atr_max_pct': 0.030452994938090353, 'sideways_tp_mult': 2.3201734309546524, 'sideways_tsl_mult': 0.7254551747670448, 'sideways_time_stop': 133, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:40,866] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 55, 'p_atr': 24, 'p_adx': 27, 'rsi_period': 81, 'ema1': 22, 'ema2': 51, 'slip_atr_k': 0.013272621179483746, 'slip_spread_k': 0.9631789094706321, 'spread_hl_frac': 0.00024408704626744382, 'bb_std_mult': 3.533883119917128, 'rsi_os': 55, 'rsi_ob': 49, 'vol_spike': 0.15375759959312538, 'adx_thresh': 11.265600068167988, 'atr_min_pct': 0.014000871255597897, 'atr_max_pct': 0.10492164937652554, 'tp_mult': 2.5824679190221875, 'tsl_mult': 0.18729197509818707, 'strategy': 'mean_reversion', 'time_stop': 123, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.05877894890272861, 'edge_cap': 0.12728537888880503, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.3256435294847149, 'bull_rsi_os': 9, 'bull_rsi_ob': 61, 'bull_adx_thresh': 20.822466603655133, 'bull_atr_min_pct': 0.009342124736302257, 'bull_atr_max_pct': 0.11641511740842178, 'bull_tp_mult': 2.759351525678675, 'bull_tsl_mult': 0.6202699720528808, 'bull_time_stop': 289, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.7465272184025435, 'bear_rsi_os': 23, 'bear_rsi_ob': 57, 'bear_adx_thresh': 28.709394985178513, 'bear_atr_min_pct': 0.02222860577079746, 'bear_atr_max_pct': 0.05005443926464103, 'bear_tp_mult': 2.985598322766645, 'bear_tsl_mult': 0.008423168269408476, 'bear_time_stop': 57, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.2408008419681553, 'sideways_rsi_os': 54, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 13.860456731239765, 'sideways_atr_min_pct': 0.023467992511118956, 'sideways_atr_max_pct': 0.011565236913259025, 'sideways_tp_mult': 2.6940513390335354, 'sideways_tsl_mult': 0.6024831193994414, 'sideways_time_stop': 178, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 04:05:41,757] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 31, 'p_atr': 9, 'p_adx': 29, 'rsi_period': 58, 'ema1': 26, 'ema2': 60, 'slip_atr_k': 0.09239785611006204, 'slip_spread_k': 0.6932549726413249, 'spread_hl_frac': 0.035774877568315995, 'bb_std_mult': 3.574329313081013, 'rsi_os': 53, 'rsi_ob': 58, 'vol_spike': 0.23559111618525963, 'adx_thresh': 23.11772188861302, 'atr_min_pct': 0.015133904821634849, 'atr_max_pct': 0.10073176205452684, 'tp_mult': 2.8044567518148806, 'tsl_mult': 0.3170741241713977, 'strategy': 'breakout', 'time_stop': 190, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3127427515143275, 'edge_cap': 0.5911849774649137, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.948595157304459, 'bull_rsi_os': 17, 'bull_rsi_ob': 51, 'bull_adx_thresh': 19.753266209100843, 'bull_atr_min_pct': 0.0005641910821000873, 'bull_atr_max_pct': 0.04841227631977293, 'bull_tp_mult': 1.1882267975097376, 'bull_tsl_mult': 0.6612762177814479, 'bull_time_stop': 138, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.776871995926484, 'bear_rsi_os': 36, 'bear_rsi_ob': 65, 'bear_adx_thresh': 29.651001195084802, 'bear_atr_min_pct': 0.028172227430623364, 'bear_atr_max_pct': 0.07186365975585078, 'bear_tp_mult': 2.9892625872601766, 'bear_tsl_mult': 0.24942580975772644, 'bear_time_stop': 63, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.8042580234315353, 'sideways_rsi_os': 33, 'sideways_rsi_ob': 90, 'sideways_adx_thresh': 33.348663351058775, 'sideways_atr_min_pct': 0.026003846378860617, 'sideways_atr_max_pct': 0.06656897642291434, 'sideways_tp_mult': 2.2159510275748238, 'sideways_tsl_mult': 0.5532560864861837, 'sideways_time_stop': 138, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 04:05:41,809] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 11, 'p_std': 57, 'p_atr': 9, 'p_adx': 18, 'rsi_period': 38, 'ema1': 30, 'ema2': 35, 'slip_atr_k': 0.2469770533438214, 'slip_spread_k': 0.11695383376359292, 'spread_hl_frac': 0.02907630636425994, 'bb_std_mult': 1.388858278419981, 'rsi_os': 49, 'rsi_ob': 84, 'vol_spike': 0.07143424183935367, 'adx_thresh': 24.1612053715657, 'atr_min_pct': 0.015962160089245725, 'atr_max_pct': 0.014127377568261885, 'tp_mult': 1.3820839521663464, 'tsl_mult': 0.8143865721936339, 'strategy': 'breakout', 'time_stop': 169, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.12142361116375233, 'edge_cap': 0.9256236187473023, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.56173890122946, 'bull_rsi_os': 20, 'bull_rsi_ob': 81, 'bull_adx_thresh': 6.128423304740669, 'bull_atr_min_pct': 0.001555719845821879, 'bull_atr_max_pct': 0.09707091911006802, 'bull_tp_mult': 2.6022202972628774, 'bull_tsl_mult': 0.9024497266380211, 'bull_time_stop': 239, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.2418787131677, 'bear_rsi_os': 55, 'bear_rsi_ob': 86, 'bear_adx_thresh': 26.861217394076334, 'bear_atr_min_pct': 0.017350234511317314, 'bear_atr_max_pct': 0.12623121298887166, 'bear_tp_mult': 1.7089053345365373, 'bear_tsl_mult': 0.433311906853442, 'bear_time_stop': 36, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.4170189963880455, 'sideways_rsi_os': 25, 'sideways_rsi_ob': 78, 'sideways_adx_thresh': 27.615975390283623, 'sideways_atr_min_pct': 0.0067757399117830824, 'sideways_atr_max_pct': 0.05116809809257959, 'sideways_tp_mult': 2.175923617668512, 'sideways_tsl_mult': 0.17371735927236254, 'sideways_time_stop': 210, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 04:05:42,240] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 33, 'p_std': 26, 'p_atr': 23, 'p_adx': 21, 'rsi_period': 9, 'ema1': 6, 'ema2': 18, 'slip_atr_k': 0.12096813464530132, 'slip_spread_k': 0.29038041569877104, 'spread_hl_frac': 0.004043289144995549, 'bb_std_mult': 2.2395113626825385, 'rsi_os': 27, 'rsi_ob': 69, 'vol_spike': 0.028758178742284222, 'adx_thresh': 29.473270936101216, 'atr_min_pct': 0.0070801397246683445, 'atr_max_pct': 0.07878324754945576, 'tp_mult': 2.014446842680394, 'tsl_mult': 0.11009913731495802, 'strategy': 'mean_reversion', 'time_stop': 254, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.7238219179534007, 'edge_cap': 0.9966384504147899, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.5836140736122337, 'bull_rsi_os': 23, 'bull_rsi_ob': 50, 'bull_adx_thresh': 6.741623740583261, 'bull_atr_min_pct': 0.02708493994362097, 'bull_atr_max_pct': 0.1212373042929729, 'bull_tp_mult': 1.995208415197578, 'bull_tsl_mult': 0.8140686547044123, 'bull_time_stop': 13, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.8176154693722661, 'bear_rsi_os': 12, 'bear_rsi_ob': 95, 'bear_adx_thresh': 15.20071103573088, 'bear_atr_min_pct': 0.012884631312309738, 'bear_atr_max_pct': 0.05369248410276041, 'bear_tp_mult': 2.2150496506201214, 'bear_tsl_mult': 0.7413248657558006, 'bear_time_stop': 256, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.3608280701362556, 'sideways_rsi_os': 6, 'sideways_rsi_ob': 81, 'sideways_adx_thresh': 28.27566209859139, 'sideways_atr_min_pct': 0.007177849674412707, 'sideways_atr_max_pct': 0.10050996160844318, 'sideways_tp_mult': 1.3339243362748998, 'sideways_tsl_mult': 0.6356480307757969, 'sideways_time_stop': 113, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
