2025-09-01 09:07:34,769 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 09:07:34,805] A new study created in memory with name: no-name-02d0e905-fe0f-4ce4-b7e5-0f03c7ddde9a
[I 2025-09-01 09:08:10,733] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 8, 'p_std': 44, 'p_atr': 22, 'p_adx': 20, 'rsi_period': 7, 'ema1': 20, 'ema2': 34, 'slip_atr_k': 0.025470952300877286, 'slip_spread_k': 0.4052892510472913, 'spread_hl_frac': 0.01920611350018416, 'bb_std_mult': 3.158833705751688, 'rsi_os': 7, 'rsi_ob': 91, 'vol_spike': 0.2963461742126929, 'adx_thresh': 16.546128369554552, 'atr_min_pct': 0.007305599676859604, 'atr_max_pct': 0.13377002465985713, 'tp_mult': 2.4368667709427294, 'tsl_mult': 0.9221135284064281, 'strategy': 'breakout', 'time_stop': 262, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.22554135565363942, 'edge_cap': 0.3191112199046057, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.2603403138032037, 'bull_rsi_os': 28, 'bull_rsi_ob': 94, 'bull_adx_thresh': 14.110542189456329, 'bull_atr_min_pct': 0.011811548545177415, 'bull_atr_max_pct': 0.14913498370134623, 'bull_tp_mult': 1.5035062037164688, 'bull_tsl_mult': 0.2461618686925916, 'bull_time_stop': 250, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.116990132878716, 'bear_rsi_os': 11, 'bear_rsi_ob': 80, 'bear_adx_thresh': 32.703110263125815, 'bear_atr_min_pct': 0.026282180533526725, 'bear_atr_max_pct': 0.14401891087351457, 'bear_tp_mult': 2.04211007064486, 'bear_tsl_mult': 0.5929971529308838, 'bear_time_stop': 106, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.9556070592590458, 'sideways_rsi_os': 5, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 25.492511351433855, 'sideways_atr_min_pct': 0.007006146963186611, 'sideways_atr_max_pct': 0.015196753845393556, 'sideways_tp_mult': 1.877778011601597, 'sideways_tsl_mult': 0.42077088485857284, 'sideways_time_stop': 160, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 09:08:10,689] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 11, 'p_std': 48, 'p_atr': 16, 'p_adx': 15, 'rsi_period': 16, 'ema1': 30, 'ema2': 31, 'slip_atr_k': 0.21090170867070313, 'slip_spread_k': 0.2612147507482322, 'spread_hl_frac': 0.010021520871270395, 'bb_std_mult': 2.7850422211227963, 'rsi_os': 44, 'rsi_ob': 57, 'vol_spike': 0.2986824331895652, 'adx_thresh': 25.179217830777343, 'atr_min_pct': 0.023814353585438052, 'atr_max_pct': 0.09304508987565324, 'tp_mult': 1.9660758359984238, 'tsl_mult': 0.05111545468904344, 'strategy': 'mean_reversion', 'time_stop': 148, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9465067420722189, 'edge_cap': 0.38271794969878953, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.3598235352297015, 'bull_rsi_os': 15, 'bull_rsi_ob': 75, 'bull_adx_thresh': 25.850173840095003, 'bull_atr_min_pct': 0.012393388813347958, 'bull_atr_max_pct': 0.036807188518363024, 'bull_tp_mult': 1.4594292603333932, 'bull_tsl_mult': 0.027489898456301898, 'bull_time_stop': 139, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.464778930505131, 'bear_rsi_os': 51, 'bear_rsi_ob': 58, 'bear_adx_thresh': 27.01003502718725, 'bear_atr_min_pct': 0.01235035949160883, 'bear_atr_max_pct': 0.04964735028399254, 'bear_tp_mult': 2.727155494615059, 'bear_tsl_mult': 0.908440773452595, 'bear_time_stop': 154, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.5716623236486249, 'sideways_rsi_os': 52, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 25.29057625706954, 'sideways_atr_min_pct': 0.028550602691832544, 'sideways_atr_max_pct': 0.01572316355252326, 'sideways_tp_mult': 2.501181032660756, 'sideways_tsl_mult': 0.8244565865727075, 'sideways_time_stop': 270, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 09:08:11,480] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 56, 'p_atr': 15, 'p_adx': 27, 'rsi_period': 7, 'ema1': 14, 'ema2': 21, 'slip_atr_k': 0.11373776796289614, 'slip_spread_k': 0.8735274087595264, 'spread_hl_frac': 0.01474934322321263, 'bb_std_mult': 1.7338261365040581, 'rsi_os': 32, 'rsi_ob': 62, 'vol_spike': 0.1296273740972489, 'adx_thresh': 5.89030553021955, 'atr_min_pct': 0.01280817933966411, 'atr_max_pct': 0.060929240933518924, 'tp_mult': 1.9902428384257032, 'tsl_mult': 0.5292776487645695, 'strategy': 'breakout', 'time_stop': 120, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9359684047928605, 'edge_cap': 0.8872263123567152, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.498933781863044, 'bull_rsi_os': 51, 'bull_rsi_ob': 55, 'bull_adx_thresh': 10.631600309934214, 'bull_atr_min_pct': 0.010349736913240077, 'bull_atr_max_pct': 0.01149274386827453, 'bull_tp_mult': 1.8623789660448853, 'bull_tsl_mult': 0.2874356716466553, 'bull_time_stop': 280, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.9367256227330913, 'bear_rsi_os': 21, 'bear_rsi_ob': 81, 'bear_adx_thresh': 10.165365595224038, 'bear_atr_min_pct': 0.0035225559599918453, 'bear_atr_max_pct': 0.01105776873239257, 'bear_tp_mult': 1.7189008354864916, 'bear_tsl_mult': 0.3217834324159975, 'bear_time_stop': 165, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.3516287399014317, 'sideways_rsi_os': 41, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 5.313940154438016, 'sideways_atr_min_pct': 0.012101791951541221, 'sideways_atr_max_pct': 0.11355064005561659, 'sideways_tp_mult': 1.8031902330765803, 'sideways_tsl_mult': 0.35509949164225874, 'sideways_time_stop': 67, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 09:08:11,580] Trial 2 finished with values: [-0.03231564129219555, 0.03205900326016306] and parameters: {'p_sma': 7, 'p_std': 35, 'p_atr': 28, 'p_adx': 15, 'rsi_period': 75, 'ema1': 5, 'ema2': 36, 'slip_atr_k': 0.14208091311891966, 'slip_spread_k': 0.760032495525913, 'spread_hl_frac': 0.03981107049216441, 'bb_std_mult': 0.7989503303300503, 'rsi_os': 38, 'rsi_ob': 58, 'vol_spike': 0.20894200245993944, 'adx_thresh': 6.905419782308201, 'atr_min_pct': 0.01909939255182429, 'atr_max_pct': 0.1088958500893045, 'tp_mult': 1.3001718402374893, 'tsl_mult': 0.062198950690626975, 'strategy': 'mean_reversion', 'time_stop': 12, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.246116390573077, 'edge_cap': 0.31365822634477547, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.0132920047499177, 'bull_rsi_os': 31, 'bull_rsi_ob': 67, 'bull_adx_thresh': 15.48910696796916, 'bull_atr_min_pct': 0.0016515468790834198, 'bull_atr_max_pct': 0.13504941124027586, 'bull_tp_mult': 1.0397022145824621, 'bull_tsl_mult': 0.2734766406460134, 'bull_time_stop': 169, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.2229853853478962, 'bear_rsi_os': 18, 'bear_rsi_ob': 70, 'bear_adx_thresh': 32.843863334603434, 'bear_atr_min_pct': 0.018592070934422424, 'bear_atr_max_pct': 0.09150339072880216, 'bear_tp_mult': 1.4991631676326267, 'bear_tsl_mult': 0.7757136793432213, 'bear_time_stop': 105, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.2615144432618433, 'sideways_rsi_os': 41, 'sideways_rsi_ob': 83, 'sideways_adx_thresh': 14.655342392984387, 'sideways_atr_min_pct': 0.0007822320658665038, 'sideways_atr_max_pct': 0.052125284133513784, 'sideways_tp_mult': 1.274167706292509, 'sideways_tsl_mult': 0.981246063131588, 'sideways_time_stop': 70, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 09:08:47,947] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 30, 'p_atr': 16, 'p_adx': 9, 'rsi_period': 84, 'ema1': 22, 'ema2': 55, 'slip_atr_k': 0.1498352261770375, 'slip_spread_k': 0.5223204121544907, 'spread_hl_frac': 0.009331532075701017, 'bb_std_mult': 1.8748203000692198, 'rsi_os': 28, 'rsi_ob': 80, 'vol_spike': 0.15915530071172018, 'adx_thresh': 17.973184837361416, 'atr_min_pct': 0.01794804716972231, 'atr_max_pct': 0.05976690676064736, 'tp_mult': 2.872757102887007, 'tsl_mult': 0.6937134171990701, 'strategy': 'breakout', 'time_stop': 176, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.9881432241352694, 'edge_cap': 0.4908837906880119, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.342698191658063, 'bull_rsi_os': 21, 'bull_rsi_ob': 90, 'bull_adx_thresh': 27.574970122541487, 'bull_atr_min_pct': 0.010646162188061754, 'bull_atr_max_pct': 0.1455291614418367, 'bull_tp_mult': 1.74622205008049, 'bull_tsl_mult': 0.9793989523857375, 'bull_time_stop': 288, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.88936462715831, 'bear_rsi_os': 44, 'bear_rsi_ob': 56, 'bear_adx_thresh': 27.065620716315788, 'bear_atr_min_pct': 0.024102548461238233, 'bear_atr_max_pct': 0.09284798016478105, 'bear_tp_mult': 1.9638043003837116, 'bear_tsl_mult': 0.8710882300994603, 'bear_time_stop': 99, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.095505138850635, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 13.575205546330753, 'sideways_atr_min_pct': 0.012938251042631842, 'sideways_atr_max_pct': 0.0805772566418489, 'sideways_tp_mult': 1.4676793008787443, 'sideways_tsl_mult': 0.4863601869549413, 'sideways_time_stop': 249, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 09:08:49,410] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 21, 'p_std': 52, 'p_atr': 8, 'p_adx': 8, 'rsi_period': 9, 'ema1': 26, 'ema2': 31, 'slip_atr_k': 0.11962717817513277, 'slip_spread_k': 0.5338462186799573, 'spread_hl_frac': 0.041209941610198905, 'bb_std_mult': 2.5737194103189602, 'rsi_os': 35, 'rsi_ob': 54, 'vol_spike': 0.23188341339942226, 'adx_thresh': 26.993059574668376, 'atr_min_pct': 0.027435128272804137, 'atr_max_pct': 0.12047942794338355, 'tp_mult': 2.0080493365495067, 'tsl_mult': 0.08150580725353074, 'strategy': 'breakout', 'time_stop': 73, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.0245614395588782, 'edge_cap': 0.1542536367552064, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.3421837931933007, 'bull_rsi_os': 27, 'bull_rsi_ob': 83, 'bull_adx_thresh': 13.004025304922738, 'bull_atr_min_pct': 0.0200160105906598, 'bull_atr_max_pct': 0.08305877237537775, 'bull_tp_mult': 1.370099374164796, 'bull_tsl_mult': 0.2132513498272831, 'bull_time_stop': 218, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.336076963599755, 'bear_rsi_os': 24, 'bear_rsi_ob': 79, 'bear_adx_thresh': 14.90230184956628, 'bear_atr_min_pct': 0.017405568553934957, 'bear_atr_max_pct': 0.06479439656222784, 'bear_tp_mult': 1.670649594834081, 'bear_tsl_mult': 0.7105884966588645, 'bear_time_stop': 278, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.1218523519376407, 'sideways_rsi_os': 48, 'sideways_rsi_ob': 85, 'sideways_adx_thresh': 28.204901763649968, 'sideways_atr_min_pct': 0.013997237350047896, 'sideways_atr_max_pct': 0.12192617967106197, 'sideways_tp_mult': 2.200779317131674, 'sideways_tsl_mult': 0.49637969333661613, 'sideways_time_stop': 69, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 09:08:49,702] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 18, 'p_std': 26, 'p_atr': 7, 'p_adx': 25, 'rsi_period': 7, 'ema1': 19, 'ema2': 14, 'slip_atr_k': 0.009983580829280247, 'slip_spread_k': 0.029246449889262838, 'spread_hl_frac': 0.0458641102373309, 'bb_std_mult': 2.5262784677885057, 'rsi_os': 28, 'rsi_ob': 95, 'vol_spike': 0.024362370659899133, 'adx_thresh': 6.842501787277852, 'atr_min_pct': 0.027432305407052143, 'atr_max_pct': 0.01068445166311354, 'tp_mult': 1.1137271299663134, 'tsl_mult': 0.03935448141549225, 'strategy': 'mean_reversion', 'time_stop': 20, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.3939538683407997, 'edge_cap': 0.8894129903584009, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.9573008429318853, 'bull_rsi_os': 50, 'bull_rsi_ob': 59, 'bull_adx_thresh': 34.747651559699754, 'bull_atr_min_pct': 0.002795287514460638, 'bull_atr_max_pct': 0.08600389638240721, 'bull_tp_mult': 1.8276003996170045, 'bull_tsl_mult': 0.19155259763621513, 'bull_time_stop': 164, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.8200267459917168, 'bear_rsi_os': 55, 'bear_rsi_ob': 45, 'bear_adx_thresh': 10.62810809554728, 'bear_atr_min_pct': 0.003275630070301888, 'bear_atr_max_pct': 0.14469324886808643, 'bear_tp_mult': 1.5807918146308853, 'bear_tsl_mult': 0.1342476601755045, 'bear_time_stop': 231, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.049024800176285, 'sideways_rsi_os': 32, 'sideways_rsi_ob': 78, 'sideways_adx_thresh': 26.557607669009837, 'sideways_atr_min_pct': 0.0008068446493052028, 'sideways_atr_max_pct': 0.0386529835656697, 'sideways_tp_mult': 2.088015805796631, 'sideways_tsl_mult': 0.9383176782459596, 'sideways_time_stop': 193, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 09:08:49,718] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 8, 'p_std': 35, 'p_atr': 27, 'p_adx': 25, 'rsi_period': 83, 'ema1': 30, 'ema2': 19, 'slip_atr_k': 0.1489353480606293, 'slip_spread_k': 0.49124602346725277, 'spread_hl_frac': 0.01739005746801981, 'bb_std_mult': 2.5502669680205656, 'rsi_os': 11, 'rsi_ob': 57, 'vol_spike': 0.021540440737819033, 'adx_thresh': 27.130151773088357, 'atr_min_pct': 0.0020131407686755044, 'atr_max_pct': 0.013055761679764707, 'tp_mult': 1.927632553463256, 'tsl_mult': 0.9054106554448286, 'strategy': 'mean_reversion', 'time_stop': 219, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.37308546961387323, 'edge_cap': 0.7805411593833385, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.5230096007126035, 'bull_rsi_os': 13, 'bull_rsi_ob': 53, 'bull_adx_thresh': 27.955768810041345, 'bull_atr_min_pct': 0.02781958115175851, 'bull_atr_max_pct': 0.02961564890599699, 'bull_tp_mult': 1.5716069296048012, 'bull_tsl_mult': 0.7983834508381249, 'bull_time_stop': 163, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.8849366729484271, 'bear_rsi_os': 23, 'bear_rsi_ob': 55, 'bear_adx_thresh': 17.090044411130823, 'bear_atr_min_pct': 0.01745109357460108, 'bear_atr_max_pct': 0.08487286152640684, 'bear_tp_mult': 2.17673308019406, 'bear_tsl_mult': 0.235886590933569, 'bear_time_stop': 188, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.7330196794760474, 'sideways_rsi_os': 6, 'sideways_rsi_ob': 70, 'sideways_adx_thresh': 19.384028771047102, 'sideways_atr_min_pct': 0.028736059850954558, 'sideways_atr_max_pct': 0.1396559414889205, 'sideways_tp_mult': 1.2206170459688563, 'sideways_tsl_mult': 0.8833894213001172, 'sideways_time_stop': 244, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 09:08:50,379] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 46, 'p_std': 12, 'p_atr': 13, 'p_adx': 27, 'rsi_period': 21, 'ema1': 9, 'ema2': 24, 'slip_atr_k': 0.1503280940684266, 'slip_spread_k': 0.3704629369779586, 'spread_hl_frac': 0.04922192286947949, 'bb_std_mult': 0.7065070768183865, 'rsi_os': 50, 'rsi_ob': 59, 'vol_spike': 0.10300658665634944, 'adx_thresh': 28.673808193127954, 'atr_min_pct': 0.010648323671500641, 'atr_max_pct': 0.030035451627073613, 'tp_mult': 2.6684698158674367, 'tsl_mult': 0.7745706456349828, 'strategy': 'breakout', 'time_stop': 31, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.4904551545298286, 'edge_cap': 0.5686758279256904, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.04459901127547, 'bull_rsi_os': 22, 'bull_rsi_ob': 91, 'bull_adx_thresh': 24.39083254367768, 'bull_atr_min_pct': 0.005775557596558659, 'bull_atr_max_pct': 0.11933600795767968, 'bull_tp_mult': 2.06918561219804, 'bull_tsl_mult': 0.389063643110074, 'bull_time_stop': 17, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.2960938452714967, 'bear_rsi_os': 8, 'bear_rsi_ob': 59, 'bear_adx_thresh': 18.087244740143426, 'bear_atr_min_pct': 0.026442067361050228, 'bear_atr_max_pct': 0.12463836048529253, 'bear_tp_mult': 2.345712065571097, 'bear_tsl_mult': 0.7948228360206437, 'bear_time_stop': 74, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.8314926840028047, 'sideways_rsi_os': 47, 'sideways_rsi_ob': 61, 'sideways_adx_thresh': 24.400039494790157, 'sideways_atr_min_pct': 0.020123778274968914, 'sideways_atr_max_pct': 0.019748592725511816, 'sideways_tp_mult': 1.1863355917861946, 'sideways_tsl_mult': 0.5335771237681911, 'sideways_time_stop': 40, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 09:09:27,879] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 11, 'p_atr': 23, 'p_adx': 27, 'rsi_period': 36, 'ema1': 29, 'ema2': 44, 'slip_atr_k': 0.24238055756971066, 'slip_spread_k': 0.6234764879010387, 'spread_hl_frac': 0.04848717042237527, 'bb_std_mult': 3.3419363764174888, 'rsi_os': 30, 'rsi_ob': 80, 'vol_spike': 0.16325571676006692, 'adx_thresh': 7.0129542515388055, 'atr_min_pct': 0.02156927130749128, 'atr_max_pct': 0.042891680969472774, 'tp_mult': 2.6317761102882993, 'tsl_mult': 0.13207121489105544, 'strategy': 'mean_reversion', 'time_stop': 299, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.3653725455617103, 'edge_cap': 0.7202747094206765, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.87993300978275, 'bull_rsi_os': 55, 'bull_rsi_ob': 51, 'bull_adx_thresh': 13.046079439258294, 'bull_atr_min_pct': 0.01481379594782087, 'bull_atr_max_pct': 0.016167101061683523, 'bull_tp_mult': 2.0539287284821373, 'bull_tsl_mult': 0.37055202943062704, 'bull_time_stop': 22, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.188296280286385, 'bear_rsi_os': 24, 'bear_rsi_ob': 51, 'bear_adx_thresh': 32.16092931537658, 'bear_atr_min_pct': 0.017775630588870803, 'bear_atr_max_pct': 0.039913350438109535, 'bear_tp_mult': 1.8389756304870393, 'bear_tsl_mult': 0.39553440892455516, 'bear_time_stop': 40, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.7700962277889599, 'sideways_rsi_os': 43, 'sideways_rsi_ob': 62, 'sideways_adx_thresh': 5.330529255476835, 'sideways_atr_min_pct': 0.013733044443222655, 'sideways_atr_max_pct': 0.08445148454854827, 'sideways_tp_mult': 1.473960989218942, 'sideways_tsl_mult': 0.8187925670037515, 'sideways_time_stop': 244, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 09:09:28,503] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 38, 'p_std': 10, 'p_atr': 21, 'p_adx': 10, 'rsi_period': 79, 'ema1': 22, 'ema2': 12, 'slip_atr_k': 0.04321446577238136, 'slip_spread_k': 0.5282354490909441, 'spread_hl_frac': 0.04032983081721779, 'bb_std_mult': 2.0424573934080774, 'rsi_os': 51, 'rsi_ob': 73, 'vol_spike': 0.2578072513555973, 'adx_thresh': 24.844230846843303, 'atr_min_pct': 0.015310662304707975, 'atr_max_pct': 0.04062480314104362, 'tp_mult': 2.445516373736768, 'tsl_mult': 0.7832213180572731, 'strategy': 'breakout', 'time_stop': 186, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.541583780565486, 'edge_cap': 0.8767814443164694, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.368487406732734, 'bull_rsi_os': 35, 'bull_rsi_ob': 88, 'bull_adx_thresh': 9.954330528511385, 'bull_atr_min_pct': 0.0074782814631294955, 'bull_atr_max_pct': 0.12075378325799559, 'bull_tp_mult': 2.4581738162225584, 'bull_tsl_mult': 0.5437637621193424, 'bull_time_stop': 77, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.806577735487618, 'bear_rsi_os': 36, 'bear_rsi_ob': 60, 'bear_adx_thresh': 16.357748936762654, 'bear_atr_min_pct': 0.01483636736663163, 'bear_atr_max_pct': 0.1395885917575464, 'bear_tp_mult': 1.1337257859812655, 'bear_tsl_mult': 0.5149438519955033, 'bear_time_stop': 75, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.15367127914268, 'sideways_rsi_os': 38, 'sideways_rsi_ob': 60, 'sideways_adx_thresh': 19.00473865109801, 'sideways_atr_min_pct': 0.01914225577809327, 'sideways_atr_max_pct': 0.021218172979994024, 'sideways_tp_mult': 2.7953121787887656, 'sideways_tsl_mult': 0.043812742710676145, 'sideways_time_stop': 84, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
