number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0006550738235704401,-0.0003531140146710749,-1000000000.0,1000000000.0,-0.0006550738235704401,-0.0003531140146710749,2.0,breakout,1,"{""adx_thresh"": 29.688049401946138, ""atr_max_pct"": 0.10343174237606288, ""atr_min_pct"": 0.028297857341237128, ""bb_std_mult"": 3.4941407482231184, ""bear_adx_thresh"": 30.04136091723697, ""bear_atr_max_pct"": 0.09388963035921664, ""bear_atr_min_pct"": 0.008026632415495293, ""bear_bb_std_mult"": 3.059273616458255, ""bear_rsi_ob"": 66, ""bear_rsi_os"": 13, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 9, ""bear_tp_mult"": 2.7084205777603674, ""bear_tsl_mult"": 0.39393367552797054, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 13.632031441550682, ""bull_atr_max_pct"": 0.09050721289269413, ""bull_atr_min_pct"": 0.02325092429962637, ""bull_bb_std_mult"": 0.546913182371784, ""bull_rsi_ob"": 75, ""bull_rsi_os"": 47, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 154, ""bull_tp_mult"": 1.2727918727086143, ""bull_tsl_mult"": 0.015458676339914046, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.5980896872805098, ""edge_k"": 0.6313647558801536, ""ema1"": 27, ""ema2"": 29, ""p_adx"": 29, ""p_atr"": 15, ""p_sma"": 19, ""p_std"": 44, ""rsi_ob"": 63, ""rsi_os"": 37, ""rsi_period"": 31, ""rsi_required"": true, ""sideways_adx_thresh"": 9.393371010546481, ""sideways_atr_max_pct"": 0.056239817680915176, ""sideways_atr_min_pct"": 0.005818031775515644, ""sideways_bb_std_mult"": 2.069295554233022, ""sideways_rsi_ob"": 61, ""sideways_rsi_os"": 24, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 17, ""sideways_tp_mult"": 1.2652046811353284, ""sideways_tsl_mult"": 0.8763683723123237, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.004599469309217008, ""slip_spread_k"": 0.7977167265297898, ""spread_hl_frac"": 0.023620959717561715, ""strategy"": ""breakout"", ""time_stop"": 196, ""tp_mult"": 1.6781717521127022, ""tsl_mult"": 0.5165148489777878, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.19204551931894473}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 30.46604572757519, ""atr_max_pct"": 0.05254125928971031, ""atr_min_pct"": 0.009266026162954617, ""bb_std_mult"": 3.520777893251273, ""bear_adx_thresh"": 6.197516555806111, ""bear_atr_max_pct"": 0.03810370716466242, ""bear_atr_min_pct"": 0.02045148450509433, ""bear_bb_std_mult"": 2.4141941235237634, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 30, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 138, ""bear_tp_mult"": 1.830420273034708, ""bear_tsl_mult"": 0.19666516789989286, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 32.81200907951427, ""bull_atr_max_pct"": 0.13096040517591206, ""bull_atr_min_pct"": 0.015979422137319583, ""bull_bb_std_mult"": 1.3851697928332816, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 27, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 20, ""bull_tp_mult"": 2.3292417206150455, ""bull_tsl_mult"": 0.031729529742638984, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8480187688348738, ""edge_k"": 0.4655367599653999, ""ema1"": 29, ""ema2"": 29, ""p_adx"": 26, ""p_atr"": 16, ""p_sma"": 26, ""p_std"": 40, ""rsi_ob"": 81, ""rsi_os"": 24, ""rsi_period"": 52, ""rsi_required"": true, ""sideways_adx_thresh"": 7.639882727173882, ""sideways_atr_max_pct"": 0.04038940955486892, ""sideways_atr_min_pct"": 0.01693135420558224, ""sideways_bb_std_mult"": 1.7270402423444908, ""sideways_rsi_ob"": 71, ""sideways_rsi_os"": 46, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 150, ""sideways_tp_mult"": 2.1857944528036013, ""sideways_tsl_mult"": 0.9928292273751497, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.08016440478951059, ""slip_spread_k"": 0.43086458163480845, ""spread_hl_frac"": 0.045770545821401075, ""strategy"": ""mean_reversion"", ""time_stop"": 19, ""tp_mult"": 2.267859666973753, ""tsl_mult"": 0.24995850145500875, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.029730396170638218}"
2,-0.006133602637291569,-0.005905942745823448,-1000000000.0,1000000000.0,-0.006133602637291569,-0.005905942745823448,27.0,mean_reversion,1,"{""adx_thresh"": 22.586993002087482, ""atr_max_pct"": 0.0961662991056853, ""atr_min_pct"": 0.017113400840626927, ""bb_std_mult"": 2.4142386819646573, ""bear_adx_thresh"": 23.451319422741825, ""bear_atr_max_pct"": 0.06467771845944376, ""bear_atr_min_pct"": 0.02907420195015392, ""bear_bb_std_mult"": 2.6799931958460483, ""bear_rsi_ob"": 57, ""bear_rsi_os"": 42, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 210, ""bear_tp_mult"": 1.3887265871066496, ""bear_tsl_mult"": 0.7056041225688966, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 24.60442228352684, ""bull_atr_max_pct"": 0.12177582087327898, ""bull_atr_min_pct"": 0.01062008804322543, ""bull_bb_std_mult"": 2.9436827827613845, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 40, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 269, ""bull_tp_mult"": 1.1578653469669138, ""bull_tsl_mult"": 0.3730557754657512, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.26552328635034156, ""edge_k"": 1.2045705882398994, ""ema1"": 27, ""ema2"": 31, ""p_adx"": 29, ""p_atr"": 21, ""p_sma"": 13, ""p_std"": 25, ""rsi_ob"": 89, ""rsi_os"": 42, ""rsi_period"": 31, ""rsi_required"": false, ""sideways_adx_thresh"": 20.422743604414514, ""sideways_atr_max_pct"": 0.07844360021922983, ""sideways_atr_min_pct"": 0.004089776960723561, ""sideways_bb_std_mult"": 1.4510116245555484, ""sideways_rsi_ob"": 51, ""sideways_rsi_os"": 44, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 28, ""sideways_tp_mult"": 1.2559152034335133, ""sideways_tsl_mult"": 0.9328502289905121, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11041427389377184, ""slip_spread_k"": 0.32319321841209236, ""spread_hl_frac"": 0.04778952669004244, ""strategy"": ""mean_reversion"", ""time_stop"": 286, ""tp_mult"": 1.8630664861165662, ""tsl_mult"": 0.9579091158785954, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06478873792095145}"
3,0.00729532543875222,0.0,-1000000000.0,1000000000.0,0.00729532543875222,0.0,4.0,mean_reversion,1,"{""adx_thresh"": 5.791401681658401, ""atr_max_pct"": 0.094168563372532, ""atr_min_pct"": 0.01609092785492311, ""bb_std_mult"": 2.6248280344421806, ""bear_adx_thresh"": 10.90607319047467, ""bear_atr_max_pct"": 0.01784868287664061, ""bear_atr_min_pct"": 0.010783896468404018, ""bear_bb_std_mult"": 3.2604091124439587, ""bear_rsi_ob"": 64, ""bear_rsi_os"": 34, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 69, ""bear_tp_mult"": 1.4910960077997115, ""bear_tsl_mult"": 0.7846799700619114, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.008228656030003, ""bull_atr_max_pct"": 0.14501769092541028, ""bull_atr_min_pct"": 0.012467245203436105, ""bull_bb_std_mult"": 2.6986747683220114, ""bull_rsi_ob"": 92, ""bull_rsi_os"": 15, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 83, ""bull_tp_mult"": 2.8932096865222516, ""bull_tsl_mult"": 0.8087842421462488, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.9462399757069687, ""edge_k"": 0.40649800585763596, ""ema1"": 15, ""ema2"": 10, ""p_adx"": 20, ""p_atr"": 12, ""p_sma"": 42, ""p_std"": 10, ""rsi_ob"": 87, ""rsi_os"": 44, ""rsi_period"": 28, ""rsi_required"": true, ""sideways_adx_thresh"": 16.377896736597293, ""sideways_atr_max_pct"": 0.048358046396602676, ""sideways_atr_min_pct"": 0.007623514119382722, ""sideways_bb_std_mult"": 3.3955862839491946, ""sideways_rsi_ob"": 93, ""sideways_rsi_os"": 16, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 23, ""sideways_tp_mult"": 1.8287227672976858, ""sideways_tsl_mult"": 0.17736843953532877, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.12291075770860285, ""slip_spread_k"": 0.7653278863461932, ""spread_hl_frac"": 0.020116826475867627, ""strategy"": ""mean_reversion"", ""time_stop"": 61, ""tp_mult"": 1.4589895482667299, ""tsl_mult"": 0.6094842972453347, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1938337523296856}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.79251447371456, ""atr_max_pct"": 0.13649469601534614, ""atr_min_pct"": 0.020586335008187153, ""bb_std_mult"": 2.678576514145972, ""bear_adx_thresh"": 20.255752259055306, ""bear_atr_max_pct"": 0.08195644589956205, ""bear_atr_min_pct"": 0.026858429218217565, ""bear_bb_std_mult"": 2.943207920360435, ""bear_rsi_ob"": 63, ""bear_rsi_os"": 16, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 59, ""bear_tp_mult"": 2.817773984525734, ""bear_tsl_mult"": 0.8690689533099318, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.4120861156764, ""bull_atr_max_pct"": 0.08953197907604664, ""bull_atr_min_pct"": 0.025598450250501715, ""bull_bb_std_mult"": 1.378248218798126, ""bull_rsi_ob"": 82, ""bull_rsi_os"": 14, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 73, ""bull_tp_mult"": 2.5876656801573192, ""bull_tsl_mult"": 0.29124870420645943, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.6193552935093984, ""edge_k"": 1.6456298894117445, ""ema1"": 14, ""ema2"": 27, ""p_adx"": 18, ""p_atr"": 9, ""p_sma"": 43, ""p_std"": 34, ""rsi_ob"": 45, ""rsi_os"": 30, ""rsi_period"": 30, ""rsi_required"": true, ""sideways_adx_thresh"": 25.89709509101618, ""sideways_atr_max_pct"": 0.02438950584089826, ""sideways_atr_min_pct"": 0.016513447163259427, ""sideways_bb_std_mult"": 2.2953307076715954, ""sideways_rsi_ob"": 50, ""sideways_rsi_os"": 36, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 259, ""sideways_tp_mult"": 1.6099243822461946, ""sideways_tsl_mult"": 0.587820496123796, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07077993953547779, ""slip_spread_k"": 0.03634999420039631, ""spread_hl_frac"": 0.04217497250934394, ""strategy"": ""mean_reversion"", ""time_stop"": 83, ""tp_mult"": 1.778688782295515, ""tsl_mult"": 0.15094593258878142, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09748106119153534}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 10.989401925600045, ""atr_max_pct"": 0.12613733028779914, ""atr_min_pct"": 0.02670398152262286, ""bb_std_mult"": 3.054176389141972, ""bear_adx_thresh"": 10.978700769816843, ""bear_atr_max_pct"": 0.1499222902591455, ""bear_atr_min_pct"": 0.029428124840179818, ""bear_bb_std_mult"": 1.8896916709140879, ""bear_rsi_ob"": 74, ""bear_rsi_os"": 49, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 39, ""bear_tp_mult"": 1.4288903859783353, ""bear_tsl_mult"": 0.5092904105007362, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 25.41628763811577, ""bull_atr_max_pct"": 0.0752042013253354, ""bull_atr_min_pct"": 0.023057791660663702, ""bull_bb_std_mult"": 2.0393052893366606, ""bull_rsi_ob"": 61, ""bull_rsi_os"": 13, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 58, ""bull_tp_mult"": 1.7286146413804446, ""bull_tsl_mult"": 0.42285973612746375, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.43330258765407215, ""edge_k"": 1.9242243927302531, ""ema1"": 19, ""ema2"": 35, ""p_adx"": 29, ""p_atr"": 12, ""p_sma"": 23, ""p_std"": 59, ""rsi_ob"": 58, ""rsi_os"": 27, ""rsi_period"": 23, ""rsi_required"": true, ""sideways_adx_thresh"": 13.878172467598947, ""sideways_atr_max_pct"": 0.08286266051376144, ""sideways_atr_min_pct"": 0.016098143742115312, ""sideways_bb_std_mult"": 1.34961889902257, ""sideways_rsi_ob"": 60, ""sideways_rsi_os"": 41, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 271, ""sideways_tp_mult"": 1.4864189574300515, ""sideways_tsl_mult"": 0.7803501427490871, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1367138197006712, ""slip_spread_k"": 0.3604555302805875, ""spread_hl_frac"": 0.045690775733423866, ""strategy"": ""mean_reversion"", ""time_stop"": 89, ""tp_mult"": 1.3344489625549436, ""tsl_mult"": 0.9875740414810138, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10924680443799441}"
6,0.001631176427824288,0.0,-1000000000.0,1000000000.0,0.001631176427824288,0.0,1.0,breakout,1,"{""adx_thresh"": 17.0437072068129, ""atr_max_pct"": 0.09068103219338776, ""atr_min_pct"": 0.02261049393376361, ""bb_std_mult"": 1.5685676753317626, ""bear_adx_thresh"": 19.59994041158795, ""bear_atr_max_pct"": 0.03417524094026372, ""bear_atr_min_pct"": 0.004391092182746375, ""bear_bb_std_mult"": 2.8996343713757184, ""bear_rsi_ob"": 80, ""bear_rsi_os"": 14, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 130, ""bear_tp_mult"": 1.96015493345506, ""bear_tsl_mult"": 0.6971917627347601, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.15007008021698, ""bull_atr_max_pct"": 0.10594741566749916, ""bull_atr_min_pct"": 0.014384617071356647, ""bull_bb_std_mult"": 2.8432596449214853, ""bull_rsi_ob"": 50, ""bull_rsi_os"": 9, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 275, ""bull_tp_mult"": 2.7849576132165286, ""bull_tsl_mult"": 0.9901468819455039, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.15218542507826066, ""edge_k"": 1.917979745709334, ""ema1"": 7, ""ema2"": 14, ""p_adx"": 17, ""p_atr"": 18, ""p_sma"": 47, ""p_std"": 16, ""rsi_ob"": 72, ""rsi_os"": 42, ""rsi_period"": 79, ""rsi_required"": false, ""sideways_adx_thresh"": 26.862220397002623, ""sideways_atr_max_pct"": 0.04257725158994477, ""sideways_atr_min_pct"": 0.02343734718051771, ""sideways_bb_std_mult"": 3.12818434849384, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 5, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 79, ""sideways_tp_mult"": 1.4304160728366573, ""sideways_tsl_mult"": 0.4295548334732432, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.22367614551829834, ""slip_spread_k"": 0.09161437973069486, ""spread_hl_frac"": 0.010010883833135725, ""strategy"": ""breakout"", ""time_stop"": 289, ""tp_mult"": 2.973815040786879, ""tsl_mult"": 0.7491205356019595, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21396423646633914}"
7,-0.0012019676323208328,-0.0009831485257975673,-1000000000.0,1000000000.0,-0.0012019676323208328,-0.0009831485257975673,7.0,mean_reversion,1,"{""adx_thresh"": 20.48538950243697, ""atr_max_pct"": 0.058897994434514184, ""atr_min_pct"": 0.0028970601512063464, ""bb_std_mult"": 1.0048349442246018, ""bear_adx_thresh"": 25.73692875724047, ""bear_atr_max_pct"": 0.013349572763136117, ""bear_atr_min_pct"": 0.013596359162365667, ""bear_bb_std_mult"": 1.323057041280929, ""bear_rsi_ob"": 93, ""bear_rsi_os"": 6, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 72, ""bear_tp_mult"": 2.7117608142477017, ""bear_tsl_mult"": 0.4422636798909232, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 34.24041659857235, ""bull_atr_max_pct"": 0.13566168054093078, ""bull_atr_min_pct"": 0.004998433000282791, ""bull_bb_std_mult"": 3.2602320536839646, ""bull_rsi_ob"": 57, ""bull_rsi_os"": 27, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 171, ""bull_tp_mult"": 1.6911111864468569, ""bull_tsl_mult"": 0.5015061770668705, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.10794310547775918, ""edge_k"": 0.921984736255953, ""ema1"": 21, ""ema2"": 32, ""p_adx"": 16, ""p_atr"": 11, ""p_sma"": 14, ""p_std"": 27, ""rsi_ob"": 77, ""rsi_os"": 27, ""rsi_period"": 19, ""rsi_required"": false, ""sideways_adx_thresh"": 25.581180315955343, ""sideways_atr_max_pct"": 0.0785997250213189, ""sideways_atr_min_pct"": 0.009511297806803619, ""sideways_bb_std_mult"": 2.989270523077647, ""sideways_rsi_ob"": 56, ""sideways_rsi_os"": 27, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 295, ""sideways_tp_mult"": 2.2140401361435385, ""sideways_tsl_mult"": 0.018210581236767664, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.05432678165711852, ""slip_spread_k"": 0.12493769635212137, ""spread_hl_frac"": 0.02924815341984177, ""strategy"": ""mean_reversion"", ""time_stop"": 52, ""tp_mult"": 2.8511996679164726, ""tsl_mult"": 0.03603551046087872, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19213990908905634}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 12.963647718215382, ""atr_max_pct"": 0.06782660410739932, ""atr_min_pct"": 0.016372798648709257, ""bb_std_mult"": 2.574800456687903, ""bear_adx_thresh"": 14.175806665176891, ""bear_atr_max_pct"": 0.11411710089669903, ""bear_atr_min_pct"": 0.022660521212766786, ""bear_bb_std_mult"": 1.115267157177273, ""bear_rsi_ob"": 54, ""bear_rsi_os"": 44, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 90, ""bear_tp_mult"": 2.8268646088502427, ""bear_tsl_mult"": 0.6606440385272158, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 9.697039656457934, ""bull_atr_max_pct"": 0.02232142592220214, ""bull_atr_min_pct"": 0.015311078627081264, ""bull_bb_std_mult"": 1.1883531735928055, ""bull_rsi_ob"": 83, ""bull_rsi_os"": 8, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 52, ""bull_tp_mult"": 1.7878987001453035, ""bull_tsl_mult"": 0.6587941726883719, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.90990166915518, ""edge_k"": 1.7764867583963937, ""ema1"": 6, ""ema2"": 38, ""p_adx"": 13, ""p_atr"": 29, ""p_sma"": 42, ""p_std"": 27, ""rsi_ob"": 61, ""rsi_os"": 41, ""rsi_period"": 49, ""rsi_required"": true, ""sideways_adx_thresh"": 13.765685060341076, ""sideways_atr_max_pct"": 0.03844133865024927, ""sideways_atr_min_pct"": 0.014338309116122874, ""sideways_bb_std_mult"": 1.510538686279238, ""sideways_rsi_ob"": 85, ""sideways_rsi_os"": 31, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 225, ""sideways_tp_mult"": 2.6371807698273955, ""sideways_tsl_mult"": 0.6309399690859783, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1241995995590732, ""slip_spread_k"": 0.21046943063731505, ""spread_hl_frac"": 0.03326999689426893, ""strategy"": ""breakout"", ""time_stop"": 143, ""tp_mult"": 1.4076561894226958, ""tsl_mult"": 0.5285880828708125, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2582571322531984}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 25.769385933257468, ""atr_max_pct"": 0.033066420156272903, ""atr_min_pct"": 0.016845271084323682, ""bb_std_mult"": 0.6145549146454606, ""bear_adx_thresh"": 28.87495574981273, ""bear_atr_max_pct"": 0.07125297194931053, ""bear_atr_min_pct"": 0.01784145433289132, ""bear_bb_std_mult"": 2.7428733864483474, ""bear_rsi_ob"": 75, ""bear_rsi_os"": 53, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 274, ""bear_tp_mult"": 2.822942653820296, ""bear_tsl_mult"": 0.9292981018524002, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 29.438106787015638, ""bull_atr_max_pct"": 0.015448867006626295, ""bull_atr_min_pct"": 0.014682662588662299, ""bull_bb_std_mult"": 1.761810772210167, ""bull_rsi_ob"": 89, ""bull_rsi_os"": 40, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 186, ""bull_tp_mult"": 1.9136702488320894, ""bull_tsl_mult"": 0.12958143047002346, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.34584248315218696, ""edge_k"": 0.48524822459314665, ""ema1"": 24, ""ema2"": 11, ""p_adx"": 27, ""p_atr"": 28, ""p_sma"": 16, ""p_std"": 53, ""rsi_ob"": 60, ""rsi_os"": 43, ""rsi_period"": 71, ""rsi_required"": false, ""sideways_adx_thresh"": 27.359876132153186, ""sideways_atr_max_pct"": 0.10095638443465789, ""sideways_atr_min_pct"": 0.0092183852284125, ""sideways_bb_std_mult"": 3.046473193156825, ""sideways_rsi_ob"": 54, ""sideways_rsi_os"": 48, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 5, ""sideways_tp_mult"": 1.2052185272869205, ""sideways_tsl_mult"": 0.705308183067759, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.014638008114273682, ""slip_spread_k"": 0.34039054343516295, ""spread_hl_frac"": 0.019426337936668037, ""strategy"": ""breakout"", ""time_stop"": 270, ""tp_mult"": 1.3120597443610695, ""tsl_mult"": 0.2420080370406954, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18053647276830895}"
