2025-09-01 13:55:33,098 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 13:55:33,146] A new study created in memory with name: no-name-4264891d-f5c1-419e-989a-d8dc831ccf5d
[I 2025-09-01 13:55:33,167] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 31, 'p_atr': 21, 'p_adx': 16, 'rsi_period': 47, 'ema1': 23, 'ema2': 59, 'slip_atr_k': 0.15561037555506177, 'slip_spread_k': 0.4244240371257141, 'spread_hl_frac': 0.005260499560288456, 'bb_std_mult': 0.579000003046927, 'rsi_os': 48, 'rsi_ob': 45, 'vol_spike': 0.28891617688300775, 'adx_thresh': 13.836704013817066, 'atr_min_pct': 0.026641957334971204, 'atr_max_pct': 0.07309934007361558, 'tp_mult': 1.554243707441568, 'tsl_mult': 0.157625036484071, 'strategy': 'mean_reversion', 'time_stop': 61, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9867226713651474, 'edge_cap': 0.7780943533078274, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.6117859859614008, 'bull_rsi_os': 12, 'bull_rsi_ob': 75, 'bull_adx_thresh': 18.49114623326845, 'bull_atr_min_pct': 0.02395671855360941, 'bull_atr_max_pct': 0.1051682826290855, 'bull_tp_mult': 2.834128714142786, 'bull_tsl_mult': 0.2038057012699125, 'bull_time_stop': 72, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.043295999858392, 'bear_rsi_os': 18, 'bear_rsi_ob': 80, 'bear_adx_thresh': 24.224308525855236, 'bear_atr_min_pct': 0.013973707202527929, 'bear_atr_max_pct': 0.06467444524936379, 'bear_tp_mult': 1.852243084135104, 'bear_tsl_mult': 0.20461270132008091, 'bear_time_stop': 300, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.399765065292, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 51, 'sideways_adx_thresh': 17.150562719588198, 'sideways_atr_min_pct': 0.0004801068632905936, 'sideways_atr_max_pct': 0.028651905618547042, 'sideways_tp_mult': 1.2719088141826596, 'sideways_tsl_mult': 0.6257895932896539, 'sideways_time_stop': 167, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:55:33,172] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 40, 'p_std': 43, 'p_atr': 9, 'p_adx': 13, 'rsi_period': 13, 'ema1': 22, 'ema2': 40, 'slip_atr_k': 0.18204913828004615, 'slip_spread_k': 0.5080194048400887, 'spread_hl_frac': 0.01573915399871626, 'bb_std_mult': 3.168600120218657, 'rsi_os': 54, 'rsi_ob': 52, 'vol_spike': 0.04562535682041222, 'adx_thresh': 24.686746715005178, 'atr_min_pct': 0.015647413859529016, 'atr_max_pct': 0.09708546814331015, 'tp_mult': 2.6263693949438593, 'tsl_mult': 0.377624056597641, 'strategy': 'mean_reversion', 'time_stop': 239, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.9433500490123519, 'edge_cap': 0.7780695060979524, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.592698097788505, 'bull_rsi_os': 19, 'bull_rsi_ob': 84, 'bull_adx_thresh': 9.671945157570084, 'bull_atr_min_pct': 0.01876182622474779, 'bull_atr_max_pct': 0.06263219185129537, 'bull_tp_mult': 2.9447860209409153, 'bull_tsl_mult': 0.13679132628136115, 'bull_time_stop': 288, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.5103310768530196, 'bear_rsi_os': 26, 'bear_rsi_ob': 81, 'bear_adx_thresh': 13.622789022070412, 'bear_atr_min_pct': 0.005207369731508238, 'bear_atr_max_pct': 0.0993293194027133, 'bear_tp_mult': 1.2583140408319275, 'bear_tsl_mult': 0.6615758689247719, 'bear_time_stop': 286, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3243077976000583, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 67, 'sideways_adx_thresh': 25.380297667089742, 'sideways_atr_min_pct': 0.008619688776566674, 'sideways_atr_max_pct': 0.13065501969720247, 'sideways_tp_mult': 1.4596182985041903, 'sideways_tsl_mult': 0.28794865307254824, 'sideways_time_stop': 75, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 13:56:07,092] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 44, 'p_std': 56, 'p_atr': 19, 'p_adx': 26, 'rsi_period': 26, 'ema1': 5, 'ema2': 40, 'slip_atr_k': 0.11827798159507988, 'slip_spread_k': 0.8699434764744547, 'spread_hl_frac': 0.019777128273674123, 'bb_std_mult': 0.6807827460393227, 'rsi_os': 18, 'rsi_ob': 45, 'vol_spike': 0.037953220388164684, 'adx_thresh': 16.386709051616634, 'atr_min_pct': 0.01851321254982936, 'atr_max_pct': 0.05281069751550551, 'tp_mult': 2.138281927946676, 'tsl_mult': 0.04501229160260456, 'strategy': 'breakout', 'time_stop': 185, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.8156962104896921, 'edge_cap': 0.6998490716922248, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.2814975086332603, 'bull_rsi_os': 40, 'bull_rsi_ob': 93, 'bull_adx_thresh': 19.955524241767115, 'bull_atr_min_pct': 0.009895372525897212, 'bull_atr_max_pct': 0.03182081516114746, 'bull_tp_mult': 1.3862267826628565, 'bull_tsl_mult': 0.34601162143870723, 'bull_time_stop': 76, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.206613697278917, 'bear_rsi_os': 23, 'bear_rsi_ob': 49, 'bear_adx_thresh': 23.52590823783453, 'bear_atr_min_pct': 0.02726789107529524, 'bear_atr_max_pct': 0.1251590488054422, 'bear_tp_mult': 2.5516196181870816, 'bear_tsl_mult': 0.4774356153375957, 'bear_time_stop': 42, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.536406360096149, 'sideways_rsi_os': 6, 'sideways_rsi_ob': 57, 'sideways_adx_thresh': 11.485931839536095, 'sideways_atr_min_pct': 0.010630804291947916, 'sideways_atr_max_pct': 0.09969091611003374, 'sideways_tp_mult': 2.633414715308748, 'sideways_tsl_mult': 0.21286940436377577, 'sideways_time_stop': 129, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 13:56:08,279] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 50, 'p_atr': 7, 'p_adx': 7, 'rsi_period': 37, 'ema1': 17, 'ema2': 56, 'slip_atr_k': 0.22361561573764263, 'slip_spread_k': 0.6894798247703103, 'spread_hl_frac': 0.013732373138704146, 'bb_std_mult': 1.5043122067199222, 'rsi_os': 18, 'rsi_ob': 76, 'vol_spike': 0.11153830929847022, 'adx_thresh': 32.22795985804541, 'atr_min_pct': 0.01093265120230878, 'atr_max_pct': 0.01622422922943885, 'tp_mult': 1.133023188445666, 'tsl_mult': 0.6006441309729659, 'strategy': 'mean_reversion', 'time_stop': 162, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.76148828328711, 'edge_cap': 0.7255503651651959, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.1825156748089487, 'bull_rsi_os': 22, 'bull_rsi_ob': 64, 'bull_adx_thresh': 17.70181713798866, 'bull_atr_min_pct': 0.01386126245279328, 'bull_atr_max_pct': 0.07280412692060662, 'bull_tp_mult': 2.588551263183848, 'bull_tsl_mult': 0.17829673400446522, 'bull_time_stop': 234, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.0763107449185423, 'bear_rsi_os': 29, 'bear_rsi_ob': 94, 'bear_adx_thresh': 30.249456796763162, 'bear_atr_min_pct': 0.018230029119664953, 'bear_atr_max_pct': 0.12985015724841423, 'bear_tp_mult': 1.9866121494525049, 'bear_tsl_mult': 0.08568352339753937, 'bear_time_stop': 287, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.2946306742329523, 'sideways_rsi_os': 26, 'sideways_rsi_ob': 52, 'sideways_adx_thresh': 26.26974495536154, 'sideways_atr_min_pct': 0.02481829931908714, 'sideways_atr_max_pct': 0.12675495894577507, 'sideways_tp_mult': 1.4939828106843427, 'sideways_tsl_mult': 0.25032743932492985, 'sideways_time_stop': 267, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:56:08,332] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 17, 'p_std': 46, 'p_atr': 17, 'p_adx': 10, 'rsi_period': 17, 'ema1': 25, 'ema2': 59, 'slip_atr_k': 0.03343227701664506, 'slip_spread_k': 0.5503599386766836, 'spread_hl_frac': 0.0288583690560363, 'bb_std_mult': 2.6033269454824834, 'rsi_os': 28, 'rsi_ob': 83, 'vol_spike': 0.21749533676272637, 'adx_thresh': 31.933233485986705, 'atr_min_pct': 0.01901903255247507, 'atr_max_pct': 0.017001100363690288, 'tp_mult': 2.722292576554585, 'tsl_mult': 0.02527007930023628, 'strategy': 'mean_reversion', 'time_stop': 149, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.6519346251253499, 'edge_cap': 0.8506631988231673, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 0.9339588994619993, 'bull_rsi_os': 15, 'bull_rsi_ob': 64, 'bull_adx_thresh': 22.216774654692777, 'bull_atr_min_pct': 0.008277205072264643, 'bull_atr_max_pct': 0.013140800160363012, 'bull_tp_mult': 2.7450557883046005, 'bull_tsl_mult': 0.9208124386001463, 'bull_time_stop': 117, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.8138047890626527, 'bear_rsi_os': 15, 'bear_rsi_ob': 52, 'bear_adx_thresh': 30.453278608150406, 'bear_atr_min_pct': 0.0044618888103794205, 'bear_atr_max_pct': 0.04851088612426223, 'bear_tp_mult': 2.5501647928585007, 'bear_tsl_mult': 0.49773250134547364, 'bear_time_stop': 93, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.179668706144724, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 95, 'sideways_adx_thresh': 11.706986037912408, 'sideways_atr_min_pct': 0.005422409822549422, 'sideways_atr_max_pct': 0.04418890064801795, 'sideways_tp_mult': 2.8751853892023416, 'sideways_tsl_mult': 0.3551500642626917, 'sideways_time_stop': 134, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:56:09,002] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 51, 'p_std': 44, 'p_atr': 8, 'p_adx': 11, 'rsi_period': 64, 'ema1': 11, 'ema2': 54, 'slip_atr_k': 0.14270723180497474, 'slip_spread_k': 0.13670560250265928, 'spread_hl_frac': 0.027867923054573543, 'bb_std_mult': 2.791994782686319, 'rsi_os': 27, 'rsi_ob': 72, 'vol_spike': 0.24754930278666984, 'adx_thresh': 13.707957005301612, 'atr_min_pct': 0.013973943244546465, 'atr_max_pct': 0.12972205468185155, 'tp_mult': 1.0594172929181818, 'tsl_mult': 0.3801914778841219, 'strategy': 'breakout', 'time_stop': 189, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.9817077369420515, 'edge_cap': 0.40679810601870453, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.988546930265539, 'bull_rsi_os': 24, 'bull_rsi_ob': 93, 'bull_adx_thresh': 30.63717212923392, 'bull_atr_min_pct': 0.01667202589202388, 'bull_atr_max_pct': 0.14730482417239144, 'bull_tp_mult': 2.6820373966223103, 'bull_tsl_mult': 0.8809929870590806, 'bull_time_stop': 297, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.0229185903836373, 'bear_rsi_os': 17, 'bear_rsi_ob': 81, 'bear_adx_thresh': 8.83638471396225, 'bear_atr_min_pct': 0.02715978319281987, 'bear_atr_max_pct': 0.03489695077557306, 'bear_tp_mult': 2.6509775196452625, 'bear_tsl_mult': 0.6786713691478022, 'bear_time_stop': 292, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.6536930785228878, 'sideways_rsi_os': 38, 'sideways_rsi_ob': 48, 'sideways_adx_thresh': 21.827337703734997, 'sideways_atr_min_pct': 0.01745952582526426, 'sideways_atr_max_pct': 0.1448287451931501, 'sideways_tp_mult': 1.251013939556195, 'sideways_tsl_mult': 0.681186777990514, 'sideways_time_stop': 86, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:56:09,782] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 18, 'p_atr': 24, 'p_adx': 30, 'rsi_period': 11, 'ema1': 29, 'ema2': 46, 'slip_atr_k': 0.02200012114265698, 'slip_spread_k': 0.12044393849303814, 'spread_hl_frac': 0.04719715762743303, 'bb_std_mult': 1.589642606715698, 'rsi_os': 19, 'rsi_ob': 53, 'vol_spike': 0.2889860937444402, 'adx_thresh': 8.303902090863188, 'atr_min_pct': 0.024690678304260395, 'atr_max_pct': 0.04364845796911323, 'tp_mult': 2.367476858296959, 'tsl_mult': 0.31937112055741124, 'strategy': 'breakout', 'time_stop': 213, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9546646681839033, 'edge_cap': 0.8947273740958995, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.3830613957308335, 'bull_rsi_os': 6, 'bull_rsi_ob': 54, 'bull_adx_thresh': 27.076006493199525, 'bull_atr_min_pct': 0.017426296379295964, 'bull_atr_max_pct': 0.10292713826694423, 'bull_tp_mult': 2.4586836155225957, 'bull_tsl_mult': 0.5649086678877251, 'bull_time_stop': 145, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.3159387222448486, 'bear_rsi_os': 44, 'bear_rsi_ob': 72, 'bear_adx_thresh': 29.81598861516156, 'bear_atr_min_pct': 0.01352671026865167, 'bear_atr_max_pct': 0.07157048127253038, 'bear_tp_mult': 1.5832397492761445, 'bear_tsl_mult': 0.9625025561806689, 'bear_time_stop': 140, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.500265582732048, 'sideways_rsi_os': 30, 'sideways_rsi_ob': 53, 'sideways_adx_thresh': 27.03795256864563, 'sideways_atr_min_pct': 0.022974271705517777, 'sideways_atr_max_pct': 0.0402419224646199, 'sideways_tp_mult': 2.823227630412377, 'sideways_tsl_mult': 0.36724823156726394, 'sideways_time_stop': 265, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:56:45,299] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 21, 'p_std': 55, 'p_atr': 9, 'p_adx': 26, 'rsi_period': 21, 'ema1': 10, 'ema2': 10, 'slip_atr_k': 0.148059143649807, 'slip_spread_k': 0.48671543687760177, 'spread_hl_frac': 0.046360199701100176, 'bb_std_mult': 3.2558374643861856, 'rsi_os': 13, 'rsi_ob': 83, 'vol_spike': 0.18180209473886558, 'adx_thresh': 22.699254047981615, 'atr_min_pct': 0.008161342890100051, 'atr_max_pct': 0.09499518878003559, 'tp_mult': 1.3827002285105572, 'tsl_mult': 0.7141221831459518, 'strategy': 'breakout', 'time_stop': 124, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.5132621766161494, 'edge_cap': 0.5517141055322995, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.5807687620126878, 'bull_rsi_os': 37, 'bull_rsi_ob': 89, 'bull_adx_thresh': 30.350010726130535, 'bull_atr_min_pct': 0.011785574856354706, 'bull_atr_max_pct': 0.03927066468625259, 'bull_tp_mult': 1.220839892442694, 'bull_tsl_mult': 0.02049365546102644, 'bull_time_stop': 24, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.540289561532238, 'bear_rsi_os': 12, 'bear_rsi_ob': 64, 'bear_adx_thresh': 19.868759783874975, 'bear_atr_min_pct': 0.026941381074304348, 'bear_atr_max_pct': 0.13309688303829212, 'bear_tp_mult': 1.0340278295953926, 'bear_tsl_mult': 0.5837183439840915, 'bear_time_stop': 52, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.7884708233557776, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 9.229129985354112, 'sideways_atr_min_pct': 0.026732313062365152, 'sideways_atr_max_pct': 0.10310873659490008, 'sideways_tp_mult': 2.849923120110707, 'sideways_tsl_mult': 0.7491117610639841, 'sideways_time_stop': 65, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:56:45,627] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 23, 'p_std': 39, 'p_atr': 19, 'p_adx': 8, 'rsi_period': 18, 'ema1': 12, 'ema2': 12, 'slip_atr_k': 0.20948390036312683, 'slip_spread_k': 0.692425136637633, 'spread_hl_frac': 0.0017755506430325641, 'bb_std_mult': 3.4104850900827524, 'rsi_os': 21, 'rsi_ob': 56, 'vol_spike': 0.17475565581112867, 'adx_thresh': 27.8274055214002, 'atr_min_pct': 0.00757595575235828, 'atr_max_pct': 0.062027374917764715, 'tp_mult': 1.1388102059632936, 'tsl_mult': 0.6218747024951222, 'strategy': 'breakout', 'time_stop': 189, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.900238262400829, 'edge_cap': 0.409289828908699, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.1960115098976993, 'bull_rsi_os': 48, 'bull_rsi_ob': 62, 'bull_adx_thresh': 17.06421905986579, 'bull_atr_min_pct': 0.012577462524977092, 'bull_atr_max_pct': 0.1241995643022102, 'bull_tp_mult': 2.2389594327293616, 'bull_tsl_mult': 0.8847797324832215, 'bull_time_stop': 267, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.528099413765385, 'bear_rsi_os': 41, 'bear_rsi_ob': 53, 'bear_adx_thresh': 21.51233437092995, 'bear_atr_min_pct': 0.022508160898634912, 'bear_atr_max_pct': 0.10199410383863132, 'bear_tp_mult': 2.882027991288397, 'bear_tsl_mult': 0.8557521136622528, 'bear_time_stop': 109, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.4719191314115303, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 64, 'sideways_adx_thresh': 9.648002529841914, 'sideways_atr_min_pct': 0.0052388872748646296, 'sideways_atr_max_pct': 0.0931447661187933, 'sideways_tp_mult': 1.1687844314938287, 'sideways_tsl_mult': 0.46213201523143, 'sideways_time_stop': 222, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:56:45,638] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 26, 'p_atr': 13, 'p_adx': 20, 'rsi_period': 11, 'ema1': 16, 'ema2': 23, 'slip_atr_k': 0.1543538425437551, 'slip_spread_k': 0.9916155023282389, 'spread_hl_frac': 0.0022270983938483036, 'bb_std_mult': 1.3975052601445643, 'rsi_os': 18, 'rsi_ob': 91, 'vol_spike': 0.22134297704921366, 'adx_thresh': 26.26410131562102, 'atr_min_pct': 0.01679065933981164, 'atr_max_pct': 0.0111169382023629, 'tp_mult': 1.1766516419376072, 'tsl_mult': 0.4479772945693483, 'strategy': 'mean_reversion', 'time_stop': 134, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.22121190940235835, 'edge_cap': 0.27865393522588977, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.2027800829028514, 'bull_rsi_os': 14, 'bull_rsi_ob': 71, 'bull_adx_thresh': 18.623303816672532, 'bull_atr_min_pct': 0.028204444624129958, 'bull_atr_max_pct': 0.12313251023101927, 'bull_tp_mult': 2.832200707745135, 'bull_tsl_mult': 0.44256699595879256, 'bull_time_stop': 205, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.1532793875746812, 'bear_rsi_os': 49, 'bear_rsi_ob': 75, 'bear_adx_thresh': 9.35269132110018, 'bear_atr_min_pct': 0.02611868606765455, 'bear_atr_max_pct': 0.01115357192032459, 'bear_tp_mult': 2.233384049120875, 'bear_tsl_mult': 0.47060640826100286, 'bear_time_stop': 134, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.3639390395627724, 'sideways_rsi_os': 29, 'sideways_rsi_ob': 79, 'sideways_adx_thresh': 18.819341938869496, 'sideways_atr_min_pct': 0.021501389797424712, 'sideways_atr_max_pct': 0.08279742818792817, 'sideways_tp_mult': 1.167772203429639, 'sideways_tsl_mult': 0.6203075075421535, 'sideways_time_stop': 162, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:56:46,514] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 59, 'p_atr': 21, 'p_adx': 8, 'rsi_period': 47, 'ema1': 12, 'ema2': 33, 'slip_atr_k': 0.01733645598719541, 'slip_spread_k': 0.710257535214209, 'spread_hl_frac': 0.03080158376281718, 'bb_std_mult': 3.2529293443638925, 'rsi_os': 13, 'rsi_ob': 64, 'vol_spike': 0.2213639826219527, 'adx_thresh': 26.518880736704304, 'atr_min_pct': 0.013560881130608654, 'atr_max_pct': 0.06908619840024469, 'tp_mult': 1.2167198429552852, 'tsl_mult': 0.9059300025154182, 'strategy': 'breakout', 'time_stop': 139, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.6817078218939996, 'edge_cap': 0.18505688325832828, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.2389881757509658, 'bull_rsi_os': 13, 'bull_rsi_ob': 81, 'bull_adx_thresh': 16.29603084172497, 'bull_atr_min_pct': 0.005746141883736633, 'bull_atr_max_pct': 0.11211325965221113, 'bull_tp_mult': 2.7889675640368776, 'bull_tsl_mult': 0.988274321635764, 'bull_time_stop': 237, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.02179863281063, 'bear_rsi_os': 9, 'bear_rsi_ob': 93, 'bear_adx_thresh': 7.540142746207991, 'bear_atr_min_pct': 0.014327302028764331, 'bear_atr_max_pct': 0.1461615918425047, 'bear_tp_mult': 1.4460156152080343, 'bear_tsl_mult': 0.3147898365760541, 'bear_time_stop': 210, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.153353088864517, 'sideways_rsi_os': 24, 'sideways_rsi_ob': 93, 'sideways_adx_thresh': 27.531110616600984, 'sideways_atr_min_pct': 0.008966292217303056, 'sideways_atr_max_pct': 0.07129042942574638, 'sideways_tp_mult': 1.7874288157165608, 'sideways_tsl_mult': 0.6919277631007738, 'sideways_time_stop': 26, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
