2025-09-01 08:58:54,611 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 08:58:54,630] A new study created in memory with name: no-name-729ca446-405f-4a56-93b2-3ecb7459765b
[I 2025-09-01 08:58:54,640] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 18, 'p_atr': 29, 'p_adx': 25, 'rsi_period': 19, 'ema1': 19, 'ema2': 29, 'slip_atr_k': 0.16193556081729027, 'slip_spread_k': 0.5878714906141503, 'spread_hl_frac': 0.010872800932639988, 'bb_std_mult': 1.4471574927418727, 'rsi_os': 17, 'rsi_ob': 48, 'vol_spike': 0.08386418887883525, 'adx_thresh': 11.693117389084994, 'atr_min_pct': 0.015984444138786608, 'atr_max_pct': 0.015644523541168714, 'tp_mult': 2.8908245249012325, 'tsl_mult': 0.6703278398601145, 'strategy': 'breakout', 'time_stop': 99, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.8163310026520567, 'edge_cap': 0.8809721399489555, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.559972858205925, 'bull_rsi_os': 26, 'bull_rsi_ob': 73, 'bull_adx_thresh': 28.82294292757753, 'bull_atr_min_pct': 0.026500272767710817, 'bull_atr_max_pct': 0.030760917225573385, 'bull_tp_mult': 2.4074794763628757, 'bull_tsl_mult': 0.7144930319034016, 'bull_time_stop': 230, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.475184697187464, 'bear_rsi_os': 50, 'bear_rsi_ob': 66, 'bear_adx_thresh': 14.124556253264037, 'bear_atr_min_pct': 0.015915805075945817, 'bear_atr_max_pct': 0.06974150903509886, 'bear_tp_mult': 2.900690762290238, 'bear_tsl_mult': 0.46156456946970226, 'bear_time_stop': 74, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.8314522384464584, 'sideways_rsi_os': 51, 'sideways_rsi_ob': 83, 'sideways_adx_thresh': 22.47891996774798, 'sideways_atr_min_pct': 0.01075196871938894, 'sideways_atr_max_pct': 0.12637966332947034, 'sideways_tp_mult': 2.391347276796488, 'sideways_tsl_mult': 0.2798413975382712, 'sideways_time_stop': 200, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 08:58:54,650] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 35, 'p_std': 46, 'p_atr': 24, 'p_adx': 18, 'rsi_period': 8, 'ema1': 5, 'ema2': 60, 'slip_atr_k': 0.1808790856789261, 'slip_spread_k': 0.2789844795123415, 'spread_hl_frac': 0.042569865248470964, 'bb_std_mult': 0.9358459290600267, 'rsi_os': 38, 'rsi_ob': 47, 'vol_spike': 0.23743300279371643, 'adx_thresh': 21.25824330624263, 'atr_min_pct': 0.02090165490811964, 'atr_max_pct': 0.11090862961514801, 'tp_mult': 2.092627777444334, 'tsl_mult': 0.32388986463314795, 'strategy': 'mean_reversion', 'time_stop': 99, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.1281032329715981, 'edge_cap': 0.9480552784736624, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.0601557809393714, 'bull_rsi_os': 11, 'bull_rsi_ob': 86, 'bull_adx_thresh': 28.86003329133077, 'bull_atr_min_pct': 0.019799654202221007, 'bull_atr_max_pct': 0.12863325779273663, 'bull_tp_mult': 1.075948393274252, 'bull_tsl_mult': 0.43437377692210655, 'bull_time_stop': 157, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.616064132902298, 'bear_rsi_os': 36, 'bear_rsi_ob': 71, 'bear_adx_thresh': 34.1167915287758, 'bear_atr_min_pct': 0.004039757316185174, 'bear_atr_max_pct': 0.1370494156729078, 'bear_tp_mult': 2.887729880066965, 'bear_tsl_mult': 0.9791295472886626, 'bear_time_stop': 42, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.7264158373834777, 'sideways_rsi_os': 47, 'sideways_rsi_ob': 85, 'sideways_adx_thresh': 13.303131808748685, 'sideways_atr_min_pct': 0.029718815461441075, 'sideways_atr_max_pct': 0.024702370374254535, 'sideways_tp_mult': 1.3791321356954431, 'sideways_tsl_mult': 0.021493555698448574, 'sideways_time_stop': 233, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 08:59:30,853] Trial 4 finished with values: [-0.11550908424642714, 0.11489277104802448] and parameters: {'p_sma': 28, 'p_std': 46, 'p_atr': 18, 'p_adx': 25, 'rsi_period': 51, 'ema1': 15, 'ema2': 48, 'slip_atr_k': 0.18517584122639386, 'slip_spread_k': 0.25403242987780694, 'spread_hl_frac': 0.020254415766028877, 'bb_std_mult': 0.7738695941217193, 'rsi_os': 26, 'rsi_ob': 69, 'vol_spike': 0.14136497954164315, 'adx_thresh': 34.14934299755983, 'atr_min_pct': 0.02372934630101338, 'atr_max_pct': 0.04941321589145194, 'tp_mult': 2.245162786527883, 'tsl_mult': 0.3436399106637905, 'strategy': 'breakout', 'time_stop': 237, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.7035346567959566, 'edge_cap': 0.7749224581077193, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.5701790478804318, 'bull_rsi_os': 16, 'bull_rsi_ob': 50, 'bull_adx_thresh': 29.47178141819655, 'bull_atr_min_pct': 0.025052292550188787, 'bull_atr_max_pct': 0.07136820915066469, 'bull_tp_mult': 2.0185881103219168, 'bull_tsl_mult': 0.20588110670084148, 'bull_time_stop': 45, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.0304795540433904, 'bear_rsi_os': 39, 'bear_rsi_ob': 65, 'bear_adx_thresh': 9.991918285522415, 'bear_atr_min_pct': 0.003581308231394513, 'bear_atr_max_pct': 0.11455816372983454, 'bear_tp_mult': 2.186968515509791, 'bear_tsl_mult': 0.2672753089198946, 'bear_time_stop': 77, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.6713436008006655, 'sideways_rsi_os': 6, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 8.820829262374724, 'sideways_atr_min_pct': 0.008319245522420533, 'sideways_atr_max_pct': 0.11412262013088363, 'sideways_tp_mult': 2.569358394612917, 'sideways_tsl_mult': 0.42093695802278674, 'sideways_time_stop': 130, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 08:59:31,626] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 36, 'p_std': 46, 'p_atr': 17, 'p_adx': 26, 'rsi_period': 7, 'ema1': 13, 'ema2': 38, 'slip_atr_k': 0.19911718065113873, 'slip_spread_k': 0.3365765068956662, 'spread_hl_frac': 0.036663180611586056, 'bb_std_mult': 1.8154900887097334, 'rsi_os': 13, 'rsi_ob': 95, 'vol_spike': 0.18317358101415507, 'adx_thresh': 28.113534646944064, 'atr_min_pct': 0.011702217179224777, 'atr_max_pct': 0.045850109912740314, 'tp_mult': 2.053503917420888, 'tsl_mult': 0.33672100018234385, 'strategy': 'breakout', 'time_stop': 14, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.4605136664875076, 'edge_cap': 0.30343650111201187, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.8353460600702538, 'bull_rsi_os': 20, 'bull_rsi_ob': 84, 'bull_adx_thresh': 7.533377299311235, 'bull_atr_min_pct': 0.02072753893517741, 'bull_atr_max_pct': 0.042446352234811136, 'bull_tp_mult': 2.9787110169734174, 'bull_tsl_mult': 0.4928290245705361, 'bull_time_stop': 177, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.5905376582168194, 'bear_rsi_os': 45, 'bear_rsi_ob': 60, 'bear_adx_thresh': 13.559441061518045, 'bear_atr_min_pct': 0.021114964652803814, 'bear_atr_max_pct': 0.1010052759624647, 'bear_tp_mult': 1.2823661807494202, 'bear_tsl_mult': 0.09956026176344701, 'bear_time_stop': 73, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.5695590228131593, 'sideways_rsi_os': 19, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 28.20985462705622, 'sideways_atr_min_pct': 0.01004536283643874, 'sideways_atr_max_pct': 0.07610453009229941, 'sideways_tp_mult': 2.460999860154993, 'sideways_tsl_mult': 0.17303054324945066, 'sideways_time_stop': 195, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 08:59:32,812] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 19, 'p_atr': 20, 'p_adx': 13, 'rsi_period': 61, 'ema1': 24, 'ema2': 27, 'slip_atr_k': 0.14674347470587182, 'slip_spread_k': 0.3753846915210629, 'spread_hl_frac': 0.02096908855508907, 'bb_std_mult': 1.9092320750419645, 'rsi_os': 40, 'rsi_ob': 81, 'vol_spike': 0.2590648251030559, 'adx_thresh': 23.875955715237428, 'atr_min_pct': 0.003181221351535467, 'atr_max_pct': 0.12284983160744212, 'tp_mult': 2.229865992771634, 'tsl_mult': 0.7952001279183089, 'strategy': 'breakout', 'time_stop': 17, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.8254815530802533, 'edge_cap': 0.7110950241834455, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.7060548348424565, 'bull_rsi_os': 35, 'bull_rsi_ob': 81, 'bull_adx_thresh': 27.221811397511697, 'bull_atr_min_pct': 0.010945037177079574, 'bull_atr_max_pct': 0.012852060817031767, 'bull_tp_mult': 2.7048042652656066, 'bull_tsl_mult': 0.0734765315269067, 'bull_time_stop': 285, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.4680161695720395, 'bear_rsi_os': 36, 'bear_rsi_ob': 81, 'bear_adx_thresh': 7.94165827530246, 'bear_atr_min_pct': 0.014600598056913905, 'bear_atr_max_pct': 0.09098928732549304, 'bear_tp_mult': 1.369540885270631, 'bear_tsl_mult': 0.252279280861089, 'bear_time_stop': 134, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3248866583114318, 'sideways_rsi_os': 48, 'sideways_rsi_ob': 72, 'sideways_adx_thresh': 7.437752149545221, 'sideways_atr_min_pct': 0.0007775287619979109, 'sideways_atr_max_pct': 0.13608189551259914, 'sideways_tp_mult': 1.9708252051765718, 'sideways_tsl_mult': 0.007196465130743568, 'sideways_time_stop': 142, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 08:59:34,120] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 35, 'p_std': 13, 'p_atr': 14, 'p_adx': 26, 'rsi_period': 80, 'ema1': 26, 'ema2': 25, 'slip_atr_k': 0.166720613833748, 'slip_spread_k': 0.13237602141779803, 'spread_hl_frac': 0.033251935773569885, 'bb_std_mult': 3.2051651325022, 'rsi_os': 32, 'rsi_ob': 93, 'vol_spike': 0.18564420921315208, 'adx_thresh': 16.538330446039595, 'atr_min_pct': 0.019883589047065713, 'atr_max_pct': 0.022462039129842737, 'tp_mult': 2.482108564687687, 'tsl_mult': 0.18595393429430518, 'strategy': 'breakout', 'time_stop': 100, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.3511874921193574, 'edge_cap': 0.9273228502140615, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.901050962724262, 'bull_rsi_os': 52, 'bull_rsi_ob': 46, 'bull_adx_thresh': 32.86475798467979, 'bull_atr_min_pct': 0.02956880549815719, 'bull_atr_max_pct': 0.0931804896664021, 'bull_tp_mult': 2.228295605055953, 'bull_tsl_mult': 0.7356910839838356, 'bull_time_stop': 218, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.471513471077564, 'bear_rsi_os': 54, 'bear_rsi_ob': 76, 'bear_adx_thresh': 20.16814917850299, 'bear_atr_min_pct': 0.02061916855665815, 'bear_atr_max_pct': 0.1397297301101523, 'bear_tp_mult': 2.1516640976022563, 'bear_tsl_mult': 0.9976573198719443, 'bear_time_stop': 264, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.7052964497049761, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 21.903935562200175, 'sideways_atr_min_pct': 0.001644301947000818, 'sideways_atr_max_pct': 0.08302933795008995, 'sideways_tp_mult': 1.292472895365886, 'sideways_tsl_mult': 0.9052153588905161, 'sideways_time_stop': 138, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 09:00:09,470] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 52, 'p_std': 5, 'p_atr': 18, 'p_adx': 21, 'rsi_period': 60, 'ema1': 17, 'ema2': 17, 'slip_atr_k': 0.08030597607955944, 'slip_spread_k': 0.223366492352164, 'spread_hl_frac': 0.01684237231530189, 'bb_std_mult': 2.2505943120720406, 'rsi_os': 25, 'rsi_ob': 69, 'vol_spike': 0.2178299992502508, 'adx_thresh': 20.239320048973102, 'atr_min_pct': 0.0033934378539661634, 'atr_max_pct': 0.08440116462206147, 'tp_mult': 2.0755748727299244, 'tsl_mult': 0.6234829976045755, 'strategy': 'mean_reversion', 'time_stop': 197, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.4473947879261038, 'edge_cap': 0.3263274047228328, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.433742238066584, 'bull_rsi_os': 54, 'bull_rsi_ob': 92, 'bull_adx_thresh': 28.243792525917726, 'bull_atr_min_pct': 0.023863055469790426, 'bull_atr_max_pct': 0.021243801621463127, 'bull_tp_mult': 2.8001868420107123, 'bull_tsl_mult': 0.82888973927728, 'bull_time_stop': 60, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.094551953848564, 'bear_rsi_os': 29, 'bear_rsi_ob': 57, 'bear_adx_thresh': 16.078122521931487, 'bear_atr_min_pct': 0.0015311734401841058, 'bear_atr_max_pct': 0.053405450893923505, 'bear_tp_mult': 2.943860593240598, 'bear_tsl_mult': 0.6297016381740265, 'bear_time_stop': 136, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.7705817503762242, 'sideways_rsi_os': 15, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 21.36340257367068, 'sideways_atr_min_pct': 0.020781475962842622, 'sideways_atr_max_pct': 0.10184362878840848, 'sideways_tp_mult': 2.5647509411934064, 'sideways_tsl_mult': 0.5686385618711075, 'sideways_time_stop': 29, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 09:00:11,285] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 7, 'p_atr': 25, 'p_adx': 29, 'rsi_period': 47, 'ema1': 27, 'ema2': 12, 'slip_atr_k': 0.07830579005924448, 'slip_spread_k': 0.4745501529084343, 'spread_hl_frac': 0.04445079101178176, 'bb_std_mult': 0.8186657419648661, 'rsi_os': 28, 'rsi_ob': 63, 'vol_spike': 0.16223328156038164, 'adx_thresh': 29.634630046862164, 'atr_min_pct': 0.01357558699473864, 'atr_max_pct': 0.13419612206032727, 'tp_mult': 1.6710569622609326, 'tsl_mult': 0.28844527409697207, 'strategy': 'breakout', 'time_stop': 86, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.04826242210431686, 'edge_cap': 0.9777764930413811, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.457435533690962, 'bull_rsi_os': 43, 'bull_rsi_ob': 83, 'bull_adx_thresh': 15.211782417144898, 'bull_atr_min_pct': 0.010208937671550336, 'bull_atr_max_pct': 0.07938857760746414, 'bull_tp_mult': 1.9235257433567179, 'bull_tsl_mult': 0.666655372213074, 'bull_time_stop': 199, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.3376465720951334, 'bear_rsi_os': 30, 'bear_rsi_ob': 64, 'bear_adx_thresh': 30.08619276861716, 'bear_atr_min_pct': 0.013216397827487668, 'bear_atr_max_pct': 0.09993958978224556, 'bear_tp_mult': 2.4861825207611177, 'bear_tsl_mult': 0.9191068568131066, 'bear_time_stop': 40, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.7711084866261673, 'sideways_rsi_os': 46, 'sideways_rsi_ob': 45, 'sideways_adx_thresh': 25.023055065293107, 'sideways_atr_min_pct': 0.01875935387045508, 'sideways_atr_max_pct': 0.07490274377629029, 'sideways_tp_mult': 2.902625815509245, 'sideways_tsl_mult': 0.687670791435576, 'sideways_time_stop': 95, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 09:00:11,682] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 24, 'p_atr': 20, 'p_adx': 29, 'rsi_period': 59, 'ema1': 22, 'ema2': 38, 'slip_atr_k': 0.09838454436783661, 'slip_spread_k': 0.4559650061815188, 'spread_hl_frac': 0.003107234648228524, 'bb_std_mult': 3.262881414341372, 'rsi_os': 51, 'rsi_ob': 70, 'vol_spike': 0.20247492533445463, 'adx_thresh': 25.733309365876785, 'atr_min_pct': 0.013737849716263613, 'atr_max_pct': 0.08247953417829486, 'tp_mult': 1.588571374211377, 'tsl_mult': 0.33296048948106705, 'strategy': 'breakout', 'time_stop': 111, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.615986510883277, 'edge_cap': 0.3400196689288431, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.773653176169736, 'bull_rsi_os': 10, 'bull_rsi_ob': 73, 'bull_adx_thresh': 34.89879496368893, 'bull_atr_min_pct': 0.008342116883934575, 'bull_atr_max_pct': 0.04825696499199177, 'bull_tp_mult': 1.1920529348856952, 'bull_tsl_mult': 0.9498366919264427, 'bull_time_stop': 299, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.2010222485812925, 'bear_rsi_os': 12, 'bear_rsi_ob': 76, 'bear_adx_thresh': 21.66130475033446, 'bear_atr_min_pct': 0.024591934261683577, 'bear_atr_max_pct': 0.04192707747351439, 'bear_tp_mult': 2.266678724749352, 'bear_tsl_mult': 0.5956510418335432, 'bear_time_stop': 257, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.6515482082067957, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 57, 'sideways_adx_thresh': 17.681591910711685, 'sideways_atr_min_pct': 0.016854085898918406, 'sideways_atr_max_pct': 0.04451346546905226, 'sideways_tp_mult': 2.132106073353973, 'sideways_tsl_mult': 0.5062768377212701, 'sideways_time_stop': 22, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 09:00:12,311] Trial 9 finished with values: [-0.07797319861539453, 0.07758257676104229] and parameters: {'p_sma': 53, 'p_std': 28, 'p_atr': 18, 'p_adx': 21, 'rsi_period': 68, 'ema1': 28, 'ema2': 36, 'slip_atr_k': 0.12840281539995752, 'slip_spread_k': 0.43395585076652265, 'spread_hl_frac': 0.002257524744137912, 'bb_std_mult': 0.6475201170572874, 'rsi_os': 27, 'rsi_ob': 72, 'vol_spike': 0.06380118616126045, 'adx_thresh': 20.347860984899498, 'atr_min_pct': 0.0077714868148862255, 'atr_max_pct': 0.017437578089889563, 'tp_mult': 2.434207118051079, 'tsl_mult': 0.6525751445996929, 'strategy': 'breakout', 'time_stop': 128, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.31081492733955307, 'edge_cap': 0.7827360726075772, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.1939338788445863, 'bull_rsi_os': 50, 'bull_rsi_ob': 75, 'bull_adx_thresh': 33.22611917565711, 'bull_atr_min_pct': 0.018870685748236846, 'bull_atr_max_pct': 0.04022223552869741, 'bull_tp_mult': 1.509226513728319, 'bull_tsl_mult': 0.6516177202034863, 'bull_time_stop': 115, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.745185786055659, 'bear_rsi_os': 43, 'bear_rsi_ob': 52, 'bear_adx_thresh': 28.528849570763036, 'bear_atr_min_pct': 0.022161149729591427, 'bear_atr_max_pct': 0.033676966617381565, 'bear_tp_mult': 1.6854614937934846, 'bear_tsl_mult': 0.28642530135199307, 'bear_time_stop': 299, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.0589039672165956, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 52, 'sideways_adx_thresh': 6.097061401436657, 'sideways_atr_min_pct': 0.0032328035325910787, 'sideways_atr_max_pct': 0.13499133756329168, 'sideways_tp_mult': 2.1661852591077415, 'sideways_tsl_mult': 0.3081099254812839, 'sideways_time_stop': 152, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 09:00:53,700] Trial 10 finished with values: [-0.2344585819350754, 0.2340865570123102] and parameters: {'p_sma': 22, 'p_std': 53, 'p_atr': 25, 'p_adx': 21, 'rsi_period': 11, 'ema1': 18, 'ema2': 33, 'slip_atr_k': 0.20547705353179901, 'slip_spread_k': 0.7334505709613486, 'spread_hl_frac': 0.0063233287813141085, 'bb_std_mult': 1.5592057997144428, 'rsi_os': 36, 'rsi_ob': 73, 'vol_spike': 0.1805450215966983, 'adx_thresh': 24.910109678350025, 'atr_min_pct': 0.02103493366911682, 'atr_max_pct': 0.059098569994773885, 'tp_mult': 1.8300888744720418, 'tsl_mult': 0.380262640609381, 'strategy': 'breakout', 'time_stop': 120, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.31262082177988293, 'edge_cap': 0.5190484215278669, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.69968757949514, 'bull_rsi_os': 13, 'bull_rsi_ob': 48, 'bull_adx_thresh': 21.306700569020467, 'bull_atr_min_pct': 0.003965584492817312, 'bull_atr_max_pct': 0.0809130244576391, 'bull_tp_mult': 1.102076730616612, 'bull_tsl_mult': 0.14224461770988095, 'bull_time_stop': 291, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.1505784497645024, 'bear_rsi_os': 54, 'bear_rsi_ob': 70, 'bear_adx_thresh': 26.649155002899295, 'bear_atr_min_pct': 0.0012774324002316993, 'bear_atr_max_pct': 0.012582676133021829, 'bear_tp_mult': 1.663822789582706, 'bear_tsl_mult': 0.4559022038364464, 'bear_time_stop': 26, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.835799545552295, 'sideways_rsi_os': 49, 'sideways_rsi_ob': 84, 'sideways_adx_thresh': 27.79169190138609, 'sideways_atr_min_pct': 0.00775368774153583, 'sideways_atr_max_pct': 0.0330484252216597, 'sideways_tp_mult': 1.4057893400250177, 'sideways_tsl_mult': 0.0614393605771103, 'sideways_time_stop': 222, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
