number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 15.621149837745284, ""atr_max_pct"": 0.1280451713612822, ""atr_min_pct"": 0.022492321134655813, ""bb_std_mult"": 1.1830466394376573, ""bear_adx_thresh"": 11.059817663966317, ""bear_atr_max_pct"": 0.026576180278922362, ""bear_atr_min_pct"": 0.0022595467577807746, ""bear_bb_std_mult"": 1.8547405844808114, ""bear_rsi_ob"": 94, ""bear_rsi_os"": 49, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 277, ""bear_tp_mult"": 2.3619425827201463, ""bear_tsl_mult"": 0.6740011914855518, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.20497953570324, ""bull_atr_max_pct"": 0.04861684546420678, ""bull_atr_min_pct"": 0.029929733299892968, ""bull_bb_std_mult"": 1.7612417923048789, ""bull_rsi_ob"": 65, ""bull_rsi_os"": 8, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 207, ""bull_tp_mult"": 2.8499829052373244, ""bull_tsl_mult"": 0.49570286164671484, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.539540102644611, ""edge_k"": 1.074088515784394, ""ema1"": 9, ""ema2"": 45, ""p_adx"": 20, ""p_atr"": 16, ""p_sma"": 48, ""p_std"": 6, ""rsi_ob"": 53, ""rsi_os"": 52, ""rsi_period"": 54, ""rsi_required"": false, ""sideways_adx_thresh"": 23.390136712078583, ""sideways_atr_max_pct"": 0.09255431494116345, ""sideways_atr_min_pct"": 0.009690596220608633, ""sideways_bb_std_mult"": 2.349035544284261, ""sideways_rsi_ob"": 68, ""sideways_rsi_os"": 47, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 235, ""sideways_tp_mult"": 1.4148820456779716, ""sideways_tsl_mult"": 0.9626709909400928, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.12355462383577637, ""slip_spread_k"": 0.4110514638209044, ""spread_hl_frac"": 0.024706007341785238, ""strategy"": ""mean_reversion"", ""time_stop"": 298, ""tp_mult"": 2.713543476490005, ""tsl_mult"": 0.41354024074073437, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.007305912924432445}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 24.943289663637003, ""atr_max_pct"": 0.02505532540208678, ""atr_min_pct"": 0.008065965501439107, ""bb_std_mult"": 1.9325278422361232, ""bear_adx_thresh"": 27.593837857914608, ""bear_atr_max_pct"": 0.1351420377931811, ""bear_atr_min_pct"": 0.012378338775566928, ""bear_bb_std_mult"": 0.9379217367950934, ""bear_rsi_ob"": 69, ""bear_rsi_os"": 6, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 207, ""bear_tp_mult"": 1.4495368768722203, ""bear_tsl_mult"": 0.5389161274504143, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 25.153373452616965, ""bull_atr_max_pct"": 0.05892177684870003, ""bull_atr_min_pct"": 0.012834607197647566, ""bull_bb_std_mult"": 2.4239240239150397, ""bull_rsi_ob"": 65, ""bull_rsi_os"": 47, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 255, ""bull_tp_mult"": 1.190338607102028, ""bull_tsl_mult"": 0.11681498441229932, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.7697052341965388, ""edge_k"": 1.814887634496201, ""ema1"": 30, ""ema2"": 55, ""p_adx"": 14, ""p_atr"": 20, ""p_sma"": 11, ""p_std"": 55, ""rsi_ob"": 69, ""rsi_os"": 46, ""rsi_period"": 66, ""rsi_required"": true, ""sideways_adx_thresh"": 23.593133658433416, ""sideways_atr_max_pct"": 0.024035831750839325, ""sideways_atr_min_pct"": 0.012236847365390935, ""sideways_bb_std_mult"": 2.219482534459065, ""sideways_rsi_ob"": 93, ""sideways_rsi_os"": 11, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 40, ""sideways_tp_mult"": 2.194150740888637, ""sideways_tsl_mult"": 0.4598248395465898, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.22555425945661955, ""slip_spread_k"": 0.5275801405294327, ""spread_hl_frac"": 0.017468650781948654, ""strategy"": ""breakout"", ""time_stop"": 29, ""tp_mult"": 1.4941603753008115, ""tsl_mult"": 0.5223027219432588, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.044164685489664686}"
2,-0.22698190754723968,-0.22674393725689396,-0.22698190754723968,0.22674393725689396,-0.22698190754723968,-0.22674393725689396,1272.0,mean_reversion,1,"{""adx_thresh"": 8.247379818185435, ""atr_max_pct"": 0.034875286784135845, ""atr_min_pct"": 0.009587669922215332, ""bb_std_mult"": 2.0911701957175586, ""bear_adx_thresh"": 10.12053137723407, ""bear_atr_max_pct"": 0.11850675654736806, ""bear_atr_min_pct"": 0.02773007327166939, ""bear_bb_std_mult"": 3.342906438245969, ""bear_rsi_ob"": 59, ""bear_rsi_os"": 29, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 40, ""bear_tp_mult"": 2.8310588302505395, ""bear_tsl_mult"": 0.6458920162693768, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 18.19862117604627, ""bull_atr_max_pct"": 0.14263541601665114, ""bull_atr_min_pct"": 0.011831530769583626, ""bull_bb_std_mult"": 1.2970979659936162, ""bull_rsi_ob"": 71, ""bull_rsi_os"": 38, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 74, ""bull_tp_mult"": 1.0896894096494947, ""bull_tsl_mult"": 0.550327526717193, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.15657999795190974, ""edge_k"": 0.053636513628568805, ""ema1"": 13, ""ema2"": 58, ""p_adx"": 7, ""p_atr"": 15, ""p_sma"": 15, ""p_std"": 39, ""rsi_ob"": 90, ""rsi_os"": 26, ""rsi_period"": 48, ""rsi_required"": true, ""sideways_adx_thresh"": 15.284093333887322, ""sideways_atr_max_pct"": 0.04734522159785497, ""sideways_atr_min_pct"": 0.0017962619509144016, ""sideways_bb_std_mult"": 2.233269330301608, ""sideways_rsi_ob"": 83, ""sideways_rsi_os"": 47, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 85, ""sideways_tp_mult"": 1.9192720696995955, ""sideways_tsl_mult"": 0.5046796935223646, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20921720072926356, ""slip_spread_k"": 0.07114747199424698, ""spread_hl_frac"": 0.01207696949655701, ""strategy"": ""mean_reversion"", ""time_stop"": 108, ""tp_mult"": 1.8369680530659342, ""tsl_mult"": 0.533300505615465, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20147481533039904}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 32.307653116766325, ""atr_max_pct"": 0.08433274834851086, ""atr_min_pct"": 0.015232588145103493, ""bb_std_mult"": 2.5875758016323913, ""bear_adx_thresh"": 12.511969294146432, ""bear_atr_max_pct"": 0.08587804524213162, ""bear_atr_min_pct"": 0.023256947916265983, ""bear_bb_std_mult"": 1.8776604794695049, ""bear_rsi_ob"": 56, ""bear_rsi_os"": 7, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 139, ""bear_tp_mult"": 2.1898899140006467, ""bear_tsl_mult"": 0.16792592895313507, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 13.727418333808139, ""bull_atr_max_pct"": 0.10240199908378961, ""bull_atr_min_pct"": 0.024058946919150264, ""bull_bb_std_mult"": 1.2165848706421676, ""bull_rsi_ob"": 92, ""bull_rsi_os"": 35, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 284, ""bull_tp_mult"": 1.8594954209414483, ""bull_tsl_mult"": 0.8870818105620762, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.9959126591781461, ""edge_k"": 1.58700347222299, ""ema1"": 8, ""ema2"": 39, ""p_adx"": 29, ""p_atr"": 14, ""p_sma"": 60, ""p_std"": 32, ""rsi_ob"": 62, ""rsi_os"": 40, ""rsi_period"": 59, ""rsi_required"": true, ""sideways_adx_thresh"": 19.11799515668674, ""sideways_atr_max_pct"": 0.10487750779320226, ""sideways_atr_min_pct"": 0.013272412248713599, ""sideways_bb_std_mult"": 1.0676130410515219, ""sideways_rsi_ob"": 72, ""sideways_rsi_os"": 34, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 136, ""sideways_tp_mult"": 2.1003389793235745, ""sideways_tsl_mult"": 0.5040217066476619, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.17065566066103424, ""slip_spread_k"": 0.7046998488302377, ""spread_hl_frac"": 0.03509142841530904, ""strategy"": ""mean_reversion"", ""time_stop"": 258, ""tp_mult"": 2.2453410053886813, ""tsl_mult"": 0.392363105122444, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15050647789687055}"
4,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 16.46998534536445, ""atr_max_pct"": 0.014926698911553007, ""atr_min_pct"": 0.015015365588074448, ""bb_std_mult"": 1.1552349986566617, ""bear_adx_thresh"": 25.551301665440597, ""bear_atr_max_pct"": 0.03790141338343984, ""bear_atr_min_pct"": 0.015685821789729847, ""bear_bb_std_mult"": 1.9378558671197832, ""bear_rsi_ob"": 83, ""bear_rsi_os"": 41, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 8, ""bear_tp_mult"": 2.373356893036171, ""bear_tsl_mult"": 0.642060064693768, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 12.63680684877157, ""bull_atr_max_pct"": 0.11222550592834919, ""bull_atr_min_pct"": 0.007585390276094642, ""bull_bb_std_mult"": 2.867871014236263, ""bull_rsi_ob"": 54, ""bull_rsi_os"": 38, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 266, ""bull_tp_mult"": 1.0202122496638149, ""bull_tsl_mult"": 0.12258886622523457, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.1454073652229739, ""edge_k"": 1.6382487847720446, ""ema1"": 17, ""ema2"": 51, ""p_adx"": 21, ""p_atr"": 11, ""p_sma"": 53, ""p_std"": 31, ""rsi_ob"": 89, ""rsi_os"": 51, ""rsi_period"": 67, ""rsi_required"": false, ""sideways_adx_thresh"": 20.11315814759138, ""sideways_atr_max_pct"": 0.12806121695217398, ""sideways_atr_min_pct"": 0.010824402599969881, ""sideways_bb_std_mult"": 1.155777887250486, ""sideways_rsi_ob"": 90, ""sideways_rsi_os"": 17, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 44, ""sideways_tp_mult"": 2.9819294514193184, ""sideways_tsl_mult"": 0.7490000647014533, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.05102799102923644, ""slip_spread_k"": 0.9803787793509776, ""spread_hl_frac"": 0.040112470306085383, ""strategy"": ""breakout"", ""time_stop"": 276, ""tp_mult"": 1.923336839462523, ""tsl_mult"": 0.34775510648560226, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1745657249876213}"
5,-0.2457607559857926,-0.24561726038479445,-0.2457607559857926,0.24561726038479445,-0.2457607559857926,-0.24561726038479445,1146.0,mean_reversion,1,"{""adx_thresh"": 15.03126000710931, ""atr_max_pct"": 0.12711542839959347, ""atr_min_pct"": 0.005930466780959188, ""bb_std_mult"": 2.8167698375911647, ""bear_adx_thresh"": 14.380586820656987, ""bear_atr_max_pct"": 0.014359333910701863, ""bear_atr_min_pct"": 0.006851849706608112, ""bear_bb_std_mult"": 2.071099882274049, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 15, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 288, ""bear_tp_mult"": 1.9249026712982655, ""bear_tsl_mult"": 0.698314297547529, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 8.10034542665852, ""bull_atr_max_pct"": 0.10122906354335742, ""bull_atr_min_pct"": 0.0069261401908958485, ""bull_bb_std_mult"": 1.7703707144707854, ""bull_rsi_ob"": 77, ""bull_rsi_os"": 37, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 292, ""bull_tp_mult"": 2.480293248724656, ""bull_tsl_mult"": 0.871585251218864, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6883933158379483, ""edge_k"": 1.2744420514183363, ""ema1"": 14, ""ema2"": 55, ""p_adx"": 23, ""p_atr"": 23, ""p_sma"": 30, ""p_std"": 18, ""rsi_ob"": 63, ""rsi_os"": 21, ""rsi_period"": 7, ""rsi_required"": false, ""sideways_adx_thresh"": 32.089299772426656, ""sideways_atr_max_pct"": 0.1321432576802451, ""sideways_atr_min_pct"": 0.0017546513973695044, ""sideways_bb_std_mult"": 1.929411353003609, ""sideways_rsi_ob"": 52, ""sideways_rsi_os"": 13, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 274, ""sideways_tp_mult"": 1.1932284168502498, ""sideways_tsl_mult"": 0.5437382445678139, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.15580778280207475, ""slip_spread_k"": 0.9278514134843633, ""spread_hl_frac"": 0.0387453371719581, ""strategy"": ""mean_reversion"", ""time_stop"": 291, ""tp_mult"": 2.503643074786411, ""tsl_mult"": 0.6230835088306951, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.012783623039786573}"
6,-0.019631220159370466,-0.01949943771695171,-1000000000.0,1000000000.0,-0.019631220159370466,-0.01949943771695171,56.0,breakout,1,"{""adx_thresh"": 16.90757762499812, ""atr_max_pct"": 0.11211920933772465, ""atr_min_pct"": 0.01642515649832762, ""bb_std_mult"": 0.912261872808666, ""bear_adx_thresh"": 26.89775900562758, ""bear_atr_max_pct"": 0.044424824440671, ""bear_atr_min_pct"": 0.00448907882289897, ""bear_bb_std_mult"": 3.1270360155809622, ""bear_rsi_ob"": 82, ""bear_rsi_os"": 52, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 222, ""bear_tp_mult"": 2.7321914239151566, ""bear_tsl_mult"": 0.5236612575402607, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 16.581520610900853, ""bull_atr_max_pct"": 0.08702328581335822, ""bull_atr_min_pct"": 0.006321480269755848, ""bull_bb_std_mult"": 1.9495265788233176, ""bull_rsi_ob"": 95, ""bull_rsi_os"": 24, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 206, ""bull_tp_mult"": 1.8647957258155943, ""bull_tsl_mult"": 0.9196609961767978, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6169625432087839, ""edge_k"": 0.2762763190282307, ""ema1"": 5, ""ema2"": 35, ""p_adx"": 16, ""p_atr"": 18, ""p_sma"": 40, ""p_std"": 17, ""rsi_ob"": 45, ""rsi_os"": 30, ""rsi_period"": 24, ""rsi_required"": true, ""sideways_adx_thresh"": 34.848081709000915, ""sideways_atr_max_pct"": 0.03714737199148613, ""sideways_atr_min_pct"": 0.019615193256719773, ""sideways_bb_std_mult"": 0.9107379278090131, ""sideways_rsi_ob"": 75, ""sideways_rsi_os"": 25, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 180, ""sideways_tp_mult"": 1.044208432233311, ""sideways_tsl_mult"": 0.2143542410802497, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.20734353775247633, ""slip_spread_k"": 0.7889537375724752, ""spread_hl_frac"": 0.02008403903703894, ""strategy"": ""breakout"", ""time_stop"": 253, ""tp_mult"": 1.3722063468620749, ""tsl_mult"": 0.4563286506816864, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.21465676528822328}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.849936754275994, ""atr_max_pct"": 0.11861747932446282, ""atr_min_pct"": 0.002098630727510086, ""bb_std_mult"": 1.2388275226738983, ""bear_adx_thresh"": 18.095325902673615, ""bear_atr_max_pct"": 0.05103459308239704, ""bear_atr_min_pct"": 0.010329924633103388, ""bear_bb_std_mult"": 1.735768526747694, ""bear_rsi_ob"": 54, ""bear_rsi_os"": 20, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 182, ""bear_tp_mult"": 2.0356925745983094, ""bear_tsl_mult"": 0.6653047812662237, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 10.810787198021451, ""bull_atr_max_pct"": 0.02285696385964658, ""bull_atr_min_pct"": 0.028652829288089987, ""bull_bb_std_mult"": 1.880661441115513, ""bull_rsi_ob"": 59, ""bull_rsi_os"": 35, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 134, ""bull_tp_mult"": 2.3441438642560763, ""bull_tsl_mult"": 0.4381105838157008, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.582277126542983, ""edge_k"": 0.10045197819424811, ""ema1"": 5, ""ema2"": 60, ""p_adx"": 11, ""p_atr"": 16, ""p_sma"": 33, ""p_std"": 48, ""rsi_ob"": 89, ""rsi_os"": 52, ""rsi_period"": 14, ""rsi_required"": true, ""sideways_adx_thresh"": 20.2596045883424, ""sideways_atr_max_pct"": 0.0183796529205024, ""sideways_atr_min_pct"": 0.02336676360253725, ""sideways_bb_std_mult"": 1.6957604838330338, ""sideways_rsi_ob"": 90, ""sideways_rsi_os"": 6, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 99, ""sideways_tp_mult"": 2.2750285602890514, ""sideways_tsl_mult"": 0.595964431193885, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.11097260305697915, ""slip_spread_k"": 0.6517970905830172, ""spread_hl_frac"": 0.035502948958544875, ""strategy"": ""mean_reversion"", ""time_stop"": 299, ""tp_mult"": 1.6732522992155878, ""tsl_mult"": 0.24400973496904055, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.012444667983619305}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 23.81767054247197, ""atr_max_pct"": 0.08546230189583637, ""atr_min_pct"": 0.018255420921321333, ""bb_std_mult"": 0.6063006327444165, ""bear_adx_thresh"": 20.37127120920676, ""bear_atr_max_pct"": 0.023757836663064538, ""bear_atr_min_pct"": 0.009270008129734107, ""bear_bb_std_mult"": 3.5217898653273587, ""bear_rsi_ob"": 53, ""bear_rsi_os"": 44, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 113, ""bear_tp_mult"": 1.1945686582714725, ""bear_tsl_mult"": 0.3512936211583645, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 22.097374131460565, ""bull_atr_max_pct"": 0.07192915959392329, ""bull_atr_min_pct"": 0.02398101838982803, ""bull_bb_std_mult"": 2.9982403356585876, ""bull_rsi_ob"": 66, ""bull_rsi_os"": 40, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 143, ""bull_tp_mult"": 2.2616504999462013, ""bull_tsl_mult"": 0.3048606243883897, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.773861362455973, ""edge_k"": 0.2855543501331961, ""ema1"": 22, ""ema2"": 20, ""p_adx"": 17, ""p_atr"": 15, ""p_sma"": 23, ""p_std"": 37, ""rsi_ob"": 53, ""rsi_os"": 33, ""rsi_period"": 71, ""rsi_required"": false, ""sideways_adx_thresh"": 32.734560950325275, ""sideways_atr_max_pct"": 0.01648698564273058, ""sideways_atr_min_pct"": 0.026518107317151648, ""sideways_bb_std_mult"": 0.6318244063545194, ""sideways_rsi_ob"": 75, ""sideways_rsi_os"": 55, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 143, ""sideways_tp_mult"": 2.461550867133319, ""sideways_tsl_mult"": 0.924076977768454, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.21355647491662672, ""slip_spread_k"": 0.5586187367364401, ""spread_hl_frac"": 0.03011298476622521, ""strategy"": ""breakout"", ""time_stop"": 171, ""tp_mult"": 2.6920270654782343, ""tsl_mult"": 0.7668463528820884, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28402350152281636}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 30.666157555745826, ""atr_max_pct"": 0.024549113169160135, ""atr_min_pct"": 0.01754374253311826, ""bb_std_mult"": 2.243473355138741, ""bear_adx_thresh"": 30.586074618000964, ""bear_atr_max_pct"": 0.1265404014855261, ""bear_atr_min_pct"": 0.011869178349091746, ""bear_bb_std_mult"": 1.707874726828055, ""bear_rsi_ob"": 63, ""bear_rsi_os"": 13, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 128, ""bear_tp_mult"": 2.0169208938491883, ""bear_tsl_mult"": 0.7664834096380385, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 13.281542985790214, ""bull_atr_max_pct"": 0.07248640775286776, ""bull_atr_min_pct"": 0.025549919533081604, ""bull_bb_std_mult"": 1.349312895790754, ""bull_rsi_ob"": 45, ""bull_rsi_os"": 6, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 67, ""bull_tp_mult"": 1.89147123638401, ""bull_tsl_mult"": 0.5558916742925976, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.30049233132983827, ""edge_k"": 0.9737477861667398, ""ema1"": 27, ""ema2"": 23, ""p_adx"": 27, ""p_atr"": 29, ""p_sma"": 40, ""p_std"": 60, ""rsi_ob"": 52, ""rsi_os"": 5, ""rsi_period"": 53, ""rsi_required"": true, ""sideways_adx_thresh"": 26.866490970097885, ""sideways_atr_max_pct"": 0.011904930656325221, ""sideways_atr_min_pct"": 0.00528129623958595, ""sideways_bb_std_mult"": 2.662857218663635, ""sideways_rsi_ob"": 50, ""sideways_rsi_os"": 12, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 50, ""sideways_tp_mult"": 1.4150272796227987, ""sideways_tsl_mult"": 0.9040070710062964, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.17369090018753575, ""slip_spread_k"": 0.6181837179237555, ""spread_hl_frac"": 0.032680196340878986, ""strategy"": ""breakout"", ""time_stop"": 36, ""tp_mult"": 1.4281069010831873, ""tsl_mult"": 0.22519615084232114, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1045895688103567}"
