2025-09-01 10:43:37,294 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 10:43:37,315] A new study created in memory with name: no-name-f4a86050-ca07-4089-b1fa-ab18110e5c9e
[I 2025-09-01 10:44:11,401] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 57, 'p_atr': 29, 'p_adx': 10, 'rsi_period': 43, 'ema1': 8, 'ema2': 34, 'slip_atr_k': 0.2462678263653794, 'slip_spread_k': 0.9047475187669631, 'spread_hl_frac': 0.026254662016771558, 'bb_std_mult': 1.1951368422430353, 'rsi_os': 38, 'rsi_ob': 55, 'vol_spike': 0.20357458346406157, 'adx_thresh': 11.422608996005174, 'atr_min_pct': 0.026530126367935065, 'atr_max_pct': 0.05302751141734048, 'tp_mult': 1.2603365498437138, 'tsl_mult': 0.16815052217151805, 'strategy': 'breakout', 'time_stop': 112, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.3038631778530347, 'edge_cap': 0.41948414805438367, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.3229486857651698, 'bull_rsi_os': 32, 'bull_rsi_ob': 57, 'bull_adx_thresh': 19.820788324317743, 'bull_atr_min_pct': 0.007289323903306063, 'bull_atr_max_pct': 0.05839312734783021, 'bull_tp_mult': 1.822764142922002, 'bull_tsl_mult': 0.0817141508991518, 'bull_time_stop': 296, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.381773359937796, 'bear_rsi_os': 9, 'bear_rsi_ob': 59, 'bear_adx_thresh': 13.374660050892267, 'bear_atr_min_pct': 0.008538187892119022, 'bear_atr_max_pct': 0.10483479461188089, 'bear_tp_mult': 2.1381351532479362, 'bear_tsl_mult': 0.6928583292140712, 'bear_time_stop': 23, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.7404368268766157, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 68, 'sideways_adx_thresh': 10.123898119645522, 'sideways_atr_min_pct': 0.02664351804579243, 'sideways_atr_max_pct': 0.12714969172574267, 'sideways_tp_mult': 2.482754087917988, 'sideways_tsl_mult': 0.2072313847528775, 'sideways_time_stop': 289, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:11,557] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 43, 'p_atr': 21, 'p_adx': 29, 'rsi_period': 49, 'ema1': 25, 'ema2': 48, 'slip_atr_k': 0.08886585034796032, 'slip_spread_k': 0.8789458069694144, 'spread_hl_frac': 0.018035479638321562, 'bb_std_mult': 2.9713767932643806, 'rsi_os': 55, 'rsi_ob': 89, 'vol_spike': 0.13447234073329298, 'adx_thresh': 25.38413120809325, 'atr_min_pct': 0.012116532945990646, 'atr_max_pct': 0.0318934890496633, 'tp_mult': 2.838170840660349, 'tsl_mult': 0.9783109449035617, 'strategy': 'mean_reversion', 'time_stop': 192, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.5157346110604266, 'edge_cap': 0.3290910424091203, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.0841856956471672, 'bull_rsi_os': 5, 'bull_rsi_ob': 48, 'bull_adx_thresh': 29.7103628388806, 'bull_atr_min_pct': 0.00937283355064953, 'bull_atr_max_pct': 0.05187695483153424, 'bull_tp_mult': 2.1277665641763526, 'bull_tsl_mult': 0.26205537063284723, 'bull_time_stop': 43, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.430300948568867, 'bear_rsi_os': 41, 'bear_rsi_ob': 76, 'bear_adx_thresh': 12.493066135910665, 'bear_atr_min_pct': 0.019240502307815623, 'bear_atr_max_pct': 0.12802700779449006, 'bear_tp_mult': 1.8120827279820846, 'bear_tsl_mult': 0.8716570490023281, 'bear_time_stop': 216, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.5610671383372943, 'sideways_rsi_os': 51, 'sideways_rsi_ob': 47, 'sideways_adx_thresh': 7.404291435436418, 'sideways_atr_min_pct': 0.02357109715831703, 'sideways_atr_max_pct': 0.07623017688464019, 'sideways_tp_mult': 1.0176593867176598, 'sideways_tsl_mult': 0.5700306384021027, 'sideways_time_stop': 132, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:13,546] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 19, 'p_std': 40, 'p_atr': 29, 'p_adx': 29, 'rsi_period': 9, 'ema1': 8, 'ema2': 43, 'slip_atr_k': 0.19139499495252715, 'slip_spread_k': 0.05606627801829467, 'spread_hl_frac': 0.030321518637490538, 'bb_std_mult': 3.244785587540503, 'rsi_os': 13, 'rsi_ob': 70, 'vol_spike': 0.21745920636087182, 'adx_thresh': 22.520214891316787, 'atr_min_pct': 0.015166678807615129, 'atr_max_pct': 0.06845303775540487, 'tp_mult': 1.3541315991151843, 'tsl_mult': 0.6925648965053406, 'strategy': 'mean_reversion', 'time_stop': 244, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.694396581206595, 'edge_cap': 0.9642844469593823, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.023227042983248, 'bull_rsi_os': 49, 'bull_rsi_ob': 63, 'bull_adx_thresh': 11.325594224826244, 'bull_atr_min_pct': 0.012176902667835748, 'bull_atr_max_pct': 0.03570059405407028, 'bull_tp_mult': 1.743723764349837, 'bull_tsl_mult': 0.7446121994956092, 'bull_time_stop': 78, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.6106952121274984, 'bear_rsi_os': 44, 'bear_rsi_ob': 84, 'bear_adx_thresh': 5.677057566142928, 'bear_atr_min_pct': 0.027428943305625685, 'bear_atr_max_pct': 0.14327543176236784, 'bear_tp_mult': 1.1696046064927548, 'bear_tsl_mult': 0.2642825410994648, 'bear_time_stop': 286, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.3308866069310374, 'sideways_rsi_os': 45, 'sideways_rsi_ob': 53, 'sideways_adx_thresh': 18.670946781116957, 'sideways_atr_min_pct': 0.01995228359547319, 'sideways_atr_max_pct': 0.10065083542156808, 'sideways_tp_mult': 1.0487626098253677, 'sideways_tsl_mult': 0.3613612223860415, 'sideways_time_stop': 183, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 10:44:13,839] Trial 0 finished with values: [-0.02892965827753613, 0.02903223519597516] and parameters: {'p_sma': 44, 'p_std': 32, 'p_atr': 10, 'p_adx': 17, 'rsi_period': 61, 'ema1': 19, 'ema2': 43, 'slip_atr_k': 0.21755955827596485, 'slip_spread_k': 0.03960960113956391, 'spread_hl_frac': 0.0015956666542886024, 'bb_std_mult': 3.5329004039999448, 'rsi_os': 24, 'rsi_ob': 72, 'vol_spike': 0.19939630309359327, 'adx_thresh': 7.1113180929877275, 'atr_min_pct': 0.006300449609640784, 'atr_max_pct': 0.04453672157671342, 'tp_mult': 1.4506202623382096, 'tsl_mult': 0.6077015783712146, 'strategy': 'breakout', 'time_stop': 294, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.5269180264193458, 'edge_cap': 0.8261311137485018, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.472282688601537, 'bull_rsi_os': 23, 'bull_rsi_ob': 77, 'bull_adx_thresh': 20.126606433755896, 'bull_atr_min_pct': 0.002704702079772301, 'bull_atr_max_pct': 0.14856615245981125, 'bull_tp_mult': 2.758749869065547, 'bull_tsl_mult': 0.5196551878902859, 'bull_time_stop': 125, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.5816066037004988, 'bear_rsi_os': 13, 'bear_rsi_ob': 48, 'bear_adx_thresh': 23.119149424565762, 'bear_atr_min_pct': 0.01429089709897913, 'bear_atr_max_pct': 0.08521710458624603, 'bear_tp_mult': 2.003687511115566, 'bear_tsl_mult': 0.19792076844161166, 'bear_time_stop': 13, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.7790747280394572, 'sideways_rsi_os': 8, 'sideways_rsi_ob': 71, 'sideways_adx_thresh': 29.007737827685492, 'sideways_atr_min_pct': 0.018648977211479588, 'sideways_atr_max_pct': 0.061156826716089276, 'sideways_tp_mult': 1.778304700325669, 'sideways_tsl_mult': 0.8470044374747704, 'sideways_time_stop': 13, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:14,329] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 42, 'p_atr': 19, 'p_adx': 22, 'rsi_period': 54, 'ema1': 20, 'ema2': 39, 'slip_atr_k': 0.11773451533935003, 'slip_spread_k': 0.7517441616318062, 'spread_hl_frac': 0.010473017548369247, 'bb_std_mult': 1.0875914848067292, 'rsi_os': 30, 'rsi_ob': 70, 'vol_spike': 0.06581183564210846, 'adx_thresh': 22.063565871010393, 'atr_min_pct': 0.02096424732590637, 'atr_max_pct': 0.046987596880342236, 'tp_mult': 2.512841910768061, 'tsl_mult': 0.25386494938392024, 'strategy': 'mean_reversion', 'time_stop': 296, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.5609190374117143, 'edge_cap': 0.9289408360763789, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.8119566277331959, 'bull_rsi_os': 37, 'bull_rsi_ob': 54, 'bull_adx_thresh': 25.644596766015425, 'bull_atr_min_pct': 0.01371289631984227, 'bull_atr_max_pct': 0.06404241238693568, 'bull_tp_mult': 1.4383173324902607, 'bull_tsl_mult': 0.09545771373871925, 'bull_time_stop': 14, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.258244816275575, 'bear_rsi_os': 17, 'bear_rsi_ob': 66, 'bear_adx_thresh': 18.97136292357161, 'bear_atr_min_pct': 0.007012278310713059, 'bear_atr_max_pct': 0.1160020971095886, 'bear_tp_mult': 1.5281993149062914, 'bear_tsl_mult': 0.10858072057154444, 'bear_time_stop': 100, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.3939595318775617, 'sideways_rsi_os': 35, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 19.638682731745032, 'sideways_atr_min_pct': 0.014586401602185273, 'sideways_atr_max_pct': 0.1286967275360695, 'sideways_tp_mult': 2.8387491477033486, 'sideways_tsl_mult': 0.19545149813064966, 'sideways_time_stop': 196, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 10:44:14,332] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 46, 'p_std': 19, 'p_atr': 16, 'p_adx': 12, 'rsi_period': 67, 'ema1': 9, 'ema2': 20, 'slip_atr_k': 0.02177498651106266, 'slip_spread_k': 0.5733080557504796, 'spread_hl_frac': 0.015460967508314044, 'bb_std_mult': 3.5120861062112136, 'rsi_os': 53, 'rsi_ob': 86, 'vol_spike': 0.24060039708257813, 'adx_thresh': 10.878858664769586, 'atr_min_pct': 7.992385422727732e-05, 'atr_max_pct': 0.05664543006876035, 'tp_mult': 1.9186273436909378, 'tsl_mult': 0.6059160086529185, 'strategy': 'mean_reversion', 'time_stop': 138, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.2734536089469852, 'edge_cap': 0.5580292913928759, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.9577105156322137, 'bull_rsi_os': 36, 'bull_rsi_ob': 73, 'bull_adx_thresh': 21.84545738580552, 'bull_atr_min_pct': 0.0008719543455038803, 'bull_atr_max_pct': 0.14143886908561418, 'bull_tp_mult': 2.43581753179782, 'bull_tsl_mult': 0.3586302373188768, 'bull_time_stop': 272, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.3396349159088374, 'bear_rsi_os': 44, 'bear_rsi_ob': 85, 'bear_adx_thresh': 26.84293606842876, 'bear_atr_min_pct': 0.029918795412795393, 'bear_atr_max_pct': 0.02872959542082696, 'bear_tp_mult': 2.0382856737260058, 'bear_tsl_mult': 0.9916197216244735, 'bear_time_stop': 50, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.6198843587895996, 'sideways_rsi_os': 55, 'sideways_rsi_ob': 76, 'sideways_adx_thresh': 24.894240107779144, 'sideways_atr_min_pct': 0.012382599045034689, 'sideways_atr_max_pct': 0.09944472851320041, 'sideways_tp_mult': 2.179293191082256, 'sideways_tsl_mult': 0.1964794899263118, 'sideways_time_stop': 189, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:49,633] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 58, 'p_atr': 15, 'p_adx': 8, 'rsi_period': 62, 'ema1': 22, 'ema2': 22, 'slip_atr_k': 0.2086317350266113, 'slip_spread_k': 0.03903831408132252, 'spread_hl_frac': 0.033117887559386446, 'bb_std_mult': 1.0742921985979297, 'rsi_os': 26, 'rsi_ob': 68, 'vol_spike': 0.21402442722929205, 'adx_thresh': 21.936957895083168, 'atr_min_pct': 0.010915932008579123, 'atr_max_pct': 0.07352734882453218, 'tp_mult': 2.0375810848984863, 'tsl_mult': 0.7781152361822329, 'strategy': 'mean_reversion', 'time_stop': 228, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.174221386960379, 'edge_cap': 0.7677564891044705, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.98913784286174, 'bull_rsi_os': 20, 'bull_rsi_ob': 56, 'bull_adx_thresh': 6.6078694642120475, 'bull_atr_min_pct': 0.01885542288360358, 'bull_atr_max_pct': 0.027521130629903006, 'bull_tp_mult': 2.621758845167322, 'bull_tsl_mult': 0.8967027912222211, 'bull_time_stop': 137, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.324742225302819, 'bear_rsi_os': 20, 'bear_rsi_ob': 69, 'bear_adx_thresh': 17.090078023682075, 'bear_atr_min_pct': 0.017029412938626313, 'bear_atr_max_pct': 0.04990954152178547, 'bear_tp_mult': 1.0765403143702519, 'bear_tsl_mult': 0.4697410100420747, 'bear_time_stop': 21, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.39562938545516, 'sideways_rsi_os': 22, 'sideways_rsi_ob': 54, 'sideways_adx_thresh': 5.239215941530787, 'sideways_atr_min_pct': 0.007806256649101413, 'sideways_atr_max_pct': 0.1343714966246013, 'sideways_tp_mult': 1.0387787483556818, 'sideways_tsl_mult': 0.3476933196224824, 'sideways_time_stop': 218, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:51,189] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 5, 'p_std': 37, 'p_atr': 11, 'p_adx': 26, 'rsi_period': 53, 'ema1': 5, 'ema2': 32, 'slip_atr_k': 0.18571356046706622, 'slip_spread_k': 0.183794410620311, 'spread_hl_frac': 0.02707285028467385, 'bb_std_mult': 0.6493245447839047, 'rsi_os': 35, 'rsi_ob': 72, 'vol_spike': 0.07712327495627826, 'adx_thresh': 30.539449793189, 'atr_min_pct': 0.021370303715989733, 'atr_max_pct': 0.09564285521776823, 'tp_mult': 1.6300864216015258, 'tsl_mult': 0.6418928469784133, 'strategy': 'mean_reversion', 'time_stop': 100, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.194962820035687, 'edge_cap': 0.7514618034052687, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.8859706865451764, 'bull_rsi_os': 13, 'bull_rsi_ob': 94, 'bull_adx_thresh': 10.652147578317843, 'bull_atr_min_pct': 0.026454567452901864, 'bull_atr_max_pct': 0.04952323937858682, 'bull_tp_mult': 1.2403580127779414, 'bull_tsl_mult': 0.46943570644441945, 'bull_time_stop': 150, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.3072348990310796, 'bear_rsi_os': 53, 'bear_rsi_ob': 86, 'bear_adx_thresh': 29.288423236605823, 'bear_atr_min_pct': 0.015726974931869458, 'bear_atr_max_pct': 0.11854741040429041, 'bear_tp_mult': 1.8161227405954306, 'bear_tsl_mult': 0.4886812942656379, 'bear_time_stop': 253, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.319636121513153, 'sideways_rsi_os': 23, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 7.570194785665347, 'sideways_atr_min_pct': 0.02762832159534793, 'sideways_atr_max_pct': 0.08681723215964256, 'sideways_tp_mult': 2.218486497730222, 'sideways_tsl_mult': 0.2758857431633259, 'sideways_time_stop': 278, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 10:44:51,384] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 35, 'p_std': 16, 'p_atr': 18, 'p_adx': 12, 'rsi_period': 57, 'ema1': 7, 'ema2': 57, 'slip_atr_k': 0.055640422105829535, 'slip_spread_k': 0.2574807885443129, 'spread_hl_frac': 0.005999060867355305, 'bb_std_mult': 2.419430161647094, 'rsi_os': 34, 'rsi_ob': 62, 'vol_spike': 0.17887642192519437, 'adx_thresh': 27.43019367219925, 'atr_min_pct': 0.006820751049495883, 'atr_max_pct': 0.0208487627118356, 'tp_mult': 1.121209158565357, 'tsl_mult': 0.8521555319791652, 'strategy': 'breakout', 'time_stop': 226, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.6022784928047722, 'edge_cap': 0.7681527175293343, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.554317713582489, 'bull_rsi_os': 51, 'bull_rsi_ob': 90, 'bull_adx_thresh': 13.315678556172108, 'bull_atr_min_pct': 0.022423416269558082, 'bull_atr_max_pct': 0.04356637121682564, 'bull_tp_mult': 2.507409889218831, 'bull_tsl_mult': 0.42859850576604763, 'bull_time_stop': 16, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.7313544737122895, 'bear_rsi_os': 39, 'bear_rsi_ob': 71, 'bear_adx_thresh': 5.225789765063908, 'bear_atr_min_pct': 0.02399917175206436, 'bear_atr_max_pct': 0.055735770937873665, 'bear_tp_mult': 1.3606997941192596, 'bear_tsl_mult': 0.9710355011735395, 'bear_time_stop': 146, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.5929857610434595, 'sideways_rsi_os': 35, 'sideways_rsi_ob': 64, 'sideways_adx_thresh': 17.43691870794101, 'sideways_atr_min_pct': 0.01289831166051645, 'sideways_atr_max_pct': 0.032925793444990796, 'sideways_tp_mult': 2.559054575023631, 'sideways_tsl_mult': 0.8349753009292782, 'sideways_time_stop': 22, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 10:44:51,443] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 27, 'p_std': 35, 'p_atr': 14, 'p_adx': 24, 'rsi_period': 15, 'ema1': 19, 'ema2': 50, 'slip_atr_k': 0.23348087176917778, 'slip_spread_k': 0.040350893822363565, 'spread_hl_frac': 0.013751331979486898, 'bb_std_mult': 0.884804602956281, 'rsi_os': 51, 'rsi_ob': 48, 'vol_spike': 0.013035264171286809, 'adx_thresh': 34.79561982153221, 'atr_min_pct': 0.005964955006408407, 'atr_max_pct': 0.12566213805495158, 'tp_mult': 1.5932914358250634, 'tsl_mult': 0.5162073746753822, 'strategy': 'mean_reversion', 'time_stop': 218, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.0810460571375793, 'edge_cap': 0.4115277643709091, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.5445795603539012, 'bull_rsi_os': 24, 'bull_rsi_ob': 63, 'bull_adx_thresh': 10.649443763755217, 'bull_atr_min_pct': 0.007940947158341892, 'bull_atr_max_pct': 0.04910074921022517, 'bull_tp_mult': 2.2624564408663863, 'bull_tsl_mult': 0.5154474848349413, 'bull_time_stop': 211, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.8483244349837769, 'bear_rsi_os': 51, 'bear_rsi_ob': 55, 'bear_adx_thresh': 32.654450807846175, 'bear_atr_min_pct': 0.01908956286278564, 'bear_atr_max_pct': 0.07939909950955978, 'bear_tp_mult': 1.1780592263818384, 'bear_tsl_mult': 0.7489304364193997, 'bear_time_stop': 69, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.53400050073235, 'sideways_rsi_os': 36, 'sideways_rsi_ob': 75, 'sideways_adx_thresh': 9.153148429609729, 'sideways_atr_min_pct': 0.007422255087018017, 'sideways_atr_max_pct': 0.1299650171638948, 'sideways_tp_mult': 2.259458776272138, 'sideways_tsl_mult': 0.4568172178913623, 'sideways_time_stop': 11, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 10:44:51,628] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 56, 'p_std': 53, 'p_atr': 29, 'p_adx': 27, 'rsi_period': 30, 'ema1': 29, 'ema2': 41, 'slip_atr_k': 0.13083107707813893, 'slip_spread_k': 0.7550763813487077, 'spread_hl_frac': 0.04786691956304179, 'bb_std_mult': 2.1844904512912113, 'rsi_os': 19, 'rsi_ob': 68, 'vol_spike': 0.06356412476085377, 'adx_thresh': 28.94592511192974, 'atr_min_pct': 0.00212532863918239, 'atr_max_pct': 0.07402358606196295, 'tp_mult': 2.524750992783014, 'tsl_mult': 0.8475174189292197, 'strategy': 'breakout', 'time_stop': 278, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.7683634146152978, 'edge_cap': 0.1837329653914302, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.350932051474104, 'bull_rsi_os': 39, 'bull_rsi_ob': 91, 'bull_adx_thresh': 12.220565238167316, 'bull_atr_min_pct': 0.013936993453892314, 'bull_atr_max_pct': 0.07593271878696999, 'bull_tp_mult': 2.8476320315967296, 'bull_tsl_mult': 0.007441961894675719, 'bull_time_stop': 15, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.1991938393479042, 'bear_rsi_os': 40, 'bear_rsi_ob': 91, 'bear_adx_thresh': 33.90751060656306, 'bear_atr_min_pct': 0.017081543555019705, 'bear_atr_max_pct': 0.07716193284914517, 'bear_tp_mult': 2.9987753209369434, 'bear_tsl_mult': 0.6683690181000702, 'bear_time_stop': 212, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.3162377481391938, 'sideways_rsi_os': 18, 'sideways_rsi_ob': 79, 'sideways_adx_thresh': 7.481736125469873, 'sideways_atr_min_pct': 0.02540181788312685, 'sideways_atr_max_pct': 0.09186104330530147, 'sideways_tp_mult': 1.7563883970315868, 'sideways_tsl_mult': 0.9426398263396836, 'sideways_time_stop': 81, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
