number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0007331238567227505,-0.0005514594139275399,-1000000000.0,1000000000.0,-0.0007331238567227505,-0.0005514594139275399,7.0,mean_reversion,1,"{""adx_thresh"": 5.69410448197022, ""atr_max_pct"": 0.025315755834341785, ""atr_min_pct"": 0.009670609911851653, ""bb_std_mult"": 1.2827064500704384, ""bear_adx_thresh"": 23.309142192992446, ""bear_atr_max_pct"": 0.09006232201934476, ""bear_atr_min_pct"": 0.01599217126634644, ""bear_bb_std_mult"": 1.1831224462380245, ""bear_rsi_ob"": 66, ""bear_rsi_os"": 26, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 261, ""bear_tp_mult"": 2.497526541578183, ""bear_tsl_mult"": 0.8435146129907208, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 20.972606709858923, ""bull_atr_max_pct"": 0.08866190792006308, ""bull_atr_min_pct"": 0.0021797304107511284, ""bull_bb_std_mult"": 1.1605380104664218, ""bull_rsi_ob"": 58, ""bull_rsi_os"": 18, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 275, ""bull_tp_mult"": 1.8471041087277331, ""bull_tsl_mult"": 0.28062461499790725, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.5580249271793879, ""edge_k"": 0.01125605259511886, ""ema1"": 5, ""ema2"": 48, ""p_adx"": 13, ""p_atr"": 18, ""p_sma"": 52, ""p_std"": 25, ""rsi_ob"": 56, ""rsi_os"": 45, ""rsi_period"": 21, ""rsi_required"": true, ""sideways_adx_thresh"": 14.8874885488065, ""sideways_atr_max_pct"": 0.07397529691116139, ""sideways_atr_min_pct"": 0.013463574021963335, ""sideways_bb_std_mult"": 0.7180325698388181, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 44, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 78, ""sideways_tp_mult"": 1.3939735445372026, ""sideways_tsl_mult"": 0.9287387724375568, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.10495975763447857, ""slip_spread_k"": 0.8304238993729675, ""spread_hl_frac"": 0.031441919988081844, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 1.0809432093832485, ""tsl_mult"": 0.8822474425383472, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.020330671134828737}"
1,-0.0012277671965248427,-0.0008037891795909647,-1000000000.0,1000000000.0,-0.0012277671965248427,-0.0008037891795909647,4.0,breakout,1,"{""adx_thresh"": 17.924851351217455, ""atr_max_pct"": 0.13768710273334028, ""atr_min_pct"": 0.0014110582519086677, ""bb_std_mult"": 1.5897060702726806, ""bear_adx_thresh"": 19.51030324833132, ""bear_atr_max_pct"": 0.1426673196854748, ""bear_atr_min_pct"": 0.009862172042293844, ""bear_bb_std_mult"": 0.7358617510380548, ""bear_rsi_ob"": 58, ""bear_rsi_os"": 27, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 270, ""bear_tp_mult"": 2.855816308337776, ""bear_tsl_mult"": 0.9618488335075989, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 28.943594354026956, ""bull_atr_max_pct"": 0.029416104723445777, ""bull_atr_min_pct"": 0.014732818173363625, ""bull_bb_std_mult"": 1.8430876588476905, ""bull_rsi_ob"": 69, ""bull_rsi_os"": 44, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 164, ""bull_tp_mult"": 1.4333548515740322, ""bull_tsl_mult"": 0.07251259261626652, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.0778304998216088, ""edge_k"": 0.09217596944610551, ""ema1"": 7, ""ema2"": 52, ""p_adx"": 11, ""p_atr"": 14, ""p_sma"": 47, ""p_std"": 53, ""rsi_ob"": 85, ""rsi_os"": 49, ""rsi_period"": 14, ""rsi_required"": true, ""sideways_adx_thresh"": 21.855908029072925, ""sideways_atr_max_pct"": 0.013873581662836011, ""sideways_atr_min_pct"": 0.00779053383797915, ""sideways_bb_std_mult"": 1.240515649261381, ""sideways_rsi_ob"": 66, ""sideways_rsi_os"": 9, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 40, ""sideways_tp_mult"": 2.366178764504096, ""sideways_tsl_mult"": 0.8689698623254545, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.2069089493981904, ""slip_spread_k"": 0.2903490167034386, ""spread_hl_frac"": 0.03940307941452842, ""strategy"": ""breakout"", ""time_stop"": 86, ""tp_mult"": 1.225075020751948, ""tsl_mult"": 0.734773658425069, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06878903778064176}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 5.891669159632727, ""atr_max_pct"": 0.09629833060941428, ""atr_min_pct"": 0.01900287324328468, ""bb_std_mult"": 0.9128649050822546, ""bear_adx_thresh"": 34.45365035028531, ""bear_atr_max_pct"": 0.01943324929538729, ""bear_atr_min_pct"": 0.009442127679999728, ""bear_bb_std_mult"": 2.7038475468431735, ""bear_rsi_ob"": 62, ""bear_rsi_os"": 30, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 214, ""bear_tp_mult"": 2.81992956201692, ""bear_tsl_mult"": 0.7751388621287902, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 8.155904400442646, ""bull_atr_max_pct"": 0.10359798539157701, ""bull_atr_min_pct"": 0.025247105736060222, ""bull_bb_std_mult"": 1.4456263160465392, ""bull_rsi_ob"": 80, ""bull_rsi_os"": 13, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 282, ""bull_tp_mult"": 1.2107665704809334, ""bull_tsl_mult"": 0.5021719180601167, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.8931984764833732, ""edge_k"": 0.358239722737411, ""ema1"": 16, ""ema2"": 56, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 48, ""p_std"": 48, ""rsi_ob"": 89, ""rsi_os"": 44, ""rsi_period"": 43, ""rsi_required"": true, ""sideways_adx_thresh"": 13.272871431560008, ""sideways_atr_max_pct"": 0.010045337156445804, ""sideways_atr_min_pct"": 0.0283644250019298, ""sideways_bb_std_mult"": 3.501941628473559, ""sideways_rsi_ob"": 81, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 12, ""sideways_tp_mult"": 2.5605159935068094, ""sideways_tsl_mult"": 0.5003465216304658, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.04727376521388893, ""slip_spread_k"": 0.8604712447329076, ""spread_hl_frac"": 0.02896977570141796, ""strategy"": ""breakout"", ""time_stop"": 91, ""tp_mult"": 2.509216096614729, ""tsl_mult"": 0.4639131588925032, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10419717699751833}"
3,-0.009192949324596356,-0.008958371967379902,-0.009192949324596356,0.008958371967379902,-0.009192949324596356,-0.008958371967379902,212.0,breakout,1,"{""adx_thresh"": 24.981805266570607, ""atr_max_pct"": 0.06577332686405615, ""atr_min_pct"": 0.020663120899333608, ""bb_std_mult"": 3.467193141911781, ""bear_adx_thresh"": 13.887768737694445, ""bear_atr_max_pct"": 0.14658398584040597, ""bear_atr_min_pct"": 0.015289949585352878, ""bear_bb_std_mult"": 2.8295698457384146, ""bear_rsi_ob"": 62, ""bear_rsi_os"": 42, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 42, ""bear_tp_mult"": 2.3936281163796735, ""bear_tsl_mult"": 0.3817681020962408, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 12.144564062406358, ""bull_atr_max_pct"": 0.13188214795780898, ""bull_atr_min_pct"": 0.0020644860636151994, ""bull_bb_std_mult"": 2.115810686086569, ""bull_rsi_ob"": 90, ""bull_rsi_os"": 48, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 86, ""bull_tp_mult"": 1.2004965318635197, ""bull_tsl_mult"": 0.3902032925648632, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.2845103360484921, ""edge_k"": 0.7846837524747967, ""ema1"": 23, ""ema2"": 16, ""p_adx"": 11, ""p_atr"": 30, ""p_sma"": 37, ""p_std"": 56, ""rsi_ob"": 93, ""rsi_os"": 16, ""rsi_period"": 33, ""rsi_required"": false, ""sideways_adx_thresh"": 33.7993435902329, ""sideways_atr_max_pct"": 0.08357061736464737, ""sideways_atr_min_pct"": 0.02304315053057039, ""sideways_bb_std_mult"": 2.972730022814546, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 18, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 261, ""sideways_tp_mult"": 1.5216376324293497, ""sideways_tsl_mult"": 0.6732233540146241, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.010146856015801675, ""slip_spread_k"": 0.37455737374497955, ""spread_hl_frac"": 0.04556531729632217, ""strategy"": ""breakout"", ""time_stop"": 181, ""tp_mult"": 2.190383426226227, ""tsl_mult"": 0.04849622436462675, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07192034300346167}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.370461188678703, ""atr_max_pct"": 0.031725376272054906, ""atr_min_pct"": 0.009181773414175908, ""bb_std_mult"": 1.1287412022381764, ""bear_adx_thresh"": 23.676934723812774, ""bear_atr_max_pct"": 0.08715001678241836, ""bear_atr_min_pct"": 0.012701231702669331, ""bear_bb_std_mult"": 3.4702723630912216, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 35, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 119, ""bear_tp_mult"": 1.0333704892661602, ""bear_tsl_mult"": 0.09867762334469599, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.330049614740375, ""bull_atr_max_pct"": 0.035628410420748866, ""bull_atr_min_pct"": 0.007795697827766129, ""bull_bb_std_mult"": 1.5838922153199033, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 29, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 72, ""bull_tp_mult"": 2.1824584614390043, ""bull_tsl_mult"": 0.6178916338041701, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.3408284956575353, ""edge_k"": 0.15157433198111692, ""ema1"": 25, ""ema2"": 51, ""p_adx"": 22, ""p_atr"": 13, ""p_sma"": 49, ""p_std"": 60, ""rsi_ob"": 46, ""rsi_os"": 54, ""rsi_period"": 29, ""rsi_required"": false, ""sideways_adx_thresh"": 11.194539378903709, ""sideways_atr_max_pct"": 0.04149061425312801, ""sideways_atr_min_pct"": 0.0056395580279902545, ""sideways_bb_std_mult"": 2.8476649340583755, ""sideways_rsi_ob"": 74, ""sideways_rsi_os"": 49, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 15, ""sideways_tp_mult"": 2.953725442046188, ""sideways_tsl_mult"": 0.43521441111471004, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.01176609258427111, ""slip_spread_k"": 0.5586160809892129, ""spread_hl_frac"": 0.009188553822411771, ""strategy"": ""mean_reversion"", ""time_stop"": 245, ""tp_mult"": 1.2504732772475784, ""tsl_mult"": 0.4568813762143765, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.031217965360720266}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.441193624757663, ""atr_max_pct"": 0.05846211795976334, ""atr_min_pct"": 0.010600672079952668, ""bb_std_mult"": 2.4534043583480196, ""bear_adx_thresh"": 8.539763046380548, ""bear_atr_max_pct"": 0.07215648566574659, ""bear_atr_min_pct"": 0.0036818302674037993, ""bear_bb_std_mult"": 2.267406718008113, ""bear_rsi_ob"": 85, ""bear_rsi_os"": 13, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 213, ""bear_tp_mult"": 2.9516139525192693, ""bear_tsl_mult"": 0.8213684350341505, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 33.79949368843315, ""bull_atr_max_pct"": 0.018992673512750767, ""bull_atr_min_pct"": 0.01897057506163085, ""bull_bb_std_mult"": 2.9319597976589034, ""bull_rsi_ob"": 53, ""bull_rsi_os"": 25, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 250, ""bull_tp_mult"": 2.34140712639715, ""bull_tsl_mult"": 0.4505715621682055, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.4135661810923951, ""edge_k"": 1.4369473415295149, ""ema1"": 12, ""ema2"": 38, ""p_adx"": 12, ""p_atr"": 15, ""p_sma"": 6, ""p_std"": 26, ""rsi_ob"": 49, ""rsi_os"": 16, ""rsi_period"": 22, ""rsi_required"": false, ""sideways_adx_thresh"": 25.94328329200054, ""sideways_atr_max_pct"": 0.11646934136251408, ""sideways_atr_min_pct"": 0.018513988585574178, ""sideways_bb_std_mult"": 1.4518758650907113, ""sideways_rsi_ob"": 94, ""sideways_rsi_os"": 37, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 36, ""sideways_tp_mult"": 1.6988165721481157, ""sideways_tsl_mult"": 0.9445562243690336, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.04484147975194058, ""slip_spread_k"": 0.027603044850799452, ""spread_hl_frac"": 0.01143779852768937, ""strategy"": ""mean_reversion"", ""time_stop"": 6, ""tp_mult"": 1.712937025094801, ""tsl_mult"": 0.060583371716503964, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03190733552700564}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 21.461625689797312, ""atr_max_pct"": 0.027950809452448728, ""atr_min_pct"": 0.017369379605904837, ""bb_std_mult"": 1.8073641902011903, ""bear_adx_thresh"": 9.270763286888851, ""bear_atr_max_pct"": 0.1391785005190605, ""bear_atr_min_pct"": 0.02173317195264344, ""bear_bb_std_mult"": 1.264998498712325, ""bear_rsi_ob"": 57, ""bear_rsi_os"": 9, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 240, ""bear_tp_mult"": 1.6832917114761263, ""bear_tsl_mult"": 0.23677815965981375, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.280687570280925, ""bull_atr_max_pct"": 0.12574966971321255, ""bull_atr_min_pct"": 0.025627249905258453, ""bull_bb_std_mult"": 0.6722964009937338, ""bull_rsi_ob"": 83, ""bull_rsi_os"": 47, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 290, ""bull_tp_mult"": 2.552008757770402, ""bull_tsl_mult"": 0.7903779358865721, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.8142032692386101, ""edge_k"": 1.8810603408437014, ""ema1"": 25, ""ema2"": 34, ""p_adx"": 9, ""p_atr"": 26, ""p_sma"": 41, ""p_std"": 54, ""rsi_ob"": 58, ""rsi_os"": 16, ""rsi_period"": 25, ""rsi_required"": false, ""sideways_adx_thresh"": 14.354131810339085, ""sideways_atr_max_pct"": 0.03142205843253219, ""sideways_atr_min_pct"": 0.0160520039529162, ""sideways_bb_std_mult"": 3.256608684290129, ""sideways_rsi_ob"": 92, ""sideways_rsi_os"": 31, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 153, ""sideways_tp_mult"": 2.6702426830769985, ""sideways_tsl_mult"": 0.9120105658740043, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.030637797898165287, ""slip_spread_k"": 0.5881991936611153, ""spread_hl_frac"": 0.018667547772712286, ""strategy"": ""mean_reversion"", ""time_stop"": 100, ""tp_mult"": 1.1582183980238283, ""tsl_mult"": 0.19778049903405648, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.16064168888632505}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 25.97559708352695, ""atr_max_pct"": 0.14468797114908183, ""atr_min_pct"": 0.026104767741481905, ""bb_std_mult"": 3.5750549153042988, ""bear_adx_thresh"": 15.906282259803051, ""bear_atr_max_pct"": 0.1232846406752005, ""bear_atr_min_pct"": 0.009190127483911069, ""bear_bb_std_mult"": 2.1316268496983133, ""bear_rsi_ob"": 45, ""bear_rsi_os"": 43, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 201, ""bear_tp_mult"": 2.512485884114118, ""bear_tsl_mult"": 0.1210593996040068, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 28.381427342887623, ""bull_atr_max_pct"": 0.09615847264024344, ""bull_atr_min_pct"": 0.012899043666220014, ""bull_bb_std_mult"": 0.958479689719045, ""bull_rsi_ob"": 62, ""bull_rsi_os"": 31, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 210, ""bull_tp_mult"": 1.452919043644408, ""bull_tsl_mult"": 0.457972397787924, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.969569566800406, ""edge_k"": 0.05669547691233756, ""ema1"": 28, ""ema2"": 58, ""p_adx"": 16, ""p_atr"": 23, ""p_sma"": 12, ""p_std"": 23, ""rsi_ob"": 77, ""rsi_os"": 19, ""rsi_period"": 84, ""rsi_required"": false, ""sideways_adx_thresh"": 28.623056393905966, ""sideways_atr_max_pct"": 0.045978941429422965, ""sideways_atr_min_pct"": 0.02292366066606853, ""sideways_bb_std_mult"": 2.1945789582737385, ""sideways_rsi_ob"": 61, ""sideways_rsi_os"": 36, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 139, ""sideways_tp_mult"": 1.4434517582864692, ""sideways_tsl_mult"": 0.9127036435718439, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.03843657395325256, ""slip_spread_k"": 0.8583765519158943, ""spread_hl_frac"": 0.002548928742047696, ""strategy"": ""breakout"", ""time_stop"": 246, ""tp_mult"": 2.77296138068408, ""tsl_mult"": 0.27331329472931976, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15537888379327128}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 34.50605299365127, ""atr_max_pct"": 0.13586426676549723, ""atr_min_pct"": 0.011802410532510734, ""bb_std_mult"": 2.295615420641908, ""bear_adx_thresh"": 9.792966589311119, ""bear_atr_max_pct"": 0.11879804353407646, ""bear_atr_min_pct"": 0.021273857969379188, ""bear_bb_std_mult"": 0.6483806100530303, ""bear_rsi_ob"": 95, ""bear_rsi_os"": 6, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 197, ""bear_tp_mult"": 2.0325669319529704, ""bear_tsl_mult"": 0.3366226099597005, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 11.919160484153204, ""bull_atr_max_pct"": 0.0988319493125899, ""bull_atr_min_pct"": 0.019560907050643807, ""bull_bb_std_mult"": 2.5234140070683395, ""bull_rsi_ob"": 47, ""bull_rsi_os"": 12, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 148, ""bull_tp_mult"": 2.4625890852746792, ""bull_tsl_mult"": 0.1774298132917228, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8538542604213342, ""edge_k"": 0.7574636294031818, ""ema1"": 14, ""ema2"": 42, ""p_adx"": 18, ""p_atr"": 8, ""p_sma"": 18, ""p_std"": 39, ""rsi_ob"": 87, ""rsi_os"": 45, ""rsi_period"": 21, ""rsi_required"": false, ""sideways_adx_thresh"": 30.033242717427992, ""sideways_atr_max_pct"": 0.11776388749205902, ""sideways_atr_min_pct"": 0.02570899966354668, ""sideways_bb_std_mult"": 1.0302640394638043, ""sideways_rsi_ob"": 82, ""sideways_rsi_os"": 13, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 123, ""sideways_tp_mult"": 1.0602521006372125, ""sideways_tsl_mult"": 0.31169012295234877, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1597627519886257, ""slip_spread_k"": 0.512946826145398, ""spread_hl_frac"": 0.017679487699885088, ""strategy"": ""mean_reversion"", ""time_stop"": 74, ""tp_mult"": 2.4360833883899438, ""tsl_mult"": 0.5427131443996264, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.11746977989462465}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 32.02739272483235, ""atr_max_pct"": 0.0837935854006154, ""atr_min_pct"": 0.019728798741733382, ""bb_std_mult"": 1.8431272627304194, ""bear_adx_thresh"": 34.18307254067174, ""bear_atr_max_pct"": 0.015682206131601387, ""bear_atr_min_pct"": 0.015219957513910445, ""bear_bb_std_mult"": 1.5865654719422646, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 32, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 166, ""bear_tp_mult"": 1.2976984707177608, ""bear_tsl_mult"": 0.3123430334141777, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 14.972367286398896, ""bull_atr_max_pct"": 0.0702517490248011, ""bull_atr_min_pct"": 0.023431209702605888, ""bull_bb_std_mult"": 3.1978462079379955, ""bull_rsi_ob"": 82, ""bull_rsi_os"": 49, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 202, ""bull_tp_mult"": 1.7902136552122747, ""bull_tsl_mult"": 0.6090466237068528, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6455652523051862, ""edge_k"": 0.6951105844244605, ""ema1"": 16, ""ema2"": 20, ""p_adx"": 16, ""p_atr"": 7, ""p_sma"": 44, ""p_std"": 5, ""rsi_ob"": 84, ""rsi_os"": 50, ""rsi_period"": 70, ""rsi_required"": true, ""sideways_adx_thresh"": 24.883284752993063, ""sideways_atr_max_pct"": 0.10962474904679059, ""sideways_atr_min_pct"": 0.01917381164384335, ""sideways_bb_std_mult"": 1.1350508513836592, ""sideways_rsi_ob"": 46, ""sideways_rsi_os"": 5, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 5, ""sideways_tp_mult"": 1.3301232325864056, ""sideways_tsl_mult"": 0.5579611626608912, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.09291985075556106, ""slip_spread_k"": 0.27735237909698474, ""spread_hl_frac"": 0.026243698409483554, ""strategy"": ""mean_reversion"", ""time_stop"": 218, ""tp_mult"": 2.2513536704496313, ""tsl_mult"": 0.31020185557090296, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15035411071633142}"
