2025-09-01 13:53:52,442 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-09-01 13:53:52,478] A new study created in memory with name: no-name-cbfcd872-00cd-43b6-b939-00b03dd99abb
[I 2025-09-01 13:53:52,500] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 22, 'p_atr': 7, 'p_adx': 27, 'rsi_period': 73, 'ema1': 26, 'ema2': 59, 'slip_atr_k': 0.0755470922335511, 'slip_spread_k': 0.8992248918666511, 'spread_hl_frac': 0.009377194344760488, 'bb_std_mult': 3.3442322047920165, 'rsi_os': 28, 'rsi_ob': 45, 'vol_spike': 0.08685938977369546, 'adx_thresh': 26.258449735284263, 'atr_min_pct': 0.0019815706167334124, 'atr_max_pct': 0.09764442256281777, 'tp_mult': 2.4042104213391813, 'tsl_mult': 0.13723721395878374, 'strategy': 'mean_reversion', 'time_stop': 192, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.352743829246859, 'edge_cap': 0.518107273227906, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.393718979010513, 'bull_rsi_os': 16, 'bull_rsi_ob': 76, 'bull_adx_thresh': 12.174328371489763, 'bull_atr_min_pct': 0.028623320973948582, 'bull_atr_max_pct': 0.06711906397723724, 'bull_tp_mult': 1.9573955389960442, 'bull_tsl_mult': 0.7525977640037539, 'bull_time_stop': 135, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.9423898669743207, 'bear_rsi_os': 30, 'bear_rsi_ob': 87, 'bear_adx_thresh': 10.222698466239487, 'bear_atr_min_pct': 0.008378974148095622, 'bear_atr_max_pct': 0.14825516856512347, 'bear_tp_mult': 1.437670682946831, 'bear_tsl_mult': 0.7274081443362183, 'bear_time_stop': 21, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.5312088230063268, 'sideways_rsi_os': 31, 'sideways_rsi_ob': 82, 'sideways_adx_thresh': 8.178724930441716, 'sideways_atr_min_pct': 0.01308420635326925, 'sideways_atr_max_pct': 0.10892516131757136, 'sideways_tp_mult': 2.248595325029623, 'sideways_tsl_mult': 0.3646471203182293, 'sideways_time_stop': 40, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:54:27,098] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 8, 'p_atr': 30, 'p_adx': 20, 'rsi_period': 27, 'ema1': 6, 'ema2': 19, 'slip_atr_k': 0.2494662742427603, 'slip_spread_k': 0.4400744854843821, 'spread_hl_frac': 0.0020168233116183544, 'bb_std_mult': 3.5908746152636857, 'rsi_os': 43, 'rsi_ob': 76, 'vol_spike': 0.24512356677361302, 'adx_thresh': 26.15107049570725, 'atr_min_pct': 0.013550720425607643, 'atr_max_pct': 0.06502247215164958, 'tp_mult': 2.3013185900540916, 'tsl_mult': 0.8511383064793139, 'strategy': 'mean_reversion', 'time_stop': 299, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.766298488021027, 'edge_cap': 0.14961539303572136, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.660516493108886, 'bull_rsi_os': 39, 'bull_rsi_ob': 67, 'bull_adx_thresh': 20.17875198625356, 'bull_atr_min_pct': 0.018324817251901642, 'bull_atr_max_pct': 0.03368909060532014, 'bull_tp_mult': 1.9074886459405438, 'bull_tsl_mult': 0.7143179902155361, 'bull_time_stop': 150, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.9912459765136346, 'bear_rsi_os': 29, 'bear_rsi_ob': 84, 'bear_adx_thresh': 19.742527381239864, 'bear_atr_min_pct': 0.014822256358752915, 'bear_atr_max_pct': 0.14204283554377406, 'bear_tp_mult': 2.435027027682914, 'bear_tsl_mult': 0.7491677224573795, 'bear_time_stop': 209, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 0.9476130862214631, 'sideways_rsi_os': 9, 'sideways_rsi_ob': 60, 'sideways_adx_thresh': 32.46329391578335, 'sideways_atr_min_pct': 0.009881700943857886, 'sideways_atr_max_pct': 0.059649005923610846, 'sideways_tp_mult': 1.2771146577870447, 'sideways_tsl_mult': 0.6690181546624026, 'sideways_time_stop': 184, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:54:27,402] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 48, 'p_std': 58, 'p_atr': 17, 'p_adx': 13, 'rsi_period': 50, 'ema1': 14, 'ema2': 52, 'slip_atr_k': 0.09453273731405107, 'slip_spread_k': 0.1085494937257675, 'spread_hl_frac': 0.031108626791128705, 'bb_std_mult': 2.583278059280268, 'rsi_os': 37, 'rsi_ob': 91, 'vol_spike': 0.04338072755022182, 'adx_thresh': 27.002786630425355, 'atr_min_pct': 0.010275062488458392, 'atr_max_pct': 0.018305455060770696, 'tp_mult': 2.919088352577273, 'tsl_mult': 0.3761768706634634, 'strategy': 'breakout', 'time_stop': 120, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.22675211503058534, 'edge_cap': 0.3207899705739955, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.5536938316301763, 'bull_rsi_os': 27, 'bull_rsi_ob': 65, 'bull_adx_thresh': 28.505731746215275, 'bull_atr_min_pct': 0.0029113289650856775, 'bull_atr_max_pct': 0.1015264905068582, 'bull_tp_mult': 1.8498047293223265, 'bull_tsl_mult': 0.05512438946331377, 'bull_time_stop': 131, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.897235863329751, 'bear_rsi_os': 34, 'bear_rsi_ob': 59, 'bear_adx_thresh': 20.421820043818922, 'bear_atr_min_pct': 0.02575275384666523, 'bear_atr_max_pct': 0.11011876958686337, 'bear_tp_mult': 1.8734804129615705, 'bear_tsl_mult': 0.651745142622019, 'bear_time_stop': 207, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.1636766481217244, 'sideways_rsi_os': 28, 'sideways_rsi_ob': 79, 'sideways_adx_thresh': 22.87460559398644, 'sideways_atr_min_pct': 0.02325611934015839, 'sideways_atr_max_pct': 0.07339859283832352, 'sideways_tp_mult': 1.6123071981018606, 'sideways_tsl_mult': 0.9445460166585601, 'sideways_time_stop': 16, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-09-01 13:54:28,218] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 10, 'p_std': 37, 'p_atr': 18, 'p_adx': 25, 'rsi_period': 11, 'ema1': 22, 'ema2': 55, 'slip_atr_k': 0.15923219243579953, 'slip_spread_k': 0.13602634548879844, 'spread_hl_frac': 0.014902034696512512, 'bb_std_mult': 0.8795643231373409, 'rsi_os': 7, 'rsi_ob': 82, 'vol_spike': 0.22297777908479124, 'adx_thresh': 17.543803110296956, 'atr_min_pct': 0.016436412665358797, 'atr_max_pct': 0.1396303854324142, 'tp_mult': 2.4686354495184895, 'tsl_mult': 0.5151478693401789, 'strategy': 'breakout', 'time_stop': 29, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.931949062048994, 'edge_cap': 0.10000950591126022, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.596985374144432, 'bull_rsi_os': 42, 'bull_rsi_ob': 71, 'bull_adx_thresh': 30.91240614245669, 'bull_atr_min_pct': 0.012587862027314581, 'bull_atr_max_pct': 0.040607984667230666, 'bull_tp_mult': 2.2948021670700713, 'bull_tsl_mult': 0.8133235341144134, 'bull_time_stop': 180, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.611539300258572, 'bear_rsi_os': 41, 'bear_rsi_ob': 60, 'bear_adx_thresh': 10.557496712623726, 'bear_atr_min_pct': 0.021253374462311528, 'bear_atr_max_pct': 0.12451043478276395, 'bear_tp_mult': 2.4813988978122437, 'bear_tsl_mult': 0.6383122108794094, 'bear_time_stop': 100, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.2966355533057445, 'sideways_rsi_os': 37, 'sideways_rsi_ob': 91, 'sideways_adx_thresh': 31.43779594119887, 'sideways_atr_min_pct': 0.004753514052855992, 'sideways_atr_max_pct': 0.04891580073136479, 'sideways_tp_mult': 2.9513367259089947, 'sideways_tsl_mult': 0.2399480706509054, 'sideways_time_stop': 74, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:54:28,425] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 30, 'p_std': 28, 'p_atr': 10, 'p_adx': 14, 'rsi_period': 66, 'ema1': 5, 'ema2': 28, 'slip_atr_k': 0.19691221589391944, 'slip_spread_k': 0.3421078766295529, 'spread_hl_frac': 0.004469435695186624, 'bb_std_mult': 3.242185074830393, 'rsi_os': 36, 'rsi_ob': 51, 'vol_spike': 0.022751943045842247, 'adx_thresh': 20.167043127028336, 'atr_min_pct': 0.006978322801556362, 'atr_max_pct': 0.14950955369732216, 'tp_mult': 2.3411866749352876, 'tsl_mult': 0.3117802380880328, 'strategy': 'breakout', 'time_stop': 251, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4707227397866134, 'edge_cap': 0.09817918946846477, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.2726073477816398, 'bull_rsi_os': 18, 'bull_rsi_ob': 83, 'bull_adx_thresh': 31.319979363207317, 'bull_atr_min_pct': 0.004242485029949307, 'bull_atr_max_pct': 0.013284876700623775, 'bull_tp_mult': 2.9037831026415257, 'bull_tsl_mult': 0.7852837020049933, 'bull_time_stop': 20, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.4951558595096053, 'bear_rsi_os': 35, 'bear_rsi_ob': 49, 'bear_adx_thresh': 20.51748676854766, 'bear_atr_min_pct': 0.011531162112706404, 'bear_atr_max_pct': 0.05911977401490779, 'bear_tp_mult': 1.880577411961437, 'bear_tsl_mult': 0.8958577197803256, 'bear_time_stop': 97, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.713332527335571, 'sideways_rsi_os': 37, 'sideways_rsi_ob': 60, 'sideways_adx_thresh': 33.14712098797444, 'sideways_atr_min_pct': 0.0003716389213277471, 'sideways_atr_max_pct': 0.12585959823805895, 'sideways_tp_mult': 1.6407830811406747, 'sideways_tsl_mult': 0.1358865703247547, 'sideways_time_stop': 269, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:54:28,433] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 32, 'p_std': 35, 'p_atr': 30, 'p_adx': 21, 'rsi_period': 83, 'ema1': 13, 'ema2': 27, 'slip_atr_k': 0.06136363156125124, 'slip_spread_k': 0.4690047459249618, 'spread_hl_frac': 0.04272589966557375, 'bb_std_mult': 2.806328335720906, 'rsi_os': 28, 'rsi_ob': 51, 'vol_spike': 0.0160829937465772, 'adx_thresh': 27.173336541656234, 'atr_min_pct': 0.023429070121634706, 'atr_max_pct': 0.010964762020312577, 'tp_mult': 1.7736828180995543, 'tsl_mult': 0.36272782465963904, 'strategy': 'breakout', 'time_stop': 81, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.5932380510503932, 'edge_cap': 0.9327856710928696, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.146318990064262, 'bull_rsi_os': 20, 'bull_rsi_ob': 58, 'bull_adx_thresh': 12.294995205879772, 'bull_atr_min_pct': 0.004731119002748357, 'bull_atr_max_pct': 0.0471451878054371, 'bull_tp_mult': 1.4608317152580335, 'bull_tsl_mult': 0.5769543757678983, 'bull_time_stop': 187, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.9296194472664345, 'bear_rsi_os': 23, 'bear_rsi_ob': 93, 'bear_adx_thresh': 27.94329474212148, 'bear_atr_min_pct': 0.023242364726843396, 'bear_atr_max_pct': 0.053766183489219015, 'bear_tp_mult': 2.2191819045833436, 'bear_tsl_mult': 0.8411921095205586, 'bear_time_stop': 96, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.2404654695609496, 'sideways_rsi_os': 18, 'sideways_rsi_ob': 92, 'sideways_adx_thresh': 16.775745782753653, 'sideways_atr_min_pct': 0.012787893599774633, 'sideways_atr_max_pct': 0.04592328770497594, 'sideways_tp_mult': 1.6864309235585668, 'sideways_tsl_mult': 0.6161476980880859, 'sideways_time_stop': 7, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-09-01 13:54:28,435] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 22, 'p_atr': 9, 'p_adx': 27, 'rsi_period': 69, 'ema1': 17, 'ema2': 55, 'slip_atr_k': 0.18225265692384718, 'slip_spread_k': 0.2730141035406207, 'spread_hl_frac': 0.0018103178278167432, 'bb_std_mult': 1.9011264272809112, 'rsi_os': 25, 'rsi_ob': 64, 'vol_spike': 0.159593376870819, 'adx_thresh': 9.331083959145982, 'atr_min_pct': 0.019777394725543813, 'atr_max_pct': 0.019717184074368337, 'tp_mult': 2.1921739256544996, 'tsl_mult': 0.6996723184939246, 'strategy': 'breakout', 'time_stop': 190, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.15583900521303407, 'edge_cap': 0.1772573745737445, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.334182051394001, 'bull_rsi_os': 54, 'bull_rsi_ob': 94, 'bull_adx_thresh': 25.671265209082442, 'bull_atr_min_pct': 0.011552177622904558, 'bull_atr_max_pct': 0.010117466857233649, 'bull_tp_mult': 2.4885383423375327, 'bull_tsl_mult': 0.23760126451275942, 'bull_time_stop': 144, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.8397537154026593, 'bear_rsi_os': 21, 'bear_rsi_ob': 83, 'bear_adx_thresh': 27.49906274510264, 'bear_atr_min_pct': 0.005916680476544963, 'bear_atr_max_pct': 0.030629337802057503, 'bear_tp_mult': 1.6226077277173527, 'bear_tsl_mult': 0.42340890661182007, 'bear_time_stop': 226, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.291368807382643, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 49, 'sideways_adx_thresh': 9.168635666723858, 'sideways_atr_min_pct': 0.0017110104263898462, 'sideways_atr_max_pct': 0.10406836094566406, 'sideways_tp_mult': 1.2900962874922448, 'sideways_tsl_mult': 0.12072560055041093, 'sideways_time_stop': 282, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-09-01 13:55:04,039] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 20, 'p_atr': 18, 'p_adx': 29, 'rsi_period': 70, 'ema1': 5, 'ema2': 25, 'slip_atr_k': 0.20905361106476472, 'slip_spread_k': 0.5927819311648025, 'spread_hl_frac': 0.0009105566384681797, 'bb_std_mult': 1.9395673743198636, 'rsi_os': 9, 'rsi_ob': 74, 'vol_spike': 0.2849488391694688, 'adx_thresh': 23.700403237387473, 'atr_min_pct': 0.00161248615051082, 'atr_max_pct': 0.04330772432546286, 'tp_mult': 1.529200606497746, 'tsl_mult': 0.9046806495384, 'strategy': 'breakout', 'time_stop': 57, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.1548802577475239, 'edge_cap': 0.6135789724546103, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.5714259995102005, 'bull_rsi_os': 25, 'bull_rsi_ob': 71, 'bull_adx_thresh': 34.39924588789204, 'bull_atr_min_pct': 0.016184609725599347, 'bull_atr_max_pct': 0.07228099099251963, 'bull_tp_mult': 1.1593637374897128, 'bull_tsl_mult': 0.6835289873701609, 'bull_time_stop': 209, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.885221598252732, 'bear_rsi_os': 38, 'bear_rsi_ob': 73, 'bear_adx_thresh': 17.83471656456146, 'bear_atr_min_pct': 0.01768031470541764, 'bear_atr_max_pct': 0.028003732512934545, 'bear_tp_mult': 2.2486301281394403, 'bear_tsl_mult': 0.6257554181388784, 'bear_time_stop': 64, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 1.1723834854617328, 'sideways_rsi_os': 17, 'sideways_rsi_ob': 73, 'sideways_adx_thresh': 11.651190592315313, 'sideways_atr_min_pct': 0.019426507676248237, 'sideways_atr_max_pct': 0.13108364169489792, 'sideways_tp_mult': 1.2171089796578336, 'sideways_tsl_mult': 0.7290828565953198, 'sideways_time_stop': 84, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:55:04,487] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 29, 'p_std': 47, 'p_atr': 9, 'p_adx': 8, 'rsi_period': 29, 'ema1': 9, 'ema2': 38, 'slip_atr_k': 0.13917308394739691, 'slip_spread_k': 0.6889567345601113, 'spread_hl_frac': 0.040812204426311186, 'bb_std_mult': 3.5870487979362853, 'rsi_os': 8, 'rsi_ob': 51, 'vol_spike': 0.2820570548679359, 'adx_thresh': 14.313035875190428, 'atr_min_pct': 0.026780843884444926, 'atr_max_pct': 0.0642436699016086, 'tp_mult': 2.8858080476964396, 'tsl_mult': 0.8572678382598886, 'strategy': 'mean_reversion', 'time_stop': 288, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.6960343494162509, 'edge_cap': 0.8799936795053898, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.381753328334642, 'bull_rsi_os': 14, 'bull_rsi_ob': 81, 'bull_adx_thresh': 14.732919650302636, 'bull_atr_min_pct': 0.029255360751834783, 'bull_atr_max_pct': 0.13594105121767824, 'bull_tp_mult': 1.5990795064452668, 'bull_tsl_mult': 0.5603367502534379, 'bull_time_stop': 234, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.279100693065177, 'bear_rsi_os': 27, 'bear_rsi_ob': 70, 'bear_adx_thresh': 9.314609589836117, 'bear_atr_min_pct': 0.00534530243629299, 'bear_atr_max_pct': 0.13232383603548065, 'bear_tp_mult': 1.136550645595132, 'bear_tsl_mult': 0.7843703126861686, 'bear_time_stop': 126, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 3.466859888146928, 'sideways_rsi_os': 11, 'sideways_rsi_ob': 59, 'sideways_adx_thresh': 34.436901860555814, 'sideways_atr_min_pct': 0.015229728330120648, 'sideways_atr_max_pct': 0.12810931187051366, 'sideways_tp_mult': 1.0567091416571897, 'sideways_tsl_mult': 0.9067462371938506, 'sideways_time_stop': 248, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:55:04,987] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 7, 'p_std': 23, 'p_atr': 27, 'p_adx': 15, 'rsi_period': 71, 'ema1': 11, 'ema2': 18, 'slip_atr_k': 0.0645258822206902, 'slip_spread_k': 0.14426116561546154, 'spread_hl_frac': 0.024723063646547624, 'bb_std_mult': 2.052554518198542, 'rsi_os': 22, 'rsi_ob': 84, 'vol_spike': 0.1613891097300336, 'adx_thresh': 29.02100272678067, 'atr_min_pct': 0.0016199697559873937, 'atr_max_pct': 0.04844393385808808, 'tp_mult': 2.6240457087684144, 'tsl_mult': 0.49255334395442707, 'strategy': 'breakout', 'time_stop': 250, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.5681161181149883, 'edge_cap': 0.3329492737679866, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.5930338132730186, 'bull_rsi_os': 7, 'bull_rsi_ob': 73, 'bull_adx_thresh': 31.41064304914579, 'bull_atr_min_pct': 0.017091539867579546, 'bull_atr_max_pct': 0.03288925408587474, 'bull_tp_mult': 2.9137145401579065, 'bull_tsl_mult': 0.6835950523393759, 'bull_time_stop': 177, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 1.0776720019590793, 'bear_rsi_os': 18, 'bear_rsi_ob': 63, 'bear_adx_thresh': 9.685964728129319, 'bear_atr_min_pct': 0.00301891165261809, 'bear_atr_max_pct': 0.08510087023413485, 'bear_tp_mult': 2.2126641861111445, 'bear_tsl_mult': 0.6490452347164617, 'bear_time_stop': 241, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.447788103144139, 'sideways_rsi_os': 15, 'sideways_rsi_ob': 94, 'sideways_adx_thresh': 19.431733924203208, 'sideways_atr_min_pct': 0.018770629720239584, 'sideways_atr_max_pct': 0.13592321871551738, 'sideways_tp_mult': 1.957640669619397, 'sideways_tsl_mult': 0.890468144882537, 'sideways_time_stop': 71, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-09-01 13:55:05,278] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 33, 'p_std': 32, 'p_atr': 9, 'p_adx': 10, 'rsi_period': 21, 'ema1': 8, 'ema2': 44, 'slip_atr_k': 0.13200635336603464, 'slip_spread_k': 0.020666234339632994, 'spread_hl_frac': 0.02404113257440705, 'bb_std_mult': 0.5586750259806993, 'rsi_os': 32, 'rsi_ob': 91, 'vol_spike': 0.10318134405560421, 'adx_thresh': 29.358237520203357, 'atr_min_pct': 0.010859934848436248, 'atr_max_pct': 0.12477400238160247, 'tp_mult': 2.7095902300030907, 'tsl_mult': 0.11191094204664909, 'strategy': 'breakout', 'time_stop': 181, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3304598772823804, 'edge_cap': 0.9116726192612458, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.663557280859716, 'bull_rsi_os': 53, 'bull_rsi_ob': 80, 'bull_adx_thresh': 24.891275898441577, 'bull_atr_min_pct': 0.016041505733479244, 'bull_atr_max_pct': 0.0582463805913825, 'bull_tp_mult': 1.112459529986566, 'bull_tsl_mult': 0.619261995639119, 'bull_time_stop': 238, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.603542215507063, 'bear_rsi_os': 26, 'bear_rsi_ob': 82, 'bear_adx_thresh': 28.73296793375738, 'bear_atr_min_pct': 0.0011171885585201412, 'bear_atr_max_pct': 0.13503361093276403, 'bear_tp_mult': 2.1161921564848574, 'bear_tsl_mult': 0.15024710004329445, 'bear_time_stop': 140, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.2979976437319958, 'sideways_rsi_os': 14, 'sideways_rsi_ob': 63, 'sideways_adx_thresh': 27.471495413510205, 'sideways_atr_min_pct': 0.013197093397760247, 'sideways_atr_max_pct': 0.046127300183413815, 'sideways_tp_mult': 1.9877050245143921, 'sideways_tsl_mult': 0.04370078309631653, 'sideways_time_stop': 249, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
