number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.0025867818407881993,-0.002506911341786999,-1000000000.0,1000000000.0,-0.0025867818407881993,-0.002506911341786999,77.0,breakout,1,"{""adx_thresh"": 7.294642762276158, ""atr_max_pct"": 0.13338218387136103, ""atr_min_pct"": 0.004764631981042546, ""bb_std_mult"": 2.6242479594912034, ""edge_cap"": 0.0856877692835362, ""edge_k"": 0.1594657001940143, ""ema1"": 5, ""ema2"": 37, ""p_adx"": 19, ""p_atr"": 10, ""p_sma"": 43, ""p_std"": 21, ""rsi_ob"": 93, ""rsi_os"": 17, ""rsi_period"": 45, ""rsi_required"": true, ""slip_atr_k"": 0.11067199416635545, ""slip_spread_k"": 0.8650514291130975, ""spread_hl_frac"": 0.022017046520436453, ""strategy"": ""breakout"", ""time_stop"": 98, ""tp_mult"": 2.1082754295753454, ""tsl_mult"": 0.3129461681781184, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0672004611005546}"
1,-0.0051471059000567365,-0.00528883659504084,-0.0051471059000567365,0.00528883659504084,-0.0051471059000567365,-0.00528883659504084,414.0,breakout,1,"{""adx_thresh"": 30.528553670004342, ""atr_max_pct"": 0.1193125796438834, ""atr_min_pct"": 0.003221962045748313, ""bb_std_mult"": 2.653003403220679, ""edge_cap"": 0.15058323774008073, ""edge_k"": 1.0612070601784833, ""ema1"": 19, ""ema2"": 34, ""p_adx"": 19, ""p_atr"": 22, ""p_sma"": 46, ""p_std"": 9, ""rsi_ob"": 59, ""rsi_os"": 23, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.006695455066274253, ""slip_spread_k"": 0.7990324581351047, ""spread_hl_frac"": 0.02844158165956595, ""strategy"": ""breakout"", ""time_stop"": 41, ""tp_mult"": 2.41938523091623, ""tsl_mult"": 0.8260064693607472, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2296577035535775}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 19.219156443127357, ""atr_max_pct"": 0.08935632638941618, ""atr_min_pct"": 0.015919504604233393, ""bb_std_mult"": 1.2085230813869996, ""edge_cap"": 0.7866692377182738, ""edge_k"": 0.25189092648671574, ""ema1"": 21, ""ema2"": 16, ""p_adx"": 19, ""p_atr"": 30, ""p_sma"": 34, ""p_std"": 32, ""rsi_ob"": 49, ""rsi_os"": 8, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.11423889972289869, ""slip_spread_k"": 0.5553769785535653, ""spread_hl_frac"": 0.041649121170087594, ""strategy"": ""breakout"", ""time_stop"": 213, ""tp_mult"": 1.4028099798395874, ""tsl_mult"": 0.8821940965155732, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2394120002121107}"
3,-0.00019252117751400455,-6.454202891594652e-05,-1000000000.0,1000000000.0,-0.00019252117751400455,-6.454202891594652e-05,2.0,mean_reversion,1,"{""adx_thresh"": 31.1883342435801, ""atr_max_pct"": 0.14588350792175916, ""atr_min_pct"": 0.006566614344369622, ""bb_std_mult"": 2.2509476260908325, ""edge_cap"": 0.9688420417652855, ""edge_k"": 0.7774134315875973, ""ema1"": 17, ""ema2"": 15, ""p_adx"": 21, ""p_atr"": 26, ""p_sma"": 20, ""p_std"": 20, ""rsi_ob"": 80, ""rsi_os"": 48, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.03753588190080981, ""slip_spread_k"": 0.7010988694250375, ""spread_hl_frac"": 0.004234931160036287, ""strategy"": ""mean_reversion"", ""time_stop"": 259, ""tp_mult"": 1.5694147458416325, ""tsl_mult"": 0.8791431914405414, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19693959567798572}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 8.188585112236268, ""atr_max_pct"": 0.14756307051252815, ""atr_min_pct"": 0.026563240000470157, ""bb_std_mult"": 2.0155038564329786, ""edge_cap"": 0.55532057970411, ""edge_k"": 1.605837915169081, ""ema1"": 29, ""ema2"": 21, ""p_adx"": 11, ""p_atr"": 7, ""p_sma"": 59, ""p_std"": 51, ""rsi_ob"": 57, ""rsi_os"": 6, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.03873910001578468, ""slip_spread_k"": 0.7388977595853625, ""spread_hl_frac"": 0.00945939582767959, ""strategy"": ""breakout"", ""time_stop"": 269, ""tp_mult"": 2.6223983392322645, ""tsl_mult"": 0.17133369504351592, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05911646993410725}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 30.663638225351463, ""atr_max_pct"": 0.09352288682051214, ""atr_min_pct"": 0.018676078999679883, ""bb_std_mult"": 0.619042931015021, ""edge_cap"": 0.8315004291692876, ""edge_k"": 0.02069365568693038, ""ema1"": 26, ""ema2"": 38, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 25, ""p_std"": 28, ""rsi_ob"": 64, ""rsi_os"": 13, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.15641523075077085, ""slip_spread_k"": 0.6229429847596358, ""spread_hl_frac"": 0.033273916104331155, ""strategy"": ""mean_reversion"", ""time_stop"": 32, ""tp_mult"": 2.6759473134141936, ""tsl_mult"": 0.5280851734894784, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.22720956898149755}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 31.134876283463093, ""atr_max_pct"": 0.12358559383437444, ""atr_min_pct"": 0.01670618769461148, ""bb_std_mult"": 2.1214401802438196, ""edge_cap"": 0.6433001103031208, ""edge_k"": 0.12125980314795215, ""ema1"": 23, ""ema2"": 47, ""p_adx"": 23, ""p_atr"": 13, ""p_sma"": 11, ""p_std"": 17, ""rsi_ob"": 61, ""rsi_os"": 19, ""rsi_period"": 33, ""rsi_required"": false, ""slip_atr_k"": 0.23000078994528686, ""slip_spread_k"": 0.8361816365608707, ""spread_hl_frac"": 0.02096880463749728, ""strategy"": ""breakout"", ""time_stop"": 205, ""tp_mult"": 2.4215475821316814, ""tsl_mult"": 0.39495544161945784, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2706460667286464}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.492709320281314, ""atr_max_pct"": 0.017271586929203265, ""atr_min_pct"": 0.001052059560233889, ""bb_std_mult"": 2.011096800350031, ""edge_cap"": 0.28178943780005633, ""edge_k"": 1.1486489999791327, ""ema1"": 6, ""ema2"": 26, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 16, ""p_std"": 10, ""rsi_ob"": 47, ""rsi_os"": 42, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.21468695855628242, ""slip_spread_k"": 0.742330681942491, ""spread_hl_frac"": 0.023564713973426094, ""strategy"": ""mean_reversion"", ""time_stop"": 157, ""tp_mult"": 1.4175811272027736, ""tsl_mult"": 0.6434035434715052, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.24695849521532168}"
8,-0.00040601733303213816,-0.0007926497207547047,-1000000000.0,1000000000.0,-0.00040601733303213816,-0.0007926497207547047,11.0,breakout,1,"{""adx_thresh"": 17.00346444434812, ""atr_max_pct"": 0.11120018264875792, ""atr_min_pct"": 0.008911962280209447, ""bb_std_mult"": 0.6182538264072073, ""edge_cap"": 0.9967847551516154, ""edge_k"": 0.20966518882960106, ""ema1"": 25, ""ema2"": 14, ""p_adx"": 27, ""p_atr"": 8, ""p_sma"": 20, ""p_std"": 26, ""rsi_ob"": 64, ""rsi_os"": 15, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.12665441336483213, ""slip_spread_k"": 0.8376034129418499, ""spread_hl_frac"": 0.02843596599341008, ""strategy"": ""breakout"", ""time_stop"": 120, ""tp_mult"": 1.2397668866263059, ""tsl_mult"": 0.7332044734136366, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.27581838072585463}"
9,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 22.791205229124934, ""atr_max_pct"": 0.02728624770131095, ""atr_min_pct"": 0.0283521125151214, ""bb_std_mult"": 1.7598458889444664, ""edge_cap"": 0.6166205184697039, ""edge_k"": 1.5774303636694882, ""ema1"": 5, ""ema2"": 39, ""p_adx"": 20, ""p_atr"": 10, ""p_sma"": 15, ""p_std"": 58, ""rsi_ob"": 76, ""rsi_os"": 54, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.1492434470902119, ""slip_spread_k"": 0.11863124618180076, ""spread_hl_frac"": 0.004792495545100284, ""strategy"": ""breakout"", ""time_stop"": 87, ""tp_mult"": 2.962979142198277, ""tsl_mult"": 0.7056667279110556, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.03840664446332774}"
