number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0008177095007175783,-0.00042414551033956565,-1000000000.0,1000000000.0,0.0008177095007175783,-0.00042414551033956565,55.0,breakout,1,"{""adx_thresh"": 13.056224065490847, ""atr_max_pct"": 0.12916976667719055, ""atr_min_pct"": 0.006150877747386962, ""bb_std_mult"": 1.1833114350632312, ""edge_cap"": 0.9809321401639478, ""edge_k"": 1.6823405451388453, ""ema1"": 23, ""ema2"": 43, ""p_adx"": 11, ""p_atr"": 14, ""p_sma"": 31, ""p_std"": 20, ""rsi_ob"": 46, ""rsi_os"": 11, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.009671942111043302, ""slip_spread_k"": 0.9023850316149338, ""spread_hl_frac"": 0.04353887949655552, ""strategy"": ""breakout"", ""time_stop"": 9, ""tp_mult"": 1.369495985728341, ""tsl_mult"": 0.8965501467498171, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18025833507106173}"
1,-5.5844153337258895e-05,0.0,-1000000000.0,1000000000.0,-5.5844153337258895e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 16.67250769238262, ""atr_max_pct"": 0.07776763463504434, ""atr_min_pct"": 0.007075469112391842, ""bb_std_mult"": 2.6801594247875897, ""edge_cap"": 0.5762261529738961, ""edge_k"": 1.1416434090029728, ""ema1"": 20, ""ema2"": 29, ""p_adx"": 24, ""p_atr"": 9, ""p_sma"": 43, ""p_std"": 47, ""rsi_ob"": 59, ""rsi_os"": 18, ""rsi_period"": 12, ""rsi_required"": true, ""slip_atr_k"": 0.00623703143882548, ""slip_spread_k"": 0.06124495475370162, ""spread_hl_frac"": 0.006549303975020904, ""strategy"": ""mean_reversion"", ""time_stop"": 189, ""tp_mult"": 2.1713776493774923, ""tsl_mult"": 0.12869129391007184, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2158261451423399}"
2,-0.001134662459822855,-0.001236964252919588,-1000000000.0,1000000000.0,-0.001134662459822855,-0.001236964252919588,86.0,breakout,1,"{""adx_thresh"": 23.39696900115348, ""atr_max_pct"": 0.08758515980868287, ""atr_min_pct"": 0.004313290350700007, ""bb_std_mult"": 0.7755079526900382, ""edge_cap"": 0.28058713504614224, ""edge_k"": 1.5253956224158798, ""ema1"": 9, ""ema2"": 30, ""p_adx"": 10, ""p_atr"": 17, ""p_sma"": 19, ""p_std"": 11, ""rsi_ob"": 81, ""rsi_os"": 54, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.10199667090957426, ""slip_spread_k"": 0.38788017061747315, ""spread_hl_frac"": 0.04232542767569182, ""strategy"": ""breakout"", ""time_stop"": 246, ""tp_mult"": 2.2120150948195647, ""tsl_mult"": 0.0005720925040588742, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.21659002661271698}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 14.107762504722519, ""atr_max_pct"": 0.12054167692554643, ""atr_min_pct"": 0.022708461557775256, ""bb_std_mult"": 1.0019301177932272, ""edge_cap"": 0.845640890788288, ""edge_k"": 0.3913919558909529, ""ema1"": 27, ""ema2"": 19, ""p_adx"": 23, ""p_atr"": 30, ""p_sma"": 19, ""p_std"": 50, ""rsi_ob"": 73, ""rsi_os"": 20, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.06397962538502219, ""slip_spread_k"": 0.48962236092184164, ""spread_hl_frac"": 0.034622223902228834, ""strategy"": ""breakout"", ""time_stop"": 109, ""tp_mult"": 1.2973338023199492, ""tsl_mult"": 0.0341106568455809, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15909816873651092}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 32.063454792155646, ""atr_max_pct"": 0.05908578694498041, ""atr_min_pct"": 0.015506019920974074, ""bb_std_mult"": 1.5041907594493704, ""edge_cap"": 0.5745236547559087, ""edge_k"": 0.8465620362183959, ""ema1"": 6, ""ema2"": 48, ""p_adx"": 16, ""p_atr"": 24, ""p_sma"": 44, ""p_std"": 51, ""rsi_ob"": 68, ""rsi_os"": 17, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.044918063384930124, ""slip_spread_k"": 0.1331770269990883, ""spread_hl_frac"": 0.03407769975485779, ""strategy"": ""mean_reversion"", ""time_stop"": 218, ""tp_mult"": 1.0613227924366468, ""tsl_mult"": 0.3983937071775443, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0911193924355956}"
5,-0.0030394456932868463,-0.0029809532548344926,-1000000000.0,1000000000.0,-0.0030394456932868463,-0.0029809532548344926,165.0,mean_reversion,1,"{""adx_thresh"": 16.862815034578876, ""atr_max_pct"": 0.03203168750779543, ""atr_min_pct"": 0.003204875822950297, ""bb_std_mult"": 0.9886627518161135, ""edge_cap"": 0.23958998228393286, ""edge_k"": 0.02277613734309658, ""ema1"": 23, ""ema2"": 42, ""p_adx"": 21, ""p_atr"": 13, ""p_sma"": 41, ""p_std"": 19, ""rsi_ob"": 74, ""rsi_os"": 8, ""rsi_period"": 64, ""rsi_required"": true, ""slip_atr_k"": 0.09229891736882342, ""slip_spread_k"": 0.44612966398697196, ""spread_hl_frac"": 0.03614020621205346, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 2.788325432059047, ""tsl_mult"": 0.14677338051311595, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15353886038786183}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 15.6534868551295, ""atr_max_pct"": 0.1317727687273371, ""atr_min_pct"": 0.010686586772561648, ""bb_std_mult"": 1.7079694622725354, ""edge_cap"": 0.3612549805828786, ""edge_k"": 0.07472976087330885, ""ema1"": 29, ""ema2"": 32, ""p_adx"": 10, ""p_atr"": 17, ""p_sma"": 41, ""p_std"": 57, ""rsi_ob"": 88, ""rsi_os"": 8, ""rsi_period"": 47, ""rsi_required"": true, ""slip_atr_k"": 0.24065457917084246, ""slip_spread_k"": 0.6253017783453102, ""spread_hl_frac"": 0.03947730118342759, ""strategy"": ""breakout"", ""time_stop"": 170, ""tp_mult"": 2.0544660753426585, ""tsl_mult"": 0.6987020724495231, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05377244905123535}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.875122250607713, ""atr_max_pct"": 0.02223828103800874, ""atr_min_pct"": 0.023720547496902958, ""bb_std_mult"": 2.7182178993434145, ""edge_cap"": 0.6031861074033184, ""edge_k"": 0.8402054414153932, ""ema1"": 17, ""ema2"": 38, ""p_adx"": 20, ""p_atr"": 16, ""p_sma"": 35, ""p_std"": 40, ""rsi_ob"": 82, ""rsi_os"": 6, ""rsi_period"": 65, ""rsi_required"": true, ""slip_atr_k"": 0.1312436305685818, ""slip_spread_k"": 0.6259849799027868, ""spread_hl_frac"": 0.034034103321720126, ""strategy"": ""mean_reversion"", ""time_stop"": 281, ""tp_mult"": 2.544050811459476, ""tsl_mult"": 0.6854693881754323, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.22040642029449373}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 19.709045405475873, ""atr_max_pct"": 0.035395083850998606, ""atr_min_pct"": 0.028127651928450206, ""bb_std_mult"": 0.6606009230457878, ""edge_cap"": 0.6888070452553469, ""edge_k"": 1.0704848582752537, ""ema1"": 6, ""ema2"": 30, ""p_adx"": 12, ""p_atr"": 17, ""p_sma"": 60, ""p_std"": 45, ""rsi_ob"": 67, ""rsi_os"": 27, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.22091139540466467, ""slip_spread_k"": 0.06672297315060649, ""spread_hl_frac"": 0.03222232810369125, ""strategy"": ""mean_reversion"", ""time_stop"": 280, ""tp_mult"": 1.273502483580708, ""tsl_mult"": 0.35708483954607817, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10962532368583212}"
9,1.525009137970379e-05,0.0,-1000000000.0,1000000000.0,1.525009137970379e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 18.626916391926542, ""atr_max_pct"": 0.06717913427636558, ""atr_min_pct"": 0.009735283078065572, ""bb_std_mult"": 3.327548614625703, ""edge_cap"": 0.8494211145851326, ""edge_k"": 1.5930908265907986, ""ema1"": 23, ""ema2"": 10, ""p_adx"": 14, ""p_atr"": 29, ""p_sma"": 24, ""p_std"": 32, ""rsi_ob"": 82, ""rsi_os"": 6, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.17661883154129973, ""slip_spread_k"": 0.504045258145883, ""spread_hl_frac"": 0.04048130166396326, ""strategy"": ""mean_reversion"", ""time_stop"": 176, ""tp_mult"": 2.244730677399442, ""tsl_mult"": 0.9557249090737718, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1134942460264805}"
