2025-08-29 21:39:56,032 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 21:39:56,044] A new study created in memory with name: no-name-0b51c4fa-ca12-414a-8214-47e1c9ef3da0
[I 2025-08-29 21:40:23,715] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 42, 'p_std': 8, 'p_atr': 26, 'p_adx': 16, 'rsi_period': 27, 'ema1': 18, 'ema2': 45, 'slip_atr_k': 0.1524604903301387, 'slip_spread_k': 0.35998577534359133, 'spread_hl_frac': 0.013851601430281607, 'bb_std_mult': 1.5349069853248445, 'rsi_os': 18, 'rsi_ob': 74, 'vol_spike': 0.2521943997729897, 'adx_thresh': 15.112527820085367, 'atr_min_pct': 0.007664638465428408, 'atr_max_pct': 0.0630671401003048, 'tp_mult': 2.741526437442207, 'tsl_mult': 0.6774365553854252, 'strategy': 'mean_reversion', 'time_stop': 86, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.3057743798215093, 'edge_cap': 0.8770864576046445}.
[I 2025-08-29 21:40:24,028] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 47, 'p_std': 49, 'p_atr': 13, 'p_adx': 7, 'rsi_period': 67, 'ema1': 27, 'ema2': 14, 'slip_atr_k': 0.02961173831285563, 'slip_spread_k': 0.21756859765431524, 'spread_hl_frac': 0.028598325553254207, 'bb_std_mult': 3.326899699457591, 'rsi_os': 36, 'rsi_ob': 53, 'vol_spike': 0.017338991172519833, 'adx_thresh': 27.343590681669827, 'atr_min_pct': 0.015695012280673763, 'atr_max_pct': 0.06836721939400092, 'tp_mult': 1.7884045139480722, 'tsl_mult': 0.9401373967653442, 'strategy': 'mean_reversion', 'time_stop': 215, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.5591717214269452, 'edge_cap': 0.054207476574339636}.
[I 2025-08-29 21:40:24,157] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 57, 'p_std': 53, 'p_atr': 10, 'p_adx': 13, 'rsi_period': 25, 'ema1': 24, 'ema2': 50, 'slip_atr_k': 0.1940351011819116, 'slip_spread_k': 0.48167647198186214, 'spread_hl_frac': 0.006464809887823814, 'bb_std_mult': 1.1498782993950647, 'rsi_os': 5, 'rsi_ob': 88, 'vol_spike': 0.14691922460887386, 'adx_thresh': 16.698609472218127, 'atr_min_pct': 0.005391415658594756, 'atr_max_pct': 0.11757977349272147, 'tp_mult': 2.929375676089641, 'tsl_mult': 0.3901317604938802, 'strategy': 'breakout', 'time_stop': 158, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.2568934565686343, 'edge_cap': 0.7688880137710365}.
[I 2025-08-29 21:40:24,230] Trial 3 finished with values: [-0.03852590661091604, 0.03851430519128365] and parameters: {'p_sma': 14, 'p_std': 14, 'p_atr': 9, 'p_adx': 19, 'rsi_period': 78, 'ema1': 24, 'ema2': 16, 'slip_atr_k': 0.05767691378782816, 'slip_spread_k': 0.5479747264088638, 'spread_hl_frac': 0.015249974253296151, 'bb_std_mult': 1.4712046851801932, 'rsi_os': 47, 'rsi_ob': 52, 'vol_spike': 0.031092799345112453, 'adx_thresh': 7.603438167883989, 'atr_min_pct': 0.0004055127456854956, 'atr_max_pct': 0.0657067645648385, 'tp_mult': 2.731791345011799, 'tsl_mult': 0.2727752149070741, 'strategy': 'breakout', 'time_stop': 78, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4470083752871168, 'edge_cap': 0.2959882236577708}.
[I 2025-08-29 21:40:50,769] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 50, 'p_atr': 27, 'p_adx': 29, 'rsi_period': 27, 'ema1': 19, 'ema2': 30, 'slip_atr_k': 0.23467659682158062, 'slip_spread_k': 0.18378814017932943, 'spread_hl_frac': 0.03007534320749468, 'bb_std_mult': 3.1967977883365775, 'rsi_os': 18, 'rsi_ob': 90, 'vol_spike': 0.21077303627491203, 'adx_thresh': 31.52316469659203, 'atr_min_pct': 0.024305046348503424, 'atr_max_pct': 0.0542595135459926, 'tp_mult': 2.0666226605665488, 'tsl_mult': 0.729604135889097, 'strategy': 'breakout', 'time_stop': 104, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.3073410231099074, 'edge_cap': 0.487073837454793}.
[I 2025-08-29 21:40:51,618] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 15, 'p_std': 41, 'p_atr': 15, 'p_adx': 25, 'rsi_period': 20, 'ema1': 30, 'ema2': 44, 'slip_atr_k': 0.17187505698162941, 'slip_spread_k': 0.9933238050046651, 'spread_hl_frac': 0.02796715210821925, 'bb_std_mult': 3.152691635699806, 'rsi_os': 47, 'rsi_ob': 56, 'vol_spike': 0.1758050972719194, 'adx_thresh': 5.596183923680567, 'atr_min_pct': 0.026545740028738683, 'atr_max_pct': 0.060279293148126696, 'tp_mult': 1.13772223127022, 'tsl_mult': 0.9534703227394159, 'strategy': 'mean_reversion', 'time_stop': 195, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.654020985190654, 'edge_cap': 0.7615526767362878}.
[I 2025-08-29 21:40:51,901] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 39, 'p_atr': 28, 'p_adx': 21, 'rsi_period': 76, 'ema1': 7, 'ema2': 18, 'slip_atr_k': 0.11334191207378083, 'slip_spread_k': 0.7240171848328781, 'spread_hl_frac': 0.013475279153600628, 'bb_std_mult': 2.6887800323444773, 'rsi_os': 37, 'rsi_ob': 89, 'vol_spike': 0.15186071227785794, 'adx_thresh': 6.138201830148392, 'atr_min_pct': 0.013606842595040343, 'atr_max_pct': 0.05557944881939095, 'tp_mult': 2.4705010142397033, 'tsl_mult': 0.013702176720515657, 'strategy': 'breakout', 'time_stop': 204, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.0901655221444817, 'edge_cap': 0.7917948872104399}.
[I 2025-08-29 21:40:52,193] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 41, 'p_std': 36, 'p_atr': 9, 'p_adx': 27, 'rsi_period': 28, 'ema1': 7, 'ema2': 43, 'slip_atr_k': 0.14322605280424916, 'slip_spread_k': 0.7565430012641369, 'spread_hl_frac': 0.02349198743422573, 'bb_std_mult': 1.7853074105485807, 'rsi_os': 30, 'rsi_ob': 63, 'vol_spike': 0.2707227115502681, 'adx_thresh': 33.34312801308124, 'atr_min_pct': 0.005171082824449422, 'atr_max_pct': 0.08245809333902333, 'tp_mult': 1.4580753592507407, 'tsl_mult': 0.5194176224243513, 'strategy': 'breakout', 'time_stop': 270, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.9849676563507839, 'edge_cap': 0.1560539281223429}.
[I 2025-08-29 21:41:18,552] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 41, 'p_atr': 26, 'p_adx': 18, 'rsi_period': 12, 'ema1': 28, 'ema2': 54, 'slip_atr_k': 0.1079343701910506, 'slip_spread_k': 0.3368395261128363, 'spread_hl_frac': 0.03717776555693938, 'bb_std_mult': 1.0634495092246745, 'rsi_os': 49, 'rsi_ob': 59, 'vol_spike': 0.1684868532444562, 'adx_thresh': 7.98976700516231, 'atr_min_pct': 0.028454743967185666, 'atr_max_pct': 0.12112856815573048, 'tp_mult': 2.8584757822605096, 'tsl_mult': 0.6451197891221596, 'strategy': 'mean_reversion', 'time_stop': 268, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4099485962013238, 'edge_cap': 0.6247405762830333}.
[I 2025-08-29 21:41:19,277] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 39, 'p_atr': 29, 'p_adx': 26, 'rsi_period': 54, 'ema1': 29, 'ema2': 54, 'slip_atr_k': 0.08848444240829165, 'slip_spread_k': 0.5996765780002351, 'spread_hl_frac': 0.021934455070679478, 'bb_std_mult': 3.241061962331515, 'rsi_os': 28, 'rsi_ob': 83, 'vol_spike': 0.06262803622827592, 'adx_thresh': 17.70951675276832, 'atr_min_pct': 0.025354285711787432, 'atr_max_pct': 0.10557818300154762, 'tp_mult': 2.8957887056227882, 'tsl_mult': 0.9441956512258347, 'strategy': 'breakout', 'time_stop': 144, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.17028000085692074, 'edge_cap': 0.9606123132013082}.
[I 2025-08-29 21:41:19,677] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 48, 'p_std': 47, 'p_atr': 8, 'p_adx': 16, 'rsi_period': 84, 'ema1': 11, 'ema2': 12, 'slip_atr_k': 0.17911674006151462, 'slip_spread_k': 0.4854154943419148, 'spread_hl_frac': 0.023912762195205706, 'bb_std_mult': 1.2412821077123077, 'rsi_os': 46, 'rsi_ob': 74, 'vol_spike': 0.11483802956790978, 'adx_thresh': 20.777240251000784, 'atr_min_pct': 0.026695934231528246, 'atr_max_pct': 0.028878651901241142, 'tp_mult': 1.7993080482607313, 'tsl_mult': 0.5382465567900697, 'strategy': 'breakout', 'time_stop': 202, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.49531732376851867, 'edge_cap': 0.9713510025548652}.
