number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 27.343590681669827, ""atr_max_pct"": 0.06836721939400092, ""atr_min_pct"": 0.015695012280673763, ""bb_std_mult"": 3.326899699457591, ""edge_cap"": 0.054207476574339636, ""edge_k"": 0.5591717214269452, ""ema1"": 27, ""ema2"": 14, ""p_adx"": 7, ""p_atr"": 13, ""p_sma"": 47, ""p_std"": 49, ""rsi_ob"": 53, ""rsi_os"": 36, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.02961173831285563, ""slip_spread_k"": 0.21756859765431524, ""spread_hl_frac"": 0.028598325553254207, ""strategy"": ""mean_reversion"", ""time_stop"": 215, ""tp_mult"": 1.7884045139480722, ""tsl_mult"": 0.9401373967653442, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.017338991172519833}"
1,3.0094822891735262e-05,-0.00011289502910607117,-1000000000.0,1000000000.0,3.0094822891735262e-05,-0.00011289502910607117,14.0,mean_reversion,1,"{""adx_thresh"": 15.112527820085367, ""atr_max_pct"": 0.0630671401003048, ""atr_min_pct"": 0.007664638465428408, ""bb_std_mult"": 1.5349069853248445, ""edge_cap"": 0.8770864576046445, ""edge_k"": 1.3057743798215093, ""ema1"": 18, ""ema2"": 45, ""p_adx"": 16, ""p_atr"": 26, ""p_sma"": 42, ""p_std"": 8, ""rsi_ob"": 74, ""rsi_os"": 18, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.1524604903301387, ""slip_spread_k"": 0.35998577534359133, ""spread_hl_frac"": 0.013851601430281607, ""strategy"": ""mean_reversion"", ""time_stop"": 86, ""tp_mult"": 2.741526437442207, ""tsl_mult"": 0.6774365553854252, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2521943997729897}"
2,-0.0005806980845692866,-0.0005783490804361858,-1000000000.0,1000000000.0,-0.0005806980845692866,-0.0005783490804361858,54.0,breakout,1,"{""adx_thresh"": 16.698609472218127, ""atr_max_pct"": 0.11757977349272147, ""atr_min_pct"": 0.005391415658594756, ""bb_std_mult"": 1.1498782993950647, ""edge_cap"": 0.7688880137710365, ""edge_k"": 1.2568934565686343, ""ema1"": 24, ""ema2"": 50, ""p_adx"": 13, ""p_atr"": 10, ""p_sma"": 57, ""p_std"": 53, ""rsi_ob"": 88, ""rsi_os"": 5, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.1940351011819116, ""slip_spread_k"": 0.48167647198186214, ""spread_hl_frac"": 0.006464809887823814, ""strategy"": ""breakout"", ""time_stop"": 158, ""tp_mult"": 2.929375676089641, ""tsl_mult"": 0.3901317604938802, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14691922460887386}"
3,-0.03852590661091604,-0.03851430519128365,-0.03852590661091604,0.03851430519128365,-0.03852590661091604,-0.03851430519128365,4984.0,breakout,1,"{""adx_thresh"": 7.603438167883989, ""atr_max_pct"": 0.0657067645648385, ""atr_min_pct"": 0.0004055127456854956, ""bb_std_mult"": 1.4712046851801932, ""edge_cap"": 0.2959882236577708, ""edge_k"": 1.4470083752871168, ""ema1"": 24, ""ema2"": 16, ""p_adx"": 19, ""p_atr"": 9, ""p_sma"": 14, ""p_std"": 14, ""rsi_ob"": 52, ""rsi_os"": 47, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.05767691378782816, ""slip_spread_k"": 0.5479747264088638, ""spread_hl_frac"": 0.015249974253296151, ""strategy"": ""breakout"", ""time_stop"": 78, ""tp_mult"": 2.731791345011799, ""tsl_mult"": 0.2727752149070741, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.031092799345112453}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 31.52316469659203, ""atr_max_pct"": 0.0542595135459926, ""atr_min_pct"": 0.024305046348503424, ""bb_std_mult"": 3.1967977883365775, ""edge_cap"": 0.487073837454793, ""edge_k"": 0.3073410231099074, ""ema1"": 19, ""ema2"": 30, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 12, ""p_std"": 50, ""rsi_ob"": 90, ""rsi_os"": 18, ""rsi_period"": 27, ""rsi_required"": false, ""slip_atr_k"": 0.23467659682158062, ""slip_spread_k"": 0.18378814017932943, ""spread_hl_frac"": 0.03007534320749468, ""strategy"": ""breakout"", ""time_stop"": 104, ""tp_mult"": 2.0666226605665488, ""tsl_mult"": 0.729604135889097, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21077303627491203}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 5.596183923680567, ""atr_max_pct"": 0.060279293148126696, ""atr_min_pct"": 0.026545740028738683, ""bb_std_mult"": 3.152691635699806, ""edge_cap"": 0.7615526767362878, ""edge_k"": 1.654020985190654, ""ema1"": 30, ""ema2"": 44, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 15, ""p_std"": 41, ""rsi_ob"": 56, ""rsi_os"": 47, ""rsi_period"": 20, ""rsi_required"": false, ""slip_atr_k"": 0.17187505698162941, ""slip_spread_k"": 0.9933238050046651, ""spread_hl_frac"": 0.02796715210821925, ""strategy"": ""mean_reversion"", ""time_stop"": 195, ""tp_mult"": 1.13772223127022, ""tsl_mult"": 0.9534703227394159, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1758050972719194}"
6,-0.0007787528589034975,-0.0008327036169085904,-1000000000.0,1000000000.0,-0.0007787528589034975,-0.0008327036169085904,69.0,breakout,1,"{""adx_thresh"": 33.34312801308124, ""atr_max_pct"": 0.08245809333902333, ""atr_min_pct"": 0.005171082824449422, ""bb_std_mult"": 1.7853074105485807, ""edge_cap"": 0.1560539281223429, ""edge_k"": 1.9849676563507839, ""ema1"": 7, ""ema2"": 43, ""p_adx"": 27, ""p_atr"": 9, ""p_sma"": 41, ""p_std"": 36, ""rsi_ob"": 63, ""rsi_os"": 30, ""rsi_period"": 28, ""rsi_required"": false, ""slip_atr_k"": 0.14322605280424916, ""slip_spread_k"": 0.7565430012641369, ""spread_hl_frac"": 0.02349198743422573, ""strategy"": ""breakout"", ""time_stop"": 270, ""tp_mult"": 1.4580753592507407, ""tsl_mult"": 0.5194176224243513, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2707227115502681}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 6.138201830148392, ""atr_max_pct"": 0.05557944881939095, ""atr_min_pct"": 0.013606842595040343, ""bb_std_mult"": 2.6887800323444773, ""edge_cap"": 0.7917948872104399, ""edge_k"": 0.0901655221444817, ""ema1"": 7, ""ema2"": 18, ""p_adx"": 21, ""p_atr"": 28, ""p_sma"": 12, ""p_std"": 39, ""rsi_ob"": 89, ""rsi_os"": 37, ""rsi_period"": 76, ""rsi_required"": false, ""slip_atr_k"": 0.11334191207378083, ""slip_spread_k"": 0.7240171848328781, ""spread_hl_frac"": 0.013475279153600628, ""strategy"": ""breakout"", ""time_stop"": 204, ""tp_mult"": 2.4705010142397033, ""tsl_mult"": 0.013702176720515657, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.15186071227785794}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 7.98976700516231, ""atr_max_pct"": 0.12112856815573048, ""atr_min_pct"": 0.028454743967185666, ""bb_std_mult"": 1.0634495092246745, ""edge_cap"": 0.6247405762830333, ""edge_k"": 1.4099485962013238, ""ema1"": 28, ""ema2"": 54, ""p_adx"": 18, ""p_atr"": 26, ""p_sma"": 34, ""p_std"": 41, ""rsi_ob"": 59, ""rsi_os"": 49, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.1079343701910506, ""slip_spread_k"": 0.3368395261128363, ""spread_hl_frac"": 0.03717776555693938, ""strategy"": ""mean_reversion"", ""time_stop"": 268, ""tp_mult"": 2.8584757822605096, ""tsl_mult"": 0.6451197891221596, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1684868532444562}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 20.777240251000784, ""atr_max_pct"": 0.028878651901241142, ""atr_min_pct"": 0.026695934231528246, ""bb_std_mult"": 1.2412821077123077, ""edge_cap"": 0.9713510025548652, ""edge_k"": 0.49531732376851867, ""ema1"": 11, ""ema2"": 12, ""p_adx"": 16, ""p_atr"": 8, ""p_sma"": 48, ""p_std"": 47, ""rsi_ob"": 74, ""rsi_os"": 46, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.17911674006151462, ""slip_spread_k"": 0.4854154943419148, ""spread_hl_frac"": 0.023912762195205706, ""strategy"": ""breakout"", ""time_stop"": 202, ""tp_mult"": 1.7993080482607313, ""tsl_mult"": 0.5382465567900697, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11483802956790978}"
10,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 17.70951675276832, ""atr_max_pct"": 0.10557818300154762, ""atr_min_pct"": 0.025354285711787432, ""bb_std_mult"": 3.241061962331515, ""edge_cap"": 0.9606123132013082, ""edge_k"": 0.17028000085692074, ""ema1"": 29, ""ema2"": 54, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 31, ""p_std"": 39, ""rsi_ob"": 83, ""rsi_os"": 28, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.08848444240829165, ""slip_spread_k"": 0.5996765780002351, ""spread_hl_frac"": 0.021934455070679478, ""strategy"": ""breakout"", ""time_stop"": 144, ""tp_mult"": 2.8957887056227882, ""tsl_mult"": 0.9441956512258347, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06262803622827592}"
11,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 7.645513034999166, ""atr_max_pct"": 0.14174058729473762, ""atr_min_pct"": 0.01836739548563304, ""bb_std_mult"": 3.366037430239212, ""edge_cap"": 0.8410516858430874, ""edge_k"": 0.1896597936114537, ""ema1"": 15, ""ema2"": 23, ""p_adx"": 18, ""p_atr"": 18, ""p_sma"": 21, ""p_std"": 33, ""rsi_ob"": 89, ""rsi_os"": 26, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.24787878926237045, ""slip_spread_k"": 0.39124696055179364, ""spread_hl_frac"": 0.011931369931768483, ""strategy"": ""mean_reversion"", ""time_stop"": 243, ""tp_mult"": 2.674115940159532, ""tsl_mult"": 0.5563081410900477, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21533783970874829}"
12,0.0005083356091066804,-0.00047263162340716746,-1000000000.0,1000000000.0,0.0005083356091066804,-0.00047263162340716746,137.0,mean_reversion,1,"{""adx_thresh"": 8.707006226929996, ""atr_max_pct"": 0.07407574890967131, ""atr_min_pct"": 0.007322041126916088, ""bb_std_mult"": 1.5030105866295513, ""edge_cap"": 0.6812548368540359, ""edge_k"": 1.9255281445541832, ""ema1"": 24, ""ema2"": 18, ""p_adx"": 19, ""p_atr"": 9, ""p_sma"": 49, ""p_std"": 37, ""rsi_ob"": 95, ""rsi_os"": 40, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.012350738589175236, ""slip_spread_k"": 0.06082029148392132, ""spread_hl_frac"": 0.04628839770365825, ""strategy"": ""mean_reversion"", ""time_stop"": 187, ""tp_mult"": 2.6421475754130617, ""tsl_mult"": 0.46199119417508405, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16920983804717818}"
