number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.002305783851675902,-0.0022897787473625405,-1000000000.0,1000000000.0,-0.002305783851675902,-0.0022897787473625405,100.0,breakout,1,"{""adx_thresh"": 17.797308147416373, ""atr_max_pct"": 0.03164578691776809, ""atr_min_pct"": 0.017326729474797877, ""bb_std_mult"": 2.182095836212415, ""bear_adx_thresh"": 19.434421363031895, ""bear_atr_max_pct"": 0.011232506521751688, ""bear_atr_min_pct"": 0.006922685946703831, ""bear_bb_std_mult"": 2.783565652733749, ""bear_rsi_ob"": 85, ""bear_rsi_os"": 41, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 113, ""bear_tp_mult"": 1.3331557587714715, ""bear_tsl_mult"": 0.2897705295843217, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 26.23365996236767, ""bull_atr_max_pct"": 0.013772518956095483, ""bull_atr_min_pct"": 0.0006816445646719315, ""bull_bb_std_mult"": 1.8206806872248142, ""bull_rsi_ob"": 79, ""bull_rsi_os"": 42, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 126, ""bull_tp_mult"": 1.2292661578725612, ""bull_tsl_mult"": 0.7368975935411719, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.5049287101410029, ""edge_k"": 1.5569161716841464, ""ema1"": 14, ""ema2"": 10, ""p_adx"": 23, ""p_atr"": 26, ""p_sma"": 39, ""p_std"": 35, ""rsi_ob"": 95, ""rsi_os"": 32, ""rsi_period"": 74, ""rsi_required"": true, ""sideways_adx_thresh"": 27.234235233226812, ""sideways_atr_max_pct"": 0.13284346406094907, ""sideways_atr_min_pct"": 0.012532552468065034, ""sideways_bb_std_mult"": 1.0750611715741332, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 12, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 254, ""sideways_tp_mult"": 2.8409569056600272, ""sideways_tsl_mult"": 0.8832521423056692, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.239933066295282, ""slip_spread_k"": 0.8599605526975438, ""spread_hl_frac"": 0.014355857778951216, ""strategy"": ""breakout"", ""time_stop"": 119, ""tp_mult"": 1.2680027592729706, ""tsl_mult"": 0.5063664234148281, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2802785641549423}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 8.79411578547596, ""atr_max_pct"": 0.14924671870681402, ""atr_min_pct"": 0.011601558996768664, ""bb_std_mult"": 2.95730959379178, ""bear_adx_thresh"": 14.264645746908881, ""bear_atr_max_pct"": 0.09086688133279004, ""bear_atr_min_pct"": 0.016284511634648578, ""bear_bb_std_mult"": 2.709393434305818, ""bear_rsi_ob"": 59, ""bear_rsi_os"": 33, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 130, ""bear_tp_mult"": 1.862748866992849, ""bear_tsl_mult"": 0.7138641931729587, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.374451805695912, ""bull_atr_max_pct"": 0.12724618357064227, ""bull_atr_min_pct"": 0.024755071116617126, ""bull_bb_std_mult"": 1.3894784077299638, ""bull_rsi_ob"": 94, ""bull_rsi_os"": 40, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 225, ""bull_tp_mult"": 2.548052078474289, ""bull_tsl_mult"": 0.9500088710826797, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.49146415881528716, ""edge_k"": 0.9601869066975381, ""ema1"": 19, ""ema2"": 60, ""p_adx"": 10, ""p_atr"": 10, ""p_sma"": 9, ""p_std"": 16, ""rsi_ob"": 70, ""rsi_os"": 15, ""rsi_period"": 59, ""rsi_required"": false, ""sideways_adx_thresh"": 5.870728795738436, ""sideways_atr_max_pct"": 0.07364534929505488, ""sideways_atr_min_pct"": 0.014364507924921402, ""sideways_bb_std_mult"": 1.857084306612542, ""sideways_rsi_ob"": 66, ""sideways_rsi_os"": 29, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 101, ""sideways_tp_mult"": 2.448563579618301, ""sideways_tsl_mult"": 0.7334259468012766, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.08109872361054016, ""slip_spread_k"": 0.7566146700398806, ""spread_hl_frac"": 0.010597088383039145, ""strategy"": ""breakout"", ""time_stop"": 211, ""tp_mult"": 2.739771503282841, ""tsl_mult"": 0.19282219888742347, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2630089134686115}"
2,-0.0042575231601167385,-0.00466563160634686,-0.0042575231601167385,0.00466563160634686,-0.0042575231601167385,-0.00466563160634686,172.0,breakout,1,"{""adx_thresh"": 28.75898601789648, ""atr_max_pct"": 0.04265099620989288, ""atr_min_pct"": 0.004422689216891841, ""bb_std_mult"": 1.128130341485054, ""bear_adx_thresh"": 26.69140807196841, ""bear_atr_max_pct"": 0.1421808876536292, ""bear_atr_min_pct"": 0.005022341751789561, ""bear_bb_std_mult"": 1.68173624055625, ""bear_rsi_ob"": 58, ""bear_rsi_os"": 46, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 234, ""bear_tp_mult"": 1.6242567575168412, ""bear_tsl_mult"": 0.44971076825558665, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 24.905202844567793, ""bull_atr_max_pct"": 0.05021517424226184, ""bull_atr_min_pct"": 0.025840857145736314, ""bull_bb_std_mult"": 3.0508792567105156, ""bull_rsi_ob"": 86, ""bull_rsi_os"": 8, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 155, ""bull_tp_mult"": 2.2137672537353588, ""bull_tsl_mult"": 0.3671639880255386, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.4519799070852642, ""edge_k"": 0.681809244911159, ""ema1"": 28, ""ema2"": 46, ""p_adx"": 16, ""p_atr"": 23, ""p_sma"": 15, ""p_std"": 47, ""rsi_ob"": 54, ""rsi_os"": 35, ""rsi_period"": 15, ""rsi_required"": true, ""sideways_adx_thresh"": 25.452011872288104, ""sideways_atr_max_pct"": 0.10159748227924005, ""sideways_atr_min_pct"": 0.01043554871543287, ""sideways_bb_std_mult"": 0.59859637211192, ""sideways_rsi_ob"": 56, ""sideways_rsi_os"": 51, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 194, ""sideways_tp_mult"": 1.8062558104632296, ""sideways_tsl_mult"": 0.305666774550735, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.23414699556572904, ""slip_spread_k"": 0.14397606956751652, ""spread_hl_frac"": 0.035245823649648254, ""strategy"": ""breakout"", ""time_stop"": 119, ""tp_mult"": 2.7089805941023943, ""tsl_mult"": 0.6624522008760683, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.09374191008216677}"
3,7.774366984802938e-05,-4.865736006359246e-05,-1000000000.0,1000000000.0,7.774366984802938e-05,-4.865736006359246e-05,6.0,breakout,1,"{""adx_thresh"": 21.57645740189108, ""atr_max_pct"": 0.07571486795130626, ""atr_min_pct"": 0.004352434489792954, ""bb_std_mult"": 2.6443114016100324, ""bear_adx_thresh"": 30.572593536975923, ""bear_atr_max_pct"": 0.10752563770798865, ""bear_atr_min_pct"": 0.012480662718028616, ""bear_bb_std_mult"": 3.175834853847182, ""bear_rsi_ob"": 61, ""bear_rsi_os"": 44, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 233, ""bear_tp_mult"": 1.833272814225858, ""bear_tsl_mult"": 0.22246894348057156, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.31087496950601, ""bull_atr_max_pct"": 0.055255295657148006, ""bull_atr_min_pct"": 0.015931447826799512, ""bull_bb_std_mult"": 3.256465183298653, ""bull_rsi_ob"": 61, ""bull_rsi_os"": 6, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 21, ""bull_tp_mult"": 2.0381943178658743, ""bull_tsl_mult"": 0.7822923169563665, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.8567169361957323, ""edge_k"": 1.5503110741202615, ""ema1"": 6, ""ema2"": 44, ""p_adx"": 20, ""p_atr"": 25, ""p_sma"": 40, ""p_std"": 28, ""rsi_ob"": 66, ""rsi_os"": 47, ""rsi_period"": 33, ""rsi_required"": true, ""sideways_adx_thresh"": 33.946400848112866, ""sideways_atr_max_pct"": 0.13069639948264852, ""sideways_atr_min_pct"": 0.006300316519320009, ""sideways_bb_std_mult"": 2.0582882443423958, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 28, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 251, ""sideways_tp_mult"": 2.632071264326921, ""sideways_tsl_mult"": 0.3872125919448721, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1023963257336464, ""slip_spread_k"": 0.549798355751546, ""spread_hl_frac"": 0.03674951196429651, ""strategy"": ""breakout"", ""time_stop"": 211, ""tp_mult"": 2.6481951247429016, ""tsl_mult"": 0.3365827689875688, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1716241455144531}"
4,-8.242781371514685e-05,-7.082364219001056e-05,-1000000000.0,1000000000.0,-8.242781371514685e-05,-7.082364219001056e-05,5.0,breakout,1,"{""adx_thresh"": 21.452610704874065, ""atr_max_pct"": 0.12115907402518854, ""atr_min_pct"": 0.0037449926993256954, ""bb_std_mult"": 2.742434165460549, ""bear_adx_thresh"": 25.540479935889397, ""bear_atr_max_pct"": 0.05332336691310365, ""bear_atr_min_pct"": 0.02922361133716013, ""bear_bb_std_mult"": 1.2185287891814778, ""bear_rsi_ob"": 50, ""bear_rsi_os"": 21, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 20, ""bear_tp_mult"": 2.3078220919411128, ""bear_tsl_mult"": 0.41055477376568217, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 11.380330777176402, ""bull_atr_max_pct"": 0.07171026615584618, ""bull_atr_min_pct"": 0.007933590436699701, ""bull_bb_std_mult"": 3.3589253248841606, ""bull_rsi_ob"": 92, ""bull_rsi_os"": 39, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 210, ""bull_tp_mult"": 2.365141774109602, ""bull_tsl_mult"": 0.53069465235953, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.52989587616918, ""edge_k"": 0.4410166541855354, ""ema1"": 10, ""ema2"": 44, ""p_adx"": 16, ""p_atr"": 23, ""p_sma"": 23, ""p_std"": 35, ""rsi_ob"": 61, ""rsi_os"": 53, ""rsi_period"": 32, ""rsi_required"": false, ""sideways_adx_thresh"": 16.540270824988003, ""sideways_atr_max_pct"": 0.13339890555419498, ""sideways_atr_min_pct"": 0.01431316751247034, ""sideways_bb_std_mult"": 1.2400450985893432, ""sideways_rsi_ob"": 49, ""sideways_rsi_os"": 44, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 147, ""sideways_tp_mult"": 1.8591488739083768, ""sideways_tsl_mult"": 0.14342588467102568, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.1764025247198409, ""slip_spread_k"": 0.08245589287659105, ""spread_hl_frac"": 0.049041004875968436, ""strategy"": ""breakout"", ""time_stop"": 103, ""tp_mult"": 1.3498978774829338, ""tsl_mult"": 0.3105213592561067, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1283174294282634}"
5,-0.0008231018777864474,-0.0008018748200550904,-1000000000.0,1000000000.0,-0.0008231018777864474,-0.0008018748200550904,89.0,mean_reversion,1,"{""adx_thresh"": 24.625975720879875, ""atr_max_pct"": 0.016125787014885436, ""atr_min_pct"": 0.00590351789646417, ""bb_std_mult"": 0.6929729365256028, ""bear_adx_thresh"": 22.376846386662475, ""bear_atr_max_pct"": 0.10070116202738094, ""bear_atr_min_pct"": 0.016215163356169845, ""bear_bb_std_mult"": 2.0094775034750962, ""bear_rsi_ob"": 63, ""bear_rsi_os"": 36, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 290, ""bear_tp_mult"": 1.7833326932025022, ""bear_tsl_mult"": 0.09269145508426979, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 23.178915860786795, ""bull_atr_max_pct"": 0.05941245062277905, ""bull_atr_min_pct"": 0.004139863143354584, ""bull_bb_std_mult"": 2.076518354745918, ""bull_rsi_ob"": 83, ""bull_rsi_os"": 15, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 43, ""bull_tp_mult"": 1.6503300022809422, ""bull_tsl_mult"": 0.6261500132914036, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.1692141114521947, ""edge_k"": 0.6679700892403011, ""ema1"": 18, ""ema2"": 40, ""p_adx"": 12, ""p_atr"": 24, ""p_sma"": 40, ""p_std"": 11, ""rsi_ob"": 53, ""rsi_os"": 27, ""rsi_period"": 45, ""rsi_required"": false, ""sideways_adx_thresh"": 11.120985889187956, ""sideways_atr_max_pct"": 0.09295458915599449, ""sideways_atr_min_pct"": 0.022041826589112606, ""sideways_bb_std_mult"": 1.8176079715587854, ""sideways_rsi_ob"": 83, ""sideways_rsi_os"": 18, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 183, ""sideways_tp_mult"": 2.5170856368331633, ""sideways_tsl_mult"": 0.10481454804654511, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07248149360754585, ""slip_spread_k"": 0.5069641799137422, ""spread_hl_frac"": 0.005529770859389271, ""strategy"": ""mean_reversion"", ""time_stop"": 283, ""tp_mult"": 2.05838248336358, ""tsl_mult"": 0.11394601240113378, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.25784014430972513}"
6,0.000642523940145745,-0.00016829312005988808,-1000000000.0,1000000000.0,0.000642523940145745,-0.00016829312005988808,5.0,breakout,1,"{""adx_thresh"": 24.058113960185022, ""atr_max_pct"": 0.11846190909299367, ""atr_min_pct"": 0.0267547448400279, ""bb_std_mult"": 0.5429859171987422, ""bear_adx_thresh"": 17.519638420878625, ""bear_atr_max_pct"": 0.10403969442280325, ""bear_atr_min_pct"": 0.012646637994699733, ""bear_bb_std_mult"": 1.7754909934663738, ""bear_rsi_ob"": 68, ""bear_rsi_os"": 43, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 285, ""bear_tp_mult"": 2.8941827429614126, ""bear_tsl_mult"": 0.7299172520242723, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 33.54753307536936, ""bull_atr_max_pct"": 0.09172583011544154, ""bull_atr_min_pct"": 0.02550497604387608, ""bull_bb_std_mult"": 1.9519980758083506, ""bull_rsi_ob"": 50, ""bull_rsi_os"": 42, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 291, ""bull_tp_mult"": 2.5149863793253493, ""bull_tsl_mult"": 0.8289884083079092, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.7357662040594172, ""edge_k"": 0.9348057445846678, ""ema1"": 25, ""ema2"": 55, ""p_adx"": 16, ""p_atr"": 28, ""p_sma"": 43, ""p_std"": 42, ""rsi_ob"": 76, ""rsi_os"": 31, ""rsi_period"": 53, ""rsi_required"": true, ""sideways_adx_thresh"": 26.000470765866336, ""sideways_atr_max_pct"": 0.11842520275152452, ""sideways_atr_min_pct"": 0.027754517213363958, ""sideways_bb_std_mult"": 1.8428096991326226, ""sideways_rsi_ob"": 50, ""sideways_rsi_os"": 30, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 257, ""sideways_tp_mult"": 2.203276327301721, ""sideways_tsl_mult"": 0.9027700052731679, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.15233954445264156, ""slip_spread_k"": 0.777008050923859, ""spread_hl_frac"": 0.04091399518228145, ""strategy"": ""breakout"", ""time_stop"": 240, ""tp_mult"": 2.0441857233545377, ""tsl_mult"": 0.752969574738852, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05503161882322464}"
7,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 14.367015923677407, ""atr_max_pct"": 0.09652961202346509, ""atr_min_pct"": 0.0053180943432863765, ""bb_std_mult"": 2.4514645865212166, ""bear_adx_thresh"": 17.023094997707677, ""bear_atr_max_pct"": 0.03969248416746536, ""bear_atr_min_pct"": 0.024081460031247916, ""bear_bb_std_mult"": 0.9992015566399323, ""bear_rsi_ob"": 81, ""bear_rsi_os"": 8, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 5, ""bear_tp_mult"": 2.210413927400621, ""bear_tsl_mult"": 0.14953765912103978, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 19.09069999078206, ""bull_atr_max_pct"": 0.031324923293123474, ""bull_atr_min_pct"": 0.01990221804484978, ""bull_bb_std_mult"": 1.6988994175942693, ""bull_rsi_ob"": 76, ""bull_rsi_os"": 43, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 27, ""bull_tp_mult"": 1.597622355674345, ""bull_tsl_mult"": 0.6608504539446807, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.05316157750301494, ""edge_k"": 1.3041646257238835, ""ema1"": 9, ""ema2"": 29, ""p_adx"": 29, ""p_atr"": 22, ""p_sma"": 35, ""p_std"": 48, ""rsi_ob"": 58, ""rsi_os"": 20, ""rsi_period"": 63, ""rsi_required"": true, ""sideways_adx_thresh"": 7.473730304257705, ""sideways_atr_max_pct"": 0.06664648161673895, ""sideways_atr_min_pct"": 0.01917777291108471, ""sideways_bb_std_mult"": 0.8581029948905159, ""sideways_rsi_ob"": 70, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 96, ""sideways_tp_mult"": 1.1741123498281454, ""sideways_tsl_mult"": 0.49925281516069553, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.2433311336784954, ""slip_spread_k"": 0.6630944463958626, ""spread_hl_frac"": 0.005126424474714908, ""strategy"": ""mean_reversion"", ""time_stop"": 270, ""tp_mult"": 1.7659831443432044, ""tsl_mult"": 0.05050382686576793, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23038989187840175}"
8,2.413145068103084e-05,0.0,-1000000000.0,1000000000.0,2.413145068103084e-05,0.0,2.0,mean_reversion,1,"{""adx_thresh"": 5.126997027449707, ""atr_max_pct"": 0.10619611726649178, ""atr_min_pct"": 0.010123621313584965, ""bb_std_mult"": 2.58196653769838, ""bear_adx_thresh"": 25.691612565157225, ""bear_atr_max_pct"": 0.12644818278018666, ""bear_atr_min_pct"": 0.02630757405337728, ""bear_bb_std_mult"": 3.4743689942463556, ""bear_rsi_ob"": 68, ""bear_rsi_os"": 13, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 173, ""bear_tp_mult"": 2.3520905260376406, ""bear_tsl_mult"": 0.21481941512464797, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 26.92803280497198, ""bull_atr_max_pct"": 0.04673680932334846, ""bull_atr_min_pct"": 0.01863800158651508, ""bull_bb_std_mult"": 3.241183325512194, ""bull_rsi_ob"": 46, ""bull_rsi_os"": 10, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 282, ""bull_tp_mult"": 2.9109297214833023, ""bull_tsl_mult"": 0.9650792652556507, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.22145616888136682, ""edge_k"": 0.98707877398693, ""ema1"": 11, ""ema2"": 34, ""p_adx"": 9, ""p_atr"": 10, ""p_sma"": 32, ""p_std"": 41, ""rsi_ob"": 78, ""rsi_os"": 33, ""rsi_period"": 65, ""rsi_required"": true, ""sideways_adx_thresh"": 16.1158646736838, ""sideways_atr_max_pct"": 0.12794084755423102, ""sideways_atr_min_pct"": 0.007940069928427293, ""sideways_bb_std_mult"": 2.5553220117241513, ""sideways_rsi_ob"": 80, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 126, ""sideways_tp_mult"": 1.9873303200409504, ""sideways_tsl_mult"": 0.9989732946438773, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.02767944211511983, ""slip_spread_k"": 0.9660457677841078, ""spread_hl_frac"": 0.03401965818721436, ""strategy"": ""mean_reversion"", ""time_stop"": 245, ""tp_mult"": 2.7554595172392897, ""tsl_mult"": 0.11333467439316247, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0987622745975392}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 33.99547512708601, ""atr_max_pct"": 0.02850939355007365, ""atr_min_pct"": 0.0031865800051051395, ""bb_std_mult"": 2.250799986537079, ""bear_adx_thresh"": 33.51246709463594, ""bear_atr_max_pct"": 0.02130816391922775, ""bear_atr_min_pct"": 0.008401550038255982, ""bear_bb_std_mult"": 3.3768029499179293, ""bear_rsi_ob"": 52, ""bear_rsi_os"": 22, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 241, ""bear_tp_mult"": 1.8682554999410528, ""bear_tsl_mult"": 0.18535651095874905, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 18.977851196886224, ""bull_atr_max_pct"": 0.028104560875048333, ""bull_atr_min_pct"": 0.029779565944637588, ""bull_bb_std_mult"": 3.1842987668112, ""bull_rsi_ob"": 91, ""bull_rsi_os"": 17, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 56, ""bull_tp_mult"": 1.071939605865626, ""bull_tsl_mult"": 0.9214548033975484, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.9894380830455066, ""edge_k"": 1.6052583704419512, ""ema1"": 11, ""ema2"": 32, ""p_adx"": 26, ""p_atr"": 21, ""p_sma"": 58, ""p_std"": 57, ""rsi_ob"": 89, ""rsi_os"": 23, ""rsi_period"": 82, ""rsi_required"": true, ""sideways_adx_thresh"": 10.665271277875076, ""sideways_atr_max_pct"": 0.030645121397443253, ""sideways_atr_min_pct"": 0.023461565598524824, ""sideways_bb_std_mult"": 2.1420801327300296, ""sideways_rsi_ob"": 61, ""sideways_rsi_os"": 38, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 173, ""sideways_tp_mult"": 2.648158582830217, ""sideways_tsl_mult"": 0.6198503099230264, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.03347909422087905, ""slip_spread_k"": 0.06136635050855277, ""spread_hl_frac"": 0.04920999223769152, ""strategy"": ""mean_reversion"", ""time_stop"": 112, ""tp_mult"": 1.5160238415547365, ""tsl_mult"": 0.32669898768131744, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.017357948446648452}"
