number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,0.0,,-1000000000.0,,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 17.69939784283548, ""atr_max_pct"": 0.1337919037465527, ""atr_min_pct"": 0.010194815679573227, ""bb_std_mult"": 1.3753416480803766, ""edge_cap"": 0.8433578610483123, ""edge_k"": 1.911736276269414, ""ema1"": 29, ""ema2"": 40, ""p_adx"": 14, ""p_atr"": 16, ""p_sma"": 20, ""p_std"": 60, ""rsi_ob"": 64, ""rsi_os"": 11, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.0388127256180579, ""slip_spread_k"": 0.7843277173363514, ""spread_hl_frac"": 0.010514925000161808, ""strategy"": ""mean_reversion"", ""time_stop"": 164, ""tp_mult"": 1.0528790286000533, ""tsl_mult"": 0.2943032406907149, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.028556748365294125}"
1,-0.00012785077112653642,-7.809353457061275e-05,-1000000000.0,7.809353457061275e-05,-0.00012785077112653642,-7.809353457061275e-05,4.0,breakout,1,"{""adx_thresh"": 29.58441810915274, ""atr_max_pct"": 0.07958419958357565, ""atr_min_pct"": 0.009518965695134761, ""bb_std_mult"": 0.9752283121887808, ""edge_cap"": 0.9141390028247245, ""edge_k"": 1.7020839651963755, ""ema1"": 29, ""ema2"": 35, ""p_adx"": 13, ""p_atr"": 27, ""p_sma"": 28, ""p_std"": 7, ""rsi_ob"": 82, ""rsi_os"": 23, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.15572983115378858, ""slip_spread_k"": 0.36200081374099524, ""spread_hl_frac"": 0.035443413231952235, ""strategy"": ""breakout"", ""time_stop"": 129, ""tp_mult"": 1.9122426338887561, ""tsl_mult"": 0.7659642182180795, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10969155239585697}"
2,-0.007706880796931159,-0.007691107641735643,-1.0020508301183986,0.007691107641735643,-0.007706880796931159,-0.007691107641735643,745.0,breakout,1,"{""adx_thresh"": 17.344074536542717, ""atr_max_pct"": 0.07785874909854816, ""atr_min_pct"": 0.0015531950663750448, ""bb_std_mult"": 2.315787205322946, ""edge_cap"": 0.3596385485283921, ""edge_k"": 1.615528684771138, ""ema1"": 23, ""ema2"": 60, ""p_adx"": 8, ""p_atr"": 7, ""p_sma"": 58, ""p_std"": 16, ""rsi_ob"": 82, ""rsi_os"": 21, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.1907782466701344, ""slip_spread_k"": 0.5001549887117955, ""spread_hl_frac"": 0.014176691559771026, ""strategy"": ""breakout"", ""time_stop"": 35, ""tp_mult"": 1.908996810046909, ""tsl_mult"": 0.9530512092258218, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1621021357287285}"
3,0.0,,-1000000000.0,,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 23.99016406601639, ""atr_max_pct"": 0.07174410381369496, ""atr_min_pct"": 0.02373909504340919, ""bb_std_mult"": 1.3353003067528408, ""edge_cap"": 0.6636901301180763, ""edge_k"": 1.6304175228306348, ""ema1"": 14, ""ema2"": 13, ""p_adx"": 30, ""p_atr"": 20, ""p_sma"": 8, ""p_std"": 20, ""rsi_ob"": 55, ""rsi_os"": 45, ""rsi_period"": 60, ""rsi_required"": true, ""slip_atr_k"": 0.19282182713036636, ""slip_spread_k"": 0.029111403292542803, ""spread_hl_frac"": 0.021407454043403815, ""strategy"": ""mean_reversion"", ""time_stop"": 238, ""tp_mult"": 2.4268863169599375, ""tsl_mult"": 0.7329649635904385, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.005334612458024734}"
4,,,-1000000000.0,,,,,mean_reversion,1,"{""adx_thresh"": 6.7049396457710175, ""atr_max_pct"": 0.035821539153206766, ""atr_min_pct"": 0.0081343843971122, ""bb_std_mult"": 1.8085557823706753, ""edge_cap"": 0.7904643834704081, ""edge_k"": 0.13383057262513454, ""ema1"": 19, ""ema2"": 16, ""p_adx"": 13, ""p_atr"": 13, ""p_sma"": 38, ""p_std"": 54, ""rsi_ob"": 54, ""rsi_os"": 51, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.11492532324527022, ""slip_spread_k"": 0.1707322445802555, ""spread_hl_frac"": 0.00702237189399722, ""strategy"": ""mean_reversion"", ""time_stop"": 91, ""tp_mult"": 1.6999393910875353, ""tsl_mult"": 0.09809569095917592, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1474010645656542}"
5,-0.00039545347963854116,-0.000657686833376286,-1000000000.0,0.000657686833376286,-0.00039545347963854116,-0.000657686833376286,150.0,breakout,1,"{""adx_thresh"": 22.267071661108226, ""atr_max_pct"": 0.12101058754936993, ""atr_min_pct"": 0.004659529834032604, ""bb_std_mult"": 1.8852177311927272, ""edge_cap"": 0.9484856888845757, ""edge_k"": 1.2399504896384528, ""ema1"": 24, ""ema2"": 17, ""p_adx"": 10, ""p_atr"": 18, ""p_sma"": 29, ""p_std"": 10, ""rsi_ob"": 52, ""rsi_os"": 32, ""rsi_period"": 65, ""rsi_required"": true, ""slip_atr_k"": 0.0979375485208761, ""slip_spread_k"": 0.6035484132334754, ""spread_hl_frac"": 0.028835515370760786, ""strategy"": ""breakout"", ""time_stop"": 33, ""tp_mult"": 2.445105103107291, ""tsl_mult"": 0.8833294174498827, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09074719195014772}"
6,,,-1000000000.0,,,,,mean_reversion,1,"{""adx_thresh"": 9.830494161441804, ""atr_max_pct"": 0.0882085749336261, ""atr_min_pct"": 0.013013032921003915, ""bb_std_mult"": 3.516280906928098, ""edge_cap"": 0.160049280727099, ""edge_k"": 1.7386634252967783, ""ema1"": 19, ""ema2"": 11, ""p_adx"": 11, ""p_atr"": 14, ""p_sma"": 23, ""p_std"": 42, ""rsi_ob"": 48, ""rsi_os"": 35, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.18683613021233184, ""slip_spread_k"": 0.3007727228022521, ""spread_hl_frac"": 0.0030048473495390086, ""strategy"": ""mean_reversion"", ""time_stop"": 267, ""tp_mult"": 2.5430912519056292, ""tsl_mult"": 0.9785512917708913, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.29260195011180934}"
7,0.0,,-1000000000.0,,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 20.093897109643216, ""atr_max_pct"": 0.13622775460331446, ""atr_min_pct"": 0.020738915611148455, ""bb_std_mult"": 3.221510262745875, ""edge_cap"": 0.16117564744498272, ""edge_k"": 0.1315019573106342, ""ema1"": 30, ""ema2"": 33, ""p_adx"": 14, ""p_atr"": 14, ""p_sma"": 28, ""p_std"": 25, ""rsi_ob"": 79, ""rsi_os"": 33, ""rsi_period"": 55, ""rsi_required"": false, ""slip_atr_k"": 0.2113883206454775, ""slip_spread_k"": 0.8424559135059498, ""spread_hl_frac"": 0.016711001529759163, ""strategy"": ""mean_reversion"", ""time_stop"": 114, ""tp_mult"": 2.9834949513081988, ""tsl_mult"": 0.2608888647017681, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.015679664490358534}"
8,,,-1000000000.0,,,,,mean_reversion,1,"{""adx_thresh"": 22.430620010131296, ""atr_max_pct"": 0.12277314671239012, ""atr_min_pct"": 0.007525801384947066, ""bb_std_mult"": 3.3662457520205944, ""edge_cap"": 0.8682399303371283, ""edge_k"": 1.0174448661032678, ""ema1"": 11, ""ema2"": 54, ""p_adx"": 18, ""p_atr"": 7, ""p_sma"": 26, ""p_std"": 52, ""rsi_ob"": 45, ""rsi_os"": 52, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.08096050836637528, ""slip_spread_k"": 0.5797007946226271, ""spread_hl_frac"": 0.011136033608716789, ""strategy"": ""mean_reversion"", ""time_stop"": 137, ""tp_mult"": 1.708588247400489, ""tsl_mult"": 0.049768902825729544, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.033827306731407256}"
9,4.500516848593428e-05,0.0,-1000000000.0,,4.500516848593428e-05,0.0,1.0,mean_reversion,1,"{""adx_thresh"": 13.106815722910133, ""atr_max_pct"": 0.052025908573445266, ""atr_min_pct"": 0.01019087777461475, ""bb_std_mult"": 1.5640764647375531, ""edge_cap"": 0.2969346479103529, ""edge_k"": 1.3306469276818491, ""ema1"": 26, ""ema2"": 24, ""p_adx"": 28, ""p_atr"": 25, ""p_sma"": 36, ""p_std"": 20, ""rsi_ob"": 91, ""rsi_os"": 13, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.1396010877197437, ""slip_spread_k"": 0.3957404885334981, ""spread_hl_frac"": 0.034341889070105026, ""strategy"": ""mean_reversion"", ""time_stop"": 86, ""tp_mult"": 1.627041773766374, ""tsl_mult"": 0.43817985470496756, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14792038454636627}"
