number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-2.9159410519286055e-05,0.0,-1000000000.0,1000000000.0,-2.9159410519286055e-05,0.0,1.0,breakout,1,"{""adx_thresh"": 5.656310326886259, ""atr_max_pct"": 0.055436639155848795, ""atr_min_pct"": 0.013858620638535712, ""bb_std_mult"": 1.3045954698291757, ""edge_cap"": 0.21184944865144925, ""edge_k"": 1.4292669660455186, ""ema1"": 8, ""ema2"": 49, ""p_adx"": 13, ""p_atr"": 27, ""p_sma"": 43, ""p_std"": 49, ""rsi_ob"": 45, ""rsi_os"": 22, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.1824860332172045, ""slip_spread_k"": 0.8861611934525808, ""spread_hl_frac"": 0.02689500957591114, ""strategy"": ""breakout"", ""time_stop"": 277, ""tp_mult"": 1.703809663432292, ""tsl_mult"": 0.014257165791553228, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.04410914835846031}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 29.878888871810364, ""atr_max_pct"": 0.06495907850009401, ""atr_min_pct"": 0.026330665576684266, ""bb_std_mult"": 2.65112953788988, ""edge_cap"": 0.5810847861682925, ""edge_k"": 1.2707003201680072, ""ema1"": 13, ""ema2"": 38, ""p_adx"": 7, ""p_atr"": 13, ""p_sma"": 42, ""p_std"": 39, ""rsi_ob"": 58, ""rsi_os"": 23, ""rsi_period"": 79, ""rsi_required"": true, ""slip_atr_k"": 0.038910784630636935, ""slip_spread_k"": 0.8515885382781624, ""spread_hl_frac"": 0.019834975952107106, ""strategy"": ""mean_reversion"", ""time_stop"": 203, ""tp_mult"": 2.240973324672634, ""tsl_mult"": 0.6398830314609382, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0670346940325892}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.679388811641097, ""atr_max_pct"": 0.06786206212445724, ""atr_min_pct"": 0.023542199758454785, ""bb_std_mult"": 3.3651773634637556, ""edge_cap"": 0.19701340898164296, ""edge_k"": 1.8106598986980968, ""ema1"": 14, ""ema2"": 44, ""p_adx"": 12, ""p_atr"": 18, ""p_sma"": 32, ""p_std"": 14, ""rsi_ob"": 60, ""rsi_os"": 31, ""rsi_period"": 33, ""rsi_required"": false, ""slip_atr_k"": 0.13888228463136806, ""slip_spread_k"": 0.6471290908982091, ""spread_hl_frac"": 0.03131783731470202, ""strategy"": ""mean_reversion"", ""time_stop"": 243, ""tp_mult"": 1.788020509859703, ""tsl_mult"": 0.6735602408763463, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.208936681694488}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 22.30186319045601, ""atr_max_pct"": 0.061736872762015664, ""atr_min_pct"": 0.016860867280342782, ""bb_std_mult"": 1.3498259653095943, ""edge_cap"": 0.4832316321037857, ""edge_k"": 0.7986100017232471, ""ema1"": 13, ""ema2"": 19, ""p_adx"": 8, ""p_atr"": 10, ""p_sma"": 12, ""p_std"": 11, ""rsi_ob"": 82, ""rsi_os"": 8, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.0581463756760216, ""slip_spread_k"": 0.7075158802446533, ""spread_hl_frac"": 0.034239005422523346, ""strategy"": ""breakout"", ""time_stop"": 222, ""tp_mult"": 2.5205383057826585, ""tsl_mult"": 0.35680638121841035, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.07443998448849272}"
4,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 33.14952573447571, ""atr_max_pct"": 0.12833822916826532, ""atr_min_pct"": 0.01935177406454806, ""bb_std_mult"": 2.277400138454275, ""edge_cap"": 0.41919242734323475, ""edge_k"": 0.4138857502155022, ""ema1"": 30, ""ema2"": 46, ""p_adx"": 7, ""p_atr"": 19, ""p_sma"": 45, ""p_std"": 60, ""rsi_ob"": 89, ""rsi_os"": 28, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.14254025566287365, ""slip_spread_k"": 0.4584378626901936, ""spread_hl_frac"": 0.04911327168485731, ""strategy"": ""breakout"", ""time_stop"": 81, ""tp_mult"": 1.9528976916549012, ""tsl_mult"": 0.9632878175451777, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10471777579641141}"
5,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 21.593388435097115, ""atr_max_pct"": 0.14466314621614582, ""atr_min_pct"": 0.02758001741937063, ""bb_std_mult"": 2.0229388174848935, ""edge_cap"": 0.977806040799031, ""edge_k"": 0.2394869152152752, ""ema1"": 8, ""ema2"": 53, ""p_adx"": 8, ""p_atr"": 15, ""p_sma"": 31, ""p_std"": 22, ""rsi_ob"": 69, ""rsi_os"": 15, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.03357090266425106, ""slip_spread_k"": 0.8705456050706045, ""spread_hl_frac"": 0.04606756467909223, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 2.565341083531727, ""tsl_mult"": 0.08363842598722981, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.07637992241181231}"
6,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 19.984087251112793, ""atr_max_pct"": 0.12985918547462108, ""atr_min_pct"": 0.028719095868463163, ""bb_std_mult"": 0.9796704824624448, ""edge_cap"": 0.3994677363468097, ""edge_k"": 1.160984482128431, ""ema1"": 27, ""ema2"": 14, ""p_adx"": 22, ""p_atr"": 15, ""p_sma"": 12, ""p_std"": 60, ""rsi_ob"": 89, ""rsi_os"": 9, ""rsi_period"": 39, ""rsi_required"": true, ""slip_atr_k"": 0.17321603041086625, ""slip_spread_k"": 0.5203020895393641, ""spread_hl_frac"": 0.006057303355641775, ""strategy"": ""breakout"", ""time_stop"": 300, ""tp_mult"": 1.9782235495457474, ""tsl_mult"": 0.26156453954839654, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 5.944178003007838e-05}"
7,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.04368490652242, ""atr_max_pct"": 0.09084168251888157, ""atr_min_pct"": 0.009156370211760086, ""bb_std_mult"": 2.4407312649333948, ""edge_cap"": 0.9678992351515361, ""edge_k"": 1.7801603660321412, ""ema1"": 24, ""ema2"": 30, ""p_adx"": 7, ""p_atr"": 12, ""p_sma"": 53, ""p_std"": 7, ""rsi_ob"": 95, ""rsi_os"": 54, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.23818178645178384, ""slip_spread_k"": 0.04224635780509167, ""spread_hl_frac"": 0.034851821684902605, ""strategy"": ""mean_reversion"", ""time_stop"": 169, ""tp_mult"": 1.337402315259265, ""tsl_mult"": 0.5142329597284561, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20024563330941503}"
8,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 34.90522056128393, ""atr_max_pct"": 0.0359502443166447, ""atr_min_pct"": 0.013626781759859699, ""bb_std_mult"": 0.6676289766579498, ""edge_cap"": 0.5956541851974113, ""edge_k"": 0.5997459105450718, ""ema1"": 21, ""ema2"": 27, ""p_adx"": 21, ""p_atr"": 26, ""p_sma"": 6, ""p_std"": 49, ""rsi_ob"": 74, ""rsi_os"": 22, ""rsi_period"": 18, ""rsi_required"": false, ""slip_atr_k"": 0.15622273382772023, ""slip_spread_k"": 0.2509422040314686, ""spread_hl_frac"": 0.03852795079821501, ""strategy"": ""mean_reversion"", ""time_stop"": 108, ""tp_mult"": 2.0258775441899806, ""tsl_mult"": 0.6023663127384847, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0483432231954258}"
9,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 26.505771046952436, ""atr_max_pct"": 0.12924143402057423, ""atr_min_pct"": 0.011482723817002846, ""bb_std_mult"": 2.122593147263962, ""edge_cap"": 0.9228401166324492, ""edge_k"": 1.3511442787337584, ""ema1"": 18, ""ema2"": 43, ""p_adx"": 27, ""p_atr"": 22, ""p_sma"": 54, ""p_std"": 60, ""rsi_ob"": 71, ""rsi_os"": 32, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.10844633674826526, ""slip_spread_k"": 0.5299841110358717, ""spread_hl_frac"": 0.023642179429448247, ""strategy"": ""mean_reversion"", ""time_stop"": 217, ""tp_mult"": 2.9255528205913017, ""tsl_mult"": 0.5182771716034469, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1692295790297441}"
