2025-08-29 18:29:23,279 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-29 18:29:23,288] A new study created in memory with name: no-name-b793232a-273b-4537-9ff1-d3a96b04ad6c
[I 2025-08-29 18:29:51,634] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 7, 'p_std': 43, 'p_atr': 8, 'p_adx': 26, 'rsi_period': 61, 'ema1': 28, 'ema2': 49, 'slip_atr_k': 0.17973330198081736, 'slip_spread_k': 0.49738173179112555, 'spread_hl_frac': 0.0066494075609366265, 'bb_std_mult': 2.4779818558129447, 'rsi_os': 5, 'rsi_ob': 82, 'vol_spike': 0.020469046352629906, 'adx_thresh': 25.150134071497135, 'atr_min_pct': 0.015525491503581127, 'atr_max_pct': 0.02062124911793086, 'tp_mult': 2.5182940995626355, 'tsl_mult': 0.8397304898827604, 'strategy': 'breakout', 'time_stop': 55, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.29657796953617077, 'edge_cap': 0.2574592616519012}.
[I 2025-08-29 18:29:52,524] Trial 2 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 59, 'p_std': 10, 'p_atr': 12, 'p_adx': 10, 'rsi_period': 81, 'ema1': 12, 'ema2': 57, 'slip_atr_k': 0.11458544277273214, 'slip_spread_k': 0.22554078744711115, 'spread_hl_frac': 0.03461661229367193, 'bb_std_mult': 3.0219686262830745, 'rsi_os': 16, 'rsi_ob': 66, 'vol_spike': 0.16041134348124003, 'adx_thresh': 31.69102098841736, 'atr_min_pct': 0.018026221909732666, 'atr_max_pct': 0.11644644427501748, 'tp_mult': 1.9966189170960487, 'tsl_mult': 0.36553546689981253, 'strategy': 'mean_reversion', 'time_stop': 176, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.3583637211387753, 'edge_cap': 0.14761167409157974}.
[I 2025-08-29 18:29:52,651] Trial 0 finished with values: [-0.01150072914571898, 0.01150197629457046] and parameters: {'p_sma': 52, 'p_std': 20, 'p_atr': 12, 'p_adx': 13, 'rsi_period': 17, 'ema1': 8, 'ema2': 57, 'slip_atr_k': 0.23587047451694831, 'slip_spread_k': 0.4026688486371658, 'spread_hl_frac': 0.02187035180824115, 'bb_std_mult': 1.5093988518920978, 'rsi_os': 21, 'rsi_ob': 94, 'vol_spike': 0.13829883214425248, 'adx_thresh': 12.762813493448572, 'atr_min_pct': 0.004264730741910435, 'atr_max_pct': 0.06916644117327111, 'tp_mult': 2.705147113222262, 'tsl_mult': 0.565331388798724, 'strategy': 'mean_reversion', 'time_stop': 34, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.4540077107763332, 'edge_cap': 0.5110789721717425}.
[I 2025-08-29 18:29:52,653] Trial 6 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 53, 'p_std': 24, 'p_atr': 21, 'p_adx': 11, 'rsi_period': 23, 'ema1': 28, 'ema2': 40, 'slip_atr_k': 0.10359793942887155, 'slip_spread_k': 0.8587839926063693, 'spread_hl_frac': 0.04245181072033996, 'bb_std_mult': 2.492862871294494, 'rsi_os': 11, 'rsi_ob': 47, 'vol_spike': 0.16949868338824722, 'adx_thresh': 12.435217053877976, 'atr_min_pct': 0.018259328417523767, 'atr_max_pct': 0.06945470601658447, 'tp_mult': 2.131568525138501, 'tsl_mult': 0.9841332073790908, 'strategy': 'mean_reversion', 'time_stop': 161, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.6514875658703827, 'edge_cap': 0.9061685076463086}.
[I 2025-08-29 18:29:52,751] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 14, 'p_std': 58, 'p_atr': 19, 'p_adx': 20, 'rsi_period': 43, 'ema1': 15, 'ema2': 21, 'slip_atr_k': 0.2149093596212848, 'slip_spread_k': 0.4642425424187161, 'spread_hl_frac': 0.04685236329516876, 'bb_std_mult': 3.0626961596042066, 'rsi_os': 9, 'rsi_ob': 83, 'vol_spike': 0.2301951391081586, 'adx_thresh': 28.170416855619045, 'atr_min_pct': 0.008804241480368596, 'atr_max_pct': 0.07065045207122951, 'tp_mult': 2.7311917302411524, 'tsl_mult': 0.5009571313798982, 'strategy': 'mean_reversion', 'time_stop': 155, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.7087152350721937, 'edge_cap': 0.9011152690858274}.
[I 2025-08-29 18:29:52,752] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 42, 'p_std': 24, 'p_atr': 9, 'p_adx': 7, 'rsi_period': 8, 'ema1': 19, 'ema2': 32, 'slip_atr_k': 0.005592444037613775, 'slip_spread_k': 0.6800127061235457, 'spread_hl_frac': 0.022082129552157832, 'bb_std_mult': 3.0064746709118193, 'rsi_os': 51, 'rsi_ob': 52, 'vol_spike': 0.0557907439716923, 'adx_thresh': 18.66047628733384, 'atr_min_pct': 0.0004945452207241508, 'atr_max_pct': 0.0845269597517765, 'tp_mult': 1.5662169034238127, 'tsl_mult': 0.1852836102733204, 'strategy': 'mean_reversion', 'time_stop': 65, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.9669121263036944, 'edge_cap': 0.7069652555419896}.
[I 2025-08-29 18:29:52,754] Trial 9 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 51, 'p_std': 35, 'p_atr': 22, 'p_adx': 18, 'rsi_period': 84, 'ema1': 9, 'ema2': 42, 'slip_atr_k': 0.04663793770777555, 'slip_spread_k': 0.8491159762898755, 'spread_hl_frac': 0.0011144594706202215, 'bb_std_mult': 3.054621441700798, 'rsi_os': 28, 'rsi_ob': 48, 'vol_spike': 0.09295337052924275, 'adx_thresh': 28.240419168627, 'atr_min_pct': 0.00987587987303837, 'atr_max_pct': 0.10081982939889605, 'tp_mult': 2.134377406724084, 'tsl_mult': 0.8154659847222647, 'strategy': 'mean_reversion', 'time_stop': 44, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.6850222116092806, 'edge_cap': 0.619009848199001}.
[I 2025-08-29 18:29:52,755] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 43, 'p_std': 43, 'p_atr': 19, 'p_adx': 16, 'rsi_period': 60, 'ema1': 11, 'ema2': 23, 'slip_atr_k': 0.0952494105338538, 'slip_spread_k': 0.46148944717156326, 'spread_hl_frac': 0.046437324437918474, 'bb_std_mult': 3.0052807777084474, 'rsi_os': 53, 'rsi_ob': 45, 'vol_spike': 0.27962506979776425, 'adx_thresh': 11.01300601277918, 'atr_min_pct': 0.02049463916511463, 'atr_max_pct': 0.13687226686399584, 'tp_mult': 2.155641941338301, 'tsl_mult': 0.4024581822092904, 'strategy': 'mean_reversion', 'time_stop': 167, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.7787764862034723, 'edge_cap': 0.1255854201088435}.
[I 2025-08-29 18:30:20,090] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 12, 'p_std': 23, 'p_atr': 27, 'p_adx': 29, 'rsi_period': 7, 'ema1': 24, 'ema2': 35, 'slip_atr_k': 0.026082058245532447, 'slip_spread_k': 0.335722446160425, 'spread_hl_frac': 0.04319812904519047, 'bb_std_mult': 1.2558049940237965, 'rsi_os': 7, 'rsi_ob': 85, 'vol_spike': 0.19345521302250238, 'adx_thresh': 25.665842134724382, 'atr_min_pct': 0.006081528931887955, 'atr_max_pct': 0.012973358685026864, 'tp_mult': 1.426690470331769, 'tsl_mult': 0.408344390130139, 'strategy': 'mean_reversion', 'time_stop': 275, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7368376915681301, 'edge_cap': 0.580179921922078}.
[I 2025-08-29 18:30:20,315] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 37, 'p_std': 44, 'p_atr': 13, 'p_adx': 29, 'rsi_period': 61, 'ema1': 19, 'ema2': 36, 'slip_atr_k': 0.12938336123358873, 'slip_spread_k': 0.8508270036362315, 'spread_hl_frac': 0.002756146075997651, 'bb_std_mult': 1.5655377041398615, 'rsi_os': 29, 'rsi_ob': 76, 'vol_spike': 0.24064545827709222, 'adx_thresh': 22.816294761958794, 'atr_min_pct': 0.01057068555767794, 'atr_max_pct': 0.0539367625466915, 'tp_mult': 1.6676318810302533, 'tsl_mult': 0.19496917416620152, 'strategy': 'breakout', 'time_stop': 121, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.8830674935329907, 'edge_cap': 0.25515668212643716}.
[I 2025-08-29 18:30:20,681] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 31, 'p_std': 44, 'p_atr': 21, 'p_adx': 23, 'rsi_period': 35, 'ema1': 11, 'ema2': 18, 'slip_atr_k': 0.15288644757857411, 'slip_spread_k': 0.0309495482257085, 'spread_hl_frac': 0.03661130995246873, 'bb_std_mult': 2.4570975904958035, 'rsi_os': 42, 'rsi_ob': 78, 'vol_spike': 0.19262289108163502, 'adx_thresh': 22.83894160980245, 'atr_min_pct': 0.020409043183892916, 'atr_max_pct': 0.08311501703266105, 'tp_mult': 1.445905471190842, 'tsl_mult': 0.09668871887783947, 'strategy': 'breakout', 'time_stop': 258, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.7263080893502927, 'edge_cap': 0.057818956607024796}.
[I 2025-08-29 18:30:20,996] Trial 7 finished with values: [-0.004130030118808081, 0.00414372402145237] and parameters: {'p_sma': 11, 'p_std': 42, 'p_atr': 11, 'p_adx': 23, 'rsi_period': 56, 'ema1': 15, 'ema2': 60, 'slip_atr_k': 0.12277550218553307, 'slip_spread_k': 0.5574011233909947, 'spread_hl_frac': 0.0011155419376691512, 'bb_std_mult': 1.7793201715234577, 'rsi_os': 23, 'rsi_ob': 45, 'vol_spike': 0.09040744847367158, 'adx_thresh': 12.606596475272813, 'atr_min_pct': 0.003861995621333871, 'atr_max_pct': 0.015841730931191216, 'tp_mult': 2.5238708722306185, 'tsl_mult': 0.0032453457209339343, 'strategy': 'breakout', 'time_stop': 42, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 1.4008851941765008, 'edge_cap': 0.21922972517954883}.
[I 2025-08-29 18:30:48,641] Trial 12 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 26, 'p_std': 53, 'p_atr': 28, 'p_adx': 18, 'rsi_period': 31, 'ema1': 12, 'ema2': 16, 'slip_atr_k': 0.24584170180663417, 'slip_spread_k': 0.6932698685390267, 'spread_hl_frac': 0.020575466525368374, 'bb_std_mult': 3.394201865100884, 'rsi_os': 38, 'rsi_ob': 95, 'vol_spike': 0.06768292714726891, 'adx_thresh': 18.22273474332914, 'atr_min_pct': 0.018675774083827836, 'atr_max_pct': 0.1481568596107593, 'tp_mult': 1.1561551346378691, 'tsl_mult': 0.8143044070230403, 'strategy': 'mean_reversion', 'time_stop': 256, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.42123363633484545, 'edge_cap': 0.312670784405727}.
[I 2025-08-29 18:30:49,843] Trial 13 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 25, 'p_std': 6, 'p_atr': 14, 'p_adx': 14, 'rsi_period': 29, 'ema1': 5, 'ema2': 60, 'slip_atr_k': 0.21313633424036932, 'slip_spread_k': 0.1740129590028195, 'spread_hl_frac': 0.017435673685602168, 'bb_std_mult': 0.5010952959414852, 'rsi_os': 40, 'rsi_ob': 91, 'vol_spike': 0.1271589079912254, 'adx_thresh': 5.0769358791951245, 'atr_min_pct': 0.02837699557017595, 'atr_max_pct': 0.042136595110271596, 'tp_mult': 2.9619330227218237, 'tsl_mult': 0.5896406372838546, 'strategy': 'breakout', 'time_stop': 252, 'use_sma': True, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3065481215505987, 'edge_cap': 0.3891993928367472}.
