number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.01150072914571898,-0.01150197629457046,-0.01150072914571898,0.01150197629457046,-0.01150072914571898,-0.01150197629457046,553.0,mean_reversion,1,"{""adx_thresh"": 12.762813493448572, ""atr_max_pct"": 0.06916644117327111, ""atr_min_pct"": 0.004264730741910435, ""bb_std_mult"": 1.5093988518920978, ""edge_cap"": 0.5110789721717425, ""edge_k"": 1.4540077107763332, ""ema1"": 8, ""ema2"": 57, ""p_adx"": 13, ""p_atr"": 12, ""p_sma"": 52, ""p_std"": 20, ""rsi_ob"": 94, ""rsi_os"": 21, ""rsi_period"": 17, ""rsi_required"": true, ""slip_atr_k"": 0.23587047451694831, ""slip_spread_k"": 0.4026688486371658, ""spread_hl_frac"": 0.02187035180824115, ""strategy"": ""mean_reversion"", ""time_stop"": 34, ""tp_mult"": 2.705147113222262, ""tsl_mult"": 0.565331388798724, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.13829883214425248}"
1,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 28.170416855619045, ""atr_max_pct"": 0.07065045207122951, ""atr_min_pct"": 0.008804241480368596, ""bb_std_mult"": 3.0626961596042066, ""edge_cap"": 0.9011152690858274, ""edge_k"": 1.7087152350721937, ""ema1"": 15, ""ema2"": 21, ""p_adx"": 20, ""p_atr"": 19, ""p_sma"": 14, ""p_std"": 58, ""rsi_ob"": 83, ""rsi_os"": 9, ""rsi_period"": 43, ""rsi_required"": false, ""slip_atr_k"": 0.2149093596212848, ""slip_spread_k"": 0.4642425424187161, ""spread_hl_frac"": 0.04685236329516876, ""strategy"": ""mean_reversion"", ""time_stop"": 155, ""tp_mult"": 2.7311917302411524, ""tsl_mult"": 0.5009571313798982, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2301951391081586}"
2,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,mean_reversion,1,"{""adx_thresh"": 31.69102098841736, ""atr_max_pct"": 0.11644644427501748, ""atr_min_pct"": 0.018026221909732666, ""bb_std_mult"": 3.0219686262830745, ""edge_cap"": 0.14761167409157974, ""edge_k"": 1.3583637211387753, ""ema1"": 12, ""ema2"": 57, ""p_adx"": 10, ""p_atr"": 12, ""p_sma"": 59, ""p_std"": 10, ""rsi_ob"": 66, ""rsi_os"": 16, ""rsi_period"": 81, ""rsi_required"": true, ""slip_atr_k"": 0.11458544277273214, ""slip_spread_k"": 0.22554078744711115, ""spread_hl_frac"": 0.03461661229367193, ""strategy"": ""mean_reversion"", ""time_stop"": 176, ""tp_mult"": 1.9966189170960487, ""tsl_mult"": 0.36553546689981253, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16041134348124003}"
3,0.0,,-1000000000.0,1000000000.0,0.0,,0.0,breakout,1,"{""adx_thresh"": 25.150134071497135, ""atr_max_pct"": 0.02062124911793086, ""atr_min_pct"": 0.015525491503581127, ""bb_std_mult"": 2.4779818558129447, ""edge_cap"": 0.2574592616519012, ""edge_k"": 0.29657796953617077, ""ema1"": 28, ""ema2"": 49, ""p_adx"": 26, ""p_atr"": 8, ""p_sma"": 7, ""p_std"": 43, ""rsi_ob"": 82, ""rsi_os"": 5, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.17973330198081736, ""slip_spread_k"": 0.49738173179112555, ""spread_hl_frac"": 0.0066494075609366265, ""strategy"": ""breakout"", ""time_stop"": 55, ""tp_mult"": 2.5182940995626355, ""tsl_mult"": 0.8397304898827604, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.020469046352629906}"
4,-7.55131360643535e-05,-1.9755491027468096e-05,-1000000000.0,1000000000.0,-7.55131360643535e-05,-1.9755491027468096e-05,3.0,breakout,1,"{""adx_thresh"": 22.816294761958794, ""atr_max_pct"": 0.0539367625466915, ""atr_min_pct"": 0.01057068555767794, ""bb_std_mult"": 1.5655377041398615, ""edge_cap"": 0.25515668212643716, ""edge_k"": 1.8830674935329907, ""ema1"": 19, ""ema2"": 36, ""p_adx"": 29, ""p_atr"": 13, ""p_sma"": 37, ""p_std"": 44, ""rsi_ob"": 76, ""rsi_os"": 29, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.12938336123358873, ""slip_spread_k"": 0.8508270036362315, ""spread_hl_frac"": 0.002756146075997651, ""strategy"": ""breakout"", ""time_stop"": 121, ""tp_mult"": 1.6676318810302533, ""tsl_mult"": 0.19496917416620152, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24064545827709222}"
5,0.0005646421546632308,-0.00018122383879940368,-1000000000.0,1000000000.0,0.0005646421546632308,-0.00018122383879940368,56.0,mean_reversion,1,"{""adx_thresh"": 25.665842134724382, ""atr_max_pct"": 0.012973358685026864, ""atr_min_pct"": 0.006081528931887955, ""bb_std_mult"": 1.2558049940237965, ""edge_cap"": 0.580179921922078, ""edge_k"": 0.7368376915681301, ""ema1"": 24, ""ema2"": 35, ""p_adx"": 29, ""p_atr"": 27, ""p_sma"": 12, ""p_std"": 23, ""rsi_ob"": 85, ""rsi_os"": 7, ""rsi_period"": 7, ""rsi_required"": true, ""slip_atr_k"": 0.026082058245532447, ""slip_spread_k"": 0.335722446160425, ""spread_hl_frac"": 0.04319812904519047, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 1.426690470331769, ""tsl_mult"": 0.408344390130139, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19345521302250238}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.435217053877976, ""atr_max_pct"": 0.06945470601658447, ""atr_min_pct"": 0.018259328417523767, ""bb_std_mult"": 2.492862871294494, ""edge_cap"": 0.9061685076463086, ""edge_k"": 0.6514875658703827, ""ema1"": 28, ""ema2"": 40, ""p_adx"": 11, ""p_atr"": 21, ""p_sma"": 53, ""p_std"": 24, ""rsi_ob"": 47, ""rsi_os"": 11, ""rsi_period"": 23, ""rsi_required"": true, ""slip_atr_k"": 0.10359793942887155, ""slip_spread_k"": 0.8587839926063693, ""spread_hl_frac"": 0.04245181072033996, ""strategy"": ""mean_reversion"", ""time_stop"": 161, ""tp_mult"": 2.131568525138501, ""tsl_mult"": 0.9841332073790908, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.16949868338824722}"
7,-0.004130030118808081,-0.00414372402145237,-0.004130030118808081,0.00414372402145237,-0.004130030118808081,-0.00414372402145237,470.0,breakout,1,"{""adx_thresh"": 12.606596475272813, ""atr_max_pct"": 0.015841730931191216, ""atr_min_pct"": 0.003861995621333871, ""bb_std_mult"": 1.7793201715234577, ""edge_cap"": 0.21922972517954883, ""edge_k"": 1.4008851941765008, ""ema1"": 15, ""ema2"": 60, ""p_adx"": 23, ""p_atr"": 11, ""p_sma"": 11, ""p_std"": 42, ""rsi_ob"": 45, ""rsi_os"": 23, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.12277550218553307, ""slip_spread_k"": 0.5574011233909947, ""spread_hl_frac"": 0.0011155419376691512, ""strategy"": ""breakout"", ""time_stop"": 42, ""tp_mult"": 2.5238708722306185, ""tsl_mult"": 0.0032453457209339343, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09040744847367158}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 18.66047628733384, ""atr_max_pct"": 0.0845269597517765, ""atr_min_pct"": 0.0004945452207241508, ""bb_std_mult"": 3.0064746709118193, ""edge_cap"": 0.7069652555419896, ""edge_k"": 1.9669121263036944, ""ema1"": 19, ""ema2"": 32, ""p_adx"": 7, ""p_atr"": 9, ""p_sma"": 42, ""p_std"": 24, ""rsi_ob"": 52, ""rsi_os"": 51, ""rsi_period"": 8, ""rsi_required"": true, ""slip_atr_k"": 0.005592444037613775, ""slip_spread_k"": 0.6800127061235457, ""spread_hl_frac"": 0.022082129552157832, ""strategy"": ""mean_reversion"", ""time_stop"": 65, ""tp_mult"": 1.5662169034238127, ""tsl_mult"": 0.1852836102733204, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.0557907439716923}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.240419168627, ""atr_max_pct"": 0.10081982939889605, ""atr_min_pct"": 0.00987587987303837, ""bb_std_mult"": 3.054621441700798, ""edge_cap"": 0.619009848199001, ""edge_k"": 1.6850222116092806, ""ema1"": 9, ""ema2"": 42, ""p_adx"": 18, ""p_atr"": 22, ""p_sma"": 51, ""p_std"": 35, ""rsi_ob"": 48, ""rsi_os"": 28, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.04663793770777555, ""slip_spread_k"": 0.8491159762898755, ""spread_hl_frac"": 0.0011144594706202215, ""strategy"": ""mean_reversion"", ""time_stop"": 44, ""tp_mult"": 2.134377406724084, ""tsl_mult"": 0.8154659847222647, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.09295337052924275}"
10,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 11.01300601277918, ""atr_max_pct"": 0.13687226686399584, ""atr_min_pct"": 0.02049463916511463, ""bb_std_mult"": 3.0052807777084474, ""edge_cap"": 0.1255854201088435, ""edge_k"": 0.7787764862034723, ""ema1"": 11, ""ema2"": 23, ""p_adx"": 16, ""p_atr"": 19, ""p_sma"": 43, ""p_std"": 43, ""rsi_ob"": 45, ""rsi_os"": 53, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.0952494105338538, ""slip_spread_k"": 0.46148944717156326, ""spread_hl_frac"": 0.046437324437918474, ""strategy"": ""mean_reversion"", ""time_stop"": 167, ""tp_mult"": 2.155641941338301, ""tsl_mult"": 0.4024581822092904, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.27962506979776425}"
