2025-08-30 14:20:39,745 WARNING: DATA SANITY: Extreme jumps >20*ATR200: 42
[I 2025-08-30 14:20:39,756] A new study created in memory with name: no-name-d704009b-4430-48b8-8ab8-905acdc66b78
[I 2025-08-30 14:21:14,092] Trial 3 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 48, 'p_std': 12, 'p_atr': 11, 'p_adx': 22, 'rsi_period': 22, 'ema1': 28, 'ema2': 26, 'slip_atr_k': 0.032946326779779406, 'slip_spread_k': 0.943020932922885, 'spread_hl_frac': 0.0032778588036819103, 'bb_std_mult': 1.7924846214697094, 'rsi_os': 38, 'rsi_ob': 56, 'vol_spike': 0.0677202136284137, 'adx_thresh': 16.274181224433853, 'atr_min_pct': 0.0031678553503896876, 'atr_max_pct': 0.13495873487939553, 'tp_mult': 1.3682027762910265, 'tsl_mult': 0.18953582247548773, 'strategy': 'mean_reversion', 'time_stop': 132, 'use_sma': True, 'use_atr': False, 'use_adx': False, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 0.878760442275692, 'edge_cap': 0.7337673297758467, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.169401229140875, 'bull_rsi_os': 48, 'bull_rsi_ob': 50, 'bull_adx_thresh': 30.2556848928881, 'bull_atr_min_pct': 0.004882908105703536, 'bull_atr_max_pct': 0.05826260738614186, 'bull_tp_mult': 1.817310314663074, 'bull_tsl_mult': 0.47092238902332995, 'bull_time_stop': 236, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 2.0582685504170075, 'bear_rsi_os': 12, 'bear_rsi_ob': 48, 'bear_adx_thresh': 10.172011978677522, 'bear_atr_min_pct': 0.021927483691613132, 'bear_atr_max_pct': 0.05472719690084362, 'bear_tp_mult': 1.9422062649326188, 'bear_tsl_mult': 0.2507776869361108, 'bear_time_stop': 242, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.161992469766957, 'sideways_rsi_os': 18, 'sideways_rsi_ob': 63, 'sideways_adx_thresh': 32.58324965250443, 'sideways_atr_min_pct': 0.02094164301890216, 'sideways_atr_max_pct': 0.14381174728799295, 'sideways_tp_mult': 2.5519677413827058, 'sideways_tsl_mult': 0.2513760694329239, 'sideways_time_stop': 135, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:14,656] Trial 1 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 45, 'p_std': 56, 'p_atr': 25, 'p_adx': 14, 'rsi_period': 65, 'ema1': 24, 'ema2': 18, 'slip_atr_k': 0.09497795063874684, 'slip_spread_k': 0.8069879514976688, 'spread_hl_frac': 0.028339541412468163, 'bb_std_mult': 3.471830017349808, 'rsi_os': 28, 'rsi_ob': 66, 'vol_spike': 0.1071272489313995, 'adx_thresh': 16.264340971544843, 'atr_min_pct': 0.0031531601357775974, 'atr_max_pct': 0.13839127580137484, 'tp_mult': 1.5905585166583922, 'tsl_mult': 0.9135282682197898, 'strategy': 'mean_reversion', 'time_stop': 227, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.5071143419379045, 'edge_cap': 0.5468413598818892, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.426668942182909, 'bull_rsi_os': 41, 'bull_rsi_ob': 89, 'bull_adx_thresh': 19.46747543161796, 'bull_atr_min_pct': 0.028181837203040763, 'bull_atr_max_pct': 0.07898719136557857, 'bull_tp_mult': 1.775440139786712, 'bull_tsl_mult': 0.05629361247951592, 'bull_time_stop': 154, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 0.965815105260862, 'bear_rsi_os': 11, 'bear_rsi_ob': 48, 'bear_adx_thresh': 5.209839985805686, 'bear_atr_min_pct': 0.027636364436713065, 'bear_atr_max_pct': 0.039400594760555574, 'bear_tp_mult': 1.1094504535779246, 'bear_tsl_mult': 0.4969495293424665, 'bear_time_stop': 16, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.4492790987505346, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 57, 'sideways_adx_thresh': 23.494858413621145, 'sideways_atr_min_pct': 0.008523171364111065, 'sideways_atr_max_pct': 0.08461972024167992, 'sideways_tp_mult': 1.8585989746114753, 'sideways_tsl_mult': 0.34679342909854005, 'sideways_time_stop': 135, 'sideways_use_sma': True, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:14,911] Trial 2 finished with values: [-0.021819438650595657, 0.021751494935777927] and parameters: {'p_sma': 56, 'p_std': 8, 'p_atr': 13, 'p_adx': 13, 'rsi_period': 81, 'ema1': 20, 'ema2': 48, 'slip_atr_k': 0.16241502538759564, 'slip_spread_k': 0.37351228135354375, 'spread_hl_frac': 0.03112636861006888, 'bb_std_mult': 2.489719257237492, 'rsi_os': 20, 'rsi_ob': 57, 'vol_spike': 0.23039128770671335, 'adx_thresh': 33.618919672346685, 'atr_min_pct': 0.0023959870082666734, 'atr_max_pct': 0.03414428439456551, 'tp_mult': 2.661573276187348, 'tsl_mult': 0.48503229723927777, 'strategy': 'breakout', 'time_stop': 292, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.04508495564945436, 'edge_cap': 0.29220872929287717, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.0482983619610604, 'bull_rsi_os': 13, 'bull_rsi_ob': 85, 'bull_adx_thresh': 33.09708736466387, 'bull_atr_min_pct': 0.0011562995391020446, 'bull_atr_max_pct': 0.14057401886547202, 'bull_tp_mult': 1.3282732718563144, 'bull_tsl_mult': 0.4536262532513412, 'bull_time_stop': 45, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.3531430125987365, 'bear_rsi_os': 21, 'bear_rsi_ob': 85, 'bear_adx_thresh': 6.037504731454817, 'bear_atr_min_pct': 4.748421668265501e-05, 'bear_atr_max_pct': 0.08188488062798781, 'bear_tp_mult': 1.6587728210718928, 'bear_tsl_mult': 0.6546079829580304, 'bear_time_stop': 161, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': False, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.7990101185981113, 'sideways_rsi_os': 11, 'sideways_rsi_ob': 72, 'sideways_adx_thresh': 34.04148650445814, 'sideways_atr_min_pct': 0.028935951492971866, 'sideways_atr_max_pct': 0.01701020851495615, 'sideways_tp_mult': 2.767778896610029, 'sideways_tsl_mult': 0.989080657906985, 'sideways_time_stop': 148, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:15,176] Trial 0 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 7, 'p_std': 23, 'p_atr': 28, 'p_adx': 18, 'rsi_period': 78, 'ema1': 16, 'ema2': 47, 'slip_atr_k': 0.11770012966069185, 'slip_spread_k': 0.1841401479577206, 'spread_hl_frac': 0.03862263789930192, 'bb_std_mult': 1.3609393922346285, 'rsi_os': 42, 'rsi_ob': 52, 'vol_spike': 0.25614003309439026, 'adx_thresh': 23.46712772116431, 'atr_min_pct': 0.01170270922967672, 'atr_max_pct': 0.025081644790162023, 'tp_mult': 1.742533658094975, 'tsl_mult': 0.11575113114762303, 'strategy': 'mean_reversion', 'time_stop': 37, 'use_sma': False, 'use_atr': True, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.30354635344583203, 'edge_cap': 0.0836661579037295, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 3.528552349973241, 'bull_rsi_os': 6, 'bull_rsi_ob': 50, 'bull_adx_thresh': 17.09172867114397, 'bull_atr_min_pct': 0.02479132208286052, 'bull_atr_max_pct': 0.07566050193081378, 'bull_tp_mult': 2.891661004690178, 'bull_tsl_mult': 0.039203810984909326, 'bull_time_stop': 156, 'bull_use_sma': True, 'bull_use_ema': True, 'bull_use_atr': True, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 0.6565254959497866, 'bear_rsi_os': 30, 'bear_rsi_ob': 59, 'bear_adx_thresh': 25.784646270944425, 'bear_atr_min_pct': 0.004015936390114072, 'bear_atr_max_pct': 0.12029065202909829, 'bear_tp_mult': 2.8303645557034707, 'bear_tsl_mult': 0.8849130087137547, 'bear_time_stop': 91, 'bear_use_sma': False, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.066567447381334, 'sideways_rsi_os': 46, 'sideways_rsi_ob': 58, 'sideways_adx_thresh': 11.585141656859037, 'sideways_atr_min_pct': 0.009659970416432203, 'sideways_atr_max_pct': 0.10663726384596711, 'sideways_tp_mult': 1.9880145894384587, 'sideways_tsl_mult': 0.7246023868532501, 'sideways_time_stop': 231, 'sideways_use_sma': False, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:44,845] Trial 4 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 34, 'p_std': 20, 'p_atr': 23, 'p_adx': 10, 'rsi_period': 33, 'ema1': 8, 'ema2': 26, 'slip_atr_k': 0.2210643035635999, 'slip_spread_k': 0.2816034655282299, 'spread_hl_frac': 0.020827876544005926, 'bb_std_mult': 3.523649357548898, 'rsi_os': 47, 'rsi_ob': 55, 'vol_spike': 0.23957136846549767, 'adx_thresh': 25.315748983252654, 'atr_min_pct': 0.021911924944005755, 'atr_max_pct': 0.061887501608429304, 'tp_mult': 1.4890267958109373, 'tsl_mult': 0.38962653550228055, 'strategy': 'breakout', 'time_stop': 131, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.3236591801702111, 'edge_cap': 0.7884238231286427, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 1.1899072849817776, 'bull_rsi_os': 48, 'bull_rsi_ob': 70, 'bull_adx_thresh': 11.313142237790087, 'bull_atr_min_pct': 0.013380157728106185, 'bull_atr_max_pct': 0.08102133812147155, 'bull_tp_mult': 2.081660357018101, 'bull_tsl_mult': 0.9759120320031835, 'bull_time_stop': 148, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.115046893654516, 'bear_rsi_os': 51, 'bear_rsi_ob': 70, 'bear_adx_thresh': 24.33215719384201, 'bear_atr_min_pct': 0.02906342209718854, 'bear_atr_max_pct': 0.1408464039982547, 'bear_tp_mult': 2.3482481556346646, 'bear_tsl_mult': 0.1530096031157444, 'bear_time_stop': 26, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.6886815083367637, 'sideways_rsi_os': 39, 'sideways_rsi_ob': 51, 'sideways_adx_thresh': 28.881994162931246, 'sideways_atr_min_pct': 0.026012482186588068, 'sideways_atr_max_pct': 0.04949445130271645, 'sideways_tp_mult': 1.2465691237160605, 'sideways_tsl_mult': 0.23356273303678532, 'sideways_time_stop': 17, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 14:21:45,204] Trial 6 finished with values: [-0.058872041026656, 0.05882385844994871] and parameters: {'p_sma': 26, 'p_std': 19, 'p_atr': 17, 'p_adx': 22, 'rsi_period': 35, 'ema1': 18, 'ema2': 40, 'slip_atr_k': 0.09128253798287925, 'slip_spread_k': 0.5412848375622843, 'spread_hl_frac': 0.013474736224071582, 'bb_std_mult': 3.1590398217489937, 'rsi_os': 34, 'rsi_ob': 48, 'vol_spike': 0.13903141374546554, 'adx_thresh': 30.158924244990644, 'atr_min_pct': 0.007098815191238393, 'atr_max_pct': 0.1325261440379772, 'tp_mult': 1.424456799449434, 'tsl_mult': 0.15626855710635268, 'strategy': 'breakout', 'time_stop': 60, 'use_sma': False, 'use_atr': False, 'use_adx': False, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 0.4069007531083262, 'edge_cap': 0.9422160801659824, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 2.930382882091632, 'bull_rsi_os': 12, 'bull_rsi_ob': 45, 'bull_adx_thresh': 27.435394169108516, 'bull_atr_min_pct': 0.026575412079355053, 'bull_atr_max_pct': 0.010537067016719833, 'bull_tp_mult': 2.2616084759328907, 'bull_tsl_mult': 0.010787842636932998, 'bull_time_stop': 52, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': False, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 3.2282829752724327, 'bear_rsi_os': 9, 'bear_rsi_ob': 49, 'bear_adx_thresh': 20.06231423008745, 'bear_atr_min_pct': 0.025167938755336017, 'bear_atr_max_pct': 0.14379354731934896, 'bear_tp_mult': 2.241789805840875, 'bear_tsl_mult': 0.4878714435533519, 'bear_time_stop': 261, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 3.540948150194582, 'sideways_rsi_os': 27, 'sideways_rsi_ob': 52, 'sideways_adx_thresh': 33.58783585716231, 'sideways_atr_min_pct': 0.0005653600144785264, 'sideways_atr_max_pct': 0.018768816222847276, 'sideways_tp_mult': 1.7181972531303422, 'sideways_tsl_mult': 0.4050057697307242, 'sideways_time_stop': 203, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:45,436] Trial 5 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 28, 'p_std': 39, 'p_atr': 8, 'p_adx': 25, 'rsi_period': 71, 'ema1': 5, 'ema2': 54, 'slip_atr_k': 0.21437700920592012, 'slip_spread_k': 0.41159086986608673, 'spread_hl_frac': 0.04865270026538743, 'bb_std_mult': 1.2636905411260682, 'rsi_os': 37, 'rsi_ob': 52, 'vol_spike': 0.011981899571147024, 'adx_thresh': 19.69656786258048, 'atr_min_pct': 0.02965839113517681, 'atr_max_pct': 0.05561736108033408, 'tp_mult': 1.1354715006038818, 'tsl_mult': 0.6388898090402428, 'strategy': 'breakout', 'time_stop': 193, 'use_sma': True, 'use_atr': True, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': False, 'edge_k': 0.6995692193928307, 'edge_cap': 0.7218475232222908, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 0.516570091414956, 'bull_rsi_os': 47, 'bull_rsi_ob': 48, 'bull_adx_thresh': 26.430122009595973, 'bull_atr_min_pct': 0.023545440505262694, 'bull_atr_max_pct': 0.05149724449167148, 'bull_tp_mult': 1.662275920251472, 'bull_tsl_mult': 0.729889815159647, 'bull_time_stop': 282, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': True, 'bull_use_adx': True, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'breakout', 'bear_bb_std_mult': 1.0136936211851146, 'bear_rsi_os': 32, 'bear_rsi_ob': 68, 'bear_adx_thresh': 21.668048510713856, 'bear_atr_min_pct': 0.017921099238921465, 'bear_atr_max_pct': 0.033837265534555454, 'bear_tp_mult': 1.1965373511831685, 'bear_tsl_mult': 0.3611005986615339, 'bear_time_stop': 62, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.258589139697747, 'sideways_rsi_os': 25, 'sideways_rsi_ob': 69, 'sideways_adx_thresh': 31.920433823162078, 'sideways_atr_min_pct': 0.0031343077255769247, 'sideways_atr_max_pct': 0.09027938502558046, 'sideways_tp_mult': 2.5815095223483233, 'sideways_tsl_mult': 0.5029123851211297, 'sideways_time_stop': 105, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:45,453] Trial 10 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 58, 'p_std': 18, 'p_atr': 17, 'p_adx': 12, 'rsi_period': 32, 'ema1': 23, 'ema2': 50, 'slip_atr_k': 0.1718097872680786, 'slip_spread_k': 0.2054414138303099, 'spread_hl_frac': 0.0451820075988489, 'bb_std_mult': 1.3369205020122565, 'rsi_os': 25, 'rsi_ob': 49, 'vol_spike': 0.11872887024838574, 'adx_thresh': 5.1266607192102, 'atr_min_pct': 0.005578731964264838, 'atr_max_pct': 0.10532822268837451, 'tp_mult': 1.2796020900031777, 'tsl_mult': 0.242558407204436, 'strategy': 'mean_reversion', 'time_stop': 275, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': True, 'edge_k': 1.1010348614949896, 'edge_cap': 0.6714081800009848, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.604076625584696, 'bull_rsi_os': 14, 'bull_rsi_ob': 71, 'bull_adx_thresh': 7.0557999311411805, 'bull_atr_min_pct': 0.023547660320748634, 'bull_atr_max_pct': 0.14851780212687013, 'bull_tp_mult': 2.8509391753361046, 'bull_tsl_mult': 0.21006093375733992, 'bull_time_stop': 147, 'bull_use_sma': True, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.5927771810186293, 'bear_rsi_os': 40, 'bear_rsi_ob': 50, 'bear_adx_thresh': 10.744387563002642, 'bear_atr_min_pct': 0.0038095095404684417, 'bear_atr_max_pct': 0.08443446039918723, 'bear_tp_mult': 1.3776476355539078, 'bear_tsl_mult': 0.5515777762547496, 'bear_time_stop': 41, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 0.563402740460887, 'sideways_rsi_os': 23, 'sideways_rsi_ob': 72, 'sideways_adx_thresh': 23.545292354322193, 'sideways_atr_min_pct': 0.023593711702712284, 'sideways_atr_max_pct': 0.08206234866588102, 'sideways_tp_mult': 2.406872245238012, 'sideways_tsl_mult': 0.2792721767213454, 'sideways_time_stop': 145, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': False}.
[I 2025-08-30 14:21:45,739] Trial 7 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 56, 'p_std': 15, 'p_atr': 19, 'p_adx': 29, 'rsi_period': 9, 'ema1': 27, 'ema2': 49, 'slip_atr_k': 0.20395837465233127, 'slip_spread_k': 0.0038011607965209304, 'spread_hl_frac': 0.03961203718881862, 'bb_std_mult': 3.5447984789838283, 'rsi_os': 38, 'rsi_ob': 55, 'vol_spike': 0.07996827979041621, 'adx_thresh': 33.33772907114908, 'atr_min_pct': 0.016468793470485594, 'atr_max_pct': 0.08763789445085797, 'tp_mult': 1.837011125712485, 'tsl_mult': 0.5156660939851369, 'strategy': 'mean_reversion', 'time_stop': 94, 'use_sma': True, 'use_atr': False, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 0.4741901403531026, 'edge_cap': 0.6468553517846282, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 2.8024426790194936, 'bull_rsi_os': 45, 'bull_rsi_ob': 65, 'bull_adx_thresh': 6.639389272139489, 'bull_atr_min_pct': 0.022040694101599843, 'bull_atr_max_pct': 0.12384863291162056, 'bull_tp_mult': 1.1473732329863775, 'bull_tsl_mult': 0.13094775471446685, 'bull_time_stop': 239, 'bull_use_sma': False, 'bull_use_ema': False, 'bull_use_atr': False, 'bull_use_adx': False, 'bull_use_spike': True, 'bull_rsi_required': True, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.306722853074417, 'bear_rsi_os': 27, 'bear_rsi_ob': 49, 'bear_adx_thresh': 13.073287009080506, 'bear_atr_min_pct': 0.001846447049504991, 'bear_atr_max_pct': 0.039016731965154566, 'bear_tp_mult': 2.8363943389927284, 'bear_tsl_mult': 0.8555467837079312, 'bear_time_stop': 292, 'bear_use_sma': True, 'bear_use_ema': True, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': False, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 2.7963527676286084, 'sideways_rsi_os': 37, 'sideways_rsi_ob': 47, 'sideways_adx_thresh': 26.135951665869243, 'sideways_atr_min_pct': 0.01914579409764832, 'sideways_atr_max_pct': 0.04918292176713744, 'sideways_tp_mult': 2.265579383254058, 'sideways_tsl_mult': 0.9783297279124717, 'sideways_time_stop': 259, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': False, 'sideways_use_adx': False, 'sideways_use_spike': True, 'sideways_rsi_required': True}.
[I 2025-08-30 14:22:15,282] Trial 11 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 50, 'p_std': 50, 'p_atr': 13, 'p_adx': 16, 'rsi_period': 82, 'ema1': 15, 'ema2': 55, 'slip_atr_k': 0.23471228829101906, 'slip_spread_k': 0.5809902497292324, 'spread_hl_frac': 0.02491532722956451, 'bb_std_mult': 2.647916850656083, 'rsi_os': 28, 'rsi_ob': 63, 'vol_spike': 0.1255528044736112, 'adx_thresh': 13.966605244863983, 'atr_min_pct': 0.02660032695457283, 'atr_max_pct': 0.14208131957521972, 'tp_mult': 2.9153142277525976, 'tsl_mult': 0.8109487560890157, 'strategy': 'mean_reversion', 'time_stop': 276, 'use_sma': False, 'use_atr': False, 'use_adx': True, 'use_ema': False, 'use_spike': False, 'rsi_required': True, 'edge_k': 1.4276569689974556, 'edge_cap': 0.252772629479492, 'bull_strategy': 'breakout', 'bull_bb_std_mult': 3.3399653221243812, 'bull_rsi_os': 8, 'bull_rsi_ob': 92, 'bull_adx_thresh': 7.792250446199861, 'bull_atr_min_pct': 0.02457759652052075, 'bull_atr_max_pct': 0.08411875149879883, 'bull_tp_mult': 2.6680501919855835, 'bull_tsl_mult': 0.5210512163516021, 'bull_time_stop': 216, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 2.3029508792213296, 'bear_rsi_os': 52, 'bear_rsi_ob': 82, 'bear_adx_thresh': 29.51951338902739, 'bear_atr_min_pct': 0.023354765536059106, 'bear_atr_max_pct': 0.036741243379197513, 'bear_tp_mult': 1.5689271883513893, 'bear_tsl_mult': 0.05269545278365573, 'bear_time_stop': 14, 'bear_use_sma': True, 'bear_use_ema': False, 'bear_use_atr': True, 'bear_use_adx': False, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'breakout', 'sideways_bb_std_mult': 2.468397233071089, 'sideways_rsi_os': 13, 'sideways_rsi_ob': 68, 'sideways_adx_thresh': 11.021309968769884, 'sideways_atr_min_pct': 0.015992607150913773, 'sideways_atr_max_pct': 0.017090461357086893, 'sideways_tp_mult': 1.4169999604399188, 'sideways_tsl_mult': 0.43046482560427435, 'sideways_time_stop': 159, 'sideways_use_sma': False, 'sideways_use_ema': False, 'sideways_use_atr': True, 'sideways_use_adx': False, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
[I 2025-08-30 14:22:15,575] Trial 8 finished with values: [-1000000000.0, 1000000000.0] and parameters: {'p_sma': 13, 'p_std': 15, 'p_atr': 12, 'p_adx': 22, 'rsi_period': 21, 'ema1': 17, 'ema2': 27, 'slip_atr_k': 0.2145629985548197, 'slip_spread_k': 0.9574937871915118, 'spread_hl_frac': 0.03706221967042341, 'bb_std_mult': 1.5812984537571497, 'rsi_os': 10, 'rsi_ob': 70, 'vol_spike': 0.08991273516716584, 'adx_thresh': 24.05521172622148, 'atr_min_pct': 0.029348504951033156, 'atr_max_pct': 0.09724074134576861, 'tp_mult': 2.4011161031113977, 'tsl_mult': 0.6762842417691157, 'strategy': 'mean_reversion', 'time_stop': 160, 'use_sma': False, 'use_atr': True, 'use_adx': True, 'use_ema': True, 'use_spike': True, 'rsi_required': False, 'edge_k': 1.2097520906504584, 'edge_cap': 0.18427885035704694, 'bull_strategy': 'mean_reversion', 'bull_bb_std_mult': 1.6611560099617393, 'bull_rsi_os': 19, 'bull_rsi_ob': 74, 'bull_adx_thresh': 27.226727305086282, 'bull_atr_min_pct': 0.0206876164228433, 'bull_atr_max_pct': 0.13699789088692502, 'bull_tp_mult': 2.60362446700007, 'bull_tsl_mult': 0.30592597877873606, 'bull_time_stop': 6, 'bull_use_sma': False, 'bull_use_ema': True, 'bull_use_atr': False, 'bull_use_adx': True, 'bull_use_spike': False, 'bull_rsi_required': False, 'bear_strategy': 'mean_reversion', 'bear_bb_std_mult': 3.4978924875472, 'bear_rsi_os': 55, 'bear_rsi_ob': 70, 'bear_adx_thresh': 16.62564646667576, 'bear_atr_min_pct': 0.015638741694294054, 'bear_atr_max_pct': 0.08455310422770333, 'bear_tp_mult': 2.3342721299601474, 'bear_tsl_mult': 0.2393815758089498, 'bear_time_stop': 136, 'bear_use_sma': False, 'bear_use_ema': False, 'bear_use_atr': False, 'bear_use_adx': True, 'bear_use_spike': True, 'bear_rsi_required': True, 'sideways_strategy': 'mean_reversion', 'sideways_bb_std_mult': 1.3858429619456216, 'sideways_rsi_os': 32, 'sideways_rsi_ob': 87, 'sideways_adx_thresh': 31.84625535760066, 'sideways_atr_min_pct': 0.010307501701816981, 'sideways_atr_max_pct': 0.04519634597252131, 'sideways_tp_mult': 2.879923397279623, 'sideways_tsl_mult': 0.9499613267867152, 'sideways_time_stop': 69, 'sideways_use_sma': True, 'sideways_use_ema': True, 'sideways_use_atr': True, 'sideways_use_adx': True, 'sideways_use_spike': False, 'sideways_rsi_required': True}.
