number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9999376518492038,-0.9999376516104566,-1000000000.0,0.9999376516104566,-0.9999376518492038,-0.9999376516104566,4790.0,mean_reversion,1,"{""adx_thresh"": 25.82002747719626, ""atr_max_pct"": 0.14650564062465218, ""atr_min_pct"": 0.006583273242607128, ""bb_std_mult"": 3.4429473641928565, ""edge_cap"": 0.14743826694820655, ""edge_k"": 1.0525122504770723, ""ema1"": 18, ""ema2"": 50, ""p_adx"": 25, ""p_atr"": 13, ""p_sma"": 50, ""p_std"": 49, ""rsi_ob"": 89, ""rsi_os"": 42, ""rsi_period"": 50, ""rsi_required"": true, ""slip_atr_k"": 0.09564136320773159, ""slip_spread_k"": 0.13076522239153765, ""spread_hl_frac"": 0.005801323738681741, ""strategy"": ""mean_reversion"", ""time_stop"": 111, ""tp_mult"": 1.964415027544383, ""tsl_mult"": 0.6029582603505074, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1389314685479284}"
1,-0.9999377881066035,-0.9999377873761676,-1000000000.0,0.9999377873761676,-0.9999377881066035,-0.9999377873761676,4095.0,breakout,1,"{""adx_thresh"": 5.30100658301971, ""atr_max_pct"": 0.01060427841040215, ""atr_min_pct"": 0.006024862936196558, ""bb_std_mult"": 3.0337312954660733, ""edge_cap"": 0.12837382132601655, ""edge_k"": 0.5755130804911328, ""ema1"": 15, ""ema2"": 15, ""p_adx"": 30, ""p_atr"": 20, ""p_sma"": 46, ""p_std"": 27, ""rsi_ob"": 49, ""rsi_os"": 6, ""rsi_period"": 83, ""rsi_required"": false, ""slip_atr_k"": 0.12306632830737191, ""slip_spread_k"": 0.8423368476556748, ""spread_hl_frac"": 0.03671659866513729, ""strategy"": ""breakout"", ""time_stop"": 73, ""tp_mult"": 1.9277900467402844, ""tsl_mult"": 0.7043851464899452, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2992691064966194}"
2,-0.9999376107932507,-0.9999376103786641,-1000000000.0,0.9999376103786641,-0.9999376107932507,-0.9999376103786641,3408.0,breakout,1,"{""adx_thresh"": 27.729701229689542, ""atr_max_pct"": 0.043588966998281006, ""atr_min_pct"": 0.010261165919690458, ""bb_std_mult"": 0.6240473123451208, ""edge_cap"": 0.31408160120454637, ""edge_k"": 1.2314528344272144, ""ema1"": 29, ""ema2"": 54, ""p_adx"": 25, ""p_atr"": 15, ""p_sma"": 56, ""p_std"": 56, ""rsi_ob"": 49, ""rsi_os"": 41, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.2413618757463926, ""slip_spread_k"": 0.25198966721861527, ""spread_hl_frac"": 0.02772905351724684, ""strategy"": ""breakout"", ""time_stop"": 200, ""tp_mult"": 1.7518041144134822, ""tsl_mult"": 0.7013984850868529, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1424824857651129}"
3,-0.9999375289272406,-0.9999375285434087,-1000000000.0,0.9999375285434087,-0.9999375289272406,-0.9999375285434087,4844.0,mean_reversion,1,"{""adx_thresh"": 13.878366687234431, ""atr_max_pct"": 0.12931145575206, ""atr_min_pct"": 0.012440283909295654, ""bb_std_mult"": 2.579449386402108, ""edge_cap"": 0.8884371976733354, ""edge_k"": 0.41975684692544535, ""ema1"": 7, ""ema2"": 47, ""p_adx"": 9, ""p_atr"": 14, ""p_sma"": 21, ""p_std"": 55, ""rsi_ob"": 59, ""rsi_os"": 43, ""rsi_period"": 59, ""rsi_required"": true, ""slip_atr_k"": 0.05386824896244938, ""slip_spread_k"": 0.6379942366667571, ""spread_hl_frac"": 0.04392851268891289, ""strategy"": ""mean_reversion"", ""time_stop"": 226, ""tp_mult"": 2.8309260553557314, ""tsl_mult"": 0.9319863454959588, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0048102313772030334}"
4,-0.9999377121721129,-0.9999631336939812,-1000000000.0,0.9999631336939812,-0.9999377121721129,-0.9999631336939812,7163.0,mean_reversion,1,"{""adx_thresh"": 33.588849961111585, ""atr_max_pct"": 0.07256780389325236, ""atr_min_pct"": 0.015950166831113947, ""bb_std_mult"": 2.2775600695936453, ""edge_cap"": 0.6044320778017516, ""edge_k"": 1.6354071270593369, ""ema1"": 26, ""ema2"": 57, ""p_adx"": 10, ""p_atr"": 19, ""p_sma"": 58, ""p_std"": 42, ""rsi_ob"": 92, ""rsi_os"": 20, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.006447670205272593, ""slip_spread_k"": 0.8087823712925373, ""spread_hl_frac"": 0.0014387748155369807, ""strategy"": ""mean_reversion"", ""time_stop"": 182, ""tp_mult"": 1.5766103096319848, ""tsl_mult"": 0.8572224484279739, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1254448111851971}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 18.22600259690005, ""atr_max_pct"": 0.036684041035075464, ""atr_min_pct"": 0.013593520085228282, ""bb_std_mult"": 2.671441759243578, ""edge_cap"": 0.28667340863840424, ""edge_k"": 0.5471104629418784, ""ema1"": 10, ""ema2"": 18, ""p_adx"": 28, ""p_atr"": 22, ""p_sma"": 49, ""p_std"": 25, ""rsi_ob"": 56, ""rsi_os"": 52, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.09091053377264999, ""slip_spread_k"": 0.5653259672273507, ""spread_hl_frac"": 0.013576268627386857, ""strategy"": ""mean_reversion"", ""time_stop"": 168, ""tp_mult"": 2.233385885668412, ""tsl_mult"": 0.9926488039139222, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2136092112951419}"
6,-0.9999377292288435,-0.9999377288250787,-1000000000.0,0.9999377288250787,-0.9999377292288435,-0.9999377288250787,4999.0,mean_reversion,1,"{""adx_thresh"": 15.561707021702297, ""atr_max_pct"": 0.10588311731239665, ""atr_min_pct"": 0.02485593030202722, ""bb_std_mult"": 3.3235139337969497, ""edge_cap"": 0.280957792862046, ""edge_k"": 1.4948454457173972, ""ema1"": 30, ""ema2"": 42, ""p_adx"": 14, ""p_atr"": 8, ""p_sma"": 21, ""p_std"": 33, ""rsi_ob"": 73, ""rsi_os"": 12, ""rsi_period"": 81, ""rsi_required"": false, ""slip_atr_k"": 0.08795347513528615, ""slip_spread_k"": 0.3065332217742016, ""spread_hl_frac"": 0.01593981872667325, ""strategy"": ""mean_reversion"", ""time_stop"": 91, ""tp_mult"": 1.5398957124443349, ""tsl_mult"": 0.8644399460189696, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.29268676212758343}"
7,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 25.738205042367856, ""atr_max_pct"": 0.017600800748175154, ""atr_min_pct"": 0.020678520721340393, ""bb_std_mult"": 1.0307103143704572, ""edge_cap"": 0.7643935808960075, ""edge_k"": 0.09174188298136832, ""ema1"": 13, ""ema2"": 12, ""p_adx"": 20, ""p_atr"": 25, ""p_sma"": 25, ""p_std"": 27, ""rsi_ob"": 50, ""rsi_os"": 35, ""rsi_period"": 66, ""rsi_required"": false, ""slip_atr_k"": 0.11916488395116989, ""slip_spread_k"": 0.4683357524082087, ""spread_hl_frac"": 0.03576298898135471, ""strategy"": ""breakout"", ""time_stop"": 72, ""tp_mult"": 2.5807042406315674, ""tsl_mult"": 0.08577195308173224, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.04686111126470486}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.718218969628703, ""atr_max_pct"": 0.08980931860311422, ""atr_min_pct"": 0.00014096787598433025, ""bb_std_mult"": 2.5762780838427983, ""edge_cap"": 0.5568351707974036, ""edge_k"": 1.4487175379858594, ""ema1"": 14, ""ema2"": 11, ""p_adx"": 21, ""p_atr"": 22, ""p_sma"": 10, ""p_std"": 9, ""rsi_ob"": 47, ""rsi_os"": 10, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.08075683484049881, ""slip_spread_k"": 0.9111486468900917, ""spread_hl_frac"": 0.0058891808586095775, ""strategy"": ""mean_reversion"", ""time_stop"": 151, ""tp_mult"": 2.109372682399251, ""tsl_mult"": 0.8389899811031027, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1006744388005374}"
9,-0.9999377562639463,-0.9999377557769417,-1000000000.0,0.9999377557769417,-0.9999377562639463,-0.9999377557769417,3802.0,breakout,1,"{""adx_thresh"": 31.347326125581656, ""atr_max_pct"": 0.08833520114853073, ""atr_min_pct"": 0.004544574422811013, ""bb_std_mult"": 2.1044634958907613, ""edge_cap"": 0.9158126450403792, ""edge_k"": 1.0971276955043046, ""ema1"": 11, ""ema2"": 48, ""p_adx"": 12, ""p_atr"": 25, ""p_sma"": 21, ""p_std"": 41, ""rsi_ob"": 69, ""rsi_os"": 55, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.19439251433891105, ""slip_spread_k"": 0.8663313715198788, ""spread_hl_frac"": 0.013692405192349578, ""strategy"": ""breakout"", ""time_stop"": 131, ""tp_mult"": 2.925590735432229, ""tsl_mult"": 0.8337533387886868, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05265669979482942}"
