number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.999448813767844,-0.9994469996504867,-1000000000.0,0.9994469996504867,-0.999448813767844,-0.9994469996504867,3834.0,breakout,1,"{""adx_thresh"": 19.18422019203121, ""atr_max_pct"": 0.04682611646175986, ""atr_min_pct"": 0.02070720257723606, ""bb_std_mult"": 1.9108183114299981, ""edge_cap"": 0.9882595929185812, ""edge_k"": 0.03956967057081062, ""ema1"": 11, ""ema2"": 29, ""p_adx"": 27, ""p_atr"": 21, ""p_sma"": 7, ""p_std"": 23, ""rsi_ob"": 68, ""rsi_os"": 48, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.11864255192773651, ""slip_spread_k"": 0.9084500791019342, ""spread_hl_frac"": 0.017167958230578963, ""strategy"": ""breakout"", ""time_stop"": 269, ""tp_mult"": 2.9891584590918567, ""tsl_mult"": 0.013386644097168832, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0074350360921262345}"
1,-0.9999378549508019,-0.9999377830383884,-1000000000.0,0.9999377830383884,-0.9999378549508019,-0.9999377830383884,3483.0,breakout,1,"{""adx_thresh"": 27.840803753050803, ""atr_max_pct"": 0.045553235464764495, ""atr_min_pct"": 0.02238790600668564, ""bb_std_mult"": 1.691867187927457, ""edge_cap"": 0.8068689888166102, ""edge_k"": 1.7704843749359578, ""ema1"": 15, ""ema2"": 20, ""p_adx"": 17, ""p_atr"": 30, ""p_sma"": 57, ""p_std"": 6, ""rsi_ob"": 72, ""rsi_os"": 25, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.19676238014187478, ""slip_spread_k"": 0.6903743332327775, ""spread_hl_frac"": 0.004788858087786269, ""strategy"": ""breakout"", ""time_stop"": 6, ""tp_mult"": 2.888048071763933, ""tsl_mult"": 0.8621668886196225, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1453157660120624}"
2,-0.9997630139046527,-0.9997639594048865,-1000000000.0,0.9997639594048865,-0.9997630139046527,-0.9997639594048865,3174.0,breakout,1,"{""adx_thresh"": 15.13001959847792, ""atr_max_pct"": 0.030411103500994796, ""atr_min_pct"": 0.02980191037199453, ""bb_std_mult"": 1.0645144507797153, ""edge_cap"": 0.16062750172179124, ""edge_k"": 0.031220532920983146, ""ema1"": 10, ""ema2"": 52, ""p_adx"": 28, ""p_atr"": 30, ""p_sma"": 11, ""p_std"": 59, ""rsi_ob"": 90, ""rsi_os"": 46, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.20768562388018527, ""slip_spread_k"": 0.7590430818108926, ""spread_hl_frac"": 0.03433259509456115, ""strategy"": ""breakout"", ""time_stop"": 64, ""tp_mult"": 2.707167526399905, ""tsl_mult"": 0.4854830634299724, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0498676400464814}"
3,-0.9999376959442998,-0.9999375548252575,-1000000000.0,0.9999375548252575,-0.9999376959442998,-0.9999375548252575,3337.0,mean_reversion,1,"{""adx_thresh"": 18.14256064265575, ""atr_max_pct"": 0.11116565787571482, ""atr_min_pct"": 0.02646064907515821, ""bb_std_mult"": 3.264090703833507, ""edge_cap"": 0.617980896177509, ""edge_k"": 0.15089228749445538, ""ema1"": 22, ""ema2"": 42, ""p_adx"": 13, ""p_atr"": 21, ""p_sma"": 20, ""p_std"": 7, ""rsi_ob"": 65, ""rsi_os"": 23, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.2077441183951696, ""slip_spread_k"": 0.8215908500815728, ""spread_hl_frac"": 0.012612772324929267, ""strategy"": ""mean_reversion"", ""time_stop"": 30, ""tp_mult"": 2.143884057687521, ""tsl_mult"": 0.9214251491912033, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.012375335078791383}"
4,-0.9999376340102583,-0.9999378287639354,-1000000000.0,0.9999378287639354,-0.9999376340102583,-0.9999378287639354,3281.0,breakout,1,"{""adx_thresh"": 10.099380080284357, ""atr_max_pct"": 0.01923861664774763, ""atr_min_pct"": 0.017817593207531103, ""bb_std_mult"": 0.7785594745948436, ""edge_cap"": 0.37389774450668195, ""edge_k"": 0.7587884861749408, ""ema1"": 30, ""ema2"": 25, ""p_adx"": 8, ""p_atr"": 9, ""p_sma"": 56, ""p_std"": 9, ""rsi_ob"": 55, ""rsi_os"": 29, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.22100848897612996, ""slip_spread_k"": 0.4403254202761181, ""spread_hl_frac"": 0.0155887977335665, ""strategy"": ""breakout"", ""time_stop"": 299, ""tp_mult"": 2.6483195053222155, ""tsl_mult"": 0.39055177943832053, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.19942408119244348}"
5,-0.9987621964618566,-0.9988697284308425,-1000000000.0,0.9988697284308425,-0.9987621964618566,-0.9988697284308425,4347.0,mean_reversion,1,"{""adx_thresh"": 10.31759016701747, ""atr_max_pct"": 0.13782135805417722, ""atr_min_pct"": 0.0020836262095933434, ""bb_std_mult"": 0.6379197089027066, ""edge_cap"": 0.9283573316625489, ""edge_k"": 1.5452943341332088, ""ema1"": 18, ""ema2"": 29, ""p_adx"": 21, ""p_atr"": 13, ""p_sma"": 40, ""p_std"": 46, ""rsi_ob"": 62, ""rsi_os"": 24, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.06657439729861436, ""slip_spread_k"": 0.6340522120553592, ""spread_hl_frac"": 0.02608298060205419, ""strategy"": ""mean_reversion"", ""time_stop"": 185, ""tp_mult"": 2.956996795495134, ""tsl_mult"": 0.6869026725532097, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0245983589346636}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 23.121842731144913, ""atr_max_pct"": 0.08069210944450686, ""atr_min_pct"": 0.02889324877198757, ""bb_std_mult"": 2.3845908870575756, ""edge_cap"": 0.6371834051840115, ""edge_k"": 0.9360790457589432, ""ema1"": 23, ""ema2"": 14, ""p_adx"": 25, ""p_atr"": 25, ""p_sma"": 42, ""p_std"": 17, ""rsi_ob"": 67, ""rsi_os"": 54, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.03901371624025604, ""slip_spread_k"": 0.41661991472569293, ""spread_hl_frac"": 0.0385223913213516, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 1.6936904018179495, ""tsl_mult"": 0.5508961474019666, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12560151971334263}"
7,-0.9957655763745145,-0.9970215491871846,-1000000000.0,0.9970215491871846,-0.9957655763745145,-0.9970215491871846,4061.0,mean_reversion,1,"{""adx_thresh"": 11.09744325329879, ""atr_max_pct"": 0.11459561092894356, ""atr_min_pct"": 0.018104495022393207, ""bb_std_mult"": 1.2897554048599078, ""edge_cap"": 0.8303887288821996, ""edge_k"": 1.595683265997685, ""ema1"": 19, ""ema2"": 57, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 20, ""p_std"": 58, ""rsi_ob"": 70, ""rsi_os"": 41, ""rsi_period"": 63, ""rsi_required"": true, ""slip_atr_k"": 0.03413898908741808, ""slip_spread_k"": 0.7586398069339063, ""spread_hl_frac"": 0.03437882306718242, ""strategy"": ""mean_reversion"", ""time_stop"": 84, ""tp_mult"": 2.83437270662157, ""tsl_mult"": 0.8824842747580302, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.019501466131963685}"
8,-0.9997991430563535,-0.9998003876470686,-1000000000.0,0.9998003876470686,-0.9997991430563535,-0.9998003876470686,4144.0,breakout,1,"{""adx_thresh"": 33.28595462793447, ""atr_max_pct"": 0.1252082938703267, ""atr_min_pct"": 0.02810217778346378, ""bb_std_mult"": 0.5519975202493476, ""edge_cap"": 0.19317447817207795, ""edge_k"": 1.1755901366713017, ""ema1"": 9, ""ema2"": 28, ""p_adx"": 16, ""p_atr"": 12, ""p_sma"": 56, ""p_std"": 35, ""rsi_ob"": 67, ""rsi_os"": 42, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.10215910461315997, ""slip_spread_k"": 0.5793918088742184, ""spread_hl_frac"": 0.032952902000652234, ""strategy"": ""breakout"", ""time_stop"": 51, ""tp_mult"": 2.7435954896264776, ""tsl_mult"": 0.4310027424951147, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16784933189414972}"
9,-0.9999374817943474,-0.9999373269042156,-1000000000.0,0.9999373269042156,-0.9999374817943474,-0.9999373269042156,3630.0,breakout,1,"{""adx_thresh"": 9.084722846800156, ""atr_max_pct"": 0.08248378765516641, ""atr_min_pct"": 0.004026794452024223, ""bb_std_mult"": 2.1759898760169727, ""edge_cap"": 0.126958121853732, ""edge_k"": 1.924117281328301, ""ema1"": 7, ""ema2"": 19, ""p_adx"": 17, ""p_atr"": 21, ""p_sma"": 31, ""p_std"": 53, ""rsi_ob"": 79, ""rsi_os"": 23, ""rsi_period"": 61, ""rsi_required"": true, ""slip_atr_k"": 0.2069324167740692, ""slip_spread_k"": 0.5447083052632802, ""spread_hl_frac"": 0.030805960419634123, ""strategy"": ""breakout"", ""time_stop"": 103, ""tp_mult"": 1.448277174270323, ""tsl_mult"": 0.05864006007348932, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.11756658755887522}"
