number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.25302634923734, ""atr_max_pct"": 0.07170937174619335, ""atr_min_pct"": 0.015941333228204776, ""bb_std_mult"": 0.5233686181528302, ""edge_cap"": 0.06614934975681855, ""edge_k"": 1.5748104079432346, ""ema1"": 20, ""ema2"": 33, ""p_adx"": 30, ""p_atr"": 28, ""p_sma"": 53, ""p_std"": 40, ""rsi_ob"": 59, ""rsi_os"": 50, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.03464473786404387, ""slip_spread_k"": 0.0909418962869748, ""spread_hl_frac"": 0.03935267687345836, ""strategy"": ""mean_reversion"", ""time_stop"": 182, ""tp_mult"": 2.6881049198686493, ""tsl_mult"": 0.004806526073261375, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.0027423440554314228}"
1,-0.9999375942848967,-0.9999375936411047,-1000000000.0,0.9999375936411047,-0.9999375942848967,-0.9999375936411047,5174.0,breakout,1,"{""adx_thresh"": 19.435658021210127, ""atr_max_pct"": 0.11740432477330225, ""atr_min_pct"": 0.024306177463488676, ""bb_std_mult"": 1.8508613346304952, ""edge_cap"": 0.2501586042843263, ""edge_k"": 0.5033945130603317, ""ema1"": 18, ""ema2"": 13, ""p_adx"": 22, ""p_atr"": 23, ""p_sma"": 44, ""p_std"": 41, ""rsi_ob"": 69, ""rsi_os"": 18, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.07528388436666833, ""slip_spread_k"": 0.19036125129659542, ""spread_hl_frac"": 0.019248785042571423, ""strategy"": ""breakout"", ""time_stop"": 66, ""tp_mult"": 2.1474845516613743, ""tsl_mult"": 0.36149326019822936, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20629922447009488}"
2,-0.9999376347898508,-0.9999376341360747,-1000000000.0,0.9999376341360747,-0.9999376347898508,-0.9999376341360747,4686.0,breakout,1,"{""adx_thresh"": 32.08104169500298, ""atr_max_pct"": 0.142252829238661, ""atr_min_pct"": 0.019833185913620634, ""bb_std_mult"": 2.9755722746194553, ""edge_cap"": 0.7787594184570972, ""edge_k"": 0.12215902990647476, ""ema1"": 14, ""ema2"": 47, ""p_adx"": 14, ""p_atr"": 28, ""p_sma"": 51, ""p_std"": 30, ""rsi_ob"": 49, ""rsi_os"": 22, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.09247664433840977, ""slip_spread_k"": 0.985260693424101, ""spread_hl_frac"": 0.007087503154426839, ""strategy"": ""breakout"", ""time_stop"": 237, ""tp_mult"": 2.5250543158459546, ""tsl_mult"": 0.767959778013805, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.12326718691674667}"
3,-0.9999374103089534,-0.9999568739843993,-1000000000.0,0.9999568739843993,-0.9999374103089534,-0.9999568739843993,6368.0,breakout,1,"{""adx_thresh"": 32.284384655340915, ""atr_max_pct"": 0.01658729670093571, ""atr_min_pct"": 0.005799508589283608, ""bb_std_mult"": 1.5533114602388352, ""edge_cap"": 0.552304555025613, ""edge_k"": 0.32306558223788895, ""ema1"": 7, ""ema2"": 51, ""p_adx"": 19, ""p_atr"": 8, ""p_sma"": 13, ""p_std"": 52, ""rsi_ob"": 48, ""rsi_os"": 36, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.0361448116361589, ""slip_spread_k"": 0.014697263857889498, ""spread_hl_frac"": 0.03086123343373115, ""strategy"": ""breakout"", ""time_stop"": 128, ""tp_mult"": 1.2294529873392956, ""tsl_mult"": 0.5913752176520354, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.016913772224328737}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 11.13399875842238, ""atr_max_pct"": 0.014708718109466619, ""atr_min_pct"": 0.02614931155247652, ""bb_std_mult"": 3.4464556697706743, ""edge_cap"": 0.549421537846394, ""edge_k"": 1.230307955380165, ""ema1"": 11, ""ema2"": 55, ""p_adx"": 24, ""p_atr"": 25, ""p_sma"": 11, ""p_std"": 37, ""rsi_ob"": 61, ""rsi_os"": 40, ""rsi_period"": 73, ""rsi_required"": false, ""slip_atr_k"": 0.048867833150815526, ""slip_spread_k"": 0.8072375690605351, ""spread_hl_frac"": 0.04945273817755014, ""strategy"": ""mean_reversion"", ""time_stop"": 77, ""tp_mult"": 1.8431459707779299, ""tsl_mult"": 0.49565964731534307, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.277751273855511}"
5,-0.9999376447928584,-0.9999376440695584,-1000000000.0,0.9999376440695584,-0.9999376447928584,-0.9999376440695584,3247.0,breakout,1,"{""adx_thresh"": 22.999247540108147, ""atr_max_pct"": 0.04988826127619628, ""atr_min_pct"": 0.015329416036795508, ""bb_std_mult"": 2.4856268413714604, ""edge_cap"": 0.8650996067546572, ""edge_k"": 1.453083239810414, ""ema1"": 11, ""ema2"": 23, ""p_adx"": 25, ""p_atr"": 30, ""p_sma"": 50, ""p_std"": 60, ""rsi_ob"": 68, ""rsi_os"": 10, ""rsi_period"": 31, ""rsi_required"": true, ""slip_atr_k"": 0.24246871929318328, ""slip_spread_k"": 0.511491453845852, ""spread_hl_frac"": 0.03817951204622574, ""strategy"": ""breakout"", ""time_stop"": 109, ""tp_mult"": 1.1992138913834496, ""tsl_mult"": 0.4212152640387128, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.18626498701194633}"
6,-0.9999376376387498,-0.9999376373156901,-1000000000.0,0.9999376373156901,-0.9999376376387498,-0.9999376373156901,3293.0,mean_reversion,1,"{""adx_thresh"": 20.747474373987462, ""atr_max_pct"": 0.03113271540290122, ""atr_min_pct"": 0.00703025754853624, ""bb_std_mult"": 2.169125762051362, ""edge_cap"": 0.6135748542273772, ""edge_k"": 0.49211674631861757, ""ema1"": 17, ""ema2"": 49, ""p_adx"": 29, ""p_atr"": 29, ""p_sma"": 10, ""p_std"": 37, ""rsi_ob"": 80, ""rsi_os"": 8, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.21782790339713892, ""slip_spread_k"": 0.9989292074416948, ""spread_hl_frac"": 0.03564998685362384, ""strategy"": ""mean_reversion"", ""time_stop"": 134, ""tp_mult"": 2.0038220390924217, ""tsl_mult"": 0.15849226506755598, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1799496855303867}"
7,-0.9999377073642499,-0.9999377072195842,-1000000000.0,0.9999377072195842,-0.9999377073642499,-0.9999377072195842,4679.0,breakout,1,"{""adx_thresh"": 10.076806513924039, ""atr_max_pct"": 0.1222324474362394, ""atr_min_pct"": 0.0031231953075205286, ""bb_std_mult"": 2.539106500587636, ""edge_cap"": 0.9497620572452146, ""edge_k"": 1.904303583686246, ""ema1"": 11, ""ema2"": 41, ""p_adx"": 12, ""p_atr"": 8, ""p_sma"": 20, ""p_std"": 51, ""rsi_ob"": 74, ""rsi_os"": 50, ""rsi_period"": 56, ""rsi_required"": true, ""slip_atr_k"": 0.09917203056377749, ""slip_spread_k"": 0.10247905595644946, ""spread_hl_frac"": 0.0031398076693068544, ""strategy"": ""breakout"", ""time_stop"": 134, ""tp_mult"": 1.5388054652895327, ""tsl_mult"": 0.8026978818682844, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.009740065353020222}"
8,-0.9999377334320985,-0.9999377331458073,-1000000000.0,0.9999377331458073,-0.9999377334320985,-0.9999377331458073,4743.0,mean_reversion,1,"{""adx_thresh"": 13.026198543134864, ""atr_max_pct"": 0.029493451738967887, ""atr_min_pct"": 0.013712495233387642, ""bb_std_mult"": 3.369125247233461, ""edge_cap"": 0.9246368928479075, ""edge_k"": 1.3364897862872027, ""ema1"": 15, ""ema2"": 36, ""p_adx"": 29, ""p_atr"": 20, ""p_sma"": 21, ""p_std"": 41, ""rsi_ob"": 94, ""rsi_os"": 7, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.0817467150331962, ""slip_spread_k"": 0.5873690277405141, ""spread_hl_frac"": 0.04398815777896209, ""strategy"": ""mean_reversion"", ""time_stop"": 23, ""tp_mult"": 2.0166970693172965, ""tsl_mult"": 0.6091510223552254, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09903847068741221}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.7323245016784, ""atr_max_pct"": 0.02602136054549755, ""atr_min_pct"": 0.028903971524142376, ""bb_std_mult"": 3.2609715211328174, ""edge_cap"": 0.18783883421888597, ""edge_k"": 1.975447510022868, ""ema1"": 26, ""ema2"": 54, ""p_adx"": 20, ""p_atr"": 30, ""p_sma"": 43, ""p_std"": 26, ""rsi_ob"": 79, ""rsi_os"": 51, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.15276967107537948, ""slip_spread_k"": 0.25575162963036524, ""spread_hl_frac"": 0.03874360477033147, ""strategy"": ""mean_reversion"", ""time_stop"": 223, ""tp_mult"": 1.8037694848276329, ""tsl_mult"": 0.1998629031185497, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06375472562730145}"
10,-0.9999375850943057,-0.9999481485783962,-1000000000.0,0.9999481485783962,-0.9999375850943057,-0.9999481485783962,5911.0,mean_reversion,1,"{""adx_thresh"": 5.847986879389272, ""atr_max_pct"": 0.07206299692770252, ""atr_min_pct"": 0.0253090770419605, ""bb_std_mult"": 0.8604004977343618, ""edge_cap"": 0.5446676030187292, ""edge_k"": 1.070561036680259, ""ema1"": 18, ""ema2"": 13, ""p_adx"": 28, ""p_atr"": 15, ""p_sma"": 46, ""p_std"": 41, ""rsi_ob"": 85, ""rsi_os"": 6, ""rsi_period"": 55, ""rsi_required"": true, ""slip_atr_k"": 0.02582176528459637, ""slip_spread_k"": 0.8221043726298276, ""spread_hl_frac"": 0.028341705077532447, ""strategy"": ""mean_reversion"", ""time_stop"": 116, ""tp_mult"": 1.5710962161296953, ""tsl_mult"": 0.07358067363746057, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.004627526665676607}"
11,-0.9999376749656979,-0.999937941210373,-1000000000.0,0.999937941210373,-0.9999376749656979,-0.999937941210373,5150.0,mean_reversion,1,"{""adx_thresh"": 16.457464180268165, ""atr_max_pct"": 0.09866661014382015, ""atr_min_pct"": 0.015075646799735538, ""bb_std_mult"": 1.8880941507055953, ""edge_cap"": 0.20807860165277967, ""edge_k"": 1.4408827636764632, ""ema1"": 22, ""ema2"": 55, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 13, ""p_std"": 44, ""rsi_ob"": 71, ""rsi_os"": 10, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.04827352450499331, ""slip_spread_k"": 0.8434092644846388, ""spread_hl_frac"": 0.03413127206042993, ""strategy"": ""mean_reversion"", ""time_stop"": 44, ""tp_mult"": 1.1774972643135784, ""tsl_mult"": 0.9443633998674309, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06633083478025517}"
12,-0.9999378163483047,-0.9999378159533265,-1000000000.0,0.9999378159533265,-0.9999378163483047,-0.9999378159533265,4376.0,mean_reversion,1,"{""adx_thresh"": 15.700729852629484, ""atr_max_pct"": 0.04843136410030249, ""atr_min_pct"": 0.023273819114983947, ""bb_std_mult"": 1.6050059248124848, ""edge_cap"": 0.47450926701190377, ""edge_k"": 0.544971973405378, ""ema1"": 21, ""ema2"": 12, ""p_adx"": 23, ""p_atr"": 12, ""p_sma"": 47, ""p_std"": 35, ""rsi_ob"": 76, ""rsi_os"": 22, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.12509482721973034, ""slip_spread_k"": 0.5195359050200721, ""spread_hl_frac"": 0.012651864269353497, ""strategy"": ""mean_reversion"", ""time_stop"": 125, ""tp_mult"": 1.1711154678532438, ""tsl_mult"": 0.9266238807993327, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08285502657438316}"
13,-0.9999376689188529,-0.9999376685088308,-1000000000.0,0.9999376685088308,-0.9999376689188529,-0.9999376685088308,3959.0,breakout,1,"{""adx_thresh"": 21.37895802859303, ""atr_max_pct"": 0.10604858076923013, ""atr_min_pct"": 0.021469662924326026, ""bb_std_mult"": 1.6286324741152458, ""edge_cap"": 0.2753735250546842, ""edge_k"": 0.6212088453782685, ""ema1"": 29, ""ema2"": 10, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 39, ""p_std"": 10, ""rsi_ob"": 61, ""rsi_os"": 21, ""rsi_period"": 33, ""rsi_required"": true, ""slip_atr_k"": 0.16579718461577753, ""slip_spread_k"": 0.29996246488120726, ""spread_hl_frac"": 0.016867398844658626, ""strategy"": ""breakout"", ""time_stop"": 19, ""tp_mult"": 2.290439481135692, ""tsl_mult"": 0.3168397435998356, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2021768441307118}"
14,-0.9999378016894505,-0.9999378013082982,-1000000000.0,0.9999378013082982,-0.9999378016894505,-0.9999378013082982,4178.0,breakout,1,"{""adx_thresh"": 27.039542536541692, ""atr_max_pct"": 0.12688424928280082, ""atr_min_pct"": 0.019155057231194036, ""bb_std_mult"": 1.53710793256303, ""edge_cap"": 0.3053913508057474, ""edge_k"": 0.66494242779639, ""ema1"": 24, ""ema2"": 11, ""p_adx"": 13, ""p_atr"": 22, ""p_sma"": 36, ""p_std"": 6, ""rsi_ob"": 47, ""rsi_os"": 21, ""rsi_period"": 30, ""rsi_required"": true, ""slip_atr_k"": 0.14560156396871549, ""slip_spread_k"": 0.3174797167322207, ""spread_hl_frac"": 0.014507456686087921, ""strategy"": ""breakout"", ""time_stop"": 300, ""tp_mult"": 2.551100759941788, ""tsl_mult"": 0.31648006178535243, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.26562403168912657}"
