number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9998461239417891,-0.9998278427880128,-1000000000.0,1000000000.0,-0.9998461239417891,-0.9998278427880128,86.0,mean_reversion,1,"{""adx_thresh"": 11.080878554251775, ""atr_max_pct"": 0.04870513724685652, ""atr_min_pct"": 0.02278494916042808, ""bb_std_mult"": 2.7977988959805407, ""edge_cap"": 0.14179903767092306, ""edge_k"": 1.4042915995178171, ""ema1"": 6, ""ema2"": 39, ""p_adx"": 27, ""p_atr"": 26, ""p_sma"": 39, ""p_std"": 27, ""rsi_ob"": 86, ""rsi_os"": 18, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.17219881856035793, ""slip_spread_k"": 0.21348989098970217, ""spread_hl_frac"": 0.043459912769387925, ""strategy"": ""mean_reversion"", ""time_stop"": 30, ""tp_mult"": 1.9246253141680043, ""tsl_mult"": 0.506216142036678, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1413346112757634}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 21.652077324222994, ""atr_max_pct"": 0.0782058567657342, ""atr_min_pct"": 0.006618078859363466, ""bb_std_mult"": 0.880445004182961, ""edge_cap"": 0.6719464287823492, ""edge_k"": 1.8405224013902817, ""ema1"": 13, ""ema2"": 48, ""p_adx"": 26, ""p_atr"": 9, ""p_sma"": 42, ""p_std"": 45, ""rsi_ob"": 73, ""rsi_os"": 51, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.234673559227281, ""slip_spread_k"": 0.6273242415155064, ""spread_hl_frac"": 0.013450205913450098, ""strategy"": ""mean_reversion"", ""time_stop"": 216, ""tp_mult"": 1.2421665187005384, ""tsl_mult"": 0.22790566199167372, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.20461911717720863}"
2,-0.9998407431640745,-0.9998077285313002,-1000000000.0,1000000000.0,-0.9998407431640745,-0.9998077285313002,79.0,mean_reversion,1,"{""adx_thresh"": 25.937656719886867, ""atr_max_pct"": 0.05164223261559428, ""atr_min_pct"": 0.02215696209854005, ""bb_std_mult"": 1.227225732856245, ""edge_cap"": 0.4421516173974922, ""edge_k"": 0.7613648854956325, ""ema1"": 20, ""ema2"": 46, ""p_adx"": 17, ""p_atr"": 22, ""p_sma"": 15, ""p_std"": 57, ""rsi_ob"": 56, ""rsi_os"": 31, ""rsi_period"": 66, ""rsi_required"": false, ""slip_atr_k"": 0.2424918402738262, ""slip_spread_k"": 0.1734332083957535, ""spread_hl_frac"": 0.019881533797982343, ""strategy"": ""mean_reversion"", ""time_stop"": 36, ""tp_mult"": 2.849594992478171, ""tsl_mult"": 0.45078467436479297, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04772629059287734}"
3,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.86189738227428, ""atr_max_pct"": 0.09907494131883, ""atr_min_pct"": 0.014688607371486756, ""bb_std_mult"": 1.1518081986172768, ""edge_cap"": 0.1865260109126193, ""edge_k"": 1.5578532862741017, ""ema1"": 9, ""ema2"": 49, ""p_adx"": 27, ""p_atr"": 14, ""p_sma"": 56, ""p_std"": 24, ""rsi_ob"": 55, ""rsi_os"": 51, ""rsi_period"": 56, ""rsi_required"": false, ""slip_atr_k"": 0.03524555355084166, ""slip_spread_k"": 0.9020306528323414, ""spread_hl_frac"": 0.03695074047084047, ""strategy"": ""mean_reversion"", ""time_stop"": 81, ""tp_mult"": 1.753929213355606, ""tsl_mult"": 0.6115644042714833, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.15249596055577666}"
4,-0.9998587981093111,-0.9998350544637765,-1000000000.0,1000000000.0,-0.9998587981093111,-0.9998350544637765,90.0,breakout,1,"{""adx_thresh"": 26.68254078645657, ""atr_max_pct"": 0.05182715314746159, ""atr_min_pct"": 0.019389606733394956, ""bb_std_mult"": 2.0188273906346037, ""edge_cap"": 0.5192953986265941, ""edge_k"": 1.6690626067174357, ""ema1"": 11, ""ema2"": 59, ""p_adx"": 26, ""p_atr"": 9, ""p_sma"": 8, ""p_std"": 55, ""rsi_ob"": 45, ""rsi_os"": 6, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.20458357537099728, ""slip_spread_k"": 0.5076312083178989, ""spread_hl_frac"": 0.010232397529532545, ""strategy"": ""breakout"", ""time_stop"": 238, ""tp_mult"": 1.1984412249742196, ""tsl_mult"": 0.575244910250401, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.27665505597838286}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 33.75646223140338, ""atr_max_pct"": 0.09566842187161471, ""atr_min_pct"": 0.013583718593461953, ""bb_std_mult"": 2.759488664069699, ""edge_cap"": 0.49295588929657186, ""edge_k"": 1.2229185906438707, ""ema1"": 15, ""ema2"": 58, ""p_adx"": 16, ""p_atr"": 20, ""p_sma"": 50, ""p_std"": 53, ""rsi_ob"": 47, ""rsi_os"": 35, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.17141059239073733, ""slip_spread_k"": 0.29096911701785577, ""spread_hl_frac"": 0.003916803615951453, ""strategy"": ""mean_reversion"", ""time_stop"": 15, ""tp_mult"": 2.917201453159508, ""tsl_mult"": 0.26826190828027807, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.28811940285886795}"
6,-0.9998532395617007,-0.9998233275424216,-1000000000.0,1000000000.0,-0.9998532395617007,-0.9998233275424216,83.0,breakout,1,"{""adx_thresh"": 15.7147494456268, ""atr_max_pct"": 0.05650140948002798, ""atr_min_pct"": 0.016360088411176952, ""bb_std_mult"": 1.061645924944747, ""edge_cap"": 0.08449261981695809, ""edge_k"": 1.90093503060398, ""ema1"": 21, ""ema2"": 37, ""p_adx"": 17, ""p_atr"": 23, ""p_sma"": 6, ""p_std"": 59, ""rsi_ob"": 85, ""rsi_os"": 16, ""rsi_period"": 69, ""rsi_required"": false, ""slip_atr_k"": 0.16746139459154902, ""slip_spread_k"": 0.3720415992060674, ""spread_hl_frac"": 0.037333526651505154, ""strategy"": ""breakout"", ""time_stop"": 247, ""tp_mult"": 1.0690643408721479, ""tsl_mult"": 0.7508825038248725, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1442242409711051}"
7,-0.9998594097902446,-0.9998416577370306,-1000000000.0,1000000000.0,-0.9998594097902446,-0.9998416577370306,91.0,breakout,1,"{""adx_thresh"": 26.156877080487035, ""atr_max_pct"": 0.08074532609146988, ""atr_min_pct"": 0.01994831520661605, ""bb_std_mult"": 1.627333193516481, ""edge_cap"": 0.419000396879609, ""edge_k"": 1.5762006362951426, ""ema1"": 17, ""ema2"": 20, ""p_adx"": 28, ""p_atr"": 29, ""p_sma"": 38, ""p_std"": 23, ""rsi_ob"": 79, ""rsi_os"": 43, ""rsi_period"": 48, ""rsi_required"": true, ""slip_atr_k"": 0.23775354532324067, ""slip_spread_k"": 0.3580855604752029, ""spread_hl_frac"": 0.02490189064052514, ""strategy"": ""breakout"", ""time_stop"": 96, ""tp_mult"": 2.240604401846127, ""tsl_mult"": 0.6897597109161493, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.02316376176965502}"
8,-0.9998433000955278,-0.9998289395793899,-1000000000.0,1000000000.0,-0.9998433000955278,-0.9998289395793899,83.0,mean_reversion,1,"{""adx_thresh"": 24.62583788605493, ""atr_max_pct"": 0.12758037606304562, ""atr_min_pct"": 0.0005994488409820187, ""bb_std_mult"": 2.284386138536273, ""edge_cap"": 0.35158407274682457, ""edge_k"": 1.388391853235071, ""ema1"": 19, ""ema2"": 47, ""p_adx"": 7, ""p_atr"": 10, ""p_sma"": 52, ""p_std"": 55, ""rsi_ob"": 81, ""rsi_os"": 44, ""rsi_period"": 15, ""rsi_required"": false, ""slip_atr_k"": 0.01071802606627098, ""slip_spread_k"": 0.6871312762320313, ""spread_hl_frac"": 0.00929898709456059, ""strategy"": ""mean_reversion"", ""time_stop"": 144, ""tp_mult"": 2.8102256174455795, ""tsl_mult"": 0.10161253704147288, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16607307299797258}"
9,-0.999857449919795,-0.9998407284715195,-1000000000.0,1000000000.0,-0.999857449919795,-0.9998407284715195,90.0,breakout,1,"{""adx_thresh"": 25.274467410830418, ""atr_max_pct"": 0.0505513632559782, ""atr_min_pct"": 0.02056677991355139, ""bb_std_mult"": 3.2204157743455375, ""edge_cap"": 0.8648062307193043, ""edge_k"": 0.35978175663161527, ""ema1"": 26, ""ema2"": 17, ""p_adx"": 28, ""p_atr"": 30, ""p_sma"": 28, ""p_std"": 43, ""rsi_ob"": 76, ""rsi_os"": 51, ""rsi_period"": 68, ""rsi_required"": false, ""slip_atr_k"": 0.23991578008740203, ""slip_spread_k"": 0.9990657244939503, ""spread_hl_frac"": 0.0435393726344396, ""strategy"": ""breakout"", ""time_stop"": 168, ""tp_mult"": 1.6148635930719464, ""tsl_mult"": 0.8625898350715947, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06700734006906517}"
