number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,7.5673377324862,-0.0015726643379433893,7.5673377324862,0.0015726643379433893,7.5673377324862,-0.0015726643379433893,3127.0,breakout,1,"{""adx_thresh"": 33.79594560959287, ""atr_max_pct"": 0.1369173902989384, ""atr_min_pct"": 0.02904352429765441, ""bb_std_mult"": 3.137124203778883, ""edge_cap"": 0.4525551824161027, ""edge_k"": 0.22795098737973873, ""ema1"": 11, ""ema2"": 24, ""p_adx"": 15, ""p_atr"": 23, ""p_sma"": 6, ""p_std"": 40, ""rsi_ob"": 72, ""rsi_os"": 11, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.06983055214300465, ""slip_spread_k"": 0.52206698540779, ""spread_hl_frac"": 0.0035908110788583913, ""strategy"": ""breakout"", ""time_stop"": 160, ""tp_mult"": 2.3623333058089693, ""tsl_mult"": 0.2972287312778342, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1437243179472068}"
1,24.867069993538074,-0.0011669110023009002,24.867069993538074,0.0011669110023009002,24.867069993538074,-0.0011669110023009002,5820.0,breakout,1,"{""adx_thresh"": 6.5170514858493265, ""atr_max_pct"": 0.05917025790089117, ""atr_min_pct"": 0.025297690380865594, ""bb_std_mult"": 1.7822716386574744, ""edge_cap"": 0.19805634094733846, ""edge_k"": 0.8317654376984471, ""ema1"": 14, ""ema2"": 14, ""p_adx"": 26, ""p_atr"": 17, ""p_sma"": 43, ""p_std"": 45, ""rsi_ob"": 50, ""rsi_os"": 53, ""rsi_period"": 24, ""rsi_required"": false, ""slip_atr_k"": 0.06241164649682063, ""slip_spread_k"": 0.20565991702895614, ""spread_hl_frac"": 0.03409597206830935, ""strategy"": ""breakout"", ""time_stop"": 206, ""tp_mult"": 2.9792767131124593, ""tsl_mult"": 0.2934032691471149, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2610953425699084}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 5.263897244264087, ""atr_max_pct"": 0.014633221036896777, ""atr_min_pct"": 0.019903253173883466, ""bb_std_mult"": 2.919826116512945, ""edge_cap"": 0.14935565599056122, ""edge_k"": 1.0323944921724257, ""ema1"": 12, ""ema2"": 44, ""p_adx"": 23, ""p_atr"": 19, ""p_sma"": 15, ""p_std"": 38, ""rsi_ob"": 76, ""rsi_os"": 21, ""rsi_period"": 83, ""rsi_required"": true, ""slip_atr_k"": 0.05935910878156822, ""slip_spread_k"": 0.9566259894931487, ""spread_hl_frac"": 0.04395537323758755, ""strategy"": ""mean_reversion"", ""time_stop"": 91, ""tp_mult"": 1.5572067614593355, ""tsl_mult"": 0.370587735993385, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.08334102149898807}"
3,8.71983523183057,-0.0004907323989346328,8.71983523183057,0.0004907323989346328,8.71983523183057,-0.0004907323989346328,2816.0,breakout,1,"{""adx_thresh"": 26.203590874225412, ""atr_max_pct"": 0.13246726458752545, ""atr_min_pct"": 0.008205207324080435, ""bb_std_mult"": 1.1670362318539318, ""edge_cap"": 0.48218409540010826, ""edge_k"": 1.0164618963223466, ""ema1"": 29, ""ema2"": 18, ""p_adx"": 24, ""p_atr"": 29, ""p_sma"": 6, ""p_std"": 48, ""rsi_ob"": 48, ""rsi_os"": 18, ""rsi_period"": 26, ""rsi_required"": true, ""slip_atr_k"": 0.006410097217918742, ""slip_spread_k"": 0.5179135042525126, ""spread_hl_frac"": 0.03776975111996059, ""strategy"": ""breakout"", ""time_stop"": 291, ""tp_mult"": 2.5017744559208515, ""tsl_mult"": 0.8588327473832796, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.23252382564688065}"
4,8.575965035668263,-0.0017815894001237816,8.575965035668263,0.0017815894001237816,8.575965035668263,-0.0017815894001237816,3955.0,mean_reversion,1,"{""adx_thresh"": 26.018724310073473, ""atr_max_pct"": 0.03321511653039383, ""atr_min_pct"": 0.003363042507842022, ""bb_std_mult"": 1.9635789315580001, ""edge_cap"": 0.820575379627888, ""edge_k"": 0.6863704751410773, ""ema1"": 13, ""ema2"": 14, ""p_adx"": 10, ""p_atr"": 22, ""p_sma"": 7, ""p_std"": 33, ""rsi_ob"": 83, ""rsi_os"": 27, ""rsi_period"": 74, ""rsi_required"": true, ""slip_atr_k"": 0.07852501087747507, ""slip_spread_k"": 0.3992775098070773, ""spread_hl_frac"": 0.02523107028089849, ""strategy"": ""mean_reversion"", ""time_stop"": 124, ""tp_mult"": 2.6339354880830177, ""tsl_mult"": 0.4217284740375049, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.13910662232341245}"
5,1.8365523050043526,-0.007645471901080112,1.8365523050043526,0.007645471901080112,1.8365523050043526,-0.007645471901080112,4120.0,mean_reversion,1,"{""adx_thresh"": 31.373512680757678, ""atr_max_pct"": 0.02161018367891576, ""atr_min_pct"": 0.020090850093119325, ""bb_std_mult"": 2.6445315802148084, ""edge_cap"": 0.38728354872038523, ""edge_k"": 0.10274617047865675, ""ema1"": 8, ""ema2"": 11, ""p_adx"": 13, ""p_atr"": 25, ""p_sma"": 10, ""p_std"": 27, ""rsi_ob"": 88, ""rsi_os"": 10, ""rsi_period"": 41, ""rsi_required"": true, ""slip_atr_k"": 0.1980157390870909, ""slip_spread_k"": 0.1683414232942374, ""spread_hl_frac"": 0.03184122310389912, ""strategy"": ""mean_reversion"", ""time_stop"": 145, ""tp_mult"": 1.5604171297944769, ""tsl_mult"": 0.7570074079235981, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.29511895734799115}"
6,1.8622594882570538,-0.0046835823375623135,1.8622594882570538,0.0046835823375623135,1.8622594882570538,-0.0046835823375623135,2451.0,mean_reversion,1,"{""adx_thresh"": 33.32812259677822, ""atr_max_pct"": 0.14184617563688323, ""atr_min_pct"": 0.006306101958111461, ""bb_std_mult"": 2.705456951721512, ""edge_cap"": 0.7384422874687893, ""edge_k"": 0.07512826388216776, ""ema1"": 10, ""ema2"": 36, ""p_adx"": 29, ""p_atr"": 18, ""p_sma"": 5, ""p_std"": 39, ""rsi_ob"": 56, ""rsi_os"": 46, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.17858700435973826, ""slip_spread_k"": 0.03725448716865598, ""spread_hl_frac"": 0.03693493450464899, ""strategy"": ""mean_reversion"", ""time_stop"": 78, ""tp_mult"": 2.0268547503895338, ""tsl_mult"": 0.21259358513709148, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.209362425884198}"
7,16.738232521006676,-0.0011578109357051837,16.738232521006676,0.0011578109357051837,16.738232521006676,-0.0011578109357051837,4561.0,breakout,1,"{""adx_thresh"": 12.683593662929578, ""atr_max_pct"": 0.037433385267678, ""atr_min_pct"": 0.0077262815037152195, ""bb_std_mult"": 0.7016551641824401, ""edge_cap"": 0.6842483620239573, ""edge_k"": 0.8537136506596825, ""ema1"": 7, ""ema2"": 30, ""p_adx"": 9, ""p_atr"": 8, ""p_sma"": 5, ""p_std"": 19, ""rsi_ob"": 59, ""rsi_os"": 12, ""rsi_period"": 57, ""rsi_required"": true, ""slip_atr_k"": 0.06591839805521685, ""slip_spread_k"": 0.0051811817432163565, ""spread_hl_frac"": 0.032665378824402146, ""strategy"": ""breakout"", ""time_stop"": 275, ""tp_mult"": 2.3576672721692655, ""tsl_mult"": 0.5522067582872612, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12473016025562039}"
8,7.782260433930144,-0.002401052323692023,7.782260433930144,0.002401052323692023,7.782260433930144,-0.002401052323692023,5234.0,breakout,1,"{""adx_thresh"": 8.08533448541695, ""atr_max_pct"": 0.029813127865879915, ""atr_min_pct"": 0.004788703815838922, ""bb_std_mult"": 0.5696947936723176, ""edge_cap"": 0.5860637664191262, ""edge_k"": 1.7417656377441608, ""ema1"": 12, ""ema2"": 13, ""p_adx"": 24, ""p_atr"": 27, ""p_sma"": 50, ""p_std"": 32, ""rsi_ob"": 78, ""rsi_os"": 23, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.11973015370749734, ""slip_spread_k"": 0.48400034431614347, ""spread_hl_frac"": 0.015618503722247247, ""strategy"": ""breakout"", ""time_stop"": 91, ""tp_mult"": 2.199867161035354, ""tsl_mult"": 0.5785614003367382, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.23664652181615337}"
9,27.066222040511224,-0.0013201980305443388,27.066222040511224,0.0013201980305443388,27.066222040511224,-0.0013201980305443388,6299.0,breakout,1,"{""adx_thresh"": 22.281391073957543, ""atr_max_pct"": 0.11027270523411102, ""atr_min_pct"": 0.016429642043178993, ""bb_std_mult"": 1.2027572957102879, ""edge_cap"": 0.9583969835144259, ""edge_k"": 1.7890853377417824, ""ema1"": 6, ""ema2"": 12, ""p_adx"": 7, ""p_atr"": 21, ""p_sma"": 60, ""p_std"": 10, ""rsi_ob"": 84, ""rsi_os"": 12, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.05286305763894153, ""slip_spread_k"": 0.42145509890339583, ""spread_hl_frac"": 0.036875434551509954, ""strategy"": ""breakout"", ""time_stop"": 177, ""tp_mult"": 2.3874349536358177, ""tsl_mult"": 0.5997709920357632, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.22101000547700303}"
