number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.030148326304449302,-0.04531330668050251,-0.030148326304449302,0.04531330668050251,-0.030148326304449302,-0.04531330668050251,668.0,breakout,1,"{""adx_thresh"": 21.71210143700632, ""atr_max_pct"": 0.07303056336174979, ""atr_min_pct"": 0.0037754438695284764, ""bb_std_mult"": 2.503358254743588, ""edge_cap"": 0.2515331471645668, ""edge_k"": 1.259632230024239, ""ema1"": 29, ""ema2"": 16, ""p_adx"": 20, ""p_atr"": 26, ""p_sma"": 27, ""p_std"": 30, ""rsi_ob"": 94, ""rsi_os"": 41, ""rsi_period"": 41, ""rsi_required"": true, ""slip_atr_k"": 0.09566454880006212, ""slip_spread_k"": 0.3461465671191283, ""spread_hl_frac"": 0.03984558050689765, ""strategy"": ""breakout"", ""time_stop"": 229, ""tp_mult"": 2.737711136839228, ""tsl_mult"": 0.05893869144057229, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10512615009928515}"
1,-0.030066766799599964,-0.031326890422893924,-1000000000.0,1000000000.0,-0.030066766799599964,-0.031326890422893924,156.0,breakout,1,"{""adx_thresh"": 19.082953852964856, ""atr_max_pct"": 0.09918067285722215, ""atr_min_pct"": 0.02852506556941418, ""bb_std_mult"": 3.13496363362655, ""edge_cap"": 0.3843353439633031, ""edge_k"": 0.6494041648515334, ""ema1"": 5, ""ema2"": 58, ""p_adx"": 19, ""p_atr"": 12, ""p_sma"": 24, ""p_std"": 25, ""rsi_ob"": 46, ""rsi_os"": 8, ""rsi_period"": 46, ""rsi_required"": true, ""slip_atr_k"": 0.24459051736276216, ""slip_spread_k"": 0.03679182578999518, ""spread_hl_frac"": 0.02628954760804323, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 2.3003564614139456, ""tsl_mult"": 0.45823769463047137, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.007010368599560468}"
2,-0.03030608718254968,-0.049992190371315574,-0.03030608718254968,0.049992190371315574,-0.03030608718254968,-0.049992190371315574,773.0,mean_reversion,1,"{""adx_thresh"": 6.6024943659183455, ""atr_max_pct"": 0.11149230272283393, ""atr_min_pct"": 0.006373401502203085, ""bb_std_mult"": 3.4575796251665527, ""edge_cap"": 0.3689707469792376, ""edge_k"": 0.9708080938576189, ""ema1"": 5, ""ema2"": 59, ""p_adx"": 19, ""p_atr"": 17, ""p_sma"": 31, ""p_std"": 21, ""rsi_ob"": 95, ""rsi_os"": 5, ""rsi_period"": 79, ""rsi_required"": false, ""slip_atr_k"": 0.096960479684806, ""slip_spread_k"": 0.6722518252924652, ""spread_hl_frac"": 0.00042893815774698867, ""strategy"": ""mean_reversion"", ""time_stop"": 160, ""tp_mult"": 1.781698954961753, ""tsl_mult"": 0.9264118979327108, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16697778938480787}"
3,-0.030319775618401046,-0.048027283145355586,-0.030319775618401046,0.048027283145355586,-0.030319775618401046,-0.048027283145355586,892.0,mean_reversion,1,"{""adx_thresh"": 13.507652739792274, ""atr_max_pct"": 0.03792895395818669, ""atr_min_pct"": 0.020588396712238274, ""bb_std_mult"": 1.6150145519387256, ""edge_cap"": 0.2521305360962289, ""edge_k"": 0.08930289602669106, ""ema1"": 9, ""ema2"": 15, ""p_adx"": 21, ""p_atr"": 17, ""p_sma"": 28, ""p_std"": 49, ""rsi_ob"": 95, ""rsi_os"": 36, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.08830849919850897, ""slip_spread_k"": 0.07159401839529023, ""spread_hl_frac"": 0.00841616636103174, ""strategy"": ""mean_reversion"", ""time_stop"": 164, ""tp_mult"": 2.8590904781986852, ""tsl_mult"": 0.8620679700137778, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.25690341524990956}"
4,-0.030450678211299764,-0.10555338420309607,-1000000000.0,0.10555338420309607,-0.030450678211299764,-0.10555338420309607,1207.0,mean_reversion,1,"{""adx_thresh"": 34.27987608907168, ""atr_max_pct"": 0.10631049259562163, ""atr_min_pct"": 0.005608117045932745, ""bb_std_mult"": 1.2675771980248578, ""edge_cap"": 0.45580015544049984, ""edge_k"": 0.8059195152607872, ""ema1"": 25, ""ema2"": 34, ""p_adx"": 7, ""p_atr"": 23, ""p_sma"": 19, ""p_std"": 14, ""rsi_ob"": 88, ""rsi_os"": 40, ""rsi_period"": 14, ""rsi_required"": true, ""slip_atr_k"": 0.028195784858957768, ""slip_spread_k"": 0.50445536640554, ""spread_hl_frac"": 0.020206250244890984, ""strategy"": ""mean_reversion"", ""time_stop"": 261, ""tp_mult"": 1.953804779221554, ""tsl_mult"": 0.44927418326029267, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.24932878118275478}"
5,-0.030248264968099847,-0.0315314379536129,-1000000000.0,1000000000.0,-0.030248264968099847,-0.0315314379536129,271.0,breakout,1,"{""adx_thresh"": 10.68382466488037, ""atr_max_pct"": 0.029724010291942684, ""atr_min_pct"": 0.02389063567766764, ""bb_std_mult"": 3.1304009418644054, ""edge_cap"": 0.7949236391234917, ""edge_k"": 1.3376244846023522, ""ema1"": 9, ""ema2"": 24, ""p_adx"": 25, ""p_atr"": 20, ""p_sma"": 57, ""p_std"": 40, ""rsi_ob"": 89, ""rsi_os"": 54, ""rsi_period"": 67, ""rsi_required"": false, ""slip_atr_k"": 0.1955706290587091, ""slip_spread_k"": 0.23008769056210365, ""spread_hl_frac"": 0.014630715588635735, ""strategy"": ""breakout"", ""time_stop"": 156, ""tp_mult"": 2.5658345880305347, ""tsl_mult"": 0.9372624187737169, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.18491603183138913}"
6,-0.030080784827000384,-0.03789753113775485,-0.030080784827000384,0.03789753113775485,-0.030080784827000384,-0.03789753113775485,419.0,breakout,1,"{""adx_thresh"": 31.435478407650475, ""atr_max_pct"": 0.011192389389651827, ""atr_min_pct"": 0.005380771803614156, ""bb_std_mult"": 1.2573329516402674, ""edge_cap"": 0.4772821858787812, ""edge_k"": 1.269784127029817, ""ema1"": 20, ""ema2"": 19, ""p_adx"": 24, ""p_atr"": 19, ""p_sma"": 21, ""p_std"": 54, ""rsi_ob"": 58, ""rsi_os"": 7, ""rsi_period"": 78, ""rsi_required"": false, ""slip_atr_k"": 0.14617882466961138, ""slip_spread_k"": 0.35045514452216275, ""spread_hl_frac"": 0.006000281045819678, ""strategy"": ""breakout"", ""time_stop"": 228, ""tp_mult"": 1.888472310884745, ""tsl_mult"": 0.0618938648547801, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.25487517867532256}"
7,-0.030313096393350003,-0.04121981257319444,-0.030313096393350003,0.04121981257319444,-0.030313096393350003,-0.04121981257319444,504.0,breakout,1,"{""adx_thresh"": 24.231565769315, ""atr_max_pct"": 0.01998224132452074, ""atr_min_pct"": 0.0008581469206562997, ""bb_std_mult"": 0.7549930442717451, ""edge_cap"": 0.8738248679913093, ""edge_k"": 0.7354249297003708, ""ema1"": 7, ""ema2"": 11, ""p_adx"": 7, ""p_atr"": 19, ""p_sma"": 24, ""p_std"": 45, ""rsi_ob"": 90, ""rsi_os"": 8, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.09021697651095897, ""slip_spread_k"": 0.9844261141447693, ""spread_hl_frac"": 0.04879437573974847, ""strategy"": ""breakout"", ""time_stop"": 172, ""tp_mult"": 2.0928552385273314, ""tsl_mult"": 0.7322940889358441, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24614830007012908}"
8,-0.03014251919135036,-0.02926033245643235,-1000000000.0,1000000000.0,-0.03014251919135036,-0.02926033245643235,131.0,breakout,1,"{""adx_thresh"": 33.87690509369486, ""atr_max_pct"": 0.11952462783851378, ""atr_min_pct"": 0.0157796315322004, ""bb_std_mult"": 1.8178810374457806, ""edge_cap"": 0.7404127284814253, ""edge_k"": 0.10961640610036438, ""ema1"": 14, ""ema2"": 12, ""p_adx"": 15, ""p_atr"": 8, ""p_sma"": 37, ""p_std"": 48, ""rsi_ob"": 94, ""rsi_os"": 29, ""rsi_period"": 42, ""rsi_required"": true, ""slip_atr_k"": 0.20205128054625485, ""slip_spread_k"": 0.3534829899314924, ""spread_hl_frac"": 0.04894950203339241, ""strategy"": ""breakout"", ""time_stop"": 248, ""tp_mult"": 2.124763884818959, ""tsl_mult"": 0.9468272627311877, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.21607415079897044}"
9,-0.030320612886099663,-0.03131463581465525,-1000000000.0,1000000000.0,-0.030320612886099663,-0.03131463581465525,166.0,breakout,1,"{""adx_thresh"": 28.490600965286127, ""atr_max_pct"": 0.07862215041621545, ""atr_min_pct"": 0.0039908816987064884, ""bb_std_mult"": 2.5621106082974068, ""edge_cap"": 0.745903800876287, ""edge_k"": 1.0028682221700858, ""ema1"": 23, ""ema2"": 50, ""p_adx"": 21, ""p_atr"": 16, ""p_sma"": 8, ""p_std"": 38, ""rsi_ob"": 93, ""rsi_os"": 27, ""rsi_period"": 20, ""rsi_required"": false, ""slip_atr_k"": 0.23680981449214863, ""slip_spread_k"": 0.21887689546992584, ""spread_hl_frac"": 0.045527590863095706, ""strategy"": ""breakout"", ""time_stop"": 128, ""tp_mult"": 1.5127544493905998, ""tsl_mult"": 0.5367877367082363, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.015572181860871491}"
