number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.06066960159615087,-0.07583171272536973,-1000000000.0,1000000000.0,-0.06066960159615087,-0.07583171272536973,85.0,mean_reversion,1,"{""adx_thresh"": 24.999826599421457, ""atr_max_pct"": 0.13182558353959836, ""atr_min_pct"": 0.02472192398781404, ""bb_std_mult"": 2.550497721556941, ""edge_cap"": 0.5080296788747778, ""edge_k"": 0.1297656530524911, ""ema1"": 7, ""ema2"": 19, ""p_adx"": 29, ""p_atr"": 18, ""p_sma"": 9, ""p_std"": 29, ""rsi_ob"": 51, ""rsi_os"": 44, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.10432976192621421, ""slip_spread_k"": 0.7613666584312194, ""spread_hl_frac"": 0.023088704868610213, ""strategy"": ""mean_reversion"", ""time_stop"": 160, ""tp_mult"": 1.298711163430262, ""tsl_mult"": 0.8008237375392777, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05804381404771416}"
1,-0.06074204156104934,-0.07837804659545934,-1000000000.0,1000000000.0,-0.06074204156104934,-0.07837804659545934,93.0,breakout,1,"{""adx_thresh"": 7.17978213169777, ""atr_max_pct"": 0.10441770901057205, ""atr_min_pct"": 0.022019461267813283, ""bb_std_mult"": 2.6722042888249753, ""edge_cap"": 0.4219420232211021, ""edge_k"": 1.9405804194558904, ""ema1"": 8, ""ema2"": 50, ""p_adx"": 13, ""p_atr"": 29, ""p_sma"": 47, ""p_std"": 57, ""rsi_ob"": 68, ""rsi_os"": 18, ""rsi_period"": 8, ""rsi_required"": false, ""slip_atr_k"": 0.11829080828349511, ""slip_spread_k"": 0.799330311096822, ""spread_hl_frac"": 0.03112394848937047, ""strategy"": ""breakout"", ""time_stop"": 121, ""tp_mult"": 1.1411611670623276, ""tsl_mult"": 0.5028869772551086, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2647442697669888}"
2,-0.05986519909144994,-0.07636689271186888,-1000000000.0,1000000000.0,-0.05986519909144994,-0.07636689271186888,94.0,mean_reversion,1,"{""adx_thresh"": 22.42969883209427, ""atr_max_pct"": 0.12514352662099545, ""atr_min_pct"": 0.010428871651201774, ""bb_std_mult"": 1.8522390893111411, ""edge_cap"": 0.48497107597777955, ""edge_k"": 0.5232435988634541, ""ema1"": 8, ""ema2"": 46, ""p_adx"": 24, ""p_atr"": 24, ""p_sma"": 7, ""p_std"": 32, ""rsi_ob"": 68, ""rsi_os"": 15, ""rsi_period"": 13, ""rsi_required"": true, ""slip_atr_k"": 0.03996441309853074, ""slip_spread_k"": 0.5943998565813946, ""spread_hl_frac"": 0.043432483428581296, ""strategy"": ""mean_reversion"", ""time_stop"": 119, ""tp_mult"": 1.2381453888537854, ""tsl_mult"": 0.28327925338650417, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14359915246237784}"
3,-0.060632207792350346,-0.07736660566752485,-1000000000.0,1000000000.0,-0.060632207792350346,-0.07736660566752485,81.0,mean_reversion,1,"{""adx_thresh"": 29.062383755436944, ""atr_max_pct"": 0.14977152725279438, ""atr_min_pct"": 0.0282378887500413, ""bb_std_mult"": 0.5744400349581127, ""edge_cap"": 0.6951984658650522, ""edge_k"": 0.5876975888486065, ""ema1"": 5, ""ema2"": 35, ""p_adx"": 10, ""p_atr"": 23, ""p_sma"": 58, ""p_std"": 15, ""rsi_ob"": 59, ""rsi_os"": 43, ""rsi_period"": 76, ""rsi_required"": false, ""slip_atr_k"": 0.08424641892224499, ""slip_spread_k"": 0.6612942697189238, ""spread_hl_frac"": 0.004759354866654181, ""strategy"": ""mean_reversion"", ""time_stop"": 37, ""tp_mult"": 1.2825410894088047, ""tsl_mult"": 0.57903845625052, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16039902218776586}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 19.837451712791587, ""atr_max_pct"": 0.09044566028690826, ""atr_min_pct"": 0.02373049816439046, ""bb_std_mult"": 2.385840024426142, ""edge_cap"": 0.6717549107890001, ""edge_k"": 1.590028065083118, ""ema1"": 27, ""ema2"": 53, ""p_adx"": 19, ""p_atr"": 11, ""p_sma"": 55, ""p_std"": 26, ""rsi_ob"": 90, ""rsi_os"": 55, ""rsi_period"": 22, ""rsi_required"": false, ""slip_atr_k"": 0.11780280618562858, ""slip_spread_k"": 0.8302899873638839, ""spread_hl_frac"": 0.04878540384945937, ""strategy"": ""mean_reversion"", ""time_stop"": 85, ""tp_mult"": 1.6576358358586298, ""tsl_mult"": 0.18076463990607428, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16055220343249732}"
5,-0.06112737631095011,-0.07596174817607713,-1000000000.0,1000000000.0,-0.06112737631095011,-0.07596174817607713,82.0,mean_reversion,1,"{""adx_thresh"": 18.41333982854223, ""atr_max_pct"": 0.0506106339216022, ""atr_min_pct"": 0.023065868612179595, ""bb_std_mult"": 0.9653680605480737, ""edge_cap"": 0.12936667549714131, ""edge_k"": 0.650485255151759, ""ema1"": 18, ""ema2"": 47, ""p_adx"": 30, ""p_atr"": 14, ""p_sma"": 31, ""p_std"": 44, ""rsi_ob"": 89, ""rsi_os"": 44, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.10001574685217743, ""slip_spread_k"": 0.32532646379645125, ""spread_hl_frac"": 0.016320808690121893, ""strategy"": ""mean_reversion"", ""time_stop"": 15, ""tp_mult"": 2.042916487823138, ""tsl_mult"": 0.20597858045029038, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24284459240368375}"
6,-0.06035417838884949,-0.07505118580540529,-1000000000.0,1000000000.0,-0.06035417838884949,-0.07505118580540529,81.0,breakout,1,"{""adx_thresh"": 16.6143466463562, ""atr_max_pct"": 0.08212992279494243, ""atr_min_pct"": 0.0023524333223074465, ""bb_std_mult"": 1.7517565109629216, ""edge_cap"": 0.9700538758814061, ""edge_k"": 0.7557836977532353, ""ema1"": 23, ""ema2"": 53, ""p_adx"": 20, ""p_atr"": 15, ""p_sma"": 21, ""p_std"": 15, ""rsi_ob"": 92, ""rsi_os"": 49, ""rsi_period"": 69, ""rsi_required"": true, ""slip_atr_k"": 0.08913399695558707, ""slip_spread_k"": 0.7963824557846593, ""spread_hl_frac"": 0.03479847850660132, ""strategy"": ""breakout"", ""time_stop"": 264, ""tp_mult"": 2.6046824743582215, ""tsl_mult"": 0.31776469446554023, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.22659275820865438}"
7,-0.06029590800070017,-0.07703016814278826,-1000000000.0,1000000000.0,-0.06029590800070017,-0.07703016814278826,74.0,breakout,1,"{""adx_thresh"": 21.217928392175295, ""atr_max_pct"": 0.026219106271321947, ""atr_min_pct"": 0.01456052843174561, ""bb_std_mult"": 3.0884294973049324, ""edge_cap"": 0.41039686734256353, ""edge_k"": 1.3342534923725777, ""ema1"": 5, ""ema2"": 47, ""p_adx"": 22, ""p_atr"": 24, ""p_sma"": 33, ""p_std"": 5, ""rsi_ob"": 94, ""rsi_os"": 41, ""rsi_period"": 20, ""rsi_required"": false, ""slip_atr_k"": 0.13001893568000455, ""slip_spread_k"": 0.3052508376579224, ""spread_hl_frac"": 0.014912339978258566, ""strategy"": ""breakout"", ""time_stop"": 52, ""tp_mult"": 1.6894562058270215, ""tsl_mult"": 0.753449396231099, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2527099538098215}"
8,-0.060512428069499746,-0.07225925293312632,-1000000000.0,1000000000.0,-0.060512428069499746,-0.07225925293312632,72.0,breakout,1,"{""adx_thresh"": 16.103413862790184, ""atr_max_pct"": 0.03464297259817218, ""atr_min_pct"": 0.0018426223761569248, ""bb_std_mult"": 1.9432747074344419, ""edge_cap"": 0.5204551075804371, ""edge_k"": 0.3864347080469468, ""ema1"": 9, ""ema2"": 58, ""p_adx"": 27, ""p_atr"": 8, ""p_sma"": 49, ""p_std"": 17, ""rsi_ob"": 58, ""rsi_os"": 13, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.14302451056238, ""slip_spread_k"": 0.1264769953488385, ""spread_hl_frac"": 0.04356444387486836, ""strategy"": ""breakout"", ""time_stop"": 266, ""tp_mult"": 1.6480504857241063, ""tsl_mult"": 0.2485408434860975, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08884060857623707}"
9,-0.059507873960749746,-0.07284134395834052,-1000000000.0,1000000000.0,-0.059507873960749746,-0.07284134395834052,69.0,mean_reversion,1,"{""adx_thresh"": 6.59966432070093, ""atr_max_pct"": 0.01979876566514145, ""atr_min_pct"": 0.015309485953425728, ""bb_std_mult"": 1.494726318534013, ""edge_cap"": 0.4776269362837054, ""edge_k"": 1.575683755493013, ""ema1"": 22, ""ema2"": 13, ""p_adx"": 22, ""p_atr"": 13, ""p_sma"": 14, ""p_std"": 44, ""rsi_ob"": 57, ""rsi_os"": 14, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.23293928983726514, ""slip_spread_k"": 0.8949107000584698, ""spread_hl_frac"": 0.03348905619456047, ""strategy"": ""mean_reversion"", ""time_stop"": 52, ""tp_mult"": 2.963400913341188, ""tsl_mult"": 0.4475965304791727, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.09278916583368851}"
