number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.06031251385534997,-0.060309791424344596,-1000000000.0,1000000000.0,-0.06031251385534997,-0.060309791424344596,94.0,breakout,1,"{""adx_thresh"": 14.826466510213564, ""atr_max_pct"": 0.06660586906941786, ""atr_min_pct"": 0.019756708598562853, ""bb_std_mult"": 2.796084636528448, ""edge_cap"": 0.2773769295713762, ""edge_k"": 0.9268850642757662, ""ema1"": 11, ""ema2"": 17, ""p_adx"": 19, ""p_atr"": 23, ""p_sma"": 15, ""p_std"": 27, ""rsi_ob"": 77, ""rsi_os"": 48, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.24605044598491546, ""slip_spread_k"": 0.25403460319319315, ""spread_hl_frac"": 0.044385001834444326, ""strategy"": ""breakout"", ""time_stop"": 133, ""tp_mult"": 1.150286639445898, ""tsl_mult"": 0.8795293260065478, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2557721939516971}"
1,-0.05997479239404968,-0.05997232282534222,-1000000000.0,1000000000.0,-0.05997479239404968,-0.05997232282534222,163.0,mean_reversion,1,"{""adx_thresh"": 20.302610044857197, ""atr_max_pct"": 0.05723803971427638, ""atr_min_pct"": 0.004269118025258359, ""bb_std_mult"": 1.6826455830464082, ""edge_cap"": 0.45514949766019436, ""edge_k"": 1.268045199063468, ""ema1"": 29, ""ema2"": 51, ""p_adx"": 17, ""p_atr"": 28, ""p_sma"": 38, ""p_std"": 60, ""rsi_ob"": 68, ""rsi_os"": 33, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.09609538214150415, ""slip_spread_k"": 0.7585639852418623, ""spread_hl_frac"": 0.00904817935565776, ""strategy"": ""mean_reversion"", ""time_stop"": 34, ""tp_mult"": 2.0846207966906607, ""tsl_mult"": 0.4510828944054186, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2780305567177343}"
2,-0.05979186299354966,-0.06369961172329293,-0.05979186299354966,0.06369961172329293,-0.05979186299354966,-0.06369961172329293,231.0,mean_reversion,1,"{""adx_thresh"": 12.69815190203442, ""atr_max_pct"": 0.1213700200022802, ""atr_min_pct"": 0.020331684085644782, ""bb_std_mult"": 2.3789547785922247, ""edge_cap"": 0.15406474356143365, ""edge_k"": 0.10780099541165611, ""ema1"": 5, ""ema2"": 17, ""p_adx"": 18, ""p_atr"": 25, ""p_sma"": 26, ""p_std"": 34, ""rsi_ob"": 64, ""rsi_os"": 17, ""rsi_period"": 70, ""rsi_required"": false, ""slip_atr_k"": 0.023858726612222103, ""slip_spread_k"": 0.21311173454013665, ""spread_hl_frac"": 0.013694547055496747, ""strategy"": ""mean_reversion"", ""time_stop"": 73, ""tp_mult"": 1.8836729670801846, ""tsl_mult"": 0.7189522787785319, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.28835635683910754}"
3,-0.0603204794984995,-0.0603189143180884,-1000000000.0,1000000000.0,-0.0603204794984995,-0.0603189143180884,179.0,mean_reversion,1,"{""adx_thresh"": 20.446977169667353, ""atr_max_pct"": 0.09387669119805207, ""atr_min_pct"": 0.015120406764801315, ""bb_std_mult"": 1.4129749400943845, ""edge_cap"": 0.2302677416885258, ""edge_k"": 1.2949435059381282, ""ema1"": 5, ""ema2"": 57, ""p_adx"": 27, ""p_atr"": 8, ""p_sma"": 58, ""p_std"": 47, ""rsi_ob"": 91, ""rsi_os"": 29, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.12161403617069674, ""slip_spread_k"": 0.19401058603207855, ""spread_hl_frac"": 0.027062829667296284, ""strategy"": ""mean_reversion"", ""time_stop"": 188, ""tp_mult"": 2.41000848467821, ""tsl_mult"": 0.10112478788932755, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.01705711402000567}"
4,-0.06022596784020007,-0.060622728012426914,-1000000000.0,1000000000.0,-0.06022596784020007,-0.060622728012426914,198.0,breakout,1,"{""adx_thresh"": 34.38893714329535, ""atr_max_pct"": 0.058465067873904965, ""atr_min_pct"": 0.028149669314963387, ""bb_std_mult"": 3.19955145963719, ""edge_cap"": 0.9221809302532507, ""edge_k"": 1.3250735078092672, ""ema1"": 17, ""ema2"": 17, ""p_adx"": 13, ""p_atr"": 24, ""p_sma"": 49, ""p_std"": 45, ""rsi_ob"": 86, ""rsi_os"": 6, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.04897086265459988, ""slip_spread_k"": 0.9652129169382833, ""spread_hl_frac"": 0.023657458943445803, ""strategy"": ""breakout"", ""time_stop"": 109, ""tp_mult"": 1.1464977948356803, ""tsl_mult"": 0.7083496323813128, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25789831511773714}"
5,-0.0604219709300996,-0.060420286329255765,-0.0604219709300996,0.060420286329255765,-0.0604219709300996,-0.060420286329255765,200.0,mean_reversion,1,"{""adx_thresh"": 19.537166768139105, ""atr_max_pct"": 0.09478240252939309, ""atr_min_pct"": 0.022371706761481643, ""bb_std_mult"": 2.981039510342991, ""edge_cap"": 0.09873706445231586, ""edge_k"": 1.8289066683706718, ""ema1"": 29, ""ema2"": 21, ""p_adx"": 26, ""p_atr"": 23, ""p_sma"": 34, ""p_std"": 41, ""rsi_ob"": 75, ""rsi_os"": 27, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.09018336962851076, ""slip_spread_k"": 0.853011918360469, ""spread_hl_frac"": 0.019543867378250614, ""strategy"": ""mean_reversion"", ""time_stop"": 175, ""tp_mult"": 1.596697085271335, ""tsl_mult"": 0.7523776083162296, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12129838269842323}"
6,-0.06112659541230092,-0.061409128324408986,-0.06112659541230092,0.061409128324408986,-0.06112659541230092,-0.061409128324408986,233.0,breakout,1,"{""adx_thresh"": 19.14199899136209, ""atr_max_pct"": 0.09898960474861496, ""atr_min_pct"": 0.005114337549362714, ""bb_std_mult"": 2.2803809676425635, ""edge_cap"": 0.31534310754020134, ""edge_k"": 1.7942765579833846, ""ema1"": 28, ""ema2"": 18, ""p_adx"": 22, ""p_atr"": 7, ""p_sma"": 47, ""p_std"": 45, ""rsi_ob"": 73, ""rsi_os"": 45, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.04095525617328152, ""slip_spread_k"": 0.7509028811995713, ""spread_hl_frac"": 0.002679539380291174, ""strategy"": ""breakout"", ""time_stop"": 124, ""tp_mult"": 2.901646353756827, ""tsl_mult"": 0.7878706859471254, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2234055819390164}"
7,-0.06064239153375017,-0.06063972770636397,-1000000000.0,1000000000.0,-0.06064239153375017,-0.06063972770636397,92.0,mean_reversion,1,"{""adx_thresh"": 31.314889064509032, ""atr_max_pct"": 0.049329131888951605, ""atr_min_pct"": 0.01619655087784977, ""bb_std_mult"": 2.134242073044013, ""edge_cap"": 0.6359036201842749, ""edge_k"": 0.641950752285191, ""ema1"": 26, ""ema2"": 30, ""p_adx"": 21, ""p_atr"": 18, ""p_sma"": 29, ""p_std"": 12, ""rsi_ob"": 73, ""rsi_os"": 36, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.19418680744184358, ""slip_spread_k"": 0.758775878678819, ""spread_hl_frac"": 0.013781180032024122, ""strategy"": ""mean_reversion"", ""time_stop"": 79, ""tp_mult"": 2.312695871018864, ""tsl_mult"": 0.20346426846652466, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.21682082133852892}"
8,-0.06030101628615048,-0.06029928643959542,-1000000000.0,1000000000.0,-0.06030101628615048,-0.06029928643959542,81.0,breakout,1,"{""adx_thresh"": 23.398352452271553, ""atr_max_pct"": 0.06661297896948733, ""atr_min_pct"": 0.02267403553111632, ""bb_std_mult"": 2.0159422882574227, ""edge_cap"": 0.21189339010443842, ""edge_k"": 0.7409902850877308, ""ema1"": 26, ""ema2"": 24, ""p_adx"": 20, ""p_atr"": 25, ""p_sma"": 13, ""p_std"": 9, ""rsi_ob"": 65, ""rsi_os"": 23, ""rsi_period"": 29, ""rsi_required"": false, ""slip_atr_k"": 0.24569140522806526, ""slip_spread_k"": 0.717351009501656, ""spread_hl_frac"": 0.027780422372066252, ""strategy"": ""breakout"", ""time_stop"": 188, ""tp_mult"": 2.188205178712624, ""tsl_mult"": 0.7256872570601355, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09433573740574483}"
9,-0.06074481675790011,-0.06352541834657476,-0.06074481675790011,0.06352541834657476,-0.06074481675790011,-0.06352541834657476,292.0,breakout,1,"{""adx_thresh"": 30.67481407482068, ""atr_max_pct"": 0.022822015040195803, ""atr_min_pct"": 0.002783140101186545, ""bb_std_mult"": 2.14517171179927, ""edge_cap"": 0.6353436989502655, ""edge_k"": 1.0518383946768666, ""ema1"": 15, ""ema2"": 30, ""p_adx"": 8, ""p_atr"": 27, ""p_sma"": 51, ""p_std"": 33, ""rsi_ob"": 92, ""rsi_os"": 37, ""rsi_period"": 11, ""rsi_required"": false, ""slip_atr_k"": 0.02589353732502825, ""slip_spread_k"": 0.33611763601417544, ""spread_hl_frac"": 0.013988099920738524, ""strategy"": ""breakout"", ""time_stop"": 195, ""tp_mult"": 2.5490591384667334, ""tsl_mult"": 0.5393667354919405, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.056289337613944154}"
