number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.9836012875566481,-0.9836012624642281,-1000000000.0,0.9836012624642281,-0.9836012875566481,-0.9836012624642281,6324.0,mean_reversion,1,"{""adx_thresh"": 6.160222549721903, ""atr_max_pct"": 0.061509159795852184, ""atr_min_pct"": 0.02687412468277197, ""bb_std_mult"": 2.7793914965519355, ""edge_cap"": 0.5284879654635147, ""edge_k"": 1.1412446832847625, ""ema1"": 25, ""ema2"": 28, ""p_adx"": 13, ""p_atr"": 12, ""p_sma"": 43, ""p_std"": 15, ""rsi_ob"": 63, ""rsi_os"": 14, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.15241056782286122, ""slip_spread_k"": 0.8930444640390647, ""spread_hl_frac"": 0.024828697543238215, ""strategy"": ""mean_reversion"", ""time_stop"": 64, ""tp_mult"": 1.8126575434561754, ""tsl_mult"": 0.2998072610087468, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.24730926667558772}"
1,-0.960432700514903,-0.9604326294277378,-1000000000.0,0.9604326294277378,-0.960432700514903,-0.9604326294277378,6805.0,mean_reversion,1,"{""adx_thresh"": 23.513405363944223, ""atr_max_pct"": 0.10234127361193603, ""atr_min_pct"": 0.011146093611910863, ""bb_std_mult"": 3.064595812933154, ""edge_cap"": 0.2888119018390289, ""edge_k"": 0.07905340385059612, ""ema1"": 23, ""ema2"": 16, ""p_adx"": 17, ""p_atr"": 23, ""p_sma"": 19, ""p_std"": 23, ""rsi_ob"": 90, ""rsi_os"": 44, ""rsi_period"": 69, ""rsi_required"": false, ""slip_atr_k"": 0.08152011491650143, ""slip_spread_k"": 0.7703044413115305, ""spread_hl_frac"": 0.03272489197984667, ""strategy"": ""mean_reversion"", ""time_stop"": 280, ""tp_mult"": 1.0577711409645754, ""tsl_mult"": 0.5552461743905346, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0034903711064191434}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 22.153075691243743, ""atr_max_pct"": 0.013892761991206223, ""atr_min_pct"": 0.004471871888067664, ""bb_std_mult"": 2.572061556968169, ""edge_cap"": 0.9852774468252532, ""edge_k"": 1.2054120204931291, ""ema1"": 9, ""ema2"": 59, ""p_adx"": 18, ""p_atr"": 7, ""p_sma"": 54, ""p_std"": 58, ""rsi_ob"": 50, ""rsi_os"": 5, ""rsi_period"": 74, ""rsi_required"": false, ""slip_atr_k"": 0.023363084724997846, ""slip_spread_k"": 0.476266983455114, ""spread_hl_frac"": 0.022980526061486657, ""strategy"": ""mean_reversion"", ""time_stop"": 11, ""tp_mult"": 2.0159793359513847, ""tsl_mult"": 0.8461915214238145, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09557669048391068}"
3,-0.9735485580340981,-0.9736281424503525,-1000000000.0,0.9736281424503525,-0.9735485580340981,-0.9736281424503525,6325.0,breakout,1,"{""adx_thresh"": 18.008759948160684, ""atr_max_pct"": 0.12030674581396784, ""atr_min_pct"": 0.028487836238758543, ""bb_std_mult"": 1.3270338913421562, ""edge_cap"": 0.567247639766057, ""edge_k"": 0.22396958475635054, ""ema1"": 10, ""ema2"": 31, ""p_adx"": 18, ""p_atr"": 7, ""p_sma"": 44, ""p_std"": 53, ""rsi_ob"": 70, ""rsi_os"": 22, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.16652302573945857, ""slip_spread_k"": 0.000803237926711664, ""spread_hl_frac"": 0.025012088485528106, ""strategy"": ""breakout"", ""time_stop"": 25, ""tp_mult"": 2.566172295015418, ""tsl_mult"": 0.48923417661963986, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1157956436636129}"
4,-0.9598868092689948,-0.9599144847511926,-1000000000.0,0.9599144847511926,-0.9598868092689948,-0.9599144847511926,6858.0,breakout,1,"{""adx_thresh"": 23.24581098013689, ""atr_max_pct"": 0.06282211074351834, ""atr_min_pct"": 0.01976704424579294, ""bb_std_mult"": 2.6748745441216686, ""edge_cap"": 0.0993587184817031, ""edge_k"": 0.6294955273478569, ""ema1"": 19, ""ema2"": 34, ""p_adx"": 13, ""p_atr"": 25, ""p_sma"": 59, ""p_std"": 31, ""rsi_ob"": 52, ""rsi_os"": 47, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.08754770800521963, ""slip_spread_k"": 0.2566288438593085, ""spread_hl_frac"": 0.032726139438934584, ""strategy"": ""breakout"", ""time_stop"": 77, ""tp_mult"": 1.4566667034890692, ""tsl_mult"": 0.23020221536380647, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20707273776438098}"
5,-0.9219695658480026,-0.9312837723521173,-1000000000.0,0.9312837723521173,-0.9219695658480026,-0.9312837723521173,7424.0,breakout,1,"{""adx_thresh"": 15.133688251186483, ""atr_max_pct"": 0.04535992375440073, ""atr_min_pct"": 0.01826952046539724, ""bb_std_mult"": 2.4644666551860626, ""edge_cap"": 0.16219625184619826, ""edge_k"": 0.1326913831676262, ""ema1"": 24, ""ema2"": 15, ""p_adx"": 26, ""p_atr"": 29, ""p_sma"": 25, ""p_std"": 29, ""rsi_ob"": 54, ""rsi_os"": 8, ""rsi_period"": 72, ""rsi_required"": false, ""slip_atr_k"": 0.00880219367356136, ""slip_spread_k"": 0.806320904982059, ""spread_hl_frac"": 0.04250479331907731, ""strategy"": ""breakout"", ""time_stop"": 164, ""tp_mult"": 1.1862630345397587, ""tsl_mult"": 0.9539572191932812, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.023649035176415034}"
6,-0.9654999881817526,-0.9654999241586026,-1000000000.0,0.9654999241586026,-0.9654999881817526,-0.9654999241586026,5380.0,mean_reversion,1,"{""adx_thresh"": 30.120948405538698, ""atr_max_pct"": 0.1304653045055039, ""atr_min_pct"": 0.027078431995785846, ""bb_std_mult"": 3.477016695288471, ""edge_cap"": 0.14719196975249813, ""edge_k"": 1.8004930441951732, ""ema1"": 15, ""ema2"": 33, ""p_adx"": 13, ""p_atr"": 13, ""p_sma"": 9, ""p_std"": 56, ""rsi_ob"": 87, ""rsi_os"": 12, ""rsi_period"": 21, ""rsi_required"": false, ""slip_atr_k"": 0.23577817540950588, ""slip_spread_k"": 0.11962814908023278, ""spread_hl_frac"": 0.028825347606354065, ""strategy"": ""mean_reversion"", ""time_stop"": 78, ""tp_mult"": 1.3969840127391633, ""tsl_mult"": 0.30882126002277377, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.12005301379235148}"
7,-0.9804378294066537,-0.9804377971433219,-1000000000.0,0.9804377971433219,-0.9804378294066537,-0.9804377971433219,6429.0,breakout,1,"{""adx_thresh"": 27.070167501753748, ""atr_max_pct"": 0.06818187586126669, ""atr_min_pct"": 0.02391824423113078, ""bb_std_mult"": 0.9570728722082649, ""edge_cap"": 0.09439714238720208, ""edge_k"": 0.24438739971743662, ""ema1"": 14, ""ema2"": 31, ""p_adx"": 17, ""p_atr"": 22, ""p_sma"": 56, ""p_std"": 21, ""rsi_ob"": 81, ""rsi_os"": 19, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.14388402837008224, ""slip_spread_k"": 0.24329334099218747, ""spread_hl_frac"": 0.04636495930609373, ""strategy"": ""breakout"", ""time_stop"": 220, ""tp_mult"": 2.876760094282361, ""tsl_mult"": 0.1643810005998687, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1116863676463057}"
8,-0.9773465614396466,-0.977346520987141,-1000000000.0,0.977346520987141,-0.9773465614396466,-0.977346520987141,6415.0,breakout,1,"{""adx_thresh"": 21.05903079870977, ""atr_max_pct"": 0.054589223998081186, ""atr_min_pct"": 0.026958205112056394, ""bb_std_mult"": 1.3284666424209055, ""edge_cap"": 0.8309591406580741, ""edge_k"": 0.034188974829530094, ""ema1"": 9, ""ema2"": 21, ""p_adx"": 16, ""p_atr"": 26, ""p_sma"": 57, ""p_std"": 49, ""rsi_ob"": 63, ""rsi_os"": 48, ""rsi_period"": 14, ""rsi_required"": false, ""slip_atr_k"": 0.1638979239069885, ""slip_spread_k"": 0.22488449125045396, ""spread_hl_frac"": 0.012472459568927802, ""strategy"": ""breakout"", ""time_stop"": 210, ""tp_mult"": 2.056243477214735, ""tsl_mult"": 0.2731206001590577, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.005188857234553324}"
9,-0.9706256346897044,-0.970625557482936,-1000000000.0,0.970625557482936,-0.9706256346897044,-0.970625557482936,6770.0,breakout,1,"{""adx_thresh"": 15.45502417060083, ""atr_max_pct"": 0.01403871248995722, ""atr_min_pct"": 0.010409998237838173, ""bb_std_mult"": 2.11983147233715, ""edge_cap"": 0.287719560542925, ""edge_k"": 0.4880090673986164, ""ema1"": 26, ""ema2"": 26, ""p_adx"": 27, ""p_atr"": 14, ""p_sma"": 51, ""p_std"": 5, ""rsi_ob"": 79, ""rsi_os"": 7, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.10018969173578418, ""slip_spread_k"": 0.2358742771137593, ""spread_hl_frac"": 0.004333798317046928, ""strategy"": ""breakout"", ""time_stop"": 248, ""tp_mult"": 1.0785148009602648, ""tsl_mult"": 0.03782498667856049, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20628562852941176}"
