number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.8362852916665,-0.8360003450974379,-1000000000.0,0.8360003450974379,-0.8362852916665,-0.8360003450974379,2569.0,breakout,1,"{""adx_thresh"": 16.791231227301342, ""atr_max_pct"": 0.02207980027542804, ""atr_min_pct"": 0.009328201253537076, ""bb_std_mult"": 2.9211239810724274, ""edge_cap"": 0.22799801507715234, ""edge_k"": 0.20171152055072983, ""ema1"": 21, ""ema2"": 27, ""p_adx"": 14, ""p_atr"": 10, ""p_sma"": 7, ""p_std"": 37, ""rsi_ob"": 94, ""rsi_os"": 27, ""rsi_period"": 36, ""rsi_required"": true, ""slip_atr_k"": 0.24640580559274738, ""slip_spread_k"": 0.4556875273361962, ""spread_hl_frac"": 0.025156788012771908, ""strategy"": ""breakout"", ""time_stop"": 278, ""tp_mult"": 1.661740376766965, ""tsl_mult"": 0.09286744113888246, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18934516639705556}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 8.111789439595725, ""atr_max_pct"": 0.049455726904386814, ""atr_min_pct"": 0.00029735586235902443, ""bb_std_mult"": 2.348594674313454, ""edge_cap"": 0.2805955500746243, ""edge_k"": 0.28360225343322076, ""ema1"": 7, ""ema2"": 12, ""p_adx"": 20, ""p_atr"": 29, ""p_sma"": 58, ""p_std"": 46, ""rsi_ob"": 55, ""rsi_os"": 50, ""rsi_period"": 19, ""rsi_required"": false, ""slip_atr_k"": 0.010431971016027886, ""slip_spread_k"": 0.11155029530424743, ""spread_hl_frac"": 0.008635705199649712, ""strategy"": ""mean_reversion"", ""time_stop"": 18, ""tp_mult"": 1.0935947299710664, ""tsl_mult"": 0.21357946551258544, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08015112371334797}"
2,-0.8047699403010505,-0.8052215483721503,-1000000000.0,0.8052215483721503,-0.8047699403010505,-0.8052215483721503,3050.0,mean_reversion,1,"{""adx_thresh"": 11.152715049668252, ""atr_max_pct"": 0.073535604731968, ""atr_min_pct"": 0.022580877351256766, ""bb_std_mult"": 3.540073365496722, ""edge_cap"": 0.3689924184039299, ""edge_k"": 0.7532912003763068, ""ema1"": 11, ""ema2"": 49, ""p_adx"": 18, ""p_atr"": 22, ""p_sma"": 7, ""p_std"": 7, ""rsi_ob"": 85, ""rsi_os"": 5, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.12168499108264547, ""slip_spread_k"": 0.5421821319204093, ""spread_hl_frac"": 0.023612056744306033, ""strategy"": ""mean_reversion"", ""time_stop"": 278, ""tp_mult"": 1.550349806752957, ""tsl_mult"": 0.14224366975629954, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.25914854612970833}"
3,-0.855487457801402,-0.8554505955034447,-1000000000.0,0.8554505955034447,-0.855487457801402,-0.8554505955034447,2969.0,breakout,1,"{""adx_thresh"": 9.78721486775859, ""atr_max_pct"": 0.14205285631432812, ""atr_min_pct"": 0.016854602798265797, ""bb_std_mult"": 2.219735101747077, ""edge_cap"": 0.9134837291157928, ""edge_k"": 1.47777838406147, ""ema1"": 15, ""ema2"": 41, ""p_adx"": 22, ""p_atr"": 27, ""p_sma"": 58, ""p_std"": 24, ""rsi_ob"": 83, ""rsi_os"": 30, ""rsi_period"": 26, ""rsi_required"": false, ""slip_atr_k"": 0.16831420748502318, ""slip_spread_k"": 0.7427023903164665, ""spread_hl_frac"": 0.018557765397035287, ""strategy"": ""breakout"", ""time_stop"": 241, ""tp_mult"": 2.2575769197765165, ""tsl_mult"": 0.12757859056016196, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06466083756842972}"
4,-0.88554315191545,-0.8854988217140684,-1000000000.0,0.8854988217140684,-0.88554315191545,-0.8854988217140684,2852.0,breakout,1,"{""adx_thresh"": 25.796403711537696, ""atr_max_pct"": 0.012960821956180363, ""atr_min_pct"": 0.011317301782741223, ""bb_std_mult"": 2.0406421959454253, ""edge_cap"": 0.10828100536258742, ""edge_k"": 0.1457266942032287, ""ema1"": 28, ""ema2"": 57, ""p_adx"": 20, ""p_atr"": 17, ""p_sma"": 25, ""p_std"": 13, ""rsi_ob"": 90, ""rsi_os"": 30, ""rsi_period"": 51, ""rsi_required"": false, ""slip_atr_k"": 0.24256459625379145, ""slip_spread_k"": 0.5449745113414013, ""spread_hl_frac"": 0.004167925979393017, ""strategy"": ""breakout"", ""time_stop"": 43, ""tp_mult"": 1.0902705571167564, ""tsl_mult"": 0.42540789005767177, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.26604232610892276}"
5,-0.8679060564154011,-0.8678526663187405,-1000000000.0,0.8678526663187405,-0.8679060564154011,-0.8678526663187405,2791.0,breakout,1,"{""adx_thresh"": 24.359306710221386, ""atr_max_pct"": 0.11254765285210296, ""atr_min_pct"": 0.023222372709024823, ""bb_std_mult"": 1.3603763136333586, ""edge_cap"": 0.31509182088758264, ""edge_k"": 0.2120356720287735, ""ema1"": 27, ""ema2"": 17, ""p_adx"": 20, ""p_atr"": 11, ""p_sma"": 58, ""p_std"": 59, ""rsi_ob"": 47, ""rsi_os"": 53, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.23670136646659656, ""slip_spread_k"": 0.44558739956346516, ""spread_hl_frac"": 0.027498003340495437, ""strategy"": ""breakout"", ""time_stop"": 156, ""tp_mult"": 2.8220341384277794, ""tsl_mult"": 0.8468275590857203, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.14633648435376959}"
6,-0.8613492795094002,-0.8614729871040964,-1000000000.0,0.8614729871040964,-0.8613492795094002,-0.8614729871040964,2923.0,breakout,1,"{""adx_thresh"": 26.744962238252523, ""atr_max_pct"": 0.08940228769062701, ""atr_min_pct"": 0.028700288746389663, ""bb_std_mult"": 3.338251015079169, ""edge_cap"": 0.09032161122273646, ""edge_k"": 0.9976704600388155, ""ema1"": 5, ""ema2"": 49, ""p_adx"": 13, ""p_atr"": 13, ""p_sma"": 12, ""p_std"": 9, ""rsi_ob"": 85, ""rsi_os"": 35, ""rsi_period"": 13, ""rsi_required"": false, ""slip_atr_k"": 0.19559739036780396, ""slip_spread_k"": 0.984721275554408, ""spread_hl_frac"": 0.008170234195581372, ""strategy"": ""breakout"", ""time_stop"": 260, ""tp_mult"": 1.4911993471837168, ""tsl_mult"": 0.505775742313685, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.2855647681847678}"
7,-0.7558215417980519,-0.7559327829822197,-1000000000.0,0.7559327829822197,-0.7558215417980519,-0.7559327829822197,3146.0,breakout,1,"{""adx_thresh"": 32.94112410349194, ""atr_max_pct"": 0.07384032912310738, ""atr_min_pct"": 0.014637489879909227, ""bb_std_mult"": 2.8634591980245236, ""edge_cap"": 0.42464999249596475, ""edge_k"": 0.6756236401082707, ""ema1"": 9, ""ema2"": 51, ""p_adx"": 7, ""p_atr"": 7, ""p_sma"": 53, ""p_std"": 53, ""rsi_ob"": 50, ""rsi_os"": 30, ""rsi_period"": 21, ""rsi_required"": true, ""slip_atr_k"": 0.0852725386120965, ""slip_spread_k"": 0.7490195107658045, ""spread_hl_frac"": 0.021499732287021178, ""strategy"": ""breakout"", ""time_stop"": 58, ""tp_mult"": 1.0984816911569055, ""tsl_mult"": 0.2918040213311327, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.19472063537428536}"
8,-0.8349969377703044,-0.8349631836317424,-1000000000.0,0.8349631836317424,-0.8349969377703044,-0.8349631836317424,3027.0,mean_reversion,1,"{""adx_thresh"": 32.06913279898838, ""atr_max_pct"": 0.14099120617045066, ""atr_min_pct"": 0.01445373788747235, ""bb_std_mult"": 2.7002757801491297, ""edge_cap"": 0.7540051400761931, ""edge_k"": 1.6411026861068254, ""ema1"": 11, ""ema2"": 31, ""p_adx"": 17, ""p_atr"": 11, ""p_sma"": 56, ""p_std"": 25, ""rsi_ob"": 73, ""rsi_os"": 43, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.1286233489590354, ""slip_spread_k"": 0.7032422341073947, ""spread_hl_frac"": 0.033514909355580824, ""strategy"": ""mean_reversion"", ""time_stop"": 172, ""tp_mult"": 2.532316605674255, ""tsl_mult"": 0.6046724146538658, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.055935593195429775}"
9,-0.7872722507683523,-0.7874237490372196,-1000000000.0,0.7874237490372196,-0.7872722507683523,-0.7874237490372196,3215.0,mean_reversion,1,"{""adx_thresh"": 21.896654321133962, ""atr_max_pct"": 0.1493476183000522, ""atr_min_pct"": 0.013276647666705995, ""bb_std_mult"": 1.2988327959955392, ""edge_cap"": 0.08825297897183287, ""edge_k"": 0.6540891452601254, ""ema1"": 11, ""ema2"": 51, ""p_adx"": 13, ""p_atr"": 9, ""p_sma"": 57, ""p_std"": 19, ""rsi_ob"": 63, ""rsi_os"": 45, ""rsi_period"": 81, ""rsi_required"": true, ""slip_atr_k"": 0.09150568196769143, ""slip_spread_k"": 0.31852331997782546, ""spread_hl_frac"": 0.016972626878431547, ""strategy"": ""mean_reversion"", ""time_stop"": 125, ""tp_mult"": 1.8547606551842535, ""tsl_mult"": 0.2830150184640957, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.20910902358566053}"
