number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.6840272592595478,-0.6844653879514023,-1000000000.0,0.6844653879514023,-0.6840272592595478,-0.6844653879514023,2228.0,mean_reversion,1,"{""adx_thresh"": 20.190861415762342, ""atr_max_pct"": 0.055571788643939454, ""atr_min_pct"": 0.013998725831100484, ""bb_std_mult"": 2.4797041682990915, ""edge_cap"": 0.8117925144099423, ""edge_k"": 0.38018374773501784, ""ema1"": 8, ""ema2"": 23, ""p_adx"": 17, ""p_atr"": 26, ""p_sma"": 35, ""p_std"": 35, ""rsi_ob"": 78, ""rsi_os"": 31, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.04494546419998785, ""slip_spread_k"": 0.492825137936573, ""spread_hl_frac"": 0.04678606731000628, ""strategy"": ""mean_reversion"", ""time_stop"": 107, ""tp_mult"": 1.7022361479156554, ""tsl_mult"": 0.6973833041934829, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1928465251554298}"
1,-0.6326326638247978,-0.6401402946203237,-1000000000.0,0.6401402946203237,-0.6326326638247978,-0.6401402946203237,2040.0,breakout,1,"{""adx_thresh"": 20.544607829999087, ""atr_max_pct"": 0.059419275338331815, ""atr_min_pct"": 0.011545904167592094, ""bb_std_mult"": 1.408324710938044, ""edge_cap"": 0.9163563945076861, ""edge_k"": 0.39188819754860393, ""ema1"": 24, ""ema2"": 51, ""p_adx"": 12, ""p_atr"": 16, ""p_sma"": 16, ""p_std"": 51, ""rsi_ob"": 80, ""rsi_os"": 37, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.05347187211331084, ""slip_spread_k"": 0.311975282493527, ""spread_hl_frac"": 0.046116812729058404, ""strategy"": ""breakout"", ""time_stop"": 258, ""tp_mult"": 1.844546632739935, ""tsl_mult"": 0.532371142698642, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17797580974307628}"
2,-0.7233727741911526,-0.7236898443578309,-1000000000.0,0.7236898443578309,-0.7233727741911526,-0.7236898443578309,2235.0,mean_reversion,1,"{""adx_thresh"": 6.246850564681603, ""atr_max_pct"": 0.1405527816143899, ""atr_min_pct"": 0.008175281040543835, ""bb_std_mult"": 0.8014761994450811, ""edge_cap"": 0.1292349865705767, ""edge_k"": 0.7530569392163233, ""ema1"": 9, ""ema2"": 35, ""p_adx"": 10, ""p_atr"": 15, ""p_sma"": 55, ""p_std"": 20, ""rsi_ob"": 66, ""rsi_os"": 38, ""rsi_period"": 72, ""rsi_required"": true, ""slip_atr_k"": 0.0941903265079079, ""slip_spread_k"": 0.20204600155012864, ""spread_hl_frac"": 0.014067264044760481, ""strategy"": ""mean_reversion"", ""time_stop"": 59, ""tp_mult"": 2.10633454306343, ""tsl_mult"": 0.05985619948490939, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18632478061265703}"
3,-0.7421085812150985,-0.7424286078488617,-1000000000.0,0.7424286078488617,-0.7421085812150985,-0.7424286078488617,2158.0,breakout,1,"{""adx_thresh"": 13.310217045357135, ""atr_max_pct"": 0.1279423928310826, ""atr_min_pct"": 0.008939570337268887, ""bb_std_mult"": 3.4780877774386787, ""edge_cap"": 0.8081628599804046, ""edge_k"": 1.5469533769730541, ""ema1"": 25, ""ema2"": 11, ""p_adx"": 27, ""p_atr"": 26, ""p_sma"": 57, ""p_std"": 26, ""rsi_ob"": 95, ""rsi_os"": 20, ""rsi_period"": 59, ""rsi_required"": false, ""slip_atr_k"": 0.07342120723375059, ""slip_spread_k"": 0.9395882205736007, ""spread_hl_frac"": 0.044666054199070965, ""strategy"": ""breakout"", ""time_stop"": 77, ""tp_mult"": 2.5529532428967125, ""tsl_mult"": 0.17689036120111734, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.030719412372040886}"
4,-0.5320357357665504,-0.5632309911262061,-1000000000.0,0.5632309911262061,-0.5320357357665504,-0.5632309911262061,2093.0,breakout,1,"{""adx_thresh"": 33.129024361486465, ""atr_max_pct"": 0.050920544892073184, ""atr_min_pct"": 0.02538311113889774, ""bb_std_mult"": 0.6265570528764187, ""edge_cap"": 0.4198263445747968, ""edge_k"": 1.1612541881010725, ""ema1"": 5, ""ema2"": 34, ""p_adx"": 16, ""p_atr"": 21, ""p_sma"": 12, ""p_std"": 54, ""rsi_ob"": 60, ""rsi_os"": 10, ""rsi_period"": 83, ""rsi_required"": false, ""slip_atr_k"": 0.013332806006123132, ""slip_spread_k"": 0.5142188697363369, ""spread_hl_frac"": 0.026452284346988392, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 1.2707069066618497, ""tsl_mult"": 0.24492203367356913, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.1400564879440759}"
5,-0.80642904411415,-0.8066439819644049,-1000000000.0,0.8066439819644049,-0.80642904411415,-0.8066439819644049,2078.0,breakout,1,"{""adx_thresh"": 14.6028405531364, ""atr_max_pct"": 0.07012948633493807, ""atr_min_pct"": 0.015054304990383868, ""bb_std_mult"": 3.3651597247282834, ""edge_cap"": 0.599974706123284, ""edge_k"": 1.594081412533418, ""ema1"": 15, ""ema2"": 21, ""p_adx"": 21, ""p_atr"": 29, ""p_sma"": 51, ""p_std"": 9, ""rsi_ob"": 94, ""rsi_os"": 22, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.17874207878553292, ""slip_spread_k"": 0.5910972845024981, ""spread_hl_frac"": 0.035762156986823744, ""strategy"": ""breakout"", ""time_stop"": 283, ""tp_mult"": 1.1685278751255173, ""tsl_mult"": 0.3031558714412944, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.04427842517947337}"
6,-0.7245113368344492,-0.7245110896838985,-1000000000.0,0.7245110896838985,-0.7245113368344492,-0.7245110896838985,1835.0,breakout,1,"{""adx_thresh"": 30.80260446744304, ""atr_max_pct"": 0.059091408692828494, ""atr_min_pct"": 0.0176367320560486, ""bb_std_mult"": 2.599451697645783, ""edge_cap"": 0.8332143530074421, ""edge_k"": 1.693812768544162, ""ema1"": 15, ""ema2"": 37, ""p_adx"": 26, ""p_atr"": 8, ""p_sma"": 9, ""p_std"": 39, ""rsi_ob"": 63, ""rsi_os"": 46, ""rsi_period"": 54, ""rsi_required"": true, ""slip_atr_k"": 0.19494680772312684, ""slip_spread_k"": 0.25217576574199196, ""spread_hl_frac"": 0.014679434532882181, ""strategy"": ""breakout"", ""time_stop"": 83, ""tp_mult"": 1.4475909688988549, ""tsl_mult"": 0.7423990301286982, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.16628169860596462}"
7,-0.6907161638288952,-0.691135768124805,-1000000000.0,0.691135768124805,-0.6907161638288952,-0.691135768124805,2166.0,breakout,1,"{""adx_thresh"": 28.788081446175262, ""atr_max_pct"": 0.11963093178922275, ""atr_min_pct"": 0.009144079137704198, ""bb_std_mult"": 2.2555514665897025, ""edge_cap"": 0.5804960719494724, ""edge_k"": 0.46299293549859977, ""ema1"": 22, ""ema2"": 39, ""p_adx"": 24, ""p_atr"": 7, ""p_sma"": 19, ""p_std"": 34, ""rsi_ob"": 61, ""rsi_os"": 5, ""rsi_period"": 29, ""rsi_required"": true, ""slip_atr_k"": 0.08146370107164724, ""slip_spread_k"": 0.8299148176659796, ""spread_hl_frac"": 0.015022974163075615, ""strategy"": ""breakout"", ""time_stop"": 81, ""tp_mult"": 1.0471258678752462, ""tsl_mult"": 0.21343850754917493, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.05881550993274604}"
8,-0.7350901101944991,-0.735230989174591,-1000000000.0,0.735230989174591,-0.7350901101944991,-0.735230989174591,1953.0,breakout,1,"{""adx_thresh"": 15.852376848321047, ""atr_max_pct"": 0.04364198123946114, ""atr_min_pct"": 0.009998403151962248, ""bb_std_mult"": 2.891010829938324, ""edge_cap"": 0.34342044753401274, ""edge_k"": 0.6928687921543843, ""ema1"": 14, ""ema2"": 43, ""p_adx"": 9, ""p_atr"": 12, ""p_sma"": 18, ""p_std"": 46, ""rsi_ob"": 54, ""rsi_os"": 10, ""rsi_period"": 83, ""rsi_required"": false, ""slip_atr_k"": 0.18196315433836283, ""slip_spread_k"": 0.10975023046039045, ""spread_hl_frac"": 0.036205455711139894, ""strategy"": ""breakout"", ""time_stop"": 213, ""tp_mult"": 1.4024923575177974, ""tsl_mult"": 0.9171497901668411, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.057332543938314114}"
9,-0.7281477416620519,-0.7285132368098653,-1000000000.0,0.7285132368098653,-0.7281477416620519,-0.7285132368098653,2180.0,mean_reversion,1,"{""adx_thresh"": 8.09432638832366, ""atr_max_pct"": 0.14523761055983864, ""atr_min_pct"": 0.028859705821224126, ""bb_std_mult"": 0.649449202096911, ""edge_cap"": 0.7582995205808338, ""edge_k"": 1.471442076227672, ""ema1"": 6, ""ema2"": 34, ""p_adx"": 17, ""p_atr"": 26, ""p_sma"": 45, ""p_std"": 28, ""rsi_ob"": 51, ""rsi_os"": 18, ""rsi_period"": 84, ""rsi_required"": true, ""slip_atr_k"": 0.11557551853822509, ""slip_spread_k"": 0.47035301606543567, ""spread_hl_frac"": 0.003593593236476056, ""strategy"": ""mean_reversion"", ""time_stop"": 51, ""tp_mult"": 1.933930947845403, ""tsl_mult"": 0.3364104358738915, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2408969217763657}"
