number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.74516914994305,-0.7460596599083871,-1000000000.0,0.7460596599083871,-0.74516914994305,-0.7460596599083871,3339.0,breakout,1,"{""adx_thresh"": 22.867748398224663, ""atr_max_pct"": 0.14016980495094178, ""atr_min_pct"": 0.015916120615331746, ""bb_std_mult"": 0.6753677363581999, ""bear_adx_thresh"": 14.93347148744596, ""bear_atr_max_pct"": 0.09445057562090425, ""bear_atr_min_pct"": 0.02034613989833698, ""bear_bb_std_mult"": 1.355083958965792, ""bear_rsi_ob"": 80, ""bear_rsi_os"": 44, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 220, ""bear_tp_mult"": 2.083581007536988, ""bear_tsl_mult"": 0.5136421375464212, ""bear_use_adx"": true, ""bear_use_atr"": false, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 34.43420276636809, ""bull_atr_max_pct"": 0.03798484796819791, ""bull_atr_min_pct"": 0.01812216990727688, ""bull_bb_std_mult"": 0.567753850462583, ""bull_rsi_ob"": 51, ""bull_rsi_os"": 15, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 107, ""bull_tp_mult"": 2.870783260196428, ""bull_tsl_mult"": 0.8328826364658362, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.14100702697502654, ""edge_k"": 0.31444580630089836, ""ema1"": 26, ""ema2"": 57, ""p_adx"": 14, ""p_atr"": 18, ""p_sma"": 49, ""p_std"": 18, ""rsi_ob"": 64, ""rsi_os"": 31, ""rsi_period"": 82, ""rsi_required"": false, ""sideways_adx_thresh"": 9.432093479751995, ""sideways_atr_max_pct"": 0.09399379343406043, ""sideways_atr_min_pct"": 0.0003610989801358344, ""sideways_bb_std_mult"": 2.4903840667517074, ""sideways_rsi_ob"": 92, ""sideways_rsi_os"": 54, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 70, ""sideways_tp_mult"": 2.6742801914635854, ""sideways_tsl_mult"": 0.5218890040354431, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.0614709539067789, ""slip_spread_k"": 0.8448696594010877, ""spread_hl_frac"": 0.009022260849080827, ""strategy"": ""breakout"", ""time_stop"": 199, ""tp_mult"": 2.3860112255812873, ""tsl_mult"": 0.40702904122145567, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14468173067573104}"
1,-0.844670039486902,-0.8446339844578309,-1000000000.0,0.8446339844578309,-0.844670039486902,-0.8446339844578309,3025.0,mean_reversion,1,"{""adx_thresh"": 34.714561012978315, ""atr_max_pct"": 0.06311014930487728, ""atr_min_pct"": 0.019978728885007447, ""bb_std_mult"": 2.1846549751728555, ""bear_adx_thresh"": 29.700750948387487, ""bear_atr_max_pct"": 0.012757348092215489, ""bear_atr_min_pct"": 0.025851275422545738, ""bear_bb_std_mult"": 3.3751899184516843, ""bear_rsi_ob"": 61, ""bear_rsi_os"": 10, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 181, ""bear_tp_mult"": 1.8818775093791127, ""bear_tsl_mult"": 0.7420150294608924, ""bear_use_adx"": false, ""bear_use_atr"": false, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 25.70369930717767, ""bull_atr_max_pct"": 0.047589405454349046, ""bull_atr_min_pct"": 0.023144216040049476, ""bull_bb_std_mult"": 1.3179479647720116, ""bull_rsi_ob"": 83, ""bull_rsi_os"": 47, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 114, ""bull_tp_mult"": 1.9732920460092038, ""bull_tsl_mult"": 0.38638047222579364, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.49160593780969114, ""edge_k"": 1.0720652474365941, ""ema1"": 28, ""ema2"": 33, ""p_adx"": 13, ""p_atr"": 29, ""p_sma"": 60, ""p_std"": 25, ""rsi_ob"": 78, ""rsi_os"": 10, ""rsi_period"": 64, ""rsi_required"": false, ""sideways_adx_thresh"": 24.074182852887077, ""sideways_atr_max_pct"": 0.1032219457703938, ""sideways_atr_min_pct"": 0.023344030547005297, ""sideways_bb_std_mult"": 2.5850906903619846, ""sideways_rsi_ob"": 56, ""sideways_rsi_os"": 53, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 188, ""sideways_tp_mult"": 1.4850221337211666, ""sideways_tsl_mult"": 0.5119376045304246, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.1699053159933391, ""slip_spread_k"": 0.548437021580027, ""spread_hl_frac"": 0.0010445080066344204, ""strategy"": ""mean_reversion"", ""time_stop"": 295, ""tp_mult"": 1.4836417750156348, ""tsl_mult"": 0.2735915405682633, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0754113280102721}"
2,-0.578572113300949,-0.6225196374554819,-1000000000.0,0.6225196374554819,-0.578572113300949,-0.6225196374554819,3307.0,mean_reversion,1,"{""adx_thresh"": 13.201052475463108, ""atr_max_pct"": 0.06829027671700899, ""atr_min_pct"": 0.01778675632933311, ""bb_std_mult"": 2.1374461181431457, ""bear_adx_thresh"": 18.531226868229577, ""bear_atr_max_pct"": 0.03345221745896619, ""bear_atr_min_pct"": 0.0012827437863602807, ""bear_bb_std_mult"": 2.572036204766036, ""bear_rsi_ob"": 79, ""bear_rsi_os"": 25, ""bear_rsi_required"": false, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 221, ""bear_tp_mult"": 2.7830738724369923, ""bear_tsl_mult"": 0.31358986329286576, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": true, ""bull_adx_thresh"": 21.29634038485773, ""bull_atr_max_pct"": 0.14487358837337144, ""bull_atr_min_pct"": 0.016773533584146825, ""bull_bb_std_mult"": 1.5608542561372645, ""bull_rsi_ob"": 50, ""bull_rsi_os"": 25, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 234, ""bull_tp_mult"": 1.700288142564997, ""bull_tsl_mult"": 0.7230507737444916, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.4837078489248223, ""edge_k"": 1.9884395217878144, ""ema1"": 11, ""ema2"": 17, ""p_adx"": 14, ""p_atr"": 15, ""p_sma"": 6, ""p_std"": 22, ""rsi_ob"": 57, ""rsi_os"": 47, ""rsi_period"": 53, ""rsi_required"": true, ""sideways_adx_thresh"": 32.38319730247408, ""sideways_atr_max_pct"": 0.06342871290400705, ""sideways_atr_min_pct"": 0.017551627520839937, ""sideways_bb_std_mult"": 3.1854420515858237, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 43, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 144, ""sideways_tp_mult"": 1.9182930658127195, ""sideways_tsl_mult"": 0.1569048597302718, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.022116646712955268, ""slip_spread_k"": 0.05289372512638668, ""spread_hl_frac"": 0.03705227247164685, ""strategy"": ""mean_reversion"", ""time_stop"": 149, ""tp_mult"": 2.8053076373576666, ""tsl_mult"": 0.3378682581835879, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.28341104361434405}"
3,-0.8015594513365494,-0.8020360461156252,-1000000000.0,0.8020360461156252,-0.8015594513365494,-0.8020360461156252,3092.0,mean_reversion,1,"{""adx_thresh"": 34.73244326036263, ""atr_max_pct"": 0.11216881867596112, ""atr_min_pct"": 0.022496421209157527, ""bb_std_mult"": 1.3520234067107824, ""bear_adx_thresh"": 14.99053831300947, ""bear_atr_max_pct"": 0.04891017738281444, ""bear_atr_min_pct"": 0.025539576249369964, ""bear_bb_std_mult"": 3.1303127451264987, ""bear_rsi_ob"": 63, ""bear_rsi_os"": 39, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 141, ""bear_tp_mult"": 1.2460605815963717, ""bear_tsl_mult"": 0.4879852574999317, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 6.520475157428126, ""bull_atr_max_pct"": 0.035880043204192635, ""bull_atr_min_pct"": 0.015049202928535257, ""bull_bb_std_mult"": 2.7910040234474454, ""bull_rsi_ob"": 94, ""bull_rsi_os"": 11, ""bull_rsi_required"": true, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 144, ""bull_tp_mult"": 1.6139921529749643, ""bull_tsl_mult"": 0.329277681873989, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.9764885822123693, ""edge_k"": 0.13252299843943427, ""ema1"": 29, ""ema2"": 22, ""p_adx"": 8, ""p_atr"": 9, ""p_sma"": 46, ""p_std"": 29, ""rsi_ob"": 89, ""rsi_os"": 11, ""rsi_period"": 55, ""rsi_required"": false, ""sideways_adx_thresh"": 10.174220371000331, ""sideways_atr_max_pct"": 0.028973450042833745, ""sideways_atr_min_pct"": 0.005081034127384242, ""sideways_bb_std_mult"": 3.1015000609948, ""sideways_rsi_ob"": 62, ""sideways_rsi_os"": 11, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 125, ""sideways_tp_mult"": 1.7707247554718952, ""sideways_tsl_mult"": 0.6122230748992552, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": true, ""slip_atr_k"": 0.09163089807261415, ""slip_spread_k"": 0.9010287368176003, ""spread_hl_frac"": 0.03665638114340243, ""strategy"": ""mean_reversion"", ""time_stop"": 251, ""tp_mult"": 1.6410478982072285, ""tsl_mult"": 0.7657375926525926, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.20651762617763186}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 17.315318329365688, ""atr_max_pct"": 0.08377021637454272, ""atr_min_pct"": 0.01641045646032023, ""bb_std_mult"": 0.6301088308662297, ""bear_adx_thresh"": 6.740774837696403, ""bear_atr_max_pct"": 0.08864912047752173, ""bear_atr_min_pct"": 9.704809215973386e-05, ""bear_bb_std_mult"": 2.8803780212166417, ""bear_rsi_ob"": 60, ""bear_rsi_os"": 44, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 260, ""bear_tp_mult"": 2.590298885641719, ""bear_tsl_mult"": 0.4479927613163289, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 17.021449114246952, ""bull_atr_max_pct"": 0.054099721639896924, ""bull_atr_min_pct"": 0.027661002821319315, ""bull_bb_std_mult"": 1.2364930468497246, ""bull_rsi_ob"": 61, ""bull_rsi_os"": 39, ""bull_rsi_required"": true, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 259, ""bull_tp_mult"": 2.8330294399486173, ""bull_tsl_mult"": 0.9663590363454978, ""bull_use_adx"": true, ""bull_use_atr"": false, ""bull_use_ema"": true, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.6844086883540913, ""edge_k"": 1.4994923328147587, ""ema1"": 19, ""ema2"": 29, ""p_adx"": 16, ""p_atr"": 13, ""p_sma"": 22, ""p_std"": 13, ""rsi_ob"": 78, ""rsi_os"": 53, ""rsi_period"": 56, ""rsi_required"": true, ""sideways_adx_thresh"": 7.36648558614474, ""sideways_atr_max_pct"": 0.026453203129304128, ""sideways_atr_min_pct"": 0.020520974959805073, ""sideways_bb_std_mult"": 2.772923195818254, ""sideways_rsi_ob"": 81, ""sideways_rsi_os"": 10, ""sideways_rsi_required"": false, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 191, ""sideways_tp_mult"": 2.89576978674102, ""sideways_tsl_mult"": 0.9240533629734781, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07245749694615203, ""slip_spread_k"": 0.7768309887840448, ""spread_hl_frac"": 0.03990128420375271, ""strategy"": ""mean_reversion"", ""time_stop"": 296, ""tp_mult"": 1.4670167579352087, ""tsl_mult"": 0.35549064773238026, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.02965469753625831}"
5,-0.8116131271417493,-0.811562866075801,-1000000000.0,0.811562866075801,-0.8116131271417493,-0.811562866075801,2925.0,breakout,1,"{""adx_thresh"": 8.608812912818369, ""atr_max_pct"": 0.026988035047078078, ""atr_min_pct"": 0.018619604429577625, ""bb_std_mult"": 2.6558155426926344, ""bear_adx_thresh"": 19.47152172019831, ""bear_atr_max_pct"": 0.02108198921831048, ""bear_atr_min_pct"": 0.0004570876800723189, ""bear_bb_std_mult"": 1.3586843227464758, ""bear_rsi_ob"": 71, ""bear_rsi_os"": 11, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 202, ""bear_tp_mult"": 1.6233186941748297, ""bear_tsl_mult"": 0.8670540181379178, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 32.76742355912733, ""bull_atr_max_pct"": 0.14174658282669328, ""bull_atr_min_pct"": 0.029026420005522493, ""bull_bb_std_mult"": 1.8143810269074487, ""bull_rsi_ob"": 89, ""bull_rsi_os"": 14, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 196, ""bull_tp_mult"": 1.1800516580551803, ""bull_tsl_mult"": 0.8761288529677335, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": false, ""edge_cap"": 0.2280213459651315, ""edge_k"": 0.5844666089512498, ""ema1"": 11, ""ema2"": 24, ""p_adx"": 12, ""p_atr"": 28, ""p_sma"": 42, ""p_std"": 58, ""rsi_ob"": 89, ""rsi_os"": 46, ""rsi_period"": 54, ""rsi_required"": false, ""sideways_adx_thresh"": 16.14749324072378, ""sideways_atr_max_pct"": 0.0875372047084623, ""sideways_atr_min_pct"": 0.019735321450674463, ""sideways_bb_std_mult"": 2.0046367767567026, ""sideways_rsi_ob"": 45, ""sideways_rsi_os"": 6, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 214, ""sideways_tp_mult"": 1.5980970829455359, ""sideways_tsl_mult"": 0.16298573423873897, ""sideways_use_adx"": true, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": false, ""slip_atr_k"": 0.18512473301136798, ""slip_spread_k"": 0.3161350572204832, ""spread_hl_frac"": 0.0073211728526231595, ""strategy"": ""breakout"", ""time_stop"": 285, ""tp_mult"": 1.768385034729993, ""tsl_mult"": 0.9541731930031669, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.12976934224687134}"
6,-0.8270506722854989,-0.8269907265942837,-1000000000.0,0.8269907265942837,-0.8270506722854989,-0.8269907265942837,2740.0,mean_reversion,1,"{""adx_thresh"": 15.753203001822843, ""atr_max_pct"": 0.13178895327929468, ""atr_min_pct"": 0.004966912109574172, ""bb_std_mult"": 1.8085181848976593, ""bear_adx_thresh"": 28.987901069160614, ""bear_atr_max_pct"": 0.13532987392912763, ""bear_atr_min_pct"": 0.007952790382165247, ""bear_bb_std_mult"": 0.7326751057631824, ""bear_rsi_ob"": 56, ""bear_rsi_os"": 38, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 59, ""bear_tp_mult"": 2.463362554183916, ""bear_tsl_mult"": 0.5334277655342714, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 20.99611873400324, ""bull_atr_max_pct"": 0.13408419951980474, ""bull_atr_min_pct"": 0.017492878639671444, ""bull_bb_std_mult"": 3.4303109020450564, ""bull_rsi_ob"": 80, ""bull_rsi_os"": 49, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 290, ""bull_tp_mult"": 1.602329316614716, ""bull_tsl_mult"": 0.19750730571583153, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": true, ""edge_cap"": 0.8035075540336675, ""edge_k"": 1.7258335153260755, ""ema1"": 30, ""ema2"": 18, ""p_adx"": 22, ""p_atr"": 29, ""p_sma"": 20, ""p_std"": 52, ""rsi_ob"": 57, ""rsi_os"": 6, ""rsi_period"": 22, ""rsi_required"": true, ""sideways_adx_thresh"": 21.034492607181214, ""sideways_atr_max_pct"": 0.022998338212670843, ""sideways_atr_min_pct"": 0.004826061263339616, ""sideways_bb_std_mult"": 2.255274542221648, ""sideways_rsi_ob"": 57, ""sideways_rsi_os"": 37, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 195, ""sideways_tp_mult"": 2.9303528004517503, ""sideways_tsl_mult"": 0.6516979122082787, ""sideways_use_adx"": false, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": false, ""sideways_use_spike"": true, ""slip_atr_k"": 0.19423023440811607, ""slip_spread_k"": 0.7565481514413221, ""spread_hl_frac"": 0.043731691713766674, ""strategy"": ""mean_reversion"", ""time_stop"": 90, ""tp_mult"": 1.6953935739396127, ""tsl_mult"": 0.2209589027837311, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1208038361903499}"
7,-0.7683108153377003,-0.7683003510275326,-1000000000.0,0.7683003510275326,-0.7683108153377003,-0.7683003510275326,3295.0,mean_reversion,1,"{""adx_thresh"": 31.794858399246593, ""atr_max_pct"": 0.11119240575824084, ""atr_min_pct"": 0.02266101505899848, ""bb_std_mult"": 2.223595869173853, ""bear_adx_thresh"": 11.412022006220882, ""bear_atr_max_pct"": 0.025368759064960666, ""bear_atr_min_pct"": 0.012224221121241337, ""bear_bb_std_mult"": 3.2526257345331677, ""bear_rsi_ob"": 48, ""bear_rsi_os"": 20, ""bear_rsi_required"": true, ""bear_strategy"": ""breakout"", ""bear_time_stop"": 67, ""bear_tp_mult"": 1.4514383326056903, ""bear_tsl_mult"": 0.13409097014464377, ""bear_use_adx"": true, ""bear_use_atr"": true, ""bear_use_ema"": false, ""bear_use_sma"": true, ""bear_use_spike"": true, ""bull_adx_thresh"": 26.53133019817641, ""bull_atr_max_pct"": 0.12464702390843005, ""bull_atr_min_pct"": 0.024334031051929352, ""bull_bb_std_mult"": 0.8363641493747997, ""bull_rsi_ob"": 49, ""bull_rsi_os"": 44, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 61, ""bull_tp_mult"": 1.915575761161645, ""bull_tsl_mult"": 0.3761426995300864, ""bull_use_adx"": false, ""bull_use_atr"": false, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.4704371438001423, ""edge_k"": 0.6821406268460155, ""ema1"": 24, ""ema2"": 18, ""p_adx"": 13, ""p_atr"": 17, ""p_sma"": 41, ""p_std"": 7, ""rsi_ob"": 55, ""rsi_os"": 48, ""rsi_period"": 42, ""rsi_required"": false, ""sideways_adx_thresh"": 34.848097556177805, ""sideways_atr_max_pct"": 0.03915166806163674, ""sideways_atr_min_pct"": 0.027563519783943013, ""sideways_bb_std_mult"": 3.5467071143997515, ""sideways_rsi_ob"": 57, ""sideways_rsi_os"": 5, ""sideways_rsi_required"": true, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 168, ""sideways_tp_mult"": 1.6150579486234191, ""sideways_tsl_mult"": 0.8651413327858357, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.05238410046313277, ""slip_spread_k"": 0.7084795735671707, ""spread_hl_frac"": 0.02743463248978119, ""strategy"": ""mean_reversion"", ""time_stop"": 148, ""tp_mult"": 1.6980341458910972, ""tsl_mult"": 0.2148544167609695, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.047953005444299944}"
8,-0.6843196053220024,-0.6878272122251274,-1000000000.0,0.6878272122251274,-0.6843196053220024,-0.6878272122251274,3209.0,breakout,1,"{""adx_thresh"": 26.32220780375333, ""atr_max_pct"": 0.14528936528563624, ""atr_min_pct"": 0.018480352634507757, ""bb_std_mult"": 3.0095812222392717, ""bear_adx_thresh"": 20.23150053876568, ""bear_atr_max_pct"": 0.03717808019044629, ""bear_atr_min_pct"": 0.019369226497993258, ""bear_bb_std_mult"": 2.3315124241672236, ""bear_rsi_ob"": 89, ""bear_rsi_os"": 37, ""bear_rsi_required"": true, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 131, ""bear_tp_mult"": 1.8069048531508156, ""bear_tsl_mult"": 0.01499154994478158, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": true, ""bear_use_spike"": false, ""bull_adx_thresh"": 13.895553997903304, ""bull_atr_max_pct"": 0.10889412811910053, ""bull_atr_min_pct"": 0.024272595460540444, ""bull_bb_std_mult"": 1.338852920128446, ""bull_rsi_ob"": 70, ""bull_rsi_os"": 15, ""bull_rsi_required"": false, ""bull_strategy"": ""breakout"", ""bull_time_stop"": 153, ""bull_tp_mult"": 1.4126178265268485, ""bull_tsl_mult"": 0.774140476294219, ""bull_use_adx"": false, ""bull_use_atr"": true, ""bull_use_ema"": false, ""bull_use_sma"": true, ""bull_use_spike"": false, ""edge_cap"": 0.81684019389207, ""edge_k"": 0.2784454882013241, ""ema1"": 5, ""ema2"": 45, ""p_adx"": 23, ""p_atr"": 18, ""p_sma"": 35, ""p_std"": 56, ""rsi_ob"": 57, ""rsi_os"": 50, ""rsi_period"": 58, ""rsi_required"": false, ""sideways_adx_thresh"": 6.992142741621963, ""sideways_atr_max_pct"": 0.09816438613992672, ""sideways_atr_min_pct"": 0.02243329978158799, ""sideways_bb_std_mult"": 2.4482845196011063, ""sideways_rsi_ob"": 78, ""sideways_rsi_os"": 39, ""sideways_rsi_required"": true, ""sideways_strategy"": ""breakout"", ""sideways_time_stop"": 107, ""sideways_tp_mult"": 1.7214360212279187, ""sideways_tsl_mult"": 0.8029566216200754, ""sideways_use_adx"": false, ""sideways_use_atr"": true, ""sideways_use_ema"": true, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.07198765768958476, ""slip_spread_k"": 0.15753497129095828, ""spread_hl_frac"": 0.03670037134446941, ""strategy"": ""breakout"", ""time_stop"": 148, ""tp_mult"": 2.875240226005463, ""tsl_mult"": 0.594938932402011, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14029590814793608}"
9,-0.7150734940911991,-0.7182078580386964,-1000000000.0,0.7182078580386964,-0.7150734940911991,-0.7182078580386964,3298.0,breakout,1,"{""adx_thresh"": 31.269353133450444, ""atr_max_pct"": 0.11707184655199612, ""atr_min_pct"": 0.015973850974670148, ""bb_std_mult"": 0.9771024461634964, ""bear_adx_thresh"": 34.09093373921815, ""bear_atr_max_pct"": 0.037636973084171924, ""bear_atr_min_pct"": 0.026549341215481387, ""bear_bb_std_mult"": 2.844000146785609, ""bear_rsi_ob"": 55, ""bear_rsi_os"": 32, ""bear_rsi_required"": false, ""bear_strategy"": ""mean_reversion"", ""bear_time_stop"": 7, ""bear_tp_mult"": 2.156877531413824, ""bear_tsl_mult"": 0.15794967013919237, ""bear_use_adx"": false, ""bear_use_atr"": true, ""bear_use_ema"": true, ""bear_use_sma"": false, ""bear_use_spike"": false, ""bull_adx_thresh"": 27.19774382252846, ""bull_atr_max_pct"": 0.13935904540447308, ""bull_atr_min_pct"": 0.025834007841302756, ""bull_bb_std_mult"": 0.9265225544565767, ""bull_rsi_ob"": 77, ""bull_rsi_os"": 36, ""bull_rsi_required"": false, ""bull_strategy"": ""mean_reversion"", ""bull_time_stop"": 29, ""bull_tp_mult"": 2.4947189242810843, ""bull_tsl_mult"": 0.7028596475195596, ""bull_use_adx"": true, ""bull_use_atr"": true, ""bull_use_ema"": true, ""bull_use_sma"": false, ""bull_use_spike"": true, ""edge_cap"": 0.43795285484100976, ""edge_k"": 1.3999999341582392, ""ema1"": 5, ""ema2"": 36, ""p_adx"": 18, ""p_atr"": 15, ""p_sma"": 60, ""p_std"": 55, ""rsi_ob"": 87, ""rsi_os"": 15, ""rsi_period"": 62, ""rsi_required"": false, ""sideways_adx_thresh"": 30.4641767851029, ""sideways_atr_max_pct"": 0.11542478571436518, ""sideways_atr_min_pct"": 0.007301973553593976, ""sideways_bb_std_mult"": 3.171826004839303, ""sideways_rsi_ob"": 48, ""sideways_rsi_os"": 19, ""sideways_rsi_required"": false, ""sideways_strategy"": ""mean_reversion"", ""sideways_time_stop"": 62, ""sideways_tp_mult"": 1.8448559404484017, ""sideways_tsl_mult"": 0.9388365185626852, ""sideways_use_adx"": true, ""sideways_use_atr"": false, ""sideways_use_ema"": false, ""sideways_use_sma"": true, ""sideways_use_spike"": false, ""slip_atr_k"": 0.058689660612169264, ""slip_spread_k"": 0.4233447863190425, ""spread_hl_frac"": 0.008753003133378718, ""strategy"": ""breakout"", ""time_stop"": 167, ""tp_mult"": 2.9009503888473, ""tsl_mult"": 0.364893043828328, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2822684503370117}"
