number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.20192580087129886,-0.21575343437510244,-1000000000.0,0.21575343437510244,-0.20192580087129886,-0.21575343437510244,1626.0,breakout,1,"{""adx_thresh"": 11.18387187341135, ""atr_max_pct"": 0.024537201409344376, ""atr_min_pct"": 0.010393892858201813, ""bb_std_mult"": 1.0032928425716563, ""edge_cap"": 0.19023368105798447, ""edge_k"": 0.9959160050384155, ""ema1"": 12, ""ema2"": 57, ""p_adx"": 20, ""p_atr"": 7, ""p_sma"": 31, ""p_std"": 19, ""rsi_ob"": 73, ""rsi_os"": 18, ""rsi_period"": 37, ""rsi_required"": false, ""slip_atr_k"": 0.019567994289337864, ""slip_spread_k"": 0.9066851811557731, ""spread_hl_frac"": 0.013013024454387657, ""strategy"": ""breakout"", ""time_stop"": 46, ""tp_mult"": 1.7831476946637677, ""tsl_mult"": 0.20702751525138763, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.18756027008635626}"
1,-0.20270356247200016,-0.21466866203975726,-1000000000.0,0.21466866203975726,-0.20270356247200016,-0.21466866203975726,1511.0,breakout,1,"{""adx_thresh"": 6.355112113488324, ""atr_max_pct"": 0.061369025474939574, ""atr_min_pct"": 0.015759978537418794, ""bb_std_mult"": 3.328981260399139, ""edge_cap"": 0.47824220053458233, ""edge_k"": 0.750623755101115, ""ema1"": 23, ""ema2"": 47, ""p_adx"": 10, ""p_atr"": 14, ""p_sma"": 31, ""p_std"": 34, ""rsi_ob"": 65, ""rsi_os"": 18, ""rsi_period"": 25, ""rsi_required"": false, ""slip_atr_k"": 0.012629903724268338, ""slip_spread_k"": 0.9415001180175291, ""spread_hl_frac"": 0.04074719444942965, ""strategy"": ""breakout"", ""time_stop"": 243, ""tp_mult"": 2.303069120527644, ""tsl_mult"": 0.7224064452738037, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.11070469817830199}"
2,-0.30668181926659976,-0.30660864138859334,-1000000000.0,0.30660864138859334,-0.30668181926659976,-0.30660864138859334,1426.0,mean_reversion,1,"{""adx_thresh"": 5.218326390552028, ""atr_max_pct"": 0.05697139727112843, ""atr_min_pct"": 0.001168228898292778, ""bb_std_mult"": 2.1925205026514654, ""edge_cap"": 0.46901744647568655, ""edge_k"": 1.2978313244457127, ""ema1"": 24, ""ema2"": 55, ""p_adx"": 21, ""p_atr"": 10, ""p_sma"": 57, ""p_std"": 24, ""rsi_ob"": 73, ""rsi_os"": 34, ""rsi_period"": 41, ""rsi_required"": false, ""slip_atr_k"": 0.1481210940717509, ""slip_spread_k"": 0.046268159733710346, ""spread_hl_frac"": 0.03719364809358971, ""strategy"": ""mean_reversion"", ""time_stop"": 237, ""tp_mult"": 2.510895958172391, ""tsl_mult"": 0.5668241235471475, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2925541723058686}"
3,-0.26257463387699986,-0.2640045312475998,-1000000000.0,0.2640045312475998,-0.26257463387699986,-0.2640045312475998,1328.0,mean_reversion,1,"{""adx_thresh"": 6.198399211722134, ""atr_max_pct"": 0.12813282335525283, ""atr_min_pct"": 0.004178674939492708, ""bb_std_mult"": 1.4796576145234028, ""edge_cap"": 0.3685637289802873, ""edge_k"": 1.6784548638001777, ""ema1"": 6, ""ema2"": 13, ""p_adx"": 13, ""p_atr"": 30, ""p_sma"": 43, ""p_std"": 56, ""rsi_ob"": 55, ""rsi_os"": 43, ""rsi_period"": 66, ""rsi_required"": false, ""slip_atr_k"": 0.15343653854647954, ""slip_spread_k"": 0.17246822153089025, ""spread_hl_frac"": 0.017923595058514076, ""strategy"": ""mean_reversion"", ""time_stop"": 250, ""tp_mult"": 1.3754299365222997, ""tsl_mult"": 0.6321706409049205, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.1936170445364524}"
4,-0.3500006790468506,-0.3498849869249988,-1000000000.0,0.3498849869249988,-0.3500006790468506,-0.3498849869249988,1329.0,mean_reversion,1,"{""adx_thresh"": 32.331565160265036, ""atr_max_pct"": 0.055471949504153156, ""atr_min_pct"": 0.028324833092072017, ""bb_std_mult"": 1.6056139565718412, ""edge_cap"": 0.4885663486516552, ""edge_k"": 1.167012696442875, ""ema1"": 12, ""ema2"": 57, ""p_adx"": 29, ""p_atr"": 14, ""p_sma"": 55, ""p_std"": 41, ""rsi_ob"": 84, ""rsi_os"": 10, ""rsi_period"": 76, ""rsi_required"": true, ""slip_atr_k"": 0.2090300993971722, ""slip_spread_k"": 0.3098755733256954, ""spread_hl_frac"": 0.04908391472340651, ""strategy"": ""mean_reversion"", ""time_stop"": 158, ""tp_mult"": 2.072527198949833, ""tsl_mult"": 0.7310593963236123, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.18467452444077004}"
5,-0.22758186390165092,-0.2346727303923194,-1000000000.0,0.2346727303923194,-0.22758186390165092,-0.2346727303923194,1502.0,breakout,1,"{""adx_thresh"": 19.97220873695602, ""atr_max_pct"": 0.11315369814480046, ""atr_min_pct"": 0.029657356719925886, ""bb_std_mult"": 0.9536099874224269, ""edge_cap"": 0.5473939027944568, ""edge_k"": 1.3165939546749235, ""ema1"": 28, ""ema2"": 57, ""p_adx"": 18, ""p_atr"": 28, ""p_sma"": 59, ""p_std"": 48, ""rsi_ob"": 83, ""rsi_os"": 48, ""rsi_period"": 83, ""rsi_required"": false, ""slip_atr_k"": 0.06705338172083405, ""slip_spread_k"": 0.03918739545857097, ""spread_hl_frac"": 0.03479853741456804, ""strategy"": ""breakout"", ""time_stop"": 32, ""tp_mult"": 2.5431939322112203, ""tsl_mult"": 0.17153502476573135, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.14958248006798533}"
6,-0.24941142591779963,-0.2587495516948775,-1000000000.0,0.2587495516948775,-0.24941142591779963,-0.2587495516948775,1471.0,mean_reversion,1,"{""adx_thresh"": 6.434250985817551, ""atr_max_pct"": 0.13719465448626922, ""atr_min_pct"": 0.008494856101223143, ""bb_std_mult"": 1.4360271186221907, ""edge_cap"": 0.09615542908508727, ""edge_k"": 0.28814984794041987, ""ema1"": 5, ""ema2"": 12, ""p_adx"": 29, ""p_atr"": 22, ""p_sma"": 14, ""p_std"": 28, ""rsi_ob"": 60, ""rsi_os"": 23, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.10742434465817624, ""slip_spread_k"": 0.11411088189681262, ""spread_hl_frac"": 0.007710989505147309, ""strategy"": ""mean_reversion"", ""time_stop"": 10, ""tp_mult"": 2.598115237731985, ""tsl_mult"": 0.04475319402246991, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1705878747533379}"
7,-0.22525166698185062,-0.2277208048285868,-1000000000.0,0.2277208048285868,-0.22525166698185062,-0.2277208048285868,1355.0,mean_reversion,1,"{""adx_thresh"": 18.577983748611484, ""atr_max_pct"": 0.0809781485303636, ""atr_min_pct"": 0.016630410443671716, ""bb_std_mult"": 2.155202326286434, ""edge_cap"": 0.4293349213014044, ""edge_k"": 1.3772649077252235, ""ema1"": 16, ""ema2"": 13, ""p_adx"": 28, ""p_atr"": 10, ""p_sma"": 25, ""p_std"": 42, ""rsi_ob"": 81, ""rsi_os"": 40, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.1005853153108466, ""slip_spread_k"": 0.31325961498225574, ""spread_hl_frac"": 0.005549900680040732, ""strategy"": ""mean_reversion"", ""time_stop"": 109, ""tp_mult"": 1.6594757537397369, ""tsl_mult"": 0.41914701319325565, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.06094018579339655}"
8,-0.3433027159539007,-0.3435986982960531,-1000000000.0,0.3435986982960531,-0.3433027159539007,-0.3435986982960531,1462.0,breakout,1,"{""adx_thresh"": 29.50031601001894, ""atr_max_pct"": 0.08017516192649951, ""atr_min_pct"": 0.0030963422416020936, ""bb_std_mult"": 1.788015485012344, ""edge_cap"": 0.18097320070668171, ""edge_k"": 0.008142819669977097, ""ema1"": 14, ""ema2"": 31, ""p_adx"": 25, ""p_atr"": 23, ""p_sma"": 18, ""p_std"": 15, ""rsi_ob"": 66, ""rsi_os"": 21, ""rsi_period"": 58, ""rsi_required"": true, ""slip_atr_k"": 0.16931537390927534, ""slip_spread_k"": 0.9245988216899532, ""spread_hl_frac"": 0.0038166286579300046, ""strategy"": ""breakout"", ""time_stop"": 199, ""tp_mult"": 2.2272633104191186, ""tsl_mult"": 0.5841710055377966, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17298698342025187}"
9,-0.1331737557645507,-0.17175360962493602,-1000000000.0,0.17175360962493602,-0.1331737557645507,-0.17175360962493602,1422.0,breakout,1,"{""adx_thresh"": 23.186307062109215, ""atr_max_pct"": 0.07721492174907883, ""atr_min_pct"": 0.02053154360057337, ""bb_std_mult"": 1.856058738550256, ""edge_cap"": 0.6443056314465829, ""edge_k"": 1.836758568786881, ""ema1"": 28, ""ema2"": 58, ""p_adx"": 27, ""p_atr"": 22, ""p_sma"": 15, ""p_std"": 47, ""rsi_ob"": 87, ""rsi_os"": 45, ""rsi_period"": 46, ""rsi_required"": false, ""slip_atr_k"": 0.002756249100946434, ""slip_spread_k"": 0.11961431666607525, ""spread_hl_frac"": 0.03761035459765983, ""strategy"": ""breakout"", ""time_stop"": 103, ""tp_mult"": 1.3341358103595975, ""tsl_mult"": 0.2970552999338898, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1099182357734495}"
