number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.2264239814333492,-0.24151703943814393,-1000000000.0,0.24151703943814393,-0.2264239814333492,-0.24151703943814393,1859.0,breakout,1,"{""adx_thresh"": 5.466716168302376, ""atr_max_pct"": 0.12533427867624927, ""atr_min_pct"": 0.02627504733142657, ""bb_std_mult"": 1.3322771078656925, ""edge_cap"": 0.5283079505443617, ""edge_k"": 1.2445260077737903, ""ema1"": 7, ""ema2"": 10, ""p_adx"": 17, ""p_atr"": 20, ""p_sma"": 44, ""p_std"": 45, ""rsi_ob"": 66, ""rsi_os"": 40, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.020304179350106366, ""slip_spread_k"": 0.7214998222981663, ""spread_hl_frac"": 0.017282090252010836, ""strategy"": ""breakout"", ""time_stop"": 121, ""tp_mult"": 1.8202445609541325, ""tsl_mult"": 0.40048019982468586, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.001588628584283136}"
1,-0.3459671180517,-0.3460483774292791,-1000000000.0,0.3460483774292791,-0.3459671180517,-0.3460483774292791,1570.0,breakout,1,"{""adx_thresh"": 21.205505546387066, ""atr_max_pct"": 0.07416760083078236, ""atr_min_pct"": 0.010472376113311487, ""bb_std_mult"": 1.6737257738319795, ""edge_cap"": 0.3128760647880111, ""edge_k"": 0.712985546515718, ""ema1"": 17, ""ema2"": 15, ""p_adx"": 23, ""p_atr"": 13, ""p_sma"": 24, ""p_std"": 43, ""rsi_ob"": 84, ""rsi_os"": 43, ""rsi_period"": 23, ""rsi_required"": false, ""slip_atr_k"": 0.1643711543350631, ""slip_spread_k"": 0.09055806619849893, ""spread_hl_frac"": 0.01099078641563408, ""strategy"": ""breakout"", ""time_stop"": 31, ""tp_mult"": 2.851576444558064, ""tsl_mult"": 0.3348155393133937, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08395454119632383}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.779460526211384, ""atr_max_pct"": 0.13604841062565778, ""atr_min_pct"": 0.0019815289373416012, ""bb_std_mult"": 1.8335590503628088, ""edge_cap"": 0.4983207569830956, ""edge_k"": 1.4202031229123286, ""ema1"": 18, ""ema2"": 25, ""p_adx"": 26, ""p_atr"": 13, ""p_sma"": 48, ""p_std"": 33, ""rsi_ob"": 48, ""rsi_os"": 30, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.16460104067019168, ""slip_spread_k"": 0.34612846369280226, ""spread_hl_frac"": 0.01306691923527672, ""strategy"": ""mean_reversion"", ""time_stop"": 274, ""tp_mult"": 2.1371216855143804, ""tsl_mult"": 0.04188630141499483, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06380322168886639}"
3,-0.39382760798520033,-0.3937542617963684,-1000000000.0,0.3937542617963684,-0.39382760798520033,-0.3937542617963684,1544.0,mean_reversion,1,"{""adx_thresh"": 22.05852100076869, ""atr_max_pct"": 0.07841713560989938, ""atr_min_pct"": 0.0022472714775540656, ""bb_std_mult"": 0.9894420456863882, ""edge_cap"": 0.2882189518601134, ""edge_k"": 1.3715929603521853, ""ema1"": 18, ""ema2"": 35, ""p_adx"": 12, ""p_atr"": 14, ""p_sma"": 26, ""p_std"": 39, ""rsi_ob"": 75, ""rsi_os"": 28, ""rsi_period"": 58, ""rsi_required"": false, ""slip_atr_k"": 0.17127518126661148, ""slip_spread_k"": 0.9514358670053701, ""spread_hl_frac"": 0.04461528133771819, ""strategy"": ""mean_reversion"", ""time_stop"": 104, ""tp_mult"": 1.0938291454718387, ""tsl_mult"": 0.6920942804099888, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.027264712681893188}"
4,-0.32020955736679846,-0.32016431358889,-1000000000.0,0.32016431358889,-0.32020955736679846,-0.32016431358889,1656.0,breakout,1,"{""adx_thresh"": 25.89762344152966, ""atr_max_pct"": 0.049712291658841876, ""atr_min_pct"": 0.006979974905530351, ""bb_std_mult"": 1.4272499802575147, ""edge_cap"": 0.58917144418419, ""edge_k"": 1.7507542076283846, ""ema1"": 24, ""ema2"": 30, ""p_adx"": 25, ""p_atr"": 7, ""p_sma"": 54, ""p_std"": 45, ""rsi_ob"": 77, ""rsi_os"": 37, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.08929597250692906, ""slip_spread_k"": 0.634871278837759, ""spread_hl_frac"": 0.030784247260235605, ""strategy"": ""breakout"", ""time_stop"": 82, ""tp_mult"": 1.5876540934145345, ""tsl_mult"": 0.14825614090081662, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.25403220760359946}"
5,-0.4145154664685007,-0.4144164386283148,-1000000000.0,0.4144164386283148,-0.4145154664685007,-0.4144164386283148,1558.0,breakout,1,"{""adx_thresh"": 22.73986118868506, ""atr_max_pct"": 0.055267088714508486, ""atr_min_pct"": 0.004126820140097107, ""bb_std_mult"": 2.4286956261992567, ""edge_cap"": 0.9992105060272496, ""edge_k"": 1.5161287520094628, ""ema1"": 20, ""ema2"": 13, ""p_adx"": 17, ""p_atr"": 30, ""p_sma"": 55, ""p_std"": 28, ""rsi_ob"": 71, ""rsi_os"": 12, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.21780435090206954, ""slip_spread_k"": 0.1876291471177668, ""spread_hl_frac"": 0.035925867655084986, ""strategy"": ""breakout"", ""time_stop"": 92, ""tp_mult"": 2.9680097701771655, ""tsl_mult"": 0.4848923073144572, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.05040624863872106}"
6,-0.3918117410420012,-0.39171743751130805,-1000000000.0,0.39171743751130805,-0.3918117410420012,-0.39171743751130805,1516.0,breakout,1,"{""adx_thresh"": 17.08386441456858, ""atr_max_pct"": 0.039401982752817005, ""atr_min_pct"": 0.015185119295279867, ""bb_std_mult"": 0.8113473964781357, ""edge_cap"": 0.7047385520981061, ""edge_k"": 0.957791374244789, ""ema1"": 8, ""ema2"": 36, ""p_adx"": 23, ""p_atr"": 12, ""p_sma"": 30, ""p_std"": 49, ""rsi_ob"": 75, ""rsi_os"": 26, ""rsi_period"": 49, ""rsi_required"": false, ""slip_atr_k"": 0.23611818572091361, ""slip_spread_k"": 0.42369378867900565, ""spread_hl_frac"": 0.02945511461843202, ""strategy"": ""breakout"", ""time_stop"": 169, ""tp_mult"": 1.4967272844422224, ""tsl_mult"": 0.39517051627085054, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2242284490777348}"
7,-0.43919244525620027,-0.43907461724505714,-1000000000.0,0.43907461724505714,-0.43919244525620027,-0.43907461724505714,1530.0,breakout,1,"{""adx_thresh"": 31.904187165707054, ""atr_max_pct"": 0.04496740660624617, ""atr_min_pct"": 0.024091551770078268, ""bb_std_mult"": 1.9650668194260739, ""edge_cap"": 0.259326929867741, ""edge_k"": 0.9731695635482889, ""ema1"": 15, ""ema2"": 25, ""p_adx"": 16, ""p_atr"": 29, ""p_sma"": 44, ""p_std"": 18, ""rsi_ob"": 56, ""rsi_os"": 13, ""rsi_period"": 9, ""rsi_required"": false, ""slip_atr_k"": 0.24521628031224169, ""slip_spread_k"": 0.5582235981919259, ""spread_hl_frac"": 0.0346259532878004, ""strategy"": ""breakout"", ""time_stop"": 118, ""tp_mult"": 2.464630787261554, ""tsl_mult"": 0.1797030969595026, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2602455070451085}"
8,-0.2972396913465988,-0.2972461890430158,-1000000000.0,0.2972461890430158,-0.2972396913465988,-0.2972461890430158,1660.0,mean_reversion,1,"{""adx_thresh"": 32.33354321912897, ""atr_max_pct"": 0.036839085440334596, ""atr_min_pct"": 0.001504752829334296, ""bb_std_mult"": 3.2246688010827933, ""edge_cap"": 0.13744081996755358, ""edge_k"": 0.15005671320202696, ""ema1"": 12, ""ema2"": 38, ""p_adx"": 23, ""p_atr"": 12, ""p_sma"": 60, ""p_std"": 60, ""rsi_ob"": 59, ""rsi_os"": 25, ""rsi_period"": 24, ""rsi_required"": true, ""slip_atr_k"": 0.0887746766744758, ""slip_spread_k"": 0.40094469884132644, ""spread_hl_frac"": 0.034381342666102876, ""strategy"": ""mean_reversion"", ""time_stop"": 54, ""tp_mult"": 2.37194751026636, ""tsl_mult"": 0.07169937184357467, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.1557705661416361}"
9,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 27.303485370181786, ""atr_max_pct"": 0.12744674544715984, ""atr_min_pct"": 0.026410318216995993, ""bb_std_mult"": 0.7617213264435616, ""edge_cap"": 0.7958615453038111, ""edge_k"": 0.07471430102752064, ""ema1"": 13, ""ema2"": 45, ""p_adx"": 8, ""p_atr"": 29, ""p_sma"": 18, ""p_std"": 29, ""rsi_ob"": 47, ""rsi_os"": 29, ""rsi_period"": 82, ""rsi_required"": true, ""slip_atr_k"": 0.22685501560070145, ""slip_spread_k"": 0.43091647113765696, ""spread_hl_frac"": 0.03266484252615114, ""strategy"": ""mean_reversion"", ""time_stop"": 215, ""tp_mult"": 2.3241512973996667, ""tsl_mult"": 0.34651333595608025, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.04918862138885633}"
