number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.4668409716545501,-0.46694489188861427,-1000000000.0,0.46694489188861427,-0.4668409716545501,-0.46694489188861427,1606.0,mean_reversion,1,"{""adx_thresh"": 32.72700221557711, ""atr_max_pct"": 0.12237442624810113, ""atr_min_pct"": 0.00495007286780999, ""bb_std_mult"": 1.558372102892161, ""edge_cap"": 0.13020247399651957, ""edge_k"": 0.03678985900981413, ""ema1"": 7, ""ema2"": 19, ""p_adx"": 12, ""p_atr"": 28, ""p_sma"": 6, ""p_std"": 5, ""rsi_ob"": 70, ""rsi_os"": 22, ""rsi_period"": 73, ""rsi_required"": true, ""slip_atr_k"": 0.22312850600071232, ""slip_spread_k"": 0.02077731911747993, ""spread_hl_frac"": 0.03768542356789448, ""strategy"": ""mean_reversion"", ""time_stop"": 66, ""tp_mult"": 2.809986165466725, ""tsl_mult"": 0.48210062877669213, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.020999500405659653}"
1,-0.2559713097599009,-0.2808918458252384,-1000000000.0,0.2808918458252384,-0.2559713097599009,-0.2808918458252384,1664.0,mean_reversion,1,"{""adx_thresh"": 30.39071124786543, ""atr_max_pct"": 0.08576961981115527, ""atr_min_pct"": 0.01625347440539216, ""bb_std_mult"": 1.5083512174275835, ""edge_cap"": 0.12178839125302751, ""edge_k"": 0.632843289569214, ""ema1"": 16, ""ema2"": 31, ""p_adx"": 15, ""p_atr"": 12, ""p_sma"": 40, ""p_std"": 50, ""rsi_ob"": 78, ""rsi_os"": 11, ""rsi_period"": 28, ""rsi_required"": true, ""slip_atr_k"": 0.019639323306318346, ""slip_spread_k"": 0.24598769845977886, ""spread_hl_frac"": 0.02748307812359494, ""strategy"": ""mean_reversion"", ""time_stop"": 287, ""tp_mult"": 1.2363295964786445, ""tsl_mult"": 0.10388844977730993, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2431732447062934}"
2,-0.4123916854783004,-0.41229995061681446,-1000000000.0,0.41229995061681446,-0.4123916854783004,-0.41229995061681446,1541.0,breakout,1,"{""adx_thresh"": 29.344730767409764, ""atr_max_pct"": 0.015496389313791478, ""atr_min_pct"": 0.002294393910605158, ""bb_std_mult"": 2.5387621917879413, ""edge_cap"": 0.476696732718533, ""edge_k"": 1.2198626919033504, ""ema1"": 8, ""ema2"": 31, ""p_adx"": 29, ""p_atr"": 18, ""p_sma"": 57, ""p_std"": 32, ""rsi_ob"": 78, ""rsi_os"": 14, ""rsi_period"": 78, ""rsi_required"": true, ""slip_atr_k"": 0.17805374690934347, ""slip_spread_k"": 0.40772540549864433, ""spread_hl_frac"": 0.024320367785952392, ""strategy"": ""breakout"", ""time_stop"": 253, ""tp_mult"": 1.2593337103162972, ""tsl_mult"": 0.34824783673194626, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.020984269138351486}"
3,-0.40957327064115157,-0.40974638473861696,-1000000000.0,0.40974638473861696,-0.40957327064115157,-0.40974638473861696,1535.0,mean_reversion,1,"{""adx_thresh"": 28.95817965086206, ""atr_max_pct"": 0.05100736288001324, ""atr_min_pct"": 0.02320836704868354, ""bb_std_mult"": 2.9830885641821845, ""edge_cap"": 0.47873716028221225, ""edge_k"": 1.2264729349142383, ""ema1"": 29, ""ema2"": 13, ""p_adx"": 13, ""p_atr"": 19, ""p_sma"": 33, ""p_std"": 32, ""rsi_ob"": 82, ""rsi_os"": 9, ""rsi_period"": 84, ""rsi_required"": false, ""slip_atr_k"": 0.16774933959222563, ""slip_spread_k"": 0.7748428299205207, ""spread_hl_frac"": 0.03189659061595563, ""strategy"": ""mean_reversion"", ""time_stop"": 100, ""tp_mult"": 2.6406493112643625, ""tsl_mult"": 0.31496053687479164, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.10928302943538307}"
4,-0.3697719622957991,-0.3701480002928182,-1000000000.0,0.3701480002928182,-0.3697719622957991,-0.3701480002928182,1633.0,breakout,1,"{""adx_thresh"": 13.54046800648376, ""atr_max_pct"": 0.14108295866851675, ""atr_min_pct"": 0.023354919598091172, ""bb_std_mult"": 0.8701028880492322, ""edge_cap"": 0.32016664125085975, ""edge_k"": 0.6988259903855838, ""ema1"": 30, ""ema2"": 23, ""p_adx"": 27, ""p_atr"": 16, ""p_sma"": 53, ""p_std"": 7, ""rsi_ob"": 85, ""rsi_os"": 8, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.09334681306661757, ""slip_spread_k"": 0.080431610811187, ""spread_hl_frac"": 0.010760317879539844, ""strategy"": ""breakout"", ""time_stop"": 53, ""tp_mult"": 2.609731111573304, ""tsl_mult"": 0.04395525032023817, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2909493495762195}"
5,-0.3221772404119503,-0.32744744595427727,-1000000000.0,0.32744744595427727,-0.3221772404119503,-0.32744744595427727,1617.0,breakout,1,"{""adx_thresh"": 10.662811354513455, ""atr_max_pct"": 0.11126452782120934, ""atr_min_pct"": 0.027472490580499356, ""bb_std_mult"": 0.9844974252674512, ""edge_cap"": 0.33301390590175134, ""edge_k"": 0.20213532301971293, ""ema1"": 24, ""ema2"": 42, ""p_adx"": 28, ""p_atr"": 14, ""p_sma"": 52, ""p_std"": 41, ""rsi_ob"": 75, ""rsi_os"": 17, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.08896832890393885, ""slip_spread_k"": 0.6006506660353408, ""spread_hl_frac"": 0.0009740618564120229, ""strategy"": ""breakout"", ""time_stop"": 180, ""tp_mult"": 1.6160938116006893, ""tsl_mult"": 0.18403966443866848, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.00337224871455446}"
6,-0.38966285306155024,-0.38986786557091324,-1000000000.0,0.38986786557091324,-0.38966285306155024,-0.38986786557091324,1437.0,breakout,1,"{""adx_thresh"": 17.482490809727484, ""atr_max_pct"": 0.06345912264392001, ""atr_min_pct"": 0.011588144519225137, ""bb_std_mult"": 3.461809371097705, ""edge_cap"": 0.6013296720824763, ""edge_k"": 1.3337896332816077, ""ema1"": 23, ""ema2"": 27, ""p_adx"": 19, ""p_atr"": 21, ""p_sma"": 19, ""p_std"": 39, ""rsi_ob"": 67, ""rsi_os"": 24, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.13977461603697666, ""slip_spread_k"": 0.762503746919374, ""spread_hl_frac"": 0.045597919770192945, ""strategy"": ""breakout"", ""time_stop"": 297, ""tp_mult"": 2.5214305126312686, ""tsl_mult"": 0.4440553009731829, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.17247895884874853}"
7,-0.41473468423219906,-0.41496078771072764,-1000000000.0,0.41496078771072764,-0.41473468423219906,-0.41496078771072764,1578.0,breakout,1,"{""adx_thresh"": 28.015356187050518, ""atr_max_pct"": 0.09000262437706603, ""atr_min_pct"": 0.012063598544057494, ""bb_std_mult"": 1.6677695071963219, ""edge_cap"": 0.1548844653676634, ""edge_k"": 1.364429087154346, ""ema1"": 28, ""ema2"": 30, ""p_adx"": 10, ""p_atr"": 22, ""p_sma"": 52, ""p_std"": 19, ""rsi_ob"": 68, ""rsi_os"": 15, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.17293428139645492, ""slip_spread_k"": 0.33297466998048886, ""spread_hl_frac"": 0.013834481839801432, ""strategy"": ""breakout"", ""time_stop"": 24, ""tp_mult"": 1.1871620574940709, ""tsl_mult"": 0.735844445567717, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.06312458736765642}"
8,-0.2581832633973985,-0.2837631606091422,-1000000000.0,0.2837631606091422,-0.2581832633973985,-0.2837631606091422,1669.0,breakout,1,"{""adx_thresh"": 11.277883083976896, ""atr_max_pct"": 0.040227627887392384, ""atr_min_pct"": 0.016972575061719248, ""bb_std_mult"": 0.9137370218740779, ""edge_cap"": 0.5652713140591991, ""edge_k"": 1.9686596767951667, ""ema1"": 29, ""ema2"": 10, ""p_adx"": 9, ""p_atr"": 22, ""p_sma"": 31, ""p_std"": 42, ""rsi_ob"": 48, ""rsi_os"": 50, ""rsi_period"": 57, ""rsi_required"": false, ""slip_atr_k"": 0.005588659470662255, ""slip_spread_k"": 0.5053181645826388, ""spread_hl_frac"": 0.030284344842503766, ""strategy"": ""breakout"", ""time_stop"": 5, ""tp_mult"": 2.132279041292996, ""tsl_mult"": 0.03650189555429073, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.016890029657543094}"
9,-0.3846936024147011,-0.38465632680266726,-1000000000.0,0.38465632680266726,-0.3846936024147011,-0.38465632680266726,1584.0,mean_reversion,1,"{""adx_thresh"": 19.48556167621829, ""atr_max_pct"": 0.12170352353740514, ""atr_min_pct"": 0.0002992929030214708, ""bb_std_mult"": 2.3243733276766143, ""edge_cap"": 0.5604060779391858, ""edge_k"": 0.6669574360330013, ""ema1"": 16, ""ema2"": 29, ""p_adx"": 27, ""p_atr"": 20, ""p_sma"": 31, ""p_std"": 25, ""rsi_ob"": 58, ""rsi_os"": 16, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.1345916034878721, ""slip_spread_k"": 0.9985552247355712, ""spread_hl_frac"": 0.01434643341798092, ""strategy"": ""mean_reversion"", ""time_stop"": 143, ""tp_mult"": 1.792521008752875, ""tsl_mult"": 0.5952060037247955, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.29505081354595053}"
