number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.16568646565750023,-0.1655699160027279,-1000000000.0,0.1655699160027279,-0.16568646565750023,-0.1655699160027279,1081.0,mean_reversion,1,"{""adx_thresh"": 27.594318832240912, ""atr_max_pct"": 0.018140916090868157, ""atr_min_pct"": 0.01343153933179469, ""bb_std_mult"": 2.091740283870033, ""edge_cap"": 0.8036645019412343, ""edge_k"": 1.5032182463972752, ""ema1"": 23, ""ema2"": 13, ""p_adx"": 12, ""p_atr"": 15, ""p_sma"": 23, ""p_std"": 12, ""rsi_ob"": 78, ""rsi_os"": 7, ""rsi_period"": 15, ""rsi_required"": true, ""slip_atr_k"": 0.1904814664333976, ""slip_spread_k"": 0.13187003938696085, ""spread_hl_frac"": 0.006537574436035082, ""strategy"": ""mean_reversion"", ""time_stop"": 86, ""tp_mult"": 2.1195334793135734, ""tsl_mult"": 0.17902769938664043, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2550745392360542}"
1,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 28.23232042850697, ""atr_max_pct"": 0.015701283317491634, ""atr_min_pct"": 0.021608264176472575, ""bb_std_mult"": 2.595158062638243, ""edge_cap"": 0.14385466626511867, ""edge_k"": 1.4393636079493497, ""ema1"": 7, ""ema2"": 15, ""p_adx"": 27, ""p_atr"": 16, ""p_sma"": 53, ""p_std"": 8, ""rsi_ob"": 88, ""rsi_os"": 37, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.12823247781715355, ""slip_spread_k"": 0.21718626524631257, ""spread_hl_frac"": 0.01759048686258124, ""strategy"": ""mean_reversion"", ""time_stop"": 60, ""tp_mult"": 1.8631476772411608, ""tsl_mult"": 0.11552165609490272, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.08992074294333068}"
2,-0.12165060866144994,-0.1221244683915744,-1000000000.0,0.1221244683915744,-0.12165060866144994,-0.1221244683915744,990.0,breakout,1,"{""adx_thresh"": 18.912850602913505, ""atr_max_pct"": 0.08406278312492438, ""atr_min_pct"": 0.024383638031536217, ""bb_std_mult"": 3.469839999329839, ""edge_cap"": 0.5240136060034767, ""edge_k"": 1.0828844067137704, ""ema1"": 8, ""ema2"": 57, ""p_adx"": 22, ""p_atr"": 8, ""p_sma"": 59, ""p_std"": 51, ""rsi_ob"": 66, ""rsi_os"": 50, ""rsi_period"": 80, ""rsi_required"": true, ""slip_atr_k"": 0.14302265662699756, ""slip_spread_k"": 0.04074181333836335, ""spread_hl_frac"": 0.0013403482725278582, ""strategy"": ""breakout"", ""time_stop"": 121, ""tp_mult"": 1.2788492653073895, ""tsl_mult"": 0.8443423093185878, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.06278769822803468}"
3,-0.018552403819149577,-0.025688789696272446,-0.018552403819149577,0.025688789696272446,-0.018552403819149577,-0.025688789696272446,522.0,breakout,1,"{""adx_thresh"": 11.521056258024483, ""atr_max_pct"": 0.102936654345297, ""atr_min_pct"": 0.021761225805638763, ""bb_std_mult"": 3.2319592834310944, ""edge_cap"": 0.4825953528000725, ""edge_k"": 0.4137676154990999, ""ema1"": 7, ""ema2"": 15, ""p_adx"": 22, ""p_atr"": 9, ""p_sma"": 5, ""p_std"": 59, ""rsi_ob"": 95, ""rsi_os"": 14, ""rsi_period"": 39, ""rsi_required"": false, ""slip_atr_k"": 0.0065685634496332745, ""slip_spread_k"": 0.555089825741621, ""spread_hl_frac"": 0.041199157377298505, ""strategy"": ""breakout"", ""time_stop"": 144, ""tp_mult"": 2.3524884842596436, ""tsl_mult"": 0.5131659386390025, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.10282490846385557}"
4,-0.17496081348555004,-0.17510551754637507,-1000000000.0,0.17510551754637507,-0.17496081348555004,-0.17510551754637507,1067.0,breakout,1,"{""adx_thresh"": 21.987862947875357, ""atr_max_pct"": 0.11028412095921995, ""atr_min_pct"": 0.006404182015905108, ""bb_std_mult"": 2.945400682924902, ""edge_cap"": 0.8330365632474561, ""edge_k"": 0.6868545168839744, ""ema1"": 13, ""ema2"": 53, ""p_adx"": 7, ""p_atr"": 25, ""p_sma"": 60, ""p_std"": 6, ""rsi_ob"": 82, ""rsi_os"": 53, ""rsi_period"": 18, ""rsi_required"": true, ""slip_atr_k"": 0.19658670103959133, ""slip_spread_k"": 0.6369395790090074, ""spread_hl_frac"": 0.012636349487144994, ""strategy"": ""breakout"", ""time_stop"": 120, ""tp_mult"": 1.1496794803395494, ""tsl_mult"": 0.8085768220059695, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.145385969571552}"
5,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 30.424172707531792, ""atr_max_pct"": 0.07195997892115286, ""atr_min_pct"": 0.0258545746752386, ""bb_std_mult"": 1.644717976796045, ""edge_cap"": 0.4507686714688621, ""edge_k"": 0.11294566347062829, ""ema1"": 26, ""ema2"": 54, ""p_adx"": 24, ""p_atr"": 22, ""p_sma"": 13, ""p_std"": 38, ""rsi_ob"": 60, ""rsi_os"": 53, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.016245748702298446, ""slip_spread_k"": 0.4358902540690336, ""spread_hl_frac"": 0.03431743970855691, ""strategy"": ""mean_reversion"", ""time_stop"": 47, ""tp_mult"": 1.472522247271865, ""tsl_mult"": 0.5075324077277805, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20165711853030474}"
6,-0.049189476508449625,-0.05632123031523644,-1000000000.0,0.05632123031523644,-0.049189476508449625,-0.05632123031523644,1024.0,breakout,1,"{""adx_thresh"": 24.78274571786176, ""atr_max_pct"": 0.12835881342591246, ""atr_min_pct"": 0.023720468826720617, ""bb_std_mult"": 2.769389306850783, ""edge_cap"": 0.06961297392812894, ""edge_k"": 0.08835202989544233, ""ema1"": 17, ""ema2"": 23, ""p_adx"": 21, ""p_atr"": 22, ""p_sma"": 31, ""p_std"": 54, ""rsi_ob"": 57, ""rsi_os"": 10, ""rsi_period"": 34, ""rsi_required"": false, ""slip_atr_k"": 0.022900382805188774, ""slip_spread_k"": 0.2552255080657534, ""spread_hl_frac"": 0.03204255141114058, ""strategy"": ""breakout"", ""time_stop"": 274, ""tp_mult"": 2.8674095196293976, ""tsl_mult"": 0.9824822669026814, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.12531148805083203}"
7,-0.13615005623240017,-0.13686436548839775,-1000000000.0,0.13686436548839775,-0.13615005623240017,-0.13686436548839775,1042.0,mean_reversion,1,"{""adx_thresh"": 10.805801381140204, ""atr_max_pct"": 0.04241611898373761, ""atr_min_pct"": 0.008619813713229363, ""bb_std_mult"": 1.2784652707151498, ""edge_cap"": 0.30776848797969847, ""edge_k"": 1.7249481670086577, ""ema1"": 11, ""ema2"": 52, ""p_adx"": 17, ""p_atr"": 30, ""p_sma"": 48, ""p_std"": 30, ""rsi_ob"": 64, ""rsi_os"": 27, ""rsi_period"": 16, ""rsi_required"": false, ""slip_atr_k"": 0.11128632384812359, ""slip_spread_k"": 0.42131160665001, ""spread_hl_frac"": 0.044324669323615534, ""strategy"": ""mean_reversion"", ""time_stop"": 299, ""tp_mult"": 2.462686084421806, ""tsl_mult"": 0.11783058502099697, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.16582065873774288}"
8,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 12.427173980575617, ""atr_max_pct"": 0.01156752799079603, ""atr_min_pct"": 0.02744242423002107, ""bb_std_mult"": 1.134320935750311, ""edge_cap"": 0.21271353913274801, ""edge_k"": 0.901265431046067, ""ema1"": 16, ""ema2"": 57, ""p_adx"": 15, ""p_atr"": 26, ""p_sma"": 46, ""p_std"": 57, ""rsi_ob"": 67, ""rsi_os"": 25, ""rsi_period"": 20, ""rsi_required"": true, ""slip_atr_k"": 0.0847629490838451, ""slip_spread_k"": 0.8262861765107354, ""spread_hl_frac"": 0.003329919007959681, ""strategy"": ""mean_reversion"", ""time_stop"": 71, ""tp_mult"": 2.7793959630145695, ""tsl_mult"": 0.22440193567354794, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.016618339263326485}"
9,-0.12519417673864996,-0.125692645645014,-1000000000.0,0.125692645645014,-0.12519417673864996,-0.125692645645014,1028.0,breakout,1,"{""adx_thresh"": 23.042167118762507, ""atr_max_pct"": 0.052289812834365776, ""atr_min_pct"": 0.023894223476029895, ""bb_std_mult"": 3.4328212000930955, ""edge_cap"": 0.9679271588074416, ""edge_k"": 1.756566679923902, ""ema1"": 18, ""ema2"": 24, ""p_adx"": 25, ""p_atr"": 23, ""p_sma"": 40, ""p_std"": 30, ""rsi_ob"": 47, ""rsi_os"": 42, ""rsi_period"": 22, ""rsi_required"": true, ""slip_atr_k"": 0.1268504727924816, ""slip_spread_k"": 0.33529909424926485, ""spread_hl_frac"": 0.02821616744994748, ""strategy"": ""breakout"", ""time_stop"": 198, ""tp_mult"": 1.9709190785800996, ""tsl_mult"": 0.8512678532934055, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.06616826941178394}"
