number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.25133138752914996,-0.2525070105139842,-1000000000.0,0.2525070105139842,-0.25133138752914996,-0.2525070105139842,984.0,mean_reversion,1,"{""adx_thresh"": 33.923367618168456, ""atr_max_pct"": 0.02952645444111769, ""atr_min_pct"": 0.023949731616817654, ""bb_std_mult"": 2.289846050728164, ""edge_cap"": 0.9163639550611102, ""edge_k"": 1.527699170629692, ""ema1"": 9, ""ema2"": 36, ""p_adx"": 26, ""p_atr"": 21, ""p_sma"": 55, ""p_std"": 52, ""rsi_ob"": 90, ""rsi_os"": 26, ""rsi_period"": 28, ""rsi_required"": true, ""slip_atr_k"": 0.14087612410787692, ""slip_spread_k"": 0.9190999504893175, ""spread_hl_frac"": 0.011266241958393541, ""strategy"": ""mean_reversion"", ""time_stop"": 275, ""tp_mult"": 2.5173369494621025, ""tsl_mult"": 0.9064651164104299, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.07481898193487425}"
1,-0.1994048850689012,-0.19990723130025528,-1000000000.0,0.19990723130025528,-0.1994048850689012,-0.19990723130025528,906.0,mean_reversion,1,"{""adx_thresh"": 26.41895382447353, ""atr_max_pct"": 0.09377027893724647, ""atr_min_pct"": 0.007577455147845244, ""bb_std_mult"": 1.4118449378623918, ""edge_cap"": 0.7045270122986628, ""edge_k"": 1.3141310925715788, ""ema1"": 18, ""ema2"": 22, ""p_adx"": 26, ""p_atr"": 23, ""p_sma"": 27, ""p_std"": 57, ""rsi_ob"": 66, ""rsi_os"": 5, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.12581853686891667, ""slip_spread_k"": 0.1951703396786969, ""spread_hl_frac"": 0.005700752118586333, ""strategy"": ""mean_reversion"", ""time_stop"": 204, ""tp_mult"": 2.0748658334428263, ""tsl_mult"": 0.3028969386655751, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.10050419973324985}"
2,-0.3093221478493,-0.30920119908402277,-1000000000.0,0.30920119908402277,-0.3093221478493,-0.30920119908402277,1025.0,mean_reversion,1,"{""adx_thresh"": 10.075426399611544, ""atr_max_pct"": 0.03855570122321724, ""atr_min_pct"": 0.021695017001541764, ""bb_std_mult"": 2.8941806574812903, ""edge_cap"": 0.5343501745352873, ""edge_k"": 1.6503148922268305, ""ema1"": 26, ""ema2"": 20, ""p_adx"": 19, ""p_atr"": 19, ""p_sma"": 52, ""p_std"": 25, ""rsi_ob"": 91, ""rsi_os"": 29, ""rsi_period"": 33, ""rsi_required"": false, ""slip_atr_k"": 0.17403923006103172, ""slip_spread_k"": 0.2401307813196245, ""spread_hl_frac"": 0.006173198321304763, ""strategy"": ""mean_reversion"", ""time_stop"": 229, ""tp_mult"": 1.6952967080444736, ""tsl_mult"": 0.5688779375450631, ""use_adx"": false, ""use_atr"": true, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.27910857394780264}"
3,-0.3256613242832004,-0.3263725840961756,-1000000000.0,0.3263725840961756,-0.3256613242832004,-0.3263725840961756,1094.0,breakout,1,"{""adx_thresh"": 33.411237895015155, ""atr_max_pct"": 0.015613479327515898, ""atr_min_pct"": 0.014908623393140141, ""bb_std_mult"": 1.4856802788996477, ""edge_cap"": 0.12618964243597866, ""edge_k"": 1.8159324510739034, ""ema1"": 6, ""ema2"": 32, ""p_adx"": 11, ""p_atr"": 10, ""p_sma"": 33, ""p_std"": 8, ""rsi_ob"": 57, ""rsi_os"": 53, ""rsi_period"": 65, ""rsi_required"": false, ""slip_atr_k"": 0.16360289283695656, ""slip_spread_k"": 0.25203455549834886, ""spread_hl_frac"": 0.04190286196262724, ""strategy"": ""breakout"", ""time_stop"": 37, ""tp_mult"": 2.28804109294269, ""tsl_mult"": 0.2939702704352112, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.031701987900454386}"
4,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 7.254026643416191, ""atr_max_pct"": 0.08202498371484367, ""atr_min_pct"": 0.019714861800584987, ""bb_std_mult"": 2.5417984910474942, ""edge_cap"": 0.7034825207120978, ""edge_k"": 1.2403947514715001, ""ema1"": 12, ""ema2"": 48, ""p_adx"": 10, ""p_atr"": 14, ""p_sma"": 15, ""p_std"": 55, ""rsi_ob"": 49, ""rsi_os"": 34, ""rsi_period"": 25, ""rsi_required"": true, ""slip_atr_k"": 0.015010547984665473, ""slip_spread_k"": 0.5845857239214982, ""spread_hl_frac"": 0.024014725143570066, ""strategy"": ""mean_reversion"", ""time_stop"": 133, ""tp_mult"": 2.499183504271056, ""tsl_mult"": 0.8082054967938953, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03585441502527945}"
5,-0.21868347703319946,-0.2317964349752539,-1000000000.0,0.2317964349752539,-0.21868347703319946,-0.2317964349752539,986.0,breakout,1,"{""adx_thresh"": 6.845752128562255, ""atr_max_pct"": 0.09076671164262484, ""atr_min_pct"": 0.0032439681676633258, ""bb_std_mult"": 1.2714376309614903, ""edge_cap"": 0.3280672607100155, ""edge_k"": 1.401063823452303, ""ema1"": 28, ""ema2"": 34, ""p_adx"": 22, ""p_atr"": 14, ""p_sma"": 5, ""p_std"": 20, ""rsi_ob"": 46, ""rsi_os"": 38, ""rsi_period"": 12, ""rsi_required"": true, ""slip_atr_k"": 0.08669673064767253, ""slip_spread_k"": 0.03381965906276041, ""spread_hl_frac"": 0.04484745360821945, ""strategy"": ""breakout"", ""time_stop"": 159, ""tp_mult"": 1.5665367620822124, ""tsl_mult"": 0.9297724925739612, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1030532370333656}"
6,-0.3720061403734498,-0.3732317567285084,-1000000000.0,0.3732317567285084,-0.3720061403734498,-0.3732317567285084,977.0,breakout,1,"{""adx_thresh"": 19.25709683005466, ""atr_max_pct"": 0.02267800479239192, ""atr_min_pct"": 0.015047280243230989, ""bb_std_mult"": 2.1904917566581044, ""edge_cap"": 0.681494393899553, ""edge_k"": 0.6362671124537751, ""ema1"": 7, ""ema2"": 50, ""p_adx"": 16, ""p_atr"": 21, ""p_sma"": 44, ""p_std"": 19, ""rsi_ob"": 85, ""rsi_os"": 6, ""rsi_period"": 19, ""rsi_required"": true, ""slip_atr_k"": 0.2388928166631279, ""slip_spread_k"": 0.7903940091975878, ""spread_hl_frac"": 0.028134658791480194, ""strategy"": ""breakout"", ""time_stop"": 211, ""tp_mult"": 2.542508708941944, ""tsl_mult"": 0.23154287595315404, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.23280714301989036}"
7,,,-1000000000.0,1000000000.0,,,,breakout,1,"{""adx_thresh"": 8.562759976501834, ""atr_max_pct"": 0.014385767578027285, ""atr_min_pct"": 0.024663846665585947, ""bb_std_mult"": 2.574928704351457, ""edge_cap"": 0.9772759503581939, ""edge_k"": 1.8714181134498327, ""ema1"": 28, ""ema2"": 18, ""p_adx"": 28, ""p_atr"": 29, ""p_sma"": 49, ""p_std"": 55, ""rsi_ob"": 81, ""rsi_os"": 35, ""rsi_period"": 16, ""rsi_required"": true, ""slip_atr_k"": 0.062012769136890356, ""slip_spread_k"": 0.17209403527863865, ""spread_hl_frac"": 0.0021867049456907595, ""strategy"": ""breakout"", ""time_stop"": 295, ""tp_mult"": 1.7177991614271075, ""tsl_mult"": 0.9177140855489483, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.0846375729866112}"
8,-0.2502564759401512,-0.2528582434944258,-1000000000.0,0.2528582434944258,-0.2502564759401512,-0.2528582434944258,1155.0,mean_reversion,1,"{""adx_thresh"": 29.993474422607363, ""atr_max_pct"": 0.08076839062686747, ""atr_min_pct"": 0.025236458987574813, ""bb_std_mult"": 0.8514121239875455, ""edge_cap"": 0.19656113713203913, ""edge_k"": 0.1415591072009792, ""ema1"": 29, ""ema2"": 32, ""p_adx"": 28, ""p_atr"": 9, ""p_sma"": 53, ""p_std"": 10, ""rsi_ob"": 56, ""rsi_os"": 28, ""rsi_period"": 11, ""rsi_required"": true, ""slip_atr_k"": 0.06981440264197519, ""slip_spread_k"": 0.1675441100891385, ""spread_hl_frac"": 0.03298348406616975, ""strategy"": ""mean_reversion"", ""time_stop"": 111, ""tp_mult"": 2.9713885499436756, ""tsl_mult"": 0.10135944702325184, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.2447196767819064}"
9,-0.12326176663744881,-0.13890262245360568,-1000000000.0,0.13890262245360568,-0.12326176663744881,-0.13890262245360568,1088.0,breakout,1,"{""adx_thresh"": 16.665130991450617, ""atr_max_pct"": 0.04965196715731665, ""atr_min_pct"": 0.02123759595895461, ""bb_std_mult"": 1.7993939478598566, ""edge_cap"": 0.7044425677960828, ""edge_k"": 0.6986289535806687, ""ema1"": 19, ""ema2"": 50, ""p_adx"": 8, ""p_atr"": 28, ""p_sma"": 40, ""p_std"": 50, ""rsi_ob"": 95, ""rsi_os"": 50, ""rsi_period"": 45, ""rsi_required"": false, ""slip_atr_k"": 0.015731593616465533, ""slip_spread_k"": 0.3479037431279609, ""spread_hl_frac"": 0.03290827600343684, ""strategy"": ""breakout"", ""time_stop"": 62, ""tp_mult"": 1.642628785917352, ""tsl_mult"": 0.534909324967019, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.09187231633769678}"
