number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.32292125590940035,-0.32281544044316024,-1000000000.0,0.32281544044316024,-0.32292125590940035,-0.32281544044316024,995.0,breakout,1,"{""adx_thresh"": 34.99731492844079, ""atr_max_pct"": 0.03835546299363403, ""atr_min_pct"": 0.011348955624426886, ""bb_std_mult"": 2.341207274153141, ""edge_cap"": 0.2663799833296399, ""edge_k"": 0.9237547696211439, ""ema1"": 6, ""ema2"": 12, ""p_adx"": 27, ""p_atr"": 18, ""p_sma"": 37, ""p_std"": 9, ""rsi_ob"": 68, ""rsi_os"": 19, ""rsi_period"": 61, ""rsi_required"": false, ""slip_atr_k"": 0.22928150767633693, ""slip_spread_k"": 0.5910896986002517, ""spread_hl_frac"": 0.047821737647225686, ""strategy"": ""breakout"", ""time_stop"": 16, ""tp_mult"": 2.718080903238032, ""tsl_mult"": 0.620697077711657, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.010295913735684514}"
1,-0.2723133686998501,-0.27242482698205583,-1000000000.0,0.27242482698205583,-0.2723133686998501,-0.27242482698205583,1035.0,breakout,1,"{""adx_thresh"": 12.591114007207558, ""atr_max_pct"": 0.12206290948335326, ""atr_min_pct"": 0.015145683036130345, ""bb_std_mult"": 2.5327787382326874, ""edge_cap"": 0.6505510720458351, ""edge_k"": 0.3617824526562643, ""ema1"": 26, ""ema2"": 34, ""p_adx"": 12, ""p_atr"": 17, ""p_sma"": 57, ""p_std"": 12, ""rsi_ob"": 79, ""rsi_os"": 49, ""rsi_period"": 37, ""rsi_required"": true, ""slip_atr_k"": 0.17208533444772758, ""slip_spread_k"": 0.30530173473386935, ""spread_hl_frac"": 0.03880123176241429, ""strategy"": ""breakout"", ""time_stop"": 287, ""tp_mult"": 1.909948611302109, ""tsl_mult"": 0.34726507319397415, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.019610660872916696}"
2,-0.27310838529825054,-0.2750529200604277,-1000000000.0,0.2750529200604277,-0.27310838529825054,-0.2750529200604277,897.0,breakout,1,"{""adx_thresh"": 21.170586380608704, ""atr_max_pct"": 0.07472679222459662, ""atr_min_pct"": 0.0008489680283216949, ""bb_std_mult"": 2.2614149619453605, ""edge_cap"": 0.18516132464820362, ""edge_k"": 0.8687280292895938, ""ema1"": 26, ""ema2"": 56, ""p_adx"": 21, ""p_atr"": 20, ""p_sma"": 44, ""p_std"": 41, ""rsi_ob"": 45, ""rsi_os"": 32, ""rsi_period"": 12, ""rsi_required"": false, ""slip_atr_k"": 0.21940106684036978, ""slip_spread_k"": 0.29220737227435667, ""spread_hl_frac"": 0.03975230497101864, ""strategy"": ""breakout"", ""time_stop"": 135, ""tp_mult"": 1.9412154376572122, ""tsl_mult"": 0.2577777053150021, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.009780735759517966}"
3,-0.20590249483184975,-0.2070930625370976,-1000000000.0,0.2070930625370976,-0.20590249483184975,-0.2070930625370976,960.0,mean_reversion,1,"{""adx_thresh"": 28.45571293511373, ""atr_max_pct"": 0.0359206352520534, ""atr_min_pct"": 0.0013743470127131029, ""bb_std_mult"": 1.01614204121749, ""edge_cap"": 0.9228096069359336, ""edge_k"": 1.2091969898153412, ""ema1"": 5, ""ema2"": 45, ""p_adx"": 27, ""p_atr"": 24, ""p_sma"": 38, ""p_std"": 40, ""rsi_ob"": 90, ""rsi_os"": 41, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.05783880706861663, ""slip_spread_k"": 0.84056574279691, ""spread_hl_frac"": 0.04619691256246739, ""strategy"": ""mean_reversion"", ""time_stop"": 23, ""tp_mult"": 1.0618255510182937, ""tsl_mult"": 0.5559404320155145, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.03882707993561333}"
4,-0.21495943975925036,-0.2150070304937844,-1000000000.0,0.2150070304937844,-0.21495943975925036,-0.2150070304937844,1089.0,breakout,1,"{""adx_thresh"": 31.13694766673759, ""atr_max_pct"": 0.12814498703092442, ""atr_min_pct"": 0.028134579071167575, ""bb_std_mult"": 2.7766052335770537, ""edge_cap"": 0.94874268636288, ""edge_k"": 0.464611571282872, ""ema1"": 30, ""ema2"": 25, ""p_adx"": 18, ""p_atr"": 13, ""p_sma"": 60, ""p_std"": 17, ""rsi_ob"": 46, ""rsi_os"": 51, ""rsi_period"": 77, ""rsi_required"": false, ""slip_atr_k"": 0.07070985471469182, ""slip_spread_k"": 0.4581781401547522, ""spread_hl_frac"": 0.038930865671409014, ""strategy"": ""breakout"", ""time_stop"": 91, ""tp_mult"": 2.4937268209318617, ""tsl_mult"": 0.678754460806594, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.27579793671732933}"
5,-0.21770738253189947,-0.2172962903749025,-1000000000.0,0.2172962903749025,-0.21770738253189947,-0.2172962903749025,895.0,breakout,1,"{""adx_thresh"": 27.44293540512741, ""atr_max_pct"": 0.10883711855712065, ""atr_min_pct"": 0.008001970363240298, ""bb_std_mult"": 0.8319382270992178, ""edge_cap"": 0.08440939166095705, ""edge_k"": 1.751359012524315, ""ema1"": 7, ""ema2"": 11, ""p_adx"": 20, ""p_atr"": 16, ""p_sma"": 39, ""p_std"": 46, ""rsi_ob"": 77, ""rsi_os"": 8, ""rsi_period"": 47, ""rsi_required"": false, ""slip_atr_k"": 0.14769748207100308, ""slip_spread_k"": 0.038093256549120325, ""spread_hl_frac"": 0.02481494558962809, ""strategy"": ""breakout"", ""time_stop"": 41, ""tp_mult"": 2.171212647687822, ""tsl_mult"": 0.5009661964333825, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.23951632379854784}"
6,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.018727358280826, ""atr_max_pct"": 0.11419057607506584, ""atr_min_pct"": 0.005931575146236506, ""bb_std_mult"": 1.5414786905408178, ""edge_cap"": 0.21523948247779506, ""edge_k"": 0.8295081008072627, ""ema1"": 15, ""ema2"": 17, ""p_adx"": 21, ""p_atr"": 30, ""p_sma"": 44, ""p_std"": 18, ""rsi_ob"": 46, ""rsi_os"": 35, ""rsi_period"": 64, ""rsi_required"": false, ""slip_atr_k"": 0.06251164482559937, ""slip_spread_k"": 0.8033293711830711, ""spread_hl_frac"": 0.04144745861312049, ""strategy"": ""mean_reversion"", ""time_stop"": 5, ""tp_mult"": 1.8067555805713083, ""tsl_mult"": 0.6082330232849957, ""use_adx"": true, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.1524645762765612}"
7,-0.30981346280664857,-0.3103112584708158,-1000000000.0,0.3103112584708158,-0.30981346280664857,-0.3103112584708158,930.0,breakout,1,"{""adx_thresh"": 8.536052166820166, ""atr_max_pct"": 0.047563620118681774, ""atr_min_pct"": 0.009019773326041352, ""bb_std_mult"": 2.8856319386671863, ""edge_cap"": 0.5257122977491039, ""edge_k"": 0.32578034072712025, ""ema1"": 13, ""ema2"": 54, ""p_adx"": 13, ""p_atr"": 8, ""p_sma"": 43, ""p_std"": 25, ""rsi_ob"": 79, ""rsi_os"": 35, ""rsi_period"": 10, ""rsi_required"": true, ""slip_atr_k"": 0.24227726097669566, ""slip_spread_k"": 0.48214364001184873, ""spread_hl_frac"": 0.046346309021066734, ""strategy"": ""breakout"", ""time_stop"": 264, ""tp_mult"": 1.3782020471690364, ""tsl_mult"": 0.06055895512449816, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2028752361550841}"
8,-0.22687668769520075,-0.22688131328278102,-1000000000.0,0.22688131328278102,-0.22687668769520075,-0.22688131328278102,1076.0,mean_reversion,1,"{""adx_thresh"": 23.560516365914786, ""atr_max_pct"": 0.09074609790946976, ""atr_min_pct"": 0.01605075275372607, ""bb_std_mult"": 0.6916304463985168, ""edge_cap"": 0.7148004623730875, ""edge_k"": 0.5853741898912377, ""ema1"": 13, ""ema2"": 46, ""p_adx"": 14, ""p_atr"": 24, ""p_sma"": 48, ""p_std"": 14, ""rsi_ob"": 52, ""rsi_os"": 12, ""rsi_period"": 38, ""rsi_required"": true, ""slip_atr_k"": 0.10100172080353095, ""slip_spread_k"": 0.2019936120042677, ""spread_hl_frac"": 0.04218186206616215, ""strategy"": ""mean_reversion"", ""time_stop"": 102, ""tp_mult"": 2.4761753413206384, ""tsl_mult"": 0.7072432301303345, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05849966794807279}"
9,-0.21696187181559967,-0.21698301292369399,-1000000000.0,0.21698301292369399,-0.21696187181559967,-0.21698301292369399,1051.0,breakout,1,"{""adx_thresh"": 16.792381762076186, ""atr_max_pct"": 0.07337725935609929, ""atr_min_pct"": 0.024622205207190318, ""bb_std_mult"": 0.59049054047826, ""edge_cap"": 0.8338955669522213, ""edge_k"": 1.7270424853019397, ""ema1"": 17, ""ema2"": 44, ""p_adx"": 12, ""p_atr"": 22, ""p_sma"": 36, ""p_std"": 26, ""rsi_ob"": 56, ""rsi_os"": 11, ""rsi_period"": 7, ""rsi_required"": false, ""slip_atr_k"": 0.05028325268813805, ""slip_spread_k"": 0.933498401200966, ""spread_hl_frac"": 0.04291527959085485, ""strategy"": ""breakout"", ""time_stop"": 252, ""tp_mult"": 1.828321043273777, ""tsl_mult"": 0.36747597997962567, ""use_adx"": false, ""use_atr"": false, ""use_ema"": false, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.08808223677637161}"
