number,ret_pct,max_dd_pct,objective_value,objective_dd_abs,ret_pct_true,max_dd_pct_true,trades,strategy,state,params
0,-0.24381412557715043,-0.24386092682988572,-1000000000.0,0.24386092682988572,-0.24381412557715043,-0.24386092682988572,1047.0,mean_reversion,1,"{""adx_thresh"": 6.73305336258054, ""atr_max_pct"": 0.021843588852733957, ""atr_min_pct"": 0.011775414777236766, ""bb_std_mult"": 3.2641262303045955, ""edge_cap"": 0.34108922806442077, ""edge_k"": 1.1484533581835372, ""ema1"": 17, ""ema2"": 17, ""p_adx"": 13, ""p_atr"": 25, ""p_sma"": 25, ""p_std"": 12, ""rsi_ob"": 70, ""rsi_os"": 16, ""rsi_period"": 54, ""rsi_required"": false, ""slip_atr_k"": 0.17637976531190822, ""slip_spread_k"": 0.1497219968461403, ""spread_hl_frac"": 0.0067482751966766235, ""strategy"": ""mean_reversion"", ""time_stop"": 211, ""tp_mult"": 1.7221851592263238, ""tsl_mult"": 0.5078424114652094, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.08380154076510796}"
1,-0.2704840663418989,-0.27033013478059664,-1000000000.0,0.27033013478059664,-0.2704840663418989,-0.27033013478059664,911.0,mean_reversion,1,"{""adx_thresh"": 18.737075338894662, ""atr_max_pct"": 0.14195694373805084, ""atr_min_pct"": 0.026835778464536265, ""bb_std_mult"": 3.1956069750245404, ""edge_cap"": 0.8594546923073976, ""edge_k"": 0.596049312775897, ""ema1"": 21, ""ema2"": 41, ""p_adx"": 11, ""p_atr"": 23, ""p_sma"": 47, ""p_std"": 26, ""rsi_ob"": 61, ""rsi_os"": 13, ""rsi_period"": 35, ""rsi_required"": true, ""slip_atr_k"": 0.2379521996995506, ""slip_spread_k"": 0.7122142325632924, ""spread_hl_frac"": 0.03499867220287783, ""strategy"": ""mean_reversion"", ""time_stop"": 243, ""tp_mult"": 2.436016731427911, ""tsl_mult"": 0.5046593002692205, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.2291263426173888}"
2,,,-1000000000.0,1000000000.0,,,,mean_reversion,1,"{""adx_thresh"": 10.447049262672381, ""atr_max_pct"": 0.0998555187362708, ""atr_min_pct"": 0.021652608736957724, ""bb_std_mult"": 3.509192918629951, ""edge_cap"": 0.5907757992794767, ""edge_k"": 0.42805947091156793, ""ema1"": 8, ""ema2"": 17, ""p_adx"": 22, ""p_atr"": 30, ""p_sma"": 55, ""p_std"": 23, ""rsi_ob"": 50, ""rsi_os"": 19, ""rsi_period"": 22, ""rsi_required"": false, ""slip_atr_k"": 0.20444219182507875, ""slip_spread_k"": 0.10406312537318496, ""spread_hl_frac"": 0.039262443468148917, ""strategy"": ""mean_reversion"", ""time_stop"": 68, ""tp_mult"": 2.4311550606459207, ""tsl_mult"": 0.4193007770263095, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.14403807491392767}"
3,-0.23202825003979854,-0.2329568215213933,-1000000000.0,0.2329568215213933,-0.23202825003979854,-0.2329568215213933,1085.0,mean_reversion,1,"{""adx_thresh"": 18.4218123621538, ""atr_max_pct"": 0.1320822493526573, ""atr_min_pct"": 0.00450209421347294, ""bb_std_mult"": 2.985594035857547, ""edge_cap"": 0.5256321801640148, ""edge_k"": 0.07924326174025142, ""ema1"": 12, ""ema2"": 59, ""p_adx"": 21, ""p_atr"": 21, ""p_sma"": 19, ""p_std"": 13, ""rsi_ob"": 94, ""rsi_os"": 32, ""rsi_period"": 9, ""rsi_required"": true, ""slip_atr_k"": 0.09654769882830586, ""slip_spread_k"": 0.9295990014314088, ""spread_hl_frac"": 0.03964561697788393, ""strategy"": ""mean_reversion"", ""time_stop"": 46, ""tp_mult"": 1.5343152593584304, ""tsl_mult"": 0.9166595317521599, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2052180395457952}"
4,-0.1486160600067502,-0.15091725307119255,-1000000000.0,0.15091725307119255,-0.1486160600067502,-0.15091725307119255,1043.0,breakout,1,"{""adx_thresh"": 22.088597355379598, ""atr_max_pct"": 0.13813667671043695, ""atr_min_pct"": 0.010788185949312282, ""bb_std_mult"": 2.138550037207898, ""edge_cap"": 0.9875611037057028, ""edge_k"": 0.6392693453735139, ""ema1"": 22, ""ema2"": 33, ""p_adx"": 10, ""p_atr"": 18, ""p_sma"": 41, ""p_std"": 29, ""rsi_ob"": 75, ""rsi_os"": 55, ""rsi_period"": 77, ""rsi_required"": true, ""slip_atr_k"": 0.07390367570338502, ""slip_spread_k"": 0.012070190480103049, ""spread_hl_frac"": 0.031241273896895877, ""strategy"": ""breakout"", ""time_stop"": 136, ""tp_mult"": 2.632679906715928, ""tsl_mult"": 0.31766376470653834, ""use_adx"": false, ""use_atr"": true, ""use_ema"": false, ""use_sma"": true, ""use_spike"": false, ""vol_spike"": 0.00796536085924131}"
5,-0.18449530154689953,-0.1907457722819308,-1000000000.0,0.1907457722819308,-0.18449530154689953,-0.1907457722819308,1022.0,mean_reversion,1,"{""adx_thresh"": 8.384696224265886, ""atr_max_pct"": 0.07116843419864273, ""atr_min_pct"": 0.02491101066387529, ""bb_std_mult"": 3.0036882510556677, ""edge_cap"": 0.12500605485722915, ""edge_k"": 0.44507103652713176, ""ema1"": 29, ""ema2"": 26, ""p_adx"": 19, ""p_atr"": 15, ""p_sma"": 10, ""p_std"": 22, ""rsi_ob"": 82, ""rsi_os"": 7, ""rsi_period"": 49, ""rsi_required"": true, ""slip_atr_k"": 0.10270105532823864, ""slip_spread_k"": 0.3396622192641695, ""spread_hl_frac"": 0.015810712578436865, ""strategy"": ""mean_reversion"", ""time_stop"": 141, ""tp_mult"": 2.889184391166838, ""tsl_mult"": 0.16652040903051357, ""use_adx"": true, ""use_atr"": false, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.2288115910929362}"
6,-0.14100684213120063,-0.14592190366816568,-1000000000.0,0.14592190366816568,-0.14100684213120063,-0.14592190366816568,1173.0,breakout,1,"{""adx_thresh"": 7.156464110694351, ""atr_max_pct"": 0.12180108402138948, ""atr_min_pct"": 0.021842197583804294, ""bb_std_mult"": 3.3491538268704555, ""edge_cap"": 0.8695144435433171, ""edge_k"": 1.657541308059947, ""ema1"": 11, ""ema2"": 39, ""p_adx"": 11, ""p_atr"": 18, ""p_sma"": 34, ""p_std"": 6, ""rsi_ob"": 73, ""rsi_os"": 28, ""rsi_period"": 38, ""rsi_required"": false, ""slip_atr_k"": 0.026642472870382822, ""slip_spread_k"": 0.8258395536040463, ""spread_hl_frac"": 0.0035396660575155504, ""strategy"": ""breakout"", ""time_stop"": 249, ""tp_mult"": 1.7106377109771564, ""tsl_mult"": 0.9573686790676699, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.15593873016607265}"
7,-0.2568654494798508,-0.25672218094407945,-1000000000.0,0.25672218094407945,-0.2568654494798508,-0.25672218094407945,934.0,mean_reversion,1,"{""adx_thresh"": 31.627741435767092, ""atr_max_pct"": 0.05498703689801596, ""atr_min_pct"": 0.008277359975052027, ""bb_std_mult"": 2.9408291508225948, ""edge_cap"": 0.27505075479946256, ""edge_k"": 0.056606955669206815, ""ema1"": 24, ""ema2"": 36, ""p_adx"": 24, ""p_atr"": 22, ""p_sma"": 45, ""p_std"": 26, ""rsi_ob"": 90, ""rsi_os"": 40, ""rsi_period"": 32, ""rsi_required"": true, ""slip_atr_k"": 0.24105061951353549, ""slip_spread_k"": 0.1012477959486483, ""spread_hl_frac"": 0.004679069601806108, ""strategy"": ""mean_reversion"", ""time_stop"": 22, ""tp_mult"": 2.410317409655947, ""tsl_mult"": 0.6227615091843058, ""use_adx"": true, ""use_atr"": false, ""use_ema"": false, ""use_sma"": false, ""use_spike"": false, ""vol_spike"": 0.0705120766658511}"
8,-0.21970231965220044,-0.22086135164171933,-1000000000.0,0.22086135164171933,-0.21970231965220044,-0.22086135164171933,1038.0,breakout,1,"{""adx_thresh"": 32.26993137111727, ""atr_max_pct"": 0.08962714745319644, ""atr_min_pct"": 0.027440697524012767, ""bb_std_mult"": 3.274667248262211, ""edge_cap"": 0.09469675217755934, ""edge_k"": 0.9372582334433108, ""ema1"": 9, ""ema2"": 51, ""p_adx"": 7, ""p_atr"": 13, ""p_sma"": 24, ""p_std"": 17, ""rsi_ob"": 54, ""rsi_os"": 53, ""rsi_period"": 40, ""rsi_required"": false, ""slip_atr_k"": 0.12835853485078383, ""slip_spread_k"": 0.5974511286102333, ""spread_hl_frac"": 0.02361861256921731, ""strategy"": ""breakout"", ""time_stop"": 237, ""tp_mult"": 1.92633573968936, ""tsl_mult"": 0.08458961060454195, ""use_adx"": true, ""use_atr"": true, ""use_ema"": true, ""use_sma"": false, ""use_spike"": true, ""vol_spike"": 0.05905940585155208}"
9,-0.16490637314685064,-0.16517324595033261,-1000000000.0,0.16517324595033261,-0.16490637314685064,-0.16517324595033261,782.0,breakout,1,"{""adx_thresh"": 15.422109617755277, ""atr_max_pct"": 0.06177660940725782, ""atr_min_pct"": 0.0007458715502154222, ""bb_std_mult"": 2.97551269417966, ""edge_cap"": 0.9439958307452645, ""edge_k"": 1.4453980743404369, ""ema1"": 28, ""ema2"": 59, ""p_adx"": 30, ""p_atr"": 8, ""p_sma"": 32, ""p_std"": 57, ""rsi_ob"": 89, ""rsi_os"": 7, ""rsi_period"": 60, ""rsi_required"": false, ""slip_atr_k"": 0.17620509668284542, ""slip_spread_k"": 0.017597354856861758, ""spread_hl_frac"": 0.03292377689270288, ""strategy"": ""breakout"", ""time_stop"": 261, ""tp_mult"": 2.9632361086071066, ""tsl_mult"": 0.3821018828287067, ""use_adx"": false, ""use_atr"": false, ""use_ema"": true, ""use_sma"": true, ""use_spike"": true, ""vol_spike"": 0.20707480275947027}"
